actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT11M00.00S,2023-11-01T23:12:09.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203924,67.46057818659658,66.91176470588235,1610612757,0,5,2023-11-01T23:12:20Z,180000,False,85.0,253.0,1,right,J. Grant 26' 3PT  (3 PTS) (S. Sharpe 1 AST),"[203924, 1631101]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,26.71,Made,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,,,
20,PT10M41.00S,2023-11-01T23:12:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.093955321944804,45.09803921568627,1610612765,0,5,2023-11-01T23:12:38Z,200000,False,25.0,5.0,1,left,MISS A. Thompson Layup - blocked,"[1641709, 1631101]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,Sharpe,1631101.0,,,
21,PT10M41.00S,2023-11-01T23:12:29.1Z,1,REGULAR,block,,[],1631101,,,1610612765,0,5,2023-11-01T23:25:46Z,210000,False,,,0,,S. Sharpe BLOCK (1 BLK),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2023-11-01T23:12:29.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,5,2023-11-01T23:25:46Z,220000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,20.0,,,,,,1.0,1.0,0.0,,,,,
23,PT10M29.00S,2023-11-01T23:12:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,89.4053876478318,50.49019607843137,1610612757,0,5,2023-11-01T23:15:11Z,230000,False,2.0,47.0,1,right,MISS D. Ayton turnaround fadeaway Shot,[1629028],1610612757.0,POR,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
24,PT10M27.00S,2023-11-01T23:12:42.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,5,2023-11-01T23:12:50Z,240000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,,,,,,1.0,1.0,0.0,,,,,
25,PT10M23.00S,2023-11-01T23:12:47.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630165,6.4881734559789805,56.372549019607845,1610612765,0,5,2023-11-01T23:15:57Z,250000,False,-32.0,8.0,1,left,MISS K. Hayes running Shot,[1630165],1610612765.0,DET,running,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,3.3,Missed,,,,,,,,,,,,,,,,,,
26,PT10M23.00S,2023-11-01T23:12:47.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,5,2023-11-01T23:13:11Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,25.0,,,,,,,,,,,,,
27,PT10M21.00S,2023-11-01T23:13:09.6Z,1,REGULAR,foul,personal,[],1641709,,,1610612757,0,5,2023-11-01T23:13:19Z,270000,False,,,0,,A. Thompson loose ball personal FOUL (1 PF),"[1641709, 1630703]",1610612765.0,DET,loose ball,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Henderson,1630703.0,,,,,,,,
29,PT10M10.00S,2023-11-01T23:13:19.8Z,1,REGULAR,2pt,Jump Shot,[],203924,75.87056504599212,70.09803921568627,1610612757,0,5,2023-11-01T23:17:18Z,290000,False,100.0,174.0,1,right,MISS J. Grant 20' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Right Center,20.12,Missed,,,,,,,,,,,,,,,,,,
30,PT10M08.00S,2023-11-01T23:13:21.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,5,2023-11-01T23:13:23Z,300000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Right Center,,,,,,,29.0,,,,,,1.0,1.0,0.0,,,,,
31,PT10M01.00S,2023-11-01T23:13:31.4Z,1,REGULAR,foul,personal,['2freethrow'],1630703,,,1610612765,0,5,2023-11-01T23:14:03Z,310000,False,,,0,,S. Henderson shooting personal FOUL (1 PF) (Bagley III 2 FT),"[1630703, 1628963]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627964.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,
33,PT10M01.00S,2023-11-01T23:14:02.9Z,1,REGULAR,freethrow,1 of 2,[],1628963,,,1610612765,1,5,2023-11-01T23:14:02Z,330000,False,,,0,,M. Bagley III Free Throw 1 of 2 (1 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2023-11-01T23:14:20.7Z,1,REGULAR,freethrow,2 of 2,[],1628963,,,1610612765,2,5,2023-11-01T23:14:20Z,340000,False,,,0,,M. Bagley III Free Throw 2 of 2 (2 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
35,PT09M51.00S,2023-11-01T23:14:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,94.3988173455979,58.33333333333333,1610612757,2,5,2023-11-01T23:14:38Z,350000,False,42.0,0.0,1,right,MISS S. Henderson Layup,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,4.17,Missed,,,,,,,,,,,,,,,,,,
36,PT09M49.00S,2023-11-01T23:14:34.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,5,2023-11-01T23:14:34Z,360000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,35.0,,,,,,1.0,1.0,0.0,,,,,
37,PT09M49.00S,2023-11-01T23:14:36.3Z,1,REGULAR,foul,personal,[],1629680,,,1610612765,2,5,2023-11-01T23:15:03Z,370000,False,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1641709]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2882.0,1.0,0.0,Thompson,1641709.0,,,,,,,,
39,PT09M39.00S,2023-11-01T23:15:05.9Z,1,REGULAR,3pt,Jump Shot,[],1641709,32.50657030223391,75.98039215686275,1610612765,2,5,2023-11-01T23:15:17Z,390000,False,-130.0,253.0,1,left,MISS A. Thompson 28' 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,28.45,Missed,,,,,,,,,,,,,,,,,,
40,PT09M36.00S,2023-11-01T23:15:08.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,5,2023-11-01T23:18:29Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,39.0,,,,,,,,,,,,,
42,PT09M28.00S,2023-11-01T23:15:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,83.75492772667542,49.01960784313726,1610612757,2,7,2023-11-01T23:15:31Z,420000,False,-5.0,100.0,1,right,S. Henderson 10' pullup Jump Shot (2 PTS),[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,10.03,Made,2.0,,,,,,,,,,,,,,,,,
43,PT09M06.00S,2023-11-01T23:15:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,35.39750328515112,57.59803921568628,1610612765,5,7,2023-11-01T23:15:51Z,430000,False,-38.0,280.0,1,left,C. Cunningham 28' 3PT  (3 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,28.28,Made,3.0,A. Thompson,1641709.0,1.0,,,,,,,,,,,,,,
45,PT08M54.00S,2023-11-01T23:15:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,90.8508541392904,53.92156862745098,1610612757,5,9,2023-11-01T23:16:04Z,450000,False,20.0,34.0,1,right,D. Ayton floating Jump Shot (4 PTS) (S. Henderson 2 AST),"[1629028, 1630703]",1610612757.0,POR,floating,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.88,Made,4.0,S. Henderson,1630703.0,2.0,,,,,,,,,,,,,,
48,PT08M38.00S,2023-11-01T23:16:23.8Z,1,REGULAR,3pt,Jump Shot,[],1630191,6.225361366622863,97.54901960784314,1610612765,8,9,2023-11-01T23:16:32Z,480000,False,-238.0,6.0,1,left,I. Stewart 3PT  (3 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,23.78,Made,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
50,PT08M28.00S,2023-11-01T23:16:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,87.9599211563732,40.44117647058824,1610612757,8,9,2023-11-01T23:19:20Z,500000,False,-48.0,61.0,1,right,MISS S. Henderson 7' driving floating Shot,[1630703],1610612757.0,POR,driving floating,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,7.73,Missed,,,,,,,,,,,,,,,,,,
51,PT08M26.00S,2023-11-01T23:16:36.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,8,9,2023-11-01T23:16:39Z,510000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,50.0,,,,,,1.0,1.0,0.0,,,,,
53,PT08M11.00S,2023-11-01T23:17:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630595,31.32391590013141,25.0,1610612765,11,9,2023-11-01T23:17:17Z,530000,False,125.0,242.0,1,left,C. Cunningham 27' 3PT  (6 PTS) (I. Stewart 1 AST),"[1630595, 1630191]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,27.23,Made,6.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,,,
55,PT07M49.00S,2023-11-01T23:17:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,94.00459921156373,39.4607843137255,1610612757,11,9,2023-11-01T23:17:42Z,550000,False,-53.0,4.0,1,right,MISS D. Ayton turnaround fadeaway Shot,[1629028],1610612757.0,POR,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,5.28,Missed,,,,,,,,,,,,,,,,,,
56,PT07M46.00S,2023-11-01T23:17:35.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,11,9,2023-11-01T23:17:37Z,560000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,55.0,,,,,,2.0,2.0,0.0,,,,,
57,PT07M32.00S,2023-11-01T23:17:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,10.693166885676746,54.16666666666667,1610612765,13,9,2023-11-01T23:18:00Z,570000,False,-21.0,48.0,1,left,M. Bagley III turnaround Hook (4 PTS) (I. Stewart 2 AST),"[1628963, 1630191]",1610612765.0,DET,turnaround,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,5.23,Made,4.0,I. Stewart,1630191.0,2.0,,,,,,,,,,,,,,
59,PT07M32.00S,2023-11-01T23:17:58.0Z,1,REGULAR,foul,personal,['1freethrow'],203924,,,1610612765,13,9,2023-11-01T23:18:13Z,590000,False,,,0,,J. Grant shooting personal FOUL (1 PF) (Bagley III 1 FT),"[203924, 1628963]",1610612757.0,POR,shooting,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,
61,PT07M32.00S,2023-11-01T23:18:22.3Z,1,REGULAR,freethrow,1 of 1,[],1628963,,,1610612765,14,9,2023-11-01T23:18:22Z,610000,False,,,0,,M. Bagley III Free Throw 1 of 1 (5 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
62,PT07M27.00S,2023-11-01T23:18:34.4Z,1,REGULAR,foul,personal,[],1641709,,,1610612757,14,9,2023-11-01T23:18:51Z,620000,False,,,0,,A. Thompson personal FOUL (2 PF),"[1641709, 1631101]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,2.0,0.0,Sharpe,1631101.0,,,,,,,,
64,PT07M20.00S,2023-11-01T23:18:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.00459921156373,46.568627450980394,1610612757,14,11,2023-11-01T23:19:08Z,640000,False,-17.0,4.0,1,right,J. Grant Layup (5 PTS) (S. Sharpe 2 AST),"[203924, 1631101]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.76,Made,5.0,S. Sharpe,1631101.0,2.0,,,,,,,,,,,,,,
65,PT07M20.00S,2023-11-01T23:18:59.7Z,1,REGULAR,foul,personal,['1freethrow'],1630191,,,1610612757,14,11,2023-11-01T23:19:08Z,650000,False,,,0,,I. Stewart shooting personal FOUL (2 PF) (Grant 1 FT),"[1630191, 203924]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,2882.0,2.0,0.0,Grant,203924.0,,,,,,,,
67,PT07M20.00S,2023-11-01T23:19:21.9Z,1,REGULAR,freethrow,1 of 1,[],203924,,,1610612757,14,12,2023-11-01T23:19:21Z,670000,False,,,0,,J. Grant Free Throw 1 of 1 (6 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
68,PT07M04.00S,2023-11-01T23:19:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,7.013797634691201,56.127450980392155,1610612765,16,12,2023-11-01T23:19:47Z,680000,False,-31.0,13.0,1,left,A. Thompson driving Layup (2 PTS) (M. Bagley III 1 AST),"[1641709, 1628963]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.34,Made,2.0,M. Bagley III,1628963.0,1.0,,,,,,,,,,,,,,
70,PT06M55.00S,2023-11-01T23:19:50.0Z,1,REGULAR,turnover,lost ball,[],203924,,,1610612757,16,12,2023-11-01T23:20:01Z,700000,False,,,0,,J. Grant lost ball TURNOVER (1 TO),"[203924, 1641709]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Thompson,1641709.0
71,PT06M55.00S,2023-11-01T23:19:50.0Z,1,REGULAR,steal,,[],1641709,,,1610612765,16,12,2023-11-01T23:19:53Z,710000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
72,PT06M51.00S,2023-11-01T23:20:02.8Z,1,REGULAR,turnover,out-of-bounds,[],1641709,,,1610612765,16,12,2023-11-01T23:20:17Z,720000,False,,,0,,A. Thompson lost ball out-of-bounds TURNOVER (1 TO),[1641709],1610612765.0,DET,lost ball,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627964.0,,,,,,,,,,1.0,,
73,PT06M51.00S,2023-11-01T23:20:15.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,16,12,2023-11-01T23:20:15Z,730000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M51.00S,2023-11-01T23:20:18.1Z,1,REGULAR,substitution,out,[],1641709,,,1610612757,16,12,2023-11-01T23:22:36Z,740000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M51.00S,2023-11-01T23:20:18.1Z,1,REGULAR,substitution,out,[],1629680,,,1610612757,16,12,2023-11-01T23:22:36Z,750000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M51.00S,2023-11-01T23:20:18.1Z,1,REGULAR,substitution,in,[],1631093,,,1610612757,16,12,2023-11-01T23:22:36Z,760000,False,,,0,,SUB in: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M51.00S,2023-11-01T23:20:18.1Z,1,REGULAR,substitution,in,[],1629057,,,1610612757,16,12,2023-11-01T23:22:36Z,770000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M35.00S,2023-11-01T23:23:10.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,93.08475689881735,56.61764705882353,1610612757,16,14,2023-11-01T23:23:15Z,780000,False,33.0,13.0,1,right,D. Ayton turnaround Hook (6 PTS) (S. Sharpe 3 AST),"[1629028, 1631101]",1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.54,Made,6.0,S. Sharpe,1631101.0,3.0,,,,,,,,,,,,,,
80,PT06M11.00S,2023-11-01T23:23:34.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628963,10.95597897503285,53.431372549019606,1610612765,16,14,2023-11-01T23:23:38Z,800000,False,-17.0,50.0,1,left,MISS M. Bagley III Hook,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
81,PT06M09.00S,2023-11-01T23:23:36.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,16,14,2023-11-01T23:23:38Z,810000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,80.0,,,,,,2.0,2.0,0.0,,,,,
82,PT06M01.00S,2023-11-01T23:23:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,90.32522996057818,52.69607843137255,1610612757,16,14,2023-11-01T23:23:56Z,820000,False,13.0,38.0,1,right,MISS R. Williams III Layup - blocked,"[1629057, 1628963]",1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,Bagley III,1628963.0,,,
83,PT06M01.00S,2023-11-01T23:23:44.8Z,1,REGULAR,block,,[],1628963,,,1610612757,16,14,2023-11-01T23:23:48Z,830000,False,,,0,,M. Bagley III BLOCK (1 BLK),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M53.00S,2023-11-01T23:23:52.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,16,14,2023-11-01T23:23:56Z,840000,False,,,0,,K. Hayes REBOUND (Off:0 Def:2),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,82.0,,,,,,2.0,2.0,0.0,,,,,
85,PT05M52.00S,2023-11-01T23:23:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,9.904730617608408,49.754901960784316,1610612765,16,14,2023-11-01T23:25:58Z,850000,False,1.0,41.0,1,left,MISS M. Bagley III floating Shot,[1628963],1610612765.0,DET,floating,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,,,,,,,,
86,PT05M52.00S,2023-11-01T23:23:54.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612757,16,14,2023-11-01T23:32:22Z,860000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,85.0,,,,,,1.0,1.0,0.0,,,,,
87,PT05M42.00S,2023-11-01T23:24:03.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,92.0335085413929,80.88235294117646,1610612757,16,16,2023-11-01T23:26:42Z,870000,False,154.0,22.0,1,right,D. Ayton 15' Jump Shot (8 PTS) (S. Sharpe 4 AST),"[1629028, 1631101]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,15.6,Made,8.0,S. Sharpe,1631101.0,4.0,,,,,,,,,,,,,,
89,PT05M21.00S,2023-11-01T23:24:24.9Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,16,16,2023-11-01T23:24:30Z,890000,False,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 203924]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Grant,203924.0
90,PT05M21.00S,2023-11-01T23:24:24.9Z,1,REGULAR,steal,,[],203924,,,1610612757,16,16,2023-11-01T23:24:27Z,900000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
