actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
28,PT09M22.00S,2023-11-28T00:13:55.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628398,87.59855453350855,44.85294117647059,1610612764,6,2,2023-11-28T00:19:27Z,280000,False,-26.0,64.0,1,right,MISS K. Kuzma 6' driving Layup - blocked,"[1628398, 1631093]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,6.91,Missed,,,,,,Ivey,1631093.0,,,,,,,,,,,
29,PT09M22.00S,2023-11-28T00:13:55.5Z,1,REGULAR,block,,[],1631093,,,1610612764,6,2,2023-11-28T00:28:10Z,290000,False,,,0,,J. Ivey BLOCK (1 BLK),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M18.00S,2023-11-28T00:13:59.5Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,6,2,2023-11-28T00:14:03Z,300000,False,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M16.00S,2023-11-28T00:14:00.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1641709,5.601182654402102,48.529411764705884,1610612765,8,2,2023-11-28T00:19:46Z,310000,False,7.0,0.0,1,left,A. Thompson running alley-oop DUNK (4 PTS) (J. Ivey 1 AST),"[1641709, 1631093]",1610612765.0,DET,running alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,4.0,,,J. Ivey,1631093.0,1.0,,,,,,,,
33,PT09M11.00S,2023-11-28T00:14:05.6Z,1,REGULAR,turnover,bad pass,[],1630166,,,1610612764,8,2,2023-11-28T00:14:12Z,330000,False,,,0,,D. Avdija bad pass TURNOVER (1 TO),"[1630166, 1641709]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,Thompson,1641709.0,,,,
34,PT09M11.00S,2023-11-28T00:14:05.6Z,1,REGULAR,steal,,[],1641709,,,1610612765,8,2,2023-11-28T00:14:07Z,340000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2023-11-28T00:14:13.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630191,15.456636005256241,47.794117647058826,1610612765,10,2,2023-11-28T00:20:33Z,350000,False,11.0,93.0,1,left,I. Stewart 9' floating Jump Shot (2 PTS) (J. Duren 1 AST),"[1630191, 1631105]",1610612765.0,DET,floating,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Center,9.34,Made,,,,,2.0,,,J. Duren,1631105.0,1.0,,,,,,,,
37,PT09M04.00S,2023-11-28T00:14:20.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,2,2023-11-28T00:14:20Z,370000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2023-11-28T00:17:17.1Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612764,10,2,2023-11-28T00:17:30Z,380000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Poole 2 FT),"[1631105, 1629673]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,,,,1.0,0.0,Poole,1629673.0
40,PT08M52.00S,2023-11-28T00:17:46.3Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612764,10,3,2023-11-28T00:17:46Z,400000,False,,,0,,J. Poole Free Throw 1 of 2 (1 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
41,PT08M52.00S,2023-11-28T00:17:59.7Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612764,10,4,2023-11-28T00:17:59Z,410000,False,,,0,,J. Poole Free Throw 2 of 2 (2 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M34.00S,2023-11-28T00:18:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,5.601182654402102,45.09803921568628,1610612765,10,4,2023-11-28T00:18:23Z,420000,False,25.0,0.0,1,left,MISS A. Thompson Layup,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
43,PT08M32.00S,2023-11-28T00:18:21.1Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,10,4,2023-11-28T00:18:23Z,430000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT08M25.00S,2023-11-28T00:18:31.0Z,1,REGULAR,foul,personal,[],1630595,,,1610612764,10,4,2023-11-28T00:18:38Z,450000,False,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1629673]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,202007.0,,,,1.0,0.0,Poole,1629673.0
47,PT08M18.00S,2023-11-28T00:18:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,63.288436268068324,47.30392156862745,1610612764,10,4,2023-11-28T00:18:56Z,470000,False,-13.0,293.0,1,right,MISS J. Poole 29' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,29.29,Missed,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2023-11-28T00:18:50.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,10,4,2023-11-28T00:20:13Z,480000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,47.0,,,,,,,,,,,,,,,,,
50,PT08M06.00S,2023-11-28T00:19:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.915243101182654,42.64705882352941,1610612765,10,4,2023-11-28T00:19:12Z,500000,False,37.0,13.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
51,PT08M03.00S,2023-11-28T00:19:10.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,10,4,2023-11-28T00:19:12Z,510000,False,,,0,,D. Gafford REBOUND (Off:1 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,50.0,3.0,2.0,1.0,,,,,,,,,,,,,,
53,PT07M53.00S,2023-11-28T00:19:37.4Z,1,REGULAR,3pt,Jump Shot,[],1630166,92.72339027595268,97.30392156862744,1610612764,10,7,2023-11-28T00:20:24Z,530000,False,237.0,16.0,1,right,D. Avdija 3PT  (3 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,23.7,Made,,,,,3.0,,,K. Kuzma,1628398.0,1.0,,,,,,,,
55,PT07M53.00S,2023-11-28T00:19:43.4Z,1,REGULAR,foul,personal,['1freethrow'],1641709,,,1610612764,10,7,2023-11-28T00:19:51Z,550000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Avdija 1 FT),"[1641709, 1630166]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,202007.0,,,,1.0,0.0,Avdija,1630166.0
57,PT07M53.00S,2023-11-28T00:20:25.0Z,1,REGULAR,freethrow,1 of 1,[],1630166,,,1610612764,10,8,2023-11-28T00:20:25Z,570000,False,,,0,,D. Avdija Free Throw 1 of 1 (4 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
58,PT07M41.00S,2023-11-28T00:20:37.9Z,1,REGULAR,3pt,Jump Shot,[],1630191,24.655059132720105,82.59803921568627,1610612765,10,8,2023-11-28T00:20:42Z,580000,False,-163.0,179.0,1,left,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,24.23,Missed,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2023-11-28T00:20:39.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,10,8,2023-11-28T00:20:42Z,590000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M34.00S,2023-11-28T00:20:49.3Z,1,REGULAR,turnover,out-of-bounds,[],1630166,,,1610612764,10,8,2023-11-28T00:23:33Z,600000,False,,,0,,D. Avdija bad pass out-of-bounds TURNOVER (2 TO),[1630166],1610612764.0,WAS,bad pass,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,203054.0,2.0,,,,,,
61,PT07M24.00S,2023-11-28T00:21:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630595,5.601182654402102,53.92156862745098,1610612765,10,8,2023-11-28T00:21:05Z,610000,False,-20.0,0.0,1,left,MISS C. Cunningham driving reverse Layup,[1630595],1610612765.0,DET,driving reverse,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,1.96,Missed,,,,,,,,,,,,,,,,,,
62,PT07M22.00S,2023-11-28T00:21:03.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,10,8,2023-11-28T00:21:05Z,620000,False,,,0,,D. Gafford REBOUND (Off:1 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,61.0,4.0,3.0,1.0,,,,,,,,,,,,,,
63,PT07M15.00S,2023-11-28T00:21:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,88.12417871222075,47.794117647058826,1610612764,10,10,2023-11-28T00:21:15Z,630000,False,-11.0,59.0,1,right,J. Poole 6' floating Jump Shot (4 PTS) (K. Kuzma 2 AST),"[1629673, 1628398]",1610612764.0,WAS,floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,6.01,Made,,,,,4.0,,,K. Kuzma,1628398.0,2.0,,,,,,,,
66,PT06M57.00S,2023-11-28T00:21:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630191,22.158344283837057,12.009803921568627,1610612765,10,10,2023-11-28T00:21:35Z,660000,False,190.0,156.0,1,left,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2023-11-28T00:21:30.7Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,10,10,2023-11-28T00:21:30Z,670000,False,,,0,,J. Ivey REBOUND (Off:2 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,66.0,3.0,1.0,2.0,,,,,,,,,,,,,,
68,PT06M49.00S,2023-11-28T00:21:35.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641709,5.863994743758213,48.529411764705884,1610612765,12,10,2023-11-28T00:21:39Z,680000,False,7.0,3.0,1,left,A. Thompson DUNK (6 PTS) (J. Ivey 2 AST),"[1641709, 1631093]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,6.0,,,J. Ivey,1631093.0,2.0,,,,,,,,
70,PT06M35.00S,2023-11-28T00:21:49.5Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,12,10,2023-11-28T00:21:57Z,700000,False,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1630595]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Cunningham,1630595.0,,,,
71,PT06M35.00S,2023-11-28T00:21:49.5Z,1,REGULAR,steal,,[],1630595,,,1610612765,12,10,2023-11-28T00:28:15Z,710000,False,,,0,,C. Cunningham STEAL (1 STL),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT06M31.00S,2023-11-28T00:21:54.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631105,5.075558475689881,52.20588235294118,1610612765,14,10,2023-11-28T00:25:56Z,720000,False,-11.0,-5.0,1,left,J. Duren running Layup (2 PTS) (J. Ivey 3 AST),"[1631105, 1631093]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.2,Made,,,,,2.0,,,J. Ivey,1631093.0,3.0,,,,,,,,
74,PT06M17.00S,2023-11-28T00:22:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,92.85479632063075,54.90196078431373,1610612764,14,10,2023-11-28T00:26:48Z,740000,False,25.0,15.0,1,right,MISS J. Poole cutting Layup,[1629673],1610612764.0,WAS,cutting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2023-11-28T00:22:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,14,10,2023-11-28T00:22:42Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,74.0,,,,,,,,,,,,,,,,,
77,PT06M16.00S,2023-11-28T00:22:17.2Z,1,REGULAR,substitution,out,[],1641709,,,1610612764,14,10,2023-11-28T00:22:26Z,770000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2023-11-28T00:22:17.2Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,14,10,2023-11-28T00:22:26Z,780000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M16.00S,2023-11-28T00:22:17.2Z,1,REGULAR,substitution,in,[],1630587,,,1610612764,14,10,2023-11-28T00:22:26Z,790000,False,,,0,,SUB in: I. Livers,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2023-11-28T00:22:17.2Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,14,10,2023-11-28T00:22:26Z,800000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M12.00S,2023-11-28T00:22:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630557,93.9060446780552,49.754901960784316,1610612764,14,12,2023-11-28T00:29:06Z,810000,False,-1.0,5.0,1,right,C. Kispert cutting Layup (2 PTS) (T. Jones 1 AST),"[1630557, 1626145]",1610612764.0,WAS,cutting,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,2.0,,,T. Jones,1626145.0,1.0,,,,,,,,
83,PT05M52.00S,2023-11-28T00:22:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,4.28712220762155,53.92156862745098,1610612765,16,12,2023-11-28T00:22:59Z,830000,False,-20.0,-12.0,1,left,J. Duren Layup (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.31,Made,,,,,4.0,,,C. Cunningham,1630595.0,2.0,,,,,,,,
85,PT05M39.00S,2023-11-28T00:23:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,91.01511169513797,46.32352941176471,1610612764,16,14,2023-11-28T00:23:11Z,850000,False,-18.0,32.0,1,right,D. Gafford driving Layup (4 PTS) (J. Poole 1 AST),"[1629655, 1629673]",1610612764.0,WAS,driving,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.69,Made,,,,,4.0,,,J. Poole,1629673.0,1.0,,,,,,,,
86,PT05M29.00S,2023-11-28T00:23:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612765,16,14,2023-11-28T00:23:32Z,860000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Duren 2 FT),"[1629655, 1631105]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202007.0,,,,1.0,0.0,Duren,1631105.0
89,PT05M29.00S,2023-11-28T00:23:54.7Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,17,14,2023-11-28T00:24:24Z,880000,False,,,0,,J. Duren Free Throw 1 of 2 (5 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
90,PT05M29.00S,2023-11-28T00:23:55.6Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,17,14,2023-11-28T00:24:03Z,890000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M29.00S,2023-11-28T00:23:55.6Z,1,REGULAR,substitution,out,[],1626145,,,1610612765,17,14,2023-11-28T00:24:03Z,900000,False,,,0,,SUB out: T. Jones,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
