actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
24,PT10M21.00S,2022-12-20T01:13:44.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,17.427726675427067,37.00980392156863,1610612759,2,6,2022-12-20T01:13:54Z,240000,False,65.0,111.0,1,left,MISS J. Poeltl 12' turnaround Hook,[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
25,PT10M19.00S,2022-12-20T01:13:46.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,6,2022-12-20T01:13:54Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,24.0,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2022-12-20T01:14:20.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630200,17.69053876478318,49.50980392156863,1610612759,2,8,2022-12-20T01:14:26Z,260000,False,2.0,114.0,1,left,T. Jones 11' driving floating Jump Shot (2 PTS) (D. Vassell 1 AST),"[1630200, 1630170]",1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.38,Made,,2.0,,,,,,,,,D. Vassell,1630170.0,1.0,,,,,
28,PT09M59.00S,2022-12-20T01:14:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612745,2,8,2022-12-20T01:14:39Z,280000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Sengun 2 FT),"[1627751, 1630578]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,1626301.0,1.0,0.0,Sengun,1630578.0,,,,,,,,
30,PT09M59.00S,2022-12-20T01:14:59.1Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,3,8,2022-12-20T01:14:59Z,300000,False,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
31,PT09M59.00S,2022-12-20T01:15:18.0Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,4,8,2022-12-20T01:15:18Z,310000,False,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
32,PT09M45.00S,2022-12-20T01:15:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.178055190538765,45.588235294117645,1610612759,4,10,2022-12-20T01:15:38Z,320000,False,22.0,15.0,1,left,J. Poeltl driving finger roll Layup (2 PTS),[1627751],1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.67,Made,,2.0,,,,,,,,,,,,,,,,
33,PT09M31.00S,2022-12-20T01:15:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,89.83245729303549,53.92156862745098,1610612745,4,10,2022-12-20T01:15:56Z,330000,False,20.0,43.0,1,right,MISS A. Sengun floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,,,,,,,,,,
34,PT09M30.00S,2022-12-20T01:15:48.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,10,2022-12-20T01:15:56Z,340000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT09M23.00S,2022-12-20T01:15:54.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,6.915243101182654,2.696078431372549,1610612759,4,13,2022-12-20T01:16:00Z,350000,False,237.0,13.0,1,left,D. Vassell 3PT  (8 PTS) (K. Bates-Diop 1 AST),"[1630170, 1628966]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,23.68,Made,,8.0,,,,,,,,,K. Bates-Diop,1628966.0,1.0,,,,,
37,PT09M10.00S,2022-12-20T01:16:10.1Z,1,REGULAR,foul,personal,[],1629641,,,1610612745,4,13,2022-12-20T01:16:29Z,370000,False,,,0,,R. Langford personal FOUL (1 PF),"[1629641, 1629645]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,16-24 Center,,,,,,,,201639.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,
39,PT09M02.00S,2022-12-20T01:16:32.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,92.72339027595268,50.73529411764706,1610612745,6,13,2022-12-20T01:16:36Z,390000,False,4.0,16.0,1,right,A. Sengun cutting DUNK (4 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.63,Made,,4.0,,,,,,,,,J. Green,1630224.0,1.0,,,,,
41,PT08M43.00S,2022-12-20T01:16:54.1Z,1,REGULAR,turnover,traveling,[],1627751,,,1610612759,6,13,2022-12-20T01:17:01Z,410000,False,,,0,,J. Poeltl traveling TURNOVER (1 TO),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,2005.0,,,,,,,,1.0,,,,
42,PT08M25.00S,2022-12-20T01:17:22.6Z,1,REGULAR,turnover,lost ball,[],1631095,,,1610612745,6,13,2022-12-20T01:17:26Z,420000,False,,,0,,J. Smith Jr. lost ball TURNOVER (1 TO),"[1631095, 1628966]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,Bates-Diop,1628966.0,,
43,PT08M25.00S,2022-12-20T01:17:22.6Z,1,REGULAR,steal,,[],1628966,,,1610612759,6,13,2022-12-20T01:17:24Z,430000,False,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
44,PT08M16.00S,2022-12-20T01:17:31.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628966,25.57490144546649,10.53921568627451,1610612759,6,16,2022-12-20T01:17:36Z,440000,False,197.0,188.0,1,left,K. Bates-Diop 27' 3PT  (3 PTS) (D. Vassell 2 AST),"[1628966, 1630170]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,27.25,Made,,3.0,,,,,,,,,D. Vassell,1630170.0,2.0,,,,,
46,PT08M14.00S,2022-12-20T01:17:40.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,6,16,2022-12-20T01:17:40Z,460000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2022-12-20T01:20:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,90.88370565045992,62.745098039215684,1610612745,6,16,2022-12-20T01:21:20Z,470000,False,64.0,33.0,1,right,MISS J. Green 7' driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2022-12-20T01:20:56.2Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,6,16,2022-12-20T01:21:02Z,480000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,47.0,,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT07M50.00S,2022-12-20T01:20:59.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,25.04927726675427,84.80392156862744,1610612759,6,16,2022-12-20T01:21:08Z,490000,False,-174.0,183.0,1,left,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,25.25,Missed,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2022-12-20T01:20:59.2Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,6,16,2022-12-20T01:21:08Z,500000,False,,,0,,T. Jones REBOUND (Off:1 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,49.0,,2.0,1.0,1.0,,,,,,,,,,,,,
51,PT07M43.00S,2022-12-20T01:21:06.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,26.10052562417871,16.176470588235293,1610612759,6,16,2022-12-20T01:21:16Z,510000,False,169.0,193.0,1,left,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
52,PT07M39.00S,2022-12-20T01:21:10.0Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,16,2022-12-20T01:21:16Z,520000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,51.0,,1.0,1.0,0.0,,,,,,,,,,,,,
53,PT07M34.00S,2022-12-20T01:21:15.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,74.85216819973719,12.745098039215685,1610612745,6,16,2022-12-20T01:21:23Z,530000,False,-186.0,184.0,1,right,MISS J. Smith Jr. 26' pullup 3PT,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
54,PT07M31.00S,2022-12-20T01:21:18.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,6,16,2022-12-20T01:21:23Z,540000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,53.0,,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M25.00S,2022-12-20T01:21:25.1Z,1,REGULAR,2pt,Jump Shot,[],1630200,22.026938239159,53.92156862745098,1610612759,6,16,2022-12-20T01:21:31Z,550000,False,-20.0,155.0,1,left,MISS T. Jones 15' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Center,15.58,Missed,,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2022-12-20T01:21:26.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,16,2022-12-20T01:21:37Z,560000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Center,,,55.0,,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT07M12.00S,2022-12-20T01:21:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,90.75229960578186,56.61764705882353,1610612745,6,16,2022-12-20T01:23:14Z,570000,False,33.0,34.0,1,right,MISS J. Smith Jr. Layup,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.77,Missed,,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2022-12-20T01:21:38.8Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,6,16,2022-12-20T01:21:53Z,580000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,57.0,,1.0,0.0,1.0,,,,,,,,,,,,,
59,PT07M09.00S,2022-12-20T01:21:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629645,92.06636005256242,46.568627450980394,1610612745,8,16,2022-12-20T01:22:01Z,590000,False,-17.0,22.0,1,right,K. Porter Jr. putback Layup (2 PTS),[1629645],1610612745.0,HOU,putback,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,2.8,Made,,2.0,,,,,,,,,,,,,,,,
60,PT06M55.00S,2022-12-20T01:21:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630200,25.837713534822605,16.176470588235293,1610612759,8,19,2022-12-20T01:22:04Z,600000,False,169.0,190.0,1,left,T. Jones 25' 3PT  (5 PTS) (J. Poeltl 1 AST),"[1630200, 1627751]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.47,Made,,5.0,,,,,,,,,J. Poeltl,1627751.0,1.0,,,,,
62,PT06M38.00S,2022-12-20T01:22:11.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,90.09526938239159,51.470588235294116,1610612745,10,19,2022-12-20T01:22:15Z,620000,False,7.0,41.0,1,right,A. Sengun turnaround Hook (6 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.13,Made,,6.0,,,,,,,,,,,,,,,,
64,PT06M32.00S,2022-12-20T01:22:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,8.09789750328515,55.63725490196079,1610612759,10,21,2022-12-20T01:22:23Z,640000,False,-28.0,24.0,1,left,R. Langford cutting Layup (3 PTS) (T. Jones 2 AST),"[1629641, 1630200]",1610612759.0,SAS,cutting,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,3.68,Made,,3.0,,,,,,,,,T. Jones,1630200.0,2.0,,,,,
66,PT06M15.00S,2022-12-20T01:22:34.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629645,92.19776609724047,49.01960784313725,1610612745,12,21,2022-12-20T01:22:40Z,660000,False,-5.0,21.0,1,right,K. Porter Jr. driving DUNK (4 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,2.14,Made,,4.0,,,,,,,,,,,,,,,,
67,PT06M08.00S,2022-12-20T01:22:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628966,17.821944809461236,54.41176470588235,1610612759,12,21,2022-12-20T01:29:25Z,670000,False,-22.0,115.0,1,left,MISS K. Bates-Diop 11' floating Shot,[1628966],1610612759.0,SAS,floating,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,11.71,Missed,,,,,,,,,,,,,,,,,,
68,PT06M07.00S,2022-12-20T01:22:44.6Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,12,21,2022-12-20T01:29:25Z,680000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,67.0,,2.0,1.0,1.0,,,,,,,,,,,,,
69,PT06M07.00S,2022-12-20T01:23:04.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628966,5.590000152587891,50.0,1610612759,12,21,2022-12-20T01:30:15Z,690000,False,0.0,0.0,1,left,MISS K. Bates-Diop tip Layup,[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2022-12-20T01:23:05.3Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,12,21,2022-12-20T01:30:15Z,700000,False,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,69.0,,2.0,1.0,1.0,,,,,,,,,,,,,
71,PT05M50.00S,2022-12-20T01:23:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,91.80354796320631,52.450980392156865,1610612745,12,21,2022-12-20T01:31:39Z,710000,False,12.0,25.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2022-12-20T01:23:11.9Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,12,21,2022-12-20T01:31:39Z,720000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,71.0,,3.0,2.0,1.0,,,,,,,,,,,,,
73,PT05M49.00S,2022-12-20T01:23:16.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630578,94.40999984741211,50.0,1610612745,14,21,2022-12-20T01:31:54Z,730000,False,0.0,0.0,1,right,A. Sengun tip Layup (8 PTS),[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.0,Made,,8.0,,,,,,,,,,,,,,,,
74,PT05M30.00S,2022-12-20T01:23:28.4Z,1,REGULAR,3pt,Jump Shot,[],1630200,28.33442838370565,75.98039215686273,1610612759,14,21,2022-12-20T01:33:57Z,740000,False,-130.0,214.0,1,left,MISS T. Jones 25' pullup 3PT,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,25.02,Missed,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2022-12-20T01:23:30.4Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,14,21,2022-12-20T01:33:31Z,750000,False,,,0,,T. Jones REBOUND (Off:2 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,74.0,,3.0,1.0,2.0,,,,,,,,,,,,,
76,PT05M23.00S,2022-12-20T01:23:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630200,6.783837056504599,50.0,1610612759,14,23,2022-12-20T01:33:39Z,760000,False,0.0,11.0,1,left,T. Jones Layup (7 PTS),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,1.13,Made,,7.0,,,,,,,,,,,,,,,,
77,PT05M16.00S,2022-12-20T01:23:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,92.46057818659659,49.01960784313725,1610612745,16,23,2022-12-20T01:23:47Z,770000,False,-5.0,18.0,1,right,K. Porter Jr. finger roll Layup (6 PTS),[1629645],1610612745.0,HOU,finger roll,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,1.9,Made,,6.0,,,,,,,,,,,,,,,,
78,PT05M16.00S,2022-12-20T01:23:44.9Z,1,REGULAR,foul,personal,['1freethrow'],1630170,,,1610612745,16,23,2022-12-20T01:24:34Z,780000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[1630170, 1629645]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,2005.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,
80,PT05M16.00S,2022-12-20T01:23:55.7Z,1,REGULAR,substitution,out,[],201569,,,1610612745,16,23,2022-12-20T01:24:30Z,800000,False,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M16.00S,2022-12-20T01:23:55.7Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,16,23,2022-12-20T01:24:30Z,810000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2022-12-20T01:23:55.7Z,1,REGULAR,substitution,out,[],1629641,,,1610612745,16,23,2022-12-20T01:24:30Z,820000,False,,,0,,SUB out: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
