actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
20,PT10M03.00S,2022-12-24T01:13:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,90.22667542706965,46.32352941176471,1610612745,2,3,2022-12-24T01:13:39Z,200000,False,-18.0,39.0,1,right,MISS J. Smith Jr. driving Layup - blocked,"[1631095, 203501]",1610612745.0,HOU,driving,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,,,,,,,Hardaway Jr.,203501.0,,
21,PT10M03.00S,2022-12-24T01:13:33.0Z,1,REGULAR,block,,[],203501,,,1610612745,2,3,2022-12-24T01:13:35Z,210000,False,,,0,,T. Hardaway Jr. BLOCK (1 BLK),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2022-12-24T01:13:37.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,2,3,2022-12-24T01:13:39Z,220000,False,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,20.0,,,,,1.0,1.0,0.0,,,,,,,,,,
23,PT09M56.00S,2022-12-24T01:13:40.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,25.57490144546649,86.02941176470588,1610612742,2,3,2022-12-24T01:19:57Z,230000,False,-180.0,188.0,1,left,MISS T. Hardaway Jr. 26' running 3PT,[203501],1610612742.0,DAL,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2022-12-24T01:13:42.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,3,2022-12-24T01:13:54Z,240000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,23.0,,,,,1.0,1.0,0.0,,,,,,,,,,
25,PT09M49.00S,2022-12-24T01:13:48.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630224,93.24901445466492,50.0,1610612745,4,3,2022-12-24T01:14:03Z,250000,False,0.0,11.0,1,right,J. Green running DUNK (2 PTS),[1630224],1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.1,Made,,2.0,,,,,,,,,,,,,,,,
27,PT09M36.00S,2022-12-24T01:14:11.2Z,1,REGULAR,3pt,Jump Shot,[],203493,23.603810775295663,87.74509803921569,1610612742,4,3,2022-12-24T01:14:21Z,270000,False,-189.0,169.0,1,left,MISS R. Bullock 25' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,25.36,Missed,,,,,,,,,,,,,,,,,,
28,PT09M34.00S,2022-12-24T01:14:13.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,4,3,2022-12-24T01:14:21Z,280000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,27.0,,,,,2.0,2.0,0.0,,,,,,,,,,
30,PT09M23.00S,2022-12-24T01:14:34.1Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,4,3,2022-12-24T01:14:42Z,300000,False,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1629029]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Doncic,1629029.0
31,PT09M23.00S,2022-12-24T01:14:34.1Z,1,REGULAR,steal,,[],1629029,,,1610612742,4,3,2022-12-24T01:14:38Z,310000,False,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M21.00S,2022-12-24T01:14:41.5Z,1,REGULAR,foul,personal,[],1629645,,,1610612742,4,3,2022-12-24T01:14:56Z,320000,False,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 203501]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,101283.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,
34,PT09M09.00S,2022-12-24T01:14:58.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,28.597240473061763,18.627450980392158,1610612742,4,6,2022-12-24T01:15:03Z,340000,False,157.0,216.0,1,left,L. Doncic 26' 3PT step back (3 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,26.72,Made,,3.0,,,,,,,,,,,,,,,,
35,PT08M54.00S,2022-12-24T01:15:13.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,92.85479632063075,42.15686274509804,1610612745,6,6,2022-12-24T01:15:21Z,350000,False,-39.0,15.0,1,right,A. Sengun turnaround Hook (4 PTS) (J. Green 2 AST),"[1630578, 1630224]",1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.19,Made,,4.0,J. Green,1630224.0,2.0,,,,,,,,,,,,,
36,PT08M43.00S,2022-12-24T01:15:30.2Z,1,REGULAR,foul,personal,[],1630231,,,1610612742,6,6,2022-12-24T01:15:40Z,360000,False,,,0,,K. Martin Jr. personal FOUL (1 PF),"[1630231, 203501]",1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627524.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,
38,PT08M33.00S,2022-12-24T01:15:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,13.222733245729303,62.99019607843137,1610612742,6,6,2022-12-24T01:16:02Z,380000,False,-65.0,72.0,1,left,MISS L. Doncic 9' floating Shot,[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Left,9.69,Missed,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2022-12-24T01:15:52.7Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,6,6,2022-12-24T01:16:02Z,390000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,38.0,,,,,1.0,1.0,0.0,,,,,,,,,,
40,PT08M25.00S,2022-12-24T01:16:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630231,91.67214191852825,41.911764705882355,1610612745,6,6,2022-12-24T01:27:31Z,400000,False,-40.0,26.0,1,right,MISS K. Martin Jr. running Layup,[1630231],1610612745.0,HOU,running,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,,,,,,,,,,,,,
41,PT08M25.00S,2022-12-24T01:16:00.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,6,6,2022-12-24T01:16:06Z,410000,False,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,2.0,2.0,0.0,,,,,,,,,,
42,PT08M16.00S,2022-12-24T01:16:09.9Z,1,REGULAR,turnover,lost ball,[],1629029,,,1610612742,6,6,2022-12-24T01:16:14Z,420000,False,,,0,,L. Doncic lost ball TURNOVER (1 TO),"[1629029, 1629645]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,Porter Jr.,1629645.0
43,PT08M16.00S,2022-12-24T01:16:09.9Z,1,REGULAR,steal,,[],1629645,,,1610612745,6,6,2022-12-24T01:16:11Z,430000,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M12.00S,2022-12-24T01:16:14.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630231,92.06636005256242,47.30392156862745,1610612745,8,6,2022-12-24T01:16:19Z,440000,False,-13.0,22.0,1,right,K. Martin Jr. cutting DUNK (2 PTS) (A. Sengun 1 AST),"[1630231, 1630578]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,2.59,Made,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,
46,PT07M55.00S,2022-12-24T01:16:33.7Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612742,8,6,2022-12-24T01:16:59Z,460000,False,,,0,,K. Porter Jr. shooting personal FOUL (2 PF) (Doncic 2 FT),"[1629645, 1629029]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,200832.0,2.0,0.0,Doncic,1629029.0,,,,,
48,PT07M55.00S,2022-12-24T01:17:01.8Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,8,7,2022-12-24T01:17:01Z,480000,False,,,0,,L. Doncic Free Throw 1 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
49,PT07M55.00S,2022-12-24T01:17:21.9Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,8,8,2022-12-24T01:17:21Z,490000,False,,,0,,L. Doncic Free Throw 2 of 2 (5 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
50,PT07M36.00S,2022-12-24T01:17:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,86.15308804204993,39.21568627450981,1610612745,8,8,2022-12-24T01:17:49Z,500000,False,-54.0,78.0,1,right,MISS K. Porter Jr. 9' floating Shot,[1629645],1610612745.0,HOU,floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,9.46,Missed,,,,,,,,,,,,,,,,,,
51,PT07M36.00S,2022-12-24T01:17:42.0Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,8,8,2022-12-24T01:17:49Z,510000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,50.0,,,,,1.0,1.0,0.0,,,,,,,,,,
52,PT07M21.00S,2022-12-24T01:17:57.0Z,1,REGULAR,3pt,Jump Shot,[],203501,24.26084099868594,8.333333333333332,1610612742,8,8,2022-12-24T01:18:06Z,520000,False,208.0,176.0,1,left,MISS T. Hardaway Jr. 27' pullup 3PT,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,27.24,Missed,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2022-12-24T01:17:58.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,8,8,2022-12-24T01:18:06Z,530000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,52.0,,,,,1.0,1.0,0.0,,,,,,,,,,
54,PT07M14.00S,2022-12-24T01:18:04.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630578,93.11760840998686,49.26470588235294,1610612745,10,8,2022-12-24T01:36:54Z,540000,False,-4.0,12.0,1,right,A. Sengun running DUNK (6 PTS) (J. Smith Jr. 1 AST),"[1630578, 1631095]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.27,Made,,6.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,,,,
56,PT07M03.00S,2022-12-24T01:18:21.5Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,10,8,2022-12-24T01:19:06Z,560000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1630231]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,2.0,,,Martin Jr.,1630231.0
57,PT07M03.00S,2022-12-24T01:18:21.5Z,1,REGULAR,steal,,[],1630231,,,1610612745,10,8,2022-12-24T01:18:41Z,570000,False,,,0,,K. Martin Jr. STEAL (1 STL),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M56.00S,2022-12-24T01:18:43.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630224,90.48948751642575,47.30392156862745,1610612745,12,8,2022-12-24T01:41:52Z,580000,False,-13.0,37.0,1,right,J. Green running DUNK (4 PTS) (J. Smith Jr. 2 AST),"[1630224, 1631095]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.93,Made,,4.0,J. Smith Jr.,1631095.0,2.0,,,,,,,,,,,,,
60,PT06M56.00S,2022-12-24T01:19:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,12,8,2022-12-24T01:19:13Z,600000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2022-12-24T01:21:42.8Z,1,REGULAR,foul,offensive,[],1626174,,,1610612742,12,8,2022-12-24T01:22:04Z,610000,False,,,0,,C. Wood offensive FOUL (1 PF),"[1626174, 1631095]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1627524.0,1.0,0.0,Smith Jr.,1631095.0,,,,,
64,PT06M47.00S,2022-12-24T01:21:42.8Z,1,REGULAR,turnover,offensive foul,[],1626174,,,1610612742,12,8,2022-12-24T01:21:42Z,630000,False,,,0,,C. Wood offensive foul TURNOVER (1 TO),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1627524.0,,,,,1.0,,,,
65,PT06M25.00S,2022-12-24T01:22:15.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,64.86530880420499,48.529411764705884,1610612745,12,8,2022-12-24T01:43:40Z,640000,False,-7.0,278.0,1,right,MISS K. Porter Jr. 27' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,27.79,Missed,,,,,,,,,,,,,,,,,,
66,PT06M23.00S,2022-12-24T01:22:17.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,12,8,2022-12-24T01:22:22Z,650000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,65.0,,,,,2.0,1.0,1.0,,,,,,,,,,
67,PT06M19.00S,2022-12-24T01:22:20.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631095,90.88370565045992,46.07843137254902,1610612745,14,8,2022-12-24T01:22:26Z,660000,False,-20.0,33.0,1,right,J. Smith Jr. floating Jump Shot (2 PTS) (A. Sengun 2 AST),"[1631095, 1630578]",1610612745.0,HOU,floating,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,3.86,Made,,2.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,
69,PT06M02.00S,2022-12-24T01:22:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626174,6.1268068331143235,51.225490196078425,1610612742,14,10,2022-12-24T01:22:51Z,680000,False,-6.0,5.0,1,left,C. Wood alley-oop DUNK (2 PTS) (L. Doncic 2 AST),"[1626174, 1629029]",1610612742.0,DAL,alley-oop,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,0.8,Made,,2.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,
71,PT06M02.00S,2022-12-24T01:22:42.8Z,1,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612742,14,10,2022-12-24T01:22:52Z,700000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Wood 1 FT),"[1630578, 1626174]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Wood,1626174.0,,,,,
73,PT06M02.00S,2022-12-24T01:23:06.6Z,1,REGULAR,freethrow,1 of 1,[],1626174,,,1610612742,14,11,2022-12-24T01:23:06Z,720000,False,,,0,,C. Wood Free Throw 1 of 1 (3 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
74,PT05M49.00S,2022-12-24T01:23:20.4Z,1,REGULAR,2pt,Jump Shot,[],1629645,78.66294349540078,36.029411764705884,1610612745,16,11,2022-12-24T01:23:24Z,730000,False,-70.0,148.0,1,right,K. Porter Jr. 16' pullup Jump Shot (2 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Left Center,16.38,Made,,2.0,,,,,,,,,,,,,,,,
75,PT05M33.00S,2022-12-24T01:23:38.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629645,,,1610612742,16,11,2022-12-24T01:23:49Z,740000,False,,,0,,K. Porter Jr. personal FOUL (3 PF) (Wood 2 FT),"[1629645, 1626174]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627524.0,3.0,0.0,Wood,1626174.0,,,,,
77,PT05M33.00S,2022-12-24T01:24:00.2Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,16,12,2022-12-24T01:24:00Z,760000,False,,,0,,C. Wood Free Throw 1 of 2 (4 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
78,PT05M33.00S,2022-12-24T01:24:00.9Z,1,REGULAR,substitution,out,[],1629645,,,1610612742,16,12,2022-12-24T01:24:05Z,770000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M33.00S,2022-12-24T01:24:00.9Z,1,REGULAR,substitution,in,[],1630227,,,1610612742,16,12,2022-12-24T01:24:05Z,780000,False,,,0,,SUB in: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2022-12-24T01:24:13.7Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,16,13,2022-12-24T01:24:13Z,790000,False,,,0,,C. Wood Free Throw 2 of 2 (5 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
81,PT05M13.00S,2022-12-24T01:24:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,86.81011826544021,46.81372549019608,1610612745,16,13,2022-12-24T01:24:40Z,800000,False,-16.0,71.0,1,right,MISS K. Martin Jr. 7' cutting Layup,[1630231],1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.32,Missed,,,,,,,,,,,,,,,,,,
82,PT05M11.00S,2022-12-24T01:24:37.6Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,16,13,2022-12-24T01:24:40Z,810000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,81.0,,,,,2.0,1.0,1.0,,,,,,,,,,
83,PT05M09.00S,2022-12-24T01:24:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631095,91.80354796320631,51.470588235294116,1610612745,18,13,2022-12-24T01:24:45Z,820000,False,7.0,25.0,1,right,J. Smith Jr. putback Layup (4 PTS),[1631095],1610612745.0,HOU,putback,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,2.56,Made,,4.0,,,,,,,,,,,,,,,,
84,PT04M55.00S,2022-12-24T01:24:52.1Z,1,REGULAR,3pt,Jump Shot,[],203501,4.418528252299605,95.83333333333334,1610612742,18,13,2022-12-24T01:24:57Z,830000,False,-229.0,-11.0,1,left,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
85,PT04M55.00S,2022-12-24T01:24:52.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,18,13,2022-12-24T01:24:57Z,840000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:2),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,84.0,,,,,3.0,2.0,1.0,,,,,,,,,,
86,PT04M42.00S,2022-12-24T01:25:05.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,88.51839684625493,52.94117647058824,1610612745,18,13,2022-12-24T01:25:11Z,850000,False,15.0,55.0,1,right,MISS A. Sengun Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.73,Missed,,,,,,,,,,,,,,,,,,
88,PT04M39.00S,2022-12-24T01:25:08.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,18,13,2022-12-24T01:25:11Z,870000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,86.0,,,,,2.0,2.0,0.0,,,,,,,,,,
