actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
33,PT10M09.00S,2022-10-22T00:17:41.8Z,1,REGULAR,2pt,Jump Shot,[],1630217,75.90341655716163,72.30392156862744,1610612763,6,2,2022-10-22T00:17:52Z,330000,112.0,174.0,1,right,MISS D. Bane 20' Jump Shot,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,20.67,Missed,,,,,,,,,,,,,,,,
34,PT10M07.00S,2022-10-22T00:17:43.8Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,6,2,2022-10-22T00:17:52Z,340000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT09M52.00S,2022-10-22T00:17:59.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,19.267411300919843,20.34313725490196,1610612745,6,2,2022-10-22T00:18:07Z,350000,148.0,129.0,1,left,MISS J. Green 19' Jump Shot,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,19.63,Missed,,,,,,,,,,,,,,,,
36,PT09M49.00S,2022-10-22T00:18:02.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,2,2022-10-22T00:18:07Z,360000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Right Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M40.00S,2022-10-22T00:18:10.9Z,1,REGULAR,3pt,Jump Shot,[],1630583,90.62089356110381,98.77450980392157,1610612763,6,2,2022-10-22T00:18:18Z,370000,244.0,36.0,1,right,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,,,24.65,Missed,,,,,,,,,,,,,,,,
38,PT09M37.00S,2022-10-22T00:18:13.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,6,2,2022-10-22T00:18:18Z,380000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
39,PT09M30.00S,2022-10-22T00:18:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.440867279894875,50.245098039215684,1610612745,6,2,2022-10-22T00:18:30Z,390000,-1.0,17.0,1,left,MISS K. Porter Jr. Layup - blocked,"[1629645, 1630583]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,1.74,Missed,,,,,,,,,,Aldama,1630583.0,,,,,
40,PT09M30.00S,2022-10-22T00:18:20.8Z,1,REGULAR,block,,[],1630583,,,1610612745,6,2,2022-10-22T00:18:23Z,400000,,,0,,S. Aldama BLOCK (2 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M24.00S,2022-10-22T00:18:26.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,2,2022-10-22T00:18:30Z,410000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,
42,PT09M15.00S,2022-10-22T00:18:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,87.59855453350855,55.14705882352941,1610612763,6,2,2022-10-22T00:18:44Z,420000,26.0,64.0,1,right,MISS D. Bane 6' Jump Shot - blocked,"[1630217, 1631095]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,6.91,Missed,,,,,,,,,,Smith Jr.,1631095.0,,,,,
43,PT09M15.00S,2022-10-22T00:18:35.5Z,1,REGULAR,block,,[],1631095,,,1610612763,6,2,2022-10-22T00:18:40Z,430000,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT09M08.00S,2022-10-22T00:18:42.5Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,6,2,2022-10-22T00:18:44Z,440000,,,0,,E. Gordon REBOUND (Off:1 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,
45,PT09M07.00S,2022-10-22T00:18:44.1Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612745,6,2,2022-10-22T00:18:53Z,450000,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 1629723]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,,,,,Konchar,1629723.0
46,PT09M07.00S,2022-10-22T00:18:44.1Z,1,REGULAR,steal,,[],1629723,,,1610612763,6,2,2022-10-22T00:18:46Z,460000,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
47,PT09M03.00S,2022-10-22T00:18:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629723,91.67214191852825,51.225490196078425,1610612763,6,4,2022-10-22T00:19:01Z,470000,6.0,26.0,1,right,J. Konchar running Layup (2 PTS),[1629723],1610612763.0,MEM,running,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,2.65,Made,,,,,2.0,,,,,,,,,,,
48,PT08M43.00S,2022-10-22T00:19:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.995400788436268,52.94117647058824,1610612745,8,4,2022-10-22T00:19:14Z,480000,-15.0,4.0,1,left,J. Green driving Layup (2 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,1.52,Made,,,,,2.0,,,,,,,,,,,
49,PT08M38.00S,2022-10-22T00:19:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630583,92.72339027595268,54.90196078431373,1610612763,8,6,2022-10-22T00:19:20Z,490000,25.0,16.0,1,right,S. Aldama alley-oop Layup (4 PTS) (J. Morant 1 AST),"[1630583, 1629630]",1610612763.0,MEM,alley-oop,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,2.92,Made,,,,,4.0,,,,,,,J. Morant,1629630.0,1.0,,
51,PT08M22.00S,2022-10-22T00:19:28.4Z,1,REGULAR,3pt,Jump Shot,[],201569,32.276609724047304,69.11764705882352,1610612745,8,6,2022-10-22T00:19:33Z,510000,-96.0,251.0,1,left,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,26.85,Missed,,,,,,,,,,,,,,,,
52,PT08M19.00S,2022-10-22T00:19:31.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,8,6,2022-10-22T00:19:33Z,520000,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,
53,PT08M13.00S,2022-10-22T00:19:37.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,73.80091984231275,14.215686274509803,1610612763,8,6,2022-10-22T00:19:43Z,530000,-179.0,194.0,1,right,MISS S. Aldama 26' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,,,26.37,Missed,,,,,,,,,,,,,,,,
54,PT08M11.00S,2022-10-22T00:19:39.1Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612745,8,6,2022-10-22T00:19:43Z,540000,,,0,,B. Fernando REBOUND (Off:1 Def:2),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Above the Break 3,24+ Left Center,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,
55,PT07M52.00S,2022-10-22T00:19:59.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,27.677398160315374,52.69607843137255,1610612745,8,6,2022-10-22T00:20:12Z,550000,-13.0,208.0,1,left,MISS J. Green 20' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,20.81,Missed,,,,,,,,,,,,,,,,
56,PT07M51.00S,2022-10-22T00:20:00.3Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,8,6,2022-10-22T00:20:12Z,560000,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Mid-Range,16-24 Center,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,
57,PT07M36.00S,2022-10-22T00:20:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.93495400788436,48.28431372549019,1610612763,8,8,2022-10-22T00:20:19Z,570000,-9.0,23.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,2.48,Made,,,,,2.0,,,,,,,,,,,
58,PT07M20.00S,2022-10-22T00:20:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,10.33180026281209,50.49019607843137,1610612745,8,8,2022-10-22T00:20:41Z,580000,-2.0,45.0,1,left,MISS K. Porter Jr. driving floating Shot,[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,4.47,Missed,,,,,,,,,,,,,,,,
59,PT07M19.00S,2022-10-22T00:20:32.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,8,8,2022-10-22T00:20:32Z,590000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,
60,PT07M13.00S,2022-10-22T00:20:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,82.21090670170827,42.40196078431372,1610612763,8,10,2022-10-22T00:20:45Z,600000,-38.0,115.0,1,right,J. Morant 12' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,12.08,Made,,,,,4.0,,,,,,,,,,,
61,PT06M56.00S,2022-10-22T00:20:55.3Z,1,REGULAR,turnover,lost ball,[],201569,,,1610612745,8,10,2022-10-22T00:20:59Z,610000,,,0,,E. Gordon lost ball TURNOVER (2 TO),"[201569, 1629723]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,,,,,,,Konchar,1629723.0
62,PT06M56.00S,2022-10-22T00:20:55.3Z,1,REGULAR,steal,,[],1629723,,,1610612763,8,10,2022-10-22T00:20:57Z,620000,,,0,,J. Konchar STEAL (2 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2022-10-22T00:20:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629723,92.9862023653088,51.71568627450981,1610612763,8,12,2022-10-22T00:21:06Z,630000,9.0,13.0,1,right,J. Konchar running Layup (4 PTS) (S. Adams 1 AST),"[1629723, 203500]",1610612763.0,MEM,running,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,1.59,Made,,,,,4.0,,,,,,,S. Adams,203500.0,1.0,,
65,PT06M50.00S,2022-10-22T00:21:06.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,8,12,2022-10-22T00:21:06Z,650000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2022-10-22T00:22:24.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612745,8,12,2022-10-22T00:23:53Z,660000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2022-10-22T00:22:24.9Z,1,REGULAR,substitution,in,[],1626145,,,1610612745,8,12,2022-10-22T00:23:53Z,670000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2022-10-22T00:24:11.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,27.283180026281208,20.098039215686274,1610612745,11,12,2022-10-22T00:24:17Z,680000,150.0,204.0,1,left,J. Green 25' 3PT  (5 PTS) (B. Fernando 1 AST),"[1630224, 1628981]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,25.29,Made,,,,,5.0,,,,,,,B. Fernando,1628981.0,1.0,,
70,PT06M20.00S,2022-10-22T00:24:32.0Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,11,12,2022-10-22T00:25:05Z,700000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1628981]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Fernando,1628981.0
71,PT06M20.00S,2022-10-22T00:24:32.0Z,1,REGULAR,steal,,[],1628981,,,1610612745,11,12,2022-10-22T00:24:33Z,710000,,,0,,B. Fernando STEAL (1 STL),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2022-10-22T00:24:41.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,29.38567674113009,75.0,1610612745,11,12,2022-10-22T00:24:50Z,720000,-125.0,224.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,25.63,Missed,,,,,,,,,,,,,,,,
73,PT06M10.00S,2022-10-22T00:24:42.0Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,11,12,2022-10-22T00:24:50Z,730000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,
74,PT05M59.00S,2022-10-22T00:24:53.3Z,1,REGULAR,3pt,Jump Shot,[],1629630,82.47371879106439,4.166666666666666,1610612763,11,15,2022-10-22T00:24:58Z,740000,-229.0,112.0,1,right,J. Morant 25' 3PT  (7 PTS) (T. Jones 1 AST),"[1629630, 1626145]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,25.52,Made,,,,,7.0,,,,,,,T. Jones,1626145.0,1.0,,
76,PT05M44.00S,2022-10-22T00:25:07.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,21.76412614980289,38.23529411764706,1610612745,13,15,2022-10-22T00:25:12Z,760000,59.0,152.0,1,left,J. Green 16' pullup Jump Shot (7 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,,,16.31,Made,,,,,7.0,,,,,,,,,,,
77,PT05M19.00S,2022-10-22T00:25:31.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,88.38699080157687,61.274509803921575,1610612763,13,17,2022-10-22T00:25:39Z,770000,56.0,57.0,1,right,S. Adams 8' driving Hook (2 PTS) (S. Aldama 1 AST),"[203500, 1630583]",1610612763.0,MEM,driving,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Right,,,8.0,Made,,,,,2.0,,,,,,,S. Aldama,1630583.0,1.0,,
79,PT04M59.00S,2022-10-22T00:25:55.8Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612745,13,17,2022-10-22T00:26:03Z,790000,,,0,,J. Morant shooting personal FOUL (1 PF) (Green 2 FT),"[1629630, 1630224]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,Mid-Range,8-16 Center,1662.0,,,,,,,,,1.0,0.0,Green,1630224.0,,,,,,,
81,PT04M59.00S,2022-10-22T00:26:22.6Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,13,17,2022-10-22T00:26:22Z,810000,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
