actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
30,PT09M21.00S,2023-03-19T23:14:43.6Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.414586070959263,19.607843137254903,1610612745,8,5,2023-03-19T23:14:57Z,300000,False,152.0,205.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,25.54,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2023-03-19T23:14:46.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,5,2023-03-19T23:14:57Z,310000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Valanciunas,J. Valanciunas,30.0,2.0,1.0,1.0,,,,,,,,,,,,,,
32,PT09M10.00S,2023-03-19T23:14:54.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,89.30683311432325,4.6568627450980395,1610612740,8,8,2023-03-19T23:15:00Z,320000,False,-227.0,48.0,1,right,T. Murphy III 3PT  (3 PTS) (B. Ingram 1 AST),"[1630530, 1627742]",1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,23.17,Made,Murphy III,T. Murphy III,,,,,3.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
34,PT08M54.00S,2023-03-19T23:15:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,13.748357424441524,58.08823529411765,1610612745,8,8,2023-03-19T23:15:16Z,340000,False,-40.0,77.0,1,left,MISS A. Sengun 8' driving floating Shot,[1630578],1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.67,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
35,PT08M53.00S,2023-03-19T23:15:10.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,8,8,2023-03-19T23:15:16Z,350000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,34.0,,,,,,,,,,,,,,,,,
37,PT08M41.00S,2023-03-19T23:15:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,89.43823915900131,96.07843137254902,1610612740,8,11,2023-03-19T23:20:53Z,370000,False,230.0,47.0,1,right,H. Jones 3PT  (3 PTS) (B. Ingram 2 AST),"[1630529, 1627742]",1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,23.51,Made,Jones,H. Jones,,,,,3.0,B. Ingram,1627742.0,2.0,,,,,,,,,,
39,PT08M16.00S,2023-03-19T23:15:59.0Z,1,REGULAR,2pt,Jump Shot,[],1629645,20.18725361366623,67.64705882352942,1610612745,10,11,2023-03-19T23:24:46Z,390000,False,-88.0,137.0,1,left,K. Porter Jr. 16' step back Jump Shot (4 PTS),[1629645],1610612745.0,HOU,step back,,,,,,Mid-Range,16-24 Left Center,16.32,Made,Porter Jr.,K. Porter Jr.,,,,,4.0,,,,,,,,,,,,,
40,PT07M59.00S,2023-03-19T23:16:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,92.72339027595268,43.627450980392155,1610612740,10,13,2023-03-19T23:16:23Z,400000,False,-32.0,16.0,1,right,C. McCollum driving finger roll Layup (2 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,driving finger roll,,,,,,Restricted Area,0-8 Center,3.56,Made,McCollum,C. McCollum,,,,,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,
41,PT07M47.00S,2023-03-19T23:16:28.5Z,1,REGULAR,3pt,Jump Shot,[],1630578,31.35676741130092,29.411764705882355,1610612745,10,13,2023-03-19T23:16:33Z,410000,False,103.0,242.0,1,left,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,26.32,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
42,PT07M44.00S,2023-03-19T23:16:31.5Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,10,13,2023-03-19T23:16:33Z,420000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,McCollum,C. McCollum,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
44,PT07M30.00S,2023-03-19T23:16:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.38042049934296,48.03921568627451,1610612740,10,13,2023-03-19T23:16:53Z,430000,False,-10.0,10.0,1,right,MISS J. Valanciunas driving reverse Layup - blocked,"[202685, 1630578]",1610612740.0,NOP,driving reverse,,,,,,Restricted Area,0-8 Center,1.38,Missed,Valanciunas,J. Valanciunas,,,,,,,,,,,,Sengun,1630578.0,,,,,
45,PT07M30.00S,2023-03-19T23:16:45.9Z,1,REGULAR,block,,[],1630578,,,1610612740,10,13,2023-03-19T23:16:47Z,440000,False,,,0,,A. Sengun BLOCK (1 BLK),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
46,PT07M28.00S,2023-03-19T23:16:47.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,10,13,2023-03-19T23:16:53Z,450000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
47,PT07M25.00S,2023-03-19T23:16:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630224,4.5499342969776615,53.67647058823529,1610612745,12,13,2023-03-19T23:17:00Z,460000,False,-18.0,-10.0,1,left,J. Green running finger roll Layup (5 PTS),[1630224],1610612745.0,HOU,running finger roll,,,,,,Restricted Area,0-8 Center,2.08,Made,Green,J. Green,,,,,5.0,,,,,,,,,,,,,
49,PT07M16.00S,2023-03-19T23:16:59.8Z,1,REGULAR,3pt,Jump Shot,[],1630529,79.58278580814718,92.15686274509804,1610612740,12,13,2023-03-19T23:17:23Z,470000,False,211.0,139.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,25.27,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
50,PT07M14.00S,2023-03-19T23:17:14.0Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,12,13,2023-03-19T23:17:14Z,480000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Valanciunas,J. Valanciunas,49.0,3.0,1.0,2.0,,,,,,,,,,,,,,
52,PT07M14.00S,2023-03-19T23:17:16.6Z,1,REGULAR,foul,personal,[],1630578,,,1610612740,12,13,2023-03-19T23:17:22Z,500000,False,,,0,,A. Sengun personal FOUL (1 PF),"[1630578, 202685]",1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,,,,,,,1204.0,1.0,0.0,,,Valanciunas,202685.0,,,
54,PT07M08.00S,2023-03-19T23:17:28.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,77.08607095926413,51.470588235294116,1610612740,12,13,2023-03-19T23:17:33Z,520000,False,7.0,163.0,1,right,MISS B. Ingram 16' Jump Shot,[1627742],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Center,16.31,Missed,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2023-03-19T23:17:32.0Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,12,13,2023-03-19T23:17:33Z,530000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Center,,,Jones,H. Jones,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,
56,PT07M02.00S,2023-03-19T23:17:33.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,70.51576872536137,85.5392156862745,1610612740,12,16,2023-03-19T23:30:32Z,540000,False,178.0,225.0,1,right,C. McCollum 28' 3PT pullup (5 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Right Center,28.65,Made,McCollum,C. McCollum,,,,,5.0,H. Jones,1630529.0,1.0,,,,,,,,,,
58,PT06M37.00S,2023-03-19T23:17:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,6.783837056504599,52.69607843137255,1610612745,14,16,2023-03-19T23:18:04Z,560000,False,-13.0,11.0,1,left,A. Sengun driving Layup (2 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,1.76,Made,Sengun,A. Sengun,,,,,2.0,J. Green,1630224.0,1.0,,,,,,,,,,
60,PT06M32.00S,2023-03-19T23:18:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,93.24901445466492,45.34313725490196,1610612740,14,18,2023-03-19T23:31:09Z,580000,False,-23.0,11.0,1,right,T. Murphy III driving Layup (5 PTS) (H. Jones 2 AST),"[1630530, 1630529]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,2.58,Made,Murphy III,T. Murphy III,,,,,5.0,H. Jones,1630529.0,2.0,,,,,,,,,,
62,PT06M32.00S,2023-03-19T23:18:08.9Z,1,REGULAR,foul,personal,['1freethrow'],1631095,,,1610612740,14,18,2023-03-19T23:21:18Z,600000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Murphy III 1 FT),"[1631095, 1630530]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,1146.0,1.0,0.0,,,Murphy III,1630530.0,,,
64,PT06M32.00S,2023-03-19T23:18:26.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,14,18,2023-03-19T23:18:33Z,620000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M32.00S,2023-03-19T23:21:19.7Z,1,REGULAR,freethrow,1 of 1,[],1630530,,,1610612740,14,19,2023-03-19T23:21:19Z,630000,False,,,0,,T. Murphy III Free Throw 1 of 1 (6 PTS),[1630530],1610612740.0,NOP,,,,,,,,,,Made,Murphy III,T. Murphy III,,,,,6.0,,,,,,,,,,,,,
66,PT06M15.00S,2023-03-19T23:21:29.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,20.581471747700395,31.862745098039213,1610612745,14,19,2023-03-19T23:21:34Z,640000,False,91.0,141.0,1,left,MISS J. Green 16' fadeaway Shot,[1630224],1610612745.0,HOU,fadeaway,,,,,,Mid-Range,16-24 Right Center,16.77,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
67,PT06M11.00S,2023-03-19T23:21:33.7Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,14,19,2023-03-19T23:21:34Z,650000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,,,,Mid-Range,16-24 Right Center,,,Sengun,A. Sengun,66.0,2.0,1.0,1.0,,,,,,,,,,,,,,
68,PT06M08.00S,2023-03-19T23:21:38.6Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612745,14,19,2023-03-19T23:21:52Z,660000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Green 2 FT),"[1630529, 1630224]",1610612740.0,NOP,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Jones,H. Jones,,,,,,,,,1146.0,1.0,0.0,,,Green,1630224.0,,,
70,PT06M08.00S,2023-03-19T23:22:04.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630224,,,1610612745,15,19,2023-03-19T23:22:04Z,680000,False,,,0,,J. Green Free Throw 1 of 2 (6 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,6.0,,,,,,,,,,,,,
71,PT06M08.00S,2023-03-19T23:22:23.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630224,,,1610612745,16,19,2023-03-19T23:22:23Z,690000,False,,,0,,J. Green Free Throw 2 of 2 (7 PTS),[1630224],1610612745.0,HOU,,,,,,,,,,Made,Green,J. Green,,,,,7.0,,,,,,,,,,,,,
73,PT05M53.00S,2023-03-19T23:22:43.1Z,1,REGULAR,turnover,3-second-violation,[],202685,,,1610612740,16,19,2023-03-19T23:23:14Z,710000,False,,,0,,J. Valanciunas 3-second-violation TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,1.0,,
74,PT05M33.00S,2023-03-19T23:23:15.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,26.888961892247043,16.666666666666664,1610612745,19,19,2023-03-19T23:33:35Z,720000,False,167.0,200.0,1,left,K. Porter Jr. 26' 3PT step back (7 PTS),[1629645],1610612745.0,HOU,step back,,,,,,Above the Break 3,24+ Right Center,26.06,Made,Porter Jr.,K. Porter Jr.,,,,,7.0,,,,,,,,,,,,,
75,PT05M16.00S,2023-03-19T23:23:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,92.19776609724047,40.19607843137255,1610612740,19,19,2023-03-19T23:23:43Z,730000,False,-49.0,21.0,1,right,MISS H. Jones driving floating bank Shot,[1630529],1610612740.0,NOP,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
76,PT05M15.00S,2023-03-19T23:23:33.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,19,19,2023-03-19T23:23:43Z,740000,False,,,0,,J. Valanciunas REBOUND (Off:3 Def:1),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Valanciunas,J. Valanciunas,75.0,4.0,1.0,3.0,,,,,,,,,,,,,,
77,PT05M13.00S,2023-03-19T23:23:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,93.77463863337714,50.0,1610612740,19,21,2023-03-19T23:23:45Z,750000,False,0.0,6.0,1,right,J. Valanciunas putback Layup (7 PTS),[202685],1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,0.6,Made,Valanciunas,J. Valanciunas,,,,,7.0,,,,,,,,,,,,,
78,PT04M59.00S,2023-03-19T23:23:49.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,15.719448094612352,86.02941176470588,1610612745,19,21,2023-03-19T23:34:29Z,760000,False,-180.0,95.0,1,left,MISS J. Green 20' step back Shot,[1630224],1610612745.0,HOU,step back,,,,,,Mid-Range,16-24 Left,20.38,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
79,PT04M56.00S,2023-03-19T23:23:52.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,19,21,2023-03-19T23:36:05Z,770000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left,,,Ingram,B. Ingram,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT04M46.00S,2023-03-19T23:24:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,85.89027595269383,52.20588235294118,1610612740,19,23,2023-03-19T23:24:06Z,780000,False,11.0,80.0,1,right,B. Ingram 8' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,,,,In The Paint (Non-RA),8-16 Center,8.09,Made,Ingram,B. Ingram,,,,,2.0,,,,,,,,,,,,,
81,PT04M24.00S,2023-03-19T23:24:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.652431011826544,46.81372549019608,1610612745,21,23,2023-03-19T23:24:30Z,790000,False,16.0,10.0,1,left,J. Green driving finger roll Layup (9 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,,,,Restricted Area,0-8 Center,1.88,Made,Green,J. Green,,,,,9.0,,,,,,,,,,,,,
82,PT04M08.00S,2023-03-19T23:24:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.5407358738502,46.81372549019608,1610612740,21,25,2023-03-19T23:24:44Z,800000,False,-16.0,27.0,1,right,B. Ingram driving Layup (4 PTS),[1627742],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,3.13,Made,Ingram,B. Ingram,,,,,4.0,,,,,,,,,,,,,
83,PT03M47.00S,2023-03-19T23:25:00.3Z,1,REGULAR,3pt,Jump Shot,[],1630578,32.53942181340342,41.17647058823529,1610612745,21,25,2023-03-19T23:25:06Z,810000,False,44.0,253.0,1,left,MISS A. Sengun 25' 3PT,[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,25.72,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
84,PT03M44.00S,2023-03-19T23:25:03.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,21,25,2023-03-19T23:25:06Z,820000,False,,,0,,H. Jones REBOUND (Off:1 Def:1),[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,Jones,H. Jones,83.0,2.0,1.0,1.0,,,,,,,,,,,,,,
85,PT03M38.00S,2023-03-19T23:25:09.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203468,93.64323258869908,29.901960784313726,1610612740,21,25,2023-03-19T23:38:57Z,830000,False,-100.0,7.0,1,right,MISS C. McCollum 10' running pullup Shot,[203468],1610612740.0,NOP,running pullup,,,,,,Mid-Range,8-16 Left,10.08,Missed,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
