actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT10M51.00S,2022-11-03T00:13:17.4Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,0,2,2022-11-03T00:13:18Z,160000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT10M42.00S,2022-11-03T00:13:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630224,12.697109067017081,52.69607843137255,1610612745,2,2,2022-11-03T00:13:30Z,170000,-13.0,67.0,1,left,J. Green 6' driving floating Jump Shot (2 PTS),[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,6.82,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-11-03T00:13:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,88.25558475689881,40.19607843137255,1610612746,2,4,2022-11-03T00:13:51Z,180000,-49.0,58.0,1,right,M. Morris Sr. 7' fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,7.59,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M04.00S,2022-11-03T00:14:03.7Z,1,REGULAR,3pt,Jump Shot,[],201569,27.020367936925098,83.33333333333334,1610612745,2,4,2022-11-03T00:14:12Z,190000,-167.0,201.0,1,left,MISS E. Gordon 26' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
20,PT10M02.00S,2022-11-03T00:14:05.7Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,2,4,2022-11-03T00:14:12Z,200000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT09M46.00S,2022-11-03T00:14:22.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,90.88370565045992,59.80392156862745,1610612746,2,6,2022-11-03T00:14:28Z,210000,49.0,33.0,1,right,I. Zubac turnaround Hook (2 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,2.0,,,,,,,,,,,,,,,R. Jackson,202704.0,1.0
23,PT09M32.00S,2022-11-03T00:14:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612745,2,6,2022-11-03T00:14:46Z,230000,,,0,,I. Zubac shooting personal FOUL (1 PF) (Sengun 2 FT),"[1627826, 1630578]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628953.0,1.0,0.0,Sengun,1630578.0,,,,,,,,
25,PT09M32.00S,2022-11-03T00:15:14.8Z,1,REGULAR,freethrow,1 of 2,[],1630578,,,1610612745,3,6,2022-11-03T00:15:14Z,250000,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2022-11-03T00:15:14.8Z,1,REGULAR,freethrow,2 of 2,[],1630578,,,1610612745,3,6,2022-11-03T00:15:30Z,260000,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2022-11-03T00:15:14.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,3,6,2022-11-03T00:15:30Z,270000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M10.00S,2022-11-03T00:15:46.4Z,1,REGULAR,2pt,Jump Shot,[],202331,81.8166885676741,75.0,1610612746,3,8,2022-11-03T00:15:53Z,280000,125.0,118.0,1,right,P. George 17' turnaround fadeaway Jump Shot (2 PTS),[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,16-24 Right Center,17.22,Made,2.0,,,,,,,,,,,,,,,,,
29,PT08M48.00S,2022-11-03T00:16:08.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,9.280551905387648,58.57843137254902,1610612745,3,8,2022-11-03T00:16:15Z,290000,-43.0,35.0,1,left,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.52,Missed,,,,,,,,,,,,,,,,,,
30,PT08M47.00S,2022-11-03T00:16:09.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,8,2022-11-03T00:16:15Z,300000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT08M34.00S,2022-11-03T00:16:25.8Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612746,3,8,2022-11-03T00:16:34Z,310000,,,0,,A. Sengun shooting personal FOUL (1 PF) (Jackson 2 FT),"[1630578, 202704]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2530.0,1.0,0.0,Jackson,202704.0,,,,,,,,
33,PT08M34.00S,2022-11-03T00:17:00.2Z,1,REGULAR,freethrow,1 of 2,[],202704,,,1610612746,3,9,2022-11-03T00:17:00Z,330000,,,0,,R. Jackson Free Throw 1 of 2 (3 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
34,PT08M34.00S,2022-11-03T00:17:22.3Z,1,REGULAR,freethrow,2 of 2,[],202704,,,1610612746,3,10,2022-11-03T00:17:22Z,340000,,,0,,R. Jackson Free Throw 2 of 2 (4 PTS),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2022-11-03T00:17:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.966491458607096,44.85294117647059,1610612745,3,10,2022-11-03T00:17:43Z,350000,26.0,22.0,1,left,MISS E. Gordon driving finger roll Layup,[201569],1610612745.0,HOU,driving finger roll,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,,,,,,,,,,,,,,
36,PT08M19.00S,2022-11-03T00:17:40.9Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,3,10,2022-11-03T00:24:52Z,360000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Restricted Area,0-8 Center,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT08M12.00S,2022-11-03T00:17:47.3Z,1,REGULAR,turnover,lost ball,[],202694,,,1610612746,3,10,2022-11-03T00:17:52Z,370000,,,0,,M. Morris Sr. lost ball TURNOVER (1 TO),"[202694, 1629645]",1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0,,,,,
38,PT08M12.00S,2022-11-03T00:17:47.3Z,1,REGULAR,steal,,[],1629645,,,1610612745,3,10,2022-11-03T00:17:49Z,380000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M08.00S,2022-11-03T00:17:51.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,10.5946123521682,44.85294117647059,1610612745,5,10,2022-11-03T00:17:59Z,390000,26.0,47.0,1,left,J. Green running Layup (4 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",1610612745.0,HOU,running,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,5.37,Made,4.0,,,,,,,,,,,,,,,K. Porter Jr.,1629645.0,1.0
41,PT07M58.00S,2022-11-03T00:18:01.1Z,1,REGULAR,2pt,Jump Shot,[],202331,78.0059132720105,64.4607843137255,1610612746,5,10,2022-11-03T00:18:16Z,410000,72.0,154.0,1,right,MISS P. George 17' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Right Center,17.03,Missed,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2022-11-03T00:18:04.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,5,10,2022-11-03T00:18:16Z,420000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,
43,PT07M46.00S,2022-11-03T00:18:14.1Z,1,REGULAR,2pt,Jump Shot,[],1629645,22.026938239159,52.450980392156865,1610612745,5,10,2022-11-03T00:25:34Z,430000,-12.0,155.0,1,left,MISS K. Porter Jr. 15' step back Shot,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Center,15.51,Missed,,,,,,,,,,,,,,,,,,
44,PT07M44.00S,2022-11-03T00:18:16.1Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,5,10,2022-11-03T00:18:20Z,440000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:3),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Center,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,
45,PT07M34.00S,2022-11-03T00:18:24.8Z,1,REGULAR,3pt,Jump Shot,[],202694,67.7562417871222,33.57843137254902,1610612746,5,10,2022-11-03T00:18:33Z,450000,-82.0,251.0,1,right,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Center,26.37,Missed,,,,,,,,,,,,,,,,,,
46,PT07M33.00S,2022-11-03T00:18:25.8Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,5,10,2022-11-03T00:18:33Z,460000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
47,PT07M28.00S,2022-11-03T00:18:34.3Z,1,REGULAR,turnover,traveling,[],1631095,,,1610612745,5,10,2022-11-03T00:18:40Z,470000,,,0,,J. Smith Jr. traveling TURNOVER (1 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628953.0,,,,,1.0,,,,,,,
48,PT07M09.00S,2022-11-03T00:19:10.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,77.34888304862024,65.19607843137256,1610612746,5,12,2022-11-03T00:19:14Z,480000,76.0,160.0,1,right,M. Morris Sr. 17' pullup Jump Shot (4 PTS),[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Right Center,17.75,Made,4.0,,,,,,,,,,,,,,,,,
49,PT06M52.00S,2022-11-03T00:19:26.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,27.54599211563732,79.41176470588235,1610612745,5,12,2022-11-03T00:26:44Z,490000,-147.0,206.0,1,left,MISS K. Porter Jr. 25' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
50,PT06M52.00S,2022-11-03T00:19:26.9Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,5,12,2022-11-03T00:19:34Z,500000,,,0,,L. Kennard REBOUND (Off:0 Def:2),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,
51,PT06M29.00S,2022-11-03T00:19:50.1Z,1,REGULAR,2pt,Hook,[],1627826,91.27792378449409,66.42156862745098,1610612746,5,12,2022-11-03T00:19:56Z,510000,82.0,29.0,1,right,MISS I. Zubac 8' turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,8.72,Missed,,,,,,,,,,,,,,,,,,
52,PT06M29.00S,2022-11-03T00:19:50.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,5,12,2022-11-03T00:19:56Z,520000,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,
53,PT06M08.00S,2022-11-03T00:20:11.6Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,5,12,2022-11-03T00:20:16Z,530000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1628379]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Kennard,1628379.0,,,,,
54,PT06M08.00S,2022-11-03T00:20:11.6Z,1,REGULAR,steal,,[],1628379,,,1610612746,5,12,2022-11-03T00:21:10Z,540000,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT06M05.00S,2022-11-03T00:20:17.4Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612746,5,12,2022-11-03T00:20:34Z,550000,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (George 2 FT),"[1631095, 202331]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1155.0,1.0,0.0,George,202331.0,,,,,,,,
57,PT06M05.00S,2022-11-03T00:20:37.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,5,12,2022-11-03T00:20:37Z,570000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612746,5,12,2022-11-03T00:23:11Z,580000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,out,[],1631095,,,1610612746,5,12,2022-11-03T00:23:11Z,590000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,out,[],201569,,,1610612746,5,12,2022-11-03T00:23:11Z,600000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,in,[],1630231,,,1610612746,5,12,2022-11-03T00:23:11Z,610000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,in,[],1631106,,,1610612746,5,12,2022-11-03T00:23:11Z,620000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M05.00S,2022-11-03T00:22:04.7Z,1,REGULAR,substitution,in,[],1630227,,,1610612746,5,12,2022-11-03T00:23:11Z,630000,,,0,,SUB in: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M05.00S,2022-11-03T00:23:33.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202331,,,1610612746,5,13,2022-11-03T00:23:33Z,640000,,,0,,P. George Free Throw 1 of 2 (3 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
65,PT06M05.00S,2022-11-03T00:23:51.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202331,,,1610612746,5,14,2022-11-03T00:23:51Z,650000,,,0,,P. George Free Throw 2 of 2 (4 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2022-11-03T00:24:15.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,13.354139290407357,78.43137254901961,1610612745,5,14,2022-11-03T00:29:13Z,660000,-142.0,73.0,1,left,MISS J. Green 15' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,8-16 Left,15.98,Missed,,,,,,,,,,,,,,,,,,
67,PT05M46.00S,2022-11-03T00:24:16.0Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,14,2022-11-03T00:24:23Z,670000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Left,,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,
68,PT05M32.00S,2022-11-03T00:24:29.4Z,1,REGULAR,3pt,Jump Shot,[],202331,71.43561103810775,79.41176470588235,1610612746,5,17,2022-11-03T00:30:03Z,680000,147.0,216.0,1,right,P. George 26' 3PT pullup (7 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.13,Made,7.0,,,,,,,,,,,,,,,,,
69,PT05M17.00S,2022-11-03T00:24:46.2Z,1,REGULAR,foul,personal,[],1627826,,,1610612745,5,17,2022-11-03T00:25:08Z,690000,,,0,,I. Zubac personal FOUL (2 PF),"[1627826, 1630578]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1155.0,2.0,0.0,Sengun,1630578.0,,,,,,,,
71,PT05M17.00S,2022-11-03T00:24:57.9Z,1,REGULAR,substitution,out,[],1627826,,,1610612745,5,17,2022-11-03T00:25:03Z,710000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2022-11-03T00:24:57.9Z,1,REGULAR,substitution,in,[],201587,,,1610612745,5,17,2022-11-03T00:25:03Z,720000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M10.00S,2022-11-03T00:25:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,30.699737187910642,75.24509803921569,1610612745,5,17,2022-11-03T00:30:50Z,730000,-126.0,236.0,1,left,MISS J. Green 26' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
74,PT05M09.00S,2022-11-03T00:25:17.8Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,5,17,2022-11-03T00:26:28Z,740000,,,0,,L. Kennard REBOUND (Off:0 Def:3),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,,73.0,3.0,3.0,0.0,,,,,,,,,,,,,
75,PT05M00.00S,2022-11-03T00:25:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628379,66.70499342969777,60.29411764705882,1610612746,5,20,2022-11-03T00:25:32Z,750000,51.0,260.0,1,right,L. Kennard 26' 3PT pullup (3 PTS),[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,26.55,Made,3.0,,,,,,,,,,,,,,,,,
76,PT04M59.00S,2022-11-03T00:25:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,5,20,2022-11-03T00:25:34Z,760000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M45.00S,2022-11-03T00:28:35.1Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,5,20,2022-11-03T00:28:38Z,770000,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 202331]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,George,202331.0,,,,,
78,PT04M45.00S,2022-11-03T00:28:35.1Z,1,REGULAR,steal,,[],202331,,,1610612746,5,20,2022-11-03T00:28:36Z,780000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
80,PT04M30.00S,2022-11-03T00:29:03.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201587,92.72339027595268,2.696078431372549,1610612746,5,20,2022-11-03T00:29:12Z,800000,-237.0,16.0,1,right,MISS N. Batum 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,23.7,Missed,,,,,,,,,,,,,,,,,,
