actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M41.00S,2022-01-13T00:41:59.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,0,2022-01-13T00:41:59Z,150000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M38.00S,2022-01-13T00:42:01.2Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,2,0,2022-01-13T00:42:06Z,160000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 200782]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,1.0,,,,,,,,,,Tucker,200782.0,,,,,,,,
17,PT10M38.00S,2022-01-13T00:42:01.2Z,1,REGULAR,steal,,[],200782,,,1610612748,2,0,2022-01-13T00:42:03Z,170000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2022-01-13T00:42:10.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629622,6.652431011826544,35.78431372549019,1610612748,2,0,2022-01-13T00:42:16Z,180000,71.0,10.0,1,left,MISS M. Strus 7' driving floating Shot,[1629622],1610612748.0,MIA,driving floating,,,Strus,M. Strus,,,,,,,7.18,Missed,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-01-13T00:42:14.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,0,2022-01-13T00:42:16Z,190000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M22.00S,2022-01-13T00:42:17.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,73.66951379763469,83.57843137254902,1610612737,2,0,2022-01-13T00:42:29Z,200000,168.0,195.0,1,right,MISS B. Bogdanovic 25' running 3PT,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,,,25.73,Missed,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2022-01-13T00:42:20.0Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,2,0,2022-01-13T00:42:23Z,210000,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M10.00S,2022-01-13T00:42:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630209,18.347568988173457,40.19607843137255,1610612748,2,0,2022-01-13T00:42:35Z,220000,49.0,120.0,1,left,MISS O. Yurtseven 12' Jump Shot,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,12.96,Missed,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2022-01-13T00:42:33.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,0,2022-01-13T00:42:35Z,230000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT10M00.00S,2022-01-13T00:42:40.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,0,2022-01-13T00:42:44Z,240000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 200782]",1610612737.0,ATL,,,,Young,T. Young,,,,,,1.0,,,,,,,,,,Tucker,200782.0,,,,,,,,
25,PT10M00.00S,2022-01-13T00:42:40.0Z,1,REGULAR,steal,,[],200782,,,1610612748,2,0,2022-01-13T00:42:42Z,250000,,,0,,P. Tucker STEAL (2 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2022-01-13T00:42:51.3Z,1,REGULAR,turnover,bad pass,[],1628997,,,1610612748,2,0,2022-01-13T00:42:55Z,260000,,,0,,C. Martin bad pass TURNOVER (2 TO),"[1628997, 1628381]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,,2.0,,,,,,,,,,Collins,1628381.0,,,,,,,,
27,PT09M48.00S,2022-01-13T00:42:51.3Z,1,REGULAR,steal,,[],1628381,,,1610612737,2,0,2022-01-13T00:42:53Z,270000,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2022-01-13T00:42:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627789,93.38042049934296,49.50980392156863,1610612737,4,0,2022-01-13T00:43:04Z,280000,-2.0,10.0,1,right,T. Luwawu-Cabarrot running Layup (2 PTS) (T. Young 1 AST),"[1627789, 1629027]",1610612737.0,ATL,running,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,1.0,Made,2.0,,,,,,,,,T. Young,1629027.0,1.0,,,,,
30,PT09M26.00S,2022-01-13T00:43:12.8Z,1,REGULAR,3pt,Jump Shot,[],200782,9.674770039421814,95.34313725490196,1610612748,4,0,2022-01-13T00:43:17Z,300000,-227.0,38.0,1,left,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,22.99,Missed,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-01-13T00:43:14.8Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,4,0,2022-01-13T00:43:17Z,310000,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M19.00S,2022-01-13T00:43:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,92.59198423127464,50.0,1610612737,6,0,2022-01-13T00:43:27Z,320000,0.0,17.0,1,right,T. Young running Layup (2 PTS),[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,,,1.71,Made,2.0,,,,,,,,,,,,,,,,
33,PT08M58.00S,2022-01-13T00:43:41.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.35676741130092,42.15686274509804,1610612748,6,0,2022-01-13T00:43:46Z,330000,39.0,242.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,24.55,Missed,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2022-01-13T00:43:44.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,6,0,2022-01-13T00:43:46Z,340000,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT08M46.00S,2022-01-13T00:43:55.3Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612737,6,0,2022-01-13T00:44:16Z,350000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Luwawu-Cabarrot 2 FT),"[200782, 1627789]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,203592.0,,,,,,,,,,,,,,,,1.0,0.0,Luwawu-Cabarrot,1627789.0,
37,PT08M46.00S,2022-01-13T00:44:18.5Z,1,REGULAR,freethrow,1 of 2,[],1627789,,,1610612737,7,0,2022-01-13T00:44:18Z,370000,,,0,,T. Luwawu-Cabarrot Free Throw 1 of 2 (3 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
38,PT08M46.00S,2022-01-13T00:44:32.9Z,1,REGULAR,freethrow,2 of 2,[],1627789,,,1610612737,8,0,2022-01-13T00:44:32Z,380000,,,0,,T. Luwawu-Cabarrot Free Throw 2 of 2 (4 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
39,PT08M30.00S,2022-01-13T00:44:50.2Z,1,REGULAR,2pt,Jump Shot,[],1628997,22.683968462549277,25.245098039215684,1610612748,8,2,2022-01-13T00:44:55Z,390000,124.0,161.0,1,left,C. Martin 20' pullup Jump Shot (2 PTS) (O. Yurtseven 1 AST),"[1628997, 1630209]",1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,,,20.29,Made,2.0,,,,,,,,,O. Yurtseven,1630209.0,1.0,,,,,
41,PT08M13.00S,2022-01-13T00:45:07.6Z,1,REGULAR,3pt,Jump Shot,[],1627789,97.05978975032852,96.56862745098039,1610612737,8,2,2022-01-13T00:45:13Z,410000,233.0,-25.0,1,right,MISS T. Luwawu-Cabarrot 3PT,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,23.41,Missed,,,,,,,,,,,,,,,,,
42,PT08M08.00S,2022-01-13T00:45:12.6Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,8,2,2022-01-13T00:45:13Z,420000,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,
43,PT08M08.00S,2022-01-13T00:45:12.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,94.40999984741211,50.0,1610612737,10,2,2022-01-13T00:45:12Z,430000,0.0,0.0,1,right,O. Okongwu putback Layup (2 PTS),[1630168],1610612737.0,ATL,putback,,,Okongwu,O. Okongwu,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,
44,PT07M59.00S,2022-01-13T00:45:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628997,8.754927726675426,58.82352941176471,1610612748,10,2,2022-01-13T00:47:13Z,440000,-44.0,30.0,1,left,MISS C. Martin driving floating Shot,[1628997],1610612748.0,MIA,driving floating,,,Martin,C. Martin,,,,,,,5.32,Missed,,,,,,,,,,,,,,,,,
45,PT07M55.00S,2022-01-13T00:45:25.8Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,10,2,2022-01-13T00:45:28Z,450000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,
48,PT07M49.00S,2022-01-13T00:45:49.2Z,1,REGULAR,foul,offensive,[],1628381,,,1610612737,10,2,2022-01-13T00:45:56Z,480000,,,0,,J. Collins charge offensive FOUL (1 PF),"[1628381, 200782]",1610612737.0,ATL,charge,,,Collins,J. Collins,,,,,1162.0,,,,,,,,,,,,,,,,1.0,0.0,Tucker,200782.0,
50,PT07M49.00S,2022-01-13T00:45:49.2Z,1,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,10,2,2022-01-13T00:45:49Z,500000,,,0,,J. Collins offensive foul TURNOVER (1 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,1162.0,1.0,,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2022-01-13T00:46:26.9Z,1,REGULAR,turnover,lost ball,[],1630209,,,1610612748,10,2,2022-01-13T00:47:08Z,510000,,,0,,O. Yurtseven lost ball TURNOVER (1 TO),"[1630209, 1630168]",1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,1.0,,,,,,,,,,Okongwu,1630168.0,,,,,,,,
52,PT07M30.00S,2022-01-13T00:46:26.9Z,1,REGULAR,steal,,[],1630168,,,1610612737,10,2,2022-01-13T00:46:29Z,520000,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2022-01-13T00:46:36.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203992,73.01248357424441,80.14705882352942,1610612737,13,2,2022-01-13T00:47:17Z,530000,151.0,201.0,1,right,B. Bogdanovic 25' 3PT  (5 PTS) (T. Young 2 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,25.14,Made,5.0,,,,,,,,,T. Young,1629027.0,2.0,,,,,
55,PT07M19.00S,2022-01-13T00:46:41.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,13,2,2022-01-13T00:46:41Z,550000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M07.00S,2022-01-13T00:49:48.4Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612748,13,2,2022-01-13T00:50:13Z,560000,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Lowry 2 FT),"[1630168, 200768]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,1162.0,,,,,,,,,,,,,,,,1.0,0.0,Lowry,200768.0,
58,PT07M07.00S,2022-01-13T00:50:13.9Z,1,REGULAR,freethrow,1 of 2,[],200768,,,1610612748,13,3,2022-01-13T00:50:13Z,580000,,,0,,K. Lowry Free Throw 1 of 2 (1 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
59,PT07M07.00S,2022-01-13T00:50:31.6Z,1,REGULAR,freethrow,2 of 2,[],200768,,,1610612748,13,4,2022-01-13T00:50:31Z,590000,,,0,,K. Lowry Free Throw 2 of 2 (2 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
60,PT06M52.00S,2022-01-13T00:50:47.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,97.58541392904073,95.83333333333334,1610612737,13,4,2022-01-13T00:50:52Z,600000,229.0,-30.0,1,right,MISS T. Young 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,23.11,Missed,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2022-01-13T00:50:50.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,13,4,2022-01-13T00:50:52Z,610000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,
62,PT06M33.00S,2022-01-13T00:51:06.5Z,1,REGULAR,3pt,Jump Shot,[],1628997,7.835085413929041,4.901960784313726,1610612748,13,4,2022-01-13T00:51:12Z,620000,225.0,21.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,22.65,Missed,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2022-01-13T00:51:09.5Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,13,4,2022-01-13T00:51:12Z,630000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,
64,PT06M24.00S,2022-01-13T00:51:15.6Z,1,REGULAR,3pt,Jump Shot,[],203992,68.80749014454665,67.8921568627451,1610612737,13,4,2022-01-13T00:51:21Z,640000,89.0,241.0,1,right,MISS B. Bogdanovic 25' step back 3PT,[203992],1610612737.0,ATL,step back,,,Bogdanovic,B. Bogdanovic,,,,,,,25.68,Missed,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2022-01-13T00:51:18.6Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,13,4,2022-01-13T00:51:21Z,650000,,,0,,O. Yurtseven REBOUND (Off:0 Def:2),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,
66,PT06M18.00S,2022-01-13T00:51:23.3Z,1,REGULAR,foul,personal,[],1627789,,,1610612748,13,4,2022-01-13T00:51:32Z,660000,,,0,,T. Luwawu-Cabarrot personal FOUL (1 PF),"[1627789, 1629622]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,203592.0,,,,,,,,,,,,,,,,1.0,0.0,Strus,1629622.0,
68,PT06M18.00S,2022-01-13T00:51:32.1Z,1,REGULAR,substitution,out,[],1630168,,,1610612748,13,4,2022-01-13T00:51:40Z,680000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M18.00S,2022-01-13T00:51:32.1Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,13,4,2022-01-13T00:51:40Z,690000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2022-01-13T00:51:32.1Z,1,REGULAR,substitution,in,[],201568,,,1610612748,13,4,2022-01-13T00:51:40Z,700000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M18.00S,2022-01-13T00:51:32.1Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,13,4,2022-01-13T00:51:40Z,710000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2022-01-13T00:51:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,5.601182654402102,51.71568627450981,1610612748,13,6,2022-01-13T00:52:03Z,720000,-9.0,0.0,1,left,T. Herro cutting Layup (2 PTS) (O. Yurtseven 2 AST),"[1629639, 1630209]",1610612748.0,MIA,cutting,,,Herro,T. Herro,,,,,,,0.86,Made,2.0,,,,,,,,,O. Yurtseven,1630209.0,2.0,,,,,
74,PT05M50.00S,2022-01-13T00:52:12.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,91.93495400788436,96.32352941176471,1610612737,16,6,2022-01-13T00:52:17Z,740000,232.0,23.0,1,right,J. Collins 3PT  (3 PTS) (T. Luwawu-Cabarrot 1 AST),"[1628381, 1627789]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,23.28,Made,3.0,,,,,,,,,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,
76,PT05M39.00S,2022-01-13T00:52:23.7Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,16,6,2022-01-13T00:52:28Z,760000,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 203992]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,,1.0,,,,,,,,,,Bogdanovic,203992.0,,,,,,,,
77,PT05M39.00S,2022-01-13T00:52:23.7Z,1,REGULAR,steal,,[],203992,,,1610612737,16,6,2022-01-13T00:52:26Z,770000,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2022-01-13T00:52:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627789,92.9862023653088,46.07843137254902,1610612737,16,6,2022-01-13T00:52:45Z,780000,-20.0,13.0,1,right,MISS T. Luwawu-Cabarrot cutting Layup,[1627789],1610612737.0,ATL,cutting,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,2.37,Missed,,,,,,,,,,,,,,,,,
79,PT05M20.00S,2022-01-13T00:52:42.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,16,6,2022-01-13T00:52:45Z,790000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,
80,PT05M14.00S,2022-01-13T00:52:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629622,10.5946123521682,2.941176470588235,1610612748,16,9,2022-01-13T00:52:53Z,800000,235.0,47.0,1,left,M. Strus 24' 3PT  (3 PTS) (T. Herro 1 AST),"[1629622, 1629639]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,24.0,Made,3.0,,,,,,,,,T. Herro,1629639.0,1.0,,,,,
82,PT05M11.00S,2022-01-13T00:53:00.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,16,9,2022-01-13T00:53:00Z,820000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,out,[],1627789,,,1610612737,16,9,2022-01-13T00:55:34Z,830000,,,0,,SUB out: T. Luwawu-Cabarrot,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,16,9,2022-01-13T00:55:34Z,840000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,out,[],1629622,,,1610612737,16,9,2022-01-13T00:55:34Z,850000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,out,[],1630209,,,1610612737,16,9,2022-01-13T00:55:34Z,860000,,,0,,SUB out: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,in,[],1626153,,,1610612737,16,9,2022-01-13T00:55:34Z,870000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,in,[],1628989,,,1610612737,16,9,2022-01-13T00:55:34Z,880000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M11.00S,2022-01-13T00:55:19.0Z,1,REGULAR,substitution,in,[],1629130,,,1610612737,16,9,2022-01-13T00:55:34Z,890000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
