actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
23,PT10M26.00S,2021-12-14T00:42:51.1Z,1,REGULAR,3pt,Jump Shot,[],1628989,97.45400788436268,2.941176470588235,1610612737,3,3,2021-12-14T00:42:55Z,230000,-235.0,-29.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M23.00S,2021-12-14T00:42:54.1Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,3,3,2021-12-14T00:42:55Z,240000,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,23.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
25,PT10M18.00S,2021-12-14T00:42:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201569,10.85742444152431,58.08823529411765,1610612745,3,3,2021-12-14T00:43:07Z,250000,-40.0,50.0,1,left,MISS E. Gordon 6' driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,6.4,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M14.00S,2021-12-14T00:43:02.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,3,2021-12-14T00:43:02Z,260000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,25.0,,,,,,,,,,,,,2.0,2.0,0.0,,,
27,PT10M09.00S,2021-12-14T00:43:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628381,70.38436268068331,74.01960784313727,1610612737,3,3,2021-12-14T00:43:22Z,270000,120.0,226.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M02.00S,2021-12-14T00:43:15.1Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,3,3,2021-12-14T00:43:22Z,280000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,27.0,,,,,,,,,,,,,3.0,2.0,1.0,,,
29,PT10M02.00S,2021-12-14T00:43:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,5,3,2021-12-14T00:43:14Z,290000,0.0,0.0,1,right,C. Capela putback Layup (2 PTS),[203991],1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
30,PT09M50.00S,2021-12-14T00:43:27.4Z,1,REGULAR,turnover,lost ball,[],1629717,,,1610612745,5,3,2021-12-14T00:43:30Z,300000,,,0,,A. Brooks lost ball TURNOVER (1 TO),"[1629717, 1627789]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,1.0,Luwawu-Cabarrot,1627789.0,,,,,,,,,
31,PT09M50.00S,2021-12-14T00:43:27.4Z,1,REGULAR,steal,,[],1627789,,,1610612737,5,3,2021-12-14T00:43:55Z,310000,,,0,,T. Luwawu-Cabarrot STEAL (1 STL),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2021-12-14T00:43:36.2Z,1,REGULAR,foul,personal,['3freethrow'],201569,,,1610612737,5,3,2021-12-14T00:44:00Z,320000,,,0,,E. Gordon shooting personal FOUL (1 PF) (Luwawu-Cabarrot 3 FT),"[201569, 1627789]",1610612745.0,HOU,shooting,,,Gordon,E. Gordon,,,,,,,,2002.0,1.0,0.0,Luwawu-Cabarrot,1627789.0,,,,,,,,,,,,,
34,PT09M42.00S,2021-12-14T00:44:04.1Z,1,REGULAR,freethrow,1 of 3,['fromturnover'],1627789,,,1610612737,6,3,2021-12-14T00:44:04Z,340000,,,0,,T. Luwawu-Cabarrot Free Throw 1 of 3 (1 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
35,PT09M42.00S,2021-12-14T00:44:17.2Z,1,REGULAR,freethrow,2 of 3,['fromturnover'],1627789,,,1610612737,7,3,2021-12-14T00:44:17Z,350000,,,0,,T. Luwawu-Cabarrot Free Throw 2 of 3 (2 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,
36,PT09M42.00S,2021-12-14T00:44:30.8Z,1,REGULAR,freethrow,3 of 3,['fromturnover'],1627789,,,1610612737,8,3,2021-12-14T00:44:30Z,360000,,,0,,T. Luwawu-Cabarrot Free Throw 3 of 3 (3 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
37,PT09M31.00S,2021-12-14T00:44:43.3Z,1,REGULAR,3pt,Jump Shot,[],1630256,8.754927726675426,4.6568627450980395,1610612745,8,6,2021-12-14T00:44:47Z,370000,227.0,30.0,1,left,J. Tate 3PT  (3 PTS) (A. Brooks 1 AST),"[1630256, 1629717]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,22.87,Made,,,,,,,3.0,,,,A. Brooks,1629717.0,1.0,,,,,,
39,PT09M15.00S,2021-12-14T00:45:00.2Z,1,REGULAR,turnover,out-of-bounds,[],1627789,,,1610612737,8,6,2021-12-14T00:45:06Z,390000,,,0,,T. Luwawu-Cabarrot bad pass out-of-bounds TURNOVER (1 TO),[1627789],1610612737.0,ATL,bad pass,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,1179.0,,,,,,1.0,,,,,,,,,,,
40,PT09M00.00S,2021-12-14T00:45:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201569,4.812746386333772,50.49019607843137,1610612745,8,6,2021-12-14T00:45:27Z,400000,-2.0,-7.0,1,left,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M58.00S,2021-12-14T00:45:24.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,8,6,2021-12-14T00:45:27Z,410000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,40.0,,,,,,,,,,,,,4.0,3.0,1.0,,,
42,PT08M55.00S,2021-12-14T00:45:27.9Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,8,6,2021-12-14T00:45:33Z,420000,,,0,,T. Young lost ball TURNOVER (2 TO),"[1629027, 1630256]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,2.0,Tate,1630256.0,,,,,,,,,
43,PT08M55.00S,2021-12-14T00:45:27.9Z,1,REGULAR,steal,,[],1630256,,,1610612745,8,6,2021-12-14T00:45:30Z,430000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M51.00S,2021-12-14T00:45:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201569,6.521024967148489,48.77450980392157,1610612745,8,8,2021-12-14T00:45:38Z,440000,6.0,9.0,1,left,E. Gordon running Layup (3 PTS) (J. Tate 2 AST),"[201569, 1630256]",1610612745.0,HOU,running,,,Gordon,E. Gordon,,,,,1.07,Made,,,,,,,3.0,,,,J. Tate,1630256.0,2.0,,,,,,
46,PT08M45.00S,2021-12-14T00:45:37.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,69.33311432325887,78.67647058823529,1610612737,11,8,2021-12-14T00:45:42Z,460000,143.0,236.0,1,right,T. Young 27' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,27.6,Made,,,,,,,3.0,,,,,,,,,,,,
47,PT08M24.00S,2021-12-14T00:45:58.8Z,1,REGULAR,3pt,Jump Shot,[],1629717,29.517082785808146,74.01960784313727,1610612745,11,11,2021-12-14T00:46:03Z,470000,-120.0,225.0,1,left,A. Brooks 25' 3PT  (3 PTS) (E. Gordon 1 AST),"[1629717, 201569]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,25.5,Made,,,,,,,3.0,,,,E. Gordon,201569.0,1.0,,,,,,
51,PT08M09.00S,2021-12-14T00:46:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,86.41590013140605,49.754901960784316,1610612737,11,11,2021-12-14T00:48:16Z,510000,-1.0,75.0,1,right,MISS J. Collins 7' Layup - blocked,"[1628381, 1630256]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,7.52,Missed,,,,,,,,,,,,,,,,,Tate,1630256.0,
52,PT08M09.00S,2021-12-14T00:46:28.4Z,1,REGULAR,block,,[],1630256,,,1610612737,11,11,2021-12-14T00:46:31Z,520000,,,0,,J. Tate BLOCK (1 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M07.00S,2021-12-14T00:46:30.4Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,11,11,2021-12-14T00:48:16Z,530000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,51.0,,,,,,,,,,,,,1.0,0.0,1.0,,,
54,PT08M05.00S,2021-12-14T00:46:32.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628381,94.40999984741211,50.0,1610612737,13,11,2021-12-14T00:48:27Z,540000,0.0,0.0,1,right,J. Collins putback Layup (5 PTS),[1628381],1610612737.0,ATL,putback,,,Collins,J. Collins,,,,,0.0,Made,,,,,,,5.0,,,,,,,,,,,,
55,PT07M44.00S,2021-12-14T00:46:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,5.601182654402102,50.0,1610612745,13,13,2021-12-14T00:46:45Z,550000,0.0,0.0,1,left,E. Gordon driving Layup (5 PTS) (J. Tate 3 AST),"[201569, 1630256]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,0.02,Made,,,,,,,5.0,,,,J. Tate,1630256.0,3.0,,,,,,
57,PT07M44.00S,2021-12-14T00:46:44.3Z,1,REGULAR,foul,personal,['1freethrow'],1628381,,,1610612745,13,13,2021-12-14T00:47:08Z,570000,,,0,,J. Collins shooting personal FOUL (2 PF) (Gordon 1 FT),"[1628381, 201569]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,1628172.0,2.0,0.0,Gordon,201569.0,,,,,,,,,,,,,
59,PT07M44.00S,2021-12-14T00:47:01.9Z,1,REGULAR,substitution,out,[],1628381,,,1610612745,13,13,2021-12-14T00:47:05Z,590000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M44.00S,2021-12-14T00:47:01.9Z,1,REGULAR,substitution,in,[],201568,,,1610612745,13,13,2021-12-14T00:47:05Z,600000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M44.00S,2021-12-14T00:47:24.4Z,1,REGULAR,freethrow,1 of 1,[],201569,,,1610612745,13,14,2021-12-14T00:47:24Z,610000,,,0,,E. Gordon Free Throw 1 of 1 (6 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,Made,,,,,,,6.0,,,,,,,,,,,,
64,PT07M37.00S,2021-12-14T00:47:43.5Z,1,REGULAR,foul,personal,[],1626174,,,1610612737,13,14,2021-12-14T00:47:46Z,640000,,,0,,C. Wood personal FOUL (1 PF),"[1626174, 1629027]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,2002.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,,,
66,PT07M31.00S,2021-12-14T00:47:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,90.3580814717477,42.8921568627451,1610612737,13,14,2021-12-14T00:48:29Z,660000,-36.0,38.0,1,right,MISS C. Capela Layup,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,5.21,Missed,,,,,,,,,,,,,,,,,,,
67,PT07M27.00S,2021-12-14T00:48:02.2Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,13,14,2021-12-14T00:48:02Z,670000,,,0,,C. Capela REBOUND (Off:2 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,66.0,,,,,,,,,,,,,5.0,3.0,2.0,,,
68,PT07M27.00S,2021-12-14T00:48:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,13,14,2021-12-14T00:48:02Z,680000,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
69,PT07M26.00S,2021-12-14T00:48:02.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,13,14,2021-12-14T00:48:02Z,690000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,68.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
70,PT07M20.00S,2021-12-14T00:48:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,5.995400788436268,49.754901960784316,1610612745,13,16,2021-12-14T00:52:06Z,700000,1.0,4.0,1,left,E. Gordon driving Layup (8 PTS),[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,0.41,Made,,,,,,,8.0,,,,,,,,,,,,
72,PT07M09.00S,2021-12-14T00:48:20.3Z,1,REGULAR,3pt,Jump Shot,[],201568,92.59198423127464,95.83333333333334,1610612737,16,16,2021-12-14T00:48:39Z,720000,229.0,17.0,1,right,D. Gallinari 3PT  (3 PTS) (T. Luwawu-Cabarrot 1 AST),"[201568, 1627789]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,22.98,Made,,,,,,,3.0,,,,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,,
74,PT06M50.00S,2021-12-14T00:48:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630256,7.966491458607096,97.05882352941177,1610612745,16,16,2021-12-14T00:48:46Z,740000,-235.0,22.0,1,left,MISS J. Tate 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,23.64,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M46.00S,2021-12-14T00:48:42.5Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,16,16,2021-12-14T00:48:46Z,750000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,74.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
76,PT06M34.00S,2021-12-14T00:48:55.2Z,1,REGULAR,3pt,Jump Shot,[],1627789,96.5341655716163,95.83333333333334,1610612737,16,16,2021-12-14T00:49:00Z,760000,229.0,-20.0,1,right,MISS T. Luwawu-Cabarrot 3PT,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,23.01,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M31.00S,2021-12-14T00:48:58.2Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,16,16,2021-12-14T00:49:00Z,770000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,76.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
78,PT06M25.00S,2021-12-14T00:49:04.1Z,1,REGULAR,3pt,Jump Shot,[],201569,26.757555847568987,8.57843137254902,1610612745,16,19,2021-12-14T00:49:08Z,780000,207.0,199.0,1,left,E. Gordon 28' 3PT  (11 PTS) (A. Brooks 2 AST),"[201569, 1629717]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,28.72,Made,,,,,,,11.0,,,,A. Brooks,1629717.0,2.0,,,,,,
80,PT06M14.00S,2021-12-14T00:49:16.1Z,1,REGULAR,foul,personal,[],1630256,,,1610612737,16,19,2021-12-14T00:52:25Z,800000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1629027]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,1628172.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,,,
82,PT06M14.00S,2021-12-14T00:49:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,16,19,2021-12-14T00:49:26Z,820000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M01.00S,2021-12-14T00:52:36.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,81.15965834428384,49.26470588235294,1610612737,18,19,2021-12-14T00:52:47Z,830000,-4.0,125.0,1,right,T. Young 12' driving floating Jump Shot (5 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,12.47,Made,,,,,,,5.0,,,,,,,,,,,,
84,PT05M50.00S,2021-12-14T00:52:50.4Z,1,REGULAR,foul,personal,[],203991,,,1610612745,18,19,2021-12-14T00:52:55Z,840000,,,0,,C. Capela personal FOUL (1 PF),"[203991, 1626174]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,1179.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,,
86,PT05M44.00S,2021-12-14T00:53:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,5.601182654402102,52.450980392156865,1610612745,18,21,2021-12-14T00:53:13Z,860000,-12.0,0.0,1,left,J. Tate driving Layup (5 PTS),[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.23,Made,,,,,,,5.0,,,,,,,,,,,,
87,PT05M28.00S,2021-12-14T00:53:25.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,18,21,2021-12-14T00:53:28Z,870000,,,0,,T. Young bad pass TURNOVER (3 TO),"[1629027, 1629726]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,3.0,Mathews,1629726.0,,,,,,,,,
88,PT05M28.00S,2021-12-14T00:53:25.0Z,1,REGULAR,steal,,[],1629726,,,1610612745,18,21,2021-12-14T00:53:26Z,880000,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M23.00S,2021-12-14T00:53:29.5Z,1,REGULAR,turnover,bad pass,[],1629726,,,1610612745,18,21,2021-12-14T00:53:34Z,890000,,,0,,G. Mathews bad pass TURNOVER (1 TO),"[1629726, 201568]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,1.0,Gallinari,201568.0,,,,,,,,,
90,PT05M23.00S,2021-12-14T00:53:29.5Z,1,REGULAR,steal,,[],201568,,,1610612737,18,21,2021-12-14T00:53:31Z,900000,,,0,,D. Gallinari STEAL (1 STL),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M13.00S,2021-12-14T00:53:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,93.38042049934296,47.30392156862745,1610612737,20,21,2021-12-14T00:53:46Z,910000,-13.0,10.0,1,right,T. Young driving Layup (7 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,1.66,Made,,,,,,,7.0,,,,,,,,,,,,
93,PT05M00.00S,2021-12-14T00:53:52.7Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612745,20,21,2021-12-14T00:53:57Z,930000,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 203991]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,1.0,Capela,203991.0,,,,,,,,,
94,PT05M00.00S,2021-12-14T00:53:52.7Z,1,REGULAR,steal,,[],203991,,,1610612737,20,21,2021-12-14T01:01:26Z,940000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M55.00S,2021-12-14T00:53:58.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1629027,70.25295663600527,45.588235294117645,1610612737,20,21,2021-12-14T00:54:04Z,950000,-22.0,227.0,1,right,MISS T. Young 22' pullup Shot - blocked,"[1629027, 1630256]",1610612737.0,ATL,pullup,,,Young,T. Young,,,,,22.82,Missed,,,,,,,,,,,,,,,,,Tate,1630256.0,
96,PT04M55.00S,2021-12-14T00:53:58.0Z,1,REGULAR,block,,[],1630256,,,1610612737,20,21,2021-12-14T00:54:02Z,960000,,,0,,J. Tate BLOCK (2 BLK),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
