actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
35,PT09M06.00S,2022-01-27T00:43:33.7Z,1,REGULAR,foul,personal,['1freethrow'],1628989,,,1610612758,7,10,2022-01-27T00:43:53Z,350000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1628989, 1630558]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,203177.0,1.0,0.0,Mitchell,1630558.0,,,,,,,,,,,,,,,
37,PT09M06.00S,2022-01-27T00:43:54.9Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630558,,,1610612758,7,10,2022-01-27T00:43:54Z,370000,,,0,,MISS D. Mitchell Free Throw 1 of 1,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Missed,,,,,,,,,,,,
38,PT09M04.00S,2022-01-27T00:43:56.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,7,10,2022-01-27T00:43:56Z,380000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,
39,PT08M52.00S,2022-01-27T00:44:08.5Z,1,REGULAR,3pt,Jump Shot,[],1628381,67.88764783180025,36.51960784313725,1610612737,7,10,2022-01-27T00:44:14Z,390000,-67.0,249.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,25.83,Missed,,,,,,,,,,,,
40,PT08M48.00S,2022-01-27T00:44:12.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,7,10,2022-01-27T00:44:14Z,400000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,
41,PT08M34.00S,2022-01-27T00:44:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,6.783837056504599,50.98039215686274,1610612758,7,12,2022-01-27T00:44:31Z,410000,-5.0,11.0,1,left,M. Bagley III driving Layup (2 PTS),[1628963],1610612758.0,SAC,driving,,,Bagley III,M. Bagley III,,,,,,,,,,,1.23,Made,,,,,,,2.0,,,,,
42,PT08M25.00S,2022-01-27T00:44:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,80.6340341655716,50.49019607843137,1610612737,7,12,2022-01-27T00:44:40Z,420000,2.0,130.0,1,right,MISS T. Young 12' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,,,,,,,12.95,Missed,,,,,,,,,,,,
43,PT08M22.00S,2022-01-27T00:44:38.1Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,7,12,2022-01-27T00:44:38Z,430000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,
44,PT08M21.00S,2022-01-27T00:44:39.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,86.41590013140605,51.71568627450981,1610612737,9,12,2022-01-27T00:44:43Z,440000,9.0,75.0,1,right,T. Young 7' floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,,,,,,,7.57,Made,,,,,,,2.0,,,,,
45,PT08M06.00S,2022-01-27T00:44:54.0Z,1,REGULAR,2pt,Jump Shot,[],203084,7.5722733245729295,79.41176470588235,1610612758,9,12,2022-01-27T00:44:58Z,450000,-147.0,19.0,1,left,MISS H. Barnes 14' step back Shot,[203084],1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,,,,,,,14.83,Missed,,,,,,,,,,,,
46,PT08M03.00S,2022-01-27T00:44:57.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,9,12,2022-01-27T00:44:58Z,460000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,
47,PT07M55.00S,2022-01-27T00:45:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,94.1688567674113,49.01960784313725,1610612737,11,12,2022-01-27T00:45:08Z,470000,-5.0,2.0,1,right,C. Capela alley-oop Layup (4 PTS) (T. Young 4 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,,,,0.54,Made,,,,,,,4.0,T. Young,1629027.0,4.0,,
49,PT07M47.00S,2022-01-27T00:45:13.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,5.863994743758213,50.0,1610612758,11,14,2022-01-27T00:45:18Z,490000,0.0,3.0,1,left,R. Holmes cutting DUNK (2 PTS) (T. Haliburton 2 AST),"[1626158, 1630169]",1610612758.0,SAC,cutting,,,Holmes,R. Holmes,,,,,,,,,,,0.26,Made,,,,,,,2.0,T. Haliburton,1630169.0,2.0,,
51,PT07M25.00S,2022-01-27T00:45:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,90.62089356110381,41.17647058823529,1610612737,13,14,2022-01-27T00:45:41Z,510000,-44.0,36.0,1,right,K. Huerter driving floating bank Jump Shot (2 PTS),[1628989],1610612737.0,ATL,driving floating bank,,,Huerter,K. Huerter,,,,,,,,,,,5.67,Made,,,,,,,2.0,,,,,
52,PT07M07.00S,2022-01-27T00:45:53.0Z,1,REGULAR,2pt,Jump Shot,[],1630558,10.200394218134035,72.79411764705883,1610612758,13,16,2022-01-27T00:45:57Z,520000,-114.0,43.0,1,left,D. Mitchell 12' pullup Jump Shot (10 PTS),[1630558],1610612758.0,SAC,pullup,,,Mitchell,D. Mitchell,,,,,,,,,,,12.2,Made,,,,,,,10.0,,,,,
53,PT06M54.00S,2022-01-27T00:46:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,68.80749014454665,39.950980392156865,1610612737,13,16,2022-01-27T00:46:12Z,530000,-50.0,241.0,1,right,MISS T. Young 24' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,,24.59,Missed,,,,,,,,,,,,
54,PT06M50.00S,2022-01-27T00:46:10.3Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,13,16,2022-01-27T00:46:12Z,540000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,
55,PT06M40.00S,2022-01-27T00:46:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,11.251642575558476,44.85294117647059,1610612758,13,16,2022-01-27T00:46:24Z,550000,26.0,53.0,1,left,MISS H. Barnes driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,,,,,,,5.92,Missed,,,,,,,,,,,,
56,PT06M38.00S,2022-01-27T00:46:22.2Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,13,16,2022-01-27T00:46:22Z,560000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,
57,PT06M37.00S,2022-01-27T00:46:23.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626158,8.623521681997373,39.21568627450981,1610612758,13,18,2022-01-27T00:47:22Z,570000,54.0,29.0,1,left,R. Holmes 6' floating Jump Shot (4 PTS),[1626158],1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,,,,,,,6.1,Made,,,,,,,4.0,,,,,
59,PT06M30.00S,2022-01-27T00:46:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,13,18,2022-01-27T00:46:34Z,590000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M30.00S,2022-01-27T00:49:08.1Z,1,REGULAR,substitution,out,[],1630169,,,1610612737,13,18,2022-01-27T00:49:17Z,600000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M30.00S,2022-01-27T00:49:08.1Z,1,REGULAR,substitution,out,[],1626158,,,1610612737,13,18,2022-01-27T00:49:17Z,610000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M30.00S,2022-01-27T00:49:08.1Z,1,REGULAR,substitution,in,[],1627741,,,1610612737,13,18,2022-01-27T00:49:17Z,620000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2022-01-27T00:49:08.1Z,1,REGULAR,substitution,in,[],1627745,,,1610612737,13,18,2022-01-27T00:49:17Z,630000,,,0,,SUB in: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M18.00S,2022-01-27T00:49:45.1Z,1,REGULAR,3pt,Jump Shot,[],1628989,74.72076215505913,85.04901960784314,1610612737,13,18,2022-01-27T00:49:50Z,640000,175.0,185.0,1,right,MISS K. Huerter 25' step back 3PT,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,,,,,,,25.49,Missed,,,,,,,,,,,,
65,PT06M14.00S,2022-01-27T00:49:49.1Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,13,18,2022-01-27T00:49:50Z,650000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,
66,PT06M05.00S,2022-01-27T00:49:59.7Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612758,13,18,2022-01-27T00:50:22Z,660000,,,0,,K. Huerter shooting personal FOUL (2 PF) (Barnes 2 FT),"[1628989, 203084]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,203177.0,2.0,0.0,Barnes,203084.0,,,,,,,,,,,,,,,
68,PT06M05.00S,2022-01-27T00:50:25.7Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,13,19,2022-01-27T00:50:25Z,680000,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
69,PT06M05.00S,2022-01-27T00:50:27.7Z,1,REGULAR,substitution,out,[],1628989,,,1610612758,13,19,2022-01-27T00:50:32Z,690000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2022-01-27T00:50:27.7Z,1,REGULAR,substitution,in,[],1626153,,,1610612758,13,19,2022-01-27T00:50:32Z,700000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M05.00S,2022-01-27T00:50:41.5Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,13,20,2022-01-27T00:50:41Z,710000,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,Made,,,,,,,2.0,,,,,
72,PT05M48.00S,2022-01-27T00:51:03.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,13,20,2022-01-27T00:51:03Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M41.00S,2022-01-27T00:51:35.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,13,20,2022-01-27T00:52:42Z,740000,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,1628172.0,,,,,,,,,,,,,,,,,,,
75,PT05M21.00S,2022-01-27T00:51:53.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203084,11.251642575558476,42.64705882352941,1610612758,13,22,2022-01-27T00:51:59Z,750000,37.0,53.0,1,left,H. Barnes 6' driving floating bank Jump Shot (4 PTS) (B. Hield 1 AST),"[203084, 1627741]",1610612758.0,SAC,driving floating bank,,,Barnes,H. Barnes,,,,,,,,,,,6.48,Made,,,,,,,4.0,B. Hield,1627741.0,1.0,,
77,PT05M06.00S,2022-01-27T00:52:08.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,69.59592641261499,73.77450980392157,1610612737,13,22,2022-01-27T00:52:14Z,770000,119.0,233.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,,26.19,Missed,,,,,,,,,,,,
78,PT05M02.00S,2022-01-27T00:52:12.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,13,22,2022-01-27T00:52:14Z,780000,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,
79,PT04M55.00S,2022-01-27T00:52:21.6Z,1,REGULAR,foul,personal,[],1629631,,,1610612758,13,22,2022-01-27T00:52:27Z,790000,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 203084]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,204059.0,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,,,,
81,PT04M55.00S,2022-01-27T00:52:28.0Z,1,REGULAR,substitution,out,[],203991,,,1610612758,13,22,2022-01-27T00:52:31Z,810000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M55.00S,2022-01-27T00:52:28.0Z,1,REGULAR,substitution,in,[],201568,,,1610612758,13,22,2022-01-27T00:52:31Z,820000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M46.00S,2022-01-27T00:52:50.5Z,1,REGULAR,3pt,Jump Shot,[],203084,14.273981603153747,95.58823529411765,1610612758,13,25,2022-01-27T00:52:55Z,830000,-228.0,82.0,1,left,H. Barnes 24' 3PT  (7 PTS) (B. Hield 2 AST),"[203084, 1627741]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,24.21,Made,,,,,,,7.0,B. Hield,1627741.0,2.0,,
85,PT04M25.00S,2022-01-27T00:53:15.6Z,1,REGULAR,foul,personal,[],1627745,,,1610612737,13,25,2022-01-27T00:53:20Z,850000,,,0,,D. Jones personal FOUL (1 PF),"[1627745, 1629631]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,1628172.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,
87,PT04M25.00S,2022-01-27T00:53:21.3Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,13,25,2022-01-27T00:53:25Z,870000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M25.00S,2022-01-27T00:53:21.3Z,1,REGULAR,substitution,in,[],203992,,,1610612737,13,25,2022-01-27T00:53:25Z,880000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M18.00S,2022-01-27T00:53:42.0Z,1,REGULAR,3pt,Jump Shot,[],201568,71.69842312746385,78.43137254901961,1610612737,13,25,2022-01-27T00:53:47Z,890000,142.0,214.0,1,right,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,25.65,Missed,,,,,,,,,,,,
90,PT04M15.00S,2022-01-27T00:53:45.0Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,13,25,2022-01-27T00:53:47Z,900000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,
91,PT04M13.00S,2022-01-27T00:53:47.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630558,32.802233902759525,51.71568627450981,1610612758,13,25,2022-01-27T00:53:53Z,910000,-9.0,256.0,1,left,MISS D. Mitchell 25' running 3PT,[1630558],1610612758.0,SAC,running,,,Mitchell,D. Mitchell,,,,,,,,,,,25.59,Missed,,,,,,,,,,,,
92,PT04M10.00S,2022-01-27T00:53:51.2Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612758,13,25,2022-01-27T00:53:51Z,920000,,,0,,B. Hield REBOUND (Off:1 Def:2),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,91.0,3.0,2.0,1.0,,,,,,
93,PT04M01.00S,2022-01-27T00:54:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630558,18.084756898817346,47.549019607843135,1610612758,13,25,2022-01-27T00:54:07Z,930000,12.0,117.0,1,left,MISS D. Mitchell 11' driving Layup,[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,,,,,,,11.81,Missed,,,,,,,,,,,,
94,PT03M56.00S,2022-01-27T00:54:05.2Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612758,13,25,2022-01-27T00:54:07Z,940000,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,93.0,1.0,0.0,1.0,,,,,,
