actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
41,PT08M02.00S,2022-03-31T23:45:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,5.601182654402102,49.50980392156863,1610612739,12,8,2022-03-31T23:45:55Z,410000,2.0,0.0,1,left,D. Garland driving reverse Layup (4 PTS),[1629636],1610612739.0,CLE,driving reverse,,,Garland,D. Garland,,,,,,,,0.25,Made,4.0,,,,,,,,,,,,,,,
42,PT07M48.00S,2022-03-31T23:46:01.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,96.40275952693824,95.83333333333334,1610612737,15,8,2022-03-31T23:46:06Z,420000,229.0,-19.0,1,right,K. Huerter 3PT  (6 PTS) (T. Young 3 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,23.0,Made,6.0,T. Young,1629027.0,3.0,,,,,,,,,,,,
44,PT07M36.00S,2022-03-31T23:46:16.5Z,1,REGULAR,foul,personal,[],1628989,,,1610612739,15,8,2022-03-31T23:46:24Z,440000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 1629636]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Garland,1629636.0,
46,PT07M24.00S,2022-03-31T23:46:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,6.258212877792378,48.77450980392157,1610612739,15,8,2022-03-31T23:46:51Z,460000,6.0,6.0,1,left,MISS C. LeVert driving Layup - blocked,"[1627747, 203991]",1610612739.0,CLE,driving,,,LeVert,C. LeVert,,,,,,,,0.88,Missed,,,,,,,,,Capela,203991.0,,,,,,
47,PT07M24.00S,2022-03-31T23:46:44.5Z,1,REGULAR,block,,[],203991,,,1610612739,15,8,2022-03-31T23:46:47Z,470000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M20.00S,2022-03-31T23:46:48.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,8,2022-03-31T23:46:51Z,480000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,46.0,4.0,3.0,1.0,,,,,,,,
49,PT07M15.00S,2022-03-31T23:46:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,63.288436268068324,51.71568627450981,1610612737,15,8,2022-03-31T23:47:00Z,490000,9.0,293.0,1,right,MISS T. Young 29' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,29.27,Missed,,,,,,,,,,,,,,,,
50,PT07M12.00S,2022-03-31T23:46:55.8Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,15,8,2022-03-31T23:47:00Z,500000,,,0,,M. Brown REBOUND (Off:0 Def:2),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,
51,PT07M04.00S,2022-03-31T23:47:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1627789,,,1610612739,15,8,2022-03-31T23:47:29Z,510000,,,0,,T. Luwawu-Cabarrot shooting personal FOUL (1 PF) (Garland 2 FT),"[1627789, 1629636]",1610612737.0,ATL,shooting,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Garland,1629636.0,
53,PT07M04.00S,2022-03-31T23:47:30.6Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,15,9,2022-03-31T23:47:46Z,530000,,,0,,D. Garland Free Throw 1 of 2 (5 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
54,PT07M04.00S,2022-03-31T23:47:30.6Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,15,9,2022-03-31T23:47:46Z,540000,,,0,,MISS D. Garland Free Throw 2 of 2,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,Missed,,,,,,,,,,,,,,,,
55,PT07M01.00S,2022-03-31T23:47:33.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,9,2022-03-31T23:47:46Z,550000,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,54.0,5.0,4.0,1.0,,,,,,,,
56,PT06M48.00S,2022-03-31T23:47:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,82.7365308804205,39.950980392156865,1610612737,15,9,2022-03-31T23:48:07Z,560000,-50.0,110.0,1,right,MISS D. Hunter 12' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,,,,12.07,Missed,,,,,,,,,,,,,,,,
57,PT06M45.00S,2022-03-31T23:48:00.7Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,15,9,2022-03-31T23:48:07Z,570000,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,
58,PT06M36.00S,2022-03-31T23:48:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,16.770696452036795,55.392156862745104,1610612739,15,11,2022-03-31T23:48:14Z,580000,-27.0,105.0,1,left,C. LeVert 10' pullup Jump Shot (2 PTS),[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,,,,10.85,Made,2.0,,,,,,,,,,,,,,,
59,PT06M24.00S,2022-03-31T23:48:22.6Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,15,11,2022-03-31T23:48:29Z,590000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1628374]",1610612737.0,ATL,,,,Young,T. Young,,,,,1.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,
60,PT06M24.00S,2022-03-31T23:48:22.6Z,1,REGULAR,steal,,[],1628374,,,1610612739,15,11,2022-03-31T23:48:24Z,600000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M23.00S,2022-03-31T23:48:25.6Z,1,REGULAR,foul,personal,[],1629631,,,1610612739,15,11,2022-03-31T23:48:32Z,610000,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1627747]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,LeVert,1627747.0,
63,PT06M23.00S,2022-03-31T23:48:34.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,15,11,2022-03-31T23:48:34Z,630000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2022-03-31T23:51:50.8Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,15,11,2022-03-31T23:51:59Z,640000,,,0,,D. Garland lost ball out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,lost ball,,,Garland,D. Garland,,,,,1.0,,,,,,,,,,,,,,,1626300.0,,,,,
65,PT05M47.00S,2022-03-31T23:52:24.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,92.85479632063075,47.30392156862745,1610612737,15,11,2022-03-31T23:52:43Z,650000,-13.0,15.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,,,,2.0,Missed,,,,,,,,,,,,,,,,
66,PT05M46.00S,2022-03-31T23:52:25.4Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,15,11,2022-03-31T23:52:43Z,660000,,,0,,C. Capela REBOUND (Off:2 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,65.0,6.0,4.0,2.0,,,,,,,,
67,PT05M46.00S,2022-03-31T23:52:31.8Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612737,15,11,2022-03-31T23:52:37Z,670000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Capela 2 FT),"[1628374, 203991]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,1626300.0,1.0,0.0,Capela,203991.0,
69,PT05M46.00S,2022-03-31T23:52:48.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203991,,,1610612737,15,11,2022-03-31T23:52:48Z,690000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,Missed,,,,,,,,,,,,,,,,
70,PT05M46.00S,2022-03-31T23:52:48.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,15,11,2022-03-31T23:52:48Z,700000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,
71,PT05M46.00S,2022-03-31T23:52:49.8Z,1,REGULAR,substitution,out,[],1629650,,,1610612737,15,11,2022-03-31T23:52:54Z,710000,,,0,,SUB out: M. Brown,[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M46.00S,2022-03-31T23:52:49.8Z,1,REGULAR,substitution,in,[],201567,,,1610612737,15,11,2022-03-31T23:52:54Z,720000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2022-03-31T23:52:48.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203991,,,1610612737,15,11,2022-03-31T23:53:12Z,730000,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,Missed,,,,,,,,,,,,,,,,
74,PT05M41.00S,2022-03-31T23:52:53.9Z,1,REGULAR,rebound,offensive,[],1627789,,,1610612737,15,11,2022-03-31T23:53:12Z,740000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:1 Def:0),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,
75,PT05M41.00S,2022-03-31T23:53:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627789,94.40999984741211,50.0,1610612737,17,11,2022-03-31T23:53:11Z,750000,0.0,0.0,1,right,T. Luwawu-Cabarrot putback Layup (2 PTS),[1627789],1610612737.0,ATL,putback,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,
76,PT05M21.00S,2022-03-31T23:53:31.4Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612739,17,11,2022-03-31T23:53:37Z,760000,,,0,,L. Markkanen lost ball TURNOVER (2 TO),"[1628374, 1628989]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,2.0,Huerter,1628989.0,,,,,,,,,,,,,,,,,,
77,PT05M21.00S,2022-03-31T23:53:31.4Z,1,REGULAR,steal,,[],1628989,,,1610612737,17,11,2022-03-31T23:55:04Z,770000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M17.00S,2022-03-31T23:53:35.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203991,93.9060446780552,48.529411764705884,1610612737,19,11,2022-03-31T23:53:45Z,780000,-7.0,5.0,1,right,C. Capela running DUNK (6 PTS) (T. Luwawu-Cabarrot 1 AST),"[203991, 1627789]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,,,,0.88,Made,6.0,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,,,,,,,,
80,PT05M15.00S,2022-03-31T23:53:45.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,19,11,2022-03-31T23:53:45Z,800000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M02.00S,2022-03-31T23:56:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,28.991458607095925,74.26470588235294,1610612739,19,14,2022-03-31T23:56:52Z,810000,-121.0,220.0,1,left,D. Garland 25' 3PT pullup (8 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,25.12,Made,8.0,,,,,,,,,,,,,,,
82,PT04M46.00S,2022-03-31T23:57:02.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,76.5604467805519,72.54901960784314,1610612737,21,14,2022-03-31T23:57:07Z,820000,113.0,168.0,1,right,D. Hunter 20' Jump Shot (5 PTS) (T. Young 4 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,20.21,Made,5.0,T. Young,1629027.0,4.0,,,,,,,,,,,,
84,PT04M36.00S,2022-03-31T23:57:12.8Z,1,REGULAR,3pt,Jump Shot,[],201567,32.802233902759525,47.549019607843135,1610612739,21,17,2022-03-31T23:57:17Z,840000,12.0,256.0,1,left,K. Love 25' 3PT  (3 PTS) (D. Garland 3 AST),"[201567, 1629636]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,25.61,Made,3.0,D. Garland,1629636.0,3.0,,,,,,,,,,,,
86,PT04M21.00S,2022-03-31T23:57:28.5Z,1,REGULAR,foul,personal,['3freethrow'],1627747,,,1610612737,21,17,2022-04-01T00:02:02Z,860000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Luwawu-Cabarrot 3 FT),"[1627747, 1627789]",1610612739.0,CLE,shooting,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,202027.0,1.0,0.0,Luwawu-Cabarrot,1627789.0,
88,PT04M21.00S,2022-03-31T23:58:07.9Z,1,REGULAR,instantreplay,request,[],0,,,1610612737,21,17,2022-03-31T23:59:10Z,880000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common Foul Upheld
91,PT04M21.00S,2022-04-01T00:00:04.1Z,1,REGULAR,substitution,out,[],1628989,,,1610612737,21,17,2022-04-01T00:00:14Z,885000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M21.00S,2022-04-01T00:00:04.1Z,1,REGULAR,substitution,out,[],1627747,,,1610612737,21,17,2022-04-01T00:00:14Z,887500,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M21.00S,2022-04-01T00:00:04.1Z,1,REGULAR,substitution,in,[],203992,,,1610612737,21,17,2022-04-01T00:00:14Z,888750,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
