actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M02.00S,2022-02-12T00:41:09.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,87.46714848883047,42.64705882352941,1610612737,2,2,2022-02-12T00:42:20Z,150000,-37.0,65.0,1,right,C. Capela 7' turnaround Hook (2 PTS) (K. Huerter 1 AST),"[203991, 1628989]",1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,7.5,Made,,,,,,,2.0,,,,K. Huerter,1628989.0,1.0,,,,,
17,PT10M49.00S,2022-02-12T00:41:22.4Z,1,REGULAR,3pt,Jump Shot,[],203926,31.61957950065703,49.50980392156863,1610612759,2,5,2022-02-12T00:41:27Z,170000,2.0,245.0,1,left,D. McDermott 24' 3PT pullup (3 PTS) (K. Johnson 1 AST),"[203926, 1629640]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,24.47,Made,,,,,,,3.0,,,,K. Johnson,1629640.0,1.0,,,,,
19,PT10M37.00S,2022-02-12T00:41:37.1Z,1,REGULAR,foul,personal,['2freethrow'],203926,,,1610612737,2,5,2022-02-12T00:42:01Z,190000,,,0,,D. McDermott shooting personal FOUL (1 PF) (Capela 2 FT),"[203926, 203991]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Capela,203991.0
21,PT10M37.00S,2022-02-12T00:42:02.1Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,2,5,2022-02-12T00:42:02Z,210000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2022-02-12T00:42:02.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,2,5,2022-02-12T00:42:02Z,220000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,
23,PT10M37.00S,2022-02-12T00:42:15.0Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,3,5,2022-02-12T00:42:15Z,230000,,,0,,C. Capela Free Throw 2 of 2 (3 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
24,PT10M26.00S,2022-02-12T00:42:28.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,7.046649145860711,42.15686274509804,1610612759,3,7,2022-02-12T00:43:44Z,240000,39.0,14.0,1,left,J. Poeltl turnaround Hook (2 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,4.15,Made,,,,,,,2.0,,,,D. Murray,1627749.0,1.0,,,,,
26,PT10M09.00S,2022-02-12T00:42:44.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,71.43561103810775,24.264705882352942,1610612737,3,7,2022-02-12T00:42:50Z,260000,-129.0,216.0,1,right,MISS D. Hunter 25' pullup 3PT,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2022-02-12T00:42:47.6Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,7,2022-02-12T00:42:50Z,270000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT10M02.00S,2022-02-12T00:42:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203926,6.783837056504599,4.411764705882353,1610612759,3,10,2022-02-12T00:42:57Z,280000,228.0,11.0,1,left,D. McDermott 3PT running (6 PTS) (D. Vassell 1 AST),"[203926, 1630170]",1610612759.0,SAS,running,,,McDermott,D. McDermott,,,,,22.82,Made,,,,,,,6.0,,,,D. Vassell,1630170.0,1.0,,,,,
30,PT09M47.00S,2022-02-12T00:43:06.9Z,1,REGULAR,3pt,Jump Shot,[],1628381,73.14388961892247,17.647058823529413,1610612737,3,10,2022-02-12T00:43:11Z,300000,-162.0,200.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,
31,PT09M44.00S,2022-02-12T00:43:09.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,3,10,2022-02-12T00:43:11Z,310000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M36.00S,2022-02-12T00:43:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,13.222733245729303,57.107843137254896,1610612759,3,10,2022-02-12T00:43:25Z,320000,-36.0,72.0,1,left,MISS D. Murray 8' driving floating Shot,[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,8.01,Missed,,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2022-02-12T00:43:21.6Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,3,10,2022-02-12T00:43:25Z,330000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,
34,PT09M23.00S,2022-02-12T00:43:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,92.32917214191852,48.03921568627451,1610612737,5,10,2022-02-12T00:45:05Z,340000,-10.0,20.0,1,right,D. Hunter driving finger roll Layup (2 PTS),[1629631],1610612737.0,ATL,driving finger roll,,,Hunter,D. Hunter,,,,,2.19,Made,,,,,,,2.0,,,,,,,,,,,
35,PT09M08.00S,2022-02-12T00:43:45.5Z,1,REGULAR,2pt,Jump Shot,[],1630170,6.783837056504599,70.09803921568627,1610612759,5,12,2022-02-12T00:43:50Z,350000,-100.0,11.0,1,left,D. Vassell 10' pullup Jump Shot (4 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,10.11,Made,,,,,,,4.0,,,,,,,,,,,
36,PT08M57.00S,2022-02-12T00:43:57.3Z,1,REGULAR,2pt,Jump Shot,[],1628381,92.19776609724047,71.07843137254902,1610612737,7,12,2022-02-12T00:44:02Z,360000,105.0,21.0,1,right,J. Collins 10' turnaround Jump Shot (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,10.74,Made,,,,,,,2.0,,,,T. Young,1629027.0,1.0,,,,,
38,PT08M46.00S,2022-02-12T00:44:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,12.959921156373195,53.67647058823529,1610612759,7,12,2022-02-12T00:45:58Z,380000,-18.0,69.0,1,left,MISS K. Johnson 7' driving Hook,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,7.17,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-02-12T00:44:10.2Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,7,12,2022-02-12T00:44:10Z,390000,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,
40,PT08M39.00S,2022-02-12T00:44:15.8Z,1,REGULAR,turnover,lost ball,[],203926,,,1610612759,7,12,2022-02-12T00:44:20Z,400000,,,0,,D. McDermott lost ball TURNOVER (1 TO),"[203926, 1628989]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,1.0,Huerter,1628989.0,,,,,,,,
41,PT08M39.00S,2022-02-12T00:44:15.8Z,1,REGULAR,steal,,[],1628989,,,1610612737,7,12,2022-02-12T00:44:18Z,410000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M30.00S,2022-02-12T00:44:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629631,92.06636005256242,48.03921568627451,1610612737,9,12,2022-02-12T00:44:30Z,420000,-10.0,22.0,1,right,D. Hunter driving Layup (4 PTS) (K. Huerter 2 AST),"[1629631, 1628989]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,2.42,Made,,,,,,,4.0,,,,K. Huerter,1628989.0,2.0,,,,,
44,PT08M19.00S,2022-02-12T00:44:39.9Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612759,9,12,2022-02-12T00:45:00Z,440000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Murray 2 FT),"[1629631, 1627749]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Murray,1627749.0
46,PT08M19.00S,2022-02-12T00:45:01.5Z,1,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,9,13,2022-02-12T00:45:01Z,460000,,,0,,D. Murray Free Throw 1 of 2 (1 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
47,PT08M19.00S,2022-02-12T00:45:11.2Z,1,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,9,14,2022-02-12T00:45:11Z,470000,,,0,,D. Murray Free Throw 2 of 2 (2 PTS),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
48,PT08M03.00S,2022-02-12T00:45:28.3Z,1,REGULAR,3pt,Jump Shot,[],1628989,74.32654402102497,14.215686274509803,1610612737,9,14,2022-02-12T00:45:35Z,480000,-179.0,189.0,1,right,MISS K. Huerter 26' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2022-02-12T00:45:33.3Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,14,2022-02-12T00:45:35Z,490000,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,
50,PT07M57.00S,2022-02-12T00:45:35.2Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,9,14,2022-02-12T00:45:39Z,500000,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1627749]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,,
51,PT07M57.00S,2022-02-12T00:45:35.2Z,1,REGULAR,steal,,[],1627749,,,1610612759,9,14,2022-02-12T00:45:37Z,510000,,,0,,D. Murray STEAL (2 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M53.00S,2022-02-12T00:45:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,6.1268068331143235,50.245098039215684,1610612759,9,16,2022-02-12T00:45:43Z,520000,-1.0,5.0,1,left,D. Murray running Layup (4 PTS),[1627749],1610612759.0,SAS,running,,,Murray,D. Murray,,,,,0.52,Made,,,,,,,4.0,,,,,,,,,,,
53,PT07M43.00S,2022-02-12T00:45:48.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,74.58935611038108,15.196078431372548,1610612737,9,16,2022-02-12T00:49:39Z,530000,-174.0,186.0,1,right,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,
54,PT07M38.00S,2022-02-12T00:45:53.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,9,16,2022-02-12T00:45:53Z,540000,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,
58,PT07M26.00S,2022-02-12T00:46:11.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,6.258212877792378,44.6078431372549,1610612759,9,16,2022-02-12T00:49:15Z,580000,27.0,6.0,1,left,MISS J. Poeltl Hook - blocked,"[1627751, 203991]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,2.77,Missed,Capela,203991.0,,,,,,,,,,,,,,,,
59,PT07M26.00S,2022-02-12T00:46:11.2Z,1,REGULAR,block,,[],203991,,,1610612759,9,16,2022-02-12T00:46:14Z,590000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M25.00S,2022-02-12T00:46:12.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,9,16,2022-02-12T00:47:50Z,600000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,
61,PT07M25.00S,2022-02-12T00:46:19.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,9,16,2022-02-12T00:46:19Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2022-02-12T00:46:22.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629640,8.754927726675426,27.450980392156865,1610612759,9,18,2022-02-12T00:46:29Z,620000,113.0,30.0,1,left,K. Johnson 11' Jump Shot (2 PTS) (D. Murray 2 AST),"[1629640, 1627749]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,11.66,Made,,,,,,,2.0,,,,D. Murray,1627749.0,2.0,,,,,
64,PT07M15.00S,2022-02-12T00:46:33.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,9,18,2022-02-12T00:46:33Z,640000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2022-02-12T00:49:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,80.6340341655716,42.8921568627451,1610612737,11,18,2022-02-12T00:49:39Z,650000,-36.0,130.0,1,right,K. Huerter 13' turnaround Jump Shot (2 PTS),[1628989],1610612737.0,ATL,turnaround,,,Huerter,K. Huerter,,,,,13.43,Made,,,,,,,2.0,,,,,,,,,,,
66,PT06M47.00S,2022-02-12T00:49:53.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,7.835085413929041,95.34313725490196,1610612759,11,21,2022-02-12T00:49:57Z,660000,-227.0,21.0,1,left,D. Murray 3PT  (7 PTS) (D. McDermott 1 AST),"[1627749, 203926]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,22.77,Made,,,,,,,7.0,,,,D. McDermott,203926.0,1.0,,,,,
68,PT06M35.00S,2022-02-12T00:50:05.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,82.21090670170827,42.15686274509804,1610612737,13,21,2022-02-12T00:50:09Z,680000,-39.0,115.0,1,right,T. Young 12' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,12.12,Made,,,,,,,2.0,,,,,,,,,,,
69,PT06M26.00S,2022-02-12T00:50:14.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,30.699737187910642,64.70588235294117,1610612759,13,24,2022-02-12T00:50:19Z,690000,-74.0,236.0,1,left,K. Johnson 24' 3PT  (5 PTS) (D. Murray 3 AST),"[1629640, 1627749]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,24.73,Made,,,,,,,5.0,,,,D. Murray,1627749.0,3.0,,,,,
71,PT06M11.00S,2022-02-12T00:50:28.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,91.40932982917214,61.274509803921575,1610612737,13,24,2022-02-12T00:50:34Z,710000,56.0,28.0,1,right,MISS J. Collins 6' turnaround Hook,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,6.31,Missed,,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2022-02-12T00:50:30.8Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,13,24,2022-02-12T00:50:34Z,720000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,71.0,1.0,0.0,1.0,,,,,,,,,,,,
73,PT06M07.00S,2022-02-12T00:50:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,92.06636005256242,48.529411764705884,1610612737,13,24,2022-02-12T00:52:50Z,730000,-7.0,22.0,1,right,MISS J. Collins putback Layup,[1628381],1610612737.0,ATL,putback,,,Collins,J. Collins,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,
74,PT06M07.00S,2022-02-12T00:50:32.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,13,24,2022-02-12T00:50:37Z,740000,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,73.0,2.0,0.0,2.0,,,,,,,,,,,,
75,PT06M04.00S,2022-02-12T00:50:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,15,24,2022-02-12T00:50:36Z,750000,0.0,0.0,1,right,C. Capela tip Layup (5 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Made,,,,,,,5.0,,,,,,,,,,,
76,PT06M00.00S,2022-02-12T00:50:40.8Z,1,REGULAR,3pt,Jump Shot,[],203926,29.122864651773984,70.58823529411765,1610612759,15,27,2022-02-12T00:50:47Z,760000,-103.0,221.0,1,left,D. McDermott 24' 3PT  (9 PTS) (K. Johnson 2 AST),"[203926, 1629640]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,24.41,Made,,,,,,,9.0,,,,K. Johnson,1629640.0,2.0,,,,,
78,PT05M46.00S,2022-02-12T00:50:54.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.11760840998686,49.26470588235294,1610612737,17,27,2022-02-12T00:50:58Z,780000,-4.0,12.0,1,right,C. Capela cutting DUNK (7 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,1.27,Made,,,,,,,7.0,,,,T. Young,1629027.0,2.0,,,,,
80,PT05M35.00S,2022-02-12T00:51:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,17.16491458607096,46.07843137254902,1610612759,17,29,2022-02-12T00:51:09Z,800000,20.0,109.0,1,left,J. Poeltl 11' floating Jump Shot (4 PTS) (D. Murray 4 AST),"[1627751, 1627749]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,11.06,Made,,,,,,,4.0,,,,D. Murray,1627749.0,4.0,,,,,
82,PT05M18.00S,2022-02-12T00:51:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,87.33574244415243,49.26470588235294,1610612737,17,29,2022-02-12T00:54:04Z,820000,-4.0,67.0,1,right,MISS K. Huerter 6' driving finger roll Layup - blocked,"[1628989, 1627751]",1610612737.0,ATL,driving finger roll,,,Huerter,K. Huerter,,,,,6.66,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
83,PT05M18.00S,2022-02-12T00:51:22.2Z,1,REGULAR,block,,[],1627751,,,1610612737,17,29,2022-02-12T00:51:25Z,830000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2022-02-12T00:51:26.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,17,29,2022-02-12T00:51:27Z,840000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,
85,PT05M12.00S,2022-02-12T00:51:28.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,28.991458607095925,74.26470588235294,1610612759,17,32,2022-02-12T00:51:33Z,850000,-121.0,220.0,1,left,D. Vassell 25' 3PT running (7 PTS) (D. Murray 5 AST),"[1630170, 1627749]",1610612759.0,SAS,running,,,Vassell,D. Vassell,,,,,25.12,Made,,,,,,,7.0,,,,D. Murray,1627749.0,5.0,,,,,
87,PT04M59.00S,2022-02-12T00:51:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,63.9454664914586,43.38235294117647,1610612737,17,32,2022-02-12T00:51:45Z,870000,-33.0,286.0,1,right,MISS T. Young 28' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,28.83,Missed,,,,,,,,,,,,,,,,,,
88,PT04M56.00S,2022-02-12T00:51:44.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,17,32,2022-02-12T00:51:45Z,880000,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,87.0,3.0,2.0,1.0,,,,,,,,,,,,
89,PT04M49.00S,2022-02-12T00:51:52.5Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612759,17,32,2022-02-12T00:52:24Z,890000,,,0,,J. Collins shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1628381, 1627751]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Poeltl,1627751.0
91,PT04M49.00S,2022-02-12T00:52:28.4Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,17,33,2022-02-12T00:52:28Z,910000,,,0,,J. Poeltl Free Throw 1 of 2 (5 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
92,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,out,[],203991,,,1610612759,17,33,2022-02-12T00:52:42Z,920000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,out,[],1628989,,,1610612759,17,33,2022-02-12T00:52:42Z,930000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M49.00S,2022-02-12T00:52:29.2Z,1,REGULAR,substitution,out,[],1629640,,,1610612759,17,33,2022-02-12T00:52:42Z,940000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
