actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
24,PT09M22.00S,2022-02-01T00:43:20.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,6,2022-02-01T00:43:25Z,240000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M13.00S,2022-02-01T00:43:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,84.1819973718791,52.20588235294118,1610612737,4,6,2022-02-01T00:43:36Z,250000,11.0,96.0,1,right,K. Huerter 9' driving floating Jump Shot (2 PTS) (J. Collins 1 AST),"[1628989, 1628381]",1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,9.68,Made,,,,,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,
26,PT08M49.00S,2022-02-01T00:43:54.3Z,1,REGULAR,2pt,Jump Shot,[],1628384,23.866622864651774,29.411764705882355,1610612761,4,6,2022-02-01T00:44:00Z,260000,103.0,172.0,1,left,MISS O. Anunoby 20' step back Shot,[1628384],1610612761.0,TOR,step back,,,Anunoby,O. Anunoby,,,,,20.03,Missed,,,,,,,,,,,,,,,,,,
27,PT08M45.00S,2022-02-01T00:43:58.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,4,6,2022-02-01T00:44:00Z,270000,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
28,PT08M33.00S,2022-02-01T00:44:10.1Z,1,REGULAR,2pt,Jump Shot,[],1629631,90.75229960578186,69.11764705882352,1610612737,6,6,2022-02-01T00:47:20Z,280000,96.0,34.0,1,right,D. Hunter 10' pullup Jump Shot (2 PTS) (J. Collins 2 AST),"[1629631, 1628381]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,10.16,Made,,,,,2.0,J. Collins,1628381.0,2.0,,,,,,,,,,
30,PT08M22.00S,2022-02-01T00:44:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,8.754927726675426,45.83333333333333,1610612761,6,8,2022-02-01T00:44:31Z,300000,21.0,30.0,1,left,F. VanVleet driving finger roll Layup (2 PTS),[1627832],1610612761.0,TOR,driving finger roll,,,VanVleet,F. VanVleet,,,,,3.63,Made,,,,,2.0,,,,,,,,,,,,,
31,PT08M11.00S,2022-02-01T00:44:34.1Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,6,8,2022-02-01T00:44:41Z,310000,,,0,,D. Hunter lost ball out-of-bounds TURNOVER (1 TO),[1629631],1610612737.0,ATL,lost ball,,,Hunter,D. Hunter,,,,,,,,,,,,,,,202901.0,1.0,,,,,,,,
32,PT07M52.00S,2022-02-01T00:44:55.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,14.799605781865965,48.529411764705884,1610612761,6,8,2022-02-01T00:45:00Z,320000,7.0,87.0,1,left,MISS P. Siakam 8' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,8.69,Missed,,,,,,,,,,,,,,,,,,
33,PT07M49.00S,2022-02-01T00:44:58.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,8,2022-02-01T00:45:00Z,330000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT07M41.00S,2022-02-01T00:45:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,92.59198423127464,46.81372549019608,1610612737,8,8,2022-02-01T00:45:15Z,340000,-16.0,17.0,1,right,D. Hunter driving Layup (4 PTS) (D. Wright 2 AST),"[1629631, 1626153]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,2.33,Made,,,,,4.0,D. Wright,1626153.0,2.0,,,,,,,,,,
36,PT07M32.00S,2022-02-01T00:45:15.4Z,1,REGULAR,2pt,Jump Shot,[],1627832,25.312089356110377,42.40196078431372,1610612761,8,8,2022-02-01T00:45:20Z,360000,38.0,185.0,1,left,MISS F. VanVleet 18' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.93,Missed,,,,,,,,,,,,,,,,,,
37,PT07M28.00S,2022-02-01T00:45:19.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,8,8,2022-02-01T00:45:20Z,370000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT07M23.00S,2022-02-01T00:45:26.5Z,1,REGULAR,foul,personal,[],1627783,,,1610612737,8,8,2022-02-01T00:45:35Z,380000,,,0,,P. Siakam personal FOUL (2 PF),"[1627783, 1628381]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,101284.0,,2.0,0.0,Collins,1628381.0,,,,
40,PT07M23.00S,2022-02-01T00:45:43.1Z,1,REGULAR,substitution,out,[],1627783,,,1610612737,8,8,2022-02-01T00:45:50Z,400000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M23.00S,2022-02-01T00:45:43.1Z,1,REGULAR,substitution,in,[],1628449,,,1610612737,8,8,2022-02-01T00:45:50Z,410000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M23.00S,2022-02-01T00:45:57.3Z,1,REGULAR,foul,technical,['1freethrow'],1627783,,,1610612737,8,8,2022-02-01T00:46:12Z,420000,,,0,,P. Siakam technical FOUL (1 Tech),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,101284.0,,2.0,1.0,,,,,,
43,PT07M23.00S,2022-02-01T00:46:13.1Z,1,REGULAR,freethrow,1 of 1,[],1628989,,,1610612737,9,8,2022-02-01T00:46:13Z,430000,,,0,,K. Huerter technical Free Throw 1 of 1 (3 PTS),[1628989],1610612737.0,ATL,technical,,,Huerter,K. Huerter,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
44,PT07M17.00S,2022-02-01T00:46:32.2Z,1,REGULAR,turnover,bad pass,[],1629631,,,1610612737,9,8,2022-02-01T00:46:37Z,440000,,,0,,D. Hunter bad pass TURNOVER (2 TO),"[1629631, 1630567]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,2.0,,,,,Barnes,1630567.0,,
45,PT07M17.00S,2022-02-01T00:46:32.2Z,1,REGULAR,steal,,[],1630567,,,1610612761,9,8,2022-02-01T00:46:34Z,450000,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M59.00S,2022-02-01T00:46:50.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,32.670827858081466,40.19607843137255,1610612761,9,8,2022-02-01T00:46:56Z,460000,49.0,255.0,1,left,MISS G. Trent Jr. 25' pullup 3PT,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
47,PT06M56.00S,2022-02-01T00:46:53.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,9,8,2022-02-01T00:46:56Z,470000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT06M39.00S,2022-02-01T00:47:14.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,9,8,2022-02-01T00:47:14Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M39.00S,2022-02-01T00:47:19.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,9,8,2022-02-01T00:47:19Z,490000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M36.00S,2022-02-01T00:50:15.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,85.89027595269383,48.77450980392157,1610612737,11,8,2022-02-01T00:50:22Z,500000,-6.0,80.0,1,right,C. Capela 8' turnaround Hook (2 PTS) (D. Wright 3 AST),"[203991, 1626153]",1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,8.03,Made,,,,,2.0,D. Wright,1626153.0,3.0,,,,,,,,,,
52,PT06M16.00S,2022-02-01T00:50:35.8Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,11,8,2022-02-01T00:50:42Z,520000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1628989]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,1.0,,,,,Huerter,1628989.0,,
53,PT06M16.00S,2022-02-01T00:50:35.8Z,1,REGULAR,steal,,[],1628989,,,1610612737,11,8,2022-02-01T00:50:38Z,530000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M04.00S,2022-02-01T00:50:47.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629631,75.24638633377135,31.127450980392158,1610612737,11,8,2022-02-01T00:50:53Z,540000,-94.0,180.0,1,right,MISS D. Hunter 20' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,20.34,Missed,,,,,,,,,,,,,,,,,,
55,PT06M01.00S,2022-02-01T00:50:50.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,11,8,2022-02-01T00:50:53Z,550000,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT05M48.00S,2022-02-01T00:51:03.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,10.33180026281209,94.6078431372549,1610612761,11,11,2022-02-01T00:51:09Z,560000,-223.0,45.0,1,left,O. Anunoby 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,22.74,Made,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
58,PT05M32.00S,2022-02-01T00:51:19.4Z,1,REGULAR,3pt,Jump Shot,[],1626153,94.69448094612353,96.07843137254902,1610612737,11,11,2022-02-01T00:51:53Z,580000,230.0,-3.0,1,right,MISS D. Wright 3PT,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,
59,PT05M29.00S,2022-02-01T00:51:22.4Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,11,11,2022-02-01T00:51:28Z,590000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT05M25.00S,2022-02-01T00:51:26.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,31.09395532194481,29.65686274509804,1610612761,11,11,2022-02-01T00:51:33Z,600000,102.0,240.0,1,left,MISS F. VanVleet 26' running pullup 3PT,[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,
61,PT05M25.00S,2022-02-01T00:51:26.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,11,11,2022-02-01T00:51:33Z,610000,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,60.0,3.0,2.0,1.0,,,,,,,,,,,,,,
62,PT05M16.00S,2022-02-01T00:51:35.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,29.77989487516426,23.774509803921568,1610612761,11,14,2022-02-01T00:51:41Z,620000,131.0,227.0,1,left,G. Trent Jr. 26' 3PT step back (6 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,26.25,Made,,,,,6.0,,,,,,,,,,,,,
64,PT04M56.00S,2022-02-01T00:51:55.7Z,1,REGULAR,2pt,Jump Shot,[],1628381,88.25558475689881,13.725490196078432,1610612737,11,14,2022-02-01T00:52:01Z,640000,-181.0,58.0,1,right,MISS J. Collins 19' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,19.04,Missed,,,,,,,,,,,,,,,,,,
65,PT04M54.00S,2022-02-01T00:51:57.7Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,11,14,2022-02-01T00:52:01Z,650000,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT04M51.00S,2022-02-01T00:52:01.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630567,6.258212877792378,50.245098039215684,1610612761,11,16,2022-02-01T00:55:57Z,660000,-1.0,6.0,1,left,S. Barnes running Layup (2 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,0.64,Made,,,,,2.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,
68,PT04M41.00S,2022-02-01T00:52:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612737,11,16,2022-02-01T00:52:30Z,680000,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Hunter 2 FT),"[1628384, 1629631]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,202901.0,,1.0,0.0,Hunter,1629631.0,,,,
70,PT04M41.00S,2022-02-01T00:52:31.8Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,12,16,2022-02-01T00:52:31Z,700000,,,0,,D. Hunter Free Throw 1 of 2 (5 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
71,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,out,[],1628989,,,1610612737,12,16,2022-02-01T00:52:44Z,710000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,out,[],203991,,,1610612737,12,16,2022-02-01T00:52:44Z,720000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,out,[],1628384,,,1610612737,12,16,2022-02-01T00:52:44Z,730000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612737,12,16,2022-02-01T00:52:44Z,740000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,in,[],201568,,,1610612737,12,16,2022-02-01T00:52:44Z,750000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,in,[],203992,,,1610612737,12,16,2022-02-01T00:52:44Z,760000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,in,[],1630173,,,1610612737,12,16,2022-02-01T00:52:44Z,770000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M41.00S,2022-02-01T00:52:32.6Z,1,REGULAR,substitution,in,[],1630551,,,1610612737,12,16,2022-02-01T00:52:44Z,780000,,,0,,SUB in: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M41.00S,2022-02-01T00:52:54.2Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,13,16,2022-02-01T00:52:54Z,790000,,,0,,D. Hunter Free Throw 2 of 2 (6 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
80,PT04M25.00S,2022-02-01T00:53:12.9Z,1,REGULAR,2pt,Jump Shot,[],1629018,21.369908015768726,67.15686274509804,1610612761,13,18,2022-02-01T00:53:23Z,800000,-86.0,148.0,1,left,G. Trent Jr. 17' step back Jump Shot (8 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,17.14,Made,,,,,8.0,,,,,,,,,,,,,
82,PT04M14.00S,2022-02-01T00:53:24.1Z,1,REGULAR,2pt,Jump Shot,[],1628381,83.26215505913272,75.24509803921569,1610612737,15,18,2022-02-01T00:53:29Z,820000,126.0,105.0,1,right,J. Collins 16' pullup Jump Shot (4 PTS) (D. Wright 4 AST),"[1628381, 1626153]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,16.4,Made,,,,,4.0,D. Wright,1626153.0,4.0,,,,,,,,,,
84,PT04M01.00S,2022-02-01T00:53:37.2Z,1,REGULAR,2pt,Jump Shot,[],1629018,18.873193166885677,66.66666666666666,1610612761,15,18,2022-02-01T00:53:42Z,840000,-83.0,125.0,1,left,MISS G. Trent Jr. 15' step back Shot,[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,15.01,Missed,,,,,,,,,,,,,,,,,,
85,PT03M57.00S,2022-02-01T00:53:41.2Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612737,15,18,2022-02-01T00:53:42Z,850000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT03M50.00S,2022-02-01T00:53:48.9Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612737,15,18,2022-02-01T01:01:28Z,860000,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Wright 2 FT),"[1627832, 1626153]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,203591.0,,1.0,0.0,Wright,1626153.0,,,,
88,PT03M50.00S,2022-02-01T00:54:14.7Z,1,REGULAR,freethrow,1 of 2,[],1626153,,,1610612737,16,18,2022-02-01T00:59:56Z,880000,,,0,,D. Wright Free Throw 1 of 2 (1 PTS),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
89,PT03M50.00S,2022-02-01T00:54:14.7Z,1,REGULAR,freethrow,2 of 2,[],1626153,,,1610612737,17,18,2022-02-01T00:59:56Z,890000,,,0,,D. Wright Free Throw 2 of 2 (2 PTS),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
90,PT03M32.00S,2022-02-01T00:54:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,14.011169513797633,48.77450980392157,1610612761,17,18,2022-02-01T00:54:57Z,900000,6.0,79.0,1,left,MISS F. VanVleet 7' driving floating Shot,[1627832],1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,7.94,Missed,,,,,,,,,,,,,,,,,,
91,PT03M27.00S,2022-02-01T00:54:54.7Z,1,REGULAR,rebound,offensive,[],1630551,,,1610612761,17,18,2022-02-01T00:54:57Z,910000,,,0,,J. Champagnie REBOUND (Off:1 Def:0),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,90.0,1.0,0.0,1.0,,,,,,,,,,,,,,
