actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
22,PT09M49.00S,2021-12-11T00:48:14.4Z,1,REGULAR,steal,,[],1627789,,,1610612737,10,2,2021-12-11T00:48:16Z,220000,,,0,,T. Luwawu-Cabarrot STEAL (1 STL),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M40.00S,2021-12-11T00:48:27.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,10,2,2021-12-11T00:48:27Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2021-12-11T00:48:52.6Z,1,REGULAR,foul,personal,[],1627761,,,1610612737,10,2,2021-12-11T00:48:59Z,240000,,,0,,D. Bembry personal FOUL (1 PF),"[1627761, 1629027]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,203177.0,1.0,0.0,Young,1629027.0,,,,,,
26,PT09M31.00S,2021-12-11T00:49:10.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,69.07030223390277,81.12745098039215,1610612737,10,2,2021-12-11T00:49:15Z,260000,156.0,238.0,1,right,MISS T. Young 28' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,28.45,Missed,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2021-12-11T00:49:13.9Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,10,2,2021-12-11T00:49:15Z,270000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
28,PT09M23.00S,2021-12-11T00:49:21.0Z,1,REGULAR,foul,personal,[],1627789,,,1610612751,10,2,2021-12-11T00:49:26Z,280000,,,0,,T. Luwawu-Cabarrot personal FOUL (1 PF),"[1627789, 201142]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,202049.0,1.0,0.0,Durant,201142.0,,,,,,
30,PT09M18.00S,2021-12-11T00:49:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,10.200394218134035,64.4607843137255,1610612751,10,2,2021-12-11T00:50:08Z,300000,-72.0,43.0,1,left,MISS K. Durant 8' turnaround fadeaway bank Shot,[201142],1610612751.0,BKN,turnaround fadeaway bank,,,Durant,K. Durant,,,,,8.43,Missed,,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2021-12-11T00:49:47.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,10,2,2021-12-11T00:49:51Z,310000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M08.00S,2021-12-11T00:49:56.0Z,1,REGULAR,foul,personal,[],201988,,,1610612737,10,2,2021-12-11T00:50:03Z,320000,,,0,,P. Mills personal FOUL (1 PF),"[201988, 1628381]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,202049.0,1.0,0.0,Collins,1628381.0,,,,,,
34,PT08M56.00S,2021-12-11T00:50:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,89.70105124835742,95.83333333333334,1610612737,10,2,2021-12-11T00:50:42Z,340000,229.0,44.0,1,right,MISS J. Collins 3PT - blocked,"[1628381, 201142]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,23.34,Missed,,,,,,,,,,,,,,,,,Durant,201142.0
60,PT08M56.00S,2021-12-11T00:50:27.0Z,1,REGULAR,block,,[],201142,,,1610612737,10,2,2021-12-11T00:56:26Z,345000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2021-12-11T00:50:31.0Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,10,2,2021-12-11T00:50:42Z,350000,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,34.0,1.0,0.0,1.0,,
36,PT08M52.00S,2021-12-11T00:50:44.9Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612737,10,2,2021-12-11T00:50:44Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M46.00S,2021-12-11T00:51:05.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628381,73.01248357424441,83.57843137254902,1610612737,10,2,2021-12-11T00:51:09Z,370000,168.0,201.0,1,right,MISS J. Collins 26' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,
38,PT08M42.00S,2021-12-11T00:51:09.1Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,10,2,2021-12-11T00:51:09Z,380000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,
39,PT08M31.00S,2021-12-11T00:51:20.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,16.507884362680684,50.73529411764706,1610612751,10,4,2021-12-11T00:51:25Z,390000,-4.0,103.0,1,left,K. Durant 10' turnaround Jump Shot (2 PTS) (L. Aldridge 1 AST),"[201142, 200746]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,10.28,Made,2.0,L. Aldridge,200746.0,1.0,,,,,,,,,,,,,,
41,PT08M25.00S,2021-12-11T00:51:28.3Z,1,REGULAR,foul,personal,[],1627761,,,1610612737,10,4,2021-12-11T00:51:34Z,410000,,,0,,D. Bembry personal FOUL (2 PF),"[1627761, 1629027]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,202058.0,2.0,0.0,Young,1629027.0,,,,,,
43,PT08M13.00S,2021-12-11T00:51:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,83.39356110381078,44.36274509803921,1610612737,10,4,2021-12-11T00:52:01Z,430000,-28.0,104.0,1,right,MISS T. Young 10' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,
44,PT08M10.00S,2021-12-11T00:51:56.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,10,4,2021-12-11T00:59:14Z,440000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,
45,PT08M07.00S,2021-12-11T00:51:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,6.1268068331143235,52.69607843137255,1610612751,10,6,2021-12-11T00:52:08Z,450000,-13.0,5.0,1,left,J. Harden running Layup (4 PTS),[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,1.44,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M53.00S,2021-12-11T00:52:13.0Z,1,REGULAR,2pt,Jump Shot,[],1628989,86.5473061760841,66.91176470588235,1610612737,12,6,2021-12-11T00:52:20Z,460000,85.0,74.0,1,right,K. Huerter 11' pullup Jump Shot (8 PTS),[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,11.24,Made,8.0,,,,,,,,,,,,,,,,,
47,PT07M39.00S,2021-12-11T00:52:27.7Z,1,REGULAR,3pt,Jump Shot,[],201988,32.14520367936925,64.70588235294117,1610612751,12,6,2021-12-11T00:52:32Z,470000,-74.0,250.0,1,left,MISS P. Mills 26' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2021-12-11T00:52:30.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,12,6,2021-12-11T00:52:32Z,480000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,
49,PT07M30.00S,2021-12-11T00:52:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.32917214191852,51.9607843137255,1610612737,12,6,2021-12-11T00:52:53Z,490000,10.0,20.0,1,right,MISS T. Young driving Layup - blocked,"[1629027, 201142]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,2.19,Missed,,,,,,,,,,,,,,,,,Durant,201142.0
50,PT07M30.00S,2021-12-11T00:52:38.7Z,1,REGULAR,block,,[],201142,,,1610612737,12,6,2021-12-11T00:52:41Z,500000,,,0,,K. Durant BLOCK (2 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M29.00S,2021-12-11T00:52:39.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,12,6,2021-12-11T00:52:53Z,510000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,
52,PT07M29.00S,2021-12-11T00:52:43.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,12,6,2021-12-11T00:52:43Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2021-12-11T00:52:58.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,86.28449408672799,47.05882352941176,1610612737,12,6,2021-12-11T00:53:03Z,530000,-15.0,76.0,1,right,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,7.78,Missed,,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2021-12-11T00:53:00.7Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,12,6,2021-12-11T00:53:03Z,540000,,,0,,D. Bembry REBOUND (Off:0 Def:2),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,
55,PT07M12.00S,2021-12-11T00:53:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,16.90210249671485,54.166666666666664,1610612751,12,8,2021-12-11T00:56:16Z,550000,-21.0,106.0,1,left,K. Durant 10' step back Jump Shot (4 PTS),[201142],1610612751.0,BKN,step back,,,Durant,K. Durant,,,,,10.84,Made,4.0,,,,,,,,,,,,,,,,,
56,PT06M56.00S,2021-12-11T00:53:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203991,89.56964520367937,49.50980392156863,1610612737,12,8,2021-12-11T00:53:38Z,560000,-2.0,46.0,1,right,MISS C. Capela floating Shot,[203991],1610612737.0,ATL,floating,,,Capela,C. Capela,,,,,4.56,Missed,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2021-12-11T00:53:26.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,12,8,2021-12-11T00:53:38Z,570000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,
58,PT06M56.00S,2021-12-11T00:53:31.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,12,8,2021-12-11T00:53:31Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2021-12-11T00:53:37.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,12,8,2021-12-11T00:53:37Z,590000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M38.00S,2021-12-11T00:57:28.8Z,1,REGULAR,2pt,Jump Shot,[],201935,22.946780551905388,50.73529411764706,1610612751,12,8,2021-12-11T00:57:33Z,600000,-4.0,163.0,1,left,MISS J. Harden 16' pullup Shot,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,16.32,Missed,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2021-12-11T00:57:32.8Z,1,REGULAR,rebound,defensive,[],1627789,,,1610612737,12,8,2021-12-11T00:57:33Z,610000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:0 Def:1),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,
63,PT06M24.00S,2021-12-11T00:57:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,81.2910643889619,49.01960784313725,1610612737,12,8,2021-12-11T00:57:47Z,620000,-5.0,123.0,1,right,MISS K. Huerter 12' driving floating Shot - blocked,"[1628989, 201988]",1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,12.35,Missed,,,,,,,,,,,,,,,,,Mills,201988.0
64,PT06M24.00S,2021-12-11T00:57:42.2Z,1,REGULAR,block,,[],201988,,,1610612737,12,8,2021-12-11T00:57:45Z,630000,,,0,,P. Mills BLOCK (1 BLK),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2021-12-11T00:57:45.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,12,8,2021-12-11T00:57:47Z,640000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,
66,PT06M20.00S,2021-12-11T00:57:46.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201142,4.5499342969776615,49.50980392156863,1610612751,12,10,2021-12-11T00:57:52Z,650000,2.0,-10.0,1,left,K. Durant running DUNK (6 PTS) (D. Bembry 1 AST),"[201142, 1627761]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,1.0,Made,6.0,D. Bembry,1627761.0,1.0,,,,,,,,,,,,,,
68,PT06M01.00S,2021-12-11T00:58:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627789,93.77463863337714,43.872549019607845,1610612737,12,10,2021-12-11T00:58:11Z,670000,-31.0,6.0,1,right,MISS T. Luwawu-Cabarrot driving Layup - blocked,"[1627789, 200746]",1610612737.0,ATL,driving,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,3.12,Missed,,,,,,,,,,,,,,,,,Aldridge,200746.0
69,PT06M01.00S,2021-12-11T00:58:05.0Z,1,REGULAR,block,,[],200746,,,1610612737,12,10,2021-12-11T00:58:07Z,680000,,,0,,L. Aldridge BLOCK (1 BLK),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2021-12-11T00:58:05.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,12,10,2021-12-11T00:58:11Z,690000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,
71,PT06M01.00S,2021-12-11T00:58:09.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,12,10,2021-12-11T00:58:09Z,700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2021-12-11T00:58:10.5Z,1,REGULAR,substitution,out,[],1627761,,,1610612737,12,10,2021-12-11T00:58:23Z,710000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M01.00S,2021-12-11T00:58:10.5Z,1,REGULAR,substitution,out,[],201988,,,1610612737,12,10,2021-12-11T00:58:23Z,720000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2021-12-11T00:58:10.5Z,1,REGULAR,substitution,in,[],1630560,,,1610612737,12,10,2021-12-11T00:58:23Z,730000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2021-12-11T00:58:10.5Z,1,REGULAR,substitution,in,[],1628971,,,1610612737,12,10,2021-12-11T00:58:23Z,740000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M01.00S,2021-12-11T00:58:36.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,12,10,2021-12-11T00:58:36Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2021-12-11T00:58:49.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,63.6826544021025,36.27450980392157,1610612737,12,10,2021-12-11T00:58:53Z,760000,-69.0,289.0,1,right,MISS T. Young 29' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,29.69,Missed,,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2021-12-11T00:58:53.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,12,10,2021-12-11T00:58:53Z,770000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,
79,PT05M39.00S,2021-12-11T00:59:05.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,7.966491458607096,79.65686274509804,1610612751,12,10,2021-12-11T00:59:12Z,780000,-148.0,22.0,1,left,MISS C. Thomas 15' pullup Shot,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,15.0,Missed,,,,,,,,,,,,,,,,,,
80,PT05M34.00S,2021-12-11T00:59:10.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,12,10,2021-12-11T00:59:12Z,790000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,79.0,2.0,2.0,0.0,,
81,PT05M29.00S,2021-12-11T00:59:17.4Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612737,12,10,2021-12-11T00:59:25Z,800000,,,0,,K. Huerter step out-of-bounds TURNOVER (1 TO),[1628989],1610612737.0,ATL,step,,,Huerter,K. Huerter,,,,,,,,,,,1.0,,,202049.0,,,,,,,,,,
82,PT05M29.00S,2021-12-11T00:59:21.4Z,1,REGULAR,substitution,out,[],203991,,,1610612751,12,10,2021-12-11T00:59:27Z,810000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2021-12-11T00:59:21.4Z,1,REGULAR,substitution,in,[],201568,,,1610612751,12,10,2021-12-11T00:59:27Z,820000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M17.00S,2021-12-11T00:59:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",200746,6.258212877792378,48.03921568627451,1610612751,12,12,2021-12-11T00:59:53Z,830000,10.0,6.0,1,left,L. Aldridge alley-oop Layup (2 PTS) (J. Harden 1 AST),"[200746, 201935]",1610612751.0,BKN,alley-oop,,,Aldridge,L. Aldridge,,,,,1.17,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
86,PT04M57.00S,2021-12-11T01:00:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627789,91.80354796320631,46.568627450980394,1610612737,12,12,2021-12-11T01:00:13Z,850000,-17.0,25.0,1,right,MISS T. Luwawu-Cabarrot driving Layup,[1627789],1610612737.0,ATL,driving,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,2.99,Missed,,,,,,,,,,,,,,,,,,
87,PT04M54.00S,2021-12-11T01:00:09.6Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,12,12,2021-12-11T01:00:13Z,860000,,,0,,L. Aldridge REBOUND (Off:0 Def:2),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,
88,PT04M43.00S,2021-12-11T01:00:20.4Z,1,REGULAR,2pt,Jump Shot,[],200746,6.1268068331143235,30.637254901960787,1610612751,12,14,2021-12-11T01:00:24Z,870000,97.0,5.0,1,left,L. Aldridge 9' turnaround Jump Shot (4 PTS),[200746],1610612751.0,BKN,turnaround,,,Aldridge,L. Aldridge,,,,,9.69,Made,4.0,,,,,,,,,,,,,,,,,
89,PT04M20.00S,2021-12-11T01:00:43.6Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612737,12,14,2021-12-11T01:00:48Z,880000,,,0,,K. Huerter bad pass TURNOVER (2 TO),"[1628989, 200746]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,2.0,Aldridge,200746.0,,,,,,,,,,,
90,PT04M20.00S,2021-12-11T01:00:43.6Z,1,REGULAR,steal,,[],200746,,,1610612751,12,14,2021-12-11T01:00:45Z,890000,,,0,,L. Aldridge STEAL (1 STL),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,
