actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M05.00S,2021-11-21T00:42:46.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,55.66688567674113,50.0,1610612737,4,4,2021-11-21T00:42:51Z,190000,0.0,364.0,1,right,MISS T. Young 36' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,36.42,Missed,,,,,,,,,,,,,,,,,,
20,PT10M03.00S,2021-11-21T00:42:48.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,4,2021-11-21T00:42:51Z,200000,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,,
21,PT10M00.00S,2021-11-21T00:42:51.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628970,5.732588699080158,50.98039215686274,1610612766,4,6,2021-11-21T00:42:57Z,210000,-5.0,1.0,1,left,M. Bridges running DUNK (4 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,0.51,Made,4.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
23,PT09M49.00S,2021-11-21T00:43:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,80.6340341655716,45.83333333333333,1610612737,6,6,2021-11-21T00:43:07Z,230000,-21.0,130.0,1,right,T. Young 13' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,13.12,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M25.00S,2021-11-21T00:43:26.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,13.354139290407357,47.549019607843135,1610612766,6,6,2021-11-21T00:43:31Z,240000,12.0,73.0,1,left,MISS M. Plumlee 7' driving Hook,[203486],1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,7.4,Missed,,,,,,,,,,,,,,,,,,
25,PT09M23.00S,2021-11-21T00:43:28.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,6,2021-11-21T00:43:31Z,250000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M16.00S,2021-11-21T00:43:35.4Z,1,REGULAR,3pt,Jump Shot,[],203992,95.6143232588699,5.147058823529411,1610612737,6,6,2021-11-21T00:43:40Z,260000,-224.0,-11.0,1,right,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,22.46,Missed,,,,,,,,,,,,,,,,,,
27,PT09M13.00S,2021-11-21T00:43:38.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,6,2021-11-21T00:43:40Z,270000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M01.00S,2021-11-21T00:43:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,7.5722733245729295,50.98039215686274,1610612766,6,6,2021-11-21T00:43:56Z,280000,-5.0,19.0,1,left,MISS M. Plumlee Layup - blocked,"[203486, 1628381]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,1.93,Missed,,,,,,,,,Collins,1628381.0,,,,,,,,
29,PT09M01.00S,2021-11-21T00:43:51.0Z,1,REGULAR,block,,[],1628381,,,1610612766,6,6,2021-11-21T00:43:53Z,290000,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M01.00S,2021-11-21T00:43:51.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,6,6,2021-11-21T00:43:56Z,300000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
31,PT08M49.00S,2021-11-21T00:44:13.4Z,1,REGULAR,2pt,Jump Shot,[],1628381,76.5604467805519,45.83333333333333,1610612737,8,6,2021-11-21T00:44:18Z,310000,-21.0,168.0,1,right,J. Collins 16' Jump Shot (4 PTS) (B. Bogdanovic 1 AST),"[1628381, 203992]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,16.91,Made,4.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,
33,PT08M38.00S,2021-11-21T00:44:23.8Z,1,REGULAR,2pt,Jump Shot,[],1630163,6.1268068331143235,18.627450980392158,1610612766,8,6,2021-11-21T00:44:28Z,330000,157.0,5.0,1,left,MISS L. Ball 15' step back Shot,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,15.7,Missed,,,,,,,,,,,,,,,,,,
34,PT08M35.00S,2021-11-21T00:44:27.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,8,6,2021-11-21T00:44:27Z,340000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,
35,PT08M27.00S,2021-11-21T00:44:35.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628970,7.440867279894875,39.46078431372549,1610612766,8,6,2021-11-21T00:44:39Z,350000,53.0,17.0,1,left,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,5.55,Missed,,,,,,,,,,,,,,,,,,
36,PT08M24.00S,2021-11-21T00:44:38.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,8,6,2021-11-21T00:44:39Z,360000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,
37,PT08M21.00S,2021-11-21T00:44:41.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203991,92.85479632063075,50.0,1610612737,10,6,2021-11-21T00:45:10Z,370000,0.0,15.0,1,right,C. Capela running alley-oop Layup (4 PTS) (T. Young 3 AST),"[203991, 1629027]",1610612737.0,ATL,running alley-oop,,,Capela,C. Capela,,,,,1.47,Made,4.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,,
39,PT08M20.00S,2021-11-21T00:44:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,10,6,2021-11-21T00:44:46Z,390000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M06.00S,2021-11-21T00:47:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.821944809461236,44.36274509803921,1610612766,10,6,2021-11-21T00:47:58Z,400000,28.0,115.0,1,left,MISS T. Rozier 11' turnaround Shot,[1626179],1610612766.0,CHA,turnaround,,,Rozier,T. Rozier,,,,,11.84,Missed,,,,,,,,,,,,,,,,,,
41,PT08M03.00S,2021-11-21T00:47:55.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,10,6,2021-11-21T00:47:58Z,410000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,
42,PT07M49.00S,2021-11-21T00:48:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203992,92.9862023653088,49.754901960784316,1610612737,12,6,2021-11-21T00:48:15Z,420000,-1.0,13.0,1,right,B. Bogdanovic driving Layup (2 PTS),[203992],1610612737.0,ATL,driving,,,Bogdanovic,B. Bogdanovic,,,,,1.35,Made,2.0,,,,,,,,,,,,,,,,,
43,PT07M40.00S,2021-11-21T00:48:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,6.389618922470433,49.50980392156863,1610612766,12,6,2021-11-21T00:48:23Z,430000,2.0,8.0,1,left,MISS L. Ball cutting Layup,[1630163],1610612766.0,CHA,cutting,,,Ball,L. Ball,,,,,0.8,Missed,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2021-11-21T00:48:20.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,12,6,2021-11-21T00:48:23Z,440000,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,43.0,4.0,4.0,0.0,,,,,,,,,,
45,PT07M31.00S,2021-11-21T00:48:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628989,97.32260183968464,95.58823529411765,1610612737,12,6,2021-11-21T00:48:32Z,450000,228.0,-27.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,
46,PT07M28.00S,2021-11-21T00:48:30.4Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,12,6,2021-11-21T00:48:32Z,460000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT07M25.00S,2021-11-21T00:48:35.6Z,1,REGULAR,foul,offensive,[],1628970,,,1610612766,12,6,2021-11-21T00:48:44Z,470000,,,0,,M. Bridges charge offensive FOUL (1 PF),"[1628970, 1628381]",1610612766.0,CHA,charge,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Collins,1628381.0,,,
49,PT07M25.00S,2021-11-21T00:48:35.6Z,1,REGULAR,turnover,offensive foul,[],1628970,,,1610612766,12,6,2021-11-21T00:48:35Z,490000,,,0,,M. Bridges offensive foul TURNOVER (1 TO),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,101283.0,,,,,1.0,,
50,PT07M13.00S,2021-11-21T00:49:02.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203991,94.30026281208936,51.9607843137255,1610612737,14,6,2021-11-21T00:49:12Z,500000,10.0,1.0,1,right,C. Capela alley-oop DUNK (6 PTS) (J. Collins 1 AST),"[203991, 1628381]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.99,Made,6.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
52,PT06M56.00S,2021-11-21T00:49:19.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,27.414586070959263,80.3921568627451,1610612766,14,6,2021-11-21T00:49:24Z,520000,-152.0,205.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,
53,PT06M53.00S,2021-11-21T00:49:22.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,14,6,2021-11-21T00:49:24Z,530000,,,0,,C. Capela REBOUND (Off:0 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,52.0,5.0,5.0,0.0,,,,,,,,,,
54,PT06M43.00S,2021-11-21T00:49:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.64323258869908,50.49019607843137,1610612737,16,6,2021-11-21T00:49:53Z,540000,2.0,7.0,1,right,C. Capela Layup (8 PTS) (T. Young 4 AST),"[203991, 1629027]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,0.77,Made,8.0,T. Young,1629027.0,4.0,,,,,,,,,,,,,,
55,PT06M32.00S,2021-11-21T00:49:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,32.276609724047304,56.61764705882353,1610612766,16,6,2021-11-21T00:49:48Z,550000,-33.0,251.0,1,left,MISS L. Ball 25' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,
56,PT06M29.00S,2021-11-21T00:49:47.2Z,1,REGULAR,rebound,offensive,[],202330,,,1610612766,16,6,2021-11-21T00:49:47Z,560000,,,0,,G. Hayward REBOUND (Off:1 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,
57,PT06M29.00S,2021-11-21T00:49:47.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626179,30.699737187910642,31.127450980392158,1610612766,16,6,2021-11-21T00:50:35Z,570000,94.0,236.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
58,PT06M26.00S,2021-11-21T00:49:50.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,16,6,2021-11-21T00:49:51Z,580000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,
60,PT06M12.00S,2021-11-21T00:50:07.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,16,6,2021-11-21T00:50:07Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M12.00S,2021-11-21T00:50:17.1Z,1,REGULAR,substitution,out,[],1628970,,,1610612737,16,6,2021-11-21T00:50:26Z,600000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M12.00S,2021-11-21T00:50:17.1Z,1,REGULAR,substitution,out,[],202330,,,1610612737,16,6,2021-11-21T00:50:26Z,610000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2021-11-21T00:50:17.1Z,1,REGULAR,substitution,in,[],1628998,,,1610612737,16,6,2021-11-21T00:50:26Z,620000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2021-11-21T00:50:17.1Z,1,REGULAR,substitution,in,[],1626162,,,1610612737,16,6,2021-11-21T00:50:26Z,630000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2021-11-21T00:50:37.7Z,1,REGULAR,2pt,Jump Shot,[],203992,82.21090670170827,75.24509803921569,1610612737,16,6,2021-11-21T00:50:41Z,640000,126.0,115.0,1,right,MISS B. Bogdanovic 17' Jump Shot,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,17.05,Missed,,,,,,,,,,,,,,,,,,
66,PT06M04.00S,2021-11-21T00:50:40.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,16,6,2021-11-21T00:50:41Z,650000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M01.00S,2021-11-21T00:50:43.3Z,1,REGULAR,2pt,Jump Shot,[],1628998,20.45006570302234,70.09803921568627,1610612766,16,6,2021-11-21T00:51:50Z,660000,-100.0,140.0,1,left,MISS C. Martin 17' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,17.21,Missed,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2021-11-21T00:50:48.1Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,16,6,2021-11-21T00:50:48Z,670000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,67.0,1.0,0.0,1.0,,,,,,,,,,
69,PT05M54.00S,2021-11-21T00:50:50.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,9.806176084099869,5.637254901960785,1610612766,16,6,2021-11-21T00:50:55Z,680000,222.0,40.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,22.53,Missed,,,,,,,,,,,,,,,,,,
70,PT05M51.00S,2021-11-21T00:50:53.7Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,16,6,2021-11-21T00:50:55Z,690000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,
71,PT05M49.00S,2021-11-21T00:50:55.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,6.258212877792378,50.49019607843137,1610612766,16,8,2021-11-21T00:50:59Z,700000,-2.0,6.0,1,left,K. Oubre Jr. putback Layup (2 PTS),[1626162],1610612766.0,CHA,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,0.68,Made,2.0,,,,,,,,,,,,,,,,,
73,PT05M37.00S,2021-11-21T00:51:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,93.77463863337714,50.98039215686274,1610612737,16,8,2021-11-21T00:51:13Z,720000,5.0,6.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2021-11-21T00:51:09.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,16,8,2021-11-21T00:51:13Z,730000,,,0,,L. Ball REBOUND (Off:1 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,
75,PT05M28.00S,2021-11-21T00:51:15.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,6.389618922470433,96.56862745098039,1610612766,16,8,2021-11-21T00:51:20Z,740000,-233.0,8.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,
76,PT05M24.00S,2021-11-21T00:51:20.0Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,16,8,2021-11-21T00:51:20Z,750000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,,
77,PT05M18.00S,2021-11-21T00:51:29.2Z,1,REGULAR,foul,personal,[],203991,,,1610612766,16,8,2021-11-21T00:51:45Z,760000,,,0,,C. Capela personal FOUL (1 PF),"[203991, 1630163]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Ball,1630163.0,,,
79,PT05M18.00S,2021-11-21T00:51:46.3Z,1,REGULAR,substitution,out,[],203991,,,1610612766,16,8,2021-11-21T00:51:49Z,780000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M18.00S,2021-11-21T00:51:46.3Z,1,REGULAR,substitution,in,[],201568,,,1610612766,16,8,2021-11-21T00:51:49Z,790000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M18.00S,2021-11-21T00:51:46.3Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,16,8,2021-11-21T00:51:57Z,800000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M18.00S,2021-11-21T00:51:46.3Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,16,8,2021-11-21T00:51:57Z,810000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2021-11-21T00:52:01.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203486,6.258212877792378,51.225490196078425,1610612766,16,10,2021-11-21T00:52:06Z,820000,-6.0,6.0,1,left,M. Plumlee running reverse DUNK (4 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,running reverse,,,Plumlee,M. Plumlee,,,,,0.88,Made,4.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
85,PT04M50.00S,2021-11-21T00:52:33.9Z,1,REGULAR,foul,personal,['2freethrow'],1628998,,,1610612737,16,10,2021-11-21T00:53:00Z,840000,,,0,,C. Martin shooting personal FOUL (1 PF) (Gallinari 2 FT),"[1628998, 201568]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Gallinari,201568.0,,,
87,PT04M50.00S,2021-11-21T00:53:04.2Z,1,REGULAR,freethrow,1 of 2,[],201568,,,1610612737,17,10,2021-11-21T00:53:04Z,860000,,,0,,D. Gallinari Free Throw 1 of 2 (1 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
88,PT04M50.00S,2021-11-21T00:53:05.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612737,17,10,2021-11-21T00:53:10Z,870000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M50.00S,2021-11-21T00:53:05.0Z,1,REGULAR,substitution,out,[],203486,,,1610612737,17,10,2021-11-21T00:53:10Z,880000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M50.00S,2021-11-21T00:53:05.0Z,1,REGULAR,substitution,in,[],1629629,,,1610612737,17,10,2021-11-21T00:53:10Z,890000,,,0,,SUB in: C. Reddish,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,
