actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M14.00S,2022-03-20T22:12:20.0Z,1,REGULAR,3pt,Jump Shot,[],1630529,69.99014454664915,25.98039215686275,1610612740,5,3,2022-03-20T22:12:26Z,190000,-120.0,230.0,1,right,H. Jones 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.91,Made,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
21,PT10M07.00S,2022-03-20T22:12:26.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,5,3,2022-03-20T22:14:35Z,210000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630529]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0
22,PT10M07.00S,2022-03-20T22:12:26.8Z,1,REGULAR,steal,,[],1630529,,,1610612740,5,3,2022-03-20T22:12:29Z,220000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M02.00S,2022-03-20T22:12:32.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630230,82.47371879106439,48.28431372549019,1610612740,5,5,2022-03-20T22:15:34Z,230000,-9.0,112.0,1,right,N. Marshall 11' running Jump Shot (2 PTS) (H. Jones 1 AST),"[1630230, 1630529]",1610612740.0,NOP,running,,,Marshall,N. Marshall,,,,,11.25,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
25,PT09M46.00S,2022-03-20T22:12:47.6Z,1,REGULAR,2pt,Jump Shot,[],201568,15.982260183968464,78.43137254901961,1610612737,7,5,2022-03-20T22:12:54Z,250000,-142.0,98.0,1,left,D. Gallinari 17' pullup Jump Shot (2 PTS) (D. Hunter 1 AST),"[201568, 1629631]",1610612737.0,ATL,pullup,,,Gallinari,D. Gallinari,,,,,17.25,Made,2.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,
26,PT09M28.00S,2022-03-20T22:13:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,84.97043363994744,39.950980392156865,1610612740,7,7,2022-03-20T22:13:20Z,260000,-50.0,89.0,1,right,J. Valanciunas 10' turnaround Jump Shot (2 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,10.2,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M14.00S,2022-03-20T22:13:20.2Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,7,7,2022-03-20T22:13:24Z,270000,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 1630230]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,2.0,Marshall,1630230.0
28,PT09M14.00S,2022-03-20T22:13:20.2Z,1,REGULAR,steal,,[],1630230,,,1610612740,7,7,2022-03-20T22:13:22Z,280000,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M10.00S,2022-03-20T22:13:24.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629637,92.46057818659659,49.754901960784316,1610612740,7,7,2022-03-20T22:13:39Z,300000,-1.0,18.0,1,right,MISS J. Hayes running Layup,[1629637],1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,
31,PT09M09.00S,2022-03-20T22:13:25.6Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,7,7,2022-03-20T22:18:34Z,310000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT08M54.00S,2022-03-20T22:13:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,19.530223390275953,37.5,1610612737,7,7,2022-03-20T22:13:44Z,320000,62.0,131.0,1,left,MISS T. Young 14' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,14.52,Missed,,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2022-03-20T22:13:43.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,7,2022-03-20T22:13:44Z,330000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
34,PT08M43.00S,2022-03-20T22:13:51.5Z,1,REGULAR,3pt,Jump Shot,[],203468,72.61826544021025,18.137254901960784,1610612740,7,10,2022-03-20T22:13:58Z,340000,-159.0,205.0,1,right,C. McCollum 25' 3PT pullup (3 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,25.95,Made,3.0,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2022-03-20T22:14:12.1Z,1,REGULAR,2pt,Jump Shot,[],201568,14.536793692509855,14.460784313725492,1610612737,7,10,2022-03-20T22:14:18Z,350000,178.0,84.0,1,left,MISS D. Gallinari 19' step back Shot,[201568],1610612737.0,ATL,step back,,,Gallinari,D. Gallinari,,,,,19.66,Missed,,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2022-03-20T22:14:13.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,7,10,2022-03-20T22:14:18Z,360000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,
37,PT08M21.00S,2022-03-20T22:14:16.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,7,10,2022-03-20T22:14:16Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M06.00S,2022-03-20T22:14:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,83.65637319316689,47.549019607843135,1610612740,7,10,2022-03-20T22:14:44Z,380000,-12.0,101.0,1,right,MISS J. Valanciunas 10' floating Shot,[202685],1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,10.18,Missed,,,,,,,,,,,,,,,,,,
39,PT08M04.00S,2022-03-20T22:14:39.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,7,10,2022-03-20T22:14:44Z,390000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT07M57.00S,2022-03-20T22:14:48.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.469776609724048,51.225490196078425,1610612737,9,10,2022-03-20T22:14:52Z,400000,-6.0,-1.0,1,left,C. Capela DUNK (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,0.62,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
42,PT07M39.00S,2022-03-20T22:15:05.1Z,1,REGULAR,2pt,Jump Shot,[],202685,83.52496714848883,29.166666666666668,1610612740,9,12,2022-03-20T22:15:11Z,420000,-104.0,102.0,1,right,J. Valanciunas 14' turnaround Jump Shot (4 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,14.61,Made,4.0,,,,,,,,,,,,,,,,,
43,PT07M23.00S,2022-03-20T22:15:23.7Z,1,REGULAR,foul,personal,[],1630529,,,1610612737,9,12,2022-03-20T22:15:36Z,430000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1629631]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Hunter,1629631.0,,,
45,PT07M23.00S,2022-03-20T22:15:38.0Z,1,REGULAR,substitution,out,[],1630230,,,1610612737,9,12,2022-03-20T22:15:43Z,450000,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M23.00S,2022-03-20T22:15:38.0Z,1,REGULAR,substitution,in,[],1630530,,,1610612737,9,12,2022-03-20T22:15:43Z,460000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M17.00S,2022-03-20T22:15:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,10.85742444152431,51.71568627450981,1610612737,9,12,2022-03-20T22:16:05Z,470000,-9.0,50.0,1,left,MISS C. Capela driving Layup,[203991],1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,5.03,Missed,,,,,,,,,,,,,,,,,,
48,PT07M17.00S,2022-03-20T22:16:02.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,9,12,2022-03-20T22:16:02Z,480000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,47.0,2.0,1.0,1.0,,,,,,,,
51,PT07M17.00S,2022-03-20T22:16:10.0Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612737,9,12,2022-03-20T22:16:17Z,510000,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Capela 2 FT),"[1630530, 203991]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Capela,203991.0,,,
53,PT07M17.00S,2022-03-20T22:16:28.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203991,,,1610612737,9,12,2022-03-20T22:16:28Z,530000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M17.00S,2022-03-20T22:16:28.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,9,12,2022-03-20T22:16:28Z,540000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,
55,PT07M17.00S,2022-03-20T22:16:28.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203991,,,1610612737,9,12,2022-03-20T22:16:46Z,550000,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M14.00S,2022-03-20T22:16:31.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,12,2022-03-20T22:16:46Z,560000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,
57,PT07M05.00S,2022-03-20T22:16:53.6Z,1,REGULAR,2pt,Jump Shot,[],203468,91.80354796320631,70.83333333333334,1610612740,9,12,2022-03-20T22:16:59Z,570000,104.0,25.0,1,right,MISS C. McCollum 10' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,10.7,Missed,,,,,,,,,,,,,,,,,,
58,PT07M02.00S,2022-03-20T22:16:56.6Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,9,12,2022-03-20T22:16:59Z,580000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,
59,PT07M02.00S,2022-03-20T22:16:57.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629637,94.40999984741211,50.0,1610612740,9,14,2022-03-20T22:16:57Z,590000,0.0,0.0,1,right,J. Hayes tip Layup (2 PTS),[1629637],1610612740.0,NOP,tip,,,Hayes,J. Hayes,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2022-03-20T22:17:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.521024967148489,49.26470588235294,1610612737,11,14,2022-03-20T22:17:14Z,600000,4.0,9.0,1,left,C. Capela cutting Layup (4 PTS),[203991],1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,0.95,Made,4.0,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2022-03-20T22:17:22.2Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,11,14,2022-03-20T22:18:26Z,620000,,,0,,J. Valanciunas charge offensive FOUL (1 PF),"[202685, 203991]",1610612740.0,NOP,charge,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Capela,203991.0,,,
64,PT06M39.00S,2022-03-20T22:17:22.2Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,11,14,2022-03-20T22:17:22Z,640000,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,2882.0,,,,,1.0,,
65,PT06M39.00S,2022-03-20T22:17:39.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,14,2022-03-20T22:17:39Z,650000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2022-03-20T22:19:20.3Z,1,REGULAR,substitution,out,[],1630530,,,1610612737,11,14,2022-03-20T22:20:03Z,660000,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2022-03-20T22:19:20.3Z,1,REGULAR,substitution,in,[],1630230,,,1610612737,11,14,2022-03-20T22:20:03Z,670000,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2022-03-20T22:20:39.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629631,22.28975032851511,42.15686274509804,1610612737,11,14,2022-03-20T22:20:45Z,680000,39.0,157.0,1,left,MISS D. Hunter 16' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,16.18,Missed,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2022-03-20T22:20:41.4Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,11,14,2022-03-20T22:20:45Z,690000,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,
71,PT06M19.00S,2022-03-20T22:20:49.2Z,1,REGULAR,3pt,Jump Shot,[],202685,73.14388961892247,84.31372549019608,1610612740,11,14,2022-03-20T22:20:54Z,700000,172.0,200.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,
72,PT06M16.00S,2022-03-20T22:20:52.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,14,2022-03-20T22:20:54Z,710000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,71.0,3.0,2.0,1.0,,,,,,,,
73,PT05M59.00S,2022-03-20T22:21:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201568,18.084756898817346,62.5,1610612737,11,14,2022-03-20T22:21:14Z,720000,-62.0,117.0,1,left,MISS D. Gallinari 13' turnaround fadeaway Shot,[201568],1610612737.0,ATL,turnaround fadeaway,,,Gallinari,D. Gallinari,,,,,13.31,Missed,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2022-03-20T22:21:11.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,14,2022-03-20T22:21:14Z,730000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,73.0,3.0,3.0,0.0,,,,,,,,
75,PT05M35.00S,2022-03-20T22:21:33.0Z,1,REGULAR,2pt,Jump Shot,[],202685,85.75886990801577,26.225490196078432,1610612740,11,14,2022-03-20T22:21:38Z,740000,-119.0,81.0,1,right,MISS J. Valanciunas 14' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,14.41,Missed,,,,,,,,,,,,,,,,,,
76,PT05M32.00S,2022-03-20T22:21:36.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,14,2022-03-20T22:21:38Z,750000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,75.0,4.0,3.0,1.0,,,,,,,,
77,PT05M26.00S,2022-03-20T22:21:43.7Z,1,REGULAR,turnover,lost ball,[],203991,,,1610612737,11,14,2022-03-20T22:23:06Z,760000,,,0,,C. Capela lost ball TURNOVER (1 TO),"[203991, 1630529]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0
78,PT05M26.00S,2022-03-20T22:21:43.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,11,14,2022-03-20T22:21:46Z,770000,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M25.00S,2022-03-20T22:21:49.1Z,1,REGULAR,foul,personal,[],1629027,,,1610612740,11,14,2022-03-20T22:22:00Z,780000,,,0,,T. Young take personal FOUL (1 PF),"[1629027, 1630529]",1610612737.0,ATL,take,,,Young,T. Young,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Jones,1630529.0,,,
81,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,out,[],201568,,,1610612740,11,14,2022-03-20T22:22:13Z,800000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,out,[],202685,,,1610612740,11,14,2022-03-20T22:22:13Z,810000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,out,[],1630230,,,1610612740,11,14,2022-03-20T22:22:13Z,820000,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,in,[],203992,,,1610612740,11,14,2022-03-20T22:22:13Z,830000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,11,14,2022-03-20T22:22:13Z,840000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M25.00S,2022-03-20T22:21:55.9Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,11,14,2022-03-20T22:22:13Z,850000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M14.00S,2022-03-20T22:22:20.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,88.38699080157687,55.14705882352941,1610612740,11,14,2022-03-20T22:22:28Z,860000,26.0,57.0,1,right,MISS C. McCollum 6' driving floating bank Shot,[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,6.23,Missed,,,,,,,,,,,,,,,,,,
88,PT05M12.00S,2022-03-20T22:22:22.2Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,11,14,2022-03-20T22:41:25Z,870000,,,0,,J. Hayes REBOUND (Off:2 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,87.0,3.0,1.0,2.0,,,,,,,,
204,PT05M12.00S,2022-03-20T22:22:22.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629637,93.16688567674113,57.82015931372549,1610612740,11,14,2022-03-20T22:41:25Z,875000,39.0,12.0,1,right,MISS J. Hayes tip Layup,[1629637],1610612740.0,NOP,tip,,,Hayes,J. Hayes,,,,,4.08,Missed,,,,,,,,,,,,,,,,,,
205,PT05M10.00S,2022-03-20T22:22:24.9Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,11,14,2022-03-20T22:41:17Z,877500,,,0,,K. Huerter REBOUND (Off:0 Def:2),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,204.0,2.0,2.0,0.0,,,,,,,,
89,PT05M08.00S,2022-03-20T22:22:25.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203992,15.719448094612352,4.411764705882353,1610612737,11,14,2022-03-20T22:28:14Z,880000,228.0,95.0,1,left,MISS B. Bogdanovic 24' running 3PT,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,24.7,Missed,,,,,,,,,,,,,,,,,,
90,PT05M08.00S,2022-03-20T22:22:25.7Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,11,14,2022-03-20T22:22:38Z,890000,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,89.0,1.0,0.0,1.0,,,,,,,,
