actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
34,PT09M53.00S,2022-01-29T00:43:51.8Z,1,REGULAR,2pt,Jump Shot,[],1628381,9.806176084099869,19.362745098039216,1610612737,4,3,2022-01-29T00:43:56Z,340000,153.0,40.0,1,left,J. Collins 15' Jump Shot (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,15.83,Made,,,,,2.0,,,T. Young,1629027.0,1.0
36,PT09M38.00S,2022-01-29T00:44:06.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.20170827858082,33.088235294117645,1610612738,4,6,2022-01-29T00:44:10Z,360000,-85.0,237.0,1,right,J. Brown 25' 3PT  (3 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,25.16,Made,,,,,3.0,,,R. Williams III,1629057.0,1.0
38,PT09M22.00S,2022-01-29T00:44:23.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,23.603810775295663,76.22549019607843,1610612737,4,6,2022-01-29T00:44:29Z,380000,-131.0,169.0,1,left,MISS D. Hunter 21' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,,,,,,,,,21.42,Missed,,,,,,,,,,
39,PT09M20.00S,2022-01-29T00:44:25.2Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,4,6,2022-01-29T00:44:29Z,390000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,38.0,2.0,1.0,1.0,,,,,,
40,PT09M17.00S,2022-01-29T00:44:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,6.389618922470433,50.245098039215684,1610612737,6,6,2022-01-29T00:44:34Z,400000,-1.0,8.0,1,left,C. Capela driving Layup (2 PTS),[203991],1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,,,,,,,,,0.77,Made,,,,,2.0,,,,,
41,PT09M08.00S,2022-01-29T00:44:39.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,6,2022-01-29T00:44:39Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M02.00S,2022-01-29T00:45:03.5Z,1,REGULAR,2pt,Jump Shot,[],201143,71.69842312746385,54.90196078431373,1610612738,6,6,2022-01-29T00:45:08Z,420000,25.0,214.0,1,right,MISS A. Horford 21' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,21.49,Missed,,,,,,,,,,
43,PT08M59.00S,2022-01-29T00:45:06.5Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,6,6,2022-01-29T00:45:08Z,430000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,
44,PT08M48.00S,2022-01-29T00:45:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.521024967148489,50.245098039215684,1610612737,6,6,2022-01-29T00:45:22Z,440000,-1.0,9.0,1,left,MISS C. Capela Layup - blocked,"[203991, 201143]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,0.89,Missed,,,,,,Horford,201143.0,,,
45,PT08M48.00S,2022-01-29T00:45:17.7Z,1,REGULAR,block,,[],201143,,,1610612737,6,6,2022-01-29T00:45:21Z,450000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M45.00S,2022-01-29T00:45:20.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2022-01-29T00:45:22Z,460000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,44.0,3.0,3.0,0.0,,,,,,
47,PT08M45.00S,2022-01-29T00:45:23.9Z,1,REGULAR,foul,personal,[],1629027,,,1610612738,6,6,2022-01-29T00:45:32Z,470000,,,0,,T. Young personal FOUL (1 PF),"[1629027, 1627759]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,201639.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,
49,PT08M39.00S,2022-01-29T00:45:48.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.42904073587385,46.32352941176471,1610612738,6,6,2022-01-29T00:45:59Z,490000,-18.0,169.0,1,right,MISS J. Brown 17' Jump Shot - blocked,"[1627759, 1628989]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,17.01,Missed,,,,,,Huerter,1628989.0,,,
50,PT08M39.00S,2022-01-29T00:45:48.0Z,1,REGULAR,block,,[],1628989,,,1610612738,6,6,2022-01-29T00:45:51Z,500000,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M36.00S,2022-01-29T00:45:51.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,6,6,2022-01-29T00:45:59Z,510000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,
52,PT08M31.00S,2022-01-29T00:45:55.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203991,5.995400788436268,48.77450980392157,1610612737,8,6,2022-01-29T00:46:05Z,520000,6.0,4.0,1,left,C. Capela running Layup (4 PTS) (K. Huerter 1 AST),"[203991, 1628989]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,,,,,,,,,0.72,Made,,,,,4.0,,,K. Huerter,1628989.0,1.0
54,PT08M15.00S,2022-01-29T00:46:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.42247043363994,49.01960784313725,1610612738,8,8,2022-01-29T00:46:19Z,540000,-5.0,122.0,1,right,J. Brown 12' turnaround Jump Shot (5 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,,,,,,,12.22,Made,,,,,5.0,,,,,
55,PT08M04.00S,2022-01-29T00:46:22.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,32.14520367936925,39.950980392156865,1610612737,8,8,2022-01-29T00:46:27Z,550000,50.0,250.0,1,left,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,,,,,,,,,25.47,Missed,,,,,,,,,,
56,PT08M02.00S,2022-01-29T00:46:24.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,8,2022-01-29T00:46:27Z,560000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,55.0,4.0,4.0,0.0,,,,,,
57,PT07M43.00S,2022-01-29T00:46:44.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,93.9060446780552,50.49019607843137,1610612738,8,10,2022-01-29T00:46:49Z,570000,2.0,5.0,1,right,R. Williams III alley-oop DUNK (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,,,,0.54,Made,,,,,2.0,,,J. Brown,1627759.0,1.0
59,PT07M28.00S,2022-01-29T00:47:01.5Z,1,REGULAR,foul,personal,[],203935,,,1610612737,8,10,2022-01-29T00:47:11Z,590000,,,0,,M. Smart personal FOUL (2 PF),"[203935, 1628381]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,201639.0,2.0,0.0,Collins,1628381.0,,,,,,,,,,,,
61,PT07M28.00S,2022-01-29T00:47:12.5Z,1,REGULAR,substitution,out,[],203935,,,1610612737,8,10,2022-01-29T00:47:17Z,610000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M28.00S,2022-01-29T00:47:12.5Z,1,REGULAR,substitution,in,[],203471,,,1610612737,8,10,2022-01-29T00:47:17Z,620000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M18.00S,2022-01-29T00:47:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,32.40801576872536,37.99019607843137,1610612737,11,10,2022-01-29T00:47:39Z,630000,60.0,252.0,1,left,D. Hunter 25' 3PT  (3 PTS) (T. Young 2 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,25.91,Made,,,,,3.0,,,T. Young,1629027.0,2.0
65,PT07M01.00S,2022-01-29T00:47:52.4Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612738,11,10,2022-01-29T00:48:07Z,650000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Brown 2 FT),"[1628989, 1627759]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,201639.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,
67,PT07M01.00S,2022-01-29T00:48:17.6Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,11,10,2022-01-29T00:48:17Z,670000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,Missed,,,,,,,,,,
68,PT07M01.00S,2022-01-29T00:48:17.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,11,10,2022-01-29T00:48:17Z,680000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,
69,PT07M01.00S,2022-01-29T00:48:34.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,11,11,2022-01-29T00:48:34Z,690000,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,Made,,,,,6.0,,,,,
70,PT06M55.00S,2022-01-29T00:48:47.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,38.05847568988173,60.5392156862745,1610612737,11,11,2022-01-29T00:48:53Z,700000,-53.0,305.0,1,left,MISS T. Young 30' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,,,,30.97,Missed,,,,,,,,,,
71,PT06M52.00S,2022-01-29T00:48:52.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,11,11,2022-01-29T00:48:52Z,710000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,
72,PT06M52.00S,2022-01-29T00:48:54.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,11,11,2022-01-29T00:48:54Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M52.00S,2022-01-29T00:48:57.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,11,2022-01-29T00:48:58Z,730000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M43.00S,2022-01-29T00:52:13.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628381,6.915243101182654,95.09803921568627,1610612737,11,11,2022-01-29T00:52:19Z,740000,-225.0,13.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,22.58,Missed,,,,,,,,,,
75,PT06M40.00S,2022-01-29T00:52:16.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,11,2022-01-29T00:52:19Z,750000,,,0,,J. Brown REBOUND (Off:0 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,74.0,5.0,5.0,0.0,,,,,,
76,PT06M32.00S,2022-01-29T00:52:24.5Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,11,11,2022-01-29T00:52:31Z,760000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1628989]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,2.0,Huerter,1628989.0,,,,,,,,,,,,,,,,,
77,PT06M32.00S,2022-01-29T00:52:24.5Z,1,REGULAR,steal,,[],1628989,,,1610612737,11,11,2022-01-29T00:52:27Z,770000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M25.00S,2022-01-29T00:52:33.7Z,1,REGULAR,foul,personal,[],203471,,,1610612737,11,11,2022-01-29T00:52:41Z,780000,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 1629631]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,1198.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,
80,PT06M19.00S,2022-01-29T00:52:54.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628989,26.49474375821288,61.274509803921575,1610612737,13,11,2022-01-29T00:53:00Z,800000,-56.0,197.0,1,left,K. Huerter 20' step back Jump Shot (2 PTS),[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,,,,,,,,,20.45,Made,,,,,2.0,,,,,
81,PT06M04.00S,2022-01-29T00:53:09.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,72.22404730617609,69.11764705882352,1610612738,13,11,2022-01-29T00:53:26Z,810000,96.0,209.0,1,right,MISS J. Tatum 22' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,22.95,Missed,,,,,,,,,,
82,PT06M00.00S,2022-01-29T00:53:13.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,13,11,2022-01-29T00:53:17Z,820000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,
83,PT05M47.00S,2022-01-29T00:53:29.3Z,1,REGULAR,turnover,traveling,[],1629631,,,1610612737,13,11,2022-01-29T00:53:35Z,830000,,,0,,D. Hunter traveling TURNOVER (1 TO),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,1.0,,,201639.0,,,,,,,,,,,,,,,,
84,PT05M37.00S,2022-01-29T00:53:58.6Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612738,13,11,2022-01-29T00:54:22Z,840000,,,0,,C. Capela shooting personal FOUL (1 PF) (Williams III 2 FT),"[203991, 1629057]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,,,,201639.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,,,,
86,PT05M37.00S,2022-01-29T00:54:28.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629057,,,1610612738,13,12,2022-01-29T00:54:28Z,860000,,,0,,R. Williams III Free Throw 1 of 2 (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,Made,,,,,3.0,,,,,
87,PT05M37.00S,2022-01-29T00:54:48.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629057,,,1610612738,13,13,2022-01-29T00:54:48Z,870000,,,0,,R. Williams III Free Throw 2 of 2 (4 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,Made,,,,,4.0,,,,,
175,PT05M24.00S,2022-01-29T00:54:49.8Z,1,REGULAR,2pt,Jump Shot,[],1629027,28.991458607095925,56.372549019607845,1610612737,13,13,2022-01-29T01:09:16Z,875000,-32.0,220.0,1,left,MISS T. Young 22' pullup Shot - blocked,"[1629027, 201143]",1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,,,,22.23,Missed,,,,,,Horford,201143.0,,,
176,PT05M24.00S,2022-01-29T00:54:49.8Z,1,REGULAR,block,,[],201143,,,1610612737,13,13,2022-01-29T01:08:49Z,877500,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
177,PT05M23.00S,2022-01-29T00:54:50.8Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,13,13,2022-01-29T01:44:14Z,878750,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,175.0,2.0,1.0,1.0,,,,,,
88,PT05M18.00S,2022-01-29T00:55:11.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629027,13.091327201051248,68.62745098039215,1610612737,13,13,2022-01-29T01:08:49Z,880000,-93.0,71.0,1,left,MISS T. Young 11' driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,,,,,,,,,11.68,Missed,,,,,,,,,,
