actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
34,PT08M49.00S,2022-02-04T00:39:20.2Z,1,REGULAR,3pt,Jump Shot,[],203109,66.83639947437582,58.333333333333336,1610612756,2,8,2022-02-04T00:39:25Z,340000,42.0,259.0,1,right,MISS J. Crowder 26' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,26.25,Missed,,,,,,,,,,,,,,,
35,PT08M46.00S,2022-02-04T00:39:23.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,8,2022-02-04T00:39:25Z,350000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,
36,PT08M42.00S,2022-02-04T00:39:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629631,5.732588699080158,50.49019607843137,1610612737,4,8,2022-02-04T00:39:32Z,360000,-2.0,1.0,1,left,D. Hunter running Layup (2 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,,,,0.29,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
38,PT08M29.00S,2022-02-04T00:39:42.7Z,1,REGULAR,foul,personal,[],1629631,,,1610612756,4,8,2022-02-04T00:39:48Z,380000,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1626164]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Booker,1626164.0,,
40,PT08M22.00S,2022-02-04T00:40:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,92.59198423127464,49.26470588235294,1610612756,4,10,2022-02-04T00:40:12Z,400000,-4.0,17.0,1,right,D. Booker driving Layup (4 PTS) (D. Ayton 3 AST),"[1626164, 1629028]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,,,,1.75,Made,4.0,D. Ayton,1629028.0,3.0,,,,,,,,,,,
42,PT08M05.00S,2022-02-04T00:40:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.389618922470433,49.26470588235294,1610612737,6,10,2022-02-04T00:40:28Z,420000,4.0,8.0,1,left,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,,,,0.85,Made,2.0,,,,,,,,,,,,,,
43,PT07M55.00S,2022-02-04T00:40:32.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,73.01248357424441,18.627450980392158,1610612756,6,10,2022-02-04T00:40:38Z,430000,-157.0,201.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,25.51,Missed,,,,,,,,,,,,,,,
44,PT07M52.00S,2022-02-04T00:40:35.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,10,2022-02-04T00:40:38Z,440000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,43.0,3.0,3.0,0.0,,,,,,,
45,PT07M47.00S,2022-02-04T00:40:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,32.802233902759525,76.22549019607843,1610612737,9,10,2022-02-04T00:40:47Z,450000,-131.0,256.0,1,left,T. Young 28' 3PT pullup (5 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,28.74,Made,5.0,,,,,,,,,,,,,,
46,PT07M28.00S,2022-02-04T00:40:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,85.10183968462549,59.31372549019608,1610612756,9,12,2022-02-04T00:41:03Z,460000,47.0,88.0,1,right,C. Paul 9' pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,,,,9.91,Made,2.0,,,,,,,,,,,,,,
47,PT07M18.00S,2022-02-04T00:41:09.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,28.728646517739815,74.01960784313727,1610612737,12,12,2022-02-04T00:41:14Z,470000,-120.0,218.0,1,left,J. Collins 24' 3PT  (5 PTS) (C. Capela 1 AST),"[1628381, 203991]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,24.85,Made,5.0,C. Capela,203991.0,1.0,,,,,,,,,,,
49,PT07M02.00S,2022-02-04T00:41:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,81.15965834428384,51.71568627450981,1610612756,12,14,2022-02-04T00:41:32Z,490000,9.0,125.0,1,right,D. Booker 12' driving floating Jump Shot (6 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,,,,12.49,Made,6.0,C. Paul,101108.0,2.0,,,,,,,,,,,
51,PT06M49.00S,2022-02-04T00:41:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,9.017739816031538,94.36274509803921,1610612737,15,14,2022-02-04T00:41:43Z,510000,-222.0,32.0,1,left,T. Young 3PT  (8 PTS) (J. Collins 1 AST),"[1629027, 1628381]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,22.41,Made,8.0,J. Collins,1628381.0,1.0,,,,,,,,,,,
53,PT06M32.00S,2022-02-04T00:41:56.1Z,1,REGULAR,2pt,Jump Shot,[],1628969,94.56307490144546,75.73529411764706,1610612756,15,14,2022-02-04T00:42:00Z,530000,129.0,-1.0,1,right,MISS M. Bridges 12' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,12.87,Missed,,,,,,,,,,,,,,,
54,PT06M29.00S,2022-02-04T00:41:59.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,14,2022-02-04T00:42:00Z,540000,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,53.0,4.0,4.0,0.0,,,,,,,
55,PT06M23.00S,2022-02-04T00:42:05.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.995400788436268,51.470588235294116,1610612737,17,14,2022-02-04T00:42:09Z,550000,-7.0,4.0,1,left,C. Capela alley-oop DUNK (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,0.84,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,
57,PT06M22.00S,2022-02-04T00:42:10.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,17,14,2022-02-04T00:42:10Z,570000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M09.00S,2022-02-04T00:45:48.7Z,1,REGULAR,2pt,Jump Shot,[],1629028,94.43166885676742,72.05882352941177,1610612756,17,14,2022-02-04T00:45:53Z,580000,110.0,0.0,1,right,MISS D. Ayton 11' turnaround Shot,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,,,,11.03,Missed,,,,,,,,,,,,,,,
59,PT06M06.00S,2022-02-04T00:45:51.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,17,14,2022-02-04T00:45:53Z,590000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,
60,PT05M54.00S,2022-02-04T00:46:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,9.280551905387648,57.59803921568627,1610612737,19,14,2022-02-04T00:46:07Z,600000,-38.0,35.0,1,left,T. Young driving Layup (10 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,,,,5.15,Made,10.0,,,,,,,,,,,,,,
61,PT05M39.00S,2022-02-04T00:46:19.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,93.11760840998686,50.0,1610612756,19,16,2022-02-04T00:46:25Z,610000,0.0,12.0,1,right,D. Ayton cutting DUNK (4 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,,,,1.22,Made,4.0,C. Paul,101108.0,3.0,,,,,,,,,,,
63,PT05M25.00S,2022-02-04T00:46:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,30.831143232588698,31.127450980392158,1610612737,19,16,2022-02-04T00:46:37Z,630000,94.0,237.0,1,left,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,25.54,Missed,,,,,,,,,,,,,,,
64,PT05M22.00S,2022-02-04T00:46:35.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,19,16,2022-02-04T00:46:37Z,640000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,
65,PT05M16.00S,2022-02-04T00:46:41.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,93.77463863337714,24.509803921568626,1610612756,19,18,2022-02-04T00:46:46Z,650000,-127.0,6.0,1,right,D. Booker 12' pullup Jump Shot (8 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,12.76,Made,8.0,,,,,,,,,,,,,,
66,PT04M56.00S,2022-02-04T00:47:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,5.995400788436268,49.26470588235294,1610612737,21,18,2022-02-04T00:47:05Z,660000,4.0,4.0,1,left,D. Hunter Layup (4 PTS) (C. Capela 2 AST),"[1629631, 203991]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,0.54,Made,4.0,C. Capela,203991.0,2.0,,,,,,,,,,,
68,PT04M42.00S,2022-02-04T00:47:15.5Z,1,REGULAR,3pt,Jump Shot,[],203109,89.04402102496715,95.34313725490196,1610612756,21,21,2022-02-04T00:47:19Z,680000,227.0,50.0,1,right,J. Crowder 3PT  (3 PTS) (C. Paul 4 AST),"[203109, 101108]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,23.23,Made,3.0,C. Paul,101108.0,4.0,,,,,,,,,,,
70,PT04M34.00S,2022-02-04T00:47:26.4Z,1,REGULAR,foul,personal,[],1628969,,,1610612737,21,21,2022-02-04T00:47:36Z,700000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1629027]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Young,1629027.0,,
72,PT04M34.00S,2022-02-04T00:47:37.5Z,1,REGULAR,substitution,out,[],1628989,,,1610612737,21,21,2022-02-04T00:47:40Z,720000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M34.00S,2022-02-04T00:47:37.5Z,1,REGULAR,substitution,in,[],203992,,,1610612737,21,21,2022-02-04T00:47:40Z,730000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M27.00S,2022-02-04T00:47:56.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,24.26084099868594,14.215686274509803,1610612737,21,21,2022-02-04T00:48:00Z,740000,179.0,176.0,1,left,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,25.07,Missed,,,,,,,,,,,,,,,
75,PT04M24.00S,2022-02-04T00:47:59.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,21,21,2022-02-04T00:48:00Z,750000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,
76,PT04M19.00S,2022-02-04T00:48:03.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628969,85.23324572930355,9.313725490196079,1610612756,21,21,2022-02-04T00:48:10Z,760000,-203.0,86.0,1,right,MISS M. Bridges 22' running Shot,[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,,,,22.1,Missed,,,,,,,,,,,,,,,
77,PT04M14.00S,2022-02-04T00:48:08.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,21,21,2022-02-04T00:48:10Z,770000,,,0,,C. Capela REBOUND (Off:0 Def:5),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,76.0,5.0,5.0,0.0,,,,,,,
78,PT04M04.00S,2022-02-04T00:48:17.9Z,1,REGULAR,foul,personal,['3freethrow'],1626164,,,1610612737,21,21,2022-02-04T00:48:35Z,780000,,,0,,D. Booker shooting personal FOUL (2 PF) (Hunter 3 FT),"[1626164, 1629631]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,101283.0,2.0,0.0,Hunter,1629631.0,,
80,PT04M04.00S,2022-02-04T00:48:49.6Z,1,REGULAR,freethrow,1 of 3,[],1629631,,,1610612737,21,21,2022-02-04T00:48:49Z,800000,,,0,,MISS D. Hunter Free Throw 1 of 3,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,Missed,,,,,,,,,,,,,,,
81,PT04M04.00S,2022-02-04T00:48:49.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,21,21,2022-02-04T00:48:49Z,810000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,
82,PT04M04.00S,2022-02-04T00:49:08.3Z,1,REGULAR,freethrow,2 of 3,[],1629631,,,1610612737,22,21,2022-02-04T00:49:08Z,820000,,,0,,D. Hunter Free Throw 2 of 3 (5 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
83,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,out,[],203991,,,1610612737,22,21,2022-02-04T00:49:16Z,830000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,out,[],1629028,,,1610612737,22,21,2022-02-04T00:49:16Z,840000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,out,[],203109,,,1610612737,22,21,2022-02-04T00:49:16Z,850000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,in,[],201568,,,1610612737,22,21,2022-02-04T00:49:16Z,860000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,in,[],201580,,,1610612737,22,21,2022-02-04T00:49:16Z,870000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M04.00S,2022-02-04T00:49:09.4Z,1,REGULAR,substitution,in,[],1629661,,,1610612737,22,21,2022-02-04T00:49:16Z,880000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M04.00S,2022-02-04T00:49:30.3Z,1,REGULAR,freethrow,3 of 3,[],1629631,,,1610612737,23,21,2022-02-04T00:49:30Z,890000,,,0,,D. Hunter Free Throw 3 of 3 (6 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
90,PT03M53.00S,2022-02-04T00:49:42.1Z,1,REGULAR,2pt,Jump Shot,[],1626164,77.87450722733246,50.0,1610612756,23,21,2022-02-04T00:49:47Z,900000,0.0,155.0,1,right,MISS D. Booker 15' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,,,,15.55,Missed,,,,,,,,,,,,,,,
91,PT03M50.00S,2022-02-04T00:49:45.1Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,23,21,2022-02-04T00:49:47Z,910000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,
92,PT03M42.00S,2022-02-04T00:49:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,11.777266754270697,41.42156862745098,1610612737,23,21,2022-02-04T00:49:57Z,920000,43.0,58.0,1,left,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,,,,7.23,Missed,,,,,,,,,,,,,,,
93,PT03M40.00S,2022-02-04T00:49:55.2Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,23,21,2022-02-04T00:49:57Z,930000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,92.0,1.0,1.0,0.0,,,,,,,
94,PT03M25.00S,2022-02-04T00:50:10.4Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,23,21,2022-02-04T00:50:13Z,940000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 201568]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,1.0,Gallinari,201568.0,,,,,,,,,,,,,,,,,
