actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M57.00S,2022-04-07T00:11:44.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,0,4,2022-04-07T00:11:47Z,150000,,,0,,K. Porzingis REBOUND (Off:1 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,
16,PT10M53.00S,2022-04-07T00:11:50.1Z,1,REGULAR,turnover,lost ball,[],203484,,,1610612764,0,4,2022-04-07T00:11:53Z,160000,,,0,,K. Caldwell-Pope lost ball TURNOVER (1 TO),"[203484, 203991]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,1.0,Capela,203991.0,,,,,,,,,
17,PT10M53.00S,2022-04-07T00:11:50.1Z,1,REGULAR,steal,,[],203991,,,1610612737,0,4,2022-04-07T00:11:52Z,170000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-04-07T00:12:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201568,91.67214191852825,46.81372549019608,1610612737,2,4,2022-04-07T00:12:09Z,180000,-16.0,26.0,1,right,D. Gallinari driving Layup (2 PTS) (K. Huerter 1 AST),"[201568, 1628989]",1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,3.03,Made,,,,,,,2.0,,,,K. Huerter,1628989.0,1.0,,,,,,
20,PT10M28.00S,2022-04-07T00:12:13.6Z,1,REGULAR,3pt,Jump Shot,[],204001,34.247700394218136,45.83333333333333,1610612764,2,7,2022-04-07T00:12:18Z,200000,21.0,269.0,1,left,K. Porzingis 27' 3PT  (5 PTS) (C. Kispert 1 AST),"[204001, 1630557]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,27.02,Made,,,,,,,5.0,,,,C. Kispert,1630557.0,1.0,,,,,,
22,PT10M10.00S,2022-04-07T00:12:31.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.77463863337714,50.0,1610612737,4,7,2022-04-07T00:12:36Z,220000,0.0,6.0,1,right,C. Capela cutting DUNK (2 PTS) (D. Hunter 1 AST),"[203991, 1629631]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,0.6,Made,,,,,,,2.0,,,,D. Hunter,1629631.0,1.0,,,,,,
24,PT09M53.00S,2022-04-07T00:12:49.2Z,1,REGULAR,2pt,Jump Shot,[],203107,25.312089356110377,40.19607843137255,1610612764,4,9,2022-04-07T00:12:53Z,240000,49.0,185.0,1,left,T. Satoransky 19' pullup Jump Shot (4 PTS) (K. Porzingis 1 AST),"[203107, 204001]",1610612764.0,WAS,pullup,,,Satoransky,T. Satoransky,,,,,19.18,Made,,,,,,,4.0,,,,K. Porzingis,204001.0,1.0,,,,,,
26,PT09M39.00S,2022-04-07T00:13:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,81.8166885676741,53.67647058823529,1610612737,6,9,2022-04-07T00:13:09Z,260000,18.0,118.0,1,right,T. Young 11' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,11.98,Made,,,,,,,2.0,,,,,,,,,,,,
27,PT09M26.00S,2022-04-07T00:13:15.8Z,1,REGULAR,2pt,Jump Shot,[],204001,24.26084099868594,57.35294117647059,1610612764,6,11,2022-04-07T00:14:04Z,270000,-37.0,176.0,1,left,K. Porzingis 17' step back Jump Shot (7 PTS) (K. Caldwell-Pope 1 AST),"[204001, 203484]",1610612764.0,WAS,step back,,,Porzingis,K. Porzingis,,,,,17.94,Made,,,,,,,7.0,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,
29,PT09M11.00S,2022-04-07T00:13:30.9Z,1,REGULAR,3pt,Jump Shot,[],201568,67.23061760840999,30.637254901960787,1610612737,6,11,2022-04-07T00:13:35Z,290000,-97.0,256.0,1,right,MISS D. Gallinari 27' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,27.32,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M07.00S,2022-04-07T00:13:34.3Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,6,11,2022-04-07T00:13:34Z,300000,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,
31,PT09M02.00S,2022-04-07T00:13:40.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201568,80.23981603153744,49.01960784313725,1610612737,6,11,2022-04-07T00:13:46Z,310000,-5.0,133.0,1,right,MISS D. Gallinari 13' turnaround Shot,[201568],1610612737.0,ATL,turnaround,,,Gallinari,D. Gallinari,,,,,13.33,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M58.00S,2022-04-07T00:13:44.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,6,11,2022-04-07T00:13:46Z,320000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,,,,,,
33,PT08M50.00S,2022-04-07T00:13:54.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612764,6,11,2022-04-07T00:13:54Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M43.00S,2022-04-07T00:14:14.1Z,1,REGULAR,3pt,Jump Shot,[],203484,9.411957950065702,4.166666666666666,1610612764,6,14,2022-04-07T00:14:18Z,340000,229.0,36.0,1,left,K. Caldwell-Pope 3PT  (3 PTS) (T. Satoransky 1 AST),"[203484, 203107]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,23.2,Made,,,,,,,3.0,,,,T. Satoransky,203107.0,1.0,,,,,,
36,PT08M24.00S,2022-04-07T00:14:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,93.24901445466492,49.01960784313725,1610612737,6,14,2022-04-07T00:14:37Z,360000,-5.0,11.0,1,right,MISS D. Gallinari driving Layup,[201568],1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,1.2,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M21.00S,2022-04-07T00:14:35.9Z,1,REGULAR,rebound,offensive,[],201568,,,1610612737,6,14,2022-04-07T00:14:37Z,370000,,,0,,D. Gallinari REBOUND (Off:1 Def:0),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,
38,PT08M21.00S,2022-04-07T00:14:36.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201568,94.40999984741211,50.0,1610612737,8,14,2022-04-07T00:14:36Z,380000,0.0,0.0,1,right,D. Gallinari tip Layup (4 PTS),[201568],1610612737.0,ATL,tip,,,Gallinari,D. Gallinari,,,,,0.0,Made,,,,,,,4.0,,,,,,,,,,,,
39,PT08M07.00S,2022-04-07T00:14:52.2Z,1,REGULAR,turnover,lost ball,[],1629060,,,1610612764,8,14,2022-04-07T00:14:56Z,390000,,,0,,R. Hachimura lost ball TURNOVER (1 TO),"[1629060, 201568]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,1.0,Gallinari,201568.0,,,,,,,,,
40,PT08M07.00S,2022-04-07T00:14:52.2Z,1,REGULAR,steal,,[],201568,,,1610612737,8,14,2022-04-07T00:14:54Z,400000,,,0,,D. Gallinari STEAL (1 STL),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M07.00S,2022-04-07T00:14:54.8Z,1,REGULAR,foul,personal,[],1629060,,,1610612737,8,14,2022-04-07T00:15:00Z,410000,,,0,,R. Hachimura take personal FOUL (1 PF),"[1629060, 201568]",1610612764.0,WAS,take,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Gallinari,201568.0,
43,PT07M58.00S,2022-04-07T00:15:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,96.00854139290408,94.85294117647058,1610612737,8,14,2022-04-07T00:15:21Z,430000,224.0,-15.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,22.48,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2022-04-07T00:15:19.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612764,8,14,2022-04-07T00:15:21Z,440000,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,
45,PT07M46.00S,2022-04-07T00:15:28.5Z,1,REGULAR,3pt,Jump Shot,[],204001,32.802233902759525,48.77450980392157,1610612764,8,14,2022-04-07T00:15:34Z,450000,6.0,256.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M41.00S,2022-04-07T00:15:33.5Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,8,14,2022-04-07T00:19:12Z,460000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
47,PT07M32.00S,2022-04-07T00:15:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,74.98357424441524,85.29411764705883,1610612737,8,14,2022-04-07T00:18:26Z,470000,176.0,183.0,1,right,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M31.00S,2022-04-07T00:15:43.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,8,14,2022-04-07T00:15:46Z,480000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,
49,PT07M31.00S,2022-04-07T00:15:47.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,8,14,2022-04-07T00:15:47Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M22.00S,2022-04-07T00:16:11.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628989,81.68528252299606,61.274509803921575,1610612737,10,14,2022-04-07T00:16:15Z,500000,56.0,120.0,1,right,K. Huerter 13' pullup Jump Shot (2 PTS),[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,13.23,Made,,,,,,,2.0,,,,,,,,,,,,
51,PT07M06.00S,2022-04-07T00:16:26.7Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612764,10,14,2022-04-07T00:16:31Z,510000,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 203991]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,1.0,Capela,203991.0,,,,,,,,,
52,PT07M06.00S,2022-04-07T00:16:26.7Z,1,REGULAR,steal,,[],203991,,,1610612737,10,14,2022-04-07T00:25:22Z,520000,,,0,,C. Capela STEAL (2 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M57.00S,2022-04-07T00:16:35.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201568,72.09264126149803,17.401960784313726,1610612737,13,14,2022-04-07T00:16:40Z,530000,-163.0,210.0,1,right,D. Gallinari 26' 3PT  (7 PTS) (T. Young 1 AST),"[201568, 1629027]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.57,Made,,,,,,,7.0,,,,T. Young,1629027.0,1.0,,,,,,
55,PT06M55.00S,2022-04-07T00:16:41.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,13,14,2022-04-07T00:16:41Z,550000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M55.00S,2022-04-07T00:19:07.2Z,1,REGULAR,substitution,out,[],1629060,,,1610612764,13,14,2022-04-07T00:19:19Z,560000,,,0,,SUB out: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M55.00S,2022-04-07T00:19:07.2Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,13,14,2022-04-07T00:19:19Z,570000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2022-04-07T00:19:07.2Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,13,14,2022-04-07T00:19:19Z,580000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M55.00S,2022-04-07T00:19:07.2Z,1,REGULAR,substitution,in,[],1629655,,,1610612764,13,14,2022-04-07T00:19:19Z,590000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2022-04-07T00:19:49.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,10.33180026281209,49.26470588235294,1610612764,13,16,2022-04-07T00:19:54Z,600000,4.0,45.0,1,left,D. Gafford turnaround Hook (2 PTS) (T. Satoransky 2 AST),"[1629655, 203107]",1610612764.0,WAS,turnaround,,,Gafford,D. Gafford,,,,,4.48,Made,,,,,,,2.0,,,,T. Satoransky,203107.0,2.0,,,,,,
62,PT06M30.00S,2022-04-07T00:20:03.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,71.96123521681997,82.1078431372549,1610612737,13,16,2022-04-07T00:20:10Z,620000,161.0,211.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2022-04-07T00:20:05.4Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,13,16,2022-04-07T00:20:10Z,630000,,,0,,K. Porzingis REBOUND (Off:1 Def:3),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,62.0,4.0,3.0,1.0,,,,,,,,,,,,,
64,PT06M27.00S,2022-04-07T00:20:08.4Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612764,13,16,2022-04-07T00:20:23Z,640000,,,0,,K. Porzingis bad pass out-of-bounds TURNOVER (2 TO),[204001],1610612764.0,WAS,bad pass,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,2.0,,,,,,2005.0,,,,,
65,PT06M19.00S,2022-04-07T00:20:31.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201568,67.49342969776609,45.83333333333333,1610612737,13,16,2022-04-07T00:20:35Z,650000,-21.0,253.0,1,right,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.4,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M16.00S,2022-04-07T00:20:34.0Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,13,16,2022-04-07T00:20:35Z,660000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT06M12.00S,2022-04-07T00:20:38.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203484,26.888961892247043,64.4607843137255,1610612764,13,18,2022-04-07T00:20:45Z,670000,-72.0,200.0,1,left,K. Caldwell-Pope 21' running pullup Jump Shot (5 PTS),[203484],1610612764.0,WAS,running pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,21.29,Made,,,,,,,5.0,,,,,,,,,,,,
68,PT05M57.00S,2022-04-07T00:20:54.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,13,18,2022-04-07T00:20:54Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M46.00S,2022-04-07T00:21:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201568,93.11760840998686,49.754901960784316,1610612737,15,18,2022-04-07T00:21:21Z,690000,-1.0,12.0,1,right,D. Gallinari driving Layup (9 PTS) (T. Young 2 AST),"[201568, 1629027]",1610612737.0,ATL,driving,,,Gallinari,D. Gallinari,,,,,1.23,Made,,,,,,,9.0,,,,T. Young,1629027.0,2.0,,,,,,
71,PT05M28.00S,2022-04-07T00:21:33.8Z,1,REGULAR,2pt,Jump Shot,[],203484,20.581471747700395,55.88235294117647,1610612764,15,18,2022-04-07T00:21:37Z,710000,-29.0,141.0,1,left,MISS K. Caldwell-Pope 14' Jump Shot,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,14.4,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M26.00S,2022-04-07T00:21:35.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,18,2022-04-07T00:21:37Z,720000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,
73,PT05M19.00S,2022-04-07T00:21:43.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,15,18,2022-04-07T00:21:47Z,730000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 204001]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,1.0,Porzingis,204001.0,,,,,,,,,
74,PT05M19.00S,2022-04-07T00:21:43.0Z,1,REGULAR,steal,,[],204001,,,1610612764,15,18,2022-04-07T00:21:45Z,740000,,,0,,K. Porzingis STEAL (1 STL),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M14.00S,2022-04-07T00:21:48.2Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612764,15,18,2022-04-07T00:21:52Z,750000,,,0,,K. Caldwell-Pope bad pass TURNOVER (2 TO),"[203484, 1629631]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,2.0,Hunter,1629631.0,,,,,,,,,
76,PT05M14.00S,2022-04-07T00:21:48.2Z,1,REGULAR,steal,,[],1629631,,,1610612737,15,18,2022-04-07T00:21:50Z,760000,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M09.00S,2022-04-07T00:21:53.3Z,1,REGULAR,turnover,bad pass,[],1629631,,,1610612737,15,18,2022-04-07T00:21:58Z,770000,,,0,,D. Hunter bad pass TURNOVER (1 TO),"[1629631, 1629655]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,1.0,Gafford,1629655.0,,,,,,,,,
78,PT05M09.00S,2022-04-07T00:21:53.3Z,1,REGULAR,steal,,[],1629655,,,1610612764,15,18,2022-04-07T00:21:55Z,780000,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M04.00S,2022-04-07T00:21:58.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629655,5.338370565045992,49.26470588235294,1610612764,15,20,2022-04-07T00:22:07Z,790000,4.0,-2.0,1,left,D. Gafford running DUNK (4 PTS) (K. Porzingis 2 AST),"[1629655, 204001]",1610612764.0,WAS,running,,,Gafford,D. Gafford,,,,,0.44,Made,,,,,,,4.0,,,,K. Porzingis,204001.0,2.0,,,,,,
81,PT04M44.00S,2022-04-07T00:22:21.0Z,1,REGULAR,foul,personal,[],1629655,,,1610612737,15,20,2022-04-07T00:22:29Z,810000,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 201568]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Gallinari,201568.0,
83,PT04M44.00S,2022-04-07T00:22:29.4Z,1,REGULAR,substitution,out,[],201568,,,1610612737,15,20,2022-04-07T00:22:34Z,830000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M44.00S,2022-04-07T00:22:29.4Z,1,REGULAR,substitution,out,[],203107,,,1610612737,15,20,2022-04-07T00:22:34Z,840000,,,0,,SUB out: T. Satoransky,[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M44.00S,2022-04-07T00:22:29.4Z,1,REGULAR,substitution,in,[],203992,,,1610612737,15,20,2022-04-07T00:22:34Z,850000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M44.00S,2022-04-07T00:22:29.4Z,1,REGULAR,substitution,in,[],202397,,,1610612737,15,20,2022-04-07T00:22:34Z,860000,,,0,,SUB in: I. Smith,[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M35.00S,2022-04-07T00:22:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,89.83245729303549,44.36274509803921,1610612737,15,20,2022-04-07T00:22:58Z,870000,-28.0,43.0,1,right,MISS D. Hunter driving Layup,[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,5.15,Missed,,,,,,,,,,,,,,,,,,,
89,PT04M31.00S,2022-04-07T00:22:57.9Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,15,20,2022-04-07T00:22:58Z,890000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,87.0,2.0,1.0,1.0,,,,,,,,,,,,,
