actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
21,PT10M23.00S,2022-03-04T00:12:24.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,2,4,2022-03-04T00:12:24Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2022-03-04T00:12:39.1Z,1,REGULAR,3pt,Jump Shot,[],203897,69.59592641261499,27.205882352941174,1610612741,2,7,2022-03-04T00:12:43Z,210000,-114.0,233.0,1,right,Z. LaVine 25' 3PT  (3 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,25.97,Made,,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,
24,PT09M56.00S,2022-03-04T00:12:54.6Z,1,REGULAR,3pt,Jump Shot,[],201568,30.699737187910642,70.83333333333334,1610612737,2,7,2022-03-04T00:12:59Z,230000,-104.0,236.0,1,left,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2022-03-04T00:12:57.6Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,2,7,2022-03-04T00:12:59Z,240000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M48.00S,2022-03-04T00:13:02.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,92.85479632063075,49.26470588235294,1610612741,2,7,2022-03-04T00:13:13Z,250000,-4.0,15.0,1,right,MISS J. Green alley-oop DUNK,[1629750],1610612741.0,CHI,alley-oop,,,Green,J. Green,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2022-03-04T00:13:02.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,2,7,2022-03-04T00:13:13Z,260000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2022-03-04T00:13:06.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,2,7,2022-03-04T00:13:06Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2022-03-04T00:13:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,8.623521681997373,49.754901960784316,1610612737,4,7,2022-03-04T00:13:26Z,280000,1.0,29.0,1,left,C. Capela cutting Layup (2 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,2.86,Made,,,,,,2.0,T. Young,1629027.0,2.0,,,,,,,,,
31,PT09M17.00S,2022-03-04T00:13:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,93.24901445466492,50.0,1610612741,4,7,2022-03-04T00:13:45Z,300000,0.0,11.0,1,right,MISS J. Green reverse Layup,[1629750],1610612741.0,CHI,reverse,,,Green,J. Green,,,,,1.1,Missed,,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2022-03-04T00:13:42.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,4,7,2022-03-04T00:13:45Z,310000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M11.00S,2022-03-04T00:13:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628989,5.863994743758213,48.28431372549019,1610612737,6,7,2022-03-04T00:13:51Z,320000,9.0,3.0,1,left,K. Huerter running Layup (2 PTS) (T. Young 3 AST),"[1628989, 1629027]",1610612737.0,ATL,running,,,Huerter,K. Huerter,,,,,0.9,Made,,,,,,2.0,T. Young,1629027.0,3.0,,,,,,,,,
35,PT08M56.00S,2022-03-04T00:14:00.3Z,1,REGULAR,3pt,Jump Shot,[],1629750,94.82588699080158,96.32352941176471,1610612741,6,10,2022-03-04T00:14:04Z,340000,232.0,-4.0,1,right,J. Green 3PT  (3 PTS) (D. DeRozan 1 AST),"[1629750, 201942]",1610612741.0,CHI,,,,Green,J. Green,,,,,23.16,Made,,,,,,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,
37,PT08M48.00S,2022-03-04T00:14:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.338370565045992,49.754901960784316,1610612737,8,10,2022-03-04T00:15:23Z,360000,1.0,-2.0,1,left,C. Capela running reverse Layup (4 PTS) (T. Young 4 AST),"[203991, 1629027]",1610612737.0,ATL,running reverse,,,Capela,C. Capela,,,,,0.26,Made,,,,,,4.0,T. Young,1629027.0,4.0,,,,,,,,,
39,PT08M31.00S,2022-03-04T00:14:24.9Z,1,REGULAR,3pt,Jump Shot,[],1629750,96.66557161629436,4.901960784313726,1610612741,8,10,2022-03-04T00:14:29Z,380000,-225.0,-21.0,1,right,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,22.65,Missed,,,,,,,,,,,,,,,,,,
40,PT08M30.00S,2022-03-04T00:14:25.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,8,10,2022-03-04T00:14:29Z,390000,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M22.00S,2022-03-04T00:14:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,7.703679369250986,95.34313725490196,1610612737,11,10,2022-03-04T00:14:39Z,400000,-227.0,20.0,1,left,D. Hunter 3PT  (5 PTS) (C. Capela 1 AST),"[1629631, 203991]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,22.76,Made,,,,,,5.0,C. Capela,203991.0,1.0,,,,,,,,,
43,PT08M04.00S,2022-03-04T00:14:53.0Z,1,REGULAR,2pt,Jump Shot,[],1630245,81.42247043363994,69.36274509803921,1610612741,11,12,2022-03-04T00:14:57Z,420000,97.0,122.0,1,right,A. Dosunmu 15' pullup Jump Shot (2 PTS) (N. Vucevic 2 AST),"[1630245, 202696]",1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,15.58,Made,,,,,,2.0,N. Vucevic,202696.0,2.0,,,,,,,,,
45,PT07M51.00S,2022-03-04T00:15:05.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.488173455978973,35.78431372549019,1610612737,11,12,2022-03-04T00:15:09Z,440000,71.0,243.0,1,left,MISS K. Huerter 25' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,
46,PT07M48.00S,2022-03-04T00:15:08.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,12,2022-03-04T00:15:09Z,450000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M26.00S,2022-03-04T00:15:30.0Z,1,REGULAR,3pt,Jump Shot,[],1629750,86.28449408672799,96.32352941176471,1610612741,11,15,2022-03-04T00:15:35Z,460000,232.0,76.0,1,right,J. Green 24' 3PT  (6 PTS) (N. Vucevic 3 AST),"[1629750, 202696]",1610612741.0,CHI,,,,Green,J. Green,,,,,24.39,Made,,,,,,6.0,N. Vucevic,202696.0,3.0,,,,,,,,,
49,PT07M12.00S,2022-03-04T00:15:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.178055190538765,45.83333333333333,1610612737,13,15,2022-03-04T00:17:04Z,480000,21.0,15.0,1,left,T. Young Layup (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,2.56,Made,,,,,,2.0,,,,,,,,,,,,
50,PT06M59.00S,2022-03-04T00:15:57.4Z,1,REGULAR,2pt,Jump Shot,[],202696,73.53810775295663,64.4607843137255,1610612741,13,15,2022-03-04T00:16:02Z,490000,72.0,196.0,1,right,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,20.91,Missed,,,,,,,,,,,,,,,,,,
51,PT06M56.00S,2022-03-04T00:16:00.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,13,15,2022-03-04T00:16:02Z,500000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT06M51.00S,2022-03-04T00:16:05.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,29.122864651773984,28.431372549019606,1610612737,16,15,2022-03-04T00:16:11Z,510000,108.0,221.0,1,left,T. Young 24' 3PT step back (5 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,24.62,Made,,,,,,5.0,,,,,,,,,,,,
53,PT06M35.00S,2022-03-04T00:16:21.4Z,1,REGULAR,2pt,Jump Shot,[],201942,96.13994743758212,82.1078431372549,1610612741,16,17,2022-03-04T00:16:25Z,520000,161.0,-16.0,1,right,D. DeRozan 16' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.13,Made,,,,,,2.0,,,,,,,,,,,,
54,PT06M19.00S,2022-03-04T00:16:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,6.258212877792378,54.65686274509803,1610612737,18,17,2022-03-04T00:16:42Z,530000,-23.0,6.0,1,left,K. Huerter Layup (4 PTS) (T. Young 5 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,2.41,Made,,,,,,4.0,T. Young,1629027.0,5.0,,,,,,,,,
56,PT06M00.00S,2022-03-04T00:16:55.8Z,1,REGULAR,2pt,Jump Shot,[],202696,86.5473061760841,72.54901960784314,1610612741,18,19,2022-03-04T00:17:00Z,550000,113.0,74.0,1,right,N. Vucevic 13' Jump Shot (6 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,13.48,Made,,,,,,6.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,
58,PT06M00.00S,2022-03-04T00:17:02.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,18,19,2022-03-04T00:17:02Z,570000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,out,[],201568,,,1610612737,18,19,2022-03-04T00:19:49Z,580000,,,0,,SUB out: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,out,[],201942,,,1610612737,18,19,2022-03-04T00:19:49Z,590000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,out,[],1629750,,,1610612737,18,19,2022-03-04T00:19:49Z,600000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,in,[],203992,,,1610612737,18,19,2022-03-04T00:19:49Z,610000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,in,[],1629632,,,1610612737,18,19,2022-03-04T00:19:49Z,620000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M00.00S,2022-03-04T00:19:20.9Z,1,REGULAR,substitution,in,[],1627884,,,1610612737,18,19,2022-03-04T00:19:49Z,630000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M43.00S,2022-03-04T00:20:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,7.966491458607096,44.36274509803921,1610612737,18,19,2022-03-04T00:20:16Z,640000,28.0,22.0,1,left,MISS D. Hunter driving Layup,[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,3.6,Missed,,,,,,,,,,,,,,,,,,
66,PT05M40.00S,2022-03-04T00:20:13.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,18,19,2022-03-04T00:20:13Z,650000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT05M26.00S,2022-03-04T00:20:29.7Z,1,REGULAR,foul,personal,[],1628989,,,1610612741,18,19,2022-03-04T00:20:37Z,660000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 1630245]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,1199.0,,,,,1.0,0.0,Dosunmu,1630245.0,,,,,
69,PT05M22.00S,2022-03-04T00:20:49.3Z,1,REGULAR,3pt,Jump Shot,[],203897,66.04796320630749,46.81372549019608,1610612741,18,19,2022-03-04T00:20:57Z,680000,-16.0,267.0,1,right,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,
70,PT05M21.00S,2022-03-04T00:20:50.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,18,19,2022-03-04T00:20:57Z,690000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,
71,PT05M21.00S,2022-03-04T00:20:57.2Z,1,REGULAR,foul,personal,[],1629631,,,1610612741,18,19,2022-03-04T00:21:03Z,700000,,,0,,D. Hunter loose ball personal FOUL (1 PF),"[1629631, 1627884]",1610612737.0,ATL,loose ball,,,Hunter,D. Hunter,,,,,,,,,,,201639.0,,,,,1.0,0.0,Jones Jr.,1627884.0,,,,,
73,PT05M19.00S,2022-03-04T00:21:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,69.46452036793693,71.81372549019608,1610612741,18,22,2022-03-04T00:21:14Z,720000,109.0,235.0,1,right,C. White 25' 3PT  (3 PTS) (A. Dosunmu 2 AST),"[1629632, 1630245]",1610612741.0,CHI,,,,White,C. White,,,,,25.86,Made,,,,,,3.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,
75,PT05M06.00S,2022-03-04T00:21:22.7Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612737,18,22,2022-03-04T00:21:49Z,740000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Capela 2 FT),"[203897, 203991]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,,,,,,,201639.0,,,,,1.0,0.0,Capela,203991.0,,,,,
77,PT05M06.00S,2022-03-04T00:21:49.9Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,19,22,2022-03-04T00:21:49Z,760000,,,0,,C. Capela Free Throw 1 of 2 (5 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
78,PT05M06.00S,2022-03-04T00:22:01.3Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,20,22,2022-03-04T00:22:01Z,770000,,,0,,C. Capela Free Throw 2 of 2 (6 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,Made,,,,,,6.0,,,,,,,,,,,,
79,PT04M45.00S,2022-03-04T00:22:25.5Z,1,REGULAR,2pt,Jump Shot,[],203897,85.23324572930355,23.284313725490197,1610612741,20,22,2022-03-04T00:22:31Z,780000,-134.0,86.0,1,right,MISS Z. LaVine 15' turnaround fadeaway Shot,[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,15.9,Missed,,,,,,,,,,,,,,,,,,
80,PT04M41.00S,2022-03-04T00:22:29.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,20,22,2022-03-04T00:22:31Z,790000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,
81,PT04M36.00S,2022-03-04T00:22:35.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,5.469776609724048,51.9607843137255,1610612737,22,22,2022-03-04T00:22:41Z,800000,-10.0,-1.0,1,left,C. Capela alley-oop DUNK (8 PTS) (T. Young 6 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.99,Made,,,,,,8.0,T. Young,1629027.0,6.0,,,,,,,,,
83,PT04M21.00S,2022-03-04T00:22:49.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,74.32654402102497,86.76470588235294,1610612741,22,25,2022-03-04T00:22:54Z,820000,184.0,189.0,1,right,C. White 26' 3PT  (6 PTS) (Z. LaVine 2 AST),"[1629632, 203897]",1610612741.0,CHI,,,,White,C. White,,,,,26.35,Made,,,,,,6.0,Z. LaVine,203897.0,2.0,,,,,,,,,
85,PT04M08.00S,2022-03-04T00:23:05.1Z,1,REGULAR,foul,personal,[],1627884,,,1610612737,22,25,2022-03-04T00:23:11Z,840000,,,0,,D. Jones Jr. personal FOUL (1 PF),"[1627884, 1629027]",1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,201639.0,,,,,1.0,0.0,Young,1629027.0,,,,,
87,PT04M08.00S,2022-03-04T00:23:11.0Z,1,REGULAR,substitution,out,[],1628989,,,1610612737,22,25,2022-03-04T00:23:17Z,860000,,,0,,SUB out: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M08.00S,2022-03-04T00:23:11.0Z,1,REGULAR,substitution,in,[],1626153,,,1610612737,22,25,2022-03-04T00:23:17Z,870000,,,0,,SUB in: D. Wright,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M57.00S,2022-03-04T00:23:37.2Z,1,REGULAR,3pt,Jump Shot,[],203992,33.85348226018397,27.941176470588236,1610612737,22,25,2022-03-04T00:23:42Z,880000,110.0,266.0,1,left,MISS B. Bogdanovic 28' pullup 3PT,[203992],1610612737.0,ATL,pullup,,,Bogdanovic,B. Bogdanovic,,,,,28.77,Missed,,,,,,,,,,,,,,,,,,
90,PT03M52.00S,2022-03-04T00:23:42.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,22,25,2022-03-04T00:23:42Z,890000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,
91,PT03M39.00S,2022-03-04T00:23:55.2Z,1,REGULAR,3pt,Jump Shot,[],203897,96.7969776609724,96.32352941176471,1610612741,22,28,2022-03-04T00:23:59Z,900000,232.0,-22.0,1,right,Z. LaVine 3PT  (6 PTS) (C. White 1 AST),"[203897, 1629632]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,23.27,Made,,,,,,6.0,C. White,1629632.0,1.0,,,,,,,,,
93,PT03M20.00S,2022-03-04T00:24:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,10.33180026281209,50.245098039215684,1610612737,22,28,2022-03-04T00:24:19Z,920000,-1.0,45.0,1,left,MISS D. Wright driving floating Shot,[1626153],1610612737.0,ATL,driving floating,,,Wright,D. Wright,,,,,4.46,Missed,,,,,,,,,,,,,,,,,,
94,PT03M17.00S,2022-03-04T00:24:17.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,22,28,2022-03-04T00:24:19Z,930000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,93.0,3.0,3.0,0.0,,,,,,,,,,,,,,
95,PT03M05.00S,2022-03-04T00:24:30.1Z,1,REGULAR,3pt,Jump Shot,[],203897,70.77858081471747,77.20588235294117,1610612741,22,28,2022-03-04T00:24:35Z,940000,136.0,222.0,1,right,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,
96,PT03M00.00S,2022-03-04T00:24:35.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,22,28,2022-03-04T00:24:35Z,950000,,,0,,C. Capela REBOUND (Off:0 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,95.0,4.0,4.0,0.0,,,,,,,,,,,,,,
97,PT02M55.00S,2022-03-04T00:24:40.3Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612737,22,28,2022-03-04T00:27:44Z,960000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Young 2 FT),"[1630245, 1629027]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,,,,,,,1199.0,,,,,1.0,0.0,Young,1629027.0,,,,,
99,PT02M55.00S,2022-03-04T00:24:57.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,22,28,2022-03-04T00:24:57Z,980000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT02M55.00S,2022-03-04T00:27:10.2Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,22,28,2022-03-04T00:27:24Z,990000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M55.00S,2022-03-04T00:27:10.2Z,1,REGULAR,substitution,out,[],203991,,,1610612737,22,28,2022-03-04T00:27:24Z,1010000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
