actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
15,PT10M49.00S,2025-12-01T02:42:09.9Z,1,REGULAR,foul,personal,['3freethrow'],1631121,,,1610612747,3,0,2025-12-01T02:42:45Z,150000,False,,,0,,B. McGowens shooting personal FOUL (1 PF) (Reaves 3 FT),"[1631121, 1630559]",1610612740.0,NOP,shooting,,,McGowens,B. McGowens,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1626301.0,1.0,0.0,Reaves,1630559.0,,,,,,
17,PT10M49.00S,2025-12-01T02:42:33.8Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1630559,,,1610612747,4,0,2025-12-01T02:42:33Z,170000,False,,,0,,A. Reaves Free Throw 1 of 3 (1 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
18,PT10M49.00S,2025-12-01T02:42:44.6Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1630559,,,1610612747,5,0,2025-12-01T02:42:44Z,180000,False,,,0,,A. Reaves Free Throw 2 of 3 (2 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M49.00S,2025-12-01T02:42:59.0Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],1630559,,,1610612747,6,0,2025-12-01T02:42:59Z,190000,False,,,0,,A. Reaves Free Throw 3 of 3 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
20,PT10M39.00S,2025-12-01T02:43:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,81.12680683311433,63.23529411764706,1610612740,6,0,2025-12-01T02:43:16Z,200000,False,66.0,125.0,1,right,MISS J. Fears 14' pullup Shot,[1642847],1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Center,14.14,Missed,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2025-12-01T02:43:13.1Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,6,0,2025-12-01T02:43:16Z,210000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M31.00S,2025-12-01T02:43:23.2Z,1,REGULAR,turnover,out-of-bounds,[],1630559,,,1610612747,6,0,2025-12-01T02:43:32Z,220000,False,,,0,,A. Reaves bad pass out-of-bounds TURNOVER (1 TO),[1630559],1610612747.0,LAL,bad pass,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1626301.0,,,,,1.0,,,,,
23,PT10M15.00S,2025-12-01T02:43:40.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1642852,93.61038107752957,52.205882352941174,1610612740,6,2,2025-12-01T02:43:47Z,230000,False,11.0,8.0,1,right,D. Queen driving DUNK (2 PTS) (J. Fears 1 AST),"[1642852, 1642847]",1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,2.0,,,,,,,,,J. Fears,1642847.0,1.0,,
25,PT10M00.00S,2025-12-01T02:43:55.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.24375821287779,43.13725490196079,1610612747,9,2,2025-12-01T02:44:04Z,250000,False,34.0,251.0,1,left,L. Dončić 25' 3PT step back (6 PTS),[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,25.29,Made,,,,,6.0,,,,,,,,,,,,,
26,PT09M47.00S,2025-12-01T02:44:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,90.19382391590013,46.07843137254902,1610612740,9,2,2025-12-01T02:47:12Z,260000,False,-20.0,40.0,1,right,MISS B. McGowens driving Layup,[1631121],1610612740.0,NOP,driving,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2025-12-01T02:44:10.4Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,9,2,2025-12-01T02:54:02Z,270000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
76,PT09M45.00S,2025-12-01T02:44:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642274,92.90407358738501,50.71231617647059,1610612740,9,2,2025-12-01T02:54:26Z,272500,False,4.0,14.0,1,right,MISS Y. Missi tip Layup,[1642274],1610612740.0,NOP,tip,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.46,Missed,,,,,,,,,,,,,,,,,,
77,PT09M45.00S,2025-12-01T02:44:11.4Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,9,2,2025-12-01T02:54:26Z,273750,False,,,0,,Y. Missi REBOUND (Off:2 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,76.0,3.0,1.0,2.0,,,,,,,,,,,,,,
46,PT09M43.00S,2025-12-01T02:44:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1642274,,,1610612740,9,2,2025-12-01T02:47:26Z,275000,False,,,0,,Y. Missi lost ball out-of-bounds TURNOVER (1 TO),[1642274],1610612740.0,NOP,lost ball,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626301.0,,,,,1.0,,,,,
29,PT09M36.00S,2025-12-01T02:44:32.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,36.3173455978975,48.774509803921575,1610612747,9,2,2025-12-01T02:46:50Z,290000,False,6.0,289.0,1,left,MISS L. Dončić 28' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,28.9,Missed,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2025-12-01T02:44:36.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,9,2,2025-12-01T03:06:16Z,300000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M28.00S,2025-12-01T02:44:42.5Z,1,REGULAR,foul,personal,['2freethrow'],1629060,,,1610612740,9,2,2025-12-01T02:44:53Z,310000,False,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Queen 2 FT),"[1629060, 1642852]",1610612747.0,LAL,shooting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626301.0,1.0,0.0,Queen,1642852.0,,,,,,
33,PT09M28.00S,2025-12-01T02:45:05.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1642852,,,1610612740,9,3,2025-12-01T02:47:10Z,330000,False,,,0,,D. Queen Free Throw 1 of 2 (3 PTS),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
34,PT09M28.00S,2025-12-01T02:45:05.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1642852,,,1610612740,9,4,2025-12-01T02:47:10Z,340000,False,,,0,,D. Queen Free Throw 2 of 2 (4 PTS),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
36,PT09M07.00S,2025-12-01T02:45:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,19.365965834428394,34.803921568627445,1610612747,11,4,2025-12-01T02:48:18Z,360000,False,76.0,130.0,1,left,R. Hachimura 15' pullup Jump Shot (2 PTS) (L. Dončić 1 AST),"[1629060, 1629029]",1610612747.0,LAL,pullup,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Right,15.02,Made,,,,,2.0,,,,,,,,,L. Dončić,1629029.0,1.0,,
38,PT08M51.00S,2025-12-01T02:46:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,93.47897503285151,45.833333333333336,1610612740,11,4,2025-12-01T02:46:15Z,380000,False,-21.0,9.0,1,right,MISS J. Fears driving Layup - blocked,"[1642847, 1629028]",1610612740.0,NOP,driving,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,Ayton,1629028.0,,,,,,,,,,,
39,PT08M51.00S,2025-12-01T02:46:07.2Z,1,REGULAR,block,,[],1629028,,,1610612740,11,4,2025-12-01T02:46:09Z,390000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M50.00S,2025-12-01T02:46:08.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,11,4,2025-12-01T02:49:13Z,400000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M38.00S,2025-12-01T02:46:20.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,17.263469119579497,72.05882352941177,1610612747,13,4,2025-12-01T02:47:17Z,410000,False,-110.0,110.0,1,left,L. Dončić 15' fadeaway Jump Shot (8 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,15.56,Made,,,,,8.0,,,,,,,,,,,,,
42,PT08M16.00S,2025-12-01T02:46:42.2Z,1,REGULAR,3pt,Jump Shot,[],1631121,88.61695137976346,96.56862745098039,1610612740,13,4,2025-12-01T02:47:20Z,420000,False,233.0,55.0,1,right,MISS B. McGowens 3PT,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,Right Corner 3,24+ Right,23.91,Missed,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2025-12-01T02:46:45.8Z,1,REGULAR,rebound,offensive,[],1642852,,,1610612740,13,4,2025-12-01T02:46:45Z,430000,False,,,0,,D. Queen REBOUND (Off:1 Def:0),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Right Corner 3,24+ Right,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT08M11.00S,2025-12-01T02:46:48.0Z,1,REGULAR,turnover,lost ball,[],1642852,,,1610612740,13,4,2025-12-01T02:47:12Z,440000,False,,,0,,D. Queen lost ball TURNOVER (1 TO),"[1642852, 1629216]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,1.0,,,,Vincent,1629216.0
45,PT08M11.00S,2025-12-01T02:46:48.0Z,1,REGULAR,steal,,[],1629216,,,1610612747,13,4,2025-12-01T02:46:50Z,450000,False,,,0,,G. Vincent STEAL (1 STL),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M06.00S,2025-12-01T02:46:53.1Z,1,REGULAR,foul,personal,['2freethrow'],1631121,,,1610612747,13,4,2025-12-01T02:47:03Z,460000,False,,,0,,B. McGowens shooting personal FOUL (2 PF) (Reaves 2 FT),"[1631121, 1630559]",1610612740.0,NOP,shooting,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627962.0,2.0,0.0,Reaves,1630559.0,,,,,,
49,PT08M06.00S,2025-12-01T02:47:21.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630559,,,1610612747,14,4,2025-12-01T02:51:47Z,480000,False,,,0,,A. Reaves Free Throw 1 of 2 (4 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
50,PT08M06.00S,2025-12-01T02:47:28.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,4,2025-12-01T02:47:28Z,490000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M06.00S,2025-12-01T02:47:21.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630559,,,1610612747,15,4,2025-12-01T02:51:47Z,500000,False,,,0,,A. Reaves Free Throw 2 of 2 (5 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
52,PT07M53.00S,2025-12-01T02:50:48.7Z,1,REGULAR,turnover,lost ball,[],1630180,,,1610612740,15,4,2025-12-01T02:50:55Z,510000,False,,,0,,S. Bey lost ball TURNOVER (1 TO),"[1630180, 1629029]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,,,,Dončić,1629029.0
53,PT07M53.00S,2025-12-01T02:50:48.7Z,1,REGULAR,steal,,[],1629029,,,1610612747,15,4,2025-12-01T02:50:51Z,520000,False,,,0,,L. Dončić STEAL (1 STL),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
54,PT07M41.00S,2025-12-01T02:51:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612747,15,4,2025-12-01T02:51:16Z,530000,False,,,0,,Y. Missi shooting personal FOUL (1 PF) (Ayton 2 FT),"[1642274, 1629028]",1610612740.0,NOP,shooting,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1626301.0,1.0,0.0,Ayton,1629028.0,,,,,,
56,PT07M41.00S,2025-12-01T02:51:26.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629028,,,1610612747,16,4,2025-12-01T02:51:26Z,550000,False,,,0,,D. Ayton Free Throw 1 of 2 (1 PTS),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
57,PT07M41.00S,2025-12-01T02:51:41.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629028,,,1610612747,17,4,2025-12-01T02:51:41Z,560000,False,,,0,,D. Ayton Free Throw 2 of 2 (2 PTS),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
58,PT07M26.00S,2025-12-01T02:51:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,92.0335085413929,37.745098039215684,1610612740,17,4,2025-12-01T02:57:02Z,570000,False,-61.0,22.0,1,right,MISS D. Queen 6' fadeaway bank Shot,[1642852],1610612740.0,NOP,fadeaway bank,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,6.53,Missed,,,,,,,,,,,,,,,,,,
59,PT07M24.00S,2025-12-01T02:51:58.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,17,4,2025-12-01T02:57:17Z,580000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M20.00S,2025-12-01T02:52:03.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,28.301576872536145,25.0,1610612747,17,4,2025-12-01T02:52:14Z,590000,False,125.0,214.0,1,left,MISS L. Dončić 24' running pullup 3PT,[1629029],1610612747.0,LAL,running pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,24.74,Missed,,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2025-12-01T02:52:03.7Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612740,17,4,2025-12-01T02:52:14Z,600000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,Above the Break 3,24+ Right Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT07M10.00S,2025-12-01T02:52:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,90.19382391590013,53.92156862745098,1610612740,17,6,2025-12-01T02:52:27Z,610000,False,20.0,40.0,1,right,B. McGowens driving finger roll Layup (2 PTS),[1631121],1610612740.0,NOP,driving finger roll,,,McGowens,B. McGowens,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,,,,,2.0,,,,,,,,,,,,,
63,PT06M49.00S,2025-12-01T02:52:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,9.510512483574246,63.23529411764706,1610612747,19,6,2025-12-01T02:59:08Z,620000,False,-66.0,37.0,1,left,D. Ayton 7' turnaround fadeaway Jump Shot (4 PTS) (G. Vincent 1 AST),"[1629028, 1629216]",1610612747.0,LAL,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.58,Made,,,,,4.0,,,,,,,,,G. Vincent,1629216.0,1.0,,
65,PT06M33.00S,2025-12-01T02:52:49.0Z,1,REGULAR,3pt,Jump Shot,[],1642847,75.34494086727989,90.44117647058823,1610612740,19,9,2025-12-01T02:52:55Z,640000,False,202.0,179.0,1,right,J. Fears 27' 3PT step back (3 PTS),[1642847],1610612740.0,NOP,step back,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,27.02,Made,,,,,3.0,,,,,,,,,,,,,
66,PT06M23.00S,2025-12-01T02:52:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,17.789093298291732,58.33333333333333,1610612747,21,9,2025-12-01T02:53:07Z,650000,False,-42.0,115.0,1,left,D. Ayton 12' floating Jump Shot (6 PTS) (A. Reaves 1 AST),"[1629028, 1630559]",1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,12.2,Made,,,,,6.0,,,,,,,,,A. Reaves,1630559.0,1.0,,
68,PT06M02.00S,2025-12-01T02:53:21.0Z,1,REGULAR,3pt,Jump Shot,[],1631121,94.3988173455979,3.67647058823529,1610612740,21,12,2025-12-01T02:53:25Z,670000,False,-232.0,0.0,1,right,B. McGowens 3PT  (5 PTS) (D. Queen 1 AST),"[1631121, 1642852]",1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,5.0,,,,,,,,,D. Queen,1642852.0,1.0,,
70,PT05M50.00S,2025-12-01T02:53:32.7Z,1,REGULAR,3pt,Jump Shot,[],1629060,17.920499342969777,94.11764705882354,1610612747,21,12,2025-12-01T02:53:39Z,690000,False,-221.0,116.0,1,left,MISS R. Hachimura 24' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
71,PT05M46.00S,2025-12-01T02:53:36.7Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612740,21,12,2025-12-01T02:53:39Z,700000,False,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,
72,PT05M42.00S,2025-12-01T02:53:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631121,74.4250985545335,85.5392156862745,1610612740,21,12,2025-12-01T03:00:32Z,710000,False,178.0,188.0,1,right,MISS B. McGowens 25' running 3PT,[1631121],1610612740.0,NOP,running,,,McGowens,B. McGowens,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
73,PT05M39.00S,2025-12-01T02:53:43.9Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,21,12,2025-12-01T02:53:48Z,720000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,,
74,PT05M32.00S,2025-12-01T02:53:52.7Z,1,REGULAR,foul,personal,['2freethrow'],1642852,,,1610612747,21,12,2025-12-01T02:54:07Z,730000,False,,,0,,D. Queen shooting personal FOUL (1 PF) (Dončić 2 FT),"[1642852, 1629029]",1610612740.0,NOP,shooting,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627962.0,1.0,0.0,Dončić,1629029.0,,,,,,
78,PT05M32.00S,2025-12-01T02:54:19.7Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,22,12,2025-12-01T02:54:19Z,750000,False,,,0,,L. Dončić Free Throw 1 of 2 (9 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
79,PT05M32.00S,2025-12-01T02:54:20.5Z,1,REGULAR,substitution,out,[],1629216,,,1610612747,22,12,2025-12-01T02:54:39Z,760000,False,,,0,,SUB out: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M32.00S,2025-12-01T02:54:20.5Z,1,REGULAR,substitution,out,[],1631121,,,1610612747,22,12,2025-12-01T02:54:39Z,770000,False,,,0,,SUB out: B. McGowens,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M32.00S,2025-12-01T02:54:20.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612747,22,12,2025-12-01T02:54:39Z,780000,False,,,0,,SUB out: S. Bey,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M32.00S,2025-12-01T02:54:20.5Z,1,REGULAR,substitution,out,[],1642274,,,1610612747,22,12,2025-12-01T02:54:39Z,790000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
