actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
53,PT07M24.00S,2025-10-22T02:23:48.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,11,12,2025-10-22T02:23:50Z,530000,False,,,0,,L. Dončić REBOUND (Off:0 Def:3),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Center,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,
54,PT07M03.00S,2025-10-22T02:24:13.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,11,12,2025-10-22T02:24:26Z,540000,False,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,out,[],1629216,,,1610612744,11,12,2025-10-22T02:24:35Z,550000,False,,,0,,SUB out: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,out,[],202710,,,1610612744,11,12,2025-10-22T02:24:35Z,560000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,11,12,2025-10-22T02:24:35Z,570000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,in,[],203935,,,1610612744,11,12,2025-10-22T02:24:35Z,580000,False,,,0,,SUB in: M. Smart,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,11,12,2025-10-22T02:24:35Z,590000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M03.00S,2025-10-22T02:24:18.7Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,11,12,2025-10-22T02:24:35Z,600000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2025-10-22T02:24:59.4Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,11,12,2025-10-22T02:25:05Z,610000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,1155.0,,,,,,
62,PT06M42.00S,2025-10-22T02:25:05.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,11,12,2025-10-22T02:25:05Z,620000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
