actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
18,PT11M10.00S,2025-10-28T02:42:16.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,0,2025-10-28T02:42:27Z,180000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M59.00S,2025-10-28T02:42:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,90.06241787122208,47.05882352941176,1610612747,2,0,2025-10-28T02:42:33Z,190000,False,-15.0,41.0,1,right,A. Reaves driving Layup (2 PTS),[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,4.35,Made,,,,,,,,,,,,2.0,,,,,,
20,PT10M48.00S,2025-10-28T02:42:39.7Z,1,REGULAR,3pt,Jump Shot,[],1642270,28.695795006570307,21.813725490196077,1610612757,2,0,2025-10-28T02:43:27Z,200000,False,141.0,217.0,1,left,MISS D. Clingan 25' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,25.89,Missed,,,,,,,,,,,,,,,,,,
21,PT10M46.00S,2025-10-28T02:42:41.7Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,2,0,2025-10-28T02:43:27Z,210000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M34.00S,2025-10-28T02:42:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,92.42772667542707,47.05882352941176,1610612747,2,0,2025-10-28T02:42:55Z,220000,False,-15.0,19.0,1,right,MISS R. Hachimura driving Layup,[1629060],1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
23,PT10M33.00S,2025-10-28T02:42:53.3Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,2,0,2025-10-28T02:44:14Z,230000,False,,,0,,D. Clingan REBOUND (Off:0 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M28.00S,2025-10-28T02:42:58.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641739,12.270039421813408,97.30392156862744,1610612757,2,0,2025-10-28T02:43:08Z,240000,False,-237.0,63.0,1,left,MISS T. Camara 24' running 3PT,[1641739],1610612757.0,POR,running,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,24.47,Missed,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2025-10-28T02:43:01.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,2,0,2025-10-28T02:44:43Z,250000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M10.00S,2025-10-28T02:43:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,80.46977660972405,52.205882352941174,1610612747,2,0,2025-10-28T02:43:20Z,260000,False,11.0,131.0,1,right,MISS D. Ayton 13' pullup Shot,[1629028],1610612747.0,LAL,pullup,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,13.16,Missed,,,,,,,,,,,,,,,,,,
27,PT10M08.00S,2025-10-28T02:43:18.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,2,0,2025-10-28T02:43:20Z,270000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M04.00S,2025-10-28T02:43:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612757,2,0,2025-10-28T02:43:31Z,280000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Sharpe 2 FT),"[1629028, 1631101]",1610612747.0,LAL,shooting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,Sharpe,1631101.0,,,,,,,,,
30,PT10M04.00S,2025-10-28T02:43:50.4Z,1,REGULAR,freethrow,1 of 2,[],1631101,,,1610612757,2,1,2025-10-28T02:43:50Z,300000,False,,,0,,S. Sharpe Free Throw 1 of 2 (1 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
31,PT10M04.00S,2025-10-28T02:44:10.1Z,1,REGULAR,freethrow,2 of 2,[],1631101,,,1610612757,2,2,2025-10-28T02:44:10Z,310000,False,,,0,,S. Sharpe Free Throw 2 of 2 (2 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
32,PT09M56.00S,2025-10-28T02:44:25.9Z,1,REGULAR,turnover,8-second-violation,['team'],0,,,1610612747,2,2,2025-10-28T02:44:38Z,320000,False,,,0,,LAL 8-second-violation Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,1627529.0,,,,,,,,,,,,,
33,PT09M39.00S,2025-10-28T02:45:03.0Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,2,2,2025-10-28T02:45:06Z,330000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1629020]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,
34,PT09M39.00S,2025-10-28T02:45:03.0Z,1,REGULAR,steal,,[],1629020,,,1610612747,2,2,2025-10-28T02:45:05Z,340000,False,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
35,PT09M36.00S,2025-10-28T02:45:06.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,92.95335085413929,49.754901960784316,1610612747,4,2,2025-10-28T02:45:12Z,350000,False,-1.0,14.0,1,right,J. Vanderbilt running DUNK (2 PTS),[1629020],1610612747.0,LAL,running,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,1.38,Made,,,,,,,,,,,,2.0,,,,,,
36,PT09M28.00S,2025-10-28T02:45:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.670827858081481,50.245098039215684,1610612757,4,4,2025-10-28T02:45:18Z,360000,False,-1.0,20.0,1,left,D. Avdija driving Layup (2 PTS),[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.96,Made,,,,,,,,,,,,2.0,,,,,,
37,PT09M18.00S,2025-10-28T02:45:23.3Z,1,REGULAR,3pt,Jump Shot,[],1630559,68.9060446780552,78.92156862745098,1610612747,4,4,2025-10-28T02:45:28Z,370000,False,145.0,240.0,1,right,MISS A. Reaves 28' pullup 3PT,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,28.0,Missed,,,,,,,,,,,,,,,,,,
38,PT09M15.00S,2025-10-28T02:45:26.3Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,4,4,2025-10-28T02:45:28Z,380000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT09M10.00S,2025-10-28T02:45:32.4Z,1,REGULAR,turnover,lost ball,[],1631101,,,1610612757,4,4,2025-10-28T02:45:38Z,390000,False,,,0,,S. Sharpe lost ball TURNOVER (1 TO),"[1631101, 1629020]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,
40,PT09M10.00S,2025-10-28T02:45:32.4Z,1,REGULAR,steal,,[],1629020,,,1610612747,4,4,2025-10-28T02:45:34Z,400000,False,,,0,,J. Vanderbilt STEAL (2 STL),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M06.00S,2025-10-28T02:45:37.6Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612747,4,4,2025-10-28T02:45:45Z,410000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1641739, 1629060]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,
43,PT09M06.00S,2025-10-28T02:46:03.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629060,,,1610612747,5,4,2025-10-28T02:46:03Z,430000,False,,,0,,R. Hachimura Free Throw 1 of 2 (1 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
44,PT09M06.00S,2025-10-28T02:46:19.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629060,,,1610612747,6,4,2025-10-28T02:46:19Z,440000,False,,,0,,R. Hachimura Free Throw 2 of 2 (2 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
45,PT08M58.00S,2025-10-28T02:46:28.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,26.856110381077528,83.33333333333334,1610612757,6,4,2025-10-28T02:46:33Z,450000,False,-167.0,200.0,1,left,MISS T. Camara 26' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
46,PT08M56.00S,2025-10-28T02:46:30.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,6,4,2025-10-28T02:46:33Z,460000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M53.00S,2025-10-28T02:46:37.5Z,1,REGULAR,turnover,out-of-bounds,[],1630559,,,1610612747,6,4,2025-10-28T02:46:43Z,470000,False,,,0,,A. Reaves bad pass out-of-bounds TURNOVER (1 TO),[1630559],1610612747.0,LAL,bad pass,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,,,1627529.0,,,,,,,,1.0,,,,,
48,PT08M44.00S,2025-10-28T02:46:53.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201950,7.933639947437584,46.07843137254902,1610612757,6,6,2025-10-28T02:48:52Z,480000,False,20.0,22.0,1,left,J. Holiday driving bank Jump Shot (2 PTS),[201950],1610612757.0,POR,driving bank,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.95,Made,,,,,,,,,,,,2.0,,,,,,
49,PT08M22.00S,2025-10-28T02:47:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,87.69710906701708,52.205882352941174,1610612747,8,6,2025-10-28T02:49:20Z,490000,False,11.0,63.0,1,right,A. Reaves 6' driving floating Jump Shot (4 PTS) (D. Ayton 1 AST),"[1630559, 1629028]",1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,6.41,Made,,,,,,,,,,,,4.0,,,,D. Ayton,1629028.0,1.0
50,PT08M16.00S,2025-10-28T02:47:24.6Z,1,REGULAR,foul,personal,[],1631222,,,1610612757,8,6,2025-10-28T02:47:31Z,500000,False,,,0,,J. LaRavia personal FOUL (1 PF),"[1631222, 1641739]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,Camara,1641739.0,,,,,,,,,
52,PT08M04.00S,2025-10-28T02:47:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,11.744415243101187,55.63725490196079,1610612757,8,6,2025-10-28T02:50:22Z,520000,False,-28.0,58.0,1,left,MISS D. Avdija 6' driving finger roll Layup,[1630166],1610612757.0,POR,driving finger roll,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2025-10-28T02:47:54.4Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,8,6,2025-10-28T02:48:00Z,530000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M49.00S,2025-10-28T02:48:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,81.91524310118265,38.725490196078425,1610612747,10,6,2025-10-28T02:50:54Z,540000,False,-56.0,117.0,1,right,D. Ayton 13' Jump Shot (2 PTS) (A. Reaves 1 AST),"[1629028, 1630559]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,13.03,Made,,,,,,,,,,,,2.0,,,,A. Reaves,1630559.0,1.0
56,PT07M37.00S,2025-10-28T02:48:19.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,12.270039421813408,96.07843137254902,1610612757,10,9,2025-10-28T02:48:24Z,560000,False,-230.0,63.0,1,left,D. Avdija 3PT  (5 PTS) (T. Camara 1 AST),"[1630166, 1641739]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,23.88,Made,,,,,,,,,,,,5.0,,,,T. Camara,1641739.0,1.0
57,PT07M26.00S,2025-10-28T02:48:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,92.16491458607096,51.71568627450981,1610612747,10,9,2025-10-28T02:52:07Z,570000,False,9.0,21.0,1,right,MISS A. Reaves driving finger roll Layup,[1630559],1610612747.0,LAL,driving finger roll,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,,,,
58,PT07M24.00S,2025-10-28T02:48:32.5Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,10,9,2025-10-28T02:48:34Z,580000,False,,,0,,D. Clingan REBOUND (Off:0 Def:3),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,57.0,3.0,3.0,0.0,,,,,,,,,,,,,,
87,PT07M20.00S,2025-10-28T02:48:33.1Z,1,REGULAR,turnover,out-of-bounds,[],1631101,,,1610612757,10,9,2025-10-28T02:57:10Z,585000,False,,,0,,S. Sharpe step out-of-bounds TURNOVER (2 TO),[1631101],1610612757.0,POR,step,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,,,,,,,101284.0,,,,,,,,2.0,,,,,
62,PT07M01.00S,2025-10-28T02:48:55.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630559,85.46320630749014,58.088235294117645,1610612747,12,9,2025-10-28T02:56:19Z,610000,False,40.0,84.0,1,right,A. Reaves 9' step back Jump Shot (6 PTS),[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,9.33,Made,,,,,,,,,,,,6.0,,,,,,
63,PT06M55.00S,2025-10-28T02:49:02.4Z,1,REGULAR,foul,offensive,[],201950,,,1610612757,12,9,2025-10-28T02:49:14Z,620000,False,,,0,,J. Holiday offensive FOUL (1 PF),"[201950, 1630559]",1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,1627529.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,
65,PT06M55.00S,2025-10-28T02:49:02.4Z,1,REGULAR,turnover,offensive foul,[],201950,,,1610612757,12,9,2025-10-28T02:49:02Z,640000,False,,,0,,J. Holiday offensive foul TURNOVER (1 TO),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,1627529.0,,,,,,,,1.0,,,,,
66,PT06M55.00S,2025-10-28T02:49:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,12,9,2025-10-28T02:49:16Z,650000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,out,[],1629020,,,1610612747,12,9,2025-10-28T02:52:00Z,660000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,out,[],1642270,,,1610612747,12,9,2025-10-28T02:52:00Z,670000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,out,[],1631101,,,1610612747,12,9,2025-10-28T02:52:00Z,680000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,in,[],1642261,,,1610612747,12,9,2025-10-28T02:52:00Z,690000,False,,,0,,SUB in: D. Knecht,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,in,[],203924,,,1610612747,12,9,2025-10-28T02:52:00Z,700000,False,,,0,,SUB in: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M55.00S,2025-10-28T02:51:31.4Z,1,REGULAR,substitution,in,[],1642905,,,1610612747,12,9,2025-10-28T02:52:00Z,710000,False,,,0,,SUB in: Yang,[1642905],1610612757.0,POR,,,,Hansen,Yang,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M47.00S,2025-10-28T02:52:23.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629028,78.10446780551905,40.19607843137255,1610612747,14,9,2025-10-28T02:52:28Z,720000,False,-49.0,153.0,1,right,D. Ayton 16' Jump Shot (4 PTS) (J. LaRavia 1 AST),"[1629028, 1631222]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,16.09,Made,,,,,,,,,,,,4.0,,,,J. LaRavia,1631222.0,1.0
76,PT06M31.00S,2025-10-28T02:52:39.8Z,1,REGULAR,3pt,Jump Shot,[],203924,11.744415243101187,3.9215686274509807,1610612757,14,12,2025-10-28T02:52:43Z,740000,False,230.0,58.0,1,left,J. Grant 3PT  (3 PTS) (D. Avdija 1 AST),"[203924, 1630166]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.76,Made,,,,,,,,,,,,3.0,,,,D. Avdija,1630166.0,1.0
80,PT06M12.00S,2025-10-28T02:55:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,86.64586070959264,36.274509803921575,1610612747,14,12,2025-10-28T03:05:32Z,780000,False,-69.0,73.0,1,right,MISS A. Reaves 10' fadeaway Shot,[1630559],1610612747.0,LAL,fadeaway,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Left,10.02,Missed,,,,,,,,,,,,,,,,,,
81,PT06M11.00S,2025-10-28T02:55:18.6Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612747,14,12,2025-10-28T03:37:52Z,790000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Left,,,80.0,3.0,2.0,1.0,,,,,,,,,,,,,,
139,PT06M10.00S,2025-10-28T02:55:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,94.13600525624179,53.18627450980392,1610612747,14,12,2025-10-28T03:38:05Z,795000,False,16.0,3.0,1,right,MISS D. Ayton tip Layup,[1629028],1610612747.0,LAL,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
140,PT06M09.00S,2025-10-28T02:55:26.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,14,12,2025-10-28T03:38:05Z,797500,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT05M55.00S,2025-10-28T02:55:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,8.590670170827863,50.245098039215684,1610612757,14,12,2025-10-28T02:55:42Z,800000,False,-1.0,28.0,1,left,MISS J. Holiday driving Layup,[201950],1610612757.0,POR,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,,
