actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M11.00S,2026-01-05T02:43:37.0Z,1,REGULAR,3pt,Jump Shot,[],1642907,34.60906701708278,45.09803921568627,1610612763,4,5,2026-01-05T02:44:03Z,180000,False,25.0,273.0,1,left,C. Coward 27' 3PT pullup (3 PTS) (J. Landale 1 AST),"[1642907, 1629111]",1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,Above the Break 3,24+ Center,27.39,Made,3.0,J. Landale,1629111.0,1.0,,,,,,,,,,,,,,
20,PT10M03.00S,2026-01-05T02:43:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,90.32522996057818,48.774509803921575,1610612747,4,5,2026-01-05T02:44:18Z,200000,False,-6.0,38.0,1,right,MISS M. Smart cutting finger roll Layup,[203935],1610612747.0,LAL,cutting finger roll,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2026-01-05T02:43:47.0Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,4,5,2026-01-05T02:43:53Z,210000,False,,,0,,C. Coward REBOUND (Off:0 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,,,,,,,20.0,,2.0,2.0,0.0,,,,,,,,,
22,PT09M58.00S,2026-01-05T02:43:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,6.4881734559789805,53.92156862745098,1610612763,4,5,2026-01-05T02:44:19Z,220000,False,-20.0,8.0,1,left,MISS J. Jackson Jr. driving Layup - blocked,"[1628991, 1629028]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,Ayton,1629028.0,,,,,,,
23,PT09M58.00S,2026-01-05T02:43:54.0Z,1,REGULAR,block,,[],1629028,,,1610612763,4,5,2026-01-05T02:43:57Z,230000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2026-01-05T02:43:54.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,4,5,2026-01-05T02:44:06Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,22.0,,,,,,,,,,,,,
26,PT09M50.00S,2026-01-05T02:44:23.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,28.827201051248352,22.549019607843135,1610612763,4,5,2026-01-05T02:44:27Z,260000,False,137.0,218.0,1,left,MISS J. Wells 25' pullup 3PT,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2026-01-05T02:44:26.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,5,2026-01-05T02:44:27Z,270000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,26.0,,1.0,1.0,0.0,,,,,,,,,
28,PT09M42.00S,2026-01-05T02:44:31.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,90.06241787122208,52.450980392156865,1610612747,6,5,2026-01-05T02:44:43Z,280000,False,12.0,41.0,1,right,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,4.27,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M31.00S,2026-01-05T02:44:42.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,14.241130091984232,40.931372549019606,1610612763,6,7,2026-01-05T02:44:46Z,290000,False,45.0,81.0,1,left,J. Landale 9' Hook (2 PTS) (J. Wells 1 AST),"[1629111, 1642377]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,9.32,Made,2.0,J. Wells,1642377.0,1.0,,,,,,,,,,,,,,
31,PT09M20.00S,2026-01-05T02:44:54.0Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,6,7,2026-01-05T02:45:00Z,310000,False,,,0,,L. Dončić bad pass TURNOVER (1 TO),"[1629029, 1642907]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Coward,1642907.0,,,,
32,PT09M20.00S,2026-01-05T02:44:54.0Z,1,REGULAR,steal,,[],1642907,,,1610612763,6,7,2026-01-05T02:44:56Z,320000,False,,,0,,C. Coward STEAL (1 STL),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2026-01-05T02:44:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642907,7.670827858081481,48.529411764705884,1610612763,6,7,2026-01-05T02:45:04Z,330000,False,7.0,20.0,1,left,MISS C. Coward running Layup,[1642907],1610612763.0,MEM,running,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2026-01-05T02:45:02.3Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,6,7,2026-01-05T02:45:04Z,340000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,33.0,,1.0,0.0,1.0,,,,,,,,,
35,PT09M10.00S,2026-01-05T02:45:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629111,7.276609724047319,51.22549019607843,1610612763,6,9,2026-01-05T02:45:05Z,350000,False,-6.0,16.0,1,left,J. Landale putback Layup (4 PTS),[1629111],1610612763.0,MEM,putback,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,1.7,Made,4.0,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2026-01-05T02:45:14.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.82194480946123,48.0392156862745,1610612747,8,9,2026-01-05T02:45:18Z,360000,False,-10.0,15.0,1,right,D. Ayton cutting DUNK (4 PTS) (L. Dončić 3 AST),"[1629028, 1629029]",1610612747.0,LAL,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.79,Made,4.0,L. Dončić,1629029.0,3.0,,,,,,,,,,,,,,
38,PT08M38.00S,2026-01-05T02:45:38.3Z,1,REGULAR,turnover,traveling,[],1628991,,,1610612763,8,9,2026-01-05T02:45:43Z,380000,False,,,0,,J. Jackson Jr. traveling TURNOVER (1 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,1628172.0,,,,,,1.0,,,,,,
39,PT08M25.00S,2026-01-05T02:46:01.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,89.93101182654402,1.470588235294116,1610612747,8,9,2026-01-05T02:46:04Z,390000,False,-243.0,42.0,1,right,MISS L. James 24' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Left Corner 3,24+ Left,24.62,Missed,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2026-01-05T02:46:04.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,8,9,2026-01-05T05:13:23Z,400000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,,,,,39.0,,1.0,1.0,0.0,,,,,,,,,
41,PT08M19.00S,2026-01-05T02:46:07.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642377,26.19908015768725,86.51960784313725,1610612763,8,9,2026-01-05T02:46:28Z,410000,False,-183.0,194.0,1,left,MISS J. Wells 26' running 3PT,[1642377],1610612763.0,MEM,running,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
42,PT08M15.00S,2026-01-05T02:46:11.1Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,8,9,2026-01-05T02:46:13Z,420000,False,,,0,,J. Landale REBOUND (Off:2 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Left Center,,,,,,,41.0,,2.0,0.0,2.0,,,,,,,,,
43,PT08M15.00S,2026-01-05T02:46:10.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629111,5.590000152587891,50.0,1610612763,8,9,2026-01-05T02:46:20Z,430000,False,0.0,0.0,1,left,MISS J. Landale tip Layup,[1629111],1610612763.0,MEM,tip,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
44,PT08M15.00S,2026-01-05T02:46:10.7Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612763,8,9,2026-01-05T02:46:20Z,440000,False,,,0,,J. Landale REBOUND (Off:3 Def:0),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,,,,,,,43.0,,3.0,0.0,3.0,,,,,,,,,
45,PT08M13.00S,2026-01-05T02:46:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629111,8.590670170827863,48.529411764705884,1610612763,8,9,2026-01-05T02:47:46Z,450000,False,7.0,28.0,1,left,MISS J. Landale putback Layup,[1629111],1610612763.0,MEM,putback,,,Landale,J. Landale,,,,,Restricted Area,0-8 Center,2.93,Missed,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2026-01-05T02:46:11.9Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612747,8,9,2026-01-05T02:46:16Z,460000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,,,,,45.0,,1.0,1.0,0.0,,,,,,,,,
47,PT08M05.00S,2026-01-05T02:46:20.7Z,1,REGULAR,3pt,Jump Shot,[],2544,68.38042049934297,29.65686274509804,1610612747,8,9,2026-01-05T02:48:09Z,470000,False,-102.0,245.0,1,right,MISS L. James 26' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
48,PT08M03.00S,2026-01-05T02:46:22.7Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,8,9,2026-01-05T02:46:25Z,480000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,47.0,,2.0,2.0,0.0,,,,,,,,,
49,PT07M51.00S,2026-01-05T02:46:35.1Z,1,REGULAR,3pt,Jump Shot,[],1642907,15.949408672798953,3.4313725490196134,1610612763,8,12,2026-01-05T02:46:38Z,490000,False,233.0,97.0,1,left,C. Coward 25' 3PT  (6 PTS),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,25.24,Made,6.0,,,,,,,,,,,,,,,,,
50,PT07M29.00S,2026-01-05T02:46:58.8Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612747,8,12,2026-01-05T02:47:08Z,500000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Dončić 2 FT),"[1628991, 1629029]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628172.0,,,,,,,,,1.0,0.0,Dončić,1629029.0
52,PT07M29.00S,2026-01-05T02:47:28.4Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,9,12,2026-01-05T02:47:28Z,520000,False,,,0,,L. Dončić Free Throw 1 of 2 (1 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
53,PT07M29.00S,2026-01-05T02:47:29.9Z,1,REGULAR,substitution,out,[],1642907,,,1610612747,9,12,2026-01-05T02:47:38Z,530000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M29.00S,2026-01-05T02:47:29.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612747,9,12,2026-01-05T02:47:38Z,540000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2026-01-05T02:47:29.9Z,1,REGULAR,substitution,in,[],1630583,,,1610612747,9,12,2026-01-05T02:47:38Z,550000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M29.00S,2026-01-05T02:47:29.9Z,1,REGULAR,substitution,in,[],203484,,,1610612747,9,12,2026-01-05T02:47:38Z,560000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2026-01-05T02:47:57.4Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612747,10,12,2026-01-05T02:47:57Z,570000,False,,,0,,L. Dončić Free Throw 2 of 2 (2 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
58,PT07M10.00S,2026-01-05T02:48:17.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,14.241130091984232,57.84313725490196,1610612763,10,14,2026-01-05T02:48:20Z,580000,False,-39.0,81.0,1,left,J. Landale 9' turnaround Hook (6 PTS) (S. Aldama 1 AST),"[1629111, 1630583]",1610612763.0,MEM,turnaround,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,9.03,Made,6.0,S. Aldama,1630583.0,1.0,,,,,,,,,,,,,,
60,PT07M08.00S,2026-01-05T02:48:23.6Z,1,REGULAR,foul,technical,['1freethrow'],1629111,,,1610612747,10,14,2026-01-05T02:48:32Z,600000,False,,,0,,J. Landale technical FOUL (1 Tech),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,,,,,,1179.0,,,,,,,,,0.0,1.0,,
61,PT07M08.00S,2026-01-05T02:48:47.3Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612747,11,14,2026-01-05T02:48:47Z,610000,False,,,0,,L. Dončić technical Free Throw 1 of 1 (3 PTS),[1629029],1610612747.0,LAL,technical,,,Dončić,L. Dončić,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
62,PT06M48.00S,2026-01-05T02:49:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,79.68134034165571,37.254901960784316,1610612747,13,14,2026-01-05T02:49:25Z,620000,False,-64.0,138.0,1,right,L. Dončić 15' fadeaway Jump Shot (5 PTS) (J. LaRavia 1 AST),"[1629029, 1631222]",1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,15.24,Made,5.0,J. LaRavia,1631222.0,1.0,,,,,,,,,,,,,,
64,PT06M41.00S,2026-01-05T02:49:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630583,8.327858081471746,50.98039215686275,1610612763,13,16,2026-01-05T02:49:34Z,640000,False,-5.0,26.0,1,left,S. Aldama cutting Layup (2 PTS) (J. Wells 2 AST),"[1630583, 1642377]",1610612763.0,MEM,cutting,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,J. Wells,1642377.0,2.0,,,,,,,,,,,,,,
66,PT06M41.00S,2026-01-05T02:49:33.9Z,1,REGULAR,foul,personal,['1freethrow'],1631222,,,1610612763,13,16,2026-01-05T02:49:39Z,660000,False,,,0,,J. LaRavia shooting personal FOUL (1 PF) (Aldama 1 FT),"[1631222, 1630583]",1610612747.0,LAL,shooting,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,,,,,,1179.0,,,,,,,,,1.0,0.0,Aldama,1630583.0
68,PT06M41.00S,2026-01-05T02:49:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,13,16,2026-01-05T02:53:30Z,680000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2026-01-05T02:52:19.6Z,1,REGULAR,substitution,out,[],2544,,,1610612763,13,16,2026-01-05T02:53:30Z,690000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M41.00S,2026-01-05T02:52:19.6Z,1,REGULAR,substitution,in,[],1629020,,,1610612763,13,16,2026-01-05T02:53:30Z,700000,False,,,0,,SUB in: J. Vanderbilt,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M41.00S,2026-01-05T02:52:25.1Z,1,REGULAR,substitution,out,[],1642285,,,1610612763,13,16,2026-01-05T02:53:30Z,710000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M41.00S,2026-01-05T02:52:25.1Z,1,REGULAR,substitution,in,[],1642914,,,1610612763,13,16,2026-01-05T02:53:30Z,740000,False,,,0,,SUB in: J. Small,[1642914],1610612763.0,MEM,,,,Small,J. Small,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT06M41.00S,2026-01-05T02:52:41.9Z,1,REGULAR,substitution,out,[],1629111,,,1610612763,13,16,2026-01-05T03:08:37Z,745000,False,,,0,,SUB out: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT06M41.00S,2026-01-05T02:52:41.9Z,1,REGULAR,substitution,in,[],1631132,,,1610612763,13,16,2026-01-05T03:08:37Z,747500,False,,,0,,SUB in: C. Koloko,[1631132],1610612763.0,MEM,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M41.00S,2026-01-05T02:52:58.8Z,1,REGULAR,freethrow,1 of 1,[],1630583,,,1610612763,13,17,2026-01-05T02:52:58Z,750000,False,,,0,,S. Aldama Free Throw 1 of 1 (3 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
76,PT06M26.00S,2026-01-05T02:53:18.5Z,1,REGULAR,foul,personal,[],1642377,,,1610612747,13,17,2026-01-05T02:53:30Z,760000,False,,,0,,J. Wells personal FOUL (1 PF),"[1642377, 1629029]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202041.0,,,,,,,,,1.0,0.0,Dončić,1629029.0
78,PT06M20.00S,2026-01-05T02:53:41.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,74.81931668856767,55.88235294117647,1610612747,15,17,2026-01-05T02:53:48Z,780000,False,29.0,184.0,1,right,L. Dončić 18' step back Jump Shot (7 PTS) (J. Vanderbilt 1 AST),"[1629029, 1629020]",1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Center,18.65,Made,7.0,J. Vanderbilt,1629020.0,1.0,,,,,,,,,,,,,,
80,PT06M05.00S,2026-01-05T02:54:18.6Z,1,REGULAR,violation,kicked ball,[],1631222,,,1610612763,15,17,2026-01-05T02:54:23Z,800000,False,,,0,,J. LaRavia kicked ball VIOLATION,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,1179.0,,,,,,,,,,,,
81,PT05M56.00S,2026-01-05T02:54:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,10.82457293035479,51.71568627450981,1610612763,15,17,2026-01-05T02:55:00Z,810000,False,-9.0,49.0,1,left,MISS S. Aldama driving floating Shot,[1630583],1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,,,,,,,,,,,,,
82,PT05M54.00S,2026-01-05T02:54:31.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,15,17,2026-01-05T02:55:00Z,820000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,81.0,,1.0,1.0,0.0,,,,,,,,,
83,PT05M49.00S,2026-01-05T02:54:37.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,72.45400788436268,81.86274509803921,1610612747,15,17,2026-01-05T02:55:22Z,830000,False,159.0,206.0,1,right,MISS L. Dončić 26' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,26.07,Missed,,,,,,,,,,,,,,,,,,
84,PT05M46.00S,2026-01-05T02:54:40.8Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,15,17,2026-01-05T02:54:46Z,840000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Right Center,,,,,,,83.0,,1.0,1.0,0.0,,,,,,,,,
85,PT05M40.00S,2026-01-05T02:54:46.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642914,8.327858081471746,49.01960784313726,1610612763,15,17,2026-01-05T05:12:07Z,850000,False,5.0,26.0,1,left,MISS J. Small running Layup,[1642914],1610612763.0,MEM,running,,,Small,J. Small,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,,
