actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
46,PT07M22.00S,2025-12-02T03:17:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630559,90.19382391590013,55.3921568627451,1610612747,11,7,2025-12-02T04:13:23Z,460000,False,27.0,40.0,1,right,A. Reaves driving Layup (5 PTS),[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,4.8,Made,5.0,,,,,,,,,,,,,,,
47,PT07M21.00S,2025-12-02T03:17:55.2Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612756,11,7,2025-12-02T03:18:01Z,470000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Booker 2 FT),"[1629028, 1626164]",1610612747.0,LAL,shooting,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,1626300.0,,,,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,
49,PT07M21.00S,2025-12-02T03:18:24.1Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,11,8,2025-12-02T03:18:24Z,490000,False,,,0,,D. Booker Free Throw 1 of 2 (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
50,PT07M21.00S,2025-12-02T03:18:45.8Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,11,9,2025-12-02T03:18:45Z,500000,False,,,0,,D. Booker Free Throw 2 of 2 (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
51,PT07M03.00S,2025-12-02T03:19:06.2Z,1,REGULAR,2pt,Jump Shot,[],1629029,89.79960578186596,12.009803921568633,1610612747,13,9,2025-12-02T03:19:14Z,510000,False,-190.0,43.0,1,right,L. Dončić 19' turnaround fadeaway Jump Shot (6 PTS),[1629029],1610612747.0,LAL,turnaround fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Left,,,19.49,Made,6.0,,,,,,,,,,,,,,,
53,PT06M53.00S,2025-12-02T03:19:20.7Z,1,REGULAR,foul,personal,[],1630559,,,1610612756,13,9,2025-12-02T03:19:42Z,530000,False,,,0,,A. Reaves personal FOUL (1 PF),"[1630559, 1631109]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Left Center,201639.0,,,,,,,,,,,,,,1.0,0.0,Williams,1631109.0,,
55,PT06M53.00S,2025-12-02T03:19:30.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,13,9,2025-12-02T03:19:30Z,550000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2025-12-02T03:22:44.6Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,13,9,2025-12-02T03:22:47Z,560000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M53.00S,2025-12-02T03:22:44.6Z,1,REGULAR,substitution,in,[],1642346,,,1610612756,13,9,2025-12-02T03:22:47Z,570000,False,,,0,,SUB in: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2025-12-02T03:23:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,18.183311432325894,58.088235294117645,1610612756,13,9,2025-12-02T04:13:59Z,580000,False,-40.0,118.0,1,left,MISS D. Booker 12' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,12.51,Missed,,,,,,,,,,,,,,,,
59,PT06M37.00S,2025-12-02T03:23:21.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,13,9,2025-12-02T03:23:21Z,590000,False,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,58.0,4.0,3.0,1.0,,,,,,,,,,,
61,PT06M20.00S,2025-12-02T03:23:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,85.20039421813404,59.80392156862745,1610612747,15,9,2025-12-02T04:14:45Z,600000,False,49.0,87.0,1,right,L. James 9' driving floating Jump Shot (2 PTS),[2544],1610612747.0,LAL,driving floating,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,9.95,Made,2.0,,,,,,,,,,,,,,,
62,PT06M20.00S,2025-12-02T03:23:49.5Z,1,REGULAR,2pt,Jump Shot,[],1628415,10.561760840998687,81.61764705882354,1610612756,15,11,2025-12-02T03:25:58Z,610000,False,-158.0,47.0,1,left,D. Brooks 16' turnaround fadeaway Jump Shot (4 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left,,,16.49,Made,4.0,,,,,,,,,,,,,,,
64,PT06M20.00S,2025-12-02T03:24:08.7Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,15,11,2025-12-02T03:24:19Z,620000,False,,,0,,L. Dončić bad pass TURNOVER (2 TO),"[1629029, 1631109]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,Williams,1631109.0,,,,,,,,,
65,PT06M20.00S,2025-12-02T03:24:08.7Z,1,REGULAR,steal,,[],1631109,,,1610612756,15,11,2025-12-02T03:24:10Z,630000,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M20.00S,2025-12-02T03:24:12.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626220,7.276609724047319,97.05882352941177,1610612756,15,11,2025-12-02T03:26:51Z,640000,False,-235.0,16.0,1,left,MISS R. O'Neale running 3PT,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,23.58,Missed,,,,,,,,,,,,,,,,
67,PT06M20.00S,2025-12-02T03:24:12.9Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,15,11,2025-12-02T03:26:51Z,650000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,,,,,,66.0,1.0,0.0,1.0,,,,,,,,,,,
68,PT06M20.00S,2025-12-02T03:24:18.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,19.365965834428394,66.42156862745098,1610612756,15,11,2025-12-02T04:15:33Z,660000,False,-82.0,130.0,1,left,MISS D. Booker 15' floating Shot,[1626164],1610612756.0,PHX,floating,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,15.33,Missed,,,,,,,,,,,,,,,,
69,PT06M20.00S,2025-12-02T03:24:18.3Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,15,11,2025-12-02T03:24:23Z,670000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,
71,PT06M10.00S,2025-12-02T03:25:12.2Z,1,REGULAR,3pt,Jump Shot,[],1629029,70.61432325886992,21.32352941176471,1610612747,15,11,2025-12-02T04:16:15Z,690000,False,-143.0,224.0,1,right,MISS L. Dončić 26' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,26.57,Missed,,,,,,,,,,,,,,,,
72,PT06M06.00S,2025-12-02T03:25:16.2Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,15,11,2025-12-02T03:25:18Z,700000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
73,PT06M04.00S,2025-12-02T03:25:17.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,29.747043363994734,19.85294117647058,1610612756,15,11,2025-12-02T04:16:52Z,710000,False,151.0,227.0,1,left,MISS R. O'Neale 27' running pullup 3PT,[1626220],1610612756.0,PHX,running pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,27.26,Missed,,,,,,,,,,,,,,,,
74,PT06M04.00S,2025-12-02T03:25:17.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,15,11,2025-12-02T03:25:24Z,720000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,73.0,,,,,,,,,,,,,,
76,PT06M04.00S,2025-12-02T03:25:33.7Z,1,REGULAR,substitution,out,[],2544,,,1610612747,15,11,2025-12-02T03:25:36Z,740000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M04.00S,2025-12-02T03:25:33.7Z,1,REGULAR,substitution,in,[],1631222,,,1610612747,15,11,2025-12-02T03:25:36Z,750000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2025-12-02T03:25:48.8Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612747,15,11,2025-12-02T03:25:58Z,770000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (Dončić 2 FT),"[1628415, 1629029]",1610612756.0,PHX,shooting,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left,202035.0,,,,,,,,,,,,,,1.0,0.0,Dončić,1629029.0,,
81,PT05M55.00S,2025-12-02T03:26:22.1Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,16,11,2025-12-02T03:26:22Z,790000,False,,,0,,L. Dončić Free Throw 1 of 2 (7 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
82,PT05M55.00S,2025-12-02T03:26:42.0Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612747,17,11,2025-12-02T03:26:42Z,800000,False,,,0,,L. Dončić Free Throw 2 of 2 (8 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
84,PT05M41.00S,2025-12-02T03:26:58.7Z,1,REGULAR,2pt,Jump Shot,[],1631109,22.38830486202366,51.96078431372549,1610612756,17,11,2025-12-02T03:27:06Z,810000,False,-10.0,158.0,1,left,MISS M. Williams 15' Jump Shot,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Center,,,15.83,Missed,,,,,,,,,,,,,,,,
85,PT05M39.00S,2025-12-02T03:27:00.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,17,11,2025-12-02T03:27:06Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Center,,,,,,84.0,,,,,,,,,,,,,,
87,PT05M36.00S,2025-12-02T03:27:20.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,10.693166885676746,48.774509803921575,1610612756,17,13,2025-12-02T04:17:16Z,840000,False,6.0,48.0,1,left,D. Brooks driving floating bank Jump Shot (6 PTS) (R. O'Neale 1 AST),"[1628415, 1626220]",1610612756.0,PHX,driving floating bank,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,4.84,Made,6.0,,,,,,,R. O'Neale,1626220.0,1.0,,,,,,
