actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M04.00S,2026-03-08T19:45:13.7Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612747,2,0,2026-03-08T19:45:15Z,160000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT11M02.00S,2026-03-08T19:45:15.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630559,94.66162943495401,2.6960784313725554,1610612747,5,0,2026-03-08T19:45:21Z,170000,False,-237.0,-2.0,1,right,A. Reaves 3PT  (5 PTS) (L. Dončić 1 AST),"[1630559, 1629029]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,,,,Made,5.0,,,,,23.65,L. Dončić,1629029.0,1.0,,,,,
19,PT10M50.00S,2026-03-08T19:45:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,17.394875164257556,52.205882352941174,1610612752,5,0,2026-03-08T19:45:32Z,190000,False,-11.0,111.0,1,left,MISS J. Hart 11' pullup Shot,[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.15,,,,,,,,
20,PT10M47.00S,2026-03-08T19:45:30.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,5,0,2026-03-08T19:45:32Z,200000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M43.00S,2026-03-08T19:45:35.9Z,1,REGULAR,3pt,Jump Shot,[],1630559,71.40275952693824,22.549019607843135,1610612747,5,0,2026-03-08T19:45:40Z,210000,False,-137.0,216.0,1,right,MISS A. Reaves 25' step back 3PT,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.62,,,,,,,,
22,PT10M38.00S,2026-03-08T19:45:40.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,0,2026-03-08T19:45:40Z,220000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M30.00S,2026-03-08T19:46:24.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,11.087385019710908,96.81372549019608,1610612752,5,0,2026-03-08T19:46:30Z,250000,False,-234.0,52.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,23.97,,,,,,,,
26,PT10M26.00S,2026-03-08T19:46:29.0Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,5,0,2026-03-08T19:46:29Z,260000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,
27,PT10M23.00S,2026-03-08T19:46:31.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,27.513140604467807,82.84313725490196,1610612752,5,0,2026-03-08T19:46:34Z,270000,False,-164.0,206.0,1,left,MISS K. Towns 26' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.35,,,,,,,,
28,PT10M20.00S,2026-03-08T19:46:33.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,5,0,2026-03-08T19:46:33Z,280000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,
29,PT10M07.00S,2026-03-08T19:46:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,80.33837056504599,62.254901960784316,1610612747,5,0,2026-03-08T19:46:51Z,290000,False,61.0,132.0,1,right,MISS A. Reaves 14' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,14.58,,,,,,,,
30,PT10M04.00S,2026-03-08T19:46:51.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,5,0,2026-03-08T19:46:51Z,300000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT10M01.00S,2026-03-08T19:46:56.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628404,9.641918528252305,53.431372549019606,1610612752,5,0,2026-03-08T19:47:03Z,310000,False,-17.0,38.0,1,left,MISS J. Hart running Layup - blocked,"[1628404, 1629060]",1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,4.18,,,,Hachimura,1629060.0,,,
32,PT10M01.00S,2026-03-08T19:46:56.4Z,1,REGULAR,block,,[],1629060,,,1610612752,5,0,2026-03-08T19:47:50Z,320000,False,,,0,,R. Hachimura BLOCK (1 BLK),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT10M01.00S,2026-03-08T19:46:56.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,5,0,2026-03-08T19:47:03Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,31.0,,,,,,,,,,,,
35,PT09M53.00S,2026-03-08T19:47:20.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,31.45532194480947,26.470588235294116,1610612752,5,0,2026-03-08T19:47:24Z,350000,False,118.0,243.0,1,left,MISS J. Brunson 27' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,27.01,,,,,,,,
36,PT09M49.00S,2026-03-08T19:47:23.9Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612752,5,0,2026-03-08T19:47:23Z,360000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,
37,PT09M44.00S,2026-03-08T19:47:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,8.065045992115643,52.450980392156865,1610612752,5,0,2026-03-08T19:47:34Z,370000,False,-12.0,23.0,1,left,MISS K. Towns cutting Layup - blocked,"[1626157, 1629028]",1610612752.0,NYK,cutting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.63,,,,Ayton,1629028.0,,,
38,PT09M44.00S,2026-03-08T19:47:28.8Z,1,REGULAR,block,,[],1629028,,,1610612752,5,0,2026-03-08T19:47:31Z,380000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M40.00S,2026-03-08T19:47:32.8Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,5,0,2026-03-08T19:47:34Z,390000,False,,,0,,J. Hart REBOUND (Off:1 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,37.0,2.0,1.0,1.0,,,,,,,,,
40,PT09M39.00S,2026-03-08T19:47:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628404,7.539421813403408,50.98039215686275,1610612752,5,2,2026-03-08T19:47:38Z,400000,False,-5.0,18.0,1,left,J. Hart putback Layup (2 PTS),[1628404],1610612752.0,NYK,putback,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.9,,,,,,,,
41,PT09M24.00S,2026-03-08T19:47:48.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,88.48554533508542,68.13725490196079,1610612747,5,2,2026-03-08T19:47:53Z,410000,False,91.0,56.0,1,right,MISS L. Dončić 10' driving floating Shot,[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,10.64,,,,,,,,
42,PT09M24.00S,2026-03-08T19:47:48.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,2,2026-03-08T19:47:53Z,420000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT09M22.00S,2026-03-08T19:47:55.7Z,1,REGULAR,foul,personal,[],203935,,,1610612752,5,2,2026-03-08T19:48:04Z,430000,False,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1628973]",1610612747.0,LAL,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,202058.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
45,PT09M11.00S,2026-03-08T19:48:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,14.37253613666229,42.15686274509803,1610612752,5,4,2026-03-08T19:57:11Z,450000,False,39.0,83.0,1,left,J. Hart 9' driving floating Jump Shot (4 PTS) (K. Towns 1 AST),"[1628404, 1626157]",1610612752.0,NYK,driving floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,4.0,,,,,9.14,K. Towns,1626157.0,1.0,,,,,
47,PT08M57.00S,2026-03-08T19:48:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,74.68791064388962,14.705882352941174,1610612747,5,4,2026-03-08T19:48:49Z,470000,False,-176.0,185.0,1,right,MISS L. Dončić 25' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.6,,,,,,,,
48,PT08M54.00S,2026-03-08T19:48:48.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,4,2026-03-08T19:48:49Z,480000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,
49,PT08M46.00S,2026-03-08T19:48:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.773324572930349,51.22549019607843,1610612752,5,4,2026-03-08T19:49:01Z,490000,False,-6.0,39.0,1,left,MISS K. Towns driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.99,,,,,,,,
50,PT08M43.00S,2026-03-08T19:49:01.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,5,4,2026-03-08T19:49:01Z,500000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT08M36.00S,2026-03-08T19:49:10.2Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612747,5,4,2026-03-08T19:49:30Z,510000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Dončić 2 FT),"[1628404, 1629029]",1610612752.0,NYK,shooting,,,Hart,J. Hart,,,,,Mid-Range,8-16 Center,202027.0,1.0,0.0,Dončić,1629029.0,,,,,,,,,,,,,,,
53,PT08M36.00S,2026-03-08T19:49:46.5Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,6,4,2026-03-08T19:50:10Z,530000,False,,,0,,L. Dončić Free Throw 1 of 2 (1 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
54,PT08M36.00S,2026-03-08T19:49:46.5Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612747,6,4,2026-03-08T19:50:10Z,540000,False,,,0,,MISS L. Dončić Free Throw 2 of 2,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
55,PT08M33.00S,2026-03-08T19:49:49.5Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,6,4,2026-03-08T19:50:10Z,550000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:2),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,54.0,3.0,2.0,1.0,,,,,,,,,
57,PT08M09.00S,2026-03-08T19:50:50.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,29.221419185282528,17.64705882352942,1610612752,6,4,2026-03-08T19:50:55Z,570000,False,162.0,222.0,1,left,MISS M. Bridges 27' turnaround 3PT,[1628969],1610612752.0,NYK,turnaround,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,27.49,,,,,,,,
58,PT08M05.00S,2026-03-08T19:50:53.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,6,4,2026-03-08T19:50:53Z,580000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,
59,PT08M01.00S,2026-03-08T19:50:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,70.61432325886992,79.90196078431373,1610612747,9,4,2026-03-08T19:55:45Z,590000,False,150.0,224.0,1,right,L. Dončić 26' 3PT running (4 PTS) (M. Smart 1 AST),"[1629029, 203935]",1610612747.0,LAL,running,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,,,,Made,4.0,,,,,26.91,M. Smart,203935.0,1.0,,,,,
61,PT07M50.00S,2026-03-08T19:51:09.8Z,1,REGULAR,turnover,lost ball,[],1626157,,,1610612752,9,4,2026-03-08T19:51:19Z,610000,False,,,0,,K. Towns lost ball TURNOVER (1 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,,
62,PT07M50.00S,2026-03-08T19:51:17.1Z,1,REGULAR,foul,personal,[],1626157,,,1610612747,9,4,2026-03-08T19:51:25Z,620000,False,,,0,,K. Towns loose ball personal FOUL (1 PF),"[1626157, 203935]",1610612752.0,NYK,loose ball,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,202058.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
64,PT07M36.00S,2026-03-08T19:51:45.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,90.06241787122208,47.79411764705882,1610612747,11,4,2026-03-08T19:51:50Z,640000,False,-11.0,41.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (L. Dončić 2 AST),"[1629028, 1629029]",1610612747.0,LAL,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,4.24,L. Dončić,1629029.0,2.0,,,,,
66,PT07M36.00S,2026-03-08T19:51:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,11,4,2026-03-08T19:51:51Z,660000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M24.00S,2026-03-08T19:55:46.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,7.013797634691201,49.01960784313726,1610612752,11,6,2026-03-08T19:55:49Z,670000,False,5.0,13.0,1,left,K. Towns cutting DUNK (2 PTS) (M. Bridges 1 AST),"[1626157, 1628969]",1610612752.0,NYK,cutting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.43,M. Bridges,1628969.0,1.0,,,,,
69,PT07M02.00S,2026-03-08T19:56:08.0Z,1,REGULAR,3pt,Jump Shot,[],1629060,69.30026281208936,22.058823529411768,1610612747,14,6,2026-03-08T19:56:12Z,690000,False,-140.0,236.0,1,right,R. Hachimura 27' 3PT step back (3 PTS) (M. Smart 2 AST),"[1629060, 203935]",1610612747.0,LAL,step back,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,27.43,M. Smart,203935.0,2.0,,,,,
71,PT06M49.00S,2026-03-08T19:56:22.4Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612752,14,6,2026-03-08T19:56:34Z,710000,False,,,0,,L. Dončić shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1629029, 1628384]",1610612747.0,LAL,shooting,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,
73,PT06M49.00S,2026-03-08T19:56:52.3Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612752,14,7,2026-03-08T19:56:52Z,730000,False,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
74,PT06M49.00S,2026-03-08T19:56:54.3Z,1,REGULAR,substitution,out,[],203935,,,1610612752,14,7,2026-03-08T19:56:57Z,740000,False,,,0,,SUB out: M. Smart,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M49.00S,2026-03-08T19:56:54.3Z,1,REGULAR,substitution,in,[],1628379,,,1610612752,14,7,2026-03-08T19:56:57Z,750000,False,,,0,,SUB in: L. Kennard,[1628379],1610612747.0,LAL,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M49.00S,2026-03-08T19:57:11.5Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612752,14,8,2026-03-08T19:57:11Z,760000,False,,,0,,O. Anunoby Free Throw 2 of 2 (2 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
77,PT06M36.00S,2026-03-08T19:57:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,81.7838370565046,62.99019607843137,1610612747,14,8,2026-03-08T19:57:31Z,770000,False,65.0,119.0,1,right,MISS A. Reaves 13' step back Shot,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,13.53,,,,,,,,
78,PT06M33.00S,2026-03-08T19:57:29.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,14,8,2026-03-08T19:57:31Z,780000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,77.0,4.0,4.0,0.0,,,,,,,,,
79,PT06M14.00S,2026-03-08T19:57:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,9.641918528252305,49.01960784313726,1610612752,14,8,2026-03-08T19:57:55Z,790000,False,5.0,38.0,1,left,MISS K. Towns driving floating Shot,[1626157],1610612752.0,NYK,driving floating,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.84,,,,,,,,
80,PT06M14.00S,2026-03-08T19:57:49.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,14,8,2026-03-08T19:59:49Z,800000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,79.0,,,,,,,,,,,,
82,PT06M14.00S,2026-03-08T19:58:09.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,8,2026-03-08T19:59:49Z,820000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612747,14,8,2026-03-08T20:01:16Z,840000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,out,[],1628969,,,1610612747,14,8,2026-03-08T20:01:16Z,850000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,out,[],1626157,,,1610612747,14,8,2026-03-08T20:01:16Z,860000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,in,[],1629011,,,1610612747,14,8,2026-03-08T20:01:16Z,870000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,in,[],1629013,,,1610612747,14,8,2026-03-08T20:01:16Z,880000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M14.00S,2026-03-08T20:00:09.5Z,1,REGULAR,substitution,in,[],1642885,,,1610612747,14,8,2026-03-08T20:01:16Z,890000,False,,,0,,SUB in: M. Diawara,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
