actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
18,PT10M28.00S,2025-03-16T00:42:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.03547963206307,60.75750612745098,1610612744,5,2,2025-03-16T00:43:28Z,180000,False,54.0,13.0,1,right,D. Green cutting Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,,,,In The Paint (Non-RA),0-8 Center,5.53,Made,2.0,Green,D. Green,,,,,S. Curry,201939.0,1.0,,,,,,,,,,,
20,PT10M12.00S,2025-03-16T00:43:08.8Z,1,REGULAR,2pt,Jump Shot,[],1630540,24.572930354796313,47.2579656862745,1610612752,5,2,2025-03-16T00:43:56Z,200000,False,14.0,178.0,1,left,MISS M. McBride 17' pullup Shot,[1630540],1610612752.0,NYK,pullup,,,,,,Mid-Range,16-24 Center,17.9,Missed,,McBride,M. McBride,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2025-03-16T00:43:10.8Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,5,2,2025-03-16T00:43:56Z,210000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612752.0,NYK,,,,,,,Mid-Range,16-24 Center,,,,Towns,K. Towns,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M08.00S,2025-03-16T00:43:13.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626157,8.40998685939553,47.6485906862745,1610612752,5,4,2025-03-16T00:44:04Z,220000,False,12.0,27.0,1,left,K. Towns putback Layup (4 PTS),[1626157],1610612752.0,NYK,putback,,,,,,Restricted Area,0-8 Center,2.91,Made,4.0,Towns,K. Towns,,,,,,,,,,,,,,,,,,
23,PT09M47.00S,2025-03-16T00:43:36.7Z,1,REGULAR,foul,technical,['1freethrow'],1628384,,,1610612744,5,4,2025-03-16T00:44:12Z,230000,False,,,0,,O. Anunoby defensive-3-second technical FOUL (1 Tech),[1628384],1610612752.0,NYK,defensive-3-second,,,,,,Restricted Area,0-8 Center,,,,Anunoby,O. Anunoby,,,,,,,,2002.0,0.0,1.0,,,,,,,,
24,PT09M47.00S,2025-03-16T00:43:54.6Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,6,4,2025-03-16T00:43:54Z,240000,False,,,0,,S. Curry technical Free Throw 1 of 1 (1 PTS),[201939],1610612744.0,GSW,technical,,,,,,,,,Made,1.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,
25,PT09M42.00S,2025-03-16T00:44:12.4Z,1,REGULAR,2pt,Jump Shot,[],202710,77.00394218134034,54.69898897058824,1610612744,6,4,2025-03-16T00:44:36Z,250000,False,23.0,164.0,1,right,MISS J. Butler III 16' pullup Shot,[202710],1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Center,16.54,Missed,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2025-03-16T00:44:14.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,6,4,2025-03-16T00:44:36Z,260000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,,,,Mid-Range,16-24 Center,,,,Bridges,M. Bridges,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M26.00S,2025-03-16T00:44:28.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,7.046649145860711,37.99019607843137,1610612752,6,4,2025-03-16T00:44:55Z,270000,False,60.0,14.0,1,left,MISS K. Towns 6' turnaround Hook,[1626157],1610612752.0,NYK,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
28,PT09M24.00S,2025-03-16T00:44:30.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,6,4,2025-03-16T00:44:55Z,280000,False,,,0,,K. Towns REBOUND (Off:2 Def:1),[1626157],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Towns,K. Towns,27.0,3.0,1.0,2.0,,,,,,,,,,,,,,
29,PT09M23.00S,2025-03-16T00:44:31.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626157,6.176084099868589,55.0015318627451,1610612752,6,6,2025-03-16T00:45:05Z,290000,False,-25.0,6.0,1,left,K. Towns putback Layup (6 PTS),[1626157],1610612752.0,NYK,putback,,,,,,Restricted Area,0-8 Center,2.56,Made,6.0,Towns,K. Towns,,,,,,,,,,,,,,,,,,
30,PT09M08.00S,2025-03-16T00:44:45.9Z,1,REGULAR,3pt,Jump Shot,[],201939,69.8546320630749,79.38878676470588,1610612744,6,6,2025-03-16T00:45:22Z,300000,False,147.0,231.0,1,right,MISS S. Curry 27' 3PT,[201939],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,27.37,Missed,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2025-03-16T00:44:47.9Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,6,6,2025-03-16T00:45:22Z,310000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Bridges,M. Bridges,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT08M58.00S,2025-03-16T00:44:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,12.352168199737193,54.26623774509804,1610612752,6,6,2025-03-16T00:45:41Z,320000,False,-21.0,64.0,1,left,MISS M. Bridges 6' driving floating Shot,[1628969],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
33,PT08M56.00S,2025-03-16T00:44:58.0Z,1,REGULAR,rebound,defensive,[],1630611,,,1610612744,6,6,2025-03-16T00:45:41Z,330000,False,,,0,,G. Santos REBOUND (Off:0 Def:2),[1630611],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Santos,G. Santos,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT08M49.00S,2025-03-16T00:45:03.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630541,77.08607095926413,9.313725490196079,1610612744,9,6,2025-03-16T00:45:09Z,340000,False,-203.0,163.0,1,right,M. Moody 26' 3PT running (6 PTS) (S. Curry 2 AST),"[1630541, 201939]",1610612744.0,GSW,running,,,,,,Above the Break 3,24+ Left Center,26.06,Made,6.0,Moody,M. Moody,,,,,S. Curry,201939.0,2.0,,,,,,,,,,,
36,PT08M23.00S,2025-03-16T00:45:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,8.40998685939553,51.63143382352941,1610612752,9,8,2025-03-16T00:46:04Z,360000,False,-8.0,27.0,1,left,O. Anunoby cutting Layup (2 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,cutting,,,,,,Restricted Area,0-8 Center,2.78,Made,2.0,Anunoby,O. Anunoby,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,,
38,PT08M09.00S,2025-03-16T00:45:45.0Z,1,REGULAR,3pt,Jump Shot,[],201939,69.11752628120894,25.467218137254903,1610612744,9,8,2025-03-16T00:46:29Z,380000,False,-123.0,238.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,26.76,Missed,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
39,PT08M07.00S,2025-03-16T00:45:47.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,9,8,2025-03-16T00:46:29Z,390000,False,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628969],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,,,,Bridges,M. Bridges,38.0,3.0,3.0,0.0,,,,,,,,,,,,,,
40,PT07M59.00S,2025-03-16T00:45:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,11.695137976346913,54.044117647058826,1610612752,9,10,2025-03-16T00:46:42Z,400000,False,-20.0,57.0,1,left,O. Anunoby 6' driving Layup (4 PTS),[1628384],1610612752.0,NYK,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.09,Made,4.0,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2025-03-16T00:45:59.9Z,1,REGULAR,foul,personal,['1freethrow'],202710,,,1610612752,9,10,2025-03-16T00:46:47Z,410000,False,,,0,,J. Butler III shooting personal FOUL (1 PF) (Anunoby 1 FT),"[202710, 1628384]",1610612744.0,GSW,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Butler III,J. Butler III,,,,,,,,2714.0,1.0,0.0,Anunoby,1628384.0,,,,,,
43,PT07M59.00S,2025-03-16T00:46:19.3Z,1,REGULAR,freethrow,1 of 1,[],1628384,,,1610612752,9,11,2025-03-16T00:46:19Z,430000,False,,,0,,O. Anunoby Free Throw 1 of 1 (5 PTS),[1628384],1610612752.0,NYK,,,,,,,,,,Made,5.0,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2025-03-16T00:46:44.9Z,1,REGULAR,3pt,Jump Shot,[],203110,70.03736859395532,73.99662990196079,1610612744,12,11,2025-03-16T00:47:04Z,440000,False,120.0,229.0,1,right,D. Green 25' 3PT  (5 PTS) (S. Curry 3 AST),"[203110, 201939]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,25.86,Made,5.0,Green,D. Green,,,,,S. Curry,201939.0,3.0,,,,,,,,,,,
46,PT07M25.00S,2025-03-16T00:47:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.833114323258869,43.359375,1610612752,12,11,2025-03-16T00:47:47Z,460000,False,33.0,12.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,,,,Restricted Area,0-8 Center,3.52,Missed,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
47,PT07M22.00S,2025-03-16T00:47:04.5Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,12,11,2025-03-16T00:47:47Z,470000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Anunoby,O. Anunoby,46.0,1.0,0.0,1.0,,,,,,,,,,,,,,
48,PT07M22.00S,2025-03-16T00:47:08.5Z,1,REGULAR,foul,personal,[],1630611,,,1610612752,12,11,2025-03-16T00:48:28Z,480000,False,,,0,,G. Santos personal FOUL (1 PF),"[1630611, 1628384]",1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,Santos,G. Santos,,,,,,,,1626300.0,1.0,0.0,Anunoby,1628384.0,,,,,,
50,PT07M22.00S,2025-03-16T00:47:19.2Z,1,REGULAR,substitution,out,[],202710,,,1610612752,12,11,2025-03-16T00:47:23Z,500000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,,,,,,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,
51,PT07M22.00S,2025-03-16T00:47:19.2Z,1,REGULAR,substitution,in,[],1630228,,,1610612752,12,11,2025-03-16T00:47:23Z,510000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
52,PT07M11.00S,2025-03-16T00:47:41.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628969,8.935611038107751,17.869178921568633,1610612752,12,13,2025-03-16T00:48:46Z,520000,False,161.0,31.0,1,left,M. Bridges 16' pullup Jump Shot (2 PTS) (K. Towns 2 AST),"[1628969, 1626157]",1610612752.0,NYK,pullup,,,,,,Mid-Range,16-24 Right,16.38,Made,2.0,Bridges,M. Bridges,,,,,K. Towns,1626157.0,2.0,,,,,,,,,,,
54,PT06M57.00S,2025-03-16T00:47:56.5Z,1,REGULAR,3pt,Jump Shot,[],1630611,93.9060446780552,96.32352941176471,1610612744,12,13,2025-03-16T00:48:58Z,540000,False,232.0,5.0,1,right,MISS G. Santos 3PT - blocked,"[1630611, 1628384]",1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,23.16,Missed,,Santos,G. Santos,,,,,,,,,,,,,Anunoby,1628384.0,,,,
55,PT06M57.00S,2025-03-16T00:47:56.5Z,1,REGULAR,block,,[],1628384,,,1610612744,12,13,2025-03-16T00:47:59Z,550000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
56,PT06M56.00S,2025-03-16T00:47:57.5Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,12,13,2025-03-16T00:49:10Z,560000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:0),[1630228],1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,,,,Kuminga,J. Kuminga,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,
57,PT06M53.00S,2025-03-16T00:48:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630611,90.93298291721419,51.838235294117645,1610612744,14,13,2025-03-16T00:49:28Z,570000,False,9.0,33.0,1,right,G. Santos cutting Layup (2 PTS) (J. Kuminga 1 AST),"[1630611, 1630228]",1610612744.0,GSW,cutting,,,,,,Restricted Area,0-8 Center,3.4,Made,2.0,Santos,G. Santos,,,,,J. Kuminga,1630228.0,1.0,,,,,,,,,,,
58,PT06M53.00S,2025-03-16T00:48:06.1Z,1,REGULAR,foul,personal,['1freethrow'],1628384,,,1610612744,14,13,2025-03-16T00:49:37Z,580000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Santos 1 FT),"[1628384, 1630611]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,,,,Anunoby,O. Anunoby,,,,,,,,1626300.0,1.0,1.0,Santos,1630611.0,,,,,,
61,PT06M53.00S,2025-03-16T00:48:16.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,14,13,2025-03-16T00:48:28Z,600000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2025-03-16T00:50:00.2Z,1,REGULAR,substitution,out,[],1628384,,,1610612744,14,13,2025-03-16T00:51:25Z,610000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,,,,,,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
63,PT06M53.00S,2025-03-16T00:50:00.2Z,1,REGULAR,substitution,in,[],1629011,,,1610612744,14,13,2025-03-16T00:51:25Z,620000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2025-03-16T00:52:08.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630611,,,1610612744,14,13,2025-03-16T00:52:09Z,630000,False,,,0,,MISS G. Santos Free Throw 1 of 1,[1630611],1610612744.0,GSW,,,,,,,,,,Missed,,Santos,G. Santos,,,,,,,,,,,,,,,,,,
65,PT06M52.00S,2025-03-16T00:52:09.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,14,13,2025-03-16T00:52:22Z,640000,False,,,0,,K. Towns REBOUND (Off:2 Def:2),[1626157],1610612752.0,NYK,,,,,,,,,,,,Towns,K. Towns,64.0,4.0,2.0,2.0,,,,,,,,,,,,,,
66,PT06M44.00S,2025-03-16T00:52:17.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,5.732588699080158,95.09803921568627,1610612752,14,13,2025-03-16T00:52:41Z,650000,False,-225.0,1.0,1,left,MISS J. Hart 3PT,[1628404],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,22.55,Missed,,Hart,J. Hart,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2025-03-16T00:52:21.5Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,14,13,2025-03-16T00:52:41Z,660000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:1),[1630228],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Kuminga,J. Kuminga,66.0,2.0,1.0,1.0,,,,,,,,,,,,,,
73,PT06M27.00S,2025-03-16T00:52:26.5Z,1,REGULAR,foul,personal,[],1628969,,,1610612744,14,13,2025-03-16T00:56:27Z,665000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1630541]",1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,,Bridges,M. Bridges,,,,,,,,2714.0,1.0,0.0,Moody,1630541.0,,,,,,
69,PT06M27.00S,2025-03-16T00:52:36.0Z,1,REGULAR,substitution,out,[],1630611,,,1610612744,14,13,2025-03-16T00:52:38Z,680000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,,,,,,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,
70,PT06M27.00S,2025-03-16T00:52:36.0Z,1,REGULAR,substitution,in,[],1642366,,,1610612744,14,13,2025-03-16T00:52:38Z,690000,False,,,0,,SUB in: Q. Post,[1642366],1610612744.0,GSW,,,,,,,,,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,
71,PT06M27.00S,2025-03-16T00:52:52.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,14,13,2025-03-16T00:52:52Z,700000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M22.00S,2025-03-16T00:56:43.3Z,1,REGULAR,2pt,Jump Shot,[],1630541,85.67674113009198,70.10186887254902,1610612744,14,13,2025-03-16T00:57:24Z,720000,False,101.0,82.0,1,right,MISS M. Moody 12' pullup Shot,[1630541],1610612744.0,GSW,pullup,,,,,,Mid-Range,8-16 Right,12.98,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
76,PT06M20.00S,2025-03-16T00:56:45.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,14,13,2025-03-16T00:57:15Z,730000,False,,,0,,K. Towns REBOUND (Off:2 Def:3),[1626157],1610612752.0,NYK,,,,,,,Mid-Range,8-16 Right,,,,Towns,K. Towns,75.0,5.0,3.0,2.0,,,,,,,,,,,,,,
77,PT06M09.00S,2025-03-16T00:56:55.2Z,1,REGULAR,2pt,Jump Shot,[],1630540,23.390275952693827,68.84957107843137,1610612752,14,15,2025-03-16T00:57:47Z,740000,False,-94.0,167.0,1,left,M. McBride 19' pullup Jump Shot (2 PTS) (J. Hart 1 AST),"[1630540, 1628404]",1610612752.0,NYK,pullup,,,,,,Mid-Range,16-24 Left Center,19.21,Made,2.0,McBride,M. McBride,,,,,J. Hart,1628404.0,1.0,,,,,,,,,,,
79,PT05M56.00S,2025-03-16T00:57:10.1Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612744,14,15,2025-03-16T00:57:57Z,760000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Curry 2 FT),"[1626157, 201939]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,,,,Towns,K. Towns,,,,,,,,2002.0,1.0,0.0,Curry,201939.0,,,,,,
81,PT05M56.00S,2025-03-16T00:57:35.3Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,15,15,2025-03-16T00:57:35Z,780000,False,,,0,,S. Curry Free Throw 1 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,,,,,,,Made,2.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,
82,PT05M56.00S,2025-03-16T00:57:37.4Z,1,REGULAR,substitution,out,[],1630541,,,1610612744,15,15,2025-03-16T00:57:44Z,790000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,,,,,,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
83,PT05M56.00S,2025-03-16T00:57:37.4Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,15,15,2025-03-16T00:57:44Z,800000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,,,,,,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
84,PT05M56.00S,2025-03-16T00:57:55.6Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,16,15,2025-03-16T00:57:55Z,810000,False,,,0,,S. Curry Free Throw 2 of 2 (3 PTS),[201939],1610612744.0,GSW,,,,,,,,,,Made,3.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,
85,PT05M40.00S,2025-03-16T00:58:14.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,22.026938239159,5.147058823529411,1610612752,16,18,2025-03-16T00:58:45Z,820000,False,224.0,155.0,1,left,K. Towns 27' 3PT step back (9 PTS) (J. Hart 2 AST),"[1626157, 1628404]",1610612752.0,NYK,step back,,,,,,Above the Break 3,24+ Right Center,27.24,Made,9.0,Towns,K. Towns,,,,,J. Hart,1628404.0,2.0,,,,,,,,,,,
87,PT05M33.00S,2025-03-16T00:58:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,93.11760840998686,44.11764705882353,1610612744,18,18,2025-03-16T00:58:58Z,840000,False,-29.0,12.0,1,right,J. Kuminga alley-oop Layup (2 PTS) (D. Green 1 AST),"[1630228, 203110]",1610612744.0,GSW,alley-oop,,,,,,Restricted Area,0-8 Center,3.18,Made,2.0,Kuminga,J. Kuminga,,,,,D. Green,203110.0,1.0,,,,,,,,,,,
89,PT05M18.00S,2025-03-16T00:58:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,16.031537450722738,53.021599264705884,1610612752,18,20,2025-03-16T00:59:14Z,860000,False,-15.0,98.0,1,left,K. Towns 9' driving floating Jump Shot (11 PTS),[1626157],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.94,Made,11.0,Towns,K. Towns,,,,,,,,,,,,,,,,,,
90,PT05M03.00S,2025-03-16T00:58:53.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,77.26675427069645,91.6436887254902,1610612744,18,20,2025-03-16T00:59:31Z,870000,False,208.0,161.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
