actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M25.00S,2025-01-19T01:42:44.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,29.25427069645204,76.22549019607843,1610612764,5,2,2025-01-19T01:42:49Z,180000,False,-131.0,222.0,1,left,MISS J. Poole 25' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2025-01-19T01:42:44.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,2,2025-01-19T01:42:49Z,190000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M16.00S,2025-01-19T01:42:53.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203110,91.80354796320631,56.372549019607845,1610612744,5,2,2025-01-19T01:43:32Z,200000,False,32.0,25.0,1,right,MISS D. Green running Layup,[203110],1610612744.0,GSW,running,,,Green,D. Green,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2025-01-19T01:42:56.1Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,2,2025-01-19T01:42:57Z,210000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M58.00S,2025-01-19T01:43:11.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,26.363337713534822,83.08823529411765,1610612764,5,2,2025-01-19T01:43:15Z,220000,False,-165.0,195.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.59,Missed,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2025-01-19T01:43:14.4Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,5,2,2025-01-19T01:43:15Z,230000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Left Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M46.00S,2025-01-19T01:43:24.7Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612744,5,2,2025-01-19T01:47:48Z,240000,False,,,0,,D. Schröder bad pass out-of-bounds TURNOVER (1 TO),[203471],1610612744.0,GSW,bad pass,,,Schröder,D. Schröder,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1627962.0,1.0,,,,,,,,
25,PT09M38.00S,2025-01-19T01:43:40.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641731,24.52365308804205,87.00980392156863,1610612764,5,2,2025-01-19T01:44:35Z,250000,False,-185.0,178.0,1,left,MISS B. Coulibaly 25' pullup 3PT,[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
26,PT09M35.00S,2025-01-19T01:43:43.7Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,5,2,2025-01-19T01:43:44Z,260000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Left Center,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,
27,PT09M24.00S,2025-01-19T01:43:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,91.01511169513797,59.068627450980394,1610612744,5,2,2025-01-19T01:43:56Z,270000,False,45.0,32.0,1,right,MISS T. Jackson-Davis cutting Layup,[1631218],1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,5.55,Missed,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2025-01-19T01:43:56.7Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,5,2,2025-01-19T01:44:04Z,280000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M21.00S,2025-01-19T01:44:07.2Z,1,REGULAR,foul,personal,[],1631218,,,1610612764,5,2,2025-01-19T01:44:15Z,290000,False,,,0,,T. Jackson-Davis personal FOUL (1 PF),"[1631218, 1642259]",1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,201639.0,,1.0,0.0,Sarr,1642259.0,,,,
31,PT09M08.00S,2025-01-19T01:44:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,32.276609724047304,83.57843137254902,1610612764,5,5,2025-01-19T01:45:26Z,310000,False,-168.0,251.0,1,left,J. Poole 30' 3PT step back (5 PTS),[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,30.19,Made,5.0,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2025-01-19T01:44:42.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,5,5,2025-01-19T01:44:42Z,320000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M00.00S,2025-01-19T01:46:17.4Z,1,REGULAR,substitution,out,[],203110,,,1610612744,5,5,2025-01-19T01:47:38Z,330000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2025-01-19T01:46:17.4Z,1,REGULAR,substitution,in,[],1630611,,,1610612744,5,5,2025-01-19T01:47:38Z,340000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M43.00S,2025-01-19T01:48:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,82.9993429697766,56.86274509803921,1610612744,5,5,2025-01-19T01:48:18Z,350000,False,34.0,107.0,1,right,MISS A. Wiggins 11' turnaround fadeaway Shot,[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,11.26,Missed,,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2025-01-19T01:48:15.8Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,5,5,2025-01-19T01:48:18Z,360000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,35.0,3.0,2.0,1.0,,,,,,,,,,,,,
37,PT08M29.00S,2025-01-19T01:48:27.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203471,71.17279894875165,20.588235294117645,1610612744,8,5,2025-01-19T01:48:36Z,370000,False,-147.0,218.0,1,right,D. Schröder 26' 3PT pullup (6 PTS) (S. Curry 1 AST),"[203471, 201939]",1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.34,Made,6.0,,,,,S. Curry,201939.0,1.0,,,,,,,,,,
39,PT08M13.00S,2025-01-19T01:48:41.7Z,1,REGULAR,3pt,Jump Shot,[],1642267,27.677398160315374,17.401960784313726,1610612764,8,5,2025-01-19T01:48:47Z,390000,False,163.0,208.0,1,left,MISS C. Carrington 26' 3PT,[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
40,PT08M09.00S,2025-01-19T01:48:46.0Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,8,5,2025-01-19T01:48:46Z,400000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,
41,PT08M05.00S,2025-01-19T01:48:50.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,21.369908015768726,8.333333333333332,1610612764,8,5,2025-01-19T01:48:54Z,410000,False,208.0,148.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
42,PT08M02.00S,2025-01-19T01:48:53.6Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,8,5,2025-01-19T01:48:54Z,420000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:3),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Right Center,,,,41.0,4.0,3.0,1.0,,,,,,,,,,,,,
43,PT07M54.00S,2025-01-19T01:49:04.6Z,1,REGULAR,foul,personal,[],1642267,,,1610612744,8,5,2025-01-19T01:49:10Z,430000,False,,,0,,C. Carrington personal FOUL (1 PF),"[1642267, 201939]",1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627962.0,,1.0,0.0,Curry,201939.0,,,,
45,PT07M46.00S,2025-01-19T01:49:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.75229960578186,42.8921568627451,1610612744,10,5,2025-01-19T01:49:30Z,450000,False,-36.0,34.0,1,right,A. Wiggins driving Layup (4 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,4.94,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M32.00S,2025-01-19T01:49:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,10.85742444152431,39.950980392156865,1610612764,10,5,2025-01-19T01:49:47Z,460000,False,50.0,50.0,1,left,MISS J. Poole 7' driving Layup,[1629673],1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,7.06,Missed,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2025-01-19T01:49:41.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,10,5,2025-01-19T01:49:47Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,46.0,,,,,,,,,,,,,,,,
49,PT07M30.00S,2025-01-19T01:50:07.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642259,25.57490144546649,86.76470588235294,1610612764,10,5,2025-01-19T01:50:11Z,490000,False,-184.0,188.0,1,left,MISS A. Sarr 26' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
50,PT07M27.00S,2025-01-19T01:50:10.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,10,5,2025-01-19T01:50:11Z,500000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M22.00S,2025-01-19T01:50:15.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203471,77.61169513797634,7.8431372549019605,1610612744,10,5,2025-01-19T02:50:05Z,510000,False,-211.0,158.0,1,right,MISS D. Schröder 26' running 3PT,[203471],1610612744.0,GSW,running,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.34,Missed,,,,,,,,,,,,,,,,,,
52,PT07M19.00S,2025-01-19T01:50:18.4Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,10,5,2025-01-19T01:50:22Z,520000,False,,,0,,C. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Above the Break 3,24+ Left Center,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,
53,PT06M59.00S,2025-01-19T01:50:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,11.12023653088042,43.38235294117647,1610612764,10,7,2025-01-19T02:51:11Z,530000,False,33.0,52.0,1,left,B. Coulibaly 6' driving finger roll Layup (2 PTS),[1641731],1610612764.0,WAS,driving finger roll,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,6.16,Made,2.0,,,,,,,,,,,,,,,,,
54,PT06M47.00S,2025-01-19T01:50:51.4Z,1,REGULAR,foul,personal,['2freethrow'],1628398,,,1610612744,10,7,2025-01-19T01:51:03Z,540000,False,,,0,,K. Kuzma shooting personal FOUL (1 PF) (Jackson-Davis 2 FT),"[1628398, 1631218]",1610612764.0,WAS,shooting,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,,1.0,0.0,Jackson-Davis,1631218.0,,,,
56,PT06M47.00S,2025-01-19T01:51:15.7Z,1,REGULAR,freethrow,1 of 2,[],1631218,,,1610612744,11,7,2025-01-19T01:57:30Z,560000,False,,,0,,T. Jackson-Davis Free Throw 1 of 2 (1 PTS),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
98,PT06M47.00S,2025-01-19T01:51:36.1Z,1,REGULAR,substitution,out,[],203471,,,1610612744,11,7,2025-01-19T01:58:11Z,562500,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT06M47.00S,2025-01-19T01:51:36.1Z,1,REGULAR,substitution,out,[],1628398,,,1610612744,11,7,2025-01-19T01:58:11Z,563750,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT06M47.00S,2025-01-19T01:51:36.1Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,11,7,2025-01-19T01:58:11Z,564375,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT06M47.00S,2025-01-19T01:51:36.1Z,1,REGULAR,substitution,in,[],1630557,,,1610612744,11,7,2025-01-19T01:58:11Z,564687,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2025-01-19T01:51:15.7Z,1,REGULAR,freethrow,2 of 2,[],1631218,,,1610612744,11,7,2025-01-19T01:57:30Z,565000,False,,,0,,MISS T. Jackson-Davis Free Throw 2 of 2,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2025-01-19T01:51:20.7Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,11,7,2025-01-19T02:15:43Z,567500,False,,,0,,A. Sarr REBOUND (Off:1 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,61.0,3.0,2.0,1.0,,,,,,,,,,,,,
63,PT06M39.00S,2025-01-19T01:51:56.6Z,1,REGULAR,foul,personal,['3freethrow'],1630611,,,1610612764,11,7,2025-01-19T01:53:19Z,605000,False,,,0,,G. Santos shooting personal FOUL (1 PF) (Carrington 3 FT),"[1630611, 1642267]",1610612744.0,GSW,shooting,,,Santos,G. Santos,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627524.0,,1.0,0.0,Carrington,1642267.0,,,,
65,PT06M39.00S,2025-01-19T01:52:32.9Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1642267,,,1610612764,11,7,2025-01-19T01:53:27Z,608750,False,,,0,,MISS C. Carrington Free Throw 1 of 3,[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
66,PT06M39.00S,2025-01-19T01:52:32.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,11,7,2025-01-19T01:53:27Z,609375,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,
69,PT06M39.00S,2025-01-19T01:52:32.9Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1642267,,,1610612764,11,8,2025-01-19T01:53:27Z,609687,False,,,0,,C. Carrington Free Throw 2 of 3 (1 PTS),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
70,PT06M39.00S,2025-01-19T01:52:32.9Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],1642267,,,1610612764,11,9,2025-01-19T01:53:27Z,609843,False,,,0,,C. Carrington Free Throw 3 of 3 (2 PTS),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2025-01-19T01:52:49.8Z,1,REGULAR,substitution,out,[],1631218,,,1610612744,11,9,2025-01-19T01:53:53Z,609921,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2025-01-19T01:52:49.8Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,11,9,2025-01-19T01:53:53Z,609960,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2025-01-19T01:53:36.2Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612744,11,9,2025-01-19T01:53:41Z,710000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1642259]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,,,,,Sarr,1642259.0,,
72,PT06M25.00S,2025-01-19T01:53:36.2Z,1,REGULAR,steal,,[],1642259,,,1610612764,11,9,2025-01-19T01:53:37Z,720000,False,,,0,,A. Sarr STEAL (1 STL),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2025-01-19T01:53:58.5Z,1,REGULAR,substitution,out,[],1642267,,,1610612764,11,9,2025-01-19T01:54:01Z,770000,False,,,0,,SUB out: C. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M14.00S,2025-01-19T01:53:58.5Z,1,REGULAR,substitution,in,[],1642273,,,1610612764,11,9,2025-01-19T01:54:01Z,780000,False,,,0,,SUB in: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M04.00S,2025-01-19T01:54:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642273,7.30946123521682,41.66666666666667,1610612764,11,9,2025-01-19T02:29:05Z,790000,False,42.0,16.0,1,left,MISS K. George driving Layup,[1642273],1610612764.0,WAS,driving,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,4.47,Missed,,,,,,,,,,,,,,,,,,
80,PT06M01.00S,2025-01-19T01:54:20.8Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,11,9,2025-01-19T01:54:22Z,800000,False,,,0,,A. Sarr REBOUND (Off:2 Def:2),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,79.0,4.0,2.0,2.0,,,,,,,,,,,,,
81,PT06M01.00S,2025-01-19T01:54:20.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1642259,5.590000152587891,50.0,1610612764,11,11,2025-01-19T01:55:21Z,810000,False,0.0,0.0,1,left,A. Sarr tip DUNK (2 PTS),[1642259],1610612764.0,WAS,tip,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
82,PT05M51.00S,2025-01-19T01:54:30.0Z,1,REGULAR,3pt,Jump Shot,[],201939,73.66951379763469,13.725490196078432,1610612744,11,11,2025-01-19T01:54:35Z,820000,False,-181.0,195.0,1,right,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
83,PT05M49.00S,2025-01-19T01:54:32.0Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,11,11,2025-01-19T01:54:35Z,830000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,
84,PT05M38.00S,2025-01-19T01:54:43.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630611,87.46714848883047,42.8921568627451,1610612744,11,11,2025-01-19T01:55:48Z,840000,False,-36.0,65.0,1,right,MISS G. Santos 7' floating Shot,[1630611],1610612744.0,GSW,floating,,,Santos,G. Santos,,,,,In The Paint (Non-RA),0-8 Center,7.43,Missed,,,,,,,,,,,,,,,,,,
