actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
47,PT08M16.00S,2024-11-09T00:49:41.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,15,2,2024-11-09T00:49:42Z,450000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,
48,PT08M07.00S,2024-11-09T00:49:52.1Z,1,REGULAR,2pt,Jump Shot,[],1628378,15.325229960578188,90.44117647058823,1610612739,15,2,2024-11-09T00:54:14Z,460000,False,-202.0,92.0,1,left,MISS D. Mitchell 22' step back Shot,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,,,,,,Missed,,22.2,,,,,,,,,,,,
49,PT08M05.00S,2024-11-09T00:49:54.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,2,2024-11-09T00:54:14Z,470000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,
50,PT08M02.00S,2024-11-09T00:49:59.5Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,15,2,2024-11-09T00:50:09Z,480000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Mid-Range,16-24 Left Center,202049.0,,,,,,,,,,,1.0,,,,,,,,
51,PT07M46.00S,2024-11-09T00:50:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628386,6.1268068331143235,50.98039215686274,1610612739,17,2,2024-11-09T00:50:21Z,490000,False,-5.0,5.0,1,left,J. Allen cutting Layup (2 PTS) (I. Okoro 1 AST),"[1628386, 1630171]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.71,I. Okoro,1630171.0,1.0,,,,,,,,,
53,PT07M41.00S,2024-11-09T00:50:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,89.70105124835742,59.80392156862745,1610612744,17,2,2024-11-09T00:54:58Z,510000,False,49.0,44.0,1,right,MISS S. Curry 6' driving floating bank Shot,[201939],1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.61,,,,,,,,,,,,
54,PT07M39.00S,2024-11-09T00:50:26.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,17,2,2024-11-09T00:54:58Z,520000,False,,,0,,J. Allen REBOUND (Off:0 Def:4),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,53.0,4.0,4.0,0.0,,,,
55,PT07M33.00S,2024-11-09T00:50:30.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,27.808804204993432,76.22549019607843,1610612739,20,2,2024-11-09T00:55:10Z,530000,False,-131.0,209.0,1,left,D. Garland 24' 3PT running pullup (6 PTS),[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,24.66,,,,,,,,,,,,
58,PT07M08.00S,2024-11-09T00:51:10.5Z,1,REGULAR,3pt,Jump Shot,[],203952,64.60249671484888,26.96078431372549,1610612744,20,5,2024-11-09T00:51:16Z,550000,False,-115.0,280.0,1,right,A. Wiggins 30' 3PT step back (5 PTS) (T. Jackson-Davis 1 AST),"[203952, 1631218]",1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,30.3,T. Jackson-Davis,1631218.0,1.0,,,,,,,,,
61,PT06M45.00S,2024-11-09T00:51:33.5Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,20,5,2024-11-09T00:51:37Z,560000,False,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 201939]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,Curry,201939.0
62,PT06M45.00S,2024-11-09T00:51:33.5Z,1,REGULAR,steal,,[],201939,,,1610612744,20,5,2024-11-09T01:10:29Z,570000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2024-11-09T00:52:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,93.11760840998686,51.470588235294116,1610612744,20,7,2024-11-09T00:52:05Z,590000,False,7.0,12.0,1,right,A. Wiggins cutting Layup (7 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,Made,7.0,1.43,D. Green,203110.0,1.0,,,,,,,,,
67,PT06M21.00S,2024-11-09T00:52:18.7Z,1,REGULAR,foul,personal,[],203110,,,1610612739,20,7,2024-11-09T00:52:40Z,610000,False,,,0,,D. Green personal FOUL (2 PF),"[203110, 1630596]",1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,1627519.0,2.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
69,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,20,7,2024-11-09T00:52:48Z,630000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,20,7,2024-11-09T00:52:48Z,640000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,out,[],1631218,,,1610612739,20,7,2024-11-09T00:52:48Z,650000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,20,7,2024-11-09T00:52:48Z,660000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,20,7,2024-11-09T00:52:48Z,670000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M21.00S,2024-11-09T00:52:33.1Z,1,REGULAR,substitution,in,[],1630228,,,1610612739,20,7,2024-11-09T00:52:48Z,680000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M07.00S,2024-11-09T00:53:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627747,32.802233902759525,48.03921568627451,1610612739,23,7,2024-11-09T00:53:09Z,690000,False,10.0,256.0,1,left,C. LeVert 25' 3PT  (3 PTS) (I. Okoro 2 AST),"[1627747, 1630171]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,25.6,I. Okoro,1630171.0,2.0,,,,,,,,,
79,PT05M47.00S,2024-11-09T00:53:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,87.20433639947439,59.80392156862745,1610612744,23,7,2024-11-09T00:53:30Z,710000,False,49.0,68.0,1,right,MISS J. Kuminga 8' turnaround fadeaway Shot,[1630228],1610612744.0,GSW,turnaround fadeaway,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,8.37,,,,,,,,,,,,
80,PT05M44.00S,2024-11-09T00:53:29.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,23,7,2024-11-09T00:53:30Z,720000,False,,,0,,J. Allen REBOUND (Off:0 Def:5),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,79.0,5.0,5.0,0.0,,,,
81,PT05M38.00S,2024-11-09T00:53:34.4Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,23,7,2024-11-09T00:53:37Z,730000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 203110]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,,,,,,,Green,203110.0
82,PT05M38.00S,2024-11-09T00:53:34.4Z,1,REGULAR,steal,,[],203110,,,1610612744,23,7,2024-11-09T00:53:36Z,740000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
83,PT05M31.00S,2024-11-09T00:53:40.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630228,89.56964520367937,52.20588235294118,1610612744,23,9,2024-11-09T00:53:50Z,750000,False,11.0,46.0,1,right,J. Kuminga running Layup (2 PTS),[1630228],1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.68,,,,,,,,,,,,
84,PT05M18.00S,2024-11-09T00:53:56.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,29.25427069645204,24.754901960784316,1610612739,23,9,2024-11-09T00:57:53Z,760000,False,126.0,222.0,1,left,MISS I. Okoro 25' 3PT,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.58,,,,,,,,,,,,
85,PT05M16.00S,2024-11-09T00:53:58.6Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,23,9,2024-11-09T00:57:53Z,770000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,
86,PT05M08.00S,2024-11-09T00:54:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.06636005256242,50.49019607843137,1610612744,23,9,2024-11-09T00:59:34Z,780000,False,2.0,22.0,1,right,MISS D. Green driving Layup,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.22,,,,,,,,,,,,
87,PT05M06.00S,2024-11-09T00:54:08.5Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,23,9,2024-11-09T00:59:34Z,790000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,
88,PT04M56.00S,2024-11-09T00:54:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,7.30946123521682,49.01960784313725,1610612739,25,9,2024-11-09T00:54:20Z,800000,False,5.0,16.0,1,left,I. Okoro cutting Layup (5 PTS) (D. Garland 2 AST),"[1630171, 1629636]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,1.69,D. Garland,1629636.0,2.0,,,,,,,,,
90,PT04M49.00S,2024-11-09T00:54:26.3Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612744,25,9,2024-11-09T00:54:37Z,820000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1628386, 1630228]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,202049.0,1.0,0.0,Kuminga,1630228.0,,,,,,,,,,,,,,,
92,PT04M49.00S,2024-11-09T00:54:58.2Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,25,9,2024-11-09T00:54:58Z,840000,False,,,0,,MISS J. Kuminga Free Throw 1 of 2,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
93,PT04M49.00S,2024-11-09T00:54:58.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,25,9,2024-11-09T00:54:58Z,850000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,
