actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
21,PT10M52.00S,2025-01-30T03:19:02.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201939,,,1610612744,1,0,2025-01-30T03:19:02Z,210000,False,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
22,PT10M52.00S,2025-01-30T03:19:19.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201939,,,1610612744,2,0,2025-01-30T03:19:19Z,220000,False,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
23,PT10M43.00S,2025-01-30T03:19:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,85.75886990801577,45.83333333333333,1610612760,2,0,2025-01-30T03:19:34Z,230000,False,-21.0,81.0,1,right,MISS J. Williams 8' driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.4,Missed,,,,,,,,,,,,,
24,PT10M41.00S,2025-01-30T03:19:32.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,2,0,2025-01-30T03:19:34Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,23.0,,,,,,,,,,
26,PT10M34.00S,2025-01-30T03:19:51.5Z,1,REGULAR,3pt,Jump Shot,[],201939,36.61300919842313,25.98039215686275,1610612744,2,0,2025-01-30T03:19:56Z,260000,False,120.0,292.0,1,left,MISS S. Curry 31' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,31.55,Missed,,,,,,,,,,,,,
27,PT10M30.00S,2025-01-30T03:19:55.5Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,2,0,2025-01-30T03:19:56Z,270000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,
28,PT10M17.00S,2025-01-30T03:20:07.9Z,1,REGULAR,2pt,Jump Shot,[],1629652,81.68528252299606,21.568627450980394,1610612760,2,0,2025-01-30T03:20:12Z,280000,False,-142.0,120.0,1,right,MISS L. Dort 18' step back Shot,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,Mid-Range,16-24 Left Center,,,,,,18.59,Missed,,,,,,,,,,,,,
29,PT10M14.00S,2025-01-30T03:20:10.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,2,0,2025-01-30T03:20:12Z,290000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,
30,PT09M56.00S,2025-01-30T03:20:29.3Z,1,REGULAR,foul,personal,['3freethrow'],1631114,,,1610612744,2,0,2025-01-30T03:20:37Z,300000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Wiggins 3 FT),"[1631114, 203952]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,203593.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,
32,PT09M56.00S,2025-01-30T03:21:12.9Z,1,REGULAR,freethrow,1 of 3,[],203952,,,1610612744,2,0,2025-01-30T03:21:12Z,320000,False,,,0,,MISS A. Wiggins Free Throw 1 of 3,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
33,PT09M56.00S,2025-01-30T03:21:12.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,2,0,2025-01-30T03:21:12Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,
34,PT09M56.00S,2025-01-30T03:21:31.3Z,1,REGULAR,freethrow,2 of 3,[],203952,,,1610612744,3,0,2025-01-30T03:21:31Z,340000,False,,,0,,A. Wiggins Free Throw 2 of 3 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
35,PT09M56.00S,2025-01-30T03:21:53.3Z,1,REGULAR,freethrow,3 of 3,[],203952,,,1610612744,4,0,2025-01-30T03:21:53Z,350000,False,,,0,,A. Wiggins Free Throw 3 of 3 (2 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
36,PT09M44.00S,2025-01-30T03:22:09.1Z,1,REGULAR,foul,technical,['1freethrow'],1642366,,,1610612760,4,0,2025-01-30T03:22:22Z,360000,False,,,0,,Q. Post defensive-3-second technical FOUL (1 Tech),[1642366],1610612744.0,GSW,defensive-3-second,,,Post,Q. Post,,,,,In The Paint (Non-RA),8-16 Center,203593.0,1.0,1.0,,,,,,,,,,,,,,,,,
37,PT09M44.00S,2025-01-30T03:22:27.5Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,4,1,2025-01-30T03:22:27Z,370000,False,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (1 PTS),[1628983],1610612760.0,OKC,technical,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
38,PT09M36.00S,2025-01-30T03:22:48.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,84.7568988173456,31.200214460784316,1610612760,4,3,2025-01-30T03:29:00Z,380000,False,-94.0,91.0,1,right,S. Gilgeous-Alexander 13' step back Jump Shot (3 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,13.07,Made,,,,,,,3.0,,,,,,
39,PT09M21.00S,2025-01-30T03:23:02.8Z,1,REGULAR,turnover,lost ball,[],1642366,,,1610612744,4,3,2025-01-30T03:23:08Z,390000,False,,,0,,Q. Post lost ball TURNOVER (1 TO),"[1642366, 1631114]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Williams,1631114.0,,,
40,PT09M21.00S,2025-01-30T03:23:02.8Z,1,REGULAR,steal,,[],1631114,,,1610612760,4,3,2025-01-30T03:23:06Z,400000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
41,PT09M17.00S,2025-01-30T03:23:07.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,91.93495400788436,48.529411764705884,1610612760,4,5,2025-01-30T03:23:11Z,410000,False,-7.0,23.0,1,right,J. Williams running DUNK (2 PTS),[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,2.44,Made,,,,,,,2.0,,,,,,
42,PT09M00.00S,2025-01-30T03:23:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,9.806176084099869,48.77450980392157,1610612744,6,5,2025-01-30T03:23:28Z,420000,False,6.0,40.0,1,left,A. Wiggins driving finger roll Layup (4 PTS),[203952],1610612744.0,GSW,driving finger roll,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,4.02,Made,,,,,,,4.0,,,,,,
43,PT08M47.00S,2025-01-30T03:23:40.5Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612760,6,5,2025-01-30T03:23:46Z,430000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[201939, 1628983]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,203593.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
45,PT08M47.00S,2025-01-30T03:24:09.4Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,6,6,2025-01-30T03:24:27Z,450000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Made,,,,,,,4.0,,,,,,
46,PT08M47.00S,2025-01-30T03:24:09.4Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,6,6,2025-01-30T03:24:27Z,460000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
47,PT08M45.00S,2025-01-30T03:24:11.4Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,6,6,2025-01-30T03:24:27Z,470000,False,,,0,,G. Payton II REBOUND (Off:0 Def:2),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,
48,PT08M32.00S,2025-01-30T03:24:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,7.30946123521682,42.8921568627451,1610612744,8,6,2025-01-30T03:24:42Z,480000,False,36.0,16.0,1,left,G. Payton II cutting Layup (2 PTS) (S. Curry 1 AST),"[1627780, 201939]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,,,,3.9,Made,,,,,,,2.0,,,,S. Curry,201939.0,1.0
50,PT08M20.00S,2025-01-30T03:24:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,92.06636005256242,53.92156862745098,1610612760,8,8,2025-01-30T03:24:55Z,500000,False,20.0,22.0,1,right,I. Hartenstein alley-oop Layup (2 PTS) (J. Williams 1 AST),"[1628392, 1631114]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,2.95,Made,,,,,,,2.0,,,,J. Williams,1631114.0,1.0
52,PT08M13.00S,2025-01-30T03:24:58.6Z,1,REGULAR,3pt,Jump Shot,[],1627741,3.235873850197109,95.58823529411765,1610612744,8,8,2025-01-30T03:25:03Z,520000,False,-228.0,-22.0,1,left,MISS B. Hield 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,,,,22.9,Missed,,,,,,,,,,,,,
53,PT08M09.00S,2025-01-30T03:25:02.6Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,8,8,2025-01-30T03:25:03Z,530000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,
54,PT08M00.00S,2025-01-30T03:25:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,84.57621550591328,56.372549019607845,1610612760,8,10,2025-01-30T03:25:21Z,540000,False,32.0,92.0,1,right,J. Williams 9' pullup Jump Shot (4 PTS) (I. Hartenstein 1 AST),"[1631114, 1628392]",1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.78,Made,,,,,,,4.0,,,,I. Hartenstein,1628392.0,1.0
56,PT07M42.00S,2025-01-30T03:25:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,7.046649145860711,44.11764705882353,1610612744,8,10,2025-01-30T03:25:33Z,560000,False,29.0,14.0,1,left,MISS S. Curry cutting Layup,[201939],1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,3.24,Missed,,,,,,,,,,,,,
57,PT07M40.00S,2025-01-30T03:25:31.7Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,8,10,2025-01-30T03:25:33Z,570000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,
58,PT07M34.00S,2025-01-30T03:25:38.2Z,1,REGULAR,3pt,Jump Shot,[],1628983,73.53810775295663,16.666666666666664,1610612760,8,13,2025-01-30T03:25:42Z,580000,False,-167.0,196.0,1,right,S. Gilgeous-Alexander 25' 3PT pullup (7 PTS) (I. Hartenstein 2 AST),"[1628983, 1628392]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,25.75,Made,,,,,,,7.0,,,,I. Hartenstein,1628392.0,2.0
60,PT07M26.00S,2025-01-30T03:25:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,9.017739816031538,41.911764705882355,1610612744,8,13,2025-01-30T03:27:01Z,600000,False,40.0,32.0,1,left,MISS B. Hield cutting Layup - blocked,"[1627741, 1641717]",1610612744.0,GSW,cutting,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.17,Missed,Wallace,1641717.0,,,,,,,,,,,
61,PT07M26.00S,2025-01-30T03:25:45.9Z,1,REGULAR,block,,[],1641717,,,1610612744,8,13,2025-01-30T03:25:47Z,610000,False,,,0,,C. Wallace BLOCK (1 BLK),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2025-01-30T03:25:48.9Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,8,13,2025-01-30T03:25:50Z,620000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,
63,PT07M22.00S,2025-01-30T03:25:51.6Z,1,REGULAR,foul,personal,[],1627780,,,1610612760,8,13,2025-01-30T03:26:09Z,630000,False,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 1628983]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Mid-Range,16-24 Left Center,101284.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
65,PT07M09.00S,2025-01-30T03:26:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,83.39356110381078,47.30392156862745,1610612760,8,13,2025-01-30T03:26:33Z,650000,False,-13.0,104.0,1,right,MISS I. Hartenstein 10' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.45,Missed,,,,,,,,,,,,,
66,PT07M06.00S,2025-01-30T03:26:30.9Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,13,2025-01-30T03:26:33Z,660000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,
67,PT06M51.00S,2025-01-30T03:26:46.7Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612744,8,13,2025-01-30T03:26:49Z,670000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1641717]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,1.0,Wallace,1641717.0,,,
68,PT06M51.00S,2025-01-30T03:26:46.7Z,1,REGULAR,steal,,[],1641717,,,1610612760,8,13,2025-01-30T03:26:48Z,680000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2025-01-30T03:26:57.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631114,82.21090670170827,48.03921568627451,1610612760,8,13,2025-01-30T03:27:00Z,690000,False,-10.0,115.0,1,right,MISS J. Williams 11' step back Shot,[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.51,Missed,,,,,,,,,,,,,
70,PT06M38.00S,2025-01-30T03:26:59.1Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,8,13,2025-01-30T03:27:00Z,700000,False,,,0,,G. Payton II REBOUND (Off:0 Def:3),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,69.0,3.0,3.0,0.0,,,,,,,
71,PT06M33.00S,2025-01-30T03:27:04.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,23.73521681997372,87.5,1610612744,8,13,2025-01-30T03:27:09Z,710000,False,-188.0,171.0,1,left,MISS B. Hield 25' running 3PT,[1627741],1610612744.0,GSW,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,25.35,Missed,,,,,,,,,,,,,
72,PT06M29.00S,2025-01-30T03:27:08.1Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,8,13,2025-01-30T03:27:09Z,720000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:3),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,
73,PT06M20.00S,2025-01-30T03:27:16.9Z,1,REGULAR,2pt,Jump Shot,[],1628983,91.01511169513797,25.0,1610612760,8,15,2025-01-30T03:27:20Z,730000,False,-125.0,32.0,1,right,S. Gilgeous-Alexander 12' fadeaway Jump Shot (9 PTS),[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,12.9,Made,,,,,,,9.0,,,,,,
74,PT06M11.00S,2025-01-30T03:27:33.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,8,15,2025-01-30T03:27:33Z,740000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,out,[],1642366,,,1610612744,8,15,2025-01-30T03:30:49Z,750000,False,,,0,,SUB out: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,8,15,2025-01-30T03:30:49Z,760000,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,out,[],1627741,,,1610612744,8,15,2025-01-30T03:30:49Z,770000,False,,,0,,SUB out: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,in,[],1626172,,,1610612744,8,15,2025-01-30T03:30:49Z,780000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,in,[],1630541,,,1610612744,8,15,2025-01-30T03:30:49Z,790000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M11.00S,2025-01-30T03:30:29.0Z,1,REGULAR,substitution,in,[],1630611,,,1610612744,8,15,2025-01-30T03:30:49Z,800000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M03.00S,2025-01-30T03:31:15.5Z,1,REGULAR,3pt,Jump Shot,[],203952,14.98028909329829,97.57199754901961,1610612744,11,15,2025-01-30T03:31:23Z,810000,False,-238.0,88.0,1,left,A. Wiggins 25' 3PT  (7 PTS) (S. Curry 2 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,25.38,Made,,,,,,,7.0,,,,S. Curry,201939.0,2.0
83,PT05M44.00S,2025-01-30T03:31:34.8Z,1,REGULAR,3pt,Jump Shot,[],1631114,66.04796320630749,47.05882352941176,1610612760,11,15,2025-01-30T03:31:39Z,830000,False,-15.0,267.0,1,right,MISS J. Williams 26' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,26.7,Missed,,,,,,,,,,,,,
