actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
15,PT10M38.00S,2025-03-29T00:11:49.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612740,2,0,2025-03-29T00:12:18Z,150000,False,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M29.00S,2025-03-29T00:11:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,13.272010512483575,52.55055147058824,1610612740,4,0,2025-03-29T00:12:30Z,160000,False,-13.0,72.0,1,left,J. Alvarado 7' driving floating Jump Shot (4 PTS),[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,7.34,Made,,,,,4.0,,,,,,,,,,,,,
17,PT10M20.00S,2025-03-29T00:12:06.1Z,1,REGULAR,3pt,Jump Shot,[],1630541,94.34954007884363,96.30055147058823,1610612744,4,0,2025-03-29T00:12:42Z,170000,False,232.0,1.0,1,right,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2025-03-29T00:12:08.1Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,4,0,2025-03-29T00:12:42Z,180000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Right Corner 3,24+ Right,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
19,PT10M15.00S,2025-03-29T00:12:11.6Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612744,4,0,2025-03-29T00:13:17Z,190000,False,,,0,,J. Butler III lost ball out-of-bounds TURNOVER (1 TO),[202710],1610612744.0,GSW,lost ball,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2003.0,1.0,,,,,,,,,,,
21,PT09M56.00S,2025-03-29T00:12:38.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,8.492115637319317,3.9215686274509802,1610612740,7,0,2025-03-29T00:12:43Z,210000,False,230.0,27.0,1,left,B. Brown 3PT  (3 PTS) (K. Olynyk 1 AST),"[1628971, 203482]",1610612740.0,NOP,,,,Brown,B. Brown,,,,,Right Corner 3,24+ Right,23.2,Made,,,,,3.0,,,K. Olynyk,203482.0,1.0,,,,,,,,
23,PT09M37.00S,2025-03-29T00:12:59.1Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,7,0,2025-03-29T00:14:12Z,230000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1628971]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,Brown,1628971.0,,,,,,
24,PT09M37.00S,2025-03-29T00:12:59.1Z,1,REGULAR,steal,,[],1628971,,,1610612740,7,0,2025-03-29T00:13:01Z,240000,False,,,0,,B. Brown STEAL (1 STL),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
25,PT09M33.00S,2025-03-29T00:13:04.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630631,24.17871222076215,7.329963235294116,1610612740,7,0,2025-03-29T00:14:24Z,250000,False,213.0,175.0,1,left,MISS J. Alvarado 27' running 3PT,[1630631],1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,27.59,Missed,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2025-03-29T00:13:07.2Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,7,0,2025-03-29T00:14:24Z,260000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M25.00S,2025-03-29T00:13:12.4Z,1,REGULAR,foul,personal,[],1630631,,,1610612744,7,0,2025-03-29T00:14:38Z,270000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 203110]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Left,,,,,,,,1628485.0,,,,,,,1.0,0.0,Green,203110.0,,
29,PT09M18.00S,2025-03-29T00:13:48.5Z,1,REGULAR,3pt,Jump Shot,[],202710,96.97766097240473,3.653492647058826,1610612744,7,0,2025-03-29T00:15:02Z,290000,False,-232.0,-24.0,1,right,MISS J. Butler III 3PT,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2025-03-29T00:13:50.5Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,7,0,2025-03-29T00:15:02Z,300000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Left Corner 3,24+ Left,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT08M56.00S,2025-03-29T00:14:11.1Z,1,REGULAR,2pt,Jump Shot,[],1630631,14.323258869908017,31.10447303921569,1610612740,7,0,2025-03-29T00:15:25Z,310000,False,94.0,82.0,1,left,MISS J. Alvarado 12' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Right,12.52,Missed,,,,,,,,,,,,,,,,,,
32,PT08M54.00S,2025-03-29T00:14:13.1Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,7,0,2025-03-29T00:15:25Z,320000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:2),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Right,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT08M47.00S,2025-03-29T00:14:18.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630541,92.24704336399475,52.856924019607845,1610612744,7,2,2025-03-29T00:15:40Z,330000,False,14.0,20.0,1,right,M. Moody running Layup (2 PTS) (S. Curry 1 AST),"[1630541, 201939]",1610612744.0,GSW,running,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,2.49,Made,,,,,2.0,,,S. Curry,201939.0,1.0,,,,,,,,
35,PT08M34.00S,2025-03-29T00:14:33.3Z,1,REGULAR,foul,personal,[],201939,,,1610612740,7,2,2025-03-29T00:16:12Z,350000,False,,,0,,S. Curry personal FOUL (1 PF),"[201939, 203482]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right,,,,,,,,1627534.0,,,,,,,1.0,0.0,Olynyk,203482.0,,
37,PT08M26.00S,2025-03-29T00:14:56.8Z,1,REGULAR,2pt,Jump Shot,[],1628971,21.681997371879106,43.19852941176471,1610612740,9,2,2025-03-29T00:16:29Z,370000,False,34.0,151.0,1,left,B. Brown 15' pullup Jump Shot (5 PTS) (J. Alvarado 1 AST),"[1628971, 1630631]",1610612740.0,NOP,pullup,,,Brown,B. Brown,,,,,Mid-Range,8-16 Center,15.51,Made,,,,,5.0,,,J. Alvarado,1630631.0,1.0,,,,,,,,
39,PT08M18.00S,2025-03-29T00:15:05.8Z,1,REGULAR,3pt,Jump Shot,[],201939,64.76675427069645,64.14292279411765,1610612744,9,2,2025-03-29T00:16:44Z,390000,False,71.0,279.0,1,right,MISS S. Curry 28' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,28.75,Missed,,,,,,,,,,,,,,,,,,
40,PT08M15.00S,2025-03-29T00:15:08.8Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,9,2,2025-03-29T00:16:54Z,400000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M10.00S,2025-03-29T00:15:13.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628971,22.864651773981606,8.065257352941174,1610612740,12,2,2025-03-29T00:17:04Z,410000,False,210.0,162.0,1,left,B. Brown 26' 3PT running (8 PTS) (J. Hawkins 1 AST),"[1628971, 1641722]",1610612740.0,NOP,running,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,26.52,Made,,,,,8.0,,,J. Hawkins,1641722.0,1.0,,,,,,,,
43,PT07M56.00S,2025-03-29T00:15:27.6Z,1,REGULAR,3pt,Jump Shot,[],203110,95.79500657030223,4.143688725490193,1610612744,12,2,2025-03-29T00:17:15Z,430000,False,-229.0,-13.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,22.97,Missed,,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2025-03-29T00:15:28.6Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,12,2,2025-03-29T00:17:15Z,440000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Left Corner 3,24+ Left,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M49.00S,2025-03-29T00:15:35.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630631,14.848883048620237,48.345588235294116,1610612740,14,2,2025-03-29T00:17:41Z,450000,False,8.0,87.0,1,left,J. Alvarado 8' running Layup (6 PTS),[1630631],1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,8.75,Made,,,,,6.0,,,,,,,,,,,,,
46,PT07M49.00S,2025-03-29T00:15:39.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,14,2,2025-03-29T00:15:50Z,460000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M30.00S,2025-03-29T00:18:48.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630541,90.53876478318003,48.138786764705884,1610612744,14,4,2025-03-29T00:19:08Z,470000,False,-9.0,36.0,1,right,M. Moody driving DUNK (4 PTS),[1630541],1610612744.0,GSW,driving,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,4.0,,,,,,,,,,,,,
48,PT07M06.00S,2025-03-29T00:19:14.4Z,1,REGULAR,2pt,Jump Shot,[],203482,16.4257555847569,16.888786764705884,1610612740,14,4,2025-03-29T00:19:41Z,480000,False,166.0,102.0,1,left,MISS K. Olynyk 19' pullup Shot,[203482],1610612740.0,NOP,pullup,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Right,19.44,Missed,,,,,,,,,,,,,,,,,,
49,PT07M04.00S,2025-03-29T00:19:16.4Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,14,4,2025-03-29T00:19:41Z,490000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:3),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Right,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,
50,PT06M51.00S,2025-03-29T00:19:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,94.87516425755585,43.91467524509803,1610612744,14,6,2025-03-29T00:19:52Z,500000,False,-30.0,-4.0,1,right,B. Podziemski cutting Layup (2 PTS) (S. Curry 2 AST),"[1641764, 201939]",1610612744.0,GSW,cutting,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,2.0,,,S. Curry,201939.0,2.0,,,,,,,,
52,PT06M31.00S,2025-03-29T00:19:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,8.54139290407359,39.43780637254902,1610612740,14,6,2025-03-29T00:20:47Z,520000,False,53.0,28.0,1,left,MISS J. Alvarado pullup Shot,[1630631],1610612740.0,NOP,pullup,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,5.97,Missed,,,,,,,,,,,,,,,,,,
53,PT06M29.00S,2025-03-29T00:19:51.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,14,6,2025-03-29T00:20:47Z,530000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT06M17.00S,2025-03-29T00:20:02.0Z,1,REGULAR,3pt,Jump Shot,[],1641764,95.66360052562418,3.8985906862745026,1610612744,14,6,2025-03-29T00:21:16Z,540000,False,-231.0,-12.0,1,right,MISS B. Podziemski 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,23.08,Missed,,,,,,,,,,,,,,,,,,
55,PT06M15.00S,2025-03-29T00:20:04.0Z,1,REGULAR,rebound,defensive,[],203482,,,1610612740,14,6,2025-03-29T00:21:16Z,550000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Left Corner 3,24+ Left,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT06M02.00S,2025-03-29T00:20:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,5.601182654402102,50.98039215686274,1610612740,14,6,2025-03-29T00:21:38Z,560000,False,-5.0,0.0,1,left,MISS Y. Missi cutting DUNK,[1642274],1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,0.49,Missed,,,,,,,,,,,,,,,,,,
57,PT06M01.00S,2025-03-29T00:20:18.4Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,14,6,2025-03-29T00:21:46Z,570000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,,,
58,PT06M00.00S,2025-03-29T00:20:23.2Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612740,14,6,2025-03-29T00:21:53Z,580000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Missi 2 FT),"[203110, 1642274]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,1627534.0,,,,,,,1.0,0.0,Missi,1642274.0,,
60,PT06M00.00S,2025-03-29T00:21:30.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642274,,,1610612740,15,6,2025-03-29T00:21:30Z,600000,False,,,0,,Y. Missi Free Throw 1 of 2 (1 PTS),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
61,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,out,[],203482,,,1610612740,15,6,2025-03-29T00:21:51Z,610000,False,,,0,,SUB out: K. Olynyk,[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,out,[],202710,,,1610612740,15,6,2025-03-29T00:21:51Z,620000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,out,[],1641764,,,1610612740,15,6,2025-03-29T00:21:51Z,630000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,in,[],1630526,,,1610612740,15,6,2025-03-29T00:21:51Z,640000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,in,[],1630228,,,1610612740,15,6,2025-03-29T00:21:51Z,650000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M00.00S,2025-03-29T00:21:31.4Z,1,REGULAR,substitution,in,[],1630611,,,1610612740,15,6,2025-03-29T00:21:51Z,660000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M00.00S,2025-03-29T00:21:53.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642274,,,1610612740,16,6,2025-03-29T00:21:53Z,670000,False,,,0,,Y. Missi Free Throw 2 of 2 (2 PTS),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
68,PT05M45.00S,2025-03-29T00:22:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630611,93.95532194480946,53.83731617647059,1610612744,16,8,2025-03-29T00:22:32Z,680000,False,19.0,4.0,1,right,G. Santos cutting Layup (2 PTS) (S. Curry 3 AST),"[1630611, 201939]",1610612744.0,GSW,cutting,,,Santos,G. Santos,,,,,Restricted Area,0-8 Center,1.97,Made,,,,,2.0,,,S. Curry,201939.0,3.0,,,,,,,,
70,PT05M30.00S,2025-03-29T00:22:25.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,6.783837056504599,2.696078431372549,1610612740,16,8,2025-03-29T00:22:49Z,700000,False,237.0,11.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,,
71,PT05M27.00S,2025-03-29T00:22:28.2Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,16,8,2025-03-29T00:22:49Z,710000,False,,,0,,Y. Missi REBOUND (Off:2 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Right Corner 3,24+ Right,,,70.0,4.0,2.0,2.0,,,,,,,,,,,,,,
72,PT05M21.00S,2025-03-29T00:22:35.1Z,1,REGULAR,turnover,bad pass,[],1642274,,,1610612740,16,8,2025-03-29T00:23:36Z,720000,False,,,0,,Y. Missi bad pass TURNOVER (1 TO),"[1642274, 201939]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,Curry,201939.0,,,,,,
73,PT05M21.00S,2025-03-29T00:22:35.1Z,1,REGULAR,steal,,[],201939,,,1610612744,16,8,2025-03-29T00:22:36Z,730000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,out,[],1630631,,,1610612744,16,8,2025-03-29T00:23:07Z,750000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,out,[],1642274,,,1610612744,16,8,2025-03-29T00:23:07Z,760000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,out,[],1630541,,,1610612744,16,8,2025-03-29T00:23:07Z,770000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,out,[],203110,,,1610612744,16,8,2025-03-29T00:23:07Z,780000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,in,[],203901,,,1610612744,16,8,2025-03-29T00:23:07Z,790000,False,,,0,,SUB in: E. Payton,[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,in,[],1631255,,,1610612744,16,8,2025-03-29T00:23:07Z,800000,False,,,0,,SUB in: K. Matković,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,16,8,2025-03-29T00:23:07Z,810000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2025-03-29T00:22:42.8Z,1,REGULAR,substitution,in,[],1642366,,,1610612744,16,8,2025-03-29T00:23:07Z,820000,False,,,0,,SUB in: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2025-03-29T00:23:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630611,93.03547963206307,96.54564950980392,1610612744,16,8,2025-03-29T00:23:57Z,830000,False,233.0,13.0,1,right,MISS G. Santos 3PT,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
84,PT05M05.00S,2025-03-29T00:23:27.9Z,1,REGULAR,rebound,defensive,[],203901,,,1610612740,16,8,2025-03-29T00:23:57Z,840000,False,,,0,,E. Payton REBOUND (Off:0 Def:1),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Right Corner 3,24+ Right,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
