actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
32,PT09M53.00S,2024-11-26T00:15:25.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,8.015768725361367,3.209252450980392,1610612765,9,4,2024-11-26T00:15:32Z,310000,False,234.0,23.0,1,left,M. Beasley 3PT  (3 PTS) (J. Ivey 2 AST),"[1627736, 1631093]",1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,Beasley,M. Beasley,,,23.51,Made,3.0,J. Ivey,1631093.0,2.0,,,,,,,,,,,,
34,PT09M38.00S,2024-11-26T00:15:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,85.75886990801577,43.38235294117647,1610612761,9,4,2024-11-26T00:15:49Z,330000,False,-33.0,81.0,1,right,MISS R. Barrett 8' driving finger roll Layup,[1629628],1610612761.0,TOR,driving finger roll,,,,,,In The Paint (Non-RA),8-16 Center,,Barrett,R. Barrett,,,8.79,Missed,,,,,,,,,,,,,,,,
35,PT09M36.00S,2024-11-26T00:15:42.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,4,2024-11-26T00:17:46Z,340000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,Duren,J. Duren,,,,,,,,,34.0,3.0,3.0,0.0,,,,,,,,
36,PT09M30.00S,2024-11-26T00:15:50.6Z,1,REGULAR,2pt,Jump Shot,[],202699,4.155716162943495,74.26470588235294,1610612765,9,4,2024-11-26T00:18:06Z,350000,False,-121.0,-13.0,1,left,MISS T. Harris 12' pullup Shot,[202699],1610612765.0,DET,pullup,,,,,,Mid-Range,8-16 Left,,Harris,T. Harris,,,12.2,Missed,,,,,,,,,,,,,,,,
37,PT09M28.00S,2024-11-26T00:15:52.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,9,4,2024-11-26T00:18:06Z,360000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Left,,Poeltl,J. Poeltl,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,
38,PT09M11.00S,2024-11-26T00:16:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,88.51839684625493,96.56862745098039,1610612761,9,4,2024-11-26T00:16:12Z,370000,False,233.0,55.0,1,right,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,Barnes,S. Barnes,,,23.93,Missed,,,,,,,,,,,,,,,,
39,PT09M07.00S,2024-11-26T00:16:11.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,4,2024-11-26T00:16:12Z,380000,False,,,0,,J. Duren REBOUND (Off:0 Def:4),[1631105],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,Duren,J. Duren,,,,,,,,,38.0,4.0,4.0,0.0,,,,,,,,
40,PT08M55.00S,2024-11-26T00:16:22.9Z,1,REGULAR,3pt,Jump Shot,[],1627736,31.750985545335087,37.254901960784316,1610612765,12,4,2024-11-26T00:16:27Z,390000,False,64.0,246.0,1,left,M. Beasley 25' 3PT  (6 PTS) (J. Duren 2 AST),"[1627736, 1631105]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,Beasley,M. Beasley,,,25.41,Made,6.0,J. Duren,1631105.0,2.0,,,,,,,,,,,,
42,PT08M46.00S,2024-11-26T00:16:34.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,94.03745072273325,95.83333333333334,1610612761,12,4,2024-11-26T00:20:10Z,410000,False,229.0,4.0,1,right,MISS R. Barrett 3PT,[1629628],1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,Barrett,R. Barrett,,,22.92,Missed,,,,,,,,,,,,,,,,
43,PT08M44.00S,2024-11-26T00:16:36.0Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,12,4,2024-11-26T00:20:10Z,420000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,Ivey,J. Ivey,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
44,PT08M22.00S,2024-11-26T00:16:56.1Z,1,REGULAR,2pt,Jump Shot,[],202699,3.1044678055190538,28.186274509803923,1610612765,12,4,2024-11-26T00:17:07Z,430000,False,109.0,-23.0,1,left,MISS T. Harris 11' pullup Shot,[202699],1610612765.0,DET,pullup,,,,,,Mid-Range,8-16 Right,,Harris,T. Harris,,,11.16,Missed,,,,,,,,,,,,,,,,
45,PT08M20.00S,2024-11-26T00:16:58.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,12,4,2024-11-26T00:17:07Z,440000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,44.0,,,,,,,,,,,
46,PT08M20.00S,2024-11-26T00:17:04.9Z,1,REGULAR,foul,personal,[],1629628,,,1610612765,12,4,2024-11-26T00:17:16Z,450000,False,,,0,,R. Barrett loose ball personal FOUL (1 PF),"[1629628, 1631105]",1610612761.0,TOR,loose ball,,,,,,Mid-Range,8-16 Right,,Barrett,R. Barrett,,,,,,,,,,,,,1628954.0,1.0,0.0,Duren,1631105.0,,,
48,PT08M18.00S,2024-11-26T00:17:19.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202699,6.783837056504599,47.30392156862745,1610612765,14,4,2024-11-26T00:20:54Z,470000,False,13.0,11.0,1,left,T. Harris cutting DUNK (2 PTS) (J. Ivey 3 AST),"[202699, 1631093]",1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,,Harris,T. Harris,,,1.76,Made,2.0,J. Ivey,1631093.0,3.0,,,,,,,,,,,,
50,PT08M16.00S,2024-11-26T00:17:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,4,2024-11-26T00:17:26Z,490000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M03.00S,2024-11-26T00:20:31.1Z,1,REGULAR,foul,personal,[],1627736,,,1610612761,14,4,2024-11-26T00:21:01Z,500000,False,,,0,,M. Beasley personal FOUL (1 PF),"[1627736, 1630567]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,Beasley,M. Beasley,,,,,,,,,,,,,1628954.0,1.0,0.0,Barnes,1630567.0,,,
54,PT08M03.00S,2024-11-26T00:20:48.7Z,1,REGULAR,foul,technical,['1freethrow'],1627736,,,1610612761,14,4,2024-11-26T00:20:54Z,520000,False,,,0,,M. Beasley technical FOUL (1 Tech),[1627736],1610612765.0,DET,,,,,,,,,,Beasley,M. Beasley,,,,,,,,,,,,,1628954.0,1.0,1.0,,,,,
55,PT08M03.00S,2024-11-26T00:20:57.8Z,1,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,14,5,2024-11-26T00:20:57Z,530000,False,,,0,,S. Barnes technical Free Throw 1 of 1 (3 PTS),[1630567],1610612761.0,TOR,technical,,,,,,,,,Barnes,S. Barnes,,,,Made,3.0,,,,,,,,,,,,,,,
56,PT07M54.00S,2024-11-26T00:21:17.0Z,1,REGULAR,3pt,Jump Shot,[],1630567,72.09264126149803,22.30392156862745,1610612761,14,5,2024-11-26T00:22:32Z,540000,False,-138.0,210.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,Barnes,S. Barnes,,,25.14,Missed,,,,,,,,,,,,,,,,
57,PT07M52.00S,2024-11-26T00:21:19.0Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,14,5,2024-11-26T00:22:32Z,550000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,Barnes,S. Barnes,,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,
58,PT07M51.00S,2024-11-26T00:21:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,92.19776609724047,52.20588235294118,1610612761,14,5,2024-11-26T00:22:38Z,560000,False,11.0,21.0,1,right,MISS S. Barnes driving reverse Layup,[1630567],1610612761.0,TOR,driving reverse,,,,,,Restricted Area,0-8 Center,,Barnes,S. Barnes,,,2.35,Missed,,,,,,,,,,,,,,,,
59,PT07M50.00S,2024-11-26T00:21:22.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,14,5,2024-11-26T00:22:38Z,570000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,Harris,T. Harris,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT07M35.00S,2024-11-26T00:21:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,11.12023653088042,55.14705882352941,1610612765,14,5,2024-11-26T00:21:40Z,580000,False,-26.0,52.0,1,left,MISS J. Duren fadeaway Shot,[1631105],1610612765.0,DET,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,,Duren,J. Duren,,,5.8,Missed,,,,,,,,,,,,,,,,
61,PT07M32.00S,2024-11-26T00:21:37.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,14,5,2024-11-26T00:21:40Z,590000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,Poeltl,J. Poeltl,,,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,
62,PT07M27.00S,2024-11-26T00:21:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630534,93.24901445466492,3.1862745098039214,1610612761,14,5,2024-11-26T00:21:48Z,600000,False,-234.0,11.0,1,right,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,Agbaji,O. Agbaji,,,23.44,Missed,,,,,,,,,,,,,,,,
63,PT07M23.00S,2024-11-26T00:21:46.7Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612765,14,5,2024-11-26T00:21:48Z,610000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,,Beasley,M. Beasley,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,
64,PT07M07.00S,2024-11-26T00:22:02.4Z,1,REGULAR,2pt,Jump Shot,[],203501,8.360709592641262,8.333333333333332,1610612765,16,5,2024-11-26T00:22:10Z,620000,False,208.0,26.0,1,left,T. Hardaway Jr. 20' step back Jump Shot (2 PTS) (T. Harris 1 AST),"[203501, 202699]",1610612765.0,DET,step back,,,,,,Mid-Range,16-24 Right,,Hardaway Jr.,T. Hardaway Jr.,,,20.99,Made,2.0,T. Harris,202699.0,1.0,,,,,,,,,,,,
66,PT06M58.00S,2024-11-26T00:22:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,89.70105124835742,51.225490196078425,1610612761,16,5,2024-11-26T00:24:03Z,640000,False,6.0,44.0,1,right,MISS J. Poeltl cutting Layup,[1627751],1610612761.0,TOR,cutting,,,,,,In The Paint (Non-RA),0-8 Center,,Poeltl,J. Poeltl,,,4.47,Missed,,,,,,,,,,,,,,,,
67,PT06M56.00S,2024-11-26T00:22:15.4Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,16,5,2024-11-26T00:24:03Z,650000,False,,,0,,J. Duren REBOUND (Off:0 Def:5),[1631105],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,Duren,J. Duren,,,,,,,,,66.0,5.0,5.0,0.0,,,,,,,,
68,PT06M48.00S,2024-11-26T00:22:21.7Z,1,REGULAR,3pt,Jump Shot,[],203501,6.783837056504599,4.411764705882353,1610612765,16,5,2024-11-26T00:22:26Z,660000,False,228.0,11.0,1,left,MISS T. Hardaway Jr. 3PT,[203501],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,Hardaway Jr.,T. Hardaway Jr.,,,22.82,Missed,,,,,,,,,,,,,,,,
69,PT06M45.00S,2024-11-26T00:22:24.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,16,5,2024-11-26T00:22:26Z,670000,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,Barnes,S. Barnes,,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,
70,PT06M32.00S,2024-11-26T00:22:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,87.72996057818659,40.19607843137255,1610612761,16,7,2024-11-26T00:22:43Z,680000,False,-49.0,63.0,1,right,R. Barrett 7' driving Layup (2 PTS) (J. Poeltl 2 AST),"[1629628, 1627751]",1610612761.0,TOR,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Barrett,R. Barrett,,,7.97,Made,2.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,
72,PT06M11.00S,2024-11-26T00:22:58.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612765,16,7,2024-11-26T00:23:11Z,700000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Duren 2 FT),"[1627751, 1631105]",1610612761.0,TOR,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Poeltl,J. Poeltl,,,,,,,,,,,,,1628954.0,1.0,0.0,Duren,1631105.0,,,
74,PT06M11.00S,2024-11-26T00:23:40.5Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,17,7,2024-11-26T00:23:40Z,720000,False,,,0,,J. Duren Free Throw 1 of 2 (5 PTS),[1631105],1610612765.0,DET,,,,,,,,,,Duren,J. Duren,,,,Made,5.0,,,,,,,,,,,,,,,
75,PT06M11.00S,2024-11-26T00:23:41.3Z,1,REGULAR,substitution,out,[],1630567,,,1610612765,17,7,2024-11-26T00:23:50Z,730000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2024-11-26T00:23:41.3Z,1,REGULAR,substitution,out,[],1627751,,,1610612765,17,7,2024-11-26T00:23:50Z,740000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,,,,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2024-11-26T00:23:41.3Z,1,REGULAR,substitution,in,[],1628981,,,1610612765,17,7,2024-11-26T00:23:50Z,750000,False,,,0,,SUB in: B. Fernando,[1628981],1610612761.0,TOR,,,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,
78,PT06M11.00S,2024-11-26T00:23:41.3Z,1,REGULAR,substitution,in,[],1628449,,,1610612765,17,7,2024-11-26T00:23:50Z,760000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,,,,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2024-11-26T00:24:10.6Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,18,7,2024-11-26T00:24:10Z,770000,False,,,0,,J. Duren Free Throw 2 of 2 (6 PTS),[1631105],1610612765.0,DET,,,,,,,,,,Duren,J. Duren,,,,Made,6.0,,,,,,,,,,,,,,,
80,PT05M58.00S,2024-11-26T00:24:25.4Z,1,REGULAR,3pt,Jump Shot,[],1630558,72.66343626806832,81.39552696078431,1610612761,18,7,2024-11-26T00:25:28Z,780000,False,157.0,204.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,Mitchell,D. Mitchell,,,25.78,Missed,,,,,,,,,,,,,,,,
81,PT05M55.00S,2024-11-26T00:24:28.4Z,1,REGULAR,rebound,offensive,[],1628981,,,1610612761,18,7,2024-11-26T00:25:28Z,790000,False,,,0,,B. Fernando REBOUND (Off:1 Def:0),[1628981],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,Fernando,B. Fernando,,,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,
82,PT05M53.00S,2024-11-26T00:24:30.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628449,69.07030223390277,67.8921568627451,1610612761,18,7,2024-11-26T00:25:46Z,800000,False,89.0,238.0,1,right,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,Boucher,C. Boucher,,,25.45,Missed,,,,,,,,,,,,,,,,
83,PT05M51.00S,2024-11-26T00:24:32.5Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,18,7,2024-11-26T00:25:46Z,810000,False,,,0,,J. Ivey REBOUND (Off:0 Def:2),[1631093],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,Ivey,J. Ivey,,,,,,,,,82.0,2.0,2.0,0.0,,,,,,,,
84,PT05M44.00S,2024-11-26T00:24:37.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627736,7.440867279894875,3.1862745098039214,1610612765,21,7,2024-11-26T00:24:47Z,820000,False,234.0,17.0,1,left,M. Beasley 3PT running (9 PTS) (J. Ivey 4 AST),"[1627736, 1631093]",1610612765.0,DET,running,,,,,,Right Corner 3,24+ Right,,Beasley,M. Beasley,,,23.47,Made,9.0,J. Ivey,1631093.0,4.0,,,,,,,,,,,,
86,PT05M42.00S,2024-11-26T00:24:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,21,7,2024-11-26T00:24:47Z,840000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M42.00S,2024-11-26T00:25:44.4Z,1,REGULAR,substitution,out,[],1631105,,,1610612761,21,7,2024-11-26T00:27:29Z,850000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,,,,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,
