actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
24,PT09M41.00S,2025-01-17T00:13:15.7Z,1,REGULAR,3pt,Jump Shot,[],203501,65.22667542706964,66.42156862745098,1610612765,3,5,2025-01-17T00:13:20Z,240000,False,82.0,274.0,1,right,T. Hardaway Jr. 28' 3PT  (3 PTS) (T. Harris 1 AST),"[203501, 202699]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,28.64,Made,,,,,3.0,T. Harris,202699.0,1.0,,,,,,,,,,
26,PT09M27.00S,2025-01-17T00:13:29.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630169,7.408015768725363,41.666666666666664,1610612754,3,5,2025-01-17T00:13:34Z,260000,False,42.0,17.0,1,left,MISS T. Haliburton driving bank Hook,[1630169],1610612754.0,IND,driving bank,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,4.51,Missed,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2025-01-17T00:13:32.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,3,5,2025-01-17T00:13:32Z,270000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M19.00S,2025-01-17T00:13:37.9Z,1,REGULAR,3pt,Jump Shot,[],203501,85.72601839684626,3.67647058823529,1610612765,6,5,2025-01-17T00:14:20Z,280000,False,-232.0,82.0,1,right,T. Hardaway Jr. 24' 3PT  (6 PTS) (A. Thompson 1 AST),"[203501, 1641709]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,24.56,Made,,,,,6.0,A. Thompson,1641709.0,1.0,,,,,,,,,,
30,PT08M56.00S,2025-01-17T00:14:00.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,27.38173455978975,85.5392156862745,1610612754,6,5,2025-01-17T00:14:51Z,300000,False,-178.0,205.0,1,left,MISS M. Turner 27' step back 3PT,[1626167],1610612754.0,IND,step back,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,27.12,Missed,,,,,,,,,,,,,,,,,,
31,PT08M54.00S,2025-01-17T00:14:02.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,5,2025-01-17T00:14:04Z,310000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,,,
32,PT08M50.00S,2025-01-17T00:14:07.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,70.08869908015768,20.09803921568627,1610612765,9,5,2025-01-17T00:15:11Z,320000,False,-150.0,229.0,1,right,T. Hardaway Jr. 27' 3PT running (9 PTS) (C. Cunningham 1 AST),"[203501, 1630595]",1610612765.0,DET,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,27.32,Made,,,,,9.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,
34,PT08M50.00S,2025-01-17T00:14:17.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,9,5,2025-01-17T00:14:17Z,340000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M32.00S,2025-01-17T00:17:15.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.84954007884363,23.529411764705884,1610612754,9,5,2025-01-17T00:17:22Z,350000,False,132.0,247.0,1,left,MISS T. Haliburton 28' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,28.02,Missed,,,,,,,,,,,,,,,,,,
36,PT08M29.00S,2025-01-17T00:17:18.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,9,5,2025-01-17T00:17:22Z,360000,False,,,0,,J. Duren REBOUND (Off:0 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,35.0,4.0,4.0,0.0,,,,,,,,,,,,,,
37,PT08M20.00S,2025-01-17T00:17:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,81.7838370565046,39.950980392156865,1610612765,9,5,2025-01-17T00:17:36Z,370000,False,-50.0,119.0,1,right,MISS C. Cunningham 12' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
38,PT08M17.00S,2025-01-17T00:17:30.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,9,5,2025-01-17T00:17:36Z,380000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M15.00S,2025-01-17T00:17:33.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,25.673455978975028,88.48039215686275,1610612754,9,8,2025-01-17T00:17:54Z,390000,False,-192.0,189.0,1,left,A. Nesmith 26' 3PT running (3 PTS) (P. Siakam 2 AST),"[1630174, 1627783]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.96,Made,,,,,3.0,P. Siakam,1627783.0,2.0,,,,,,,,,,
41,PT08M05.00S,2025-01-17T00:17:43.2Z,1,REGULAR,turnover,bad pass,[],1641709,,,1610612765,9,8,2025-01-17T00:17:47Z,410000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641709, 1627783]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,,
42,PT08M05.00S,2025-01-17T00:17:43.2Z,1,REGULAR,steal,,[],1627783,,,1610612754,9,8,2025-01-17T00:17:45Z,420000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M01.00S,2025-01-17T00:17:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,5.699737187910642,45.58823529411765,1610612754,9,10,2025-01-17T00:17:53Z,430000,False,22.0,1.0,1,left,P. Siakam running Layup (2 PTS),[1627783],1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,2.0,,,,,,,,,,,,,
45,PT07M43.00S,2025-01-17T00:18:20.5Z,1,REGULAR,foul,technical,['1freethrow'],1627783,,,1610612765,9,10,2025-01-17T00:18:26Z,450000,False,,,0,,P. Siakam defensive-3-second technical FOUL (1 Tech),[1627783],1610612754.0,IND,defensive-3-second,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,2714.0,0.0,1.0,,,,
46,PT07M43.00S,2025-01-17T00:18:32.4Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612765,9,10,2025-01-17T00:18:38Z,460000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,
47,PT07M43.00S,2025-01-17T00:18:43.8Z,1,REGULAR,freethrow,1 of 1,[],203501,,,1610612765,10,10,2025-01-17T00:18:43Z,470000,False,,,0,,T. Hardaway Jr. technical Free Throw 1 of 1 (10 PTS),[203501],1610612765.0,DET,technical,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
48,PT07M36.00S,2025-01-17T00:18:59.2Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,10,10,2025-01-17T00:19:04Z,480000,False,,,0,,C. Cunningham bad pass TURNOVER (2 TO),"[1630595, 1630169]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2.0,Haliburton,1630169.0,,,,,,,
49,PT07M36.00S,2025-01-17T00:18:59.2Z,1,REGULAR,steal,,[],1630169,,,1610612754,10,10,2025-01-17T00:19:01Z,490000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
50,PT07M30.00S,2025-01-17T00:19:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630169,6.4881734559789805,41.42156862745098,1610612754,10,10,2025-01-17T00:19:10Z,500000,False,43.0,8.0,1,left,MISS T. Haliburton running Layup,[1630169],1610612754.0,IND,running,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,4.37,Missed,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2025-01-17T00:19:05.8Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,10,10,2025-01-17T00:36:36Z,510000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M23.00S,2025-01-17T00:19:11.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641709,92.42772667542707,44.607843137254896,1610612765,10,10,2025-01-17T00:19:21Z,520000,False,-27.0,19.0,1,right,MISS A. Thompson running DUNK - blocked,"[1641709, 1626167]",1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.28,Missed,,,,,,,,,,,,,,,Turner,1626167.0,,
53,PT07M23.00S,2025-01-17T00:19:11.1Z,1,REGULAR,block,,[],1626167,,,1610612765,10,10,2025-01-17T00:19:13Z,530000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M22.00S,2025-01-17T00:19:12.1Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,10,10,2025-01-17T00:19:21Z,540000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
55,PT07M20.00S,2025-01-17T00:19:15.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",1641709,93.47897503285151,45.34313725490197,1610612765,12,10,2025-01-17T00:20:39Z,550000,False,-23.0,9.0,1,right,A. Thompson putback Layup (2 PTS),[1641709],1610612765.0,DET,putback,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.49,Made,,,,,2.0,,,,,,,,,,,,,
56,PT07M07.00S,2025-01-17T00:19:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,7.276609724047319,45.58823529411765,1610612754,12,12,2025-01-17T00:20:56Z,560000,False,22.0,16.0,1,left,A. Nesmith driving Layup (5 PTS) (P. Siakam 3 AST),"[1630174, 1627783]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,5.0,P. Siakam,1627783.0,3.0,,,,,,,,,,
58,PT06M48.00S,2025-01-17T00:19:46.1Z,1,REGULAR,3pt,Jump Shot,[],203501,73.37385019710908,12.25490196078431,1610612765,12,12,2025-01-17T00:19:49Z,580000,False,-189.0,198.0,1,right,MISS T. Hardaway Jr. 27' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,27.34,Missed,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2025-01-17T00:19:48.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,12,12,2025-01-17T00:19:49Z,590000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT06M40.00S,2025-01-17T00:19:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,30.404073587385014,23.284313725490193,1610612754,12,15,2025-01-17T00:21:41Z,600000,False,134.0,233.0,1,left,A. Nesmith 26' 3PT running (8 PTS) (A. Nembhard 2 AST),"[1630174, 1629614]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.88,Made,,,,,8.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,
62,PT06M25.00S,2025-01-17T00:20:18.5Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612765,12,15,2025-01-17T00:22:42Z,620000,False,,,0,,A. Nesmith flagrant-type-1 personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[1630174, 203501]",1610612754.0,IND,flagrant-type-1,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1629178.0,1.0,0.0,,,Hardaway Jr.,203501.0
70,PT06M25.00S,2025-01-17T00:21:33.9Z,1,REGULAR,substitution,out,[],1630174,,,1610612765,12,15,2025-01-17T00:23:32Z,645000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2025-01-17T00:21:33.9Z,1,REGULAR,substitution,in,[],1641716,,,1610612765,12,15,2025-01-17T00:23:32Z,647500,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2025-01-17T00:22:36.6Z,1,REGULAR,freethrow,1 of 2,[],203501,,,1610612765,13,15,2025-01-17T00:22:49Z,650000,False,,,0,,T. Hardaway Jr. flagrant Free Throw 1 of 2 (11 PTS),[203501],1610612765.0,DET,flagrant,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
66,PT06M25.00S,2025-01-17T00:22:36.6Z,1,REGULAR,freethrow,2 of 2,[],203501,,,1610612765,14,15,2025-01-17T00:22:49Z,660000,False,,,0,,T. Hardaway Jr. flagrant Free Throw 2 of 2 (12 PTS),[203501],1610612765.0,DET,flagrant,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
67,PT06M17.00S,2025-01-17T00:23:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,88.61695137976346,41.17647058823529,1610612765,14,15,2025-01-17T00:24:50Z,670000,False,-44.0,55.0,1,right,MISS T. Hardaway Jr. 7' driving floating Shot,[203501],1610612765.0,DET,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2025-01-17T00:23:18.7Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,14,15,2025-01-17T00:41:32Z,680000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M08.00S,2025-01-17T00:23:43.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641716,6.225361366622863,44.36274509803921,1610612754,14,17,2025-01-17T00:26:12Z,700000,False,28.0,6.0,1,left,J. Walker running Layup (2 PTS) (T. Haliburton 1 AST),"[1641716, 1630169]",1610612754.0,IND,running,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
73,PT05M45.00S,2025-01-17T00:23:47.5Z,1,REGULAR,turnover,lost ball,[],203501,,,1610612765,14,17,2025-01-17T00:26:55Z,710000,False,,,0,,T. Hardaway Jr. lost ball TURNOVER (1 TO),"[203501, 1626167]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Turner,1626167.0,,,,,,,
83,PT05M45.00S,2025-01-17T00:23:47.5Z,1,REGULAR,steal,,[],1626167,,,1610612754,14,17,2025-01-17T00:39:49Z,715000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M35.00S,2025-01-17T00:23:54.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626167,35.134691195795014,62.745098039215684,1610612754,14,20,2025-01-17T00:28:01Z,720000,False,-64.0,278.0,1,left,M. Turner 28' 3PT running (8 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,28.5,Made,,,,,8.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
77,PT05M35.00S,2025-01-17T00:24:25.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,20,2025-01-17T00:24:25Z,740000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M35.00S,2025-01-17T00:24:35.3Z,1,REGULAR,substitution,out,[],1641709,,,1610612765,14,20,2025-01-17T00:26:36Z,750000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2025-01-17T00:24:35.3Z,1,REGULAR,substitution,in,[],1627736,,,1610612765,14,20,2025-01-17T00:26:36Z,760000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M29.00S,2025-01-17T00:26:55.2Z,1,REGULAR,turnover,bad pass,[],1627736,,,1610612765,14,20,2025-01-17T00:26:59Z,780000,False,,,0,,M. Beasley bad pass TURNOVER (1 TO),"[1627736, 1626167]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Turner,1626167.0,,,,,,,
86,PT05M29.00S,2025-01-17T00:26:55.2Z,1,REGULAR,steal,,[],1626167,,,1610612754,14,20,2025-01-17T00:26:57Z,790000,False,,,0,,M. Turner STEAL (2 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
87,PT05M16.00S,2025-01-17T00:27:07.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,13.18988173455979,77.69607843137254,1610612754,14,20,2025-01-17T00:28:46Z,800000,False,-138.0,71.0,1,left,MISS P. Siakam 15' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,15.59,Missed,,,,,,,,,,,,,,,,,,
88,PT05M13.00S,2025-01-17T00:27:10.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,14,20,2025-01-17T00:27:13Z,810000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,
