actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
25,PT09M42.00S,2024-12-04T00:15:13.6Z,1,REGULAR,block,,[],203507,,,1610612765,4,7,2024-12-04T00:15:16Z,250000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2024-12-04T00:15:17.6Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,4,7,2024-12-04T00:15:19Z,260000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M25.00S,2024-12-04T00:15:28.7Z,1,REGULAR,3pt,Jump Shot,[],203081,64.70105124835743,47.30392156862745,1610612749,4,10,2024-12-04T00:15:32Z,270000,False,-13.0,279.0,1,right,D. Lillard 27' 3PT  (7 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,27.96,Made,7.0,,,,,,,,,,,,,G. Antetokounmpo,203507.0,1.0,,
149,PT09M13.00S,2024-12-04T00:15:35.1Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,4,10,2024-12-04T00:58:51Z,285000,False,,,0,,J. Ivey lost ball TURNOVER (1 TO),"[1631093, 201572]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Lopez,201572.0
150,PT09M13.00S,2024-12-04T00:15:35.1Z,1,REGULAR,steal,,[],201572,,,1610612749,4,10,2024-12-04T00:58:59Z,287500,False,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M10.00S,2024-12-04T00:15:48.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641748,92.95335085413929,51.22549019607843,1610612749,4,10,2024-12-04T00:59:34Z,335000,False,6.0,14.0,1,right,MISS A. Jackson Jr. running DUNK - blocked,"[1641748, 1631105]",1610612749.0,MIL,running,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,Duren,1631105.0,,,,,
111,PT09M10.00S,2024-12-04T00:15:48.7Z,1,REGULAR,block,,[],1631105,,,1610612749,4,10,2024-12-04T00:29:46Z,336250,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M10.00S,2024-12-04T00:15:48.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,4,10,2024-12-04T00:20:00Z,337500,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,40.0,,,,,,,,,,,,,,,,
34,PT09M10.00S,2024-12-04T00:16:12.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,4,10,2024-12-04T00:20:00Z,340000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2024-12-04T00:19:25.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,12.401445466491452,63.970588235294116,1610612765,6,10,2024-12-04T00:20:02Z,360000,False,-70.0,64.0,1,left,T. Hardaway Jr. 9' fadeaway bank Jump Shot (2 PTS) (C. Cunningham 1 AST),"[203501, 1630595]",1610612765.0,DET,fadeaway bank,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,9.48,Made,2.0,,,,,,,,,,,,,C. Cunningham,1630595.0,1.0,,
37,PT08M37.00S,2024-12-04T00:19:51.4Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,6,10,2024-12-04T00:20:47Z,370000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 202699]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,,,,,Harris,202699.0
38,PT08M37.00S,2024-12-04T00:19:51.4Z,1,REGULAR,steal,,[],202699,,,1610612765,6,10,2024-12-04T00:19:56Z,380000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2024-12-04T00:19:57.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,7.276609724047319,46.81372549019608,1610612765,8,10,2024-12-04T00:21:27Z,390000,False,16.0,16.0,1,left,T. Harris running DUNK (2 PTS),[202699],1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.25,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M05.00S,2024-12-04T00:20:20.4Z,1,REGULAR,3pt,Jump Shot,[],203081,68.51182654402103,74.01960784313725,1610612749,8,10,2024-12-04T00:21:51Z,400000,False,120.0,243.0,1,right,MISS D. Lillard 27' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,27.15,Missed,,,,,,,,,,,,,,,,,,
43,PT08M04.00S,2024-12-04T00:20:21.4Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,8,10,2024-12-04T00:21:48Z,410000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,
44,PT07M57.00S,2024-12-04T00:20:24.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631105,7.539421813403408,54.411764705882355,1610612765,10,10,2024-12-04T00:22:21Z,420000,False,-22.0,18.0,1,left,J. Duren running alley-oop DUNK (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,running alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.88,Made,4.0,,,,,,,,,,,,,C. Cunningham,1630595.0,2.0,,
46,PT07M35.00S,2024-12-04T00:20:46.9Z,1,REGULAR,3pt,Jump Shot,[],201572,70.22010512483574,89.4607843137255,1610612749,10,10,2024-12-04T00:20:51Z,440000,False,197.0,227.0,1,right,MISS B. Lopez 30' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,30.11,Missed,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2024-12-04T00:20:49.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,10,10,2024-12-04T00:20:51Z,450000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT07M22.00S,2024-12-04T00:20:59.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,10.036136662286467,46.568627450980394,1610612765,12,10,2024-12-04T00:21:04Z,460000,False,17.0,42.0,1,left,J. Duren Hook (6 PTS) (T. Harris 1 AST),"[1631105, 202699]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.52,Made,6.0,,,,,,,,,,,,,T. Harris,202699.0,1.0,,
50,PT07M07.00S,2024-12-04T00:21:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.66162943495401,44.85294117647059,1610612749,12,12,2024-12-04T00:23:43Z,480000,False,-26.0,-2.0,1,right,G. Antetokounmpo driving finger roll Layup (5 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.58,Made,5.0,,,,,,,,,,,,,,,,,
51,PT06M55.00S,2024-12-04T00:21:26.1Z,1,REGULAR,3pt,Jump Shot,[],203501,30.535479632063073,21.32352941176471,1610612765,15,12,2024-12-04T00:21:33Z,490000,False,143.0,235.0,1,left,T. Hardaway Jr. 27' 3PT  (5 PTS) (J. Ivey 1 AST),"[203501, 1631093]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,27.49,Made,5.0,,,,,,,,,,,,,J. Ivey,1631093.0,1.0,,
53,PT06M46.00S,2024-12-04T00:21:38.4Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,15,12,2024-12-04T00:24:37Z,510000,False,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (2 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,201246.0,2.0,,,,,,,,,,,
54,PT06M46.00S,2024-12-04T00:21:42.2Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,15,12,2024-12-04T00:21:51Z,520000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2024-12-04T00:21:42.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612765,15,12,2024-12-04T00:21:51Z,530000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M37.00S,2024-12-04T00:22:01.9Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,15,12,2024-12-04T00:22:14Z,540000,False,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1641748]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,,,,,,,,,,Jackson Jr.,1641748.0
57,PT06M37.00S,2024-12-04T00:22:01.9Z,1,REGULAR,steal,,[],1641748,,,1610612749,15,12,2024-12-04T00:22:04Z,550000,False,,,0,,A. Jackson Jr. STEAL (1 STL),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
58,PT06M32.00S,2024-12-04T00:22:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641748,94.26741130091985,44.11764705882353,1610612749,15,14,2024-12-04T00:22:18Z,560000,False,-29.0,1.0,1,right,A. Jackson Jr. running Layup (2 PTS),[1641748],1610612749.0,MIL,running,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,2.94,Made,2.0,,,,,,,,,,,,,,,,,
59,PT06M24.00S,2024-12-04T00:22:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,6.093955321944804,54.65686274509804,1610612765,17,14,2024-12-04T00:22:21Z,570000,False,-23.0,5.0,1,left,J. Duren cutting Layup (8 PTS) (T. Hardaway Jr. 1 AST),"[1631105, 203501]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.38,Made,8.0,,,,,,,,,,,,,T. Hardaway Jr.,203501.0,1.0,,
61,PT06M24.00S,2024-12-04T00:22:22.4Z,1,REGULAR,foul,personal,['1freethrow'],201572,,,1610612765,17,14,2024-12-04T00:22:31Z,590000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Duren 1 FT),"[201572, 1631105]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,,1.0,0.0,Duren,1631105.0,,,,,,,
63,PT06M24.00S,2024-12-04T00:22:50.8Z,1,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,18,14,2024-12-04T00:22:50Z,610000,False,,,0,,J. Duren Free Throw 1 of 1 (9 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2024-12-04T00:23:09.4Z,1,REGULAR,turnover,bad pass,[],1627752,,,1610612749,18,14,2024-12-04T00:23:13Z,620000,False,,,0,,T. Prince bad pass TURNOVER (1 TO),"[1627752, 1631105]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,,,Duren,1631105.0
65,PT06M06.00S,2024-12-04T00:23:09.4Z,1,REGULAR,steal,,[],1631105,,,1610612765,18,14,2024-12-04T00:23:11Z,630000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2024-12-04T00:23:16.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,7.802233902759525,57.59803921568628,1610612765,18,14,2024-12-04T00:26:06Z,640000,False,-38.0,21.0,1,left,MISS T. Harris running Layup,[202699],1610612765.0,DET,running,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,4.33,Missed,,,,,,,,,,,,,,,,,,
67,PT05M56.00S,2024-12-04T00:23:19.8Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,18,14,2024-12-04T00:23:21Z,650000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT05M47.00S,2024-12-04T00:23:29.0Z,1,REGULAR,3pt,Jump Shot,[],1627752,67.19776609724047,39.21568627450981,1610612749,18,17,2024-12-04T00:23:34Z,660000,False,-54.0,256.0,1,right,T. Prince 26' 3PT  (3 PTS) (A. Jackson Jr. 1 AST),"[1627752, 1641748]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,26.14,Made,3.0,,,,,,,,,,,,,A. Jackson Jr.,1641748.0,1.0,,
71,PT05M25.00S,2024-12-04T00:23:50.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,10.693166885676746,47.549019607843135,1610612765,18,17,2024-12-04T00:26:46Z,680000,False,12.0,48.0,1,left,MISS C. Cunningham driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,,,,,,,,,,,,,
72,PT05M22.00S,2024-12-04T00:23:53.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,18,17,2024-12-04T00:23:54Z,690000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,
73,PT05M20.00S,2024-12-04T00:23:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612749,18,17,2024-12-04T00:24:27Z,700000,False,,,0,,J. Duren shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1631105, 203507]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202041.0,,2.0,0.0,Antetokounmpo,203507.0,,,,,,,
76,PT05M20.00S,2024-12-04T00:24:44.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,18,18,2024-12-04T00:27:05Z,720000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (6 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
77,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,out,[],1631105,,,1610612749,18,18,2024-12-04T00:25:09Z,730000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,out,[],203501,,,1610612749,18,18,2024-12-04T00:25:09Z,740000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,out,[],203081,,,1610612749,18,18,2024-12-04T00:25:09Z,750000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,out,[],201572,,,1610612749,18,18,2024-12-04T00:25:09Z,760000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,in,[],1630191,,,1610612749,18,18,2024-12-04T00:25:09Z,770000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,in,[],1641709,,,1610612749,18,18,2024-12-04T00:25:09Z,780000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,18,18,2024-12-04T00:25:09Z,790000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M20.00S,2024-12-04T00:24:46.9Z,1,REGULAR,substitution,in,[],1626153,,,1610612749,18,18,2024-12-04T00:25:09Z,800000,False,,,0,,SUB in: D. Wright,[1626153],1610612749.0,MIL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M20.00S,2024-12-04T00:24:44.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,18,19,2024-12-04T00:27:05Z,810000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (7 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
86,PT05M02.00S,2024-12-04T00:25:32.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,25.936268068331145,89.95098039215686,1610612765,18,19,2024-12-04T00:25:37Z,820000,False,-200.0,191.0,1,left,MISS M. Beasley 27' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,27.66,Missed,,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2024-12-04T00:25:34.9Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612749,18,19,2024-12-04T00:25:34Z,830000,False,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612749.0,MIL,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,
