actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT10M37.00S,2024-12-17T00:13:10.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,3,2024-12-17T00:13:13Z,190000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,18.0,,,,,,,,,,1.0,1.0,0.0,,
20,PT10M15.00S,2024-12-17T00:13:33.1Z,1,REGULAR,2pt,Jump Shot,[],1627736,24.490801576872528,32.35294117647058,1610612765,5,3,2024-12-17T00:13:38Z,200000,False,88.0,178.0,1,left,M. Beasley 19' pullup Jump Shot (5 PTS),[1627736],1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Right Center,,,,19.84,Made,,,,,,,5.0,,,,,,,,
21,PT10M08.00S,2024-12-17T00:13:43.2Z,1,REGULAR,foul,personal,[],1641709,,,1610612748,5,3,2024-12-17T00:13:51Z,210000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641709, 1629639]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,200832.0,1.0,0.0,Herro,1629639.0,,,,,,,,,
23,PT09M49.00S,2024-12-17T00:14:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.9664914586071,48.28431372549019,1610612748,5,5,2024-12-17T00:14:49Z,230000,False,-9.0,108.0,1,right,B. Adebayo 10' fadeaway Jump Shot (5 PTS),[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,10.79,Made,,,,,,,5.0,,,,,,,,
24,PT09M35.00S,2024-12-17T00:14:28.0Z,1,REGULAR,3pt,Jump Shot,[],203501,35.134691195795014,61.029411764705884,1610612765,8,5,2024-12-17T00:14:33Z,240000,False,-55.0,278.0,1,left,T. Hardaway Jr. 28' 3PT  (3 PTS) (C. Cunningham 2 AST),"[203501, 1630595]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,28.32,Made,,,,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,
26,PT09M17.00S,2024-12-17T00:14:46.5Z,1,REGULAR,turnover,lost ball,[],1629130,,,1610612748,8,5,2024-12-17T00:14:56Z,260000,False,,,0,,D. Robinson lost ball TURNOVER (2 TO),"[1629130, 1641709]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,2.0,Thompson,1641709.0,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2024-12-17T00:14:46.5Z,1,REGULAR,steal,,[],1641709,,,1610612765,8,5,2024-12-17T00:14:51Z,270000,False,,,0,,A. Thompson STEAL (2 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M13.00S,2024-12-17T00:14:52.6Z,1,REGULAR,turnover,bad pass,[],1641709,,,1610612765,8,5,2024-12-17T00:15:02Z,280000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641709, 1629130]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,1.0,Robinson,1629130.0,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2024-12-17T00:14:52.6Z,1,REGULAR,steal,,[],1629130,,,1610612748,8,5,2024-12-17T00:20:05Z,290000,False,,,0,,D. Robinson STEAL (1 STL),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M13.00S,2024-12-17T00:14:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612748,8,5,2024-12-17T00:15:09Z,300000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1631105, 1628389]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
32,PT09M13.00S,2024-12-17T00:15:26.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,8,6,2024-12-17T00:15:26Z,320000,False,,,0,,B. Adebayo Free Throw 1 of 2 (6 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,,,,,,,6.0,,,,,,,,
33,PT09M13.00S,2024-12-17T00:15:27.1Z,1,REGULAR,substitution,out,[],1641709,,,1610612748,8,6,2024-12-17T00:15:36Z,330000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M13.00S,2024-12-17T00:15:27.1Z,1,REGULAR,substitution,out,[],1629312,,,1610612748,8,6,2024-12-17T00:15:36Z,340000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M13.00S,2024-12-17T00:15:27.1Z,1,REGULAR,substitution,in,[],1631323,,,1610612748,8,6,2024-12-17T00:15:36Z,350000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M13.00S,2024-12-17T00:15:27.1Z,1,REGULAR,substitution,in,[],1630696,,,1610612748,8,6,2024-12-17T00:15:36Z,360000,False,,,0,,SUB in: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2024-12-17T00:15:48.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,8,7,2024-12-17T00:15:48Z,370000,False,,,0,,B. Adebayo Free Throw 2 of 2 (7 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,,,,,,,7.0,,,,,,,,
38,PT08M58.00S,2024-12-17T00:16:05.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630595,14.766754270696453,49.26470588235294,1610612765,10,7,2024-12-17T00:17:04Z,380000,False,4.0,86.0,1,left,C. Cunningham 8' driving Hook (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,8.64,Made,,,,,,,2.0,,,,,,,,
39,PT08M50.00S,2024-12-17T00:16:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,90.5880420499343,57.59803921568628,1610612748,10,9,2024-12-17T00:17:34Z,390000,False,38.0,36.0,1,right,T. Herro driving Layup (2 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,5.23,Made,,,,,,,2.0,,,,,,,,
40,PT08M40.00S,2024-12-17T00:16:24.2Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,10,9,2024-12-17T00:16:28Z,400000,False,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 202710]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Right Center,1.0,Butler,202710.0,,,,,,,,,,,,,,,,,
41,PT08M40.00S,2024-12-17T00:16:24.2Z,1,REGULAR,steal,,[],202710,,,1610612748,10,9,2024-12-17T00:16:26Z,410000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2024-12-17T00:16:29.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629639,94.13600525624179,4.411764705882348,1610612748,10,9,2024-12-17T00:16:35Z,420000,False,-228.0,3.0,1,right,MISS T. Herro running 3PT,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,22.79,Missed,,,,,,,,,,,,,,,
43,PT08M32.00S,2024-12-17T00:16:32.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,10,9,2024-12-17T00:16:35Z,430000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,,,,42.0,,,,,,,,,,2.0,2.0,0.0,,
44,PT08M28.00S,2024-12-17T00:16:36.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,31.980946123521676,65.44117647058823,1610612765,13,9,2024-12-17T00:16:43Z,440000,False,-77.0,248.0,1,left,T. Hardaway Jr. 25' 3PT running pullup (6 PTS),[203501],1610612765.0,DET,running pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,25.98,Made,,,,,,,6.0,,,,,,,,
45,PT08M15.00S,2024-12-17T00:16:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,93.2161629434954,37.00980392156863,1610612748,13,11,2024-12-17T00:19:03Z,450000,False,-65.0,11.0,1,right,J. Butler 6' driving floating bank Jump Shot (2 PTS),[202710],1610612748.0,MIA,driving floating bank,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,6.6,Made,,,,,,,2.0,,,,,,,,
47,PT08M00.00S,2024-12-17T00:17:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,13.715505913272011,55.14705882352941,1610612765,13,11,2024-12-17T00:20:06Z,470000,False,-26.0,76.0,1,left,MISS S. Fontecchio 8' driving Layup,[1631323],1610612765.0,DET,driving,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,8.06,Missed,,,,,,,,,,,,,,,
48,PT07M58.00S,2024-12-17T00:17:06.6Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,13,11,2024-12-17T00:20:06Z,480000,False,,,0,,J. Duren REBOUND (Off:1 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,47.0,,,,,,,,,,3.0,2.0,1.0,,
49,PT07M57.00S,2024-12-17T00:17:07.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631105,6.833114323258869,49.65150122549019,1610612765,15,11,2024-12-17T00:20:36Z,490000,False,2.0,12.0,1,left,J. Duren putback DUNK (2 PTS),[1631105],1610612765.0,DET,putback,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,1.18,Made,,,,,,,2.0,,,,,,,,
50,PT07M41.00S,2024-12-17T00:17:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,91.50788436268068,44.36274509803921,1610612748,15,11,2024-12-17T00:21:13Z,500000,False,-28.0,27.0,1,right,MISS T. Herro driving Layup - blocked,"[1629639, 1631105]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,3.92,Missed,,,,,,,,,,,,,,Duren,1631105.0
51,PT07M41.00S,2024-12-17T00:17:24.8Z,1,REGULAR,block,,[],1631105,,,1610612748,15,11,2024-12-17T00:17:28Z,510000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M39.00S,2024-12-17T00:17:26.8Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612765,15,11,2024-12-17T00:21:13Z,520000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,,,,50.0,,,,,,,,,,1.0,1.0,0.0,,
53,PT07M35.00S,2024-12-17T00:17:31.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630595,9.904730617608408,49.01960784313726,1610612765,17,11,2024-12-17T00:17:37Z,530000,False,5.0,41.0,1,left,C. Cunningham running Layup (4 PTS),[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,4.09,Made,,,,,,,4.0,,,,,,,,
54,PT07M35.00S,2024-12-17T00:17:36.3Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612765,17,11,2024-12-17T00:17:47Z,540000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Cunningham 1 FT),"[1629130, 1630595]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200832.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
56,PT07M35.00S,2024-12-17T00:18:01.9Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630595,,,1610612765,17,11,2024-12-17T00:18:01Z,560000,False,,,0,,MISS C. Cunningham Free Throw 1 of 1,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
57,PT07M32.00S,2024-12-17T00:18:03.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,17,11,2024-12-17T00:18:03Z,570000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,56.0,,,,,,,,,,1.0,1.0,0.0,,
58,PT07M21.00S,2024-12-17T00:18:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,88.2227332457293,51.71568627450981,1610612748,17,11,2024-12-17T00:18:20Z,580000,False,9.0,58.0,1,right,MISS D. Robinson floating Shot,[1629130],1610612748.0,MIA,floating,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.88,Missed,,,,,,,,,,,,,,,
59,PT07M18.00S,2024-12-17T00:18:17.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,17,11,2024-12-17T00:18:20Z,590000,False,,,0,,J. Duren REBOUND (Off:1 Def:3),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,58.0,,,,,,,,,,4.0,3.0,1.0,,
60,PT07M10.00S,2024-12-17T00:18:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,9.247700394218143,43.872549019607845,1610612765,19,11,2024-12-17T00:18:33Z,600000,False,31.0,34.0,1,left,C. Cunningham driving Layup (6 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,4.6,Made,,,,,,,6.0,,,,,,,,
61,PT07M10.00S,2024-12-17T00:18:32.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,19,11,2024-12-17T00:18:32Z,610000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M10.00S,2024-12-17T00:19:24.4Z,1,REGULAR,substitution,out,[],1627736,,,1610612748,19,11,2024-12-17T00:21:22Z,620000,False,,,0,,SUB out: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M10.00S,2024-12-17T00:19:24.4Z,1,REGULAR,substitution,in,[],1641709,,,1610612748,19,11,2024-12-17T00:21:22Z,630000,False,,,0,,SUB in: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M45.00S,2024-12-17T00:21:55.2Z,1,REGULAR,3pt,Jump Shot,[],1628389,94.13600525624179,3.9215686274509807,1610612748,19,11,2024-12-17T00:21:59Z,640000,False,-230.0,3.0,1,right,MISS B. Adebayo 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,,23.04,Missed,,,,,,,,,,,,,,,
65,PT06M42.00S,2024-12-17T00:21:58.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,19,11,2024-12-17T00:21:58Z,650000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Left Corner 3,24+ Left,,,,,,64.0,,,,,,,,,,1.0,1.0,0.0,,
66,PT06M30.00S,2024-12-17T00:22:10.1Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,19,11,2024-12-17T00:27:30Z,660000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1630696]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,1.0,Smith,1630696.0,,,,,,,,,,,,,,,,,
67,PT06M30.00S,2024-12-17T00:22:10.1Z,1,REGULAR,steal,,[],1630696,,,1610612748,19,11,2024-12-17T00:27:30Z,670000,False,,,0,,D. Smith STEAL (1 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M24.00S,2024-12-17T00:22:16.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629130,75.87056504599212,87.5,1610612748,19,14,2024-12-17T00:24:12Z,680000,False,188.0,174.0,1,right,D. Robinson 25' 3PT step back (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,25.6,Made,,,,,,,3.0,J. Butler,202710.0,1.0,,,,,
69,PT06M07.00S,2024-12-17T00:22:32.9Z,1,REGULAR,3pt,Jump Shot,[],203501,15.949408672798953,4.411764705882348,1610612765,19,14,2024-12-17T00:22:38Z,690000,False,228.0,97.0,1,left,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,24.78,Missed,,,,,,,,,,,,,,,
70,PT06M04.00S,2024-12-17T00:22:35.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,19,14,2024-12-17T00:22:38Z,700000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,69.0,,,,,,,,,,2.0,2.0,0.0,,
72,PT05M51.00S,2024-12-17T00:22:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.95335085413929,39.21568627450981,1610612748,19,16,2024-12-17T00:22:59Z,710000,False,-54.0,14.0,1,right,T. Herro driving floating bank Jump Shot (4 PTS) (B. Adebayo 1 AST),"[1629639, 1628389]",1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,5.56,Made,,,,,,,4.0,B. Adebayo,1628389.0,1.0,,,,,
74,PT05M34.00S,2024-12-17T00:23:05.7Z,1,REGULAR,3pt,Jump Shot,[],1641709,33.163600525624176,69.8529411764706,1610612765,22,16,2024-12-17T00:23:14Z,730000,False,-99.0,259.0,1,left,A. Thompson 27' 3PT  (3 PTS) (C. Cunningham 3 AST),"[1641709, 1630595]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,27.76,Made,,,,,,,3.0,C. Cunningham,1630595.0,3.0,,,,,
76,PT05M17.00S,2024-12-17T00:23:22.5Z,1,REGULAR,3pt,Jump Shot,[],1630696,92.82194480946123,3.9215686274509807,1610612748,22,19,2024-12-17T00:25:15Z,750000,False,-230.0,15.0,1,right,D. Smith 3PT  (3 PTS) (J. Butler 2 AST),"[1630696, 202710]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Left Corner 3,24+ Left,,,,23.09,Made,,,,,,,3.0,J. Butler,202710.0,2.0,,,,,
78,PT05M00.00S,2024-12-17T00:23:40.2Z,1,REGULAR,3pt,Jump Shot,[],203501,18.84034165571616,6.617647058823522,1610612765,22,19,2024-12-17T00:23:46Z,770000,False,217.0,125.0,1,left,MISS T. Hardaway Jr. 25' pullup 3PT,[203501],1610612765.0,DET,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,25.01,Missed,,,,,,,,,,,,,,,
79,PT04M58.00S,2024-12-17T00:23:42.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,22,19,2024-12-17T00:25:50Z,780000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,78.0,,,,,,,,,,1.0,1.0,0.0,,
80,PT04M49.00S,2024-12-17T00:23:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,69.4316688567674,25.24509803921569,1610612748,22,19,2024-12-17T00:23:55Z,790000,False,-124.0,235.0,1,right,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,26.54,Missed,,,,,,,,,,,,,,,
81,PT04M47.00S,2024-12-17T00:23:53.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,22,19,2024-12-17T00:23:55Z,800000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,80.0,,,,,,,,,,2.0,2.0,0.0,,
82,PT04M39.00S,2024-12-17T00:24:00.5Z,1,REGULAR,turnover,bad pass,[],1631323,,,1610612765,22,19,2024-12-17T00:24:07Z,810000,False,,,0,,S. Fontecchio bad pass TURNOVER (1 TO),"[1631323, 1628389]",1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Center,1.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,
83,PT04M39.00S,2024-12-17T00:24:00.5Z,1,REGULAR,steal,,[],1628389,,,1610612748,22,19,2024-12-17T00:24:02Z,820000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
