actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
15,PT11M11.00S,2024-11-10T20:11:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630191,11.251642575558476,54.90196078431373,1610612765,0,0,2024-11-10T20:11:39Z,150000,False,-25.0,53.0,1,left,MISS I. Stewart floating Shot,[1630191],1610612765.0,DET,floating,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2024-11-10T20:11:38.9Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2024-11-10T20:11:38Z,160000,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT11M05.00S,2024-11-10T20:11:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,5.590000152587891,50.0,1610612765,2,0,2024-11-10T20:11:38Z,170000,False,0.0,0.0,1,left,I. Stewart tip Layup (2 PTS),[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M43.00S,2024-11-10T20:12:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.50262812089356,48.28431372549019,1610612745,2,2,2024-11-10T20:13:29Z,180000,False,-9.0,131.0,1,right,A. Sengun 13' floating Jump Shot (2 PTS),[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,13.11,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M35.00S,2024-11-10T20:12:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.966491458607096,40.19607843137255,1610612765,2,2,2024-11-10T20:12:19Z,190000,False,49.0,22.0,1,left,MISS C. Cunningham driving Layup - blocked,"[1630595, 1627832]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,VanVleet,1627832.0,,,,,,,,,,,
20,PT10M35.00S,2024-11-10T20:12:10.9Z,1,REGULAR,block,,[],1627832,,,1610612765,2,2,2024-11-10T20:12:15Z,200000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2024-11-10T20:12:10.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,2,2024-11-10T20:12:19Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,,,,,,,,,,,,,,,,,
23,PT10M26.00S,2024-11-10T20:12:31.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630595,13.748357424441524,33.82352941176471,1610612765,2,2,2024-11-10T20:12:36Z,230000,False,81.0,77.0,1,left,MISS C. Cunningham 11' driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,11.15,Missed,,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2024-11-10T20:12:33.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,2,2,2024-11-10T20:12:36Z,240000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Right,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M12.00S,2024-11-10T20:12:45.2Z,1,REGULAR,2pt,Jump Shot,[],1630578,88.64980289093299,68.87254901960785,1610612745,2,4,2024-11-10T20:15:08Z,250000,False,94.0,54.0,1,right,A. Sengun 10' fadeaway Jump Shot (4 PTS),[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,10.89,Made,,,,,4.0,,,,,,,,,,,,,
26,PT09M57.00S,2024-11-10T20:13:00.6Z,1,REGULAR,3pt,Jump Shot,[],202699,32.40801576872536,27.450980392156865,1610612765,2,4,2024-11-10T20:13:05Z,260000,False,113.0,252.0,1,left,MISS T. Harris 27' step back 3PT,[202699],1610612765.0,DET,step back,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,27.61,Missed,,,,,,,,,,,,,,,,,,
27,PT09M53.00S,2024-11-10T20:13:04.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,4,2024-11-10T20:17:08Z,270000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT09M51.00S,2024-11-10T20:13:09.2Z,1,REGULAR,foul,personal,[],1631093,,,1610612745,2,4,2024-11-10T20:13:29Z,280000,False,,,0,,J. Ivey personal FOUL (1 PF),"[1631093, 1627832]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2530.0,1.0,0.0,VanVleet,1627832.0,,,,,,
30,PT09M44.00S,2024-11-10T20:13:37.0Z,1,REGULAR,2pt,Jump Shot,[],1630578,75.9526938239159,51.72334558823529,1610612745,2,4,2024-11-10T20:13:42Z,300000,False,9.0,174.0,1,right,MISS A. Sengun 17' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,17.37,Missed,,,,,,,,,,,,,,,,,,
31,PT09M40.00S,2024-11-10T20:13:41.0Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,2,4,2024-11-10T20:13:42Z,310000,False,,,0,,J. Smith Jr. REBOUND (Off:2 Def:0),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,,,30.0,2.0,0.0,2.0,,,,,,,,,,,,,,
32,PT09M38.00S,2024-11-10T20:13:42.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,92.19776609724047,95.34313725490196,1610612745,2,4,2024-11-10T20:13:48Z,320000,False,227.0,21.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,22.77,Missed,,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2024-11-10T20:13:47.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,4,2024-11-10T20:13:48Z,330000,False,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
35,PT09M24.00S,2024-11-10T20:14:18.7Z,1,REGULAR,turnover,out-of-bounds,[],1630191,,,1610612765,2,4,2024-11-10T20:14:29Z,350000,False,,,0,,I. Stewart step out-of-bounds TURNOVER (1 TO),[1630191],1610612765.0,DET,step,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,,,,,,,,2530.0,,,,,1.0,,,,,
36,PT09M10.00S,2024-11-10T20:14:39.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,67.49342969776609,54.41176470588235,1610612745,2,7,2024-11-10T20:17:25Z,360000,False,22.0,253.0,1,right,J. Green 25' 3PT pullup (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.41,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M53.00S,2024-11-10T20:14:56.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,16.507884362680684,74.01960784313727,1610612765,2,7,2024-11-10T20:15:00Z,370000,False,-120.0,103.0,1,left,MISS C. Cunningham 15' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,15.8,Missed,,,,,,,,,,,,,,,,,,
38,PT08M50.00S,2024-11-10T20:14:59.2Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,2,7,2024-11-10T20:15:00Z,380000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M39.00S,2024-11-10T20:15:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,82.47371879106439,45.83333333333333,1610612745,2,9,2024-11-10T20:15:15Z,390000,False,-21.0,112.0,1,right,A. Sengun 11' turnaround fadeaway Jump Shot (6 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,11.41,Made,,,,,6.0,,,,,,,,,J. Green,1630224.0,1.0,,
41,PT08M16.00S,2024-11-10T20:15:33.1Z,1,REGULAR,3pt,Jump Shot,[],1631093,31.882391590013142,55.88235294117647,1610612765,2,9,2024-11-10T20:15:37Z,410000,False,-29.0,247.0,1,left,MISS J. Ivey 24' step back 3PT,[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,24.89,Missed,,,,,,,,,,,,,,,,,,
42,PT08M14.00S,2024-11-10T20:15:35.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,9,2024-11-10T20:15:37Z,420000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M07.00S,2024-11-10T20:15:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.82588699080158,55.63725490196079,1610612745,2,11,2024-11-10T20:15:47Z,430000,False,28.0,-4.0,1,right,J. Green driving Layup (5 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.85,Made,,,,,5.0,,,,,,,,,,,,,
44,PT08M07.00S,2024-11-10T20:15:48.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,2,11,2024-11-10T20:15:48Z,440000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M55.00S,2024-11-10T20:18:56.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630191,8.09789750328515,48.03921568627451,1610612765,4,11,2024-11-10T20:19:02Z,450000,False,10.0,24.0,1,left,I. Stewart driving DUNK (4 PTS) (T. Hardaway Jr. 1 AST),"[1630191, 203501]",1610612765.0,DET,driving,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,4.0,,,,,,,,,T. Hardaway Jr.,203501.0,1.0,,
47,PT07M41.00S,2024-11-10T20:19:13.2Z,1,REGULAR,violation,kicked ball,[],203501,,,1610612745,4,11,2024-11-10T20:19:19Z,470000,False,,,0,,T. Hardaway Jr. kicked ball VIOLATION,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,2530.0,,,,,,,,,,
94,PT07M27.00S,2024-11-10T20:20:13.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,4,11,2024-11-10T20:33:46Z,497500,False,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,,,,,,,,,,
50,PT07M05.00S,2024-11-10T20:20:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631093,7.046649145860711,58.57843137254902,1610612765,6,11,2024-11-10T20:25:28Z,500000,False,-43.0,14.0,1,left,J. Ivey driving Layup (2 PTS) (C. Cunningham 1 AST),"[1631093, 1630595]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,4.5,Made,,,,,2.0,,,,,,,,,C. Cunningham,1630595.0,1.0,,
52,PT06M42.00S,2024-11-10T20:20:40.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,81.8166885676741,74.26470588235294,1610612745,6,11,2024-11-10T20:20:45Z,520000,False,121.0,118.0,1,right,MISS J. Green 16' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,16.95,Missed,,,,,,,,,,,,,,,,,,
53,PT06M40.00S,2024-11-10T20:20:42.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,6,11,2024-11-10T20:20:45Z,530000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right Center,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT06M29.00S,2024-11-10T20:20:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.046649145860711,43.38235294117647,1610612765,8,11,2024-11-10T20:20:59Z,540000,False,33.0,14.0,1,left,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.58,Made,,,,,2.0,,,,,,,,,,,,,
55,PT06M13.00S,2024-11-10T20:21:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,89.83245729303549,60.29411764705882,1610612745,8,13,2024-11-10T20:21:18Z,550000,False,51.0,43.0,1,right,J. Smith Jr. 6' driving floating bank Jump Shot (2 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,driving floating bank,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.72,Made,,,,,2.0,,,,,,,,,A. Sengun,1630578.0,1.0,,
57,PT05M59.00S,2024-11-10T20:21:23.6Z,1,REGULAR,3pt,Jump Shot,[],203501,26.10052562417871,11.27450980392157,1610612765,11,13,2024-11-10T20:21:46Z,570000,False,194.0,193.0,1,left,T. Hardaway Jr. 27' 3PT  (3 PTS) (C. Cunningham 2 AST),"[203501, 1630595]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,27.32,Made,,,,,3.0,,,,,,,,,C. Cunningham,1630595.0,2.0,,
59,PT05M40.00S,2024-11-10T20:21:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,92.19776609724047,2.941176470588235,1610612745,11,16,2024-11-10T20:21:48Z,590000,False,-235.0,21.0,1,right,D. Brooks 3PT  (3 PTS) (F. VanVleet 1 AST),"[1628415, 1627832]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,23.62,Made,,,,,3.0,,,,,,,,,F. VanVleet,1627832.0,1.0,,
61,PT05M23.00S,2024-11-10T20:22:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,11.12023653088042,56.61764705882353,1610612765,11,16,2024-11-10T20:22:06Z,610000,False,-33.0,52.0,1,left,MISS C. Cunningham 6' driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,6.16,Missed,,,,,,,,,,,,,,,,,,
62,PT05M18.00S,2024-11-10T20:22:05.4Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,11,16,2024-11-10T20:22:06Z,620000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,
63,PT04M59.00S,2024-11-10T20:22:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,92.85479632063075,34.55882352941176,1610612745,11,16,2024-11-10T20:22:29Z,630000,False,-77.0,15.0,1,right,MISS A. Sengun 7' fadeaway Shot,[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.86,Missed,,,,,,,,,,,,,,,,,,
64,PT04M57.00S,2024-11-10T20:22:26.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,11,16,2024-11-10T20:22:29Z,640000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT04M46.00S,2024-11-10T20:22:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,11.645860709592641,48.28431372549019,1610612765,13,16,2024-11-10T20:22:43Z,650000,False,9.0,57.0,1,left,J. Ivey driving floating Jump Shot (4 PTS),[1631093],1610612765.0,DET,driving floating,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,,,,,4.0,,,,,,,,,,,,,
66,PT04M32.00S,2024-11-10T20:22:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,90.09526938239159,53.67647058823529,1610612745,13,16,2024-11-10T20:22:58Z,660000,False,18.0,41.0,1,right,MISS J. Green driving finger roll Layup,[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,,,,,,,,,,,,,
67,PT04M29.00S,2024-11-10T20:22:53.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,13,16,2024-11-10T20:22:58Z,670000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT04M29.00S,2024-11-10T20:23:00.3Z,1,REGULAR,foul,personal,[],1630224,,,1610612765,13,16,2024-11-10T20:23:08Z,680000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 203501]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,
70,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,13,16,2024-11-10T20:23:25Z,700000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,13,16,2024-11-10T20:23:25Z,710000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,out,[],1631095,,,1610612765,13,16,2024-11-10T20:23:25Z,720000,False,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,out,[],1630578,,,1610612765,13,16,2024-11-10T20:23:25Z,730000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,out,[],1630224,,,1610612765,13,16,2024-11-10T20:23:25Z,740000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,in,[],1630194,,,1610612765,13,16,2024-11-10T20:23:25Z,750000,False,,,0,,SUB in: P. Reed,[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,in,[],1627736,,,1610612765,13,16,2024-11-10T20:23:25Z,760000,False,,,0,,SUB in: M. Beasley,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,in,[],1629111,,,1610612765,13,16,2024-11-10T20:23:25Z,770000,False,,,0,,SUB in: J. Landale,[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,in,[],1641708,,,1610612765,13,16,2024-11-10T20:23:25Z,780000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M29.00S,2024-11-10T20:23:10.2Z,1,REGULAR,substitution,in,[],1631106,,,1610612765,13,16,2024-11-10T20:23:25Z,790000,False,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M14.00S,2024-11-10T20:23:56.8Z,1,REGULAR,3pt,Jump Shot,[],1631093,34.90473061760841,27.205882352941174,1610612765,13,16,2024-11-10T20:24:29Z,800000,False,114.0,276.0,1,left,MISS J. Ivey 29' pullup 3PT,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,29.82,Missed,,,,,,,,,,,,,,,,,,
81,PT04M11.00S,2024-11-10T20:23:59.7Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,13,16,2024-11-10T20:23:59Z,810000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
