actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
37,PT08M51.00S,2025-01-16T01:15:10.4Z,1,REGULAR,steal,,[],203915,,,1610612742,12,8,2025-01-16T01:18:58Z,370000,False,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Center,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2025-01-16T01:15:14.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,6.521024967148489,48.77450980392157,1610612742,12,10,2025-01-16T01:15:21Z,380000,False,6.0,9.0,1,left,P. Washington running DUNK (6 PTS),[1629023],1610612742.0,DAL,running,,,,,,Restricted Area,0-8 Center,1.07,Made,6.0,Washington,P. Washington,,,,,,,,,,,,,,,,,
39,PT08M31.00S,2025-01-16T01:15:37.0Z,1,REGULAR,foul,personal,[],1630230,,,1610612740,12,10,2025-01-16T01:15:45Z,390000,False,,,0,,N. Marshall personal FOUL (1 PF),"[1630230, 1630530]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Marshall,N. Marshall,,,,204058.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,
41,PT08M19.00S,2025-01-16T01:16:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629750,73.27529566360053,82.35294117647058,1610612740,15,10,2025-01-16T01:16:07Z,410000,False,162.0,199.0,1,right,J. Green 25' 3PT  (3 PTS) (C. McCollum 1 AST),"[1629750, 203468]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,25.62,Made,3.0,Green,J. Green,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
43,PT08M08.00S,2025-01-16T01:16:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,6.389618922470433,44.85294117647059,1610612742,15,12,2025-01-16T01:17:23Z,430000,False,26.0,8.0,1,left,D. Gafford cutting Layup (6 PTS) (N. Marshall 2 AST),"[1629655, 1630230]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,2.68,Made,6.0,Gafford,D. Gafford,N. Marshall,1630230.0,2.0,,,,,,,,,,,,,,
45,PT07M55.00S,2025-01-16T01:16:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,85.75886990801577,53.67647058823529,1610612740,15,12,2025-01-16T01:16:32Z,450000,False,18.0,81.0,1,right,MISS C. McCollum 8' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.35,Missed,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2025-01-16T01:16:30.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,15,12,2025-01-16T01:16:30Z,460000,False,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Gafford,D. Gafford,,,,,,,,,45.0,2.0,2.0,0.0,,,,,
47,PT07M38.00S,2025-01-16T01:16:45.4Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612742,15,12,2025-01-16T01:16:50Z,470000,False,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1642274]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Gafford,D. Gafford,,,,,,,,,,,,,1.0,Missi,1642274.0,,
48,PT07M38.00S,2025-01-16T01:16:45.4Z,1,REGULAR,steal,,[],1642274,,,1610612740,15,12,2025-01-16T01:16:48Z,480000,False,,,0,,Y. Missi STEAL (1 STL),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,
49,PT07M23.00S,2025-01-16T01:17:00.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,95.22010512483574,94.6078431372549,1610612740,15,12,2025-01-16T01:17:08Z,490000,False,223.0,-8.0,1,right,MISS D. Murray 3PT,[1627749],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,22.31,Missed,,Murray,D. Murray,,,,,,,,,,,,,,,,,
50,PT07M14.00S,2025-01-16T01:17:09.2Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,15,12,2025-01-16T01:17:08Z,500000,False,,,0,,Y. Missi REBOUND (Off:2 Def:0),[1642274],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,,Missi,Y. Missi,,,,,,,,,49.0,2.0,0.0,2.0,,,,,
51,PT07M14.00S,2025-01-16T01:17:07.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1642274,94.40999984741211,50.0,1610612740,15,12,2025-01-16T01:17:10Z,510000,False,0.0,0.0,1,right,MISS Y. Missi tip Layup,[1642274],1610612740.0,NOP,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,,Missi,Y. Missi,,,,,,,,,,,,,,,,,
52,PT07M14.00S,2025-01-16T01:17:07.8Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,15,12,2025-01-16T01:17:10Z,520000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Thompson,K. Thompson,,,,,,,,,51.0,1.0,1.0,0.0,,,,,
53,PT07M10.00S,2025-01-16T01:17:12.6Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612742,15,12,2025-01-16T01:17:16Z,530000,False,,,0,,S. Dinwiddie bad pass TURNOVER (1 TO),"[203915, 1627749]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,1.0,Murray,1627749.0,,
54,PT07M10.00S,2025-01-16T01:17:12.6Z,1,REGULAR,steal,,[],1627749,,,1610612740,15,12,2025-01-16T01:17:15Z,540000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2025-01-16T01:17:16.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630530,68.01905387647832,38.23529411764706,1610612740,15,12,2025-01-16T01:19:55Z,550000,False,-59.0,248.0,1,right,MISS T. Murphy III 25' running pullup 3PT,[1630530],1610612740.0,NOP,running pullup,,,,,,Above the Break 3,24+ Center,25.5,Missed,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
56,PT07M03.00S,2025-01-16T01:17:19.6Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,15,12,2025-01-16T01:19:55Z,560000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Murphy III,T. Murphy III,,,,,,,,,55.0,1.0,0.0,1.0,,,,,
57,PT07M02.00S,2025-01-16T01:17:21.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203468,75.1149802890933,85.7843137254902,1610612740,18,12,2025-01-16T01:17:26Z,570000,False,179.0,181.0,1,right,C. McCollum 25' 3PT  (5 PTS) (T. Murphy III 1 AST),"[203468, 1630530]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,25.48,Made,5.0,McCollum,C. McCollum,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,,
59,PT07M00.00S,2025-01-16T01:17:27.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,18,12,2025-01-16T01:17:27Z,590000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2025-01-16T01:19:51.8Z,1,REGULAR,substitution,out,[],1629655,,,1610612742,18,12,2025-01-16T01:20:14Z,600000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,,,,,,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,
61,PT07M00.00S,2025-01-16T01:19:51.8Z,1,REGULAR,substitution,out,[],203915,,,1610612742,18,12,2025-01-16T01:20:14Z,610000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,
62,PT07M00.00S,2025-01-16T01:19:51.8Z,1,REGULAR,substitution,in,[],1630702,,,1610612742,18,12,2025-01-16T01:20:14Z,620000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,,,,,,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,
63,PT07M00.00S,2025-01-16T01:19:51.8Z,1,REGULAR,substitution,in,[],203939,,,1610612742,18,12,2025-01-16T01:20:14Z,630000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2025-01-16T01:20:38.3Z,1,REGULAR,3pt,Jump Shot,[],1630702,26.231931668856767,82.35294117647058,1610612742,18,12,2025-01-16T01:20:43Z,640000,False,-162.0,194.0,1,left,MISS J. Hardy 25' 3PT,[1630702],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,25.27,Missed,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,
65,PT06M44.00S,2025-01-16T01:20:42.3Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,18,12,2025-01-16T01:20:43Z,650000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Green,J. Green,,,,,,,,,64.0,1.0,1.0,0.0,,,,,
66,PT06M39.00S,2025-01-16T01:20:46.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,88.25558475689881,71.81372549019608,1610612740,18,12,2025-01-16T01:20:54Z,660000,False,109.0,58.0,1,right,MISS D. Murray 12' pullup Shot,[1627749],1610612740.0,NOP,pullup,,,,,,Mid-Range,8-16 Right,12.35,Missed,,Murray,D. Murray,,,,,,,,,,,,,,,,,
67,PT06M36.00S,2025-01-16T01:20:49.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,18,12,2025-01-16T01:20:54Z,670000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Right,,,,Washington,P. Washington,,,,,,,,,66.0,1.0,1.0,0.0,,,,,
99,PT06M32.00S,2025-01-16T01:20:57.2Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612742,18,12,2025-01-16T01:25:34Z,690000,False,,,0,,P. Washington lost ball out-of-bounds TURNOVER (1 TO),[1629023],1610612742.0,DAL,lost ball,,,,,,Mid-Range,8-16 Right,,,,Washington,P. Washington,,,,204058.0,,,,,,,,,1.0,,,,
72,PT06M32.00S,2025-01-16T01:21:10.8Z,1,REGULAR,substitution,out,[],202691,,,1610612740,18,12,2025-01-16T01:24:47Z,720000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,
73,PT06M32.00S,2025-01-16T01:21:10.8Z,1,REGULAR,substitution,in,[],1629656,,,1610612740,18,12,2025-01-16T01:24:47Z,730000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612742.0,DAL,,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,
74,PT06M18.00S,2025-01-16T01:21:24.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,70.25295663600527,19.852941176470587,1610612740,18,12,2025-01-16T01:24:47Z,740000,False,-151.0,227.0,1,right,MISS C. McCollum 27' 3PT,[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,27.26,Missed,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2025-01-16T01:21:27.6Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,18,12,2025-01-16T01:21:29Z,750000,False,,,0,,T. Murphy III REBOUND (Off:2 Def:0),[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Murphy III,T. Murphy III,,,,,,,,,74.0,2.0,0.0,2.0,,,,,
76,PT06M13.00S,2025-01-16T01:21:33.7Z,1,REGULAR,foul,personal,['2freethrow'],1630230,,,1610612740,18,12,2025-01-16T01:21:42Z,760000,False,,,0,,N. Marshall shooting personal FOUL (2 PF) (McCollum 2 FT),"[1630230, 203468]",1610612742.0,DAL,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Marshall,N. Marshall,,,,1628487.0,2.0,0.0,McCollum,203468.0,,,,,,,,,
78,PT06M13.00S,2025-01-16T01:22:05.5Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fromturnover']",203468,,,1610612740,19,12,2025-01-16T01:24:47Z,780000,False,,,0,,C. McCollum Free Throw 1 of 2 (6 PTS),[203468],1610612740.0,NOP,,,,,,,,,,Made,6.0,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2025-01-16T01:22:16.9Z,1,REGULAR,freethrow,2 of 2,"['2ndchance', 'fromturnover']",203468,,,1610612740,20,12,2025-01-16T01:24:47Z,790000,False,,,0,,C. McCollum Free Throw 2 of 2 (7 PTS),[203468],1610612740.0,NOP,,,,,,,,,,Made,7.0,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
80,PT06M02.00S,2025-01-16T01:22:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,7.703679369250986,51.225490196078425,1610612742,20,12,2025-01-16T01:22:32Z,800000,False,-6.0,20.0,1,left,MISS N. Marshall driving Layup - blocked,"[1630230, 1630530]",1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,2.08,Missed,,Marshall,N. Marshall,,,,,,,,,,,,,,,,Murphy III,1630530.0
81,PT06M02.00S,2025-01-16T01:22:28.0Z,1,REGULAR,block,,[],1630530,,,1610612742,20,12,2025-01-16T01:22:31Z,810000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2025-01-16T01:22:32.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,20,12,2025-01-16T01:22:32Z,820000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Murray,D. Murray,,,,,,,,,80.0,2.0,2.0,0.0,,,,,
83,PT05M52.00S,2025-01-16T01:22:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,93.38042049934296,53.431372549019606,1610612740,22,12,2025-01-16T01:24:10Z,830000,False,17.0,10.0,1,right,Y. Missi cutting Layup (6 PTS) (J. Green 1 AST),"[1642274, 1629750]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,1.97,Made,6.0,Missi,Y. Missi,J. Green,1629750.0,1.0,,,,,,,,,,,,,,
85,PT05M36.00S,2025-01-16T01:22:54.0Z,1,REGULAR,3pt,Jump Shot,[],1629656,4.418528252299605,96.32352941176471,1610612742,22,12,2025-01-16T01:23:06Z,850000,False,-232.0,-11.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,23.19,Missed,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,
86,PT05M34.00S,2025-01-16T01:22:56.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,22,12,2025-01-16T01:23:06Z,860000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,85.0,,,,,,,,
87,PT05M34.00S,2025-01-16T01:23:02.7Z,1,REGULAR,foul,personal,[],1630530,,,1610612742,22,12,2025-01-16T01:24:59Z,870000,False,,,0,,T. Murphy III loose ball personal FOUL (2 PF),"[1630530, 203939]",1610612740.0,NOP,loose ball,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,204058.0,2.0,0.0,Powell,203939.0,,,,,,,,,
