actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M00.00S,2024-11-12T01:13:04.0Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,0,0,2024-11-12T01:13:15Z,220000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
23,PT09M58.00S,2024-11-12T01:13:06.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630631,70.90998685939553,76.9607843137255,1610612740,0,0,2024-11-12T01:13:20Z,230000,False,135.0,221.0,1,right,MISS J. Alvarado 25' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
24,PT09M55.00S,2024-11-12T01:13:09.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2024-11-12T01:13:20Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,23.0,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2024-11-12T01:13:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,11.12023653088042,57.107843137254896,1610612751,0,0,2024-11-12T01:16:31Z,260000,False,-36.0,52.0,1,left,MISS D. Schröder 6' driving Layup,[203471],1610612751.0,BKN,driving,,,Schröder,D. Schröder,,,,,In The Paint (Non-RA),0-8 Center,6.3,Missed,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2024-11-12T01:13:45.7Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2024-11-12T01:13:47Z,270000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,3.0,2.0,1.0,,,,,,,,,,,,,,
28,PT09M27.00S,2024-11-12T01:13:46.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630530,94.1688567674113,50.49019607843137,1610612740,2,0,2024-11-12T01:13:55Z,280000,False,2.0,2.0,1,right,T. Murphy III running DUNK (2 PTS) (B. Boston Jr. 1 AST),"[1630530, 1630527]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.34,Made,,,,,,,,,,,2.0,B. Boston Jr.,1630527.0,1.0,,,,
30,PT09M08.00S,2024-11-12T01:14:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,10.463206307490145,55.392156862745104,1610612751,2,0,2024-11-12T01:14:13Z,300000,False,-27.0,46.0,1,left,MISS N. Claxton Hook,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2024-11-12T01:14:06.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,0,2024-11-12T01:14:13Z,310000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M00.00S,2024-11-12T01:14:13.4Z,1,REGULAR,3pt,Jump Shot,[],1630527,69.85873850197109,21.323529411764707,1610612740,2,0,2024-11-12T01:14:18Z,320000,False,-143.0,231.0,1,right,MISS B. Boston Jr. 27' 3PT,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Above the Break 3,24+ Left Center,27.17,Missed,,,,,,,,,,,,,,,,,,
33,PT08M58.00S,2024-11-12T01:14:15.4Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,2,0,2024-11-12T01:14:18Z,330000,False,,,0,,Z. Williams REBOUND (Off:0 Def:2),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT08M53.00S,2024-11-12T01:14:25.8Z,1,REGULAR,foul,personal,[],1630527,,,1610612751,2,0,2024-11-12T01:14:59Z,340000,False,,,0,,B. Boston Jr. personal FOUL (1 PF),"[1630527, 203471]",1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,Schröder,203471.0
37,PT08M44.00S,2024-11-12T01:15:04.7Z,1,REGULAR,2pt,Jump Shot,[],1629661,6.783837056504599,10.784313725490197,1610612751,2,0,2024-11-12T01:15:09Z,370000,False,196.0,11.0,1,left,MISS C. Johnson 19' Jump Shot,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Right,19.64,Missed,,,,,,,,,,,,,,,,,,
38,PT08M42.00S,2024-11-12T01:15:06.7Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,2,0,2024-11-12T01:15:09Z,380000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Mid-Range,16-24 Right,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M36.00S,2024-11-12T01:15:12.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,93.24901445466492,51.225490196078425,1610612740,4,0,2024-11-12T01:15:23Z,390000,False,6.0,11.0,1,right,B. Ingram running Layup (2 PTS) (B. Boston Jr. 2 AST),"[1627742, 1630527]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,,,,,2.0,B. Boston Jr.,1630527.0,2.0,,,,
41,PT08M23.00S,2024-11-12T01:15:25.6Z,1,REGULAR,3pt,Jump Shot,[],1630533,5.206964520367937,4.411764705882353,1610612751,4,0,2024-11-12T01:15:33Z,410000,False,228.0,-4.0,1,left,MISS Z. Williams 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
42,PT08M21.00S,2024-11-12T01:15:28.5Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612751,4,0,2024-11-12T01:15:28Z,420000,False,,,0,,Z. Williams REBOUND (Off:1 Def:2),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,,,
43,PT08M18.00S,2024-11-12T01:15:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630533,6.915243101182654,50.49019607843137,1610612751,4,0,2024-11-12T01:15:39Z,430000,False,-2.0,13.0,1,left,MISS Z. Williams cutting Layup,[1630533],1610612751.0,BKN,cutting,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.27,Missed,,,,,,,,,,,,,,,,,,
44,PT08M18.00S,2024-11-12T01:15:31.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,4,0,2024-11-12T01:15:39Z,440000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,
45,PT08M14.00S,2024-11-12T01:15:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,5.590000152587891,50.0,1610612751,4,2,2024-11-12T01:15:35Z,450000,False,0.0,0.0,1,left,N. Claxton tip Layup (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,2.0,,,,,,,
46,PT08M01.00S,2024-11-12T01:15:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,89.43823915900131,54.41176470588235,1610612740,6,2,2024-11-12T01:15:57Z,460000,False,22.0,47.0,1,right,B. Ingram fadeaway Jump Shot (4 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,5.18,Made,,,,,,,,,,,4.0,,,,,,,
47,PT07M43.00S,2024-11-12T01:16:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.046649145860711,53.431372549019606,1610612751,6,2,2024-11-12T01:16:14Z,470000,False,-17.0,14.0,1,left,MISS N. Claxton alley-oop Layup,[1629651],1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
48,PT07M40.00S,2024-11-12T01:16:08.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,6,2,2024-11-12T01:16:14Z,480000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,47.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT07M38.00S,2024-11-12T01:16:12.9Z,1,REGULAR,turnover,out-of-bounds,[],1630631,,,1610612740,6,2,2024-11-12T01:16:29Z,490000,False,,,0,,J. Alvarado bad pass out-of-bounds TURNOVER (1 TO),[1630631],1610612740.0,NOP,bad pass,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,1151.0,,,,,,,,,,
50,PT07M38.00S,2024-11-12T01:16:17.7Z,1,REGULAR,substitution,out,[],1630631,,,1610612751,6,2,2024-11-12T01:16:32Z,500000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2024-11-12T01:16:17.7Z,1,REGULAR,substitution,out,[],1630530,,,1610612751,6,2,2024-11-12T01:16:32Z,510000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2024-11-12T01:16:17.7Z,1,REGULAR,substitution,in,[],1629750,,,1610612751,6,2,2024-11-12T01:16:32Z,520000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2024-11-12T01:16:17.7Z,1,REGULAR,substitution,in,[],1629669,,,1610612751,6,2,2024-11-12T01:16:32Z,530000,False,,,0,,SUB in: J. Nowell,[1629669],1610612740.0,NOP,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M21.00S,2024-11-12T01:16:55.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,3.892904073587385,96.32352941176471,1610612751,6,2,2024-11-12T01:17:00Z,540000,False,-232.0,-16.0,1,left,MISS C. Johnson 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.21,Missed,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2024-11-12T01:16:59.2Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,6,2,2024-11-12T01:17:00Z,550000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:2),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Left Corner 3,24+ Left,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT07M08.00S,2024-11-12T01:17:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,90.48948751642575,53.67647058823529,1610612740,8,2,2024-11-12T01:17:18Z,560000,False,18.0,37.0,1,right,Y. Missi cutting finger roll Layup (2 PTS) (B. Boston Jr. 3 AST),"[1642274, 1630527]",1610612740.0,NOP,cutting finger roll,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,4.12,Made,,,,,,,,,,,2.0,B. Boston Jr.,1630527.0,3.0,,,,
58,PT06M58.00S,2024-11-12T01:17:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,5.206964520367937,95.34313725490196,1610612751,8,5,2024-11-12T01:17:23Z,580000,False,-227.0,-4.0,1,left,C. Johnson 3PT  (3 PTS) (C. Thomas 1 AST),"[1629661, 1630560]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,22.67,Made,,,,,,,,,,,3.0,C. Thomas,1630560.0,1.0,,,,
60,PT06M39.00S,2024-11-12T01:17:36.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,75.50919842312747,25.735294117647058,1610612740,10,5,2024-11-12T01:17:45Z,600000,False,-121.0,178.0,1,right,B. Ingram 21' Jump Shot (6 PTS) (Y. Missi 1 AST),"[1627742, 1642274]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,21.52,Made,,,,,,,,,,,6.0,Y. Missi,1642274.0,1.0,,,,
62,PT06M35.00S,2024-11-12T01:17:47.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,5,2024-11-12T01:17:47Z,620000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2024-11-12T01:19:52.4Z,1,REGULAR,substitution,out,[],1630533,,,1610612751,10,5,2024-11-12T01:20:40Z,630000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M35.00S,2024-11-12T01:19:52.4Z,1,REGULAR,substitution,out,[],1629661,,,1610612751,10,5,2024-11-12T01:20:40Z,640000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2024-11-12T01:19:52.4Z,1,REGULAR,substitution,in,[],1627732,,,1610612751,10,5,2024-11-12T01:20:40Z,650000,False,,,0,,SUB in: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M35.00S,2024-11-12T01:19:52.4Z,1,REGULAR,substitution,in,[],1630592,,,1610612751,10,5,2024-11-12T01:20:40Z,660000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2024-11-12T01:21:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630592,8.492115637319317,53.18627450980392,1610612751,10,7,2024-11-12T01:30:41Z,670000,False,-16.0,27.0,1,left,J. Wilson cutting Layup (2 PTS) (B. Simmons 1 AST),"[1630592, 1627732]",1610612751.0,BKN,cutting,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,3.16,Made,,,,,,,,,,,2.0,B. Simmons,1627732.0,1.0,,,,
69,PT06M19.00S,2024-11-12T01:21:12.7Z,1,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612751,10,7,2024-11-12T01:21:24Z,690000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Wilson 1 FT),"[1629750, 1630592]",1610612740.0,NOP,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628171.0,,,,,,,1.0,0.0,Wilson,1630592.0
71,PT06M19.00S,2024-11-12T01:21:38.8Z,1,REGULAR,freethrow,1 of 1,[],1630592,,,1610612751,10,8,2024-11-12T01:21:38Z,710000,False,,,0,,J. Wilson Free Throw 1 of 1 (3 PTS),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
72,PT05M56.00S,2024-11-12T01:22:05.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,85.10183968462549,75.24509803921569,1610612740,12,8,2024-11-12T01:22:09Z,720000,False,126.0,88.0,1,right,B. Ingram 15' fadeaway Jump Shot (8 PTS),[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,15.36,Made,,,,,,,,,,,8.0,,,,,,,
73,PT05M40.00S,2024-11-12T01:22:21.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,9.149145860709593,50.98039215686274,1610612751,12,10,2024-11-12T01:22:26Z,730000,False,-5.0,34.0,1,left,N. Claxton cutting DUNK (4 PTS) (B. Simmons 2 AST),"[1629651, 1627732]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.39,Made,,,,,,,,,,,4.0,B. Simmons,1627732.0,2.0,,,,
75,PT05M23.00S,2024-11-12T01:22:40.7Z,1,REGULAR,foul,personal,[],1627732,,,1610612740,12,10,2024-11-12T01:22:52Z,750000,False,,,0,,B. Simmons personal FOUL (1 PF),"[1627732, 1627742]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,Ingram,1627742.0
77,PT05M23.00S,2024-11-12T01:22:49.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612740,12,10,2024-11-12T01:22:57Z,770000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2024-11-12T01:22:49.2Z,1,REGULAR,substitution,in,[],1641730,,,1610612740,12,10,2024-11-12T01:22:57Z,780000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M17.00S,2024-11-12T01:23:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629750,87.33574244415243,43.38235294117647,1610612740,12,10,2024-11-12T01:27:42Z,790000,False,-33.0,67.0,1,right,MISS J. Green 7' floating Shot,[1629750],1610612740.0,NOP,floating,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.43,Missed,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2024-11-12T01:23:25.6Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,12,10,2024-11-12T01:27:42Z,800000,False,,,0,,Y. Missi REBOUND (Off:2 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,79.0,4.0,2.0,2.0,,,,,,,,,,,,,,
81,PT05M10.00S,2024-11-12T01:23:31.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,67.49342969776609,34.80392156862745,1610612740,12,10,2024-11-12T01:28:56Z,810000,False,-76.0,253.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,26.43,Missed,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2024-11-12T01:23:32.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,12,10,2024-11-12T01:28:56Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Center,,,81.0,,,,,,,,,,,,,,,,,
102,PT05M09.00S,2024-11-12T01:23:36.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,12,10,2024-11-12T01:25:58Z,825000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1151.0,,,,,,,,,,
