actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M22.00S,2024-11-02T00:12:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,92.85479632063075,53.92156862745098,1610612754,0,7,2024-11-02T00:12:44Z,170000,False,20.0,15.0,1,right,A. Nesmith cutting Layup (2 PTS) (B. Mathurin 2 AST),"[1630174, 1631097]",1610612754.0,IND,cutting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,B. Mathurin,1631097.0,2.0,,,,,,,,,,,,,,
19,PT10M04.00S,2024-11-02T00:12:59.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,22.28975032851511,45.83333333333333,1610612740,2,7,2024-11-02T00:13:04Z,190000,False,21.0,157.0,1,left,B. Ingram 15' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,15.84,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M51.00S,2024-11-02T00:13:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,93.77463863337714,51.71568627450981,1610612754,2,9,2024-11-02T00:13:16Z,200000,False,9.0,6.0,1,right,B. Mathurin driving Layup (2 PTS),[1631097],1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.05,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M37.00S,2024-11-02T00:13:25.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,22.28975032851511,29.65686274509804,1610612740,2,9,2024-11-02T00:13:29Z,210000,False,102.0,157.0,1,left,MISS B. Ingram 18' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,18.71,Missed,,,,,,,,,,,,,,,,,,
22,PT09M34.00S,2024-11-02T00:13:28.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,9,2024-11-02T00:13:29Z,220000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right Center,,,,,,,21.0,,,,,,1.0,1.0,0.0,,,,,
23,PT09M27.00S,2024-11-02T00:13:36.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,94.69448094612353,49.754901960784316,1610612754,2,11,2024-11-02T00:13:48Z,230000,False,-1.0,-3.0,1,right,M. Turner cutting DUNK (5 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.29,Made,5.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
25,PT09M27.00S,2024-11-02T00:13:41.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,2,11,2024-11-02T00:13:41Z,250000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M13.00S,2024-11-02T00:16:48.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,5.469776609724048,48.03921568627451,1610612740,4,11,2024-11-02T00:16:57Z,260000,False,10.0,-1.0,1,left,Z. Williamson driving DUNK (2 PTS) (B. Ingram 1 AST),"[1629627, 1627742]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.99,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
28,PT09M07.00S,2024-11-02T00:16:56.5Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,4,11,2024-11-02T00:17:04Z,280000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,2534.0,,,,,,,,1.0,,,,
29,PT08M48.00S,2024-11-02T00:17:18.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641722,11.957950065703022,50.61274509803921,1610612740,6,11,2024-11-02T00:17:59Z,290000,False,-3.0,60.0,1,left,J. Hawkins 6' fadeaway Jump Shot (2 PTS) (Z. Williamson 1 AST),"[1641722, 1629627]",1610612740.0,NOP,fadeaway,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,2.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,,,
31,PT08M34.00S,2024-11-02T00:17:32.5Z,1,REGULAR,turnover,lost ball,[],1630174,,,1610612754,6,11,2024-11-02T00:17:36Z,310000,False,,,0,,A. Nesmith lost ball TURNOVER (1 TO),"[1630174, 1629627]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Williamson,1629627.0,,
32,PT08M34.00S,2024-11-02T00:17:32.5Z,1,REGULAR,steal,,[],1629627,,,1610612740,6,11,2024-11-02T00:17:34Z,320000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT08M27.00S,2024-11-02T00:17:39.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,30.17411300919842,67.15686274509804,1610612740,9,11,2024-11-02T00:18:40Z,330000,False,-86.0,231.0,1,left,J. Alvarado 24' 3PT pullup (3 PTS),[1630631],1610612740.0,NOP,pullup,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,24.65,Made,3.0,,,,,,,,,,,,,,,,,
34,PT08M07.00S,2024-11-02T00:17:59.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,64.99671484888306,54.41176470588235,1610612754,9,11,2024-11-02T00:18:06Z,340000,False,22.0,277.0,1,right,MISS T. Haliburton 27' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,27.74,Missed,,,,,,,,,,,,,,,,,,
35,PT08M04.00S,2024-11-02T00:18:02.3Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,9,11,2024-11-02T00:18:06Z,350000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Center,,,,,,,34.0,,,,,,1.0,1.0,0.0,,,,,
36,PT08M00.00S,2024-11-02T00:18:06.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,27.414586070959263,76.22549019607843,1610612740,12,11,2024-11-02T00:19:06Z,360000,False,-131.0,205.0,1,left,B. Ingram 24' 3PT running (5 PTS) (J. Alvarado 1 AST),"[1627742, 1630631]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,24.35,Made,5.0,J. Alvarado,1630631.0,1.0,,,,,,,,,,,,,,
38,PT07M42.00S,2024-11-02T00:18:25.2Z,1,REGULAR,2pt,Jump Shot,[],1631097,79.31997371879106,46.81372549019608,1610612754,12,13,2024-11-02T00:18:31Z,380000,False,-16.0,142.0,1,right,B. Mathurin 14' pullup Jump Shot (4 PTS) (P. Siakam 1 AST),"[1631097, 1627783]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Center,14.28,Made,4.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
40,PT07M24.00S,2024-11-02T00:18:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630631,27.808804204993432,19.11764705882353,1610612740,12,13,2024-11-02T00:18:47Z,400000,False,154.0,209.0,1,left,MISS J. Alvarado 25' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
41,PT07M20.00S,2024-11-02T00:18:46.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,12,13,2024-11-02T00:18:47Z,410000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,40.0,,,,,,2.0,2.0,0.0,,,,,
42,PT07M09.00S,2024-11-02T00:18:57.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,67.7562417871222,29.411764705882355,1610612754,12,16,2024-11-02T00:19:03Z,420000,False,-103.0,251.0,1,right,P. Siakam 27' 3PT  (5 PTS) (M. Turner 1 AST),"[1627783, 1626167]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,27.09,Made,5.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
44,PT06M55.00S,2024-11-02T00:19:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,17.0335085413929,36.51960784313725,1610612740,14,16,2024-11-02T00:19:16Z,440000,False,67.0,108.0,1,left,J. Alvarado 12' driving floating Jump Shot (5 PTS) (Z. Williamson 2 AST),"[1630631, 1629627]",1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Right,12.7,Made,5.0,Z. Williamson,1629627.0,2.0,,,,,,,,,,,,,,
46,PT06M45.00S,2024-11-02T00:19:21.8Z,1,REGULAR,3pt,Jump Shot,[],1631097,73.66951379763469,83.57843137254902,1610612754,14,16,2024-11-02T00:19:27Z,460000,False,168.0,195.0,1,right,MISS B. Mathurin 25' 3PT,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.73,Missed,,,,,,,,,,,,,,,,,,
47,PT06M44.00S,2024-11-02T00:19:22.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,14,16,2024-11-02T00:19:27Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,46.0,,,,,,,,,,,,,
49,PT06M27.00S,2024-11-02T00:19:49.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,5.075558475689881,49.754901960784316,1610612740,16,16,2024-11-02T00:19:54Z,490000,False,1.0,-5.0,1,left,Z. Williamson alley-oop DUNK (4 PTS) (B. Ingram 2 AST),"[1629627, 1627742]",1610612740.0,NOP,alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.49,Made,4.0,B. Ingram,1627742.0,2.0,,,,,,,,,,,,,,
51,PT06M17.00S,2024-11-02T00:20:02.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,92.72339027595268,50.73529411764706,1610612754,16,16,2024-11-02T00:20:12Z,510000,False,4.0,16.0,1,right,MISS M. Turner driving DUNK - blocked,"[1626167, 1642274]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,Missi,1642274.0
52,PT06M17.00S,2024-11-02T00:20:02.3Z,1,REGULAR,block,,[],1642274,,,1610612754,16,16,2024-11-02T00:20:05Z,520000,False,,,0,,Y. Missi BLOCK (1 BLK),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT06M16.00S,2024-11-02T00:20:03.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,16,16,2024-11-02T00:20:12Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,51.0,,,,,,,,,,,,,
55,PT06M12.00S,2024-11-02T00:20:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630174,93.11760840998686,46.32352941176471,1610612754,16,18,2024-11-02T00:21:11Z,550000,False,-18.0,12.0,1,right,A. Nesmith driving Layup (4 PTS) (T. Haliburton 2 AST),"[1630174, 1630169]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.21,Made,4.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
57,PT05M57.00S,2024-11-02T00:20:38.4Z,1,REGULAR,foul,personal,[],1631097,,,1610612740,16,18,2024-11-02T00:20:46Z,570000,False,,,0,,B. Mathurin personal FOUL (1 PF),"[1631097, 1627742]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,,,,,,1628172.0,1.0,0.0,Ingram,1627742.0,,,,,,,,
59,PT05M52.00S,2024-11-02T00:21:15.4Z,1,REGULAR,foul,offensive,[],1627742,,,1610612740,16,18,2024-11-02T00:21:27Z,590000,False,,,0,,B. Ingram offensive FOUL (1 PF),"[1627742, 1630174]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,2534.0,1.0,0.0,Nesmith,1630174.0,,,,,,,,
61,PT05M52.00S,2024-11-02T00:21:15.4Z,1,REGULAR,turnover,offensive foul,[],1627742,,,1610612740,16,18,2024-11-02T00:21:15Z,610000,False,,,0,,B. Ingram offensive foul TURNOVER (1 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,2534.0,,,,,,,,1.0,,,,
62,PT05M52.00S,2024-11-02T00:21:30.7Z,1,REGULAR,substitution,out,[],1629627,,,1610612754,16,18,2024-11-02T00:21:35Z,620000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M52.00S,2024-11-02T00:21:30.7Z,1,REGULAR,substitution,in,[],1629750,,,1610612754,16,18,2024-11-02T00:21:35Z,630000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M41.00S,2024-11-02T00:21:46.7Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612754,16,18,2024-11-02T00:21:53Z,640000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1629750]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Green,1629750.0,,
65,PT05M41.00S,2024-11-02T00:21:46.7Z,1,REGULAR,steal,,[],1629750,,,1610612740,16,18,2024-11-02T00:21:49Z,650000,False,,,0,,J. Green STEAL (1 STL),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
66,PT05M38.00S,2024-11-02T00:21:51.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630631,27.677398160315374,18.137254901960784,1610612740,19,18,2024-11-02T00:22:34Z,660000,False,159.0,208.0,1,left,J. Alvarado 26' 3PT running (8 PTS) (B. Ingram 3 AST),"[1630631, 1627742]",1610612740.0,NOP,running,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,26.18,Made,8.0,B. Ingram,1627742.0,3.0,,,,,,,,,,,,,,
68,PT05M24.00S,2024-11-02T00:22:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,66.96780551905388,52.20588235294118,1610612754,19,21,2024-11-02T00:22:52Z,680000,False,11.0,258.0,1,right,A. Nesmith 25' 3PT step back (7 PTS) (P. Siakam 2 AST),"[1630174, 1627783]",1610612754.0,IND,step back,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,25.82,Made,7.0,P. Siakam,1627783.0,2.0,,,,,,,,,,,,,,
70,PT05M02.00S,2024-11-02T00:22:26.2Z,1,REGULAR,3pt,Jump Shot,[],1629750,25.57490144546649,15.196078431372548,1610612740,22,21,2024-11-02T00:22:31Z,700000,False,174.0,188.0,1,left,J. Green 25' 3PT  (3 PTS) (J. Alvarado 2 AST),"[1629750, 1630631]",1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.61,Made,3.0,J. Alvarado,1630631.0,2.0,,,,,,,,,,,,,,
72,PT04M48.00S,2024-11-02T00:22:39.3Z,1,REGULAR,2pt,Jump Shot,[],1630169,77.08607095926413,68.13725490196079,1610612754,22,23,2024-11-02T00:22:46Z,720000,False,91.0,163.0,1,right,T. Haliburton 18' pullup Jump Shot (2 PTS) (P. Siakam 3 AST),"[1630169, 1627783]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right Center,18.64,Made,2.0,P. Siakam,1627783.0,3.0,,,,,,,,,,,,,,
74,PT04M27.00S,2024-11-02T00:23:00.7Z,1,REGULAR,3pt,Jump Shot,[],1641722,28.203022339027594,19.607843137254903,1610612740,22,23,2024-11-02T00:23:18Z,740000,False,152.0,213.0,1,left,MISS J. Hawkins 26' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
76,PT04M25.00S,2024-11-02T00:23:02.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,22,23,2024-11-02T00:23:18Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,74.0,,,,,,,,,,,,,
78,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,out,[],1641722,,,1610612740,22,23,2024-11-02T00:23:37Z,780000,False,,,0,,SUB out: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,out,[],1631097,,,1610612740,22,23,2024-11-02T00:23:37Z,790000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,out,[],1630174,,,1610612740,22,23,2024-11-02T00:23:37Z,800000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,out,[],1626167,,,1610612740,22,23,2024-11-02T00:23:37Z,810000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,out,[],1627783,,,1610612740,22,23,2024-11-02T00:23:37Z,820000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,in,[],1630527,,,1610612740,22,23,2024-11-02T00:23:37Z,830000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,in,[],1630167,,,1610612740,22,23,2024-11-02T00:23:37Z,840000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,in,[],1630543,,,1610612740,22,23,2024-11-02T00:23:37Z,850000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,in,[],1641767,,,1610612740,22,23,2024-11-02T00:23:37Z,860000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M25.00S,2024-11-02T00:23:17.8Z,1,REGULAR,substitution,in,[],204456,,,1610612740,22,23,2024-11-02T00:23:37Z,870000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M17.00S,2024-11-02T00:23:45.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,21.895532194480946,46.568627450980394,1610612740,22,23,2024-11-02T00:23:51Z,880000,False,17.0,153.0,1,left,MISS B. Ingram 15' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,15.43,Missed,,,,,,,,,,,,,,,,,,
89,PT04M15.00S,2024-11-02T00:23:48.1Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,22,23,2024-11-02T00:23:48Z,890000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Center,,,,,,,88.0,,,,,,1.0,1.0,0.0,,,,,
90,PT04M12.00S,2024-11-02T00:23:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630167,73.27529566360053,84.80392156862744,1610612754,22,23,2024-11-02T00:25:50Z,900000,False,174.0,199.0,1,right,MISS O. Toppin 26' running 3PT,[1630167],1610612754.0,IND,running,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
91,PT04M10.00S,2024-11-02T00:23:53.9Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,22,23,2024-11-02T00:25:50Z,910000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,90.0,,,,,,1.0,1.0,0.0,,,,,
92,PT03M57.00S,2024-11-02T00:24:06.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,5.863994743758213,46.07843137254902,1610612740,24,23,2024-11-02T00:26:16Z,920000,False,20.0,3.0,1,left,J. Green cutting Layup (5 PTS) (B. Ingram 4 AST),"[1629750, 1627742]",1610612740.0,NOP,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.98,Made,5.0,B. Ingram,1627742.0,4.0,,,,,,,,,,,,,,
