actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M19.00S,2025-01-08T01:12:40.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,0,7,2025-01-08T01:12:41Z,200000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,
21,PT10M19.00S,2025-01-08T01:12:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642274,5.590000152587891,50.0,1610612740,0,7,2025-01-08T01:12:39Z,210000,False,0.0,0.0,1,left,MISS Y. Missi tip Layup,[1642274],1610612740.0,NOP,tip,,,Missi,Y. Missi,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2025-01-08T01:12:40.3Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,7,2025-01-08T01:12:40Z,220000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT10M14.00S,2025-01-08T01:12:46.1Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612740,0,7,2025-01-08T01:13:10Z,230000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Murray 2 FT),"[203497, 1627749]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628172.0,1.0,0.0,Murray,1627749.0,,,
25,PT10M14.00S,2025-01-08T01:13:11.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627749,,,1610612740,1,7,2025-01-08T01:13:11Z,250000,False,,,0,,D. Murray Free Throw 1 of 2 (1 PTS),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
26,PT10M14.00S,2025-01-08T01:13:26.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627749,,,1610612740,2,7,2025-01-08T01:13:26Z,260000,False,,,0,,D. Murray Free Throw 2 of 2 (2 PTS),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
27,PT10M02.00S,2025-01-08T01:13:40.0Z,1,REGULAR,3pt,Jump Shot,[],1630183,86.81011826544021,94.6078431372549,1610612750,2,7,2025-01-08T01:13:44Z,270000,False,223.0,71.0,1,right,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2025-01-08T01:13:44.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,7,2025-01-08T01:13:44Z,280000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Right Corner 3,24+ Right,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M55.00S,2025-01-08T01:13:48.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627749,7.046649145860711,42.15686274509804,1610612740,4,7,2025-01-08T01:14:53Z,290000,False,39.0,14.0,1,left,D. Murray driving floating Jump Shot (4 PTS) (H. Jones 1 AST),"[1627749, 1630529]",1610612740.0,NOP,driving floating,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,4.15,Made,4.0,,,,,H. Jones,1630529.0,1.0,,,,,,,,,,
31,PT09M55.00S,2025-01-08T01:13:51.0Z,1,REGULAR,foul,personal,['1freethrow'],1630162,,,1610612740,4,7,2025-01-08T01:14:10Z,310000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Murray 1 FT),"[1630162, 1627749]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2003.0,1.0,0.0,Murray,1627749.0,,,
34,PT09M55.00S,2025-01-08T01:14:12.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627749,,,1610612740,4,7,2025-01-08T01:14:14Z,340000,False,,,0,,MISS D. Murray Free Throw 1 of 1,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M54.00S,2025-01-08T01:14:13.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,7,2025-01-08T01:14:14Z,350000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT09M42.00S,2025-01-08T01:14:24.9Z,1,REGULAR,3pt,Jump Shot,[],203944,67.62483574244416,45.09803921568628,1610612750,4,10,2025-01-08T01:14:28Z,360000,False,-25.0,252.0,1,right,J. Randle 25' 3PT  (7 PTS) (A. Edwards 1 AST),"[203944, 1630162]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.3,Made,7.0,,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,
38,PT09M31.00S,2025-01-08T01:14:35.4Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,4,10,2025-01-08T01:14:38Z,380000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 1628978]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,DiVincenzo,1628978.0
39,PT09M31.00S,2025-01-08T01:14:35.4Z,1,REGULAR,steal,,[],1628978,,,1610612750,4,10,2025-01-08T01:14:37Z,390000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M26.00S,2025-01-08T01:14:40.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203944,70.25295663600527,24.509803921568626,1610612750,4,10,2025-01-08T01:16:04Z,400000,False,-127.0,227.0,1,right,MISS J. Randle 26' running pullup 3PT,[203944],1610612750.0,MIN,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.04,Missed,,,,,,,,,,,,,,,,,,
41,PT09M25.00S,2025-01-08T01:14:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,10,2025-01-08T01:14:48Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,40.0,,,,,,,,,,,,,,,,
42,PT09M25.00S,2025-01-08T01:14:46.3Z,1,REGULAR,foul,personal,[],1630529,,,1610612750,4,10,2025-01-08T01:14:54Z,420000,False,,,0,,H. Jones loose ball personal FOUL (1 PF),"[1630529, 203497]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2003.0,1.0,0.0,Gobert,203497.0,,,
44,PT09M13.00S,2025-01-08T01:15:16.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630162,76.2976346911958,10.049019607843137,1610612750,4,13,2025-01-08T01:15:22Z,440000,False,-200.0,170.0,1,right,A. Edwards 26' 3PT step back (6 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.25,Made,6.0,,,,,,,,,,,,,,,,,
45,PT08M58.00S,2025-01-08T01:15:31.2Z,1,REGULAR,turnover,bad pass,[],1630529,,,1610612740,4,13,2025-01-08T01:16:55Z,450000,False,,,0,,H. Jones bad pass TURNOVER (1 TO),"[1630529, 1630183]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,McDaniels,1630183.0
46,PT08M58.00S,2025-01-08T01:15:31.2Z,1,REGULAR,steal,,[],1630183,,,1610612750,4,13,2025-01-08T01:15:50Z,460000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M53.00S,2025-01-08T01:15:36.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,66.44218134034165,41.66666666666667,1610612750,4,16,2025-01-08T01:18:55Z,470000,False,-42.0,263.0,1,right,A. Edwards 26' 3PT running pullup (9 PTS),[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.62,Made,9.0,,,,,,,,,,,,,,,,,
48,PT08M51.00S,2025-01-08T01:15:47.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,4,16,2025-01-08T01:15:47Z,480000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M46.00S,2025-01-08T01:18:45.6Z,1,REGULAR,foul,personal,[],203944,,,1610612740,4,16,2025-01-08T01:18:52Z,490000,False,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1629627]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1628954.0,1.0,0.0,Williamson,1629627.0,,,
51,PT08M28.00S,2025-01-08T01:19:17.5Z,1,REGULAR,2pt,Jump Shot,[],1630529,7.440867279894875,66.66666666666666,1610612740,4,16,2025-01-08T01:20:19Z,510000,False,-83.0,17.0,1,left,MISS H. Jones 8' driving floating Shot,[1630529],1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,8.51,Missed,,,,,,,,,,,,,,,,,,
52,PT08M25.00S,2025-01-08T01:19:20.5Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,4,16,2025-01-08T01:19:27Z,520000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,51.0,2.0,0.0,2.0,,,,,,,,,,,,,
53,PT08M23.00S,2025-01-08T01:19:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,6.521024967148489,47.549019607843135,1610612740,6,16,2025-01-08T01:19:27Z,530000,False,12.0,9.0,1,left,Z. Williamson putback Layup (2 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.51,Made,2.0,,,,,,,,,,,,,,,,,
54,PT08M12.00S,2025-01-08T01:19:33.2Z,1,REGULAR,3pt,Jump Shot,[],1628978,68.28186596583443,35.78431372549019,1610612750,6,16,2025-01-08T01:19:36Z,540000,False,-71.0,246.0,1,right,MISS D. DiVincenzo 25' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,25.58,Missed,,,,,,,,,,,,,,,,,,
55,PT08M09.00S,2025-01-08T01:19:36.2Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,6,16,2025-01-08T01:19:36Z,550000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,
56,PT08M04.00S,2025-01-08T01:19:40.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629627,5.469776609724048,50.73529411764706,1610612740,8,16,2025-01-08T01:19:46Z,560000,False,-4.0,-1.0,1,left,Z. Williamson running alley-oop DUNK (4 PTS) (C. McCollum 1 AST),"[1629627, 203468]",1610612740.0,NOP,running alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.39,Made,4.0,,,,,C. McCollum,203468.0,1.0,,,,,,,,,,
58,PT07M51.00S,2025-01-08T01:19:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,94.30026281208936,50.0,1610612750,8,18,2025-01-08T01:19:58Z,580000,False,0.0,1.0,1,right,R. Gobert cutting DUNK (2 PTS) (A. Edwards 2 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.11,Made,2.0,,,,,A. Edwards,1630162.0,2.0,,,,,,,,,,
60,PT07M36.00S,2025-01-08T01:20:08.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.40801576872536,32.59803921568628,1610612740,8,18,2025-01-08T01:20:12Z,600000,False,87.0,252.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.67,Missed,,,,,,,,,,,,,,,,,,
61,PT07M34.00S,2025-01-08T01:20:10.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,8,18,2025-01-08T01:20:12Z,610000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT07M25.00S,2025-01-08T01:20:20.2Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,8,18,2025-01-08T01:20:23Z,620000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1627749]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
63,PT07M25.00S,2025-01-08T01:20:20.2Z,1,REGULAR,steal,,[],1627749,,,1610612740,8,18,2025-01-08T01:20:21Z,630000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
64,PT07M20.00S,2025-01-08T01:20:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,6.389618922470433,46.07843137254902,1610612740,10,18,2025-01-08T01:20:30Z,640000,False,20.0,8.0,1,left,D. Murray running Layup (6 PTS) (Z. Williamson 1 AST),"[1627749, 1629627]",1610612740.0,NOP,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.1,Made,6.0,,,,,Z. Williamson,1629627.0,1.0,,,,,,,,,,
66,PT07M08.00S,2025-01-08T01:20:40.1Z,1,REGULAR,foul,personal,[],1629627,,,1610612750,10,18,2025-01-08T01:20:49Z,660000,False,,,0,,Z. Williamson personal FOUL (1 PF),"[1629627, 203944]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2003.0,1.0,0.0,Randle,203944.0,,,
68,PT07M08.00S,2025-01-08T01:20:51.8Z,1,REGULAR,substitution,out,[],1629627,,,1610612750,10,18,2025-01-08T01:20:54Z,680000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M08.00S,2025-01-08T01:20:51.8Z,1,REGULAR,substitution,in,[],1630526,,,1610612750,10,18,2025-01-08T01:20:54Z,690000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M56.00S,2025-01-08T01:21:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,94.1688567674113,51.9607843137255,1610612750,10,20,2025-01-08T01:22:45Z,700000,False,10.0,2.0,1,right,R. Gobert cutting Layup (4 PTS) (D. DiVincenzo 2 AST),"[203497, 1628978]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.01,Made,4.0,,,,,D. DiVincenzo,1628978.0,2.0,,,,,,,,,,
72,PT06M42.00S,2025-01-08T01:21:27.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,12.828515111695138,46.32352941176471,1610612740,10,20,2025-01-08T01:21:33Z,720000,False,18.0,68.0,1,left,MISS Y. Missi 7' Hook - blocked,"[1642274, 203497]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,
73,PT06M42.00S,2025-01-08T01:21:27.8Z,1,REGULAR,block,,[],203497,,,1610612740,10,20,2025-01-08T01:21:29Z,730000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M40.00S,2025-01-08T01:21:29.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,10,20,2025-01-08T01:21:33Z,740000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,
75,PT06M37.00S,2025-01-08T01:21:33.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,81.15965834428384,8.333333333333332,1610612750,10,20,2025-01-08T01:21:39Z,750000,False,-208.0,125.0,1,right,MISS J. Randle 24' running 3PT,[203944],1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,24.27,Missed,,,,,,,,,,,,,,,,,,
76,PT06M33.00S,2025-01-08T01:21:37.3Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,10,20,2025-01-08T01:21:39Z,760000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,,75.0,2.0,1.0,1.0,,,,,,,,,,,,,
77,PT06M14.00S,2025-01-08T01:21:56.6Z,1,REGULAR,3pt,Jump Shot,[],203468,16.507884362680684,95.34313725490196,1610612740,10,20,2025-01-08T01:22:01Z,770000,False,-227.0,103.0,1,left,MISS C. McCollum 24' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
78,PT06M10.00S,2025-01-08T01:22:00.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,10,20,2025-01-08T01:22:01Z,780000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,
79,PT06M05.00S,2025-01-08T01:22:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,67.62483574244416,35.78431372549019,1610612750,10,23,2025-01-08T01:24:16Z,790000,False,-71.0,252.0,1,right,A. Edwards 26' 3PT step back (12 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.16,Made,12.0,,,,,,,,,,,,,,,,,
80,PT05M45.00S,2025-01-08T01:22:24.0Z,1,REGULAR,3pt,Jump Shot,[],1630529,8.623521681997373,95.83333333333334,1610612740,13,23,2025-01-08T01:22:28Z,800000,False,-229.0,29.0,1,left,H. Jones 3PT  (3 PTS) (D. Murray 1 AST),"[1630529, 1627749]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,23.1,Made,3.0,,,,,D. Murray,1627749.0,1.0,,,,,,,,,,
82,PT05M33.00S,2025-01-08T01:22:35.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.61169513797634,66.17647058823529,1610612750,13,25,2025-01-08T01:22:41Z,820000,False,81.0,158.0,1,right,A. Edwards 17' turnaround Jump Shot (14 PTS),[1630162],1610612750.0,MIN,turnaround,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,17.75,Made,14.0,,,,,,,,,,,,,,,,,
83,PT05M20.00S,2025-01-08T01:22:49.2Z,1,REGULAR,2pt,Jump Shot,[],1627749,13.354139290407357,27.450980392156865,1610612740,13,25,2025-01-08T01:26:14Z,830000,False,113.0,73.0,1,left,MISS D. Murray 13' step back Shot,[1627749],1610612740.0,NOP,step back,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,13.43,Missed,,,,,,,,,,,,,,,,,,
84,PT05M16.00S,2025-01-08T01:22:53.2Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,13,25,2025-01-08T01:22:55Z,840000,False,,,0,,Y. Missi REBOUND (Off:2 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Mid-Range,8-16 Right,,,,83.0,3.0,1.0,2.0,,,,,,,,,,,,,
