actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
91,PT03M38.00S,2025-01-09T01:25:04.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631101,94.03745072273325,47.549019607843135,1610612757,17,32,2025-01-09T01:25:45Z,850000,False,-12.0,4.0,1,right,S. Sharpe running finger roll Layup (10 PTS),[1631101],1610612757.0,POR,running finger roll,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.28,Made,10.0,,,,,,,,,,,,,,,,,
92,PT03M21.00S,2025-01-09T01:25:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,6.389618922470433,46.32352941176471,1610612740,19,32,2025-01-09T01:26:01Z,860000,False,18.0,8.0,1,left,C. McCollum driving finger roll Layup (11 PTS),[203468],1610612740.0,NOP,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.99,Made,11.0,,,,,,,,,,,,,,,,,
93,PT03M03.00S,2025-01-09T01:25:39.1Z,1,REGULAR,3pt,Jump Shot,[],1631101,76.95466491458606,9.313725490196079,1610612757,19,35,2025-01-09T01:25:43Z,870000,False,-203.0,164.0,1,right,S. Sharpe 26' 3PT  (13 PTS) (S. Henderson 2 AST),"[1631101, 1630703]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,26.13,Made,13.0,S. Henderson,1630703.0,2.0,,,,,,,,,,,,,,
97,PT02M35.00S,2025-01-09T01:26:14.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,19,35,2025-01-09T01:27:39Z,900000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,,,,,,,,,,,,,
98,PT02M35.00S,2025-01-09T01:26:21.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,19,35,2025-01-09T01:27:37Z,920000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,out,[],203468,,,1610612757,19,35,2025-01-09T01:28:55Z,940000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,out,[],1627749,,,1610612757,19,35,2025-01-09T01:28:55Z,950000,False,,,0,,SUB out: D. Murray,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,out,[],1629028,,,1610612757,19,35,2025-01-09T01:28:55Z,960000,False,,,0,,SUB out: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,out,[],1631101,,,1610612757,19,35,2025-01-09T01:28:55Z,970000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,out,[],1641739,,,1610612757,19,35,2025-01-09T01:28:55Z,980000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,in,[],1630631,,,1610612757,19,35,2025-01-09T01:28:55Z,990000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,in,[],1630529,,,1610612757,19,35,2025-01-09T01:28:55Z,1000000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,19,35,2025-01-09T01:28:55Z,1010000,False,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,in,[],1630625,,,1610612757,19,35,2025-01-09T01:28:55Z,1020000,False,,,0,,SUB in: D. Banton,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M35.00S,2025-01-09T01:28:29.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612757,19,35,2025-01-09T01:28:55Z,1030000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M19.00S,2025-01-09T01:29:23.8Z,1,REGULAR,turnover,lost ball,[],1630703,,,1610612757,19,35,2025-01-09T01:29:29Z,1040000,False,,,0,,S. Henderson lost ball TURNOVER (1 TO),"[1630703, 1630631]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Alvarado,1630631.0,,
110,PT02M19.00S,2025-01-09T01:29:23.8Z,1,REGULAR,steal,,[],1630631,,,1610612740,19,35,2025-01-09T01:29:26Z,1050000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT02M14.00S,2025-01-09T01:29:29.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630631,7.046649145860711,46.81372549019608,1610612740,19,35,2025-01-09T01:30:21Z,1060000,False,16.0,14.0,1,left,MISS J. Alvarado driving floating bank Shot,[1630631],1610612740.0,NOP,driving floating bank,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
112,PT02M13.00S,2025-01-09T01:29:30.9Z,1,REGULAR,rebound,offensive,[],1630631,,,1610612740,19,35,2025-01-09T01:30:10Z,1070000,False,,,0,,J. Alvarado REBOUND (Off:1 Def:0),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,111.0,,1.0,0.0,1.0,,,,
113,PT02M04.00S,2025-01-09T01:29:38.8Z,1,REGULAR,turnover,bad pass,[],1630631,,,1610612740,19,35,2025-01-09T01:29:44Z,1080000,False,,,0,,J. Alvarado bad pass TURNOVER (1 TO),"[1630631, 1630625]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Banton,1630625.0,,
114,PT02M04.00S,2025-01-09T01:29:38.8Z,1,REGULAR,steal,,[],1630625,,,1610612757,19,35,2025-01-09T01:29:42Z,1090000,False,,,0,,D. Banton STEAL (1 STL),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
115,PT01M57.00S,2025-01-09T01:29:45.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630625,65.1281208935611,51.225490196078425,1610612757,19,35,2025-01-09T01:31:07Z,1100000,False,6.0,275.0,1,right,MISS D. Banton 27' 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Center,27.54,Missed,,,,,,,,,,,,,,,,,,
116,PT01M56.00S,2025-01-09T01:29:46.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,19,35,2025-01-09T01:29:58Z,1110000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,115.0,,,,,,,,
117,PT01M56.00S,2025-01-09T01:29:52.7Z,1,REGULAR,foul,personal,[],1630631,,,1610612757,19,35,2025-01-09T01:30:05Z,1120000,False,,,0,,J. Alvarado loose ball personal FOUL (1 PF),"[1630631, 1631200]",1610612740.0,NOP,loose ball,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,1.0,0.0,Murray,1631200.0,,,,,,,,,
119,PT01M48.00S,2025-01-09T01:30:14.8Z,1,REGULAR,turnover,lost ball,[],1630703,,,1610612757,19,35,2025-01-09T01:30:20Z,1140000,False,,,0,,S. Henderson lost ball TURNOVER (2 TO),"[1630703, 1628464]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2.0,,,,Theis,1628464.0,,
120,PT01M48.00S,2025-01-09T01:30:14.8Z,1,REGULAR,steal,,[],1628464,,,1610612740,19,35,2025-01-09T01:30:17Z,1150000,False,,,0,,D. Theis STEAL (1 STL),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
121,PT01M42.00S,2025-01-09T01:30:21.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630527,8.623521681997373,4.6568627450980395,1610612740,19,35,2025-01-09T01:31:53Z,1160000,False,227.0,29.0,1,left,MISS B. Boston step back 3PT,[1630527],1610612740.0,NOP,step back,,,Boston,B. Boston,,,,,Right Corner 3,24+ Right,22.85,Missed,,,,,,,,,,,,,,,,,,
122,PT01M40.00S,2025-01-09T01:30:23.4Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612740,19,35,2025-01-09T01:30:23Z,1170000,False,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,121.0,,1.0,0.0,1.0,,,,
123,PT01M35.00S,2025-01-09T01:30:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641722,5.995400788436268,52.69607843137255,1610612740,19,35,2025-01-09T01:33:08Z,1180000,False,-13.0,4.0,1,left,MISS J. Hawkins driving finger roll Layup,[1641722],1610612740.0,NOP,driving finger roll,,,Hawkins,J. Hawkins,,,,,Restricted Area,0-8 Center,1.41,Missed,,,,,,,,,,,,,,,,,,
125,PT01M34.00S,2025-01-09T01:30:28.7Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612740,19,35,2025-01-09T01:33:17Z,1200000,False,,,0,,D. Theis REBOUND (Off:2 Def:0),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,123.0,,2.0,0.0,2.0,,,,
126,PT01M30.00S,2025-01-09T01:30:37.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630527,19.136005256241788,43.13725490196079,1610612740,19,35,2025-01-09T01:33:34Z,1210000,False,34.0,127.0,1,left,MISS B. Boston 13' pullup Shot,[1630527],1610612740.0,NOP,pullup,,,Boston,B. Boston,,,,,In The Paint (Non-RA),8-16 Center,13.19,Missed,,,,,,,,,,,,,,,,,,
127,PT01M28.00S,2025-01-09T01:30:39.9Z,1,REGULAR,rebound,offensive,[],1630527,,,1610612740,19,35,2025-01-09T01:42:18Z,1220000,False,,,0,,B. Boston REBOUND (Off:1 Def:0),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,126.0,,1.0,0.0,1.0,,,,
130,PT01M17.00S,2025-01-09T01:30:46.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641722,6.652431011826544,4.901960784313726,1610612740,22,35,2025-01-09T01:30:50Z,1250000,False,225.0,10.0,1,left,J. Hawkins 3PT  (3 PTS) (J. Alvarado 1 AST),"[1641722, 1630631]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Right Corner 3,24+ Right,22.57,Made,3.0,J. Alvarado,1630631.0,1.0,,,,,,,,,,,,,,
132,PT01M03.00S,2025-01-09T01:30:59.8Z,1,REGULAR,3pt,Jump Shot,[],1630703,72.09264126149803,78.43137254901961,1610612757,22,38,2025-01-09T01:35:13Z,1270000,False,142.0,210.0,1,right,S. Henderson 25' 3PT pullup (7 PTS),[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,25.34,Made,7.0,,,,,,,,,,,,,,,,,
133,PT00M39.50S,2025-01-09T01:31:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630527,6.652431011826544,47.30392156862745,1610612740,22,38,2025-01-09T01:31:29Z,1280000,False,13.0,10.0,1,left,MISS B. Boston driving Layup - blocked,"[1630527, 1629057]",1610612740.0,NOP,driving,,,Boston,B. Boston,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
134,PT00M39.50S,2025-01-09T01:31:24.8Z,1,REGULAR,block,,[],1629057,,,1610612740,22,38,2025-01-09T01:31:28Z,1290000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT00M35.20S,2025-01-09T01:31:29.1Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,22,38,2025-01-09T01:31:29Z,1300000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,133.0,,1.0,1.0,0.0,,,,
136,PT00M35.00S,2025-01-09T01:31:31.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631200,92.9862023653088,54.166666666666664,1610612757,22,40,2025-01-09T01:35:41Z,1310000,False,21.0,13.0,1,right,K. Murray running finger roll Layup (2 PTS) (A. Simons 2 AST),"[1631200, 1629014]",1610612757.0,POR,running finger roll,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,2.47,Made,2.0,A. Simons,1629014.0,2.0,,,,,,,,,,,,,,
138,PT00M15.80S,2025-01-09T01:31:56.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,5.732588699080158,47.30392156862745,1610612740,24,40,2025-01-09T01:32:00Z,1330000,False,13.0,1.0,1,left,J. Alvarado driving Layup (2 PTS),[1630631],1610612740.0,NOP,driving,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,,,,,,,,,,,,,,
139,PT00M00.20S,2025-01-09T01:32:14.7Z,1,REGULAR,2pt,Jump Shot,[],1630703,74.58935611038108,49.754901960784316,1610612757,24,40,2025-01-09T01:32:20Z,1340000,False,-1.0,186.0,1,right,MISS S. Henderson 18' pullup Shot,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Center,18.64,Missed,,,,,,,,,,,,,,,,,,
140,PT00M00.20S,2025-01-09T01:32:14.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,24,40,2025-01-09T01:32:20Z,1350000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,139.0,,,,,,,,
141,PT00M00.00S,2025-01-09T01:32:23.1Z,1,REGULAR,period,end,[],0,,,1610612757,24,40,2025-01-09T01:32:23Z,1360000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2025-01-09T01:34:31.3Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612757,24,40,2025-01-09T01:35:00Z,1370000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2025-01-09T01:34:31.3Z,2,REGULAR,substitution,out,['startperiod'],1630703,,,1610612757,24,40,2025-01-09T01:35:00Z,1380000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-01-09T01:34:31.3Z,2,REGULAR,substitution,in,['startperiod'],1629750,,,1610612757,24,40,2025-01-09T01:35:00Z,1390000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-01-09T01:34:31.3Z,2,REGULAR,substitution,in,['startperiod'],1631101,,,1610612757,24,40,2025-01-09T01:35:00Z,1400000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2025-01-09T01:35:04.4Z,2,REGULAR,period,start,[],0,,,1610612740,24,40,2025-01-09T01:35:04Z,1410000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M36.00S,2025-01-09T01:35:39.0Z,2,REGULAR,3pt,Jump Shot,[],1630631,30.699737187910642,26.225490196078432,1610612740,24,40,2025-01-09T01:35:48Z,1430000,False,119.0,236.0,1,left,MISS J. Alvarado 26' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,,
149,PT11M35.00S,2025-01-09T01:35:40.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,24,40,2025-01-09T01:35:48Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,148.0,,,,,,,,
150,PT11M35.00S,2025-01-09T01:35:46.1Z,2,REGULAR,foul,personal,[],1630625,,,1610612740,24,40,2025-01-09T01:35:54Z,1450000,False,,,0,,D. Banton loose ball personal FOUL (1 PF),"[1630625, 1628464]",1610612757.0,POR,loose ball,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,1.0,0.0,Theis,1628464.0,,,,,,,,,
152,PT11M27.00S,2025-01-09T01:36:10.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641722,17.427726675427067,34.80392156862745,1610612740,24,40,2025-01-09T01:36:16Z,1470000,False,76.0,111.0,1,left,MISS J. Hawkins 13' pullup Shot,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,In The Paint (Non-RA),8-16 Right,13.48,Missed,,,,,,,,,,,,,,,,,,
153,PT11M25.00S,2025-01-09T01:36:12.4Z,2,REGULAR,rebound,defensive,[],1631200,,,1610612757,24,40,2025-01-09T01:37:14Z,1480000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,152.0,,1.0,1.0,0.0,,,,
154,PT11M17.00S,2025-01-09T01:36:20.0Z,2,REGULAR,3pt,Jump Shot,[],1631200,74.72076215505913,84.31372549019608,1610612757,24,40,2025-01-09T01:36:26Z,1490000,False,172.0,185.0,1,right,MISS K. Murray 25' 3PT,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
155,PT11M14.00S,2025-01-09T01:36:23.0Z,2,REGULAR,rebound,defensive,[],1628464,,,1610612740,24,40,2025-01-09T01:36:26Z,1500000,False,,,0,,D. Theis REBOUND (Off:2 Def:1),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,154.0,,3.0,1.0,2.0,,,,
156,PT11M03.00S,2025-01-09T01:36:33.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,5.469776609724048,45.09803921568628,1610612740,24,40,2025-01-09T01:36:44Z,1510000,False,25.0,-1.0,1,left,MISS J. Alvarado driving Layup,[1630631],1610612740.0,NOP,driving,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
157,PT11M02.00S,2025-01-09T01:36:34.8Z,2,REGULAR,rebound,offensive,[],1628464,,,1610612740,24,40,2025-01-09T01:37:44Z,1520000,False,,,0,,D. Theis REBOUND (Off:3 Def:1),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,156.0,,4.0,1.0,3.0,,,,
158,PT11M02.00S,2025-01-09T01:36:43.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628464,5.590000152587891,50.0,1610612740,26,40,2025-01-09T01:37:49Z,1530000,False,0.0,0.0,1,left,D. Theis tip Layup (2 PTS),[1628464],1610612740.0,NOP,tip,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
160,PT10M37.00S,2025-01-09T01:37:20.0Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612757,26,40,2025-01-09T01:37:25Z,1550000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,202041.0,,,,,,,,,,,,,
161,PT10M24.00S,2025-01-09T01:37:44.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641722,7.440867279894875,45.83333333333333,1610612740,26,40,2025-01-09T01:37:52Z,1560000,False,21.0,17.0,1,left,MISS J. Hawkins driving Layup - blocked,"[1641722, 1629057]",1610612740.0,NOP,driving,,,Hawkins,J. Hawkins,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0
162,PT10M24.00S,2025-01-09T01:37:44.9Z,2,REGULAR,block,,[],1629057,,,1610612740,26,40,2025-01-09T01:37:48Z,1570000,False,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
163,PT10M24.00S,2025-01-09T01:37:44.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612740,26,40,2025-01-09T01:37:52Z,1580000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,161.0,,,,,,,,
165,PT10M17.00S,2025-01-09T01:38:10.2Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629750,32.802233902759525,49.50980392156863,1610612740,26,40,2025-01-09T01:38:14Z,1600000,False,2.0,256.0,1,left,MISS J. Green 25' 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.58,Missed,,,,,,,,,,,,,,,,,,
166,PT10M14.00S,2025-01-09T01:38:13.2Z,2,REGULAR,rebound,defensive,[],1629014,,,1610612757,26,40,2025-01-09T01:38:14Z,1610000,False,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,165.0,,2.0,2.0,0.0,,,,
167,PT09M53.00S,2025-01-09T01:38:34.8Z,2,REGULAR,3pt,Jump Shot,[],1631101,69.99014454664915,10.784313725490197,1610612757,26,43,2025-01-09T01:38:39Z,1620000,False,-196.0,230.0,1,right,S. Sharpe 30' 3PT  (16 PTS) (D. Banton 1 AST),"[1631101, 1630625]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,30.19,Made,16.0,D. Banton,1630625.0,1.0,,,,,,,,,,,,,,
169,PT09M39.00S,2025-01-09T01:38:49.1Z,2,REGULAR,turnover,bad pass,[],1630631,,,1610612740,26,43,2025-01-09T01:38:57Z,1640000,False,,,0,,J. Alvarado bad pass TURNOVER (2 TO),"[1630631, 1630625]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2.0,,,,Banton,1630625.0,,
170,PT09M39.00S,2025-01-09T01:38:49.1Z,2,REGULAR,steal,,[],1630625,,,1610612757,26,43,2025-01-09T01:40:11Z,1650000,False,,,0,,D. Banton STEAL (2 STL),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
171,PT09M29.00S,2025-01-09T01:38:58.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,67.7562417871222,30.637254901960787,1610612757,26,46,2025-01-09T01:39:39Z,1660000,False,-97.0,251.0,1,right,A. Simons 26' 3PT step back (6 PTS),[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.86,Made,6.0,,,,,,,,,,,,,,,,,
172,PT09M19.00S,2025-01-09T01:39:12.7Z,2,REGULAR,foul,personal,['2freethrow'],1631200,,,1610612740,26,46,2025-01-09T01:39:26Z,1670000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Alvarado 2 FT),"[1631200, 1630631]",1610612757.0,POR,shooting,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,1.0,0.0,Alvarado,1630631.0,,,,,,,,,
174,PT09M19.00S,2025-01-09T01:39:34.5Z,2,REGULAR,freethrow,1 of 2,[],1630631,,,1610612740,27,46,2025-01-09T01:39:34Z,1690000,False,,,0,,J. Alvarado Free Throw 1 of 2 (3 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
175,PT09M19.00S,2025-01-09T01:39:55.4Z,2,REGULAR,freethrow,2 of 2,[],1630631,,,1610612740,28,46,2025-01-09T01:39:55Z,1700000,False,,,0,,J. Alvarado Free Throw 2 of 2 (4 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
176,PT09M05.00S,2025-01-09T01:40:18.6Z,2,REGULAR,foul,personal,[],1629750,,,1610612757,28,46,2025-01-09T01:40:26Z,1710000,False,,,0,,J. Green personal FOUL (1 PF),"[1629750, 1629057]",1610612740.0,NOP,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,1.0,0.0,Williams III,1629057.0,,,,,,,,,
178,PT09M05.00S,2025-01-09T01:40:27.9Z,2,REGULAR,substitution,out,[],1628464,,,1610612757,28,46,2025-01-09T01:40:40Z,1730000,False,,,0,,SUB out: D. Theis,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
