actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT11M02.00S,2024-12-27T01:12:53.7Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,0,0,2024-12-27T01:15:10Z,160000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,Missi,Y. Missi,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
17,PT10M59.00S,2024-12-27T01:12:57.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,36.35019710906702,12.990196078431374,1610612740,0,0,2024-12-27T01:14:44Z,170000,False,185.0,289.0,1,left,MISS T. Murphy III 34' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,34.33,Missed,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
18,PT10M57.00S,2024-12-27T01:12:59.3Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612740,0,0,2024-12-27T01:14:44Z,180000,False,,,0,,D. Murray REBOUND (Off:1 Def:0),[1627749],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Murray,D. Murray,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,
19,PT10M55.00S,2024-12-27T01:13:01.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627749,7.5722733245729295,60.049019607843135,1610612740,0,0,2024-12-27T01:15:36Z,190000,False,-50.0,19.0,1,left,MISS D. Murray pullup Shot,[1627749],1610612740.0,NOP,pullup,,,,,,In The Paint (Non-RA),0-8 Center,5.36,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2024-12-27T01:13:03.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-12-27T01:15:36Z,200000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sengun,A. Sengun,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT10M41.00S,2024-12-27T01:13:12.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,78.53153745072274,8.823529411764707,1610612745,0,3,2024-12-27T01:16:00Z,210000,False,-206.0,149.0,1,right,J. Green 25' 3PT  (3 PTS) (F. VanVleet 1 AST),"[1630224, 1627832]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.43,Made,Green,J. Green,,,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,
23,PT10M21.00S,2024-12-27T01:13:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,11.908672798948752,48.03921568627451,1610612740,2,3,2024-12-27T01:16:14Z,230000,False,10.0,59.0,1,left,T. Murphy III 6' driving floating Jump Shot (2 PTS) (Y. Missi 1 AST),"[1630530, 1642274]",1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.02,Made,Murphy III,T. Murphy III,,,,,,,2.0,Y. Missi,1642274.0,1.0,,,,,,,,
25,PT10M07.00S,2024-12-27T01:13:47.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,76.82325886990802,39.950980392156865,1610612745,2,5,2024-12-27T01:13:52Z,250000,False,-50.0,165.0,1,right,J. Green 17' pullup Jump Shot (5 PTS),[1630224],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Center,17.29,Made,Green,J. Green,,,,,,,5.0,,,,,,,,,,,
26,PT09M49.00S,2024-12-27T01:14:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,4.944152431011826,50.73529411764706,1610612740,2,5,2024-12-27T01:17:05Z,260000,False,-4.0,-6.0,1,left,MISS Y. Missi DUNK - blocked,"[1642274, 1631095]",1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,0.7,Missed,Missi,Y. Missi,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,
27,PT09M49.00S,2024-12-27T01:14:06.6Z,1,REGULAR,block,,[],1631095,,,1610612740,2,5,2024-12-27T01:14:10Z,270000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2024-12-27T01:14:07.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,5,2024-12-27T01:17:05Z,280000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT09M42.00S,2024-12-27T01:14:14.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,71.69842312746385,76.9607843137255,1610612745,2,5,2024-12-27T01:17:28Z,290000,False,135.0,214.0,1,right,MISS J. Smith Jr. 25' running 3PT,[1631095],1610612745.0,HOU,running,,,,,,Above the Break 3,24+ Right Center,25.25,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
30,PT09M38.00S,2024-12-27T01:14:18.2Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,2,5,2024-12-27T01:17:38Z,300000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Sengun,A. Sengun,,,29.0,3.0,2.0,1.0,,,,,,,,,,,,
31,PT09M32.00S,2024-12-27T01:14:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,94.30026281208936,47.794117647058826,1610612745,2,7,2024-12-27T01:17:48Z,310000,False,-11.0,1.0,1,right,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,1.11,Made,Sengun,A. Sengun,,,,,,,2.0,,,,,,,,,,,
32,PT09M24.00S,2024-12-27T01:14:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,6.258212877792378,47.794117647058826,1610612740,4,7,2024-12-27T01:18:11Z,320000,False,11.0,6.0,1,left,H. Jones driving Layup (2 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,1.27,Made,Jones,H. Jones,,,,,,,2.0,C. McCollum,203468.0,1.0,,,,,,,,
33,PT09M12.00S,2024-12-27T01:14:42.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.04139290407359,26.47058823529412,1610612745,4,10,2024-12-27T01:14:47Z,330000,False,-118.0,220.0,1,right,F. VanVleet 24' 3PT pullup (3 PTS) (A. Thompson 1 AST),"[1627832, 1641708]",1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Left Center,24.92,Made,VanVleet,F. VanVleet,,,,,,,3.0,A. Thompson,1641708.0,1.0,,,,,,,,
35,PT09M03.00S,2024-12-27T01:14:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,5.469776609724048,48.529411764705884,1610612740,6,10,2024-12-27T01:14:56Z,350000,False,7.0,-1.0,1,left,H. Jones driving Layup (4 PTS) (D. Murray 1 AST),"[1630529, 1627749]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,0.75,Made,Jones,H. Jones,,,,,,,4.0,D. Murray,1627749.0,1.0,,,,,,,,
37,PT08M48.00S,2024-12-27T01:15:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.64323258869908,50.98039215686274,1610612745,6,12,2024-12-27T01:15:10Z,370000,False,5.0,7.0,1,right,J. Green driving Layup (7 PTS),[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,0.88,Made,Green,J. Green,,,,,,,7.0,,,,,,,,,,,
38,PT08M40.00S,2024-12-27T01:15:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,5.732588699080158,48.28431372549019,1610612740,8,12,2024-12-27T01:15:18Z,380000,False,9.0,1.0,1,left,C. McCollum driving Layup (2 PTS),[203468],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,0.87,Made,McCollum,C. McCollum,,,,,,,2.0,,,,,,,,,,,
39,PT08M30.00S,2024-12-27T01:15:25.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,77.21747700394218,12.990196078431374,1610612745,8,12,2024-12-27T01:19:45Z,390000,False,-185.0,162.0,1,right,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,24.57,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2024-12-27T01:15:27.7Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,8,12,2024-12-27T01:19:50Z,400000,False,,,0,,Y. Missi REBOUND (Off:1 Def:1),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,Missi,Y. Missi,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,
41,PT08M19.00S,2024-12-27T01:15:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,6.521024967148489,52.450980392156865,1610612740,8,12,2024-12-27T01:20:23Z,410000,False,-12.0,9.0,1,left,MISS T. Murphy III driving Layup - blocked,"[1630530, 1641708]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,1.51,Missed,Murphy III,T. Murphy III,Thompson,1641708.0,,,,,,,,,,,,,,,,
42,PT08M19.00S,2024-12-27T01:15:37.8Z,1,REGULAR,block,,[],1641708,,,1610612740,8,12,2024-12-27T01:15:39Z,420000,False,,,0,,A. Thompson BLOCK (2 BLK),[1641708],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2024-12-27T01:15:39.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,12,2024-12-27T01:20:23Z,430000,False,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Sengun,A. Sengun,,,41.0,4.0,3.0,1.0,,,,,,,,,,,,
44,PT08M10.00S,2024-12-27T01:15:45.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627832,93.77463863337714,47.05882352941176,1610612745,8,14,2024-12-27T01:20:35Z,440000,False,-15.0,6.0,1,right,F. VanVleet running Layup (5 PTS),[1627832],1610612745.0,HOU,running,,,,,,Restricted Area,0-8 Center,1.59,Made,VanVleet,F. VanVleet,,,,,,,5.0,,,,,,,,,,,
45,PT07M50.00S,2024-12-27T01:16:06.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,10.988830486202366,38.970588235294116,1610612740,8,14,2024-12-27T01:20:58Z,450000,False,55.0,51.0,1,left,MISS Y. Missi 7' driving Hook,[1642274],1610612740.0,NOP,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.49,Missed,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
46,PT07M48.00S,2024-12-27T01:16:08.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,14,2024-12-27T01:20:58Z,460000,False,,,0,,A. Sengun REBOUND (Off:1 Def:4),[1630578],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sengun,A. Sengun,,,45.0,5.0,4.0,1.0,,,,,,,,,,,,
47,PT07M45.00S,2024-12-27T01:16:11.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,68.41327201051249,70.83333333333334,1610612745,8,14,2024-12-27T01:21:21Z,470000,False,104.0,244.0,1,right,MISS F. VanVleet 26' running pullup 3PT,[1627832],1610612745.0,HOU,running pullup,,,,,,Above the Break 3,24+ Right Center,26.57,Missed,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,
48,PT07M41.00S,2024-12-27T01:16:15.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,8,14,2024-12-27T01:21:33Z,480000,False,,,0,,D. Murray REBOUND (Off:1 Def:1),[1627749],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Murray,D. Murray,,,47.0,2.0,1.0,1.0,,,,,,,,,,,,
49,PT07M35.00S,2024-12-27T01:16:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,8.360709592641262,48.28431372549019,1610612740,10,14,2024-12-27T01:16:24Z,490000,False,9.0,26.0,1,left,D. Murray running Layup (2 PTS),[1627749],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,2.75,Made,Murray,D. Murray,,,,,,,2.0,,,,,,,,,,,
50,PT07M16.00S,2024-12-27T01:16:38.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,79.31997371879106,73.77450980392157,1610612745,10,16,2024-12-27T01:21:51Z,500000,False,119.0,142.0,1,right,J. Green 18' pullup Jump Shot (9 PTS),[1630224],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Right Center,18.51,Made,Green,J. Green,,,,,,,9.0,,,,,,,,,,,
51,PT07M06.00S,2024-12-27T01:16:50.7Z,1,REGULAR,foul,personal,[],1627832,,,1610612740,10,16,2024-12-27T01:17:00Z,510000,False,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1630530]",1610612745.0,HOU,,,,,,,In The Paint (Non-RA),8-16 Center,,,VanVleet,F. VanVleet,,,,,,,,,,,201638.0,1.0,0.0,Murphy III,1630530.0,,,
53,PT06M55.00S,2024-12-27T01:17:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,8.623521681997373,50.98039215686274,1610612740,12,16,2024-12-27T01:22:22Z,530000,False,-5.0,29.0,1,left,H. Jones cutting Layup (6 PTS) (D. Murray 2 AST),"[1630529, 1627749]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,2.9,Made,Jones,H. Jones,,,,,,,6.0,D. Murray,1627749.0,2.0,,,,,,,,
55,PT06M31.00S,2024-12-27T01:17:49.5Z,1,REGULAR,3pt,Jump Shot,[],1627832,74.19513797634691,85.7843137254902,1610612745,12,19,2024-12-27T01:26:57Z,550000,False,179.0,190.0,1,right,F. VanVleet 26' 3PT  (8 PTS),[1627832],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,26.1,Made,VanVleet,F. VanVleet,,,,,,,8.0,,,,,,,,,,,
56,PT06M09.00S,2024-12-27T01:18:12.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,16.376478318002626,33.33333333333333,1610612740,14,19,2024-12-27T01:22:54Z,560000,False,83.0,101.0,1,left,D. Murray 13' driving floating Jump Shot (4 PTS) (Y. Missi 2 AST),"[1627749, 1642274]",1610612740.0,NOP,driving floating,,,,,,Mid-Range,8-16 Right,13.12,Made,Murray,D. Murray,,,,,,,4.0,Y. Missi,1642274.0,2.0,,,,,,,,
58,PT05M57.00S,2024-12-27T01:18:24.4Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,14,19,2024-12-27T01:23:14Z,580000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1627749]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,1.0,Murray,1627749.0
59,PT05M57.00S,2024-12-27T01:18:24.4Z,1,REGULAR,steal,,[],1627749,,,1610612740,14,19,2024-12-27T01:18:27Z,590000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,
60,PT05M54.00S,2024-12-27T01:18:28.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627749,5.995400788436268,50.98039215686274,1610612740,16,19,2024-12-27T01:23:22Z,600000,False,-5.0,4.0,1,left,D. Murray running Layup (6 PTS),[1627749],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,0.63,Made,Murray,D. Murray,,,,,,,6.0,,,,,,,,,,,
61,PT05M53.00S,2024-12-27T01:18:35.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612745,16,19,2024-12-27T01:18:35Z,610000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M53.00S,2024-12-27T01:21:09.9Z,1,REGULAR,substitution,out,[],1627749,,,1610612745,16,19,2024-12-27T01:21:29Z,620000,False,,,0,,SUB out: D. Murray,[1627749],1610612740.0,NOP,,,,,,,,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,
64,PT05M53.00S,2024-12-27T01:21:09.9Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,16,19,2024-12-27T01:21:29Z,630000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
65,PT05M53.00S,2024-12-27T01:21:09.9Z,1,REGULAR,substitution,in,[],1641722,,,1610612745,16,19,2024-12-27T01:21:29Z,640000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,,,,,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2024-12-27T01:21:09.9Z,1,REGULAR,substitution,in,[],203500,,,1610612745,16,19,2024-12-27T01:21:29Z,650000,False,,,0,,SUB in: S. Adams,[203500],1610612745.0,HOU,,,,,,,,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,
67,PT05M37.00S,2024-12-27T01:21:42.7Z,1,REGULAR,3pt,Jump Shot,[],1641708,93.11760840998686,3.9215686274509802,1610612745,16,19,2024-12-27T01:23:37Z,660000,False,-230.0,12.0,1,right,MISS A. Thompson 3PT,[1641708],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,23.07,Missed,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
68,PT05M33.00S,2024-12-27T01:21:46.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,16,19,2024-12-27T01:23:37Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,,,,,67.0,,,,,,,,,,,,,,,
70,PT05M22.00S,2024-12-27T01:22:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.1688567674113,46.81372549019608,1610612745,16,21,2024-12-27T01:24:09Z,690000,False,-16.0,2.0,1,right,S. Adams cutting Layup (2 PTS),[203500],1610612745.0,HOU,cutting,,,,,,Restricted Area,0-8 Center,1.61,Made,Adams,S. Adams,,,,,,,2.0,,,,,,,,,,,
71,PT05M22.00S,2024-12-27T01:22:17.7Z,1,REGULAR,foul,personal,['1freethrow'],1642274,,,1610612745,16,21,2024-12-27T01:22:28Z,700000,False,,,0,,Y. Missi shooting personal FOUL (1 PF) (Adams 1 FT),"[1642274, 203500]",1610612740.0,NOP,shooting,,,,,,Restricted Area,0-8 Center,,,Missi,Y. Missi,,,,,,,,,,,201638.0,1.0,0.0,Adams,203500.0,,,
73,PT05M22.00S,2024-12-27T01:22:33.8Z,1,REGULAR,substitution,out,[],1641708,,,1610612745,16,21,2024-12-27T01:22:54Z,720000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,,,,,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
74,PT05M22.00S,2024-12-27T01:22:33.8Z,1,REGULAR,substitution,in,[],1630256,,,1610612745,16,21,2024-12-27T01:22:54Z,730000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
75,PT05M22.00S,2024-12-27T01:22:54.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203500,,,1610612745,16,21,2024-12-27T01:22:57Z,740000,False,,,0,,MISS S. Adams Free Throw 1 of 1,[203500],1610612745.0,HOU,,,,,,,,,,Missed,Adams,S. Adams,,,,,,,,,,,,,,,,,,
76,PT05M21.00S,2024-12-27T01:22:55.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,16,21,2024-12-27T01:24:28Z,750000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,,,,,,,,Missi,Y. Missi,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,
77,PT05M06.00S,2024-12-27T01:23:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,11.777266754270697,36.76470588235294,1610612740,18,21,2024-12-27T01:23:15Z,760000,False,66.0,58.0,1,left,C. McCollum 8' driving floating bank Jump Shot (4 PTS) (T. Murphy III 1 AST),"[203468, 1630530]",1610612740.0,NOP,driving floating bank,,,,,,In The Paint (Non-RA),8-16 Right,8.81,Made,McCollum,C. McCollum,,,,,,,4.0,T. Murphy III,1630530.0,1.0,,,,,,,,
78,PT04M57.00S,2024-12-27T01:23:20.5Z,1,REGULAR,foul,personal,[],203468,,,1610612745,18,21,2024-12-27T01:23:25Z,770000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1630224]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,McCollum,C. McCollum,,,,,,,,,,,1628485.0,1.0,0.0,Green,1630224.0,,,
80,PT04M49.00S,2024-12-27T01:23:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,93.9060446780552,48.529411764705884,1610612745,18,23,2024-12-27T01:25:05Z,790000,False,-7.0,5.0,1,right,J. Green driving Layup (11 PTS),[1630224],1610612745.0,HOU,driving,,,,,,Restricted Area,0-8 Center,0.88,Made,Green,J. Green,,,,,,,11.0,,,,,,,,,,,
81,PT04M40.00S,2024-12-27T01:23:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,6.258212877792378,50.98039215686274,1610612740,18,23,2024-12-27T01:25:21Z,800000,False,-5.0,6.0,1,left,MISS T. Murphy III driving Layup - blocked,"[1630530, 203500]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,0.8,Missed,Murphy III,T. Murphy III,Adams,203500.0,,,,,,,,,,,,,,,,
82,PT04M40.00S,2024-12-27T01:23:52.6Z,1,REGULAR,block,,[],203500,,,1610612740,18,23,2024-12-27T01:23:55Z,810000,False,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,
