actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
15,PT10M52.00S,2025-03-09T23:11:43.0Z,1,REGULAR,2pt,Jump Shot,[],1642377,96.40275952693824,92.8921568627451,1610612763,2,0,2025-03-09T23:11:51Z,150000,False,214.0,-19.0,1,right,MISS J. Wells 21' Jump Shot,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right,21.53,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2025-03-09T23:11:49.5Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,2,0,2025-03-09T23:11:49Z,160000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:1),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Mid-Range,16-24 Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M45.00S,2025-03-09T23:12:02.3Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612740,2,0,2025-03-09T23:12:11Z,170000,False,,,0,,J. Morant shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1629630, 1630530]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1146.0,,,1.0,0.0,Murphy III,1630530.0,,,,,,,
19,PT10M45.00S,2025-03-09T23:12:16.9Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,3,0,2025-03-09T23:12:16Z,190000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
20,PT10M45.00S,2025-03-09T23:12:16.9Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,3,0,2025-03-09T23:12:37Z,200000,False,,,0,,MISS T. Murphy III Free Throw 2 of 2,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2025-03-09T23:12:19.9Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,3,0,2025-03-09T23:12:37Z,210000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M28.00S,2025-03-09T23:12:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641744,82.60512483574244,49.754901960784316,1610612763,3,2,2025-03-09T23:13:14Z,220000,False,-1.0,111.0,1,right,Z. Edey 11' floating Jump Shot (2 PTS) (D. Bane 1 AST),"[1641744, 1630217]",1610612763.0,MEM,floating,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Center,11.1,Made,,,,,,,2.0,,,,,D. Bane,1630217.0,1.0,,,,
24,PT10M19.00S,2025-03-09T23:12:57.8Z,1,REGULAR,3pt,Jump Shot,[],203482,32.53942181340342,23.03921568627451,1610612740,3,2,2025-03-09T23:13:02Z,240000,False,135.0,253.0,1,left,MISS K. Olynyk 28' 3PT,[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,28.7,Missed,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2025-03-09T23:13:00.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,3,2,2025-03-09T23:13:02Z,250000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M09.00S,2025-03-09T23:13:07.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,78.66294349540078,93.62745098039215,1610612763,3,2,2025-03-09T23:13:13Z,260000,False,218.0,148.0,1,right,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
27,PT10M07.00S,2025-03-09T23:13:10.3Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,3,2,2025-03-09T23:13:10Z,270000,False,,,0,,Z. Edey REBOUND (Off:1 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT10M01.00S,2025-03-09T23:13:19.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630217,88.38699080157687,46.568627450980394,1610612763,3,4,2025-03-09T23:14:06Z,280000,False,-17.0,57.0,1,right,D. Bane driving floating Jump Shot (2 PTS) (Z. Edey 1 AST),"[1630217, 1641744]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.93,Made,,,,,,,2.0,,,,,Z. Edey,1641744.0,1.0,,,,
29,PT10M01.00S,2025-03-09T23:13:24.8Z,1,REGULAR,foul,personal,['1freethrow'],1630631,,,1610612763,3,4,2025-03-09T23:13:34Z,290000,False,,,0,,J. Alvarado shooting personal FOUL (1 PF) (Bane 1 FT),"[1630631, 1630217]",1610612740.0,NOP,shooting,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628951.0,,,1.0,0.0,Bane,1630217.0,,,,,,,
31,PT10M01.00S,2025-03-09T23:13:44.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630217,,,1610612763,3,5,2025-03-09T23:13:44Z,310000,False,,,0,,D. Bane Free Throw 1 of 1 (3 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
32,PT09M48.00S,2025-03-09T23:13:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630631,26.231931668856767,18.627450980392158,1610612740,6,5,2025-03-09T23:14:05Z,320000,False,157.0,194.0,1,left,J. Alvarado 24' 3PT  (3 PTS) (K. Olynyk 1 AST),"[1630631, 203482]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,24.96,Made,,,,,,,3.0,,,,,K. Olynyk,203482.0,1.0,,,,
35,PT09M38.00S,2025-03-09T23:14:36.6Z,1,REGULAR,violation,kicked ball,[],1630631,,,1610612763,6,5,2025-03-09T23:14:45Z,350000,False,,,0,,J. Alvarado kicked ball VIOLATION,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,1146.0,,,,,,,,,,,,,
36,PT09M32.00S,2025-03-09T23:14:56.2Z,1,REGULAR,3pt,Jump Shot,[],1631246,67.09921156373193,32.59803921568628,1610612763,6,5,2025-03-09T23:15:03Z,360000,False,-87.0,257.0,1,right,MISS V. Williams Jr. 27' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Left Center,27.11,Missed,,,,,,,,,,,,,,,,,,
37,PT09M26.00S,2025-03-09T23:15:02.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,6,5,2025-03-09T23:15:03Z,370000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M16.00S,2025-03-09T23:15:11.0Z,1,REGULAR,3pt,Jump Shot,[],1641722,5.075558475689881,96.07843137254902,1610612740,9,5,2025-03-09T23:15:15Z,380000,False,-230.0,-5.0,1,left,J. Hawkins 3PT  (5 PTS) (T. Murphy III 1 AST),"[1641722, 1630530]",1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Left Corner 3,24+ Left,23.04,Made,,,,,,,5.0,,,,,T. Murphy III,1630530.0,1.0,,,,
40,PT09M02.00S,2025-03-09T23:15:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,87.20433639947439,50.245098039215684,1610612763,9,5,2025-03-09T23:16:39Z,400000,False,1.0,68.0,1,right,MISS J. Wells 6' driving floating Shot - blocked,"[1642377, 1630530]",1610612763.0,MEM,driving floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,6.78,Missed,,,,,,,,,,,,,,,Murphy III,1630530.0,,
41,PT09M02.00S,2025-03-09T23:15:25.2Z,1,REGULAR,block,,[],1630530,,,1610612763,9,5,2025-03-09T23:15:28Z,410000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M59.00S,2025-03-09T23:15:28.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,9,5,2025-03-09T23:15:32Z,420000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M46.00S,2025-03-09T23:15:45.9Z,1,REGULAR,turnover,3-second-violation,[],203482,,,1610612740,9,5,2025-03-09T23:16:01Z,430000,False,,,0,,K. Olynyk 3-second-violation TURNOVER (1 TO),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,1.0,,,,,,,,,,,,
44,PT08M32.00S,2025-03-09T23:16:09.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629630,90.22667542706965,31.862745098039213,1610612763,9,7,2025-03-09T23:17:09Z,440000,False,-91.0,39.0,1,right,J. Morant 9' driving floating Jump Shot (2 PTS) (D. Bane 2 AST),"[1629630, 1630217]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,9.89,Made,,,,,,,2.0,,,,,D. Bane,1630217.0,2.0,,,,
46,PT08M21.00S,2025-03-09T23:16:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,15.850854139290407,47.30392156862745,1610612740,11,7,2025-03-09T23:17:37Z,460000,False,13.0,96.0,1,left,Y. Missi 9' floating Jump Shot (2 PTS) (J. Alvarado 1 AST),"[1642274, 1630631]",1610612740.0,NOP,floating,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,9.74,Made,,,,,,,2.0,,,,,J. Alvarado,1630631.0,1.0,,,,
48,PT07M57.00S,2025-03-09T23:17:07.0Z,1,REGULAR,2pt,Jump Shot,[],1631246,91.80354796320631,29.65686274509804,1610612763,11,7,2025-03-09T23:17:13Z,480000,False,-102.0,25.0,1,right,MISS V. Williams Jr. 10' pullup Shot,[1631246],1610612763.0,MEM,pullup,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,10.46,Missed,,,,,,,,,,,,,,,,,,
49,PT07M54.00S,2025-03-09T23:17:10.0Z,1,REGULAR,rebound,defensive,[],203482,,,1610612740,11,7,2025-03-09T23:17:13Z,490000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Left,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M53.00S,2025-03-09T23:17:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642274,6.1268068331143235,46.568627450980394,1610612740,13,7,2025-03-09T23:17:21Z,500000,False,17.0,5.0,1,left,Y. Missi running Layup (4 PTS) (J. Alvarado 2 AST),"[1642274, 1630631]",1610612740.0,NOP,running,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.79,Made,,,,,,,4.0,,,,,J. Alvarado,1630631.0,2.0,,,,
52,PT07M53.00S,2025-03-09T23:17:16.1Z,1,REGULAR,foul,personal,['1freethrow'],1641744,,,1610612740,13,7,2025-03-09T23:17:32Z,520000,False,,,0,,Z. Edey shooting personal FOUL (1 PF) (Missi 1 FT),"[1641744, 1642274]",1610612763.0,MEM,shooting,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,,,1.0,0.0,Missi,1642274.0,,,,,,,
54,PT07M53.00S,2025-03-09T23:17:38.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1642274,,,1610612740,14,7,2025-03-09T23:17:38Z,540000,False,,,0,,Y. Missi Free Throw 1 of 1 (5 PTS),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
55,PT07M43.00S,2025-03-09T23:17:49.9Z,1,REGULAR,3pt,Jump Shot,[],1631246,67.09921156373193,47.794117647058826,1610612763,14,7,2025-03-09T23:18:53Z,550000,False,-11.0,257.0,1,right,MISS V. Williams Jr. 25' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,25.7,Missed,,,,,,,,,,,,,,,,,,
56,PT07M40.00S,2025-03-09T23:17:52.9Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,14,7,2025-03-09T23:18:53Z,560000,False,,,0,,Z. Edey REBOUND (Off:2 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Center,,,55.0,3.0,1.0,2.0,,,,,,,,,,,,,,
57,PT07M37.00S,2025-03-09T23:17:56.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1641744,89.96386333771353,62.5,1610612763,14,7,2025-03-09T23:19:31Z,570000,False,62.0,42.0,1,right,MISS Z. Edey 7' turnaround Hook,[1641744],1610612763.0,MEM,turnaround,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,,,
58,PT07M37.00S,2025-03-09T23:17:56.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,14,7,2025-03-09T23:18:03Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,57.0,,,,,,,,,,,,,,,,,
60,PT07M35.00S,2025-03-09T23:18:17.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,75.3777923784494,87.25490196078431,1610612763,14,10,2025-03-09T23:18:22Z,600000,False,186.0,179.0,1,right,D. Bane 25' 3PT  (6 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,25.83,Made,,,,,,,6.0,,,,,J. Morant,1629630.0,1.0,,,,
62,PT07M18.00S,2025-03-09T23:18:33.8Z,1,REGULAR,3pt,Jump Shot,[],1641722,22.026938239159,89.95098039215686,1610612740,14,10,2025-03-09T23:18:48Z,620000,False,-200.0,155.0,1,left,MISS J. Hawkins 25' pullup 3PT,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
63,PT07M17.00S,2025-03-09T23:18:34.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,14,10,2025-03-09T23:18:48Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,62.0,,,,,,,,,,,,,,,,,
64,PT07M17.00S,2025-03-09T23:18:44.1Z,1,REGULAR,foul,personal,[],203482,,,1610612763,14,10,2025-03-09T23:18:55Z,640000,False,,,0,,K. Olynyk loose ball personal FOUL (1 PF),"[203482, 1631246]",1610612740.0,NOP,loose ball,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,,,1.0,0.0,Williams Jr.,1631246.0,,,,,,,
66,PT07M01.00S,2025-03-09T23:19:08.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,62.5,43.13725490196079,1610612763,14,10,2025-03-09T23:19:19Z,660000,False,-34.0,300.0,1,right,MISS J. Morant 30' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,30.2,Missed,,,,,,,,,,,,,,,,,,
67,PT06M57.00S,2025-03-09T23:19:12.9Z,1,REGULAR,rebound,defensive,[],1641722,,,1610612740,14,10,2025-03-09T23:19:19Z,670000,False,,,0,,J. Hawkins REBOUND (Off:0 Def:2),[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Center,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT06M54.00S,2025-03-09T23:19:17.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630530,5.732588699080158,49.26470588235294,1610612740,16,10,2025-03-09T23:19:26Z,680000,False,4.0,1.0,1,left,T. Murphy III running alley-oop DUNK (3 PTS) (J. Alvarado 3 AST),"[1630530, 1630631]",1610612740.0,NOP,running alley-oop,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,,,3.0,,,,,J. Alvarado,1630631.0,3.0,,,,
70,PT06M45.00S,2025-03-09T23:19:35.1Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612763,16,10,2025-03-09T23:22:45Z,700000,False,,,0,,K. Olynyk shooting personal FOUL (2 PF) (Morant 2 FT),"[203482, 1629630]",1610612740.0,NOP,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,,,2.0,0.0,Morant,1629630.0,,,,,,,
72,PT06M45.00S,2025-03-09T23:19:48.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,16,10,2025-03-09T23:19:48Z,720000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M45.00S,2025-03-09T23:22:04.6Z,1,REGULAR,substitution,out,[],1631246,,,1610612763,16,10,2025-03-09T23:22:29Z,730000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M45.00S,2025-03-09T23:22:04.6Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,16,10,2025-03-09T23:22:29Z,740000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M45.00S,2025-03-09T23:22:49.8Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,16,10,2025-03-09T23:22:49Z,750000,False,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
78,PT06M45.00S,2025-03-09T23:22:49.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,16,10,2025-03-09T23:22:49Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,
79,PT06M45.00S,2025-03-09T23:23:01.9Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,16,11,2025-03-09T23:23:01Z,770000,False,,,0,,J. Morant Free Throw 2 of 2 (3 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
80,PT06M22.00S,2025-03-09T23:23:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,25.04927726675427,11.029411764705882,1610612740,16,11,2025-03-09T23:23:34Z,780000,False,195.0,183.0,1,left,MISS T. Murphy III 26' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,,,,,,,,,,,,,,
81,PT06M17.00S,2025-03-09T23:23:33.1Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,16,11,2025-03-09T23:23:34Z,790000,False,,,0,,Z. Edey REBOUND (Off:2 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,80.0,4.0,2.0,2.0,,,,,,,,,,,,,,
82,PT06M10.00S,2025-03-09T23:23:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,87.72996057818659,49.01960784313725,1610612763,16,11,2025-03-09T23:23:45Z,800000,False,-5.0,63.0,1,right,MISS J. Morant 6' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,6.3,Missed,,,,,,,,,,,,,,,,,,
83,PT06M09.00S,2025-03-09T23:23:40.4Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,16,11,2025-03-09T23:23:40Z,810000,False,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,82.0,1.0,0.0,1.0,,,,,,,,,,,,,,
84,PT06M03.00S,2025-03-09T23:23:45.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641744,93.9060446780552,58.57843137254902,1610612763,16,11,2025-03-09T23:24:41Z,820000,False,43.0,5.0,1,right,MISS Z. Edey reverse Layup - blocked,"[1641744, 1630631]",1610612763.0,MEM,reverse,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,4.32,Missed,,,,,,,,,,,,,,,Alvarado,1630631.0,,
85,PT06M03.00S,2025-03-09T23:23:45.9Z,1,REGULAR,block,,[],1630631,,,1610612763,16,11,2025-03-09T23:23:48Z,830000,False,,,0,,J. Alvarado BLOCK (1 BLK),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
86,PT06M00.00S,2025-03-09T23:23:48.9Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,16,11,2025-03-09T23:23:51Z,840000,False,,,0,,Z. Edey REBOUND (Off:3 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,5.0,2.0,3.0,,,,,,,,,,,,,,
