actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT10M58.00S,2024-11-16T01:11:32.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,3,2024-11-16T01:11:36Z,170000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Ingram,B. Ingram,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M52.00S,2024-11-16T01:11:40.8Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,0,3,2024-11-16T01:11:51Z,180000,False,,,0,,B. Ingram lost ball out-of-bounds TURNOVER (2 TO),[1627742],1610612740.0,NOP,lost ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,Ingram,B. Ingram,,,,2.0,,,,,,,202049.0,,,,,,,
19,PT10M32.00S,2024-11-16T01:12:10.1Z,1,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612743,0,3,2024-11-16T01:12:17Z,190000,False,,,0,,Y. Missi shooting personal FOUL (1 PF) (Watson 2 FT),"[1642274, 1631212]",1610612740.0,NOP,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Missi,Y. Missi,,,,,,,,,,,202049.0,1.0,0.0,Watson,1631212.0,,,
21,PT10M32.00S,2024-11-16T01:12:37.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631212,,,1610612743,0,4,2024-11-16T01:12:37Z,210000,False,,,0,,P. Watson Free Throw 1 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,,,,,,,Made,1.0,Watson,P. Watson,,,,,,,,,,,,,,,,,,
22,PT10M32.00S,2024-11-16T01:12:55.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631212,,,1610612743,0,5,2024-11-16T01:12:55Z,220000,False,,,0,,P. Watson Free Throw 2 of 2 (2 PTS),[1631212],1610612743.0,DEN,,,,,,,,,,Made,2.0,Watson,P. Watson,,,,,,,,,,,,,,,,,,
23,PT10M17.00S,2024-11-16T01:13:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,83.52496714848883,53.92156862745098,1610612740,2,5,2024-11-16T01:13:33Z,230000,False,20.0,102.0,1,right,T. Murphy III 10' driving floating Jump Shot (2 PTS) (B. Ingram 1 AST),"[1630530, 1627742]",1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.43,Made,2.0,Murphy III,T. Murphy III,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
25,PT10M07.00S,2024-11-16T01:13:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,7.440867279894875,53.431372549019606,1610612743,2,5,2024-11-16T01:14:29Z,250000,False,-17.0,17.0,1,left,MISS C. Braun driving Layup,[1631128],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,2.45,Missed,,Braun,C. Braun,,,,,,,,,,,,,,,,,,
26,PT10M06.00S,2024-11-16T01:13:22.8Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,2,5,2024-11-16T01:14:38Z,260000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,
27,PT10M06.00S,2024-11-16T01:13:26.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629008,5.590000152587891,50.0,1610612743,2,7,2024-11-16T02:02:31Z,270000,False,0.0,0.0,1,left,M. Porter Jr. tip Layup (2 PTS),[1629008],1610612743.0,DEN,tip,,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
28,PT09M50.00S,2024-11-16T01:13:37.6Z,1,REGULAR,3pt,Jump Shot,[],1630527,79.31997371879106,91.42156862745098,1610612740,5,7,2024-11-16T01:13:43Z,280000,False,207.0,142.0,1,right,B. Boston Jr. 25' 3PT  (3 PTS) (T. Murphy III 1 AST),"[1630527, 1630530]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,25.1,Made,3.0,Boston Jr.,B. Boston Jr.,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,,,
30,PT09M31.00S,2024-11-16T01:13:57.4Z,1,REGULAR,2pt,Jump Shot,[],1629008,15.850854139290407,82.35294117647058,1610612743,5,7,2024-11-16T01:14:02Z,300000,False,-162.0,96.0,1,left,MISS M. Porter Jr. 18' fadeaway Shot,[1629008],1610612743.0,DEN,fadeaway,,,,,,Mid-Range,16-24 Left,18.84,Missed,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2024-11-16T01:14:00.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,7,2024-11-16T01:14:02Z,310000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Left,,,,Ingram,B. Ingram,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,
32,PT09M25.00S,2024-11-16T01:14:08.1Z,1,REGULAR,turnover,bad pass,[],1630530,,,1610612740,5,7,2024-11-16T01:14:20Z,320000,False,,,0,,T. Murphy III bad pass TURNOVER (1 TO),"[1630530, 1631128]",1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,,,,Murphy III,T. Murphy III,,,,1.0,Braun,1631128.0,,,,,,,,,,,,
33,PT09M25.00S,2024-11-16T01:14:08.1Z,1,REGULAR,steal,,[],1631128,,,1610612743,5,7,2024-11-16T01:14:14Z,330000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,
34,PT09M25.00S,2024-11-16T01:14:15.9Z,1,REGULAR,turnover,out-of-bounds,[],1631128,,,1610612743,5,7,2024-11-16T01:14:34Z,340000,False,,,0,,C. Braun bad pass out-of-bounds TURNOVER (1 TO),[1631128],1610612743.0,DEN,bad pass,,,,,,Mid-Range,8-16 Left,,,,Braun,C. Braun,,,,1.0,,,,,,,202049.0,,,,,,,
35,PT09M10.00S,2024-11-16T01:15:04.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630527,77.7431011826544,27.941176470588236,1610612740,7,7,2024-11-16T01:15:53Z,350000,False,-110.0,157.0,1,right,B. Boston Jr. 19' pullup Jump Shot (5 PTS),[1630527],1610612740.0,NOP,pullup,,,,,,Mid-Range,16-24 Left Center,19.16,Made,5.0,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
36,PT08M53.00S,2024-11-16T01:15:16.7Z,1,REGULAR,3pt,Jump Shot,[],203967,32.14520367936925,66.17647058823529,1610612743,7,7,2024-11-16T01:15:22Z,360000,False,-81.0,250.0,1,left,MISS D. Šarić 26' 3PT,[203967],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,26.25,Missed,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2024-11-16T01:15:19.7Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,7,7,2024-11-16T01:15:22Z,370000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Boston Jr.,B. Boston Jr.,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,
38,PT08M39.00S,2024-11-16T01:15:31.5Z,1,REGULAR,3pt,Jump Shot,[],1630530,74.06373193166885,16.42156862745098,1610612740,7,7,2024-11-16T01:15:36Z,380000,False,-168.0,191.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
39,PT08M36.00S,2024-11-16T01:15:34.5Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,7,7,2024-11-16T01:15:36Z,390000,False,,,0,,P. Watson REBOUND (Off:0 Def:2),[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Watson,P. Watson,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,
40,PT08M25.00S,2024-11-16T01:15:45.4Z,1,REGULAR,turnover,bad pass,[],203967,,,1610612743,7,7,2024-11-16T01:15:49Z,400000,False,,,0,,D. Šarić bad pass TURNOVER (1 TO),"[203967, 1630527]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Šarić,D. Šarić,,,,1.0,Boston Jr.,1630527.0,,,,,,,,,,,,
41,PT08M25.00S,2024-11-16T01:15:45.4Z,1,REGULAR,steal,,[],1630527,,,1610612740,7,7,2024-11-16T01:19:29Z,410000,False,,,0,,B. Boston Jr. STEAL (1 STL),[1630527],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
42,PT08M20.00S,2024-11-16T01:15:52.0Z,1,REGULAR,foul,personal,[],203967,,,1610612740,7,7,2024-11-16T01:16:10Z,420000,False,,,0,,D. Šarić personal FOUL (1 PF),"[203967, 1627742]",1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Šarić,D. Šarić,,,,,,,,,,,202026.0,1.0,0.0,Ingram,1627742.0,,,
44,PT08M11.00S,2024-11-16T01:16:27.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,89.83245729303549,57.35294117647059,1610612740,7,7,2024-11-16T01:16:32Z,440000,False,37.0,43.0,1,right,MISS B. Ingram fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2024-11-16T01:16:29.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,7,7,2024-11-16T01:16:32Z,450000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,
46,PT07M55.00S,2024-11-16T01:16:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203967,6.389618922470433,46.568627450980394,1610612743,7,9,2024-11-16T01:16:46Z,460000,False,17.0,8.0,1,left,D. Šarić Layup (2 PTS) (C. Braun 1 AST),"[203967, 1631128]",1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,1.88,Made,2.0,Šarić,D. Šarić,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,,
48,PT07M44.00S,2024-11-16T01:16:53.0Z,1,REGULAR,3pt,Jump Shot,[],1629750,96.27135348226018,95.58823529411765,1610612740,7,9,2024-11-16T01:16:57Z,480000,False,228.0,-17.0,1,right,MISS J. Green 3PT,[1629750],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,22.86,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
49,PT07M42.00S,2024-11-16T01:16:55.0Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,7,9,2024-11-16T01:16:57Z,490000,False,,,0,,P. Watson REBOUND (Off:0 Def:3),[1631212],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,,,Watson,P. Watson,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,
50,PT07M33.00S,2024-11-16T01:17:04.8Z,1,REGULAR,3pt,Jump Shot,[],203967,29.77989487516426,26.47058823529412,1610612743,7,9,2024-11-16T01:17:09Z,500000,False,118.0,227.0,1,left,MISS D. Šarić 25' 3PT,[203967],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2024-11-16T01:17:07.8Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,7,9,2024-11-16T01:17:09Z,510000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:2),[1630527],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Boston Jr.,B. Boston Jr.,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,
52,PT07M20.00S,2024-11-16T01:17:18.2Z,1,REGULAR,turnover,bad pass,[],1642274,,,1610612740,7,9,2024-11-16T01:17:22Z,520000,False,,,0,,Y. Missi bad pass TURNOVER (1 TO),"[1642274, 1631128]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Missi,Y. Missi,,,,1.0,Braun,1631128.0,,,,,,,,,,,,
53,PT07M20.00S,2024-11-16T01:17:18.2Z,1,REGULAR,steal,,[],1631128,,,1610612743,7,9,2024-11-16T01:17:20Z,530000,False,,,0,,C. Braun STEAL (2 STL),[1631128],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,
54,PT07M17.00S,2024-11-16T01:17:21.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,6.783837056504599,52.450980392156865,1610612743,7,11,2024-11-16T01:17:29Z,540000,False,-12.0,11.0,1,left,C. Braun running DUNK (2 PTS),[1631128],1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,Braun,C. Braun,,,,,,,,,,,,,,,,,,
55,PT06M54.00S,2024-11-16T01:17:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630527,93.9060446780552,54.41176470588235,1610612740,7,11,2024-11-16T01:17:49Z,550000,False,22.0,5.0,1,right,MISS B. Boston Jr. driving Layup,[1630527],1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,2.26,Missed,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
56,PT06M51.00S,2024-11-16T01:17:46.6Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,7,11,2024-11-16T01:17:49Z,560000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,55.0,1.0,0.0,1.0,,,,,,,,
57,PT06M45.00S,2024-11-16T01:17:52.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630530,86.5473061760841,10.53921568627451,1610612740,9,11,2024-11-16T01:18:30Z,570000,False,-197.0,74.0,1,right,T. Murphy III 21' step back Jump Shot (4 PTS),[1630530],1610612740.0,NOP,step back,,,,,,Mid-Range,16-24 Left,21.07,Made,4.0,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
58,PT06M25.00S,2024-11-16T01:18:13.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,7.5722733245729295,45.34313725490196,1610612743,9,13,2024-11-16T01:18:18Z,580000,False,23.0,19.0,1,left,M. Porter Jr. cutting DUNK (4 PTS) (D. Šarić 2 AST),"[1629008, 203967]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,2.99,Made,4.0,Porter Jr.,M. Porter Jr.,D. Šarić,203967.0,2.0,,,,,,,,,,,,,,,
60,PT06M25.00S,2024-11-16T01:18:19.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,13,2024-11-16T01:18:19Z,600000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M25.00S,2024-11-16T01:18:58.7Z,1,REGULAR,substitution,out,[],1630530,,,1610612740,9,13,2024-11-16T01:20:52Z,610000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,,,,,,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
62,PT06M25.00S,2024-11-16T01:18:58.7Z,1,REGULAR,substitution,in,[],1630526,,,1610612740,9,13,2024-11-16T01:20:52Z,620000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
63,PT06M13.00S,2024-11-16T01:21:22.9Z,1,REGULAR,3pt,Jump Shot,[],1630527,70.51576872536137,25.98039215686275,1610612740,9,13,2024-11-16T01:21:27Z,630000,False,-120.0,225.0,1,right,MISS B. Boston Jr. 25' 3PT,[1630527],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,
64,PT06M11.00S,2024-11-16T01:21:24.9Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,9,13,2024-11-16T01:21:27Z,640000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Braun,C. Braun,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,
65,PT06M06.00S,2024-11-16T01:21:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629008,7.440867279894875,47.30392156862745,1610612743,9,13,2024-11-16T01:21:37Z,650000,False,13.0,17.0,1,left,MISS M. Porter Jr. running Layup,[1629008],1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,2.2,Missed,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
66,PT06M06.00S,2024-11-16T01:21:32.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,9,13,2024-11-16T01:21:32Z,660000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,65.0,,,,,,,,,,,
68,PT05M59.00S,2024-11-16T01:21:54.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631212,30.17411300919842,74.75490196078431,1610612743,9,16,2024-11-16T01:21:59Z,680000,False,-124.0,231.0,1,left,P. Watson 26' 3PT  (5 PTS) (J. Murray 1 AST),"[1631212, 1627750]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,26.22,Made,5.0,Watson,P. Watson,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,,
70,PT05M43.00S,2024-11-16T01:22:11.9Z,1,REGULAR,foul,personal,['2freethrow'],203967,,,1610612740,9,16,2024-11-16T01:22:34Z,700000,False,,,0,,D. Šarić shooting personal FOUL (2 PF) (Missi 2 FT),"[203967, 1642274]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,,,Šarić,D. Šarić,,,,,,,,,,,1628954.0,2.0,0.0,Missi,1642274.0,,,
72,PT05M43.00S,2024-11-16T01:22:40.2Z,1,REGULAR,freethrow,1 of 2,[],1642274,,,1610612740,10,16,2024-11-16T01:22:40Z,720000,False,,,0,,Y. Missi Free Throw 1 of 2 (1 PTS),[1642274],1610612740.0,NOP,,,,,,,,,,Made,1.0,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
73,PT05M43.00S,2024-11-16T01:22:43.2Z,1,REGULAR,substitution,out,[],203967,,,1610612740,10,16,2024-11-16T01:22:48Z,730000,False,,,0,,SUB out: D. Šarić,[203967],1610612743.0,DEN,,,,,,,,,,,,Šarić,D. Šarić,,,,,,,,,,,,,,,,,,
74,PT05M43.00S,2024-11-16T01:22:43.2Z,1,REGULAR,substitution,in,[],1630192,,,1610612740,10,16,2024-11-16T01:22:48Z,740000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,,,,,,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,
75,PT05M43.00S,2024-11-16T01:23:07.8Z,1,REGULAR,freethrow,2 of 2,[],1642274,,,1610612740,11,16,2024-11-16T01:23:07Z,750000,False,,,0,,Y. Missi Free Throw 2 of 2 (2 PTS),[1642274],1610612740.0,NOP,,,,,,,,,,Made,2.0,Missi,Y. Missi,,,,,,,,,,,,,,,,,,
76,PT05M20.00S,2024-11-16T01:23:32.0Z,1,REGULAR,2pt,Jump Shot,[],1629008,14.273981603153747,76.7156862745098,1610612743,11,18,2024-11-16T02:08:55Z,760000,False,-134.0,82.0,1,left,M. Porter Jr. 15' step back Jump Shot (6 PTS) (C. Braun 2 AST),"[1629008, 1631128]",1610612743.0,DEN,step back,,,,,,Mid-Range,8-16 Left,15.66,Made,6.0,Porter Jr.,M. Porter Jr.,C. Braun,1631128.0,2.0,,,,,,,,,,,,,,,
78,PT05M09.00S,2024-11-16T01:23:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,80.1084099868594,60.049019607843135,1610612740,13,18,2024-11-16T01:23:49Z,780000,False,50.0,134.0,1,right,B. Ingram 14' fadeaway Jump Shot (2 PTS),[1627742],1610612740.0,NOP,fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,14.36,Made,2.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
80,PT04M49.00S,2024-11-16T01:24:07.1Z,1,REGULAR,substitution,out,[],1629750,,,1610612743,13,18,2024-11-16T01:24:14Z,800000,False,,,0,,SUB out: J. Green,[1629750],1610612740.0,NOP,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
82,PT04M49.00S,2024-11-16T01:24:07.1Z,1,REGULAR,substitution,in,[],1631288,,,1610612743,13,18,2024-11-16T01:24:14Z,820000,False,,,0,,SUB in: J. Cain,[1631288],1610612740.0,NOP,,,,,,,,,,,,Cain,J. Cain,,,,,,,,,,,,,,,,,,
83,PT04M49.00S,2024-11-16T01:24:07.1Z,1,REGULAR,substitution,in,[],1631124,,,1610612743,13,18,2024-11-16T01:24:14Z,830000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,,,,,,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,
90,PT04M49.00S,2024-11-16T01:24:07.1Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,13,18,2024-11-16T01:25:05Z,835000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
