actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
71,PT06M11.00S,2023-11-16T03:20:44.5Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,8,15,2023-11-16T03:20:47Z,680000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:3),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,70.0,,,,,3.0,3.0,0.0,,,,,,,,,,
72,PT06M03.00S,2023-11-16T03:20:53.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,10.5946123521682,37.00980392156863,1610612739,8,17,2023-11-16T03:21:00Z,690000,False,65.0,47.0,1,left,J. Allen 8' turnaround Hook (2 PTS) (M. Strus 3 AST),"[1628386, 1629622]",1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,8.03,Made,,2.0,M. Strus,1629622.0,3.0,,,,,,,,,,,,,
74,PT06M02.00S,2023-11-16T03:20:58.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,8,17,2023-11-16T03:20:58Z,710000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,out,[],1630219,,,1610612757,8,17,2023-11-16T03:23:46Z,720000,False,,,0,,SUB out: S. Mays,[1630219],1610612757.0,POR,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,out,[],203924,,,1610612757,8,17,2023-11-16T03:23:46Z,730000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612757,8,17,2023-11-16T03:23:46Z,740000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,in,[],1631123,,,1610612757,8,17,2023-11-16T03:23:46Z,750000,False,,,0,,SUB in: J. Bouyea,[1631123],1610612757.0,POR,,,,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,in,[],1631133,,,1610612757,8,17,2023-11-16T03:23:46Z,760000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M02.00S,2023-11-16T03:22:42.7Z,1,REGULAR,substitution,in,[],1627777,,,1610612757,8,17,2023-11-16T03:23:46Z,770000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2023-11-16T03:24:04.7Z,1,REGULAR,foul,personal,[],1627747,,,1610612757,8,17,2023-11-16T03:24:12Z,780000,False,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 1629028]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Center,,,,,,,,,,,204059.0,1.0,0.0,Ayton,1629028.0,,,,,
83,PT05M37.00S,2023-11-16T03:24:32.9Z,1,REGULAR,3pt,Jump Shot,[],1631123,71.82982917214193,77.94117647058823,1610612757,8,17,2023-11-16T03:24:37Z,800000,False,140.0,212.0,1,right,MISS J. Bouyea 25' step back 3PT,[1631123],1610612757.0,POR,step back,,,Bouyea,J. Bouyea,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
84,PT05M37.00S,2023-11-16T03:24:34.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,8,17,2023-11-16T03:24:34Z,810000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Right Center,,,83.0,,,,,,,,,,,,,,,,,
85,PT05M37.00S,2023-11-16T03:24:35.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,8,17,2023-11-16T03:24:42Z,820000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,204059.0,,,,,,,,,
86,PT05M16.00S,2023-11-16T03:25:12.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,15.588042049934298,88.97058823529412,1610612739,8,19,2023-11-16T03:25:16Z,830000,False,-195.0,94.0,1,left,D. Mitchell 21' pullup Jump Shot (7 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,21.64,Made,,7.0,,,,,,,,,,,,,,,,
87,PT05M05.00S,2023-11-16T03:25:28.7Z,1,REGULAR,foul,technical,['1freethrow'],1627777,,,1610612757,8,19,2023-11-16T03:25:36Z,840000,False,,,0,,G. Niang defensive-3-second technical FOUL (1 Tech),[1627777],1610612739.0,CLE,defensive-3-second,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201246.0,0.0,1.0,,,,,,,
88,PT05M05.00S,2023-11-16T03:25:46.7Z,1,REGULAR,freethrow,1 of 1,[],1631101,,,1610612757,9,19,2023-11-16T03:25:46Z,850000,False,,,0,,S. Sharpe technical Free Throw 1 of 1 (6 PTS),[1631101],1610612757.0,POR,technical,,,Sharpe,S. Sharpe,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
