actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
21,PT10M51.00S,2023-12-27T03:13:28.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627734,5.590000152587891,50.0,1610612758,0,5,2023-12-27T03:14:51Z,210000,False,0.0,0.0,1,left,D. Sabonis tip Layup (5 PTS),[1627734],1610612758.0,SAC,tip,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,5.0,,,,,,,,,,,,,
22,PT10M34.00S,2023-12-27T03:13:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,94.56307490144546,52.450980392156865,1610612757,2,5,2023-12-27T03:13:48Z,220000,False,12.0,-1.0,1,right,A. Simons driving Layup (2 PTS) (M. Brogdon 1 AST),"[1629014, 1627763]",1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,
24,PT10M26.00S,2023-12-27T03:13:53.3Z,1,REGULAR,3pt,Jump Shot,[],1628989,20.97568988173456,91.66666666666666,1610612758,2,8,2023-12-27T03:13:59Z,240000,False,-208.0,145.0,1,left,K. Huerter 25' 3PT  (3 PTS) (K. Murray 2 AST),"[1628989, 1631099]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,25.36,Made,,,,,3.0,K. Murray,1631099.0,2.0,,,,,,,,,,
26,PT10M11.00S,2023-12-27T03:14:07.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,78.40013140604468,70.34313725490196,1610612757,2,8,2023-12-27T03:14:14Z,260000,False,102.0,151.0,1,right,MISS A. Simons 18' step back Shot,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,18.16,Missed,,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2023-12-27T03:14:09.6Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612757,2,8,2023-12-27T03:14:14Z,270000,False,,,0,,M. Brown REBOUND (Off:1 Def:0),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Mid-Range,16-24 Right Center,,,,,26.0,,,,,,,,,,1.0,0.0,1.0,,,
28,PT10M09.00S,2023-12-27T03:14:11.4Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612757,2,8,2023-12-27T03:14:19Z,280000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Brown 2 FT),"[1631099, 1629650]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,1204.0,,,,,1.0,0.0,Brown,1629650.0,,,,,,
30,PT10M09.00S,2023-12-27T03:14:35.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629650,,,1610612757,2,8,2023-12-27T03:14:53Z,300000,False,,,0,,MISS M. Brown Free Throw 1 of 2,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT10M09.00S,2023-12-27T03:14:35.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,2,8,2023-12-27T03:14:53Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
32,PT10M09.00S,2023-12-27T03:14:35.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629650,,,1610612757,2,8,2023-12-27T03:14:53Z,320000,False,,,0,,MISS M. Brown Free Throw 2 of 2,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT10M07.00S,2023-12-27T03:14:37.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,8,2023-12-27T03:14:53Z,330000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,32.0,,,,,,,,,,2.0,1.0,1.0,,,
34,PT09M56.00S,2023-12-27T03:15:03.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,28.33442838370565,21.323529411764707,1610612758,2,8,2023-12-27T03:15:08Z,340000,False,143.0,214.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
35,PT09M52.00S,2023-12-27T03:15:07.1Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,2,8,2023-12-27T03:15:11Z,350000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,34.0,,,,,,,,,,1.0,0.0,1.0,,,
36,PT09M47.00S,2023-12-27T03:15:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,6.1268068331143235,47.794117647058826,1610612758,2,10,2023-12-27T03:15:18Z,360000,False,11.0,5.0,1,left,D. Sabonis driving reverse Layup (7 PTS),[1627734],1610612758.0,SAC,driving reverse,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.21,Made,,,,,7.0,,,,,,,,,,,,,
37,PT09M29.00S,2023-12-27T03:15:29.6Z,1,REGULAR,2pt,Jump Shot,[],1627763,93.9060446780552,21.568627450980394,1610612757,4,10,2023-12-27T03:15:33Z,370000,False,-142.0,5.0,1,right,M. Brogdon 14' driving floating Jump Shot (2 PTS) (A. Simons 1 AST),"[1627763, 1629014]",1610612757.0,POR,driving floating,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,14.23,Made,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,
39,PT09M15.00S,2023-12-27T03:15:44.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,5.732588699080158,3.1862745098039214,1610612758,4,10,2023-12-27T03:15:48Z,390000,False,234.0,1.0,1,left,MISS D. Fox step back 3PT,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
40,PT09M12.00S,2023-12-27T03:15:47.2Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612757,4,10,2023-12-27T03:15:48Z,400000,False,,,0,,M. Brown REBOUND (Off:1 Def:1),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Right Corner 3,24+ Right,,,,,39.0,,,,,,,,,,2.0,1.0,1.0,,,
41,PT09M05.00S,2023-12-27T03:15:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203924,96.00854139290408,48.77450980392157,1610612757,6,10,2023-12-27T03:15:58Z,410000,False,-6.0,-15.0,1,right,J. Grant driving DUNK (2 PTS),[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,1.62,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M55.00S,2023-12-27T03:16:04.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,34.510512483574246,32.84313725490196,1610612758,6,10,2023-12-27T03:16:08Z,420000,False,86.0,272.0,1,left,MISS K. Huerter 28' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,28.51,Missed,,,,,,,,,,,,,,,,,,
43,PT08M53.00S,2023-12-27T03:16:06.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612757,6,10,2023-12-27T03:16:08Z,430000,False,,,0,,M. Brown REBOUND (Off:1 Def:2),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Center,,,,,42.0,,,,,,,,,,3.0,2.0,1.0,,,
44,PT08M39.00S,2023-12-27T03:16:20.1Z,1,REGULAR,2pt,Jump Shot,[],203924,87.33574244415243,77.69607843137256,1610612757,8,10,2023-12-27T03:16:30Z,440000,False,138.0,67.0,1,right,J. Grant 15' pullup Jump Shot (4 PTS) (M. Brogdon 2 AST),"[203924, 1627763]",1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,15.36,Made,,,,,4.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,
46,PT08M20.00S,2023-12-27T03:16:38.9Z,1,REGULAR,2pt,Jump Shot,[],1631099,21.632720105124836,63.725490196078425,1610612758,8,10,2023-12-27T03:16:43Z,460000,False,-69.0,151.0,1,left,MISS K. Murray 16' step back Shot,[1631099],1610612758.0,SAC,step back,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,16.57,Missed,,,,,,,,,,,,,,,,,,
47,PT08M17.00S,2023-12-27T03:16:41.9Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612757,8,10,2023-12-27T03:16:43Z,470000,False,,,0,,M. Brown REBOUND (Off:1 Def:3),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Mid-Range,16-24 Left Center,,,,,46.0,,,,,,,,,,4.0,3.0,1.0,,,
48,PT08M12.00S,2023-12-27T03:16:46.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,72.09264126149803,75.98039215686273,1610612757,11,10,2023-12-27T03:16:51Z,480000,False,130.0,210.0,1,right,M. Brogdon 24' 3PT running pullup (5 PTS),[1627763],1610612757.0,POR,running pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,24.68,Made,,,,,5.0,,,,,,,,,,,,,
49,PT08M03.00S,2023-12-27T03:16:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,10.988830486202366,51.470588235294116,1610612758,11,12,2023-12-27T03:16:59Z,490000,False,-7.0,51.0,1,left,D. Fox driving floating Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,5.13,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
51,PT07M50.00S,2023-12-27T03:17:09.1Z,1,REGULAR,turnover,bad pass,[],1629014,,,1610612757,11,12,2023-12-27T03:17:15Z,510000,False,,,0,,A. Simons bad pass TURNOVER (1 TO),"[1629014, 203084]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Barnes,203084.0
52,PT07M50.00S,2023-12-27T03:17:09.1Z,1,REGULAR,steal,,[],203084,,,1610612758,11,12,2023-12-27T03:17:11Z,520000,False,,,0,,H. Barnes STEAL (1 STL),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M43.00S,2023-12-27T03:17:16.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631099,22.552562417871222,87.74509803921569,1610612758,11,12,2023-12-27T03:17:20Z,530000,False,-189.0,159.0,1,left,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,24.71,Missed,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2023-12-27T03:17:19.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,11,12,2023-12-27T03:17:20Z,540000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,,53.0,,,,,,,,,,1.0,1.0,0.0,,,
55,PT07M26.00S,2023-12-27T03:17:32.5Z,1,REGULAR,3pt,Jump Shot,[],1627763,69.99014454664915,72.05882352941177,1610612757,11,12,2023-12-27T03:17:36Z,550000,False,110.0,230.0,1,right,MISS M. Brogdon 25' 3PT,[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2023-12-27T03:17:34.5Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612757,11,12,2023-12-27T03:17:36Z,560000,False,,,0,,M. Brown REBOUND (Off:2 Def:3),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Right Center,,,,,55.0,,,,,,,,,,5.0,3.0,2.0,,,
58,PT07M24.00S,2023-12-27T03:17:41.3Z,1,REGULAR,turnover,traveling,[],1629650,,,1610612757,11,12,2023-12-27T03:17:46Z,580000,False,,,0,,M. Brown traveling TURNOVER (1 TO),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Mid-Range,8-16 Left,,,,,,1199.0,,,,,,,,,,,,1.0,,
59,PT07M11.00S,2023-12-27T03:18:04.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628989,32.933639947437584,32.84313725490196,1610612758,11,12,2023-12-27T03:18:08Z,590000,False,86.0,257.0,1,left,MISS K. Huerter 27' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,27.1,Missed,,,,,,,,,,,,,,,,,,
60,PT07M08.00S,2023-12-27T03:18:07.6Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612757,11,12,2023-12-27T03:18:08Z,600000,False,,,0,,M. Brown REBOUND (Off:2 Def:4),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Right Center,,,,,59.0,,,,,,,,,,6.0,4.0,2.0,,,
61,PT06M49.00S,2023-12-27T03:18:26.5Z,1,REGULAR,3pt,Jump Shot,[],1641739,68.54467805519053,22.30392156862745,1610612757,11,12,2023-12-27T03:18:30Z,610000,False,-138.0,243.0,1,right,MISS T. Camara 27' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,27.99,Missed,,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2023-12-27T03:18:29.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,11,12,2023-12-27T03:18:30Z,620000,False,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,61.0,,,,,,,,,,2.0,1.0,1.0,,,
63,PT06M39.00S,2023-12-27T03:18:39.2Z,1,REGULAR,foul,personal,['2freethrow'],203924,,,1610612758,11,12,2023-12-27T03:18:46Z,630000,False,,,0,,J. Grant shooting personal FOUL (1 PF) (Barnes 2 FT),"[203924, 203084]",1610612757.0,POR,shooting,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,202041.0,,,,,1.0,0.0,Barnes,203084.0,,,,,,
65,PT06M39.00S,2023-12-27T03:18:48.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,11,12,2023-12-27T03:18:48Z,650000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M39.00S,2023-12-27T03:20:00.0Z,1,REGULAR,substitution,out,[],1627763,,,1610612758,11,12,2023-12-27T03:21:41Z,660000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612757.0,POR,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2023-12-27T03:20:00.0Z,1,REGULAR,substitution,in,[],1630703,,,1610612758,11,12,2023-12-27T03:21:41Z,670000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2023-12-27T03:21:58.5Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612758,11,13,2023-12-27T03:21:58Z,680000,False,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
69,PT06M39.00S,2023-12-27T03:22:22.9Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612758,11,14,2023-12-27T03:22:22Z,690000,False,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
70,PT06M25.00S,2023-12-27T03:22:39.0Z,1,REGULAR,3pt,Jump Shot,[],203924,81.8166885676741,92.15686274509804,1610612757,14,14,2023-12-27T03:22:42Z,700000,False,211.0,118.0,1,right,J. Grant 24' 3PT  (7 PTS) (A. Simons 2 AST),"[203924, 1629014]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,24.18,Made,,,,,7.0,A. Simons,1629014.0,2.0,,,,,,,,,,
73,PT06M02.00S,2023-12-27T03:23:16.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,37.27003942181341,39.46078431372549,1610612758,14,14,2023-12-27T03:23:23Z,730000,False,53.0,298.0,1,left,MISS D. Fox 30' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,30.24,Missed,,,,,,,,,,,,,,,,,,
74,PT05M58.00S,2023-12-27T03:23:20.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,14,14,2023-12-27T03:23:23Z,740000,False,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,,,,,73.0,,,,,,,,,,2.0,2.0,0.0,,,
75,PT05M46.00S,2023-12-27T03:23:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,67.09921156373193,61.029411764705884,1610612757,17,14,2023-12-27T03:23:36Z,750000,False,55.0,257.0,1,right,A. Simons 26' 3PT  (5 PTS) (T. Camara 1 AST),"[1629014, 1641739]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,26.26,Made,,,,,5.0,T. Camara,1641739.0,1.0,,,,,,,,,,
77,PT05M32.00S,2023-12-27T03:23:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.863994743758213,50.98039215686274,1610612758,17,16,2023-12-27T03:23:55Z,770000,False,-5.0,3.0,1,left,H. Barnes reverse Layup (4 PTS) (D. Sabonis 2 AST),"[203084, 1627734]",1610612758.0,SAC,reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,0.55,Made,,,,,4.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,
79,PT05M25.00S,2023-12-27T03:23:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,92.9862023653088,45.09803921568628,1610612757,17,16,2023-12-27T03:25:16Z,790000,False,-25.0,13.0,1,right,MISS S. Henderson reverse Layup,[1630703],1610612757.0,POR,reverse,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,,,
80,PT05M24.00S,2023-12-27T03:24:00.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,17,16,2023-12-27T03:25:16Z,800000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,79.0,,,,,,,,,,3.0,2.0,1.0,,,
81,PT05M14.00S,2023-12-27T03:24:03.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628368,6.521024967148489,48.77450980392157,1610612758,17,18,2023-12-27T03:24:09Z,810000,False,6.0,9.0,1,left,D. Fox running pullup Jump Shot (4 PTS),[1628368],1610612758.0,SAC,running pullup,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,4.0,,,,,,,,,,,,,
82,PT04M57.00S,2023-12-27T03:24:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629014,61.84296977660972,24.264705882352942,1610612757,20,18,2023-12-27T03:24:24Z,820000,False,-129.0,306.0,1,right,A. Simons 33' 3PT  (8 PTS) (S. Henderson 1 AST),"[1629014, 1630703]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,33.21,Made,,,,,8.0,S. Henderson,1630703.0,1.0,,,,,,,,,,
84,PT04M44.00S,2023-12-27T03:24:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,4.418528252299605,51.71568627450981,1610612758,20,20,2023-12-27T03:24:36Z,840000,False,-9.0,-11.0,1,left,D. Sabonis Layup (9 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,9.0,,,,,,,,,,,,,
85,PT04M36.00S,2023-12-27T03:24:44.8Z,1,REGULAR,foul,personal,[],1628368,,,1610612757,20,20,2023-12-27T03:24:53Z,850000,False,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1630703]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left,,,,,,1199.0,,,,,1.0,0.0,Henderson,1630703.0,,,,,,
87,PT04M36.00S,2023-12-27T03:24:52.7Z,1,REGULAR,substitution,out,[],1629650,,,1610612757,20,20,2023-12-27T03:25:09Z,870000,False,,,0,,SUB out: M. Brown,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
