actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
67,PT06M42.00S,2024-03-23T02:22:36.0Z,1,REGULAR,2pt,Jump Shot,[],1629014,8.492115637319317,75.98039215686273,1610612757,10,18,2024-03-23T02:23:05Z,670000,False,-130.0,27.0,1,left,MISS A. Simons 13' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,13.27,Missed,,,,,,,,,,,,,,,,,,
68,PT06M40.00S,2024-03-23T02:22:38.0Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612757,10,18,2024-03-23T02:22:45Z,680000,False,,,0,,M. Brown REBOUND (Off:1 Def:0),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,Mid-Range,8-16 Left,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT06M40.00S,2024-03-23T02:22:44.8Z,1,REGULAR,foul,personal,['2freethrow'],202331,,,1610612757,10,18,2024-03-23T02:22:50Z,690000,False,,,0,,P. George shooting personal FOUL (1 PF) (Brown 2 FT),"[202331, 1629650]",1610612746.0,LAC,shooting,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Brown,1629650.0,,,,,,
71,PT06M40.00S,2024-03-23T02:23:05.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629650,,,1610612757,10,18,2024-03-23T02:23:05Z,710000,False,,,0,,MISS M. Brown Free Throw 1 of 2,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2024-03-23T02:23:05.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,10,18,2024-03-23T02:23:05Z,720000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,
73,PT06M40.00S,2024-03-23T02:23:20.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629650,,,1610612757,11,18,2024-03-23T02:23:20Z,730000,False,,,0,,M. Brown Free Throw 2 of 2 (1 PTS),[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
75,PT06M35.00S,2024-03-23T02:23:47.2Z,1,REGULAR,foul,technical,['1freethrow'],1641739,,,1610612746,11,18,2024-03-23T02:23:57Z,750000,False,,,0,,T. Camara flopping technical FOUL (1 Tech),[1641739],1610612757.0,POR,flopping,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627963.0,1.0,1.0,,,,,,,,
76,PT06M35.00S,2024-03-23T02:23:58.4Z,1,REGULAR,freethrow,1 of 1,[],201935,,,1610612746,11,18,2024-03-23T02:23:58Z,760000,False,,,0,,MISS J. Harden technical Free Throw 1 of 1,[201935],1610612746.0,LAC,technical,,,Harden,J. Harden,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT06M35.00S,2024-03-23T02:23:58.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,11,18,2024-03-23T02:23:58Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT06M13.00S,2024-03-23T02:24:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,89.17542706964521,52.94117647058824,1610612746,11,20,2024-03-23T02:24:32Z,780000,False,15.0,49.0,1,right,T. Mann driving floating Jump Shot (4 PTS),[1629611],1610612746.0,LAC,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,5.14,Made,,,,,,,,,,,,,4.0,,,,,
79,PT06M02.00S,2024-03-23T02:24:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630625,31.61957950065703,33.33333333333333,1610612757,11,20,2024-03-23T02:24:39Z,790000,False,83.0,245.0,1,left,MISS D. Banton 25' 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2024-03-23T02:24:38.2Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,11,20,2024-03-23T02:24:39Z,800000,False,,,0,,K. Leonard REBOUND (Off:0 Def:3),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,
81,PT05M51.00S,2024-03-23T02:24:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,86.81011826544021,59.80392156862745,1610612746,11,20,2024-03-23T02:24:52Z,810000,False,49.0,71.0,1,right,MISS K. Leonard 8' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,8.67,Missed,,,,,,,,,,,,,,,,,,
82,PT05M47.00S,2024-03-23T02:24:50.4Z,1,REGULAR,rebound,defensive,[],1630625,,,1610612757,11,20,2024-03-23T02:24:52Z,820000,False,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),8-16 Right,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M42.00S,2024-03-23T02:24:55.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629014,11.908672798948752,36.029411764705884,1610612757,11,20,2024-03-23T02:34:32Z,830000,False,70.0,59.0,1,left,MISS A. Simons 9' running Layup,[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Right,9.17,Missed,,,,,,,,,,,,,,,,,,
84,PT05M41.00S,2024-03-23T02:24:56.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,11,20,2024-03-23T02:25:03Z,840000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,83.0,,,,,,,,,,,,,,,,,
86,PT05M28.00S,2024-03-23T02:25:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,82.9993429697766,35.294117647058826,1610612746,11,22,2024-03-23T02:27:42Z,860000,False,-74.0,107.0,1,right,K. Leonard 13' pullup Jump Shot (8 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Left,13.01,Made,,,,,,,,,,,,,8.0,,,,,
87,PT05M12.00S,2024-03-23T02:25:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,9.674770039421814,46.32352941176471,1610612757,11,22,2024-03-23T02:25:38Z,870000,False,18.0,38.0,1,left,MISS M. Brown driving Layup - blocked,"[1629650, 1627826]",1610612757.0,POR,driving,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,4.26,Missed,,,,,,,,,,,,,,Zubac,1627826.0,,,
88,PT05M12.00S,2024-03-23T02:25:34.6Z,1,REGULAR,block,,[],1627826,,,1610612757,11,22,2024-03-23T02:25:36Z,880000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
89,PT05M09.00S,2024-03-23T02:25:37.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,11,22,2024-03-23T02:25:38Z,890000,False,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,87.0,3.0,2.0,1.0,,,,,,,,,,,,,,
