actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M10.00S,2023-11-04T02:13:36.9Z,1,REGULAR,turnover,lost ball,[],203924,,,1610612757,2,4,2023-11-04T02:13:41Z,220000,False,,,0,,J. Grant lost ball TURNOVER (1 TO),"[203924, 1628991]",1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,,
23,PT10M10.00S,2023-11-04T02:13:36.9Z,1,REGULAR,steal,,[],1628991,,,1610612763,2,4,2023-11-04T02:18:39Z,230000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M52.00S,2023-11-04T02:14:08.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630217,93.77463863337714,58.57843137254902,1610612763,2,6,2023-11-04T02:14:14Z,250000,False,43.0,6.0,1,right,D. Bane driving bank Hook (2 PTS),[1630217],1610612763.0,MEM,driving bank,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.33,Made,,,,,2.0,,,,,,,,,,,,,
26,PT09M52.00S,2023-11-04T02:14:15.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612757,2,6,2023-11-04T02:14:21Z,260000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,202035.0,,,,,,,
27,PT09M44.00S,2023-11-04T02:14:27.1Z,1,REGULAR,3pt,Jump Shot,[],203924,27.94021024967148,17.647058823529413,1610612757,5,6,2023-11-04T02:14:30Z,270000,False,162.0,210.0,1,left,J. Grant 26' 3PT  (3 PTS) (M. Brogdon 1 AST),"[203924, 1627763]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,26.52,Made,,,,,3.0,,,,,,,M. Brogdon,1627763.0,1.0,,,,
29,PT09M26.00S,2023-11-04T02:14:49.2Z,1,REGULAR,foul,personal,[],1629680,,,1610612763,5,6,2023-11-04T02:14:54Z,290000,False,,,0,,M. Thybulle personal FOUL (1 PF),"[1629680, 1628991]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,202035.0,,,,1.0,0.0,Jackson Jr.,1628991.0
31,PT09M16.00S,2023-11-04T02:15:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,91.27792378449409,48.03921568627451,1610612763,5,6,2023-11-04T02:20:46Z,310000,False,-10.0,29.0,1,right,MISS D. Bane driving Layup - blocked,"[1630217, 203924]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,3.11,Missed,,,,,,Grant,203924.0,,,,,,,,,,,
32,PT09M16.00S,2023-11-04T02:15:13.4Z,1,REGULAR,block,,[],203924,,,1610612763,5,6,2023-11-04T02:15:15Z,320000,False,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2023-11-04T02:15:15.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,5,6,2023-11-04T02:15:18Z,330000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M08.00S,2023-11-04T02:15:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627763,6.1268068331143235,50.0,1610612757,7,6,2023-11-04T02:15:26Z,340000,False,0.0,5.0,1,left,M. Brogdon running Layup (4 PTS),[1627763],1610612757.0,POR,running,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,4.0,,,,,,,,,,,,,
35,PT08M48.00S,2023-11-04T02:15:41.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,94.1688567674113,52.94117647058824,1610612763,7,8,2023-11-04T02:15:47Z,350000,False,15.0,2.0,1,right,Z. Williams cutting DUNK (2 PTS) (M. Smart 1 AST),"[1630533, 203935]",1610612763.0,MEM,cutting,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.49,Made,,,,,2.0,,,,,,,M. Smart,203935.0,1.0,,,,
37,PT08M32.00S,2023-11-04T02:15:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,5.601182654402102,53.18627450980392,1610612757,7,8,2023-11-04T02:16:01Z,370000,False,-16.0,0.0,1,left,MISS J. Grant driving reverse Layup,[203924],1610612757.0,POR,driving reverse,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
38,PT08M29.00S,2023-11-04T02:15:59.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,7,8,2023-11-04T02:16:01Z,380000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,37.0,3.0,2.0,1.0,,,,,,,,,,,,,,
39,PT08M29.00S,2023-11-04T02:15:59.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629028,5.590000152587891,50.0,1610612757,9,8,2023-11-04T02:16:41Z,390000,False,0.0,0.0,1,left,D. Ayton tip Layup (2 PTS),[1629028],1610612757.0,POR,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
40,PT08M18.00S,2023-11-04T02:16:10.2Z,1,REGULAR,3pt,Jump Shot,[],1631223,82.07950065703022,93.38235294117648,1610612763,9,8,2023-11-04T02:16:14Z,400000,False,217.0,116.0,1,right,MISS D. Roddy 24' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,24.6,Missed,,,,,,,,,,,,,,,,,,
41,PT08M15.00S,2023-11-04T02:16:13.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,9,8,2023-11-04T02:16:14Z,410000,False,,,0,,D. Ayton REBOUND (Off:1 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,40.0,4.0,3.0,1.0,,,,,,,,,,,,,,
42,PT08M08.00S,2023-11-04T02:16:21.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,30.699737187910642,21.813725490196077,1610612757,12,8,2023-11-04T02:16:24Z,420000,False,141.0,236.0,1,left,M. Thybulle 27' 3PT  (3 PTS) (M. Brogdon 2 AST),"[1629680, 1627763]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,27.49,Made,,,,,3.0,,,,,,,M. Brogdon,1627763.0,2.0,,,,
44,PT07M47.00S,2023-11-04T02:16:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,66.70499342969777,55.392156862745104,1610612763,12,8,2023-11-04T02:16:55Z,440000,False,27.0,260.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,26.19,Missed,,,,,,,,,,,,,,,,,,
45,PT07M43.00S,2023-11-04T02:16:46.3Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,12,8,2023-11-04T02:16:55Z,450000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M37.00S,2023-11-04T02:16:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,6.389618922470433,51.9607843137255,1610612757,12,8,2023-11-04T02:17:11Z,460000,False,-10.0,8.0,1,left,MISS M. Brogdon driving Layup,[1627763],1610612757.0,POR,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
47,PT07M35.00S,2023-11-04T02:16:54.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,12,8,2023-11-04T02:16:58Z,470000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT07M29.00S,2023-11-04T02:17:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630217,92.85479632063075,95.58823529411765,1610612763,12,11,2023-11-04T02:17:04Z,480000,False,228.0,15.0,1,right,D. Bane 3PT  (5 PTS) (M. Smart 2 AST),"[1630217, 203935]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,22.84,Made,,,,,5.0,,,,,,,M. Smart,203935.0,2.0,,,,
50,PT07M08.00S,2023-11-04T02:17:21.0Z,1,REGULAR,2pt,Jump Shot,[],1631101,20.05584756898817,20.34313725490196,1610612757,14,11,2023-11-04T02:17:29Z,500000,False,148.0,136.0,1,left,S. Sharpe 20' turnaround fadeaway Jump Shot (2 PTS),[1631101],1610612757.0,POR,turnaround fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,20.12,Made,,,,,2.0,,,,,,,,,,,,,
51,PT06M50.00S,2023-11-04T02:17:39.1Z,1,REGULAR,3pt,Jump Shot,[],1631223,91.14651773981603,3.9215686274509802,1610612763,14,11,2023-11-04T02:17:44Z,510000,False,-230.0,31.0,1,right,MISS D. Roddy 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Left Corner 3,24+ Left,23.24,Missed,,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2023-11-04T02:17:42.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,14,11,2023-11-04T02:17:44Z,520000,False,,,0,,D. Ayton REBOUND (Off:1 Def:4),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,51.0,5.0,4.0,1.0,,,,,,,,,,,,,,
53,PT06M39.00S,2023-11-04T02:17:49.7Z,1,REGULAR,3pt,Jump Shot,[],1629680,28.991458607095925,22.058823529411764,1610612757,14,11,2023-11-04T02:17:53Z,530000,False,140.0,220.0,1,left,MISS M. Thybulle 26' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
54,PT06M36.00S,2023-11-04T02:17:52.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,14,11,2023-11-04T02:17:53Z,540000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT06M30.00S,2023-11-04T02:17:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631223,94.69448094612353,53.67647058823529,1610612763,14,13,2023-11-04T02:18:03Z,550000,False,18.0,-3.0,1,right,D. Roddy running Layup (2 PTS) (D. Bane 1 AST),"[1631223, 1630217]",1610612763.0,MEM,running,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,1.86,Made,,,,,2.0,,,,,,,D. Bane,1630217.0,1.0,,,,
57,PT06M17.00S,2023-11-04T02:18:15.7Z,1,REGULAR,foul,personal,[],1631223,,,1610612757,14,13,2023-11-04T02:18:23Z,570000,False,,,0,,D. Roddy personal FOUL (1 PF),"[1631223, 1627763]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202035.0,,,,1.0,0.0,Brogdon,1627763.0
59,PT06M17.00S,2023-11-04T02:18:24.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,14,13,2023-11-04T02:18:24Z,590000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M17.00S,2023-11-04T02:20:49.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612757,14,13,2023-11-04T02:21:03Z,600000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M17.00S,2023-11-04T02:20:49.0Z,1,REGULAR,substitution,in,[],1630214,,,1610612757,14,13,2023-11-04T02:21:03Z,610000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M11.00S,2023-11-04T02:21:33.4Z,1,REGULAR,foul,personal,['2freethrow'],1630214,,,1610612757,14,13,2023-11-04T02:21:41Z,620000,False,,,0,,X. Tillman shooting personal FOUL (1 PF) (Ayton 2 FT),"[1630214, 1629028]",1610612763.0,MEM,shooting,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627534.0,,,,1.0,0.0,Ayton,1629028.0
65,PT06M11.00S,2023-11-04T02:21:57.0Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612757,15,13,2023-11-04T02:21:57Z,640000,False,,,0,,D. Ayton Free Throw 1 of 2 (3 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
66,PT06M11.00S,2023-11-04T02:21:57.7Z,1,REGULAR,substitution,out,[],1629680,,,1610612757,15,13,2023-11-04T02:22:07Z,650000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M11.00S,2023-11-04T02:21:57.7Z,1,REGULAR,substitution,out,[],1631101,,,1610612757,15,13,2023-11-04T02:22:07Z,660000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M11.00S,2023-11-04T02:21:57.7Z,1,REGULAR,substitution,in,[],1629057,,,1610612757,15,13,2023-11-04T02:22:07Z,670000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M11.00S,2023-11-04T02:21:57.7Z,1,REGULAR,substitution,in,[],1630219,,,1610612757,15,13,2023-11-04T02:22:07Z,680000,False,,,0,,SUB in: S. Mays,[1630219],1610612757.0,POR,,,,Mays,S. Mays,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2023-11-04T02:22:19.1Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612757,16,13,2023-11-04T02:22:19Z,690000,False,,,0,,D. Ayton Free Throw 2 of 2 (4 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
71,PT05M57.00S,2023-11-04T02:22:36.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1630217,90.22667542706965,52.94117647058824,1610612763,16,15,2023-11-04T02:22:45Z,700000,False,15.0,39.0,1,right,D. Bane driving floating Jump Shot (7 PTS) (X. Tillman 1 AST),"[1630217, 1630214]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,4.21,Made,,,,,7.0,,,,,,,X. Tillman,1630214.0,1.0,,,,
72,PT05M57.00S,2023-11-04T02:22:40.7Z,1,REGULAR,violation,defensive goaltending,[],1629028,,,1610612763,16,15,2023-11-04T02:22:45Z,710000,False,,,0,,D. Ayton defensive goaltending VIOLATION,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,1148.0,,,,,,,
73,PT05M45.00S,2023-11-04T02:22:57.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,22.552562417871222,54.166666666666664,1610612757,18,15,2023-11-04T02:23:00Z,720000,False,-21.0,159.0,1,left,D. Ayton 16' Jump Shot (6 PTS) (M. Brogdon 3 AST),"[1629028, 1627763]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,16.09,Made,,,,,6.0,,,,,,,M. Brogdon,1627763.0,3.0,,,,
75,PT05M35.00S,2023-11-04T02:23:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,94.1688567674113,46.32352941176471,1610612763,18,15,2023-11-04T02:23:12Z,740000,False,-18.0,2.0,1,right,MISS Z. Williams driving Layup,[1630533],1610612763.0,MEM,driving,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
76,PT05M31.00S,2023-11-04T02:23:11.7Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,18,15,2023-11-04T02:23:11Z,750000,False,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,75.0,1.0,0.0,1.0,,,,,,,,,,,,,,
77,PT05M26.00S,2023-11-04T02:23:16.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631223,73.80091984231275,80.3921568627451,1610612763,18,15,2023-11-04T02:23:19Z,760000,False,152.0,194.0,1,right,MISS D. Roddy 24' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,24.63,Missed,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2023-11-04T02:23:17.9Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,18,15,2023-11-04T02:23:17Z,770000,False,,,0,,D. Bane REBOUND (Off:1 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,
79,PT05M21.00S,2023-11-04T02:23:21.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,70.38436268068331,21.323529411764707,1610612763,18,18,2023-11-04T02:23:25Z,780000,False,-143.0,226.0,1,right,Z. Williams 26' 3PT  (5 PTS) (X. Tillman 2 AST),"[1630533, 1630214]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,26.76,Made,,,,,5.0,,,,,,,X. Tillman,1630214.0,2.0,,,,
81,PT05M01.00S,2023-11-04T02:23:42.4Z,1,REGULAR,turnover,lost ball,[],1629057,,,1610612757,18,18,2023-11-04T02:23:46Z,800000,False,,,0,,R. Williams III lost ball TURNOVER (1 TO),"[1629057, 1630217]",1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Bane,1630217.0,,,,,,,,
82,PT05M01.00S,2023-11-04T02:23:42.4Z,1,REGULAR,steal,,[],1630217,,,1610612763,18,18,2023-11-04T02:23:43Z,810000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT04M53.00S,2023-11-04T02:23:53.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,18,18,2023-11-04T02:23:59Z,830000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M53.00S,2023-11-04T02:23:53.1Z,1,REGULAR,substitution,in,[],1628379,,,1610612763,18,18,2023-11-04T02:23:59Z,840000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M47.00S,2023-11-04T02:24:11.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,77.21747700394218,33.57843137254902,1610612763,18,20,2023-11-04T02:24:15Z,850000,False,-82.0,162.0,1,right,M. Smart 18' pullup Jump Shot (4 PTS),[203935],1610612763.0,MEM,pullup,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left Center,18.13,Made,,,,,4.0,,,,,,,,,,,,,
