actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M35.00S,2023-11-02T00:12:50.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,22.683968462549277,89.95098039215686,1610612750,2,0,2023-11-02T00:12:54Z,160000,False,-200.0,161.0,1,left,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2023-11-02T00:12:53.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,0,2023-11-02T00:12:54Z,170000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M19.00S,2023-11-02T00:13:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.32917214191852,52.69607843137255,1610612743,2,0,2023-11-02T00:13:08Z,180000,False,13.0,20.0,1,right,MISS M. Porter Jr. cutting Layup,[1629008],1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2023-11-02T00:13:07.1Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,2,0,2023-11-02T00:13:08Z,190000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M10.00S,2023-11-02T00:13:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,19.004599211563733,49.26470588235294,1610612750,4,0,2023-11-02T00:13:18Z,200000,False,4.0,126.0,1,left,M. Conley 12' driving floating Jump Shot (2 PTS),[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,,In The Paint (Non-RA),8-16 Center,12.62,Made,,,,,2.0,,,,,,,,,,,,
21,PT09M51.00S,2023-11-02T00:13:35.7Z,1,REGULAR,foul,personal,[],1626157,,,1610612743,4,0,2023-11-02T00:13:42Z,210000,False,,,0,,K. Towns personal FOUL (1 PF),"[1626157, 203999]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,203054.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Jokic,203999.0,,,,,
23,PT09M38.00S,2023-11-02T00:14:05.7Z,1,REGULAR,3pt,Jump Shot,[],203999,69.33311432325887,74.01960784313727,1610612743,4,0,2023-11-02T00:14:10Z,230000,False,120.0,236.0,1,right,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Right Center,26.46,Missed,,,,,,,,,,,,,,,,,
24,PT09M35.00S,2023-11-02T00:14:08.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,4,0,2023-11-02T00:14:10Z,240000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Above the Break 3,24+ Right Center,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,
25,PT09M31.00S,2023-11-02T00:14:13.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,74.45795006570303,16.42156862745098,1610612743,4,0,2023-11-02T00:14:17Z,250000,False,-168.0,188.0,1,right,MISS M. Porter Jr. 25' step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,,Above the Break 3,24+ Left Center,25.18,Missed,,,,,,,,,,,,,,,,,
26,PT09M28.00S,2023-11-02T00:14:16.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,4,0,2023-11-02T00:14:17Z,260000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Left Center,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,
27,PT09M21.00S,2023-11-02T00:14:22.0Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.61957950065703,59.31372549019608,1610612750,4,0,2023-11-02T00:14:26Z,270000,False,-47.0,245.0,1,left,MISS K. Towns 24' step back 3PT,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,24.91,Missed,,,,,,,,,,,,,,,,,
28,PT09M19.00S,2023-11-02T00:14:24.0Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,4,0,2023-11-02T00:14:26Z,280000,False,,,0,,J. Murray REBOUND (Off:1 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Center,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,
29,PT09M16.00S,2023-11-02T00:14:30.9Z,1,REGULAR,foul,personal,[],201144,,,1610612743,4,0,2023-11-02T00:14:39Z,290000,False,,,0,,M. Conley personal FOUL (1 PF),"[201144, 203999]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,101283.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Jokic,203999.0,,,,,
31,PT09M09.00S,2023-11-02T00:14:57.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,77.87450722733246,45.34313725490196,1610612743,4,0,2023-11-02T00:15:02Z,310000,False,-23.0,155.0,1,right,MISS J. Murray 15' floating Shot,[1627750],1610612743.0,DEN,floating,,,Murray,J. Murray,,,,,,Mid-Range,8-16 Center,15.72,Missed,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2023-11-02T00:14:59.2Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,4,0,2023-11-02T00:17:10Z,320000,False,,,0,,J. Murray REBOUND (Off:2 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,Mid-Range,8-16 Center,,,31.0,3.0,1.0,2.0,,,,,,,,,,,,,
33,PT08M56.00S,2023-11-02T00:15:11.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627750,83.52496714848883,19.11764705882353,1610612743,4,0,2023-11-02T00:15:15Z,330000,False,-154.0,102.0,1,right,MISS J. Murray 18' step back Shot,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,,Mid-Range,16-24 Left,18.53,Missed,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2023-11-02T00:15:16.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,0,2023-11-02T00:15:15Z,340000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Mid-Range,16-24 Left,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M43.00S,2023-11-02T00:15:22.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,13.485545335085414,27.941176470588236,1610612750,6,0,2023-11-02T00:15:28Z,350000,False,110.0,74.0,1,left,A. Edwards 13' pullup bank Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup bank,,,Edwards,A. Edwards,,,,,,Mid-Range,8-16 Right,13.3,Made,,,,,2.0,,,,,,,,,,,,
36,PT08M35.00S,2023-11-02T00:15:31.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,6,0,2023-11-02T00:15:35Z,360000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630162]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,
37,PT08M35.00S,2023-11-02T00:15:31.7Z,1,REGULAR,steal,,[],1630162,,,1610612750,6,0,2023-11-02T00:15:33Z,370000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
38,PT08M27.00S,2023-11-02T00:15:38.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,9.937582128777924,52.450980392156865,1610612750,6,0,2023-11-02T00:15:42Z,380000,False,-12.0,41.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1629008]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,4.27,Missed,,,,,,,,,,,,,,,,Porter Jr.,1629008.0
39,PT08M27.00S,2023-11-02T00:15:38.9Z,1,REGULAR,block,,[],1629008,,,1610612750,6,0,2023-11-02T00:15:41Z,390000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
40,PT08M25.00S,2023-11-02T00:15:40.9Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,6,0,2023-11-02T00:15:42Z,400000,False,,,0,,K. Towns REBOUND (Off:1 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,,,38.0,3.0,2.0,1.0,,,,,,,,,,,,,
41,PT08M24.00S,2023-11-02T00:15:42.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201144,9.937582128777924,94.36274509803921,1610612750,9,0,2023-11-02T00:15:45Z,410000,False,-222.0,41.0,1,left,M. Conley 3PT  (5 PTS) (K. Towns 1 AST),"[201144, 1626157]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,,Left Corner 3,24+ Left,22.55,Made,,,,,5.0,K. Towns,1626157.0,1.0,,,,,,,,,
43,PT08M23.00S,2023-11-02T00:15:47.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,9,0,2023-11-02T00:15:47Z,430000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M06.00S,2023-11-02T00:19:04.1Z,1,REGULAR,2pt,Jump Shot,[],203932,76.5604467805519,26.96078431372549,1610612743,9,2,2023-11-02T00:19:08Z,440000,False,-115.0,168.0,1,right,A. Gordon 20' pullup Jump Shot (2 PTS) (M. Porter Jr. 1 AST),"[203932, 1629008]",1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,,Mid-Range,16-24 Left Center,20.35,Made,,,,,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,
46,PT07M45.00S,2023-11-02T00:19:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,10.726018396846255,52.94117647058824,1610612750,9,2,2023-11-02T00:19:27Z,460000,False,-15.0,48.0,1,left,MISS R. Gobert driving Layup - blocked,"[203497, 203932]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,,In The Paint (Non-RA),0-8 Center,5.05,Missed,,,,,,,,,,,,,,,,Gordon,203932.0
47,PT07M45.00S,2023-11-02T00:19:24.8Z,1,REGULAR,block,,[],203932,,,1610612750,9,2,2023-11-02T00:19:26Z,470000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2023-11-02T00:19:26.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,2,2023-11-02T00:19:27Z,480000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
49,PT07M36.00S,2023-11-02T00:19:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.19776609724047,60.29411764705882,1610612743,9,2,2023-11-02T00:19:38Z,490000,False,51.0,21.0,1,right,MISS M. Porter Jr. cutting Layup,[1629008],1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,,In The Paint (Non-RA),0-8 Center,5.55,Missed,,,,,,,,,,,,,,,,,
50,PT07M34.00S,2023-11-02T00:19:35.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,9,2,2023-11-02T00:19:38Z,500000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,In The Paint (Non-RA),0-8 Center,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,
51,PT07M29.00S,2023-11-02T00:19:41.1Z,1,REGULAR,2pt,Jump Shot,[],1630183,12.302890932982917,69.36274509803921,1610612750,9,2,2023-11-02T00:19:47Z,510000,False,-97.0,63.0,1,left,MISS J. McDaniels 11' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,,Mid-Range,8-16 Left,11.56,Missed,,,,,,,,,,,,,,,,,
52,PT07M26.00S,2023-11-02T00:19:44.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,2,2023-11-02T00:19:47Z,520000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Mid-Range,8-16 Left,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,
53,PT07M25.00S,2023-11-02T00:19:45.4Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,9,2,2023-11-02T00:19:49Z,530000,False,,,0,,N. Jokic bad pass TURNOVER (2 TO),"[203999, 1630162]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,2.0,Edwards,1630162.0,,
54,PT07M25.00S,2023-11-02T00:19:45.4Z,1,REGULAR,steal,,[],1630162,,,1610612750,9,2,2023-11-02T00:19:47Z,540000,False,,,0,,A. Edwards STEAL (2 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
55,PT07M15.00S,2023-11-02T00:19:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,7.835085413929041,49.50980392156863,1610612750,11,2,2023-11-02T00:19:57Z,550000,False,2.0,21.0,1,left,K. Towns driving finger roll Layup (2 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,driving finger roll,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,2.12,Made,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,,
57,PT06M59.00S,2023-11-02T00:20:11.5Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,11,2,2023-11-02T00:20:16Z,570000,False,,,0,,N. Jokic lost ball TURNOVER (3 TO),"[203999, 1626157]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,3.0,Towns,1626157.0,,
58,PT06M59.00S,2023-11-02T00:20:11.5Z,1,REGULAR,steal,,[],1626157,,,1610612750,11,2,2023-11-02T00:20:13Z,580000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
59,PT06M55.00S,2023-11-02T00:20:14.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,6.521024967148489,51.225490196078425,1610612750,13,2,2023-11-02T00:20:21Z,590000,False,-6.0,9.0,1,left,K. Towns running DUNK (4 PTS),[1626157],1610612750.0,MIN,running,,,Towns,K. Towns,,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,4.0,,,,,,,,,,,,
60,PT06M34.00S,2023-11-02T00:20:35.1Z,1,REGULAR,2pt,Jump Shot,[],203999,78.26872536136662,54.166666666666664,1610612743,13,4,2023-11-02T00:20:38Z,600000,False,21.0,152.0,1,right,N. Jokic 15' Jump Shot (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Mid-Range,8-16 Center,15.32,Made,,,,,2.0,A. Gordon,203932.0,1.0,,,,,,,,,
62,PT06M09.00S,2023-11-02T00:21:01.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,24.78646517739816,65.44117647058823,1610612750,15,4,2023-11-02T00:21:05Z,620000,False,-77.0,180.0,1,left,A. Edwards 19' pullup Jump Shot (4 PTS) (K. Towns 2 AST),"[1630162, 1626157]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,Mid-Range,16-24 Left Center,19.63,Made,,,,,4.0,K. Towns,1626157.0,2.0,,,,,,,,,
64,PT05M57.00S,2023-11-02T00:21:13.4Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,15,4,2023-11-02T00:21:18Z,640000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 201144]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,1.0,Conley,201144.0,,
65,PT05M57.00S,2023-11-02T00:21:13.4Z,1,REGULAR,steal,,[],201144,,,1610612750,15,4,2023-11-02T00:21:18Z,650000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,
66,PT05M52.00S,2023-11-02T00:21:18.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630162,30.305519053876477,73.2843137254902,1610612750,18,4,2023-11-02T00:21:25Z,660000,False,-116.0,232.0,1,left,A. Edwards 25' 3PT pullup (7 PTS) (M. Conley 2 AST),"[1630162, 201144]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,Above the Break 3,24+ Left Center,25.99,Made,,,,,7.0,M. Conley,201144.0,2.0,,,,,,,,,
79,PT05M38.00S,2023-11-02T00:21:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.51182654402102,48.28431372549019,1610612743,18,4,2023-11-02T00:22:58Z,667500,False,-9.0,8.0,1,right,MISS N. Jokic Layup - blocked,"[203999, 1630183]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,1.21,Missed,,,,,,,,,,,,,,,,McDaniels,1630183.0
80,PT05M38.00S,2023-11-02T00:21:27.1Z,1,REGULAR,block,,[],1630183,,,1610612743,18,4,2023-11-02T00:22:34Z,668750,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
81,PT05M37.00S,2023-11-02T00:21:28.1Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,4,2023-11-02T00:22:58Z,669375,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,
67,PT05M36.00S,2023-11-02T00:21:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,91.01511169513797,49.754901960784316,1610612743,18,4,2023-11-02T00:29:12Z,670000,False,-1.0,32.0,1,right,MISS N. Jokic putback Layup,[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,3.2,Missed,,,,,,,,,,,,,,,,,
68,PT05M35.00S,2023-11-02T00:21:37.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,4,2023-11-02T00:23:22Z,680000,False,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,,,67.0,4.0,2.0,2.0,,,,,,,,,,,,,
69,PT05M33.00S,2023-11-02T00:21:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,92.06636005256242,54.41176470588235,1610612743,18,4,2023-11-02T00:30:05Z,690000,False,22.0,22.0,1,right,MISS N. Jokic putback Layup,[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,
70,PT05M32.00S,2023-11-02T00:21:39.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,18,4,2023-11-02T00:23:27Z,700000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,Restricted Area,0-8 Center,,,69.0,,,,,,,,,,,,,,,,
72,PT05M32.00S,2023-11-02T00:21:47.3Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,18,4,2023-11-02T00:21:53Z,720000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M32.00S,2023-11-02T00:21:47.3Z,1,REGULAR,substitution,in,[],202704,,,1610612743,18,4,2023-11-02T00:21:53Z,730000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M32.00S,2023-11-02T00:22:00.0Z,1,REGULAR,substitution,out,[],1630183,,,1610612743,18,4,2023-11-02T00:22:06Z,740000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M32.00S,2023-11-02T00:22:00.0Z,1,REGULAR,substitution,in,[],203937,,,1610612743,18,4,2023-11-02T00:22:06Z,750000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M20.00S,2023-11-02T00:22:26.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203999,68.28186596583443,51.9607843137255,1610612743,18,7,2023-11-02T00:22:34Z,760000,False,10.0,246.0,1,right,N. Jokic 24' 3PT  (5 PTS) (R. Jackson 1 AST),"[203999, 202704]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Above the Break 3,24+ Center,24.59,Made,,,,,5.0,R. Jackson,202704.0,1.0,,,,,,,,,
