actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
23,PT10M02.00S,2024-03-24T23:13:30.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,3,4,2024-03-24T23:13:40Z,230000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,8-16 Left,200833.0,,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2024-03-24T23:13:42.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,20.97568988173456,7.107843137254902,1610612744,3,7,2024-03-24T23:13:51Z,240000,False,214.0,145.0,1,left,S. Curry 25' 3PT  (3 PTS) (J. Kuminga 1 AST),"[201939, 1630228]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,25.87,,,,,J. Kuminga,1630228.0,1.0,,,,
26,PT09M37.00S,2024-03-24T23:13:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,89.30683311432325,51.9607843137255,1610612750,3,7,2024-03-24T23:15:28Z,260000,False,10.0,48.0,1,right,MISS R. Gobert cutting Layup,[203497],1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,4.9,,,,,,,,,,,
27,PT09M36.00S,2024-03-24T23:14:01.0Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,3,7,2024-03-24T23:14:01Z,270000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,
28,PT09M35.00S,2024-03-24T23:14:01.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630183,92.46057818659659,49.26470588235294,1610612750,3,7,2024-03-24T23:14:10Z,280000,False,-4.0,18.0,1,right,MISS J. McDaniels putback DUNK - blocked,"[1630183, 1630228]",1610612750.0,MIN,putback,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.88,,,,,,,,Kuminga,1630228.0,,
29,PT09M35.00S,2024-03-24T23:14:01.6Z,1,REGULAR,block,,[],1630228,,,1610612750,3,7,2024-03-24T23:14:05Z,290000,False,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2024-03-24T23:14:01.6Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,3,7,2024-03-24T23:14:10Z,300000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
31,PT09M28.00S,2024-03-24T23:14:09.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630228,10.200394218134035,63.48039215686274,1610612744,3,9,2024-03-24T23:16:32Z,310000,False,-67.0,43.0,1,left,J. Kuminga 8' driving floating Jump Shot (2 PTS),[1630228],1610612744.0,GSW,driving floating,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Made,2.0,,8.02,,,,,,,,,,,
32,PT09M11.00S,2024-03-24T23:14:25.2Z,1,REGULAR,3pt,Jump Shot,[],201144,68.67608409986859,30.88235294117647,1610612750,3,9,2024-03-24T23:14:30Z,320000,False,-96.0,242.0,1,right,MISS M. Conley 26' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.01,,,,,,,,,,,
33,PT09M09.00S,2024-03-24T23:14:27.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,3,9,2024-03-24T23:14:30Z,330000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
34,PT09M02.00S,2024-03-24T23:14:35.4Z,1,REGULAR,3pt,Jump Shot,[],203110,29.77989487516426,26.225490196078432,1610612744,3,9,2024-03-24T23:14:39Z,340000,False,119.0,227.0,1,left,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.66,,,,,,,,,,,
35,PT08M57.00S,2024-03-24T23:14:40.4Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,3,9,2024-03-24T23:14:39Z,350000,False,,,0,,N. Reid REBOUND (Off:0 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,
36,PT08M44.00S,2024-03-24T23:14:52.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.08607095926413,36.51960784313725,1610612750,3,9,2024-03-24T23:17:23Z,360000,False,-67.0,163.0,1,right,MISS A. Edwards 17' turnaround fadeaway Shot,[1630162],1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,,17.63,,,,,,,,,,,
37,PT08M41.00S,2024-03-24T23:14:55.3Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,3,9,2024-03-24T23:15:25Z,370000,False,,,0,,N. Reid REBOUND (Off:1 Def:2),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,36.0,3.0,2.0,1.0,,,,,,,
38,PT08M38.00S,2024-03-24T23:14:59.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,88.91261498028909,97.05882352941177,1610612750,3,9,2024-03-24T23:15:03Z,380000,False,235.0,52.0,1,right,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,24.09,,,,,,,,,,,
39,PT08M36.00S,2024-03-24T23:15:01.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,3,9,2024-03-24T23:15:03Z,390000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,
40,PT08M29.00S,2024-03-24T23:15:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630228,9.280551905387648,53.92156862745098,1610612744,3,9,2024-03-24T23:15:16Z,400000,False,-20.0,35.0,1,left,MISS J. Kuminga running Layup - blocked,"[1630228, 1629675]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.99,,,,,,,,Reid,1629675.0,,
41,PT08M29.00S,2024-03-24T23:15:07.5Z,1,REGULAR,block,,[],1629675,,,1610612744,3,9,2024-03-24T23:15:10Z,410000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2024-03-24T23:15:10.5Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,3,9,2024-03-24T23:15:16Z,420000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,
43,PT08M23.00S,2024-03-24T23:15:16.1Z,1,REGULAR,foul,personal,[],203952,,,1610612750,3,9,2024-03-24T23:15:19Z,430000,False,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 203497]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,2005.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
46,PT08M13.00S,2024-03-24T23:16:04.1Z,1,REGULAR,foul,personal,[],1641764,,,1610612750,3,9,2024-03-24T23:16:11Z,460000,False,,,0,,B. Podziemski personal FOUL (1 PF),"[1641764, 203497]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Center,200833.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
48,PT08M06.00S,2024-03-24T23:16:28.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,67.49342969776609,30.14705882352941,1610612750,6,9,2024-03-24T23:16:35Z,480000,False,-99.0,253.0,1,right,N. Reid 27' 3PT  (6 PTS) (A. Edwards 1 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,,,Made,6.0,,27.19,,,,,A. Edwards,1630162.0,1.0,,,,
50,PT07M51.00S,2024-03-24T23:16:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,6.1268068331143235,50.0,1610612744,6,9,2024-03-24T23:16:48Z,500000,False,0.0,5.0,1,left,MISS D. Green driving Layup,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,0.51,,,,,,,,,,,
51,PT07M49.00S,2024-03-24T23:16:45.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,6,9,2024-03-24T23:16:48Z,510000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,
52,PT07M42.00S,2024-03-24T23:16:56.8Z,1,REGULAR,turnover,3-second-violation,[],203497,,,1610612750,6,9,2024-03-24T23:17:06Z,520000,False,,,0,,R. Gobert 3-second-violation TURNOVER (1 TO),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,2005.0,,,,,,,1.0,,,,,,,,,,,,
53,PT07M31.00S,2024-03-24T23:17:24.6Z,1,REGULAR,foul,personal,[],1630183,,,1610612744,6,9,2024-03-24T23:17:32Z,530000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 203110]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Center,1662.0,1.0,0.0,Green,203110.0,,,,,,,,,,,,,,,
55,PT07M15.00S,2024-03-24T23:17:55.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641764,19.66162943495401,47.549019607843135,1610612744,6,11,2024-03-24T23:19:40Z,550000,False,12.0,132.0,1,left,B. Podziemski 13' pullup Jump Shot (4 PTS),[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,4.0,,13.29,,,,,,,,,,,
56,PT07M00.00S,2024-03-24T23:18:12.6Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612750,6,11,2024-03-24T23:18:33Z,560000,False,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612750.0,MIN,bad pass,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,200833.0,,,,,,,1.0,,,,,,,,,,,,
57,PT07M00.00S,2024-03-24T23:18:17.4Z,1,REGULAR,substitution,out,[],203110,,,1610612744,6,11,2024-03-24T23:18:27Z,570000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2024-03-24T23:18:17.4Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,6,11,2024-03-24T23:18:27Z,580000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M00.00S,2024-03-24T23:18:17.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612744,6,11,2024-03-24T23:18:27Z,590000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2024-03-24T23:18:17.4Z,1,REGULAR,substitution,in,[],1631218,,,1610612744,6,11,2024-03-24T23:18:27Z,600000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2024-03-24T23:18:40.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631218,9.280551905387648,50.49019607843137,1610612744,6,11,2024-03-24T23:31:29Z,610000,False,-2.0,35.0,1,left,MISS T. Jackson-Davis driving DUNK - blocked,"[1631218, 203497]",1610612744.0,GSW,driving,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.48,,,,,,,,Gobert,203497.0,,
62,PT06M46.00S,2024-03-24T23:18:40.7Z,1,REGULAR,block,,[],203497,,,1610612744,6,11,2024-03-24T23:18:43Z,620000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT06M43.00S,2024-03-24T23:18:43.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,6,11,2024-03-24T23:18:46Z,630000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,61.0,3.0,2.0,1.0,,,,,,,
64,PT06M34.00S,2024-03-24T23:18:53.2Z,1,REGULAR,turnover,bad pass,[],1629675,,,1610612750,6,11,2024-03-24T23:19:04Z,640000,False,,,0,,N. Reid bad pass TURNOVER (2 TO),"[1629675, 1630228]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,,,,,,,,2.0,,,,,,,,,,,Kuminga,1630228.0
65,PT06M34.00S,2024-03-24T23:18:53.2Z,1,REGULAR,steal,,[],1630228,,,1610612744,6,11,2024-03-24T23:18:55Z,650000,False,,,0,,J. Kuminga STEAL (1 STL),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2024-03-24T23:18:56.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203952,7.178055190538765,48.03921568627451,1610612744,6,11,2024-03-24T23:20:51Z,660000,False,10.0,15.0,1,left,MISS A. Wiggins running Layup,[203952],1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.79,,,,,,,,,,,
67,PT06M29.00S,2024-03-24T23:18:58.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,6,11,2024-03-24T23:20:51Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,66.0,,,,,,,,,,
68,PT06M29.00S,2024-03-24T23:19:06.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,6,11,2024-03-24T23:19:06Z,680000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M29.00S,2024-03-24T23:21:07.6Z,1,REGULAR,substitution,out,[],201144,,,1610612750,6,11,2024-03-24T23:21:46Z,690000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2024-03-24T23:21:07.6Z,1,REGULAR,substitution,out,[],203952,,,1610612750,6,11,2024-03-24T23:21:46Z,700000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M29.00S,2024-03-24T23:21:07.6Z,1,REGULAR,substitution,in,[],1628420,,,1610612750,6,11,2024-03-24T23:21:46Z,710000,False,,,0,,SUB in: M. Morris,[1628420],1610612750.0,MIN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2024-03-24T23:21:07.6Z,1,REGULAR,substitution,in,[],202691,,,1610612750,6,11,2024-03-24T23:21:46Z,720000,False,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2024-03-24T23:22:20.5Z,1,REGULAR,3pt,Jump Shot,[],1628420,95.22010512483574,3.6764705882352944,1610612750,9,11,2024-03-24T23:22:41Z,730000,False,-232.0,-8.0,1,right,M. Morris 3PT  (3 PTS) (A. Edwards 2 AST),"[1628420, 1630162]",1610612750.0,MIN,,,,Morris,M. Morris,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,,23.17,,,,,A. Edwards,1630162.0,2.0,,,,
76,PT05M54.00S,2024-03-24T23:22:37.8Z,1,REGULAR,2pt,Jump Shot,[],201939,12.171484888304862,33.088235294117645,1610612744,9,11,2024-03-24T23:22:58Z,750000,False,85.0,62.0,1,left,MISS S. Curry 10' driving floating bank Shot,[201939],1610612744.0,GSW,driving floating bank,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,10.48,,,,,,,,,,,
77,PT05M54.00S,2024-03-24T23:22:37.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,9,11,2024-03-24T23:22:48Z,760000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,
78,PT05M44.00S,2024-03-24T23:22:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.06636005256242,52.69607843137255,1610612750,11,11,2024-03-24T23:22:56Z,770000,False,13.0,22.0,1,right,R. Gobert Layup (2 PTS) (A. Edwards 3 AST),"[203497, 1630162]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,2.59,,,,,A. Edwards,1630162.0,3.0,,,,
80,PT05M44.00S,2024-03-24T23:22:53.5Z,1,REGULAR,foul,personal,['1freethrow'],202691,,,1610612750,11,11,2024-03-24T23:23:05Z,790000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Gobert 1 FT),"[202691, 203497]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
82,PT05M44.00S,2024-03-24T23:23:20.2Z,1,REGULAR,freethrow,1 of 1,[],203497,,,1610612750,12,11,2024-03-24T23:23:20Z,810000,False,,,0,,R. Gobert Free Throw 1 of 1 (3 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
83,PT05M24.00S,2024-03-24T23:23:43.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,6.915243101182654,51.225490196078425,1610612744,12,11,2024-03-24T23:23:50Z,820000,False,-6.0,13.0,1,left,MISS T. Jackson-Davis cutting DUNK - blocked,"[1631218, 1629675]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.39,,,,,,,,Reid,1629675.0,,
84,PT05M24.00S,2024-03-24T23:23:43.2Z,1,REGULAR,block,,[],1629675,,,1610612744,12,11,2024-03-24T23:23:45Z,830000,False,,,0,,N. Reid BLOCK (2 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2024-03-24T23:23:46.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,12,11,2024-03-24T23:23:50Z,840000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,
