actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M32.00S,2024-03-23T00:12:31.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612750,2,2,2024-03-23T00:12:53Z,250000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,
26,PT10M30.00S,2024-03-23T00:12:33.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,2,2024-03-23T00:12:53Z,260000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,
27,PT10M12.00S,2024-03-23T00:13:09.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,88.78120893561103,52.69607843137255,1610612739,2,2,2024-03-23T00:13:14Z,270000,False,13.0,53.0,1,right,MISS J. Allen Hook,[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,,,,,,,,,,,,,,,,,
28,PT10M10.00S,2024-03-23T00:13:11.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,2,2024-03-23T00:13:14Z,280000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,
29,PT09M59.00S,2024-03-23T00:13:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,6.652431011826544,46.568627450980394,1610612750,4,2,2024-03-23T00:13:27Z,290000,False,17.0,10.0,1,left,N. Reid driving Layup (2 PTS),[1629675],1610612750.0,MIN,,driving,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,,,,,,,,,,,,,,,,
31,PT09M48.00S,2024-03-23T00:13:47.0Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,4,2,2024-03-23T00:13:57Z,310000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1630183]",1610612739.0,CLE,,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,
32,PT09M48.00S,2024-03-23T00:13:47.0Z,1,REGULAR,steal,,[],1630183,,,1610612750,4,2,2024-03-23T00:13:48Z,320000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,
33,PT09M42.00S,2024-03-23T00:13:53.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629675,11.251642575558476,4.6568627450980395,1610612750,4,2,2024-03-23T00:14:00Z,330000,False,227.0,53.0,1,left,MISS N. Reid 3PT,[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,
34,PT09M37.00S,2024-03-23T00:13:58.2Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,4,2,2024-03-23T00:14:00Z,340000,False,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT09M35.00S,2024-03-23T00:14:00.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629636,72.7496714848883,20.833333333333336,1610612739,4,2,2024-03-23T00:19:30Z,350000,False,-146.0,204.0,1,right,MISS D. Garland 25' running 3PT,[1629636],1610612739.0,CLE,,running,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,
36,PT09M32.00S,2024-03-23T00:14:03.3Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,4,2,2024-03-23T00:14:09Z,360000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
38,PT09M14.00S,2024-03-23T00:14:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,5.995400788436268,53.67647058823529,1610612750,6,2,2024-03-23T00:14:55Z,380000,False,-18.0,4.0,1,left,R. Gobert cutting Layup (2 PTS),[203497],1610612750.0,MIN,,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.88,Made,2.0,,,,,,,,,,,,,,,,
40,PT08M50.00S,2024-03-23T00:15:03.1Z,1,REGULAR,3pt,Jump Shot,[],1627777,90.22667542706965,95.34313725490196,1610612739,6,5,2024-03-23T00:15:07Z,400000,False,227.0,39.0,1,right,G. Niang 3PT  (3 PTS) (I. Okoro 1 AST),"[1627777, 1630171]",1610612739.0,CLE,,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,23.01,Made,3.0,,,,,,,,,,,,,,I. Okoro,1630171.0,1.0
42,PT08M34.00S,2024-03-23T00:15:19.2Z,1,REGULAR,2pt,Jump Shot,[],1630162,11.908672798948752,72.05882352941177,1610612750,6,5,2024-03-23T00:15:24Z,420000,False,-110.0,59.0,1,left,MISS A. Edwards 12' pullup bank Shot,[1630162],1610612750.0,MIN,,pullup bank,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,12.53,Missed,,,,,,,,,,,,,,,,,
43,PT08M31.00S,2024-03-23T00:15:22.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,6,5,2024-03-23T00:15:24Z,430000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,
44,PT08M23.00S,2024-03-23T00:15:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,80.76544021024968,35.78431372549019,1610612739,6,7,2024-03-23T00:15:34Z,440000,False,-71.0,128.0,1,right,D. Garland 14' pullup Jump Shot (4 PTS),[1629636],1610612739.0,CLE,,pullup,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,14.67,Made,4.0,,,,,,,,,,,,,,,,
45,PT08M08.00S,2024-03-23T00:15:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,9.149145860709593,56.86274509803921,1610612750,6,7,2024-03-23T00:15:56Z,450000,False,-34.0,34.0,1,left,MISS N. Reid driving Layup - blocked,"[1629675, 1627777]",1610612750.0,MIN,,driving,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,,,,,Niang,1627777.0,,,,,,,,,,
46,PT08M08.00S,2024-03-23T00:15:46.1Z,1,REGULAR,block,,[],1627777,,,1610612750,6,7,2024-03-23T00:15:48Z,460000,False,,,0,,G. Niang BLOCK (1 BLK),[1627777],1610612739.0,CLE,,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
47,PT08M08.00S,2024-03-23T00:15:46.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,6,7,2024-03-23T00:15:56Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,45.0,,,,,,,,,,,,,,,
49,PT08M00.00S,2024-03-23T00:16:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612750,6,7,2024-03-23T00:16:14Z,490000,False,,,0,,C. LeVert shooting personal FOUL (1 PF) (Gobert 2 FT),"[1627747, 203497]",1610612739.0,CLE,1830.0,shooting,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,0.0,Gobert,203497.0,,,,,,
51,PT08M00.00S,2024-03-23T00:16:39.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612750,6,7,2024-03-23T00:16:39Z,510000,False,,,0,,MISS R. Gobert Free Throw 1 of 2,[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,
52,PT08M00.00S,2024-03-23T00:16:39.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,6,7,2024-03-23T00:16:39Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,
53,PT08M00.00S,2024-03-23T00:17:04.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612750,7,7,2024-03-23T00:17:04Z,530000,False,,,0,,R. Gobert Free Throw 2 of 2 (3 PTS),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
54,PT07M48.00S,2024-03-23T00:17:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612739,7,7,2024-03-23T00:17:34Z,540000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Allen 2 FT),"[1629675, 1628386]",1610612750.0,MIN,1628953.0,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,0.0,Allen,1628386.0,,,,,,
56,PT07M48.00S,2024-03-23T00:17:44.3Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,7,8,2024-03-23T00:17:44Z,560000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
57,PT07M48.00S,2024-03-23T00:18:01.1Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,7,9,2024-03-23T00:18:01Z,570000,False,,,0,,J. Allen Free Throw 2 of 2 (2 PTS),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
58,PT07M35.00S,2024-03-23T00:18:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.703679369250986,58.82352941176471,1610612750,9,9,2024-03-23T00:25:43Z,580000,False,-44.0,20.0,1,left,A. Edwards driving finger roll Layup (2 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,,driving finger roll,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,2.0,,,,,,,,,,,,,,M. Conley,201144.0,1.0
60,PT07M11.00S,2024-03-23T00:18:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,92.06636005256242,54.41176470588235,1610612739,9,9,2024-03-23T00:18:47Z,600000,False,22.0,22.0,1,right,MISS C. LeVert reverse Layup - blocked,"[1627747, 203497]",1610612739.0,CLE,,reverse,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,Gobert,203497.0,,,,,,,,,,
61,PT07M11.00S,2024-03-23T00:18:42.1Z,1,REGULAR,block,,[],203497,,,1610612739,9,9,2024-03-23T00:18:43Z,610000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
62,PT07M08.00S,2024-03-23T00:18:45.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,9,9,2024-03-23T00:18:47Z,620000,False,,,0,,J. Allen REBOUND (Off:2 Def:2),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,60.0,4.0,2.0,2.0,,,,,,,,,,,,
63,PT07M07.00S,2024-03-23T00:18:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627747,92.85479632063075,54.65686274509803,1610612739,9,11,2024-03-23T00:27:06Z,630000,False,23.0,15.0,1,right,C. LeVert cutting Layup (2 PTS) (J. Allen 1 AST),"[1627747, 1628386]",1610612739.0,CLE,,cutting,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,,,,,,,,,,,,,,J. Allen,1628386.0,1.0
65,PT06M40.00S,2024-03-23T00:19:13.0Z,1,REGULAR,3pt,Jump Shot,[],201144,23.99802890932983,16.176470588235293,1610612750,9,11,2024-03-23T00:27:54Z,650000,False,169.0,173.0,1,left,MISS M. Conley 24' step back 3PT,[201144],1610612750.0,MIN,,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,24.2,Missed,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2024-03-23T00:19:17.0Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,9,11,2024-03-23T00:19:19Z,660000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,65.0,1.0,0.0,1.0,,,,,,,,,,,,
67,PT06M34.00S,2024-03-23T00:19:20.0Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,9,11,2024-03-23T00:19:27Z,670000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1630171]",1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,Okoro,1630171.0,,,
68,PT06M34.00S,2024-03-23T00:19:20.0Z,1,REGULAR,steal,,[],1630171,,,1610612739,9,11,2024-03-23T00:19:22Z,680000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2024-03-23T00:19:23.6Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612739,9,11,2024-03-23T00:21:40Z,690000,False,,,0,,A. Edwards clear-path personal FOUL (1 PF) (Okoro 2 FT),"[1630162, 1630171]",1610612750.0,MIN,203593.0,clear-path,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,0.0,Okoro,1630171.0,,,,,,
71,PT06M32.00S,2024-03-23T00:20:01.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,9,11,2024-03-23T00:20:01Z,710000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M32.00S,2024-03-23T00:22:37.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630171,,,1610612739,9,11,2024-03-23T00:22:37Z,730000,False,,,0,,MISS I. Okoro clear-path Free Throw 1 of 2,[1630171],1610612739.0,CLE,,clear-path,,,Okoro,I. Okoro,,,,,,,,Missed,,,,,,,,,,,,,,,,,
74,PT06M32.00S,2024-03-23T00:22:37.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,9,11,2024-03-23T00:22:37Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,
75,PT06M32.00S,2024-03-23T00:22:47.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630171,,,1610612739,9,12,2024-03-23T00:22:47Z,750000,False,,,0,,I. Okoro clear-path Free Throw 2 of 2 (1 PTS),[1630171],1610612739.0,CLE,,clear-path,,,Okoro,I. Okoro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
76,PT06M26.00S,2024-03-23T00:23:09.9Z,1,REGULAR,violation,kicked ball,[],1629675,,,1610612750,9,12,2024-03-23T00:23:27Z,760000,False,,,0,,N. Reid kicked ball VIOLATION,[1629675],1610612750.0,MIN,1628953.0,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2024-03-23T00:23:25.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628386,92.19776609724047,51.225490196078425,1610612739,9,14,2024-03-23T00:23:34Z,770000,False,6.0,21.0,1,right,J. Allen DUNK (4 PTS) (I. Okoro 2 AST),"[1628386, 1630171]",1610612739.0,CLE,,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.17,Made,4.0,,,,,,,,,,,,,,I. Okoro,1630171.0,2.0
79,PT06M02.00S,2024-03-23T00:23:46.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629675,10.463206307490145,43.38235294117647,1610612750,11,14,2024-03-23T00:29:43Z,790000,False,33.0,46.0,1,left,N. Reid turnaround Hook (4 PTS),[1629675],1610612750.0,MIN,,turnaround,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,5.66,Made,4.0,,,,,,,,,,,,,,,,
80,PT05M46.00S,2024-03-23T00:24:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630171,90.75229960578186,95.58823529411765,1610612739,11,14,2024-03-23T00:24:06Z,800000,False,228.0,34.0,1,right,MISS I. Okoro 3PT,[1630171],1610612739.0,CLE,,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,
81,PT05M43.00S,2024-03-23T00:24:04.9Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,11,14,2024-03-23T00:24:06Z,810000,False,,,0,,N. Reid REBOUND (Off:0 Def:2),[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,
82,PT05M35.00S,2024-03-23T00:24:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629675,28.597240473061763,74.75490196078431,1610612750,14,14,2024-03-23T00:24:18Z,820000,False,-124.0,216.0,1,left,N. Reid 24' 3PT  (7 PTS) (A. Edwards 1 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Left Center,24.92,Made,7.0,,,,,,,,,,,,,,A. Edwards,1630162.0,1.0
84,PT05M13.00S,2024-03-23T00:24:34.7Z,1,REGULAR,2pt,Jump Shot,[],1629636,77.87450722733246,41.66666666666667,1610612739,14,14,2024-03-23T00:30:34Z,840000,False,-42.0,155.0,1,right,MISS D. Garland 16' pullup Shot,[1629636],1610612739.0,CLE,,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,16.1,Missed,,,,,,,,,,,,,,,,,
85,PT05M12.00S,2024-03-23T00:24:37.0Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,14,14,2024-03-23T00:24:37Z,850000,False,,,0,,J. Allen REBOUND (Off:3 Def:2),[1628386],1610612739.0,CLE,,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Center,,,,84.0,5.0,2.0,3.0,,,,,,,,,,,,
