actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
24,PT10M03.00S,2024-01-15T00:13:41.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,14.273981603153747,5.147058823529411,1610612746,0,3,2024-01-15T00:15:17Z,240000,False,224.0,82.0,1,left,MISS P. George running 3PT,[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Right Corner 3,24+ Right,23.87,Missed,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2024-01-15T00:13:43.9Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612746,0,3,2024-01-15T00:13:43Z,250000,False,,,0,,D. Theis REBOUND (Off:1 Def:1),[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,Right Corner 3,24+ Right,,,,,24.0,,,,,,2.0,1.0,1.0,,,,,,,
26,PT09M50.00S,2024-01-15T00:13:54.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629611,17.559132720105126,93.62745098039215,1610612746,0,3,2024-01-15T00:14:00Z,260000,False,-218.0,113.0,1,left,MISS T. Mann 24' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,24.55,Missed,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2024-01-15T00:13:55.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,3,2024-01-15T00:14:00Z,270000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,26.0,,,,,,1.0,1.0,0.0,,,,,,,
28,PT09M34.00S,2024-01-15T00:14:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,81.02825229960578,19.362745098039216,1610612750,2,3,2024-01-15T00:14:17Z,280000,False,-153.0,126.0,1,right,A. Edwards 19' pullup bank Jump Shot (2 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,pullup bank,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,19.82,Made,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,,,,
31,PT09M15.00S,2024-01-15T00:14:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612746,2,3,2024-01-15T00:14:43Z,310000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Leonard 2 FT),"[1630183, 202695]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Leonard,202695.0
33,PT09M15.00S,2024-01-15T00:15:06.3Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,2,4,2024-01-15T00:15:06Z,330000,False,,,0,,K. Leonard Free Throw 1 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
34,PT09M15.00S,2024-01-15T00:15:25.4Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,2,5,2024-01-15T00:15:25Z,340000,False,,,0,,K. Leonard Free Throw 2 of 2 (2 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
35,PT08M56.00S,2024-01-15T00:15:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630183,78.79434954007884,10.049019607843137,1610612750,5,5,2024-01-15T00:15:51Z,350000,False,-200.0,147.0,1,right,J. McDaniels 24' 3PT  (3 PTS) (K. Towns 1 AST),"[1630183, 1626157]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,24.79,Made,,,,,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,
37,PT08M43.00S,2024-01-15T00:16:03.9Z,1,REGULAR,foul,personal,[],1630162,,,1610612746,5,5,2024-01-15T00:16:09Z,370000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 202695]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,,,,1199.0,,,,,,,,,,,1.0,0.0,Leonard,202695.0
39,PT08M34.00S,2024-01-15T00:16:29.0Z,1,REGULAR,2pt,Jump Shot,[],202331,24.52365308804205,52.69607843137255,1610612746,5,5,2024-01-15T00:16:32Z,390000,False,-13.0,178.0,1,left,MISS P. George 17' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,17.85,Missed,,,,,,,,,,,,,,,,,,
40,PT08M31.00S,2024-01-15T00:16:32.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,5,2024-01-15T00:16:32Z,400000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,39.0,,,,,,1.0,1.0,0.0,,,,,,,
41,PT08M20.00S,2024-01-15T00:16:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,91.93495400788436,42.8921568627451,1610612750,7,5,2024-01-15T00:16:49Z,410000,False,-36.0,23.0,1,right,A. Edwards driving Layup (4 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,4.25,Made,,,,,4.0,,,,,,,,,,,,,
42,PT07M55.00S,2024-01-15T00:17:06.4Z,1,REGULAR,3pt,Jump Shot,[],201935,16.507884362680684,95.58823529411765,1610612746,7,5,2024-01-15T00:17:10Z,420000,False,-228.0,103.0,1,left,MISS J. Harden 25' 3PT,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
43,PT07M54.00S,2024-01-15T00:17:07.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,7,5,2024-01-15T00:17:10Z,430000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,42.0,,,,,,2.0,2.0,0.0,,,,,,,
44,PT07M38.00S,2024-01-15T00:17:23.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.23061760840999,61.76470588235294,1610612750,10,5,2024-01-15T00:17:28Z,440000,False,59.0,256.0,1,right,K. Towns 26' 3PT  (3 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,26.22,Made,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
46,PT07M21.00S,2024-01-15T00:17:40.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,16.376478318002626,45.83333333333333,1610612746,10,7,2024-01-15T00:17:44Z,460000,False,21.0,101.0,1,left,K. Leonard 10' pullup Jump Shot (4 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,10.35,Made,,,,,4.0,,,,,,,,,,,,,
47,PT07M08.00S,2024-01-15T00:17:56.9Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,10,7,2024-01-15T00:18:03Z,470000,False,,,0,,K. Towns traveling TURNOVER (2 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Right,,,,,,2534.0,,,,,,,,2.0,,,,,,
48,PT06M57.00S,2024-01-15T00:18:20.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202695,5.995400788436268,48.28431372549019,1610612746,10,7,2024-01-15T00:19:20Z,480000,False,9.0,4.0,1,left,MISS K. Leonard driving DUNK,[202695],1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,0.94,Missed,,,,,,,,,,,,,,,,,,
49,PT06M55.00S,2024-01-15T00:18:22.1Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,10,7,2024-01-15T00:18:24Z,490000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,48.0,,,,,,1.0,1.0,0.0,,,,,,,
50,PT06M50.00S,2024-01-15T00:18:27.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,87.20433639947439,95.83333333333334,1610612750,13,7,2024-01-15T00:20:59Z,500000,False,229.0,68.0,1,right,M. Conley 3PT running (3 PTS) (J. McDaniels 1 AST),"[201144, 1630183]",1610612750.0,MIN,running,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,23.9,Made,,,,,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,
52,PT06M48.00S,2024-01-15T00:18:33.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,7,2024-01-15T00:18:33Z,520000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M26.00S,2024-01-15T00:21:59.5Z,1,REGULAR,3pt,Jump Shot,[],201935,19.92444152431012,91.17647058823529,1610612746,13,7,2024-01-15T00:22:18Z,530000,False,-206.0,135.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
54,PT06M23.00S,2024-01-15T00:22:02.5Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,13,7,2024-01-15T00:22:06Z,540000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,53.0,,,,,,1.0,0.0,1.0,,,,,,,
55,PT06M13.00S,2024-01-15T00:22:12.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,26.757555847568987,33.088235294117645,1610612746,13,7,2024-01-15T00:22:18Z,550000,False,85.0,199.0,1,left,MISS P. George 21' step back Shot,[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Right Center,21.62,Missed,,,,,,,,,,,,,,,,,,
56,PT06M11.00S,2024-01-15T00:22:14.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,13,7,2024-01-15T00:22:18Z,560000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,,,55.0,,,,,,2.0,2.0,0.0,,,,,,,
57,PT05M56.00S,2024-01-15T00:22:30.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,76.69185282522996,88.23529411764706,1610612750,16,7,2024-01-15T00:22:36Z,570000,False,191.0,167.0,1,right,K. Towns 25' 3PT  (6 PTS) (A. Edwards 2 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,25.36,Made,,,,,6.0,A. Edwards,1630162.0,2.0,,,,,,,,,,
59,PT05M31.00S,2024-01-15T00:22:54.5Z,1,REGULAR,2pt,Jump Shot,[],202695,26.10052562417871,25.49019607843137,1610612746,16,7,2024-01-15T00:23:23Z,590000,False,123.0,193.0,1,left,MISS K. Leonard 22' step back Shot,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right Center,22.84,Missed,,,,,,,,,,,,,,,,,,
60,PT05M29.00S,2024-01-15T00:22:56.5Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,16,7,2024-01-15T00:22:58Z,600000,False,,,0,,A. Edwards REBOUND (Off:0 Def:3),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,59.0,,,,,,3.0,3.0,0.0,,,,,,,
61,PT05M17.00S,2024-01-15T00:23:09.3Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,16,7,2024-01-15T00:23:13Z,610000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 201935]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Harden,201935.0,,,,
62,PT05M17.00S,2024-01-15T00:23:09.3Z,1,REGULAR,steal,,[],201935,,,1610612746,16,7,2024-01-15T00:23:11Z,620000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
63,PT05M12.00S,2024-01-15T00:23:14.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628464,9.411957950065702,94.36274509803921,1610612746,16,7,2024-01-15T00:24:02Z,630000,False,-222.0,36.0,1,left,MISS D. Theis running 3PT,[1628464],1610612746.0,LAC,running,,,Theis,D. Theis,,,,,Left Corner 3,24+ Left,22.47,Missed,,,,,,,,,,,,,,,,,,
64,PT05M08.00S,2024-01-15T00:23:18.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,7,2024-01-15T00:23:20Z,640000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,63.0,,,,,,1.0,1.0,0.0,,,,,,,
65,PT04M52.00S,2024-01-15T00:23:33.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,87.07293035479631,55.392156862745104,1610612750,16,7,2024-01-15T00:23:38Z,650000,False,27.0,69.0,1,right,MISS K. Towns 7' driving Hook,[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
66,PT04M50.00S,2024-01-15T00:23:35.3Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612746,16,7,2024-01-15T00:23:38Z,660000,False,,,0,,D. Theis REBOUND (Off:1 Def:2),[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,,,,,65.0,,,,,,3.0,2.0,1.0,,,,,,,
67,PT04M41.00S,2024-01-15T00:23:46.8Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612746,16,7,2024-01-15T00:23:52Z,670000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Harden 2 FT),"[1626157, 201935]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1627524.0,,,,,,,,,,,1.0,0.0,Harden,201935.0
69,PT04M41.00S,2024-01-15T00:24:22.3Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612746,16,8,2024-01-15T00:25:25Z,690000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
70,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,out,[],201144,,,1610612746,16,8,2024-01-15T00:24:43Z,700000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,out,[],203497,,,1610612746,16,8,2024-01-15T00:24:43Z,710000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,in,[],203937,,,1610612746,16,8,2024-01-15T00:24:43Z,740000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,in,[],1629675,,,1610612746,16,8,2024-01-15T00:24:43Z,750000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,in,[],201566,,,1610612746,16,8,2024-01-15T00:24:43Z,760000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,in,[],1626181,,,1610612746,16,8,2024-01-15T00:24:43Z,770000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612746,16,8,2024-01-15T00:25:24Z,775000,False,,,0,,SUB out: D. Theis,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M41.00S,2024-01-15T00:24:23.0Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,16,8,2024-01-15T00:26:09Z,787500,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M41.00S,2024-01-15T00:24:22.3Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612746,16,8,2024-01-15T00:25:25Z,800000,False,,,0,,MISS J. Harden Free Throw 2 of 2,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT04M39.00S,2024-01-15T00:24:24.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,8,2024-01-15T00:25:25Z,810000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,80.0,,,,,,2.0,2.0,0.0,,,,,,,
83,PT04M25.00S,2024-01-15T00:25:37.2Z,1,REGULAR,3pt,Jump Shot,[],1629675,88.64980289093299,95.09803921568627,1610612750,19,8,2024-01-15T00:25:43Z,820000,False,225.0,54.0,1,right,N. Reid 3PT  (3 PTS) (K. Anderson 1 AST),"[1629675, 203937]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,23.19,Made,,,,,3.0,K. Anderson,203937.0,1.0,,,,,,,,,,
85,PT04M07.00S,2024-01-15T00:25:53.9Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,19,8,2024-01-15T00:26:04Z,840000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 1630183]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,
86,PT04M07.00S,2024-01-15T00:25:53.9Z,1,REGULAR,steal,,[],1630183,,,1610612750,19,8,2024-01-15T00:26:00Z,850000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
88,PT03M53.00S,2024-01-15T00:26:17.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630183,91.67214191852825,55.88235294117647,1610612750,21,8,2024-01-15T00:26:22Z,860000,False,29.0,26.0,1,right,J. McDaniels turnaround Jump Shot (5 PTS) (K. Anderson 2 AST),"[1630183, 203937]",1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.91,Made,,,,,5.0,K. Anderson,203937.0,2.0,,,,,,,,,,
89,PT03M53.00S,2024-01-15T00:26:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,21,8,2024-01-15T00:26:21Z,870000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M53.00S,2024-01-15T00:27:03.2Z,1,REGULAR,substitution,out,[],201935,,,1610612746,21,8,2024-01-15T00:28:55Z,880000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
