actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
17,PT10M41.00S,2023-11-21T01:12:54.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,2,2,2023-11-21T01:13:00Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,16.0,,,,,,,,,,,
19,PT10M33.00S,2023-11-21T01:13:12.7Z,1,REGULAR,foul,personal,[],1629656,,,1610612750,2,2,2023-11-21T01:13:23Z,190000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1630162]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Edwards,1630162.0,,,
21,PT10M25.00S,2023-11-21T01:13:28.4Z,1,REGULAR,3pt,Jump Shot,[],201144,7.046649145860711,3.431372549019608,1610612750,5,2,2023-11-21T01:13:33Z,210000,False,233.0,14.0,1,left,M. Conley 3PT  (3 PTS) (K. Towns 2 AST),"[201144, 1626157]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,23.32,Made,3.0,,,,,,,K. Towns,1626157.0,2.0,,,,,,,,
23,PT10M13.00S,2023-11-21T01:13:40.1Z,1,REGULAR,3pt,Jump Shot,[],203944,69.46452036793693,31.862745098039213,1610612752,5,5,2023-11-21T01:13:46Z,230000,False,-91.0,235.0,1,right,J. Randle 25' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.14,Made,3.0,,,,,,,J. Brunson,1628973.0,1.0,,,,,,,,
24,PT09M56.00S,2023-11-21T01:13:57.5Z,1,REGULAR,2pt,Jump Shot,[],1630162,11.251642575558476,26.96078431372549,1610612750,7,5,2023-11-21T01:14:03Z,240000,False,115.0,53.0,1,left,A. Edwards 12' driving floating bank Jump Shot (2 PTS) (R. Gobert 1 AST),"[1630162, 203497]",1610612750.0,MIN,driving floating bank,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,12.69,Made,2.0,,,,,,,R. Gobert,203497.0,1.0,,,,,,,,
27,PT09M41.00S,2023-11-21T01:14:11.8Z,1,REGULAR,2pt,Jump Shot,[],203944,73.53810775295663,46.32352941176471,1610612752,7,5,2023-11-21T01:14:16Z,260000,False,-18.0,196.0,1,right,MISS J. Randle 19' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Mid-Range,16-24 Center,19.71,Missed,,,,,,,,,,,,,,,,,,
28,PT09M40.00S,2023-11-21T01:14:12.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,7,5,2023-11-21T01:14:16Z,270000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Center,,,,,,,,,27.0,,,,,,,,,1.0,1.0,0.0
29,PT09M34.00S,2023-11-21T01:14:20.0Z,1,REGULAR,2pt,Jump Shot,[],1630183,9.149145860709593,78.43137254901961,1610612750,9,5,2023-11-21T01:14:24Z,280000,False,-142.0,34.0,1,left,J. McDaniels 14' pullup Jump Shot (2 PTS),[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,14.61,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2023-11-21T01:14:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,82.07950065703022,50.98039215686274,1610612752,9,5,2023-11-21T01:16:58Z,290000,False,5.0,116.0,1,right,MISS R. Barrett 11' floating Shot,[1629628],1610612752.0,NYK,floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,11.61,Missed,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2023-11-21T01:14:36.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,9,5,2023-11-21T01:14:51Z,300000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,30.0,,,,,,,,,,,
32,PT09M18.00S,2023-11-21T01:14:39.8Z,1,REGULAR,foul,personal,[],203497,,,1610612752,9,5,2023-11-21T01:14:54Z,310000,False,,,0,,R. Gobert loose ball personal FOUL (1 PF),"[203497, 1629011]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627529.0,1.0,0.0,Robinson,1629011.0,,,
34,PT09M14.00S,2023-11-21T01:14:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,92.59198423127464,49.26470588235294,1610612752,9,7,2023-11-21T01:15:05Z,330000,False,-4.0,17.0,1,right,M. Robinson driving DUNK (2 PTS),[1629011],1610612752.0,NYK,driving,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,,,,,,,,,,,,,,,,,
37,PT08M57.00S,2023-11-21T01:15:36.0Z,1,REGULAR,3pt,Jump Shot,[],201144,25.04927726675427,18.38235294117647,1610612750,9,7,2023-11-21T01:15:40Z,360000,False,158.0,183.0,1,left,MISS M. Conley 24' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,24.18,Missed,,,,,,,,,,,,,,,,,,
38,PT08M56.00S,2023-11-21T01:15:37.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,9,7,2023-11-21T01:15:40Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,37.0,,,,,,,,,,,
40,PT08M43.00S,2023-11-21T01:16:04.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630183,10.726018396846255,51.225490196078425,1610612750,11,7,2023-11-21T01:16:10Z,390000,False,-6.0,48.0,1,left,J. McDaniels driving floating Jump Shot (4 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,4.87,Made,4.0,,,,,,,A. Edwards,1630162.0,1.0,,,,,,,,
42,PT08M24.00S,2023-11-21T01:16:23.1Z,1,REGULAR,3pt,Jump Shot,[],203944,69.59592641261499,30.88235294117647,1610612752,11,7,2023-11-21T01:16:28Z,410000,False,-96.0,233.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
43,PT08M22.00S,2023-11-21T01:16:25.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,11,7,2023-11-21T01:16:28Z,420000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,,,,42.0,,,,,,,,,1.0,1.0,0.0
44,PT08M17.00S,2023-11-21T01:16:33.1Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,11,7,2023-11-21T01:16:39Z,430000,False,,,0,,J. McDaniels step out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,step,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,1.0,,,,,,,,,2003.0,,,,,,,
45,PT08M07.00S,2023-11-21T01:16:53.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,71.04139290407359,74.50980392156863,1610612752,11,10,2023-11-21T01:16:58Z,440000,False,123.0,220.0,1,right,J. Brunson 25' 3PT  (5 PTS) (Q. Grimes 1 AST),"[1628973, 1629656]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.15,Made,5.0,,,,,,,Q. Grimes,1629656.0,1.0,,,,,,,,
47,PT07M47.00S,2023-11-21T01:17:12.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,26.888961892247043,59.55882352941176,1610612750,13,10,2023-11-21T01:17:17Z,460000,False,-48.0,200.0,1,left,K. Towns 20' Jump Shot (2 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Center,20.59,Made,2.0,,,,,,,M. Conley,201144.0,1.0,,,,,,,,
49,PT07M35.00S,2023-11-21T01:17:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,81.68528252299606,57.59803921568627,1610612752,13,10,2023-11-21T01:22:02Z,480000,False,38.0,120.0,1,right,MISS J. Brunson 12' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,12.56,Missed,,,,,,,,,,,,,,,,,,
50,PT07M33.00S,2023-11-21T01:17:27.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,13,10,2023-11-21T01:17:27Z,490000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,49.0,,,,,,,,,1.0,0.0,1.0
51,PT07M32.00S,2023-11-21T01:17:27.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,94.1688567674113,44.85294117647059,1610612752,13,12,2023-11-21T01:17:34Z,500000,False,-26.0,2.0,1,right,M. Robinson putback Layup (4 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,2.58,Made,4.0,,,,,,,,,,,,,,,,,
52,PT07M30.00S,2023-11-21T01:17:37.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,12,2023-11-21T01:17:37Z,510000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M30.00S,2023-11-21T01:18:07.3Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,13,12,2023-11-21T01:20:14Z,520000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2023-11-21T01:18:07.3Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,13,12,2023-11-21T01:20:14Z,530000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M18.00S,2023-11-21T01:20:49.1Z,1,REGULAR,3pt,Jump Shot,[],1629638,6.258212877792378,97.05882352941177,1610612750,16,12,2023-11-21T01:20:54Z,540000,False,-235.0,6.0,1,left,N. Alexander-Walker 3PT  (3 PTS) (A. Edwards 2 AST),"[1629638, 1630162]",1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,23.54,Made,3.0,,,,,,,A. Edwards,1630162.0,2.0,,,,,,,,
57,PT06M57.00S,2023-11-21T01:21:09.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,88.78120893561103,39.950980392156865,1610612752,16,12,2023-11-21T01:21:14Z,560000,False,-50.0,53.0,1,right,MISS R. Barrett 7' driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,7.3,Missed,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2023-11-21T01:21:11.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,16,12,2023-11-21T01:21:14Z,570000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,57.0,,,,,,,,,1.0,1.0,0.0
59,PT06M48.00S,2023-11-21T01:21:19.2Z,1,REGULAR,3pt,Jump Shot,[],1626157,31.488173455978973,51.225490196078425,1610612750,16,12,2023-11-21T01:21:31Z,580000,False,-6.0,243.0,1,left,MISS K. Towns 24' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,24.36,Missed,,,,,,,,,,,,,,,,,,
60,PT06M45.00S,2023-11-21T01:21:22.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,16,12,2023-11-21T01:21:31Z,590000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,,,59.0,,,,,,,,,1.0,1.0,0.0
61,PT06M37.00S,2023-11-21T01:21:37.1Z,1,REGULAR,foul,technical,['1freethrow'],203497,,,1610612752,16,12,2023-11-21T01:21:44Z,600000,False,,,0,,R. Gobert defensive-3-second technical FOUL (1 Tech),[203497],1610612750.0,MIN,defensive-3-second,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2003.0,1.0,1.0,,,,,
62,PT06M37.00S,2023-11-21T01:21:57.5Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612752,16,13,2023-11-21T01:21:57Z,610000,False,,,0,,J. Brunson technical Free Throw 1 of 1 (6 PTS),[1628973],1610612752.0,NYK,technical,,,Brunson,J. Brunson,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2023-11-21T01:22:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,72.22404730617609,75.98039215686273,1610612752,16,13,2023-11-21T01:22:27Z,620000,False,130.0,209.0,1,right,MISS Q. Grimes 24' step back 3PT,[1629656],1610612752.0,NYK,step back,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
64,PT06M20.00S,2023-11-21T01:22:23.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,16,13,2023-11-21T01:22:27Z,630000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,63.0,,,,,,,,,1.0,1.0,0.0
65,PT06M12.00S,2023-11-21T01:22:32.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,13.091327201051248,61.029411764705884,1610612750,16,13,2023-11-21T01:22:38Z,640000,False,-55.0,71.0,1,left,MISS A. Edwards 8' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Left,8.96,Missed,,,,,,,,,,,,,,,,,,
66,PT06M09.00S,2023-11-21T01:22:35.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,16,13,2023-11-21T01:22:38Z,650000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,65.0,,,,,,,,,2.0,1.0,1.0
67,PT05M56.00S,2023-11-21T01:22:48.6Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,16,13,2023-11-21T01:22:53Z,660000,False,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1626157]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Left,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,
68,PT05M56.00S,2023-11-21T01:22:48.6Z,1,REGULAR,steal,,[],1626157,,,1610612750,16,13,2023-11-21T01:22:50Z,670000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
69,PT05M51.00S,2023-11-21T01:22:54.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201144,6.652431011826544,4.166666666666666,1610612750,16,13,2023-11-21T01:23:03Z,680000,False,229.0,10.0,1,left,MISS M. Conley 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
70,PT05M49.00S,2023-11-21T01:22:56.0Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,16,13,2023-11-21T01:23:03Z,690000,False,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,,,,,,,,,69.0,,,,,,,,,2.0,1.0,1.0
71,PT05M49.00S,2023-11-21T01:22:58.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630162,5.590000152587891,50.0,1610612750,18,13,2023-11-21T01:23:08Z,700000,False,0.0,0.0,1,left,A. Edwards tip DUNK (4 PTS),[1630162],1610612750.0,MIN,tip,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
72,PT05M29.00S,2023-11-21T01:23:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,72.35545335085413,21.323529411764707,1610612752,18,13,2023-11-21T01:23:20Z,710000,False,-143.0,207.0,1,right,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
73,PT05M26.00S,2023-11-21T01:23:17.9Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612750,18,13,2023-11-21T01:23:20Z,720000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,72.0,,,,,,,,,1.0,1.0,0.0
74,PT05M13.00S,2023-11-21T01:23:31.3Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,18,13,2023-11-21T01:23:36Z,730000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1629656]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,1.0,Grimes,1629656.0,,,,,,,,,,,,,,
75,PT05M13.00S,2023-11-21T01:23:31.3Z,1,REGULAR,steal,,[],1629656,,,1610612752,18,13,2023-11-21T01:23:36Z,740000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2023-11-21T01:23:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,92.06636005256242,46.568627450980394,1610612752,18,15,2023-11-21T01:23:42Z,750000,False,-17.0,22.0,1,right,R. Barrett driving Layup (2 PTS),[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.8,Made,2.0,,,,,,,,,,,,,,,,,
77,PT04M49.00S,2023-11-21T01:23:54.9Z,1,REGULAR,turnover,lost ball,[],203497,,,1610612750,18,15,2023-11-21T01:24:00Z,760000,False,,,0,,R. Gobert lost ball TURNOVER (1 TO),"[203497, 1629656]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,1.0,Grimes,1629656.0,,,,,,,,,,,,,,
78,PT04M49.00S,2023-11-21T01:23:54.9Z,1,REGULAR,steal,,[],1629656,,,1610612752,18,15,2023-11-21T01:23:56Z,770000,False,,,0,,Q. Grimes STEAL (2 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT04M45.00S,2023-11-21T01:23:59.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,76.03482260183968,86.02941176470588,1610612752,18,18,2023-11-21T01:24:05Z,780000,False,180.0,173.0,1,right,R. Barrett 24' 3PT  (5 PTS) (J. Brunson 2 AST),"[1629628, 1628973]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,24.96,Made,5.0,,,,,,,J. Brunson,1628973.0,2.0,,,,,,,,
81,PT04M31.00S,2023-11-21T01:24:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.915243101182654,53.67647058823529,1610612750,20,18,2023-11-21T01:24:22Z,800000,False,-18.0,13.0,1,left,K. Towns driving finger roll Layup (4 PTS) (A. Edwards 3 AST),"[1626157, 1630162]",1610612750.0,MIN,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.22,Made,4.0,,,,,,,A. Edwards,1630162.0,3.0,,,,,,,,
83,PT04M31.00S,2023-11-21T01:24:17.4Z,1,REGULAR,foul,personal,['1freethrow'],1628973,,,1610612750,20,18,2023-11-21T01:24:27Z,820000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Towns 1 FT),"[1628973, 1626157]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626300.0,1.0,0.0,Towns,1626157.0,,,
85,PT04M31.00S,2023-11-21T01:24:28.7Z,1,REGULAR,substitution,out,[],201144,,,1610612750,20,18,2023-11-21T01:26:26Z,840000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2023-11-21T01:24:28.7Z,1,REGULAR,substitution,out,[],203497,,,1610612750,20,18,2023-11-21T01:26:26Z,850000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2023-11-21T01:24:28.7Z,1,REGULAR,substitution,out,[],1629656,,,1610612750,20,18,2023-11-21T01:26:26Z,860000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M31.00S,2023-11-21T01:24:28.7Z,1,REGULAR,substitution,out,[],1629628,,,1610612750,20,18,2023-11-21T01:26:26Z,870000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
