actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT10M24.00S,2025-02-05T00:44:13.5Z,1,REGULAR,3pt,Jump Shot,[],1642266,68.01905387647832,68.13725490196079,1610612761,7,3,2025-02-05T00:44:22Z,170000,False,91.0,248.0,1,right,J. Walter 26' 3PT  (3 PTS) (S. Barnes 1 AST),"[1642266, 1630567]",1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,,Walter,J. Walter,26.42,Made,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,
19,PT10M07.00S,2025-02-05T00:44:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628404,3.7614980289093296,97.79411764705883,1610612752,7,3,2025-02-05T00:44:37Z,190000,False,-239.0,-17.0,1,left,MISS J. Hart 3PT,[1628404],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Hart,J. Hart,23.96,Missed,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2025-02-05T00:44:30.6Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,7,3,2025-02-05T00:44:37Z,200000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,Quickley,I. Quickley,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT09M50.00S,2025-02-05T00:44:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642266,87.20433639947439,47.549019607843135,1610612761,7,3,2025-02-05T00:46:26Z,210000,False,-12.0,68.0,1,right,MISS J. Walter 6' driving Layup,[1642266],1610612761.0,TOR,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,Walter,J. Walter,6.89,Missed,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2025-02-05T00:44:50.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,3,2025-02-05T00:46:26Z,220000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,Towns,K. Towns,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,,
23,PT09M39.00S,2025-02-05T00:44:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,7.440867279894875,51.225490196078425,1610612752,7,5,2025-02-05T00:45:04Z,230000,False,-6.0,17.0,1,left,P. Achiuwa cutting finger roll Layup (2 PTS) (J. Brunson 1 AST),"[1630173, 1628973]",1610612752.0,NYK,cutting finger roll,,,,,,Restricted Area,0-8 Center,,,Achiuwa,P. Achiuwa,1.84,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,
25,PT09M28.00S,2025-02-05T00:45:09.7Z,1,REGULAR,turnover,bad pass,[],1641711,,,1610612761,7,5,2025-02-05T00:45:15Z,250000,False,,,0,,G. Dick bad pass TURNOVER (1 TO),"[1641711, 1630173]",1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,1.0,Dick,G. Dick,,,,,,,,,,,Achiuwa,1630173.0,,,,,,,
26,PT09M28.00S,2025-02-05T00:45:09.7Z,1,REGULAR,steal,,[],1630173,,,1610612752,7,5,2025-02-05T00:45:11Z,260000,False,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2025-02-05T00:45:14.2Z,1,REGULAR,turnover,lost ball,[],1630173,,,1610612752,7,5,2025-02-05T00:45:18Z,270000,False,,,0,,P. Achiuwa lost ball TURNOVER (1 TO),"[1630173, 1641711]",1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,1.0,Achiuwa,P. Achiuwa,,,,,,,,,,,Dick,1641711.0,,,,,,,
28,PT09M24.00S,2025-02-05T00:45:14.2Z,1,REGULAR,steal,,[],1641711,,,1610612761,7,5,2025-02-05T00:45:16Z,280000,False,,,0,,G. Dick STEAL (1 STL),[1641711],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,
29,PT09M20.00S,2025-02-05T00:45:17.9Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,7,5,2025-02-05T00:45:22Z,290000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628404]",1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,1.0,Barnes,S. Barnes,,,,,,,,,,,Hart,1628404.0,,,,,,,
30,PT09M20.00S,2025-02-05T00:45:17.9Z,1,REGULAR,steal,,[],1628404,,,1610612752,7,5,2025-02-05T00:45:20Z,300000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2025-02-05T00:45:21.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628969,4.812746386333772,4.411764705882353,1610612752,7,5,2025-02-05T00:45:38Z,310000,False,228.0,-7.0,1,left,MISS M. Bridges running 3PT,[1628969],1610612752.0,NYK,running,,,,,,Right Corner 3,24+ Right,,,Bridges,M. Bridges,22.8,Missed,,,,,,,,,,,,,,,,,
32,PT09M16.00S,2025-02-05T00:45:26.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,5,2025-02-05T00:45:26Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,31.0,,,,,,,,,,,,
34,PT09M13.00S,2025-02-05T00:45:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1641711,,,1610612752,7,5,2025-02-05T00:46:01Z,340000,False,,,0,,G. Dick shooting personal FOUL (1 PF) (Bridges 2 FT),"[1641711, 1628969]",1610612761.0,TOR,shooting,,,,,,Mid-Range,8-16 Left,1627534.0,,Dick,G. Dick,,,,,,,,,,,,,1.0,0.0,Bridges,1628969.0,,,
36,PT09M13.00S,2025-02-05T00:46:10.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1628969,,,1610612752,7,6,2025-02-05T00:46:10Z,360000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612752.0,NYK,,,,,,,,,,,Bridges,M. Bridges,,Made,1.0,,,,,,,,,,,,,,,,
38,PT09M13.00S,2025-02-05T00:46:30.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1628969,,,1610612752,7,7,2025-02-05T00:46:30Z,370000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628969],1610612752.0,NYK,,,,,,,,,,,Bridges,M. Bridges,,Made,2.0,,,,,,,,,,,,,,,,
39,PT08M51.00S,2025-02-05T00:46:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,88.78120893561103,57.59803921568627,1610612761,9,7,2025-02-05T00:48:18Z,380000,False,38.0,53.0,1,right,S. Barnes 6' driving Layup (2 PTS),[1630567],1610612761.0,TOR,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,Barnes,S. Barnes,6.52,Made,2.0,,,,,,,,,,,,,,,,
40,PT08M26.00S,2025-02-05T00:47:19.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,12.697109067017081,54.65686274509803,1610612752,9,7,2025-02-05T00:47:24Z,390000,False,-23.0,67.0,1,left,MISS J. Hart 7' driving floating Shot,[1628404],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,Hart,J. Hart,7.08,Missed,,,,,,,,,,,,,,,,,
41,PT08M22.00S,2025-02-05T00:47:21.8Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,9,7,2025-02-05T00:47:21Z,400000,False,,,0,,K. Towns REBOUND (Off:2 Def:1),[1626157],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,Towns,K. Towns,,,,,,,40.0,3.0,1.0,2.0,,,,,,,,,
42,PT08M21.00S,2025-02-05T00:47:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,4.944152431011826,49.26470588235294,1610612752,9,9,2025-02-05T00:49:33Z,410000,False,4.0,-6.0,1,left,K. Towns putback Layup (5 PTS),[1626157],1610612752.0,NYK,putback,,,,,,Restricted Area,0-8 Center,,,Towns,K. Towns,0.7,Made,5.0,,,,,,,,,,,,,,,,
43,PT08M17.00S,2025-02-05T00:47:30.6Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612761,9,9,2025-02-05T00:47:40Z,420000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Dick 2 FT),"[1628973, 1641711]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,1628481.0,,Brunson,J. Brunson,,,,,,,,,,,,,1.0,0.0,Dick,1641711.0,,,
45,PT08M17.00S,2025-02-05T00:47:57.4Z,1,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,10,9,2025-02-05T00:47:57Z,440000,False,,,0,,G. Dick Free Throw 1 of 2 (3 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,,Dick,G. Dick,,Made,3.0,,,,,,,,,,,,,,,,
46,PT08M17.00S,2025-02-05T00:48:12.7Z,1,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,11,9,2025-02-05T00:48:12Z,450000,False,,,0,,G. Dick Free Throw 2 of 2 (4 PTS),[1641711],1610612761.0,TOR,,,,,,,,,,,Dick,G. Dick,,Made,4.0,,,,,,,,,,,,,,,,
47,PT08M01.00S,2025-02-05T00:48:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,15.982260183968464,42.15686274509804,1610612752,11,11,2025-02-05T00:50:00Z,460000,False,39.0,98.0,1,left,P. Achiuwa 10' floating Jump Shot (4 PTS),[1630173],1610612752.0,NYK,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Achiuwa,P. Achiuwa,10.53,Made,4.0,,,,,,,,,,,,,,,,
48,PT07M47.00S,2025-02-05T00:48:44.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,70.77858081471747,48.529411764705884,1610612761,13,11,2025-02-05T00:48:48Z,470000,False,-7.0,222.0,1,right,S. Barnes 22' step back Jump Shot (4 PTS),[1630567],1610612761.0,TOR,step back,,,,,,Mid-Range,16-24 Center,,,Barnes,S. Barnes,22.23,Made,4.0,,,,,,,,,,,,,,,,
49,PT07M35.00S,2025-02-05T00:48:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,16.245072273324574,51.71568627450981,1610612752,13,13,2025-02-05T00:49:00Z,480000,False,-9.0,100.0,1,left,J. Brunson 10' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Brunson,J. Brunson,10.06,Made,2.0,,,,,,,,,,,,,,,,
50,PT07M13.00S,2025-02-05T00:49:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.1688567674113,51.225490196078425,1610612761,15,13,2025-02-05T00:49:25Z,490000,False,6.0,2.0,1,right,J. Poeltl reverse Layup (2 PTS) (I. Quickley 1 AST),"[1627751, 1630193]",1610612761.0,TOR,reverse,,,,,,Restricted Area,0-8 Center,,,Poeltl,J. Poeltl,0.65,Made,2.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,
52,PT07M01.00S,2025-02-05T00:49:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,17.16491458607096,38.970588235294116,1610612752,15,13,2025-02-05T00:49:40Z,510000,False,55.0,109.0,1,left,MISS K. Towns 12' driving floating Shot,[1626157],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Towns,K. Towns,12.2,Missed,,,,,,,,,,,,,,,,,
53,PT06M58.00S,2025-02-05T00:49:33.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,15,13,2025-02-05T00:49:33Z,520000,False,,,0,,K. Towns REBOUND (Off:3 Def:1),[1626157],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Center,,,Towns,K. Towns,,,,,,,52.0,4.0,1.0,3.0,,,,,,,,,
54,PT06M56.00S,2025-02-05T00:49:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,6.258212877792378,46.07843137254902,1610612752,15,13,2025-02-05T00:49:52Z,530000,False,20.0,6.0,1,left,MISS K. Towns putback Layup,[1626157],1610612752.0,NYK,putback,,,,,,Restricted Area,0-8 Center,,,Towns,K. Towns,2.06,Missed,,,,,,,,,,,,,,,,,
56,PT06M56.00S,2025-02-05T00:49:35.4Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,15,13,2025-02-05T00:49:52Z,550000,False,,,0,,K. Towns REBOUND (Off:4 Def:1),[1626157],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,Towns,K. Towns,,,,,,,54.0,5.0,1.0,4.0,,,,,,,,,
57,PT06M56.00S,2025-02-05T00:49:40.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,5.590000152587891,50.0,1610612752,15,15,2025-02-05T00:49:40Z,560000,False,0.0,0.0,1,left,K. Towns tip Layup (7 PTS),[1626157],1610612752.0,NYK,tip,,,,,,Mid-Range,8-16 Left,,,Towns,K. Towns,0.0,Made,7.0,,,,,,,,,,,,,,,,
58,PT06M56.00S,2025-02-05T00:49:43.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,15,15,2025-02-05T00:49:43Z,570000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2025-02-05T00:52:00.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,15,15,2025-02-05T00:52:25Z,580000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,
60,PT06M56.00S,2025-02-05T00:52:00.6Z,1,REGULAR,substitution,out,[],1630193,,,1610612761,15,15,2025-02-05T00:52:25Z,590000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,,,,,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,
61,PT06M56.00S,2025-02-05T00:52:00.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612761,15,15,2025-02-05T00:52:25Z,600000,False,,,0,,SUB in: B. Brown,[1628971],1610612761.0,TOR,,,,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
62,PT06M56.00S,2025-02-05T00:52:00.6Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,15,15,2025-02-05T00:52:25Z,610000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2025-02-05T00:53:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642347,85.10183968462549,40.68627450980392,1610612761,17,15,2025-02-05T00:53:09Z,620000,False,-47.0,88.0,1,right,J. Shead 9' driving floating Jump Shot (2 PTS),[1642347],1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Shead,J. Shead,9.91,Made,2.0,,,,,,,,,,,,,,,,
64,PT06M17.00S,2025-02-05T00:53:23.0Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612752,17,15,2025-02-05T00:53:27Z,630000,False,,,0,,K. Towns bad pass TURNOVER (1 TO),"[1626157, 1642266]",1610612752.0,NYK,,,,,,,Mid-Range,8-16 Right,,1.0,Towns,K. Towns,,,,,,,,,,,Walter,1642266.0,,,,,,,
65,PT06M17.00S,2025-02-05T00:53:23.0Z,1,REGULAR,steal,,[],1642266,,,1610612761,17,15,2025-02-05T00:53:25Z,640000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,,,,Mid-Range,8-16 Right,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,
66,PT06M08.00S,2025-02-05T00:53:32.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642347,81.42247043363994,60.049019607843135,1610612761,17,15,2025-02-05T00:53:37Z,650000,False,50.0,122.0,1,right,MISS J. Shead 13' pullup Shot,[1642347],1610612761.0,TOR,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,Shead,J. Shead,13.2,Missed,,,,,,,,,,,,,,,,,
67,PT06M06.00S,2025-02-05T00:53:34.2Z,1,REGULAR,rebound,offensive,[],1642347,,,1610612761,17,15,2025-02-05T00:53:34Z,660000,False,,,0,,J. Shead REBOUND (Off:1 Def:0),[1642347],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),8-16 Center,,,Shead,J. Shead,,,,,,,66.0,1.0,0.0,1.0,,,,,,,,,
68,PT05M58.00S,2025-02-05T00:53:42.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627751,84.83902759526939,58.333333333333336,1610612761,17,15,2025-02-05T00:54:31Z,670000,False,42.0,90.0,1,right,MISS J. Poeltl 9' floating Shot,[1627751],1610612761.0,TOR,floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Poeltl,J. Poeltl,9.92,Missed,,,,,,,,,,,,,,,,,
69,PT05M55.00S,2025-02-05T00:53:45.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,17,15,2025-02-05T00:53:46Z,680000,False,,,0,,K. Towns REBOUND (Off:4 Def:2),[1626157],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),8-16 Center,,,Towns,K. Towns,,,,,,,68.0,6.0,2.0,4.0,,,,,,,,,
71,PT05M51.00S,2025-02-05T00:53:55.6Z,1,REGULAR,substitution,out,[],1628969,,,1610612752,17,15,2025-02-05T00:54:07Z,700000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2025-02-05T00:53:55.6Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,17,15,2025-02-05T00:54:07Z,710000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,,,,,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,
73,PT05M51.00S,2025-02-05T00:53:55.6Z,1,REGULAR,substitution,in,[],1630574,,,1610612752,17,15,2025-02-05T00:54:07Z,720000,False,,,0,,SUB in: A. Hukporti,[1630574],1610612752.0,NYK,,,,,,,,,,,Hukporti,A. Hukporti,,,,,,,,,,,,,,,,,,,
74,PT05M51.00S,2025-02-05T00:53:55.6Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,17,15,2025-02-05T00:54:07Z,730000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,,,,,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,
75,PT05M49.00S,2025-02-05T00:54:19.9Z,1,REGULAR,3pt,Jump Shot,[],1628404,31.225361366622867,70.58823529411765,1610612752,17,15,2025-02-05T00:54:30Z,740000,False,-103.0,241.0,1,left,MISS J. Hart 26' 3PT,[1628404],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,,,Hart,J. Hart,26.2,Missed,,,,,,,,,,,,,,,,,
76,PT05M47.00S,2025-02-05T00:54:21.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,17,15,2025-02-05T00:54:30Z,750000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,75.0,,,,,,,,,,,,
78,PT05M35.00S,2025-02-05T00:54:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.11760840998686,53.18627450980392,1610612761,19,15,2025-02-05T00:55:09Z,770000,False,16.0,12.0,1,right,J. Poeltl cutting Layup (4 PTS) (B. Brown 1 AST),"[1627751, 1628971]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,,Poeltl,J. Poeltl,2.0,Made,4.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,
80,PT05M35.00S,2025-02-05T00:54:50.8Z,1,REGULAR,foul,personal,['1freethrow'],1630173,,,1610612761,19,15,2025-02-05T00:54:55Z,790000,False,,,0,,P. Achiuwa shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1630173, 1627751]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,1627534.0,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,
82,PT05M35.00S,2025-02-05T00:55:12.8Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612761,20,15,2025-02-05T00:55:12Z,810000,False,,,0,,J. Poeltl Free Throw 1 of 1 (5 PTS),[1627751],1610612761.0,TOR,,,,,,,,,,,Poeltl,J. Poeltl,,Made,5.0,,,,,,,,,,,,,,,,
83,PT05M19.00S,2025-02-05T00:55:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,17.427726675427067,46.568627450980394,1610612752,20,17,2025-02-05T00:55:34Z,820000,False,17.0,111.0,1,left,J. Brunson 11' driving floating Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Brunson,J. Brunson,11.26,Made,4.0,,,,,,,,,,,,,,,,
84,PT05M10.00S,2025-02-05T00:55:38.0Z,1,REGULAR,3pt,Jump Shot,[],1642266,66.96780551905388,62.5,1610612761,23,17,2025-02-05T00:55:42Z,830000,False,62.0,258.0,1,right,J. Walter 26' 3PT pullup (6 PTS),[1642266],1610612761.0,TOR,pullup,,,,,,Above the Break 3,24+ Center,,,Walter,J. Walter,26.55,Made,6.0,,,,,,,,,,,,,,,,
