actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
57,PT07M27.00S,2025-01-16T00:52:28.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201950,,,1610612738,15,10,2025-01-16T00:52:28Z,560000,False,,,0,,J. Holiday Free Throw 1 of 2 (3 PTS),[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,Made,,,,,3.0,,,,,,,,,
58,PT07M27.00S,2025-01-16T00:52:28.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201950,,,1610612738,15,11,2025-01-16T01:28:59Z,570000,False,,,0,,J. Holiday Free Throw 2 of 2 (4 PTS),[201950],1610612738.0,BOS,,,,,,,,,,,,Holiday,J. Holiday,,,,Made,,,,,4.0,,,,,,,,,
59,PT07M10.00S,2025-01-16T00:53:03.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,91.14651773981603,95.58823529411765,1610612761,18,11,2025-01-16T00:53:07Z,580000,False,228.0,31.0,1,right,R. Barrett 3PT  (3 PTS) (G. Dick 1 AST),"[1629628, 1641711]",1610612761.0,TOR,,,,,,,Right Corner 3,24+ Right,,,,Barrett,R. Barrett,,,23.0,Made,,,,,3.0,G. Dick,1641711.0,1.0,,,,,,
61,PT06M56.00S,2025-01-16T00:53:17.2Z,1,REGULAR,3pt,Jump Shot,[],204001,34.510512483574246,56.127450980392155,1610612738,18,14,2025-01-16T00:53:21Z,600000,False,-31.0,272.0,1,left,K. Porziņģis 27' 3PT  (5 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Porziņģis,K. Porziņģis,,,27.36,Made,,,,,5.0,J. Tatum,1628369.0,1.0,,,,,,
63,PT06M46.00S,2025-01-16T00:53:26.3Z,1,REGULAR,3pt,Jump Shot,[],1641711,71.82982917214193,79.41176470588235,1610612761,18,14,2025-01-16T00:53:31Z,620000,False,147.0,212.0,1,right,MISS G. Dick 25' 3PT,[1641711],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,,,,Dick,G. Dick,,,25.83,Missed,,,,,,,,,,,,,,
64,PT06M44.00S,2025-01-16T00:53:28.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,18,14,2025-01-16T00:53:31Z,630000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:2),[204001],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Porziņģis,K. Porziņģis,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT06M28.00S,2025-01-16T00:53:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,13.222733245729303,48.03921568627451,1610612738,18,14,2025-01-16T00:53:52Z,640000,False,10.0,72.0,1,left,MISS J. Brown 7' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Brown,J. Brown,,,7.25,Missed,,,,,,,,,,,,,,
66,PT06M26.00S,2025-01-16T00:53:47.2Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,18,14,2025-01-16T00:53:52Z,650000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:1),[1630534],1610612761.0,TOR,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Agbaji,O. Agbaji,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M15.00S,2025-01-16T00:53:58.8Z,1,REGULAR,3pt,Jump Shot,[],1630534,95.22010512483574,3.431372549019608,1610612761,18,14,2025-01-16T00:54:06Z,660000,False,-233.0,-8.0,1,right,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,,,,Left Corner 3,24+ Left,,,,Agbaji,O. Agbaji,,,23.29,Missed,,,,,,,,,,,,,,
68,PT06M13.00S,2025-01-16T00:54:00.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,18,14,2025-01-16T00:54:06Z,670000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,,,Brown,J. Brown,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,
69,PT05M58.00S,2025-01-16T00:54:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.075558475689881,50.98039215686274,1610612738,18,14,2025-01-16T00:54:21Z,680000,False,-5.0,-5.0,1,left,MISS J. Tatum driving reverse Layup,[1628369],1610612738.0,BOS,driving reverse,,,,,,Restricted Area,0-8 Center,,,,Tatum,J. Tatum,,,0.69,Missed,,,,,,,,,,,,,,
70,PT05M57.00S,2025-01-16T00:54:16.2Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,18,14,2025-01-16T00:54:21Z,690000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Tatum,J. Tatum,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,
71,PT05M54.00S,2025-01-16T00:54:19.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],204001,28.728646517739815,77.69607843137256,1610612738,18,17,2025-01-16T00:54:24Z,700000,False,-138.0,218.0,1,left,K. Porziņģis 25' 3PT  (8 PTS) (P. Pritchard 1 AST),"[204001, 1630202]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,Porziņģis,K. Porziņģis,,,25.79,Made,,,,,8.0,P. Pritchard,1630202.0,1.0,,,,,,
73,PT05M52.00S,2025-01-16T00:54:24.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,18,17,2025-01-16T00:54:24Z,720000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2025-01-16T00:55:27.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,18,17,2025-01-16T00:57:04Z,730000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,
75,PT05M52.00S,2025-01-16T00:55:27.0Z,1,REGULAR,substitution,out,[],1627759,,,1610612761,18,17,2025-01-16T00:57:04Z,740000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2025-01-16T00:55:27.0Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,18,17,2025-01-16T00:57:04Z,750000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2025-01-16T00:55:27.0Z,1,REGULAR,substitution,in,[],201143,,,1610612761,18,17,2025-01-16T00:57:04Z,760000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,
78,PT05M42.00S,2025-01-16T00:57:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642347,89.96386333771353,60.049019607843135,1610612761,20,17,2025-01-16T00:58:19Z,770000,False,50.0,42.0,1,right,J. Shead 6' driving floating Jump Shot (2 PTS) (R. Barrett 2 AST),"[1642347, 1629628]",1610612761.0,TOR,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Shead,J. Shead,,,6.53,Made,,,,,2.0,R. Barrett,1629628.0,2.0,,,,,,
80,PT05M28.00S,2025-01-16T00:57:40.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201950,8.754927726675426,42.15686274509804,1610612738,20,17,2025-01-16T00:58:50Z,790000,False,39.0,30.0,1,left,MISS J. Holiday turnaround Hook,[201950],1610612738.0,BOS,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Holiday,J. Holiday,,,4.92,Missed,,,,,,,,,,,,,,
81,PT05M24.00S,2025-01-16T00:57:44.2Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,20,17,2025-01-16T00:57:51Z,800000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Holiday,J. Holiday,,,,,80.0,1.0,0.0,1.0,,,,,,,,,,
82,PT05M24.00S,2025-01-16T00:57:43.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201950,5.590000152587891,50.0,1610612738,20,17,2025-01-16T01:01:02Z,810000,False,0.0,0.0,1,left,MISS J. Holiday tip Layup,[201950],1610612738.0,BOS,tip,,,,,,Restricted Area,0-8 Center,,,,Holiday,J. Holiday,,,0.0,Missed,,,,,,,,,,,,,,
83,PT05M22.00S,2025-01-16T00:57:45.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,20,17,2025-01-16T01:01:02Z,820000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612761.0,TOR,,,,,,,Restricted Area,0-8 Center,,,,Poeltl,J. Poeltl,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,
87,PT05M11.00S,2025-01-16T00:57:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,94.03745072273325,51.71568627450981,1610612761,20,17,2025-01-16T00:58:03Z,860000,False,9.0,4.0,1,right,MISS O. Agbaji cutting Layup - blocked,"[1630534, 204001]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,,,Agbaji,O. Agbaji,,,0.93,Missed,,,,,,,,,,,,Porziņģis,204001.0,
88,PT05M11.00S,2025-01-16T00:57:56.7Z,1,REGULAR,block,,[],204001,,,1610612761,20,17,2025-01-16T00:57:59Z,870000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,
89,PT05M09.00S,2025-01-16T00:57:58.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,17,2025-01-16T00:58:03Z,880000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Tatum,J. Tatum,,,,,87.0,3.0,2.0,1.0,,,,,,,,,,
