actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
66,PT07M14.00S,2025-03-08T00:51:21.1Z,1,REGULAR,foul,personal,[],1630639,,,1610612762,15,6,2025-03-08T00:52:27Z,660000,False,,,0,,A. Lawson loose ball personal FOUL (1 PF),"[1630639, 1630548]",1610612761.0,TOR,loose ball,,,Lawson,A. Lawson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1627962.0,,,,,1.0,0.0,Juzang,1630548.0,,
68,PT07M14.00S,2025-03-08T00:51:31.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,15,6,2025-03-08T00:51:31Z,680000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,out,[],1630567,,,1610612762,15,6,2025-03-08T00:54:00Z,690000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,out,[],1630193,,,1610612762,15,6,2025-03-08T00:54:00Z,700000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,out,[],1631115,,,1610612762,15,6,2025-03-08T00:54:00Z,710000,False,,,0,,SUB out: O. Robinson,[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,in,[],1630658,,,1610612762,15,6,2025-03-08T00:54:00Z,720000,False,,,0,,SUB in: C. Castleton,[1630658],1610612761.0,TOR,,,,Castleton,C. Castleton,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,in,[],1642419,,,1610612762,15,6,2025-03-08T00:54:00Z,730000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M14.00S,2025-03-08T00:53:21.7Z,1,REGULAR,substitution,in,[],1642347,,,1610612762,15,6,2025-03-08T00:54:00Z,740000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M59.00S,2025-03-08T00:54:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,82.86793692509855,50.73529411764706,1610612762,15,8,2025-03-08T00:54:41Z,750000,False,4.0,109.0,1,right,C. Sexton 10' pullup Jump Shot (4 PTS) (K. Filipowski 1 AST),"[1629012, 1642271]",1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,,10.86,Made,4.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,,
76,PT06M30.00S,2025-03-08T00:55:06.4Z,1,REGULAR,3pt,Jump Shot,[],1630639,4.02431011826544,95.83333333333334,1610612761,18,8,2025-03-08T00:55:11Z,760000,False,-229.0,-15.0,1,left,A. Lawson 3PT  (3 PTS) (J. Shead 1 AST),"[1630639, 1642347]",1610612761.0,TOR,,,,Lawson,A. Lawson,,,,,Left Corner 3,24+ Left,,,,22.97,Made,3.0,J. Shead,1642347.0,1.0,,,,,,,,,,,
78,PT06M14.00S,2025-03-08T00:55:25.0Z,1,REGULAR,foul,personal,['2freethrow'],1630658,,,1610612762,18,8,2025-03-08T00:55:33Z,780000,False,,,0,,C. Castleton shooting personal FOUL (1 PF) (Collier 2 FT),"[1630658, 1642268]",1610612761.0,TOR,shooting,,,Castleton,C. Castleton,,,,,Restricted Area,0-8 Center,,,,,,,,,,200834.0,,,,,1.0,0.0,Collier,1642268.0,,
81,PT06M14.00S,2025-03-08T00:55:52.6Z,1,REGULAR,freethrow,1 of 2,[],1642268,,,1610612762,18,9,2025-03-08T00:55:52Z,800000,False,,,0,,I. Collier Free Throw 1 of 2 (1 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
82,PT06M14.00S,2025-03-08T00:55:53.3Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,18,9,2025-03-08T00:56:14Z,810000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M14.00S,2025-03-08T00:55:53.3Z,1,REGULAR,substitution,out,[],1630231,,,1610612762,18,9,2025-03-08T00:56:14Z,820000,False,,,0,,SUB out: K. Martin,[1630231],1610612762.0,UTA,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
