actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
29,PT09M09.00S,2021-11-11T00:43:49.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,4,2021-11-11T00:43:53Z,290000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,28.0,3.0,3.0,0.0,,,,,,
30,PT08M48.00S,2021-11-11T00:44:10.9Z,1,REGULAR,3pt,Jump Shot,[],203935,69.46452036793693,25.98039215686275,1610612738,7,4,2021-11-11T00:44:18Z,300000,-120.0,235.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,26.35,Missed,,,,,,,,,,,,,,
31,PT08M41.00S,2021-11-11T00:44:17.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,7,4,2021-11-11T00:44:18Z,310000,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,30.0,2.0,0.0,2.0,,,,,,
32,PT08M41.00S,2021-11-11T00:44:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.40999984741211,50.0,1610612738,9,4,2021-11-11T00:44:16Z,320000,0.0,0.0,1,right,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,
33,PT08M33.00S,2021-11-11T00:44:24.7Z,1,REGULAR,2pt,Jump Shot,[],1630567,5.206964520367937,70.83333333333334,1610612761,9,6,2021-11-11T00:47:06Z,330000,-104.0,-4.0,1,left,S. Barnes 10' floating Jump Shot (4 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,,,,,,10.43,Made,4.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
35,PT08M19.00S,2021-11-11T00:44:39.6Z,1,REGULAR,3pt,Jump Shot,[],201143,87.46714848883047,3.6764705882352944,1610612738,9,6,2021-11-11T00:44:44Z,350000,-232.0,65.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,24.06,Missed,,,,,,,,,,,,,,
36,PT08M15.00S,2021-11-11T00:44:43.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,9,6,2021-11-11T00:44:44Z,360000,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,35.0,3.0,3.0,0.0,,,,,,
37,PT08M13.00S,2021-11-11T00:44:48.2Z,1,REGULAR,turnover,out-of-bounds,[],1629018,,,1610612761,9,6,2021-11-11T00:44:56Z,370000,,,0,,G. Trent Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629018],1610612761.0,TOR,lost ball,,,Trent Jr.,G. Trent Jr.,,,,,2003.0,,,,,,,,,,,,,,,1.0,,,,,
38,PT08M00.00S,2021-11-11T00:45:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,85.75886990801577,44.11764705882353,1610612738,9,6,2021-11-11T00:45:19Z,380000,-29.0,81.0,1,right,MISS D. Schroder 8' driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,,,8.65,Missed,,,,,,,,,,,,,,
39,PT07M58.00S,2021-11-11T00:45:14.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,6,2021-11-11T00:45:14Z,390000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,
40,PT07M58.00S,2021-11-11T00:45:15.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,9,6,2021-11-11T00:45:15Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M50.00S,2021-11-11T00:45:35.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,93.9060446780552,4.6568627450980395,1610612738,9,6,2021-11-11T00:45:40Z,410000,-227.0,5.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,22.68,Missed,,,,,,,,,,,,,,
42,PT07M46.00S,2021-11-11T00:45:39.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,9,6,2021-11-11T00:45:40Z,420000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,
43,PT07M43.00S,2021-11-11T00:45:42.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630567,10.463206307490145,46.07843137254902,1610612761,9,6,2021-11-11T00:45:50Z,430000,20.0,46.0,1,left,MISS S. Barnes running Layup,[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,,,,,,4.99,Missed,,,,,,,,,,,,,,
44,PT07M40.00S,2021-11-11T00:45:45.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,6,2021-11-11T00:45:50Z,440000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,
45,PT07M31.00S,2021-11-11T00:45:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,87.33574244415243,49.754901960784316,1610612738,9,6,2021-11-11T00:46:05Z,450000,-1.0,67.0,1,right,MISS M. Smart 6' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,,,,,,6.65,Missed,,,,,,,,,,,,,,
46,PT07M31.00S,2021-11-11T00:45:53.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,9,6,2021-11-11T00:50:27Z,460000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,45.0,4.0,3.0,1.0,,,,,,
47,PT07M29.00S,2021-11-11T00:45:56.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201143,87.33574244415243,49.01960784313725,1610612738,11,6,2021-11-11T00:46:07Z,470000,-5.0,67.0,1,right,A. Horford 6' Hook (4 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,6.67,Made,4.0,,,,,,,,,,,,,
48,PT07M07.00S,2021-11-11T00:46:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,16.245072273324574,50.49019607843137,1610612761,11,6,2021-11-11T00:46:21Z,480000,-2.0,100.0,1,left,MISS O. Anunoby 10' turnaround fadeaway Shot,[1628384],1610612761.0,TOR,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,,,,,,10.02,Missed,,,,,,,,,,,,,,
49,PT07M05.00S,2021-11-11T00:46:19.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,6,2021-11-11T00:46:21Z,490000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,
50,PT06M52.00S,2021-11-11T00:46:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,80.23981603153744,62.99019607843137,1610612738,11,6,2021-11-11T00:49:31Z,500000,65.0,133.0,1,right,MISS J. Tatum 14' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,14.82,Missed,,,,,,,,,,,,,,
51,PT06M49.00S,2021-11-11T00:46:35.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,11,6,2021-11-11T00:46:38Z,510000,,,0,,S. Barnes REBOUND (Off:0 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,50.0,4.0,4.0,0.0,,,,,,
52,PT06M44.00S,2021-11-11T00:46:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612761,11,6,2021-11-11T00:50:48Z,520000,,,0,,J. Tatum shooting personal FOUL (1 PF) (VanVleet 2 FT),"[1628369, 1627832]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,202056.0,1.0,0.0,VanVleet,1627832.0,,,,,,,,,,,,,,,,
54,PT06M44.00S,2021-11-11T00:46:53.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,11,6,2021-11-11T00:46:53Z,540000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M44.00S,2021-11-11T00:49:16.0Z,1,REGULAR,substitution,out,[],201143,,,1610612761,11,6,2021-11-11T00:49:37Z,550000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M44.00S,2021-11-11T00:49:16.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,11,6,2021-11-11T00:49:37Z,560000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2021-11-11T00:49:16.0Z,1,REGULAR,substitution,in,[],1626196,,,1610612761,11,6,2021-11-11T00:49:37Z,570000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M44.00S,2021-11-11T00:49:16.0Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,11,6,2021-11-11T00:49:37Z,580000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M44.00S,2021-11-11T00:49:47.7Z,1,REGULAR,freethrow,1 of 2,[],1627832,,,1610612761,11,7,2021-11-11T00:50:37Z,590000,,,0,,F. VanVleet Free Throw 1 of 2 (1 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
60,PT06M44.00S,2021-11-11T00:49:47.7Z,1,REGULAR,freethrow,2 of 2,[],1627832,,,1610612761,11,8,2021-11-11T00:50:37Z,600000,,,0,,F. VanVleet Free Throw 2 of 2 (2 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
61,PT06M28.00S,2021-11-11T00:50:20.7Z,1,REGULAR,3pt,Jump Shot,[],203471,84.1819973718791,95.34313725490196,1610612738,14,8,2021-11-11T00:50:41Z,610000,227.0,96.0,1,right,D. Schroder 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[203471, 1628369]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,24.63,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
63,PT06M16.00S,2021-11-11T00:50:33.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,5.995400788436268,50.245098039215684,1610612761,14,10,2021-11-11T00:50:44Z,630000,-1.0,4.0,1,left,P. Achiuwa cutting DUNK (2 PTS) (F. VanVleet 3 AST),"[1630173, 1627832]",1610612761.0,TOR,cutting,,,Achiuwa,P. Achiuwa,,,,,,,,,,0.41,Made,2.0,F. VanVleet,1627832.0,3.0,,,,,,,,,,
65,PT06M05.00S,2021-11-11T00:50:42.8Z,1,REGULAR,2pt,Layup,[],203935,92.06636005256242,67.8921568627451,1610612738,14,10,2021-11-11T00:50:54Z,650000,89.0,22.0,1,right,MISS M. Smart 9' driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,,,,9.22,Missed,,,,,,,,,,,,,,
66,PT06M05.00S,2021-11-11T00:50:42.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,14,10,2021-11-11T00:50:54Z,660000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,
67,PT06M00.00S,2021-11-11T00:50:48.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,5.995400788436268,51.470588235294116,1610612761,14,12,2021-11-11T00:51:00Z,670000,-7.0,4.0,1,left,O. Anunoby running Layup (4 PTS) (P. Achiuwa 1 AST),"[1628384, 1630173]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,,,,,,0.84,Made,4.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,
69,PT05M46.00S,2021-11-11T00:51:02.2Z,1,REGULAR,2pt,Jump Shot,[],203935,75.24638633377135,72.05882352941177,1610612738,16,12,2021-11-11T00:52:21Z,690000,110.0,180.0,1,right,M. Smart 21' pullup Jump Shot (2 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,21.13,Made,2.0,,,,,,,,,,,,,
71,PT05M30.00S,2021-11-11T00:51:25.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'defensivegoaltending']",1627783,6.521024967148489,49.01960784313725,1610612761,16,14,2021-11-11T00:51:49Z,710000,5.0,9.0,1,left,P. Siakam driving Hook (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,,,,,,1.01,Made,2.0,,,,,,,,,,,,,
72,PT05M30.00S,2021-11-11T00:51:31.8Z,1,REGULAR,violation,defensive goaltending,[],1629057,,,1610612761,16,14,2021-11-11T00:51:44Z,720000,,,0,,R. Williams III defensive goaltending VIOLATION,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2003.0,,,,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2021-11-11T00:52:04.3Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612738,16,14,2021-11-11T00:52:24Z,730000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Tatum 2 FT),"[1627783, 1628369]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,2003.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
75,PT05M13.00S,2021-11-11T00:52:42.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,17,14,2021-11-11T00:52:42Z,750000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
76,PT05M13.00S,2021-11-11T00:52:43.0Z,1,REGULAR,substitution,out,[],203471,,,1610612738,17,14,2021-11-11T00:52:47Z,760000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M13.00S,2021-11-11T00:52:43.0Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,17,14,2021-11-11T00:52:47Z,770000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2021-11-11T00:52:59.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,18,14,2021-11-11T00:52:59Z,780000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
79,PT05M01.00S,2021-11-11T00:53:14.0Z,1,REGULAR,2pt,Jump Shot,[],1629018,24.52365308804205,38.48039215686275,1610612761,18,16,2021-11-11T00:54:11Z,790000,58.0,178.0,1,left,G. Trent Jr. 18' step back Jump Shot (2 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,18.71,Made,2.0,,,,,,,,,,,,,
80,PT04M47.00S,2021-11-11T00:53:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629641,86.28449408672799,95.58823529411765,1610612738,21,16,2021-11-11T00:53:32Z,800000,228.0,76.0,1,right,R. Langford 24' 3PT  (3 PTS) (J. Tatum 2 AST),"[1629641, 1628369]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,24.04,Made,3.0,J. Tatum,1628369.0,2.0,,,,,,,,,,
82,PT04M33.00S,2021-11-11T00:53:40.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,9.674770039421814,3.6764705882352944,1610612761,21,19,2021-11-11T00:53:46Z,820000,232.0,38.0,1,left,F. VanVleet 3PT  (5 PTS) (O. Anunoby 1 AST),"[1627832, 1628384]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,23.48,Made,5.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,
84,PT04M18.00S,2021-11-11T00:53:57.9Z,1,REGULAR,turnover,out-of-bounds,[],1626196,,,1610612738,21,19,2021-11-11T00:54:03Z,840000,,,0,,J. Richardson lost ball out-of-bounds TURNOVER (1 TO),[1626196],1610612738.0,BOS,lost ball,,,Richardson,J. Richardson,,,,,202056.0,,,,,,,,,,,,,,,1.0,,,,,
85,PT04M18.00S,2021-11-11T00:54:01.1Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,21,19,2021-11-11T00:54:11Z,850000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M18.00S,2021-11-11T00:54:01.1Z,1,REGULAR,substitution,in,[],1629004,,,1610612761,21,19,2021-11-11T00:54:11Z,860000,,,0,,SUB in: S. Mykhailiuk,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M10.00S,2021-11-11T00:54:28.4Z,1,REGULAR,turnover,backcourt,[],1629018,,,1610612761,21,19,2021-11-11T00:54:53Z,870000,,,0,,G. Trent Jr. backcourt TURNOVER (2 TO),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,2.0,,,,,
88,PT03M58.00S,2021-11-11T00:54:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,92.19776609724047,45.09803921568628,1610612738,21,19,2021-11-11T00:55:00Z,880000,-25.0,21.0,1,right,MISS J. Tatum cutting Layup - blocked,"[1628369, 1630173]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,,,,,,3.21,Missed,,,,,,,,,,Achiuwa,1630173.0,,,
