actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT11M18.00S,2022-03-04T00:49:48.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-03-04T00:49:51Z,150000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT11M03.00S,2022-03-04T00:50:02.2Z,1,REGULAR,3pt,Jump Shot,[],203935,25.837713534822605,82.59803921568627,1610612738,0,0,2022-03-04T00:50:08Z,160000,-163.0,190.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,,,,25.06,Missed,Smart,M. Smart,,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2022-03-04T00:50:05.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,0,0,2022-03-04T00:50:08Z,170000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
18,PT10M55.00S,2022-03-04T00:50:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,7.966491458607096,47.05882352941176,1610612738,0,0,2022-03-04T00:50:21Z,180000,15.0,22.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,,,,2.68,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
19,PT10M54.00S,2022-03-04T00:50:11.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,0,0,2022-03-04T00:50:21Z,190000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
20,PT10M53.00S,2022-03-04T00:50:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,5.995400788436268,48.28431372549019,1610612738,2,0,2022-03-04T00:50:28Z,200000,9.0,4.0,1,left,R. Williams III putback Layup (2 PTS),[1629057],1610612738.0,BOS,putback,,,,,,0.94,Made,Williams III,R. Williams III,,,,,2.0,,,,,,,,,,,,,,
21,PT10M38.00S,2022-03-04T00:50:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628991,73.27529566360053,81.86274509803921,1610612763,2,3,2022-03-04T00:50:34Z,210000,159.0,199.0,1,right,J. Jackson Jr. 25' 3PT  (3 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,,,,,,,25.47,Made,Jackson Jr.,J. Jackson Jr.,,,,,3.0,S. Adams,203500.0,1.0,,,,,,,,,,,
23,PT10M18.00S,2022-03-04T00:50:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,7.046649145860711,47.794117647058826,1610612738,2,3,2022-03-04T00:50:54Z,230000,11.0,14.0,1,left,MISS M. Smart driving reverse Layup,[203935],1610612738.0,BOS,driving reverse,,,,,,1.76,Missed,Smart,M. Smart,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-03-04T00:50:50.0Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,2,3,2022-03-04T00:50:54Z,240000,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,23.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-03-04T00:50:53.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,10.463206307490145,42.15686274509804,1610612738,4,3,2022-03-04T00:50:58Z,250000,39.0,46.0,1,left,A. Horford 6' putback Layup (2 PTS),[201143],1610612738.0,BOS,putback,,,,,,6.04,Made,Horford,A. Horford,,,,,2.0,,,,,,,,,,,,,,
26,PT10M16.00S,2022-03-04T00:50:55.4Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612738,4,3,2022-03-04T00:51:01Z,260000,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Horford 1 FT),"[1628991, 201143]",1610612763.0,MEM,shooting,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,2003.0,1.0,0.0,Horford,201143.0,,,,,,
28,PT10M16.00S,2022-03-04T00:51:19.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],201143,,,1610612738,5,3,2022-03-04T00:51:19Z,280000,,,0,,A. Horford Free Throw 1 of 1 (3 PTS),[201143],1610612738.0,BOS,,,,,,,,Made,Horford,A. Horford,,,,,3.0,,,,,,,,,,,,,,
29,PT09M59.00S,2022-03-04T00:51:37.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,85.49605781865965,52.20588235294118,1610612763,5,5,2022-03-04T00:51:43Z,290000,11.0,84.0,1,right,J. Jackson Jr. 8' driving Hook (5 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,driving,,,,,,8.45,Made,Jackson Jr.,J. Jackson Jr.,,,,,5.0,J. Morant,1629630.0,1.0,,,,,,,,,,,
31,PT09M49.00S,2022-03-04T00:51:46.9Z,1,REGULAR,3pt,Jump Shot,[],201143,31.882391590013142,39.950980392156865,1610612738,8,5,2022-03-04T00:51:51Z,310000,50.0,247.0,1,left,A. Horford 25' 3PT  (6 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,,,,25.22,Made,Horford,A. Horford,,,,,6.0,M. Smart,203935.0,1.0,,,,,,,,,,,
33,PT09M34.00S,2022-03-04T00:52:02.0Z,1,REGULAR,2pt,Hook,[],1630217,90.75229960578186,68.38235294117648,1610612763,8,5,2022-03-04T00:52:08Z,330000,92.0,34.0,1,right,MISS D. Bane 9' driving Hook,[1630217],1610612763.0,MEM,driving,,,,,,9.81,Missed,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
34,PT09M32.00S,2022-03-04T00:52:04.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,8,5,2022-03-04T00:52:08Z,340000,,,0,,A. Horford REBOUND (Off:2 Def:2),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,33.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
35,PT09M28.00S,2022-03-04T00:52:07.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628369,7.703679369250986,48.28431372549019,1610612738,8,5,2022-03-04T00:52:17Z,350000,9.0,20.0,1,left,MISS J. Tatum DUNK - blocked,"[1628369, 1628991]",1610612738.0,BOS,,,,,,,2.17,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,
36,PT09M28.00S,2022-03-04T00:52:07.8Z,1,REGULAR,block,,[],1628991,,,1610612738,8,5,2022-03-04T00:52:09Z,360000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
37,PT09M24.00S,2022-03-04T00:52:11.8Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,8,5,2022-03-04T00:52:17Z,370000,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,,,,,,Williams,Z. Williams,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
38,PT09M19.00S,2022-03-04T00:52:17.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,70.51576872536137,74.75490196078431,1610612763,8,5,2022-03-04T00:52:28Z,380000,124.0,225.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,,,,25.65,Missed,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
39,PT09M16.00S,2022-03-04T00:52:20.3Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,8,5,2022-03-04T00:52:20Z,390000,,,0,,S. Adams REBOUND (Off:2 Def:0),[203500],1610612763.0,MEM,,,,,,,,,Adams,S. Adams,38.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
40,PT09M13.00S,2022-03-04T00:52:23.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,89.04402102496715,4.6568627450980395,1610612763,8,5,2022-03-04T00:52:33Z,400000,-227.0,50.0,1,right,MISS Z. Williams 3PT,[1630533],1610612763.0,MEM,,,,,,,23.23,Missed,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,
41,PT09M10.00S,2022-03-04T00:52:26.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,5,2022-03-04T00:52:33Z,410000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,40.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
42,PT08M58.00S,2022-03-04T00:52:37.7Z,1,REGULAR,2pt,Jump Shot,[],1629057,22.158344283837057,30.637254901960787,1610612738,10,5,2022-03-04T00:52:44Z,420000,97.0,156.0,1,left,R. Williams III 18' Jump Shot (4 PTS),[1629057],1610612738.0,BOS,,,,,,,18.34,Made,Williams III,R. Williams III,,,,,4.0,,,,,,,,,,,,,,
43,PT08M45.00S,2022-03-04T00:52:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,68.67608409986859,70.83333333333334,1610612763,10,5,2022-03-04T00:54:36Z,430000,104.0,242.0,1,right,MISS J. Morant 26' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,,,,26.34,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
44,PT08M41.00S,2022-03-04T00:52:55.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,10,5,2022-03-04T00:52:55Z,440000,,,0,,S. Adams REBOUND (Off:3 Def:0),[203500],1610612763.0,MEM,,,,,,,,,Adams,S. Adams,43.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
45,PT08M39.00S,2022-03-04T00:52:57.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,83.65637319316689,41.66666666666667,1610612763,10,5,2022-03-04T00:53:09Z,450000,-42.0,101.0,1,right,MISS J. Morant 10' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,,,,10.94,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
46,PT08M37.00S,2022-03-04T00:52:59.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,10,5,2022-03-04T00:53:09Z,460000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M21.00S,2022-03-04T00:53:15.4Z,1,REGULAR,3pt,Jump Shot,[],1630174,6.389618922470433,96.07843137254902,1610612738,10,5,2022-03-04T00:59:01Z,470000,-230.0,8.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612738.0,BOS,,,,,,,23.05,Missed,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2022-03-04T00:53:18.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,10,5,2022-03-04T00:53:20Z,480000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
49,PT08M13.00S,2022-03-04T00:53:23.9Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,10,5,2022-03-04T00:53:30Z,490000,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1630174]",1610612763.0,MEM,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,1.0,Nesmith,1630174.0,
50,PT08M13.00S,2022-03-04T00:53:23.9Z,1,REGULAR,steal,,[],1630174,,,1610612738,10,5,2022-03-04T00:53:25Z,500000,,,0,,A. Nesmith STEAL (1 STL),[1630174],1610612738.0,BOS,,,,,,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,
51,PT08M04.00S,2022-03-04T00:53:34.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,10,5,2022-03-04T00:53:34Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M04.00S,2022-03-04T00:53:43.7Z,1,REGULAR,substitution,out,[],203500,,,1610612738,10,5,2022-03-04T00:53:56Z,520000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,,,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,
53,PT08M04.00S,2022-03-04T00:53:43.7Z,1,REGULAR,substitution,in,[],203937,,,1610612738,10,5,2022-03-04T00:53:56Z,530000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
54,PT07M58.00S,2022-03-04T00:54:07.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,29.911300919842315,26.47058823529412,1610612738,13,5,2022-03-04T00:54:13Z,540000,118.0,229.0,1,left,M. Smart 25' 3PT  (3 PTS) (R. Williams III 1 AST),"[203935, 1629057]",1610612738.0,BOS,,,,,,,25.72,Made,Smart,M. Smart,,,,,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
56,PT07M57.00S,2022-03-04T00:54:12.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,13,5,2022-03-04T00:54:12Z,560000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M46.00S,2022-03-04T00:57:49.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,90.09526938239159,65.19607843137256,1610612763,13,5,2022-03-04T00:58:08Z,570000,76.0,41.0,1,right,MISS J. Jackson Jr. 8' driving Hook - blocked,"[1628991, 1629057]",1610612763.0,MEM,driving,,,,,,8.62,Missed,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,Williams III,1629057.0,,,,
61,PT07M46.00S,2022-03-04T00:57:49.6Z,1,REGULAR,block,,[],1629057,,,1610612763,13,5,2022-03-04T00:57:53Z,580000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,
62,PT07M44.00S,2022-03-04T00:57:51.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,13,5,2022-03-04T00:58:08Z,590000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,
63,PT07M44.00S,2022-03-04T00:57:54.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,13,5,2022-03-04T00:57:54Z,600000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M39.00S,2022-03-04T00:58:16.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630533,87.99277266754271,3.431372549019608,1610612763,13,8,2022-03-04T00:58:22Z,610000,-233.0,60.0,1,right,Z. Williams 24' 3PT  (3 PTS) (K. Anderson 1 AST),"[1630533, 203937]",1610612763.0,MEM,,,,,,,24.05,Made,Williams,Z. Williams,,,,,3.0,K. Anderson,203937.0,1.0,,,,,,,,,,,
66,PT07M15.00S,2022-03-04T00:58:39.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,8.492115637319317,2.941176470588235,1610612738,16,8,2022-03-04T00:58:43Z,630000,235.0,27.0,1,left,J. Tatum 3PT  (3 PTS) (A. Nesmith 1 AST),"[1628369, 1630174]",1610612738.0,BOS,,,,,,,23.69,Made,Tatum,J. Tatum,,,,,3.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,
68,PT07M00.00S,2022-03-04T00:58:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,90.22667542706965,41.17647058823529,1610612763,16,8,2022-03-04T00:59:03Z,650000,-44.0,39.0,1,right,MISS D. Bane driving Layup - blocked,"[1630217, 1629057]",1610612763.0,MEM,driving,,,,,,5.91,Missed,Bane,D. Bane,,,,,,,,,,,,,,Williams III,1629057.0,,,,
69,PT07M00.00S,2022-03-04T00:58:54.0Z,1,REGULAR,block,,[],1629057,,,1610612763,16,8,2022-03-04T00:58:57Z,660000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,
70,PT06M56.00S,2022-03-04T00:58:58.0Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,16,8,2022-03-04T00:59:03Z,670000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,68.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
71,PT06M56.00S,2022-03-04T00:58:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,92.19776609724047,48.03921568627451,1610612763,16,8,2022-03-04T00:59:07Z,680000,-10.0,21.0,1,right,MISS J. Jackson Jr. putback Layup,[1628991],1610612763.0,MEM,putback,,,,,,2.3,Missed,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
72,PT06M54.00S,2022-03-04T00:59:00.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,8,2022-03-04T00:59:07Z,690000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
73,PT06M53.00S,2022-03-04T00:59:10.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,8,2022-03-04T00:59:10Z,700000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2022-03-04T01:02:06.4Z,1,REGULAR,substitution,out,[],1630174,,,1610612738,16,8,2022-03-04T01:02:26Z,710000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,,,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,
75,PT06M53.00S,2022-03-04T01:02:06.4Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,16,8,2022-03-04T01:02:26Z,720000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2022-03-04T01:02:45.9Z,1,REGULAR,3pt,Jump Shot,[],203935,32.933639947437584,55.14705882352941,1610612738,16,8,2022-03-04T01:02:50Z,730000,-26.0,257.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,,,,25.84,Missed,Smart,M. Smart,,,,,,,,,,,,,,,,,,,
77,PT06M36.00S,2022-03-04T01:02:48.9Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,16,8,2022-03-04T01:02:50Z,740000,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,,,,,,Anderson,K. Anderson,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT06M26.00S,2022-03-04T01:02:58.0Z,1,REGULAR,3pt,Jump Shot,[],1629630,66.04796320630749,57.59803921568627,1610612763,16,8,2022-03-04T01:03:11Z,750000,38.0,267.0,1,right,MISS J. Morant 26' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,,,,26.93,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
79,PT06M24.00S,2022-03-04T01:03:00.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,16,8,2022-03-04T01:03:02Z,760000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,78.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
80,PT06M09.00S,2022-03-04T01:03:16.2Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,16,8,2022-03-04T01:03:20Z,770000,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1630217]",1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,1.0,Bane,1630217.0,
81,PT06M09.00S,2022-03-04T01:03:16.2Z,1,REGULAR,steal,,[],1630217,,,1610612763,16,8,2022-03-04T01:03:17Z,780000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
82,PT05M57.00S,2022-03-04T01:03:29.2Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612763,16,8,2022-03-04T01:03:40Z,790000,,,0,,A. Horford shooting personal FOUL (1 PF) (Morant 2 FT),"[201143, 1629630]",1610612738.0,BOS,shooting,,,,,,,,Horford,A. Horford,,,,,,,,,101283.0,1.0,0.0,Morant,1629630.0,,,,,,
84,PT05M57.00S,2022-03-04T01:03:55.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629630,,,1610612763,16,9,2022-03-04T01:03:55Z,810000,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,,,,,Made,Morant,J. Morant,,,,,1.0,,,,,,,,,,,,,,
86,PT05M57.00S,2022-03-04T01:03:56.4Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,16,9,2022-03-04T01:04:05Z,830000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
87,PT05M57.00S,2022-03-04T01:03:56.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612763,16,9,2022-03-04T01:04:05Z,840000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
88,PT05M57.00S,2022-03-04T01:03:56.4Z,1,REGULAR,substitution,in,[],1629001,,,1610612763,16,9,2022-03-04T01:04:05Z,850000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
92,PT05M57.00S,2022-03-04T01:03:56.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612763,16,9,2022-03-04T01:04:41Z,865000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
91,PT05M57.00S,2022-03-04T01:04:26.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629630,,,1610612763,16,10,2022-03-04T01:04:26Z,880000,,,0,,J. Morant Free Throw 2 of 2 (2 PTS),[1629630],1610612763.0,MEM,,,,,,,,Made,Morant,J. Morant,,,,,2.0,,,,,,,,,,,,,,
93,PT05M44.00S,2022-03-04T01:04:42.9Z,1,REGULAR,3pt,Jump Shot,[],201143,24.917871222076215,82.35294117647058,1610612738,16,10,2022-03-04T01:04:59Z,890000,-162.0,182.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,,,,24.33,Missed,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
