actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
16,PT10M51.00S,2022-01-02T23:11:52.9Z,1,REGULAR,3pt,Jump Shot,[],203471,26.363337713534822,12.009803921568627,1610612738,3,0,2022-01-02T23:12:00Z,160000,190.0,195.0,1,left,MISS D. Schroder 27' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,27.25,Missed,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2022-01-02T23:11:54.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,3,0,2022-01-02T23:12:00Z,170000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M31.00S,2022-01-02T23:12:15.1Z,1,REGULAR,turnover,double dribble,[],1630532,,,1610612753,3,0,2022-01-02T23:12:28Z,180000,,,0,,F. Wagner double dribble TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2022-01-02T23:12:39.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203471,13.222733245729303,60.5392156862745,1610612738,5,0,2022-01-02T23:12:44Z,190000,-53.0,72.0,1,left,D. Schroder 8' pullup Jump Shot (2 PTS),[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,,,8.91,Made,,,,,,,2.0,,,,,,,,,,
20,PT09M58.00S,2022-01-02T23:12:56.0Z,1,REGULAR,2pt,Jump Shot,[],203914,77.61169513797634,51.71568627450981,1610612753,5,0,2022-01-02T23:13:02Z,200000,9.0,158.0,1,right,MISS G. Harris 15' pullup Shot,[203914],1610612753.0,ORL,pullup,,,Harris,G. Harris,,,,,,,15.82,Missed,,,,,,,,,,,,,,,,,
21,PT09M56.00S,2022-01-02T23:12:58.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,0,2022-01-02T23:13:02Z,210000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M48.00S,2022-01-02T23:13:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.995400788436268,50.245098039215684,1610612738,7,0,2022-01-02T23:13:14Z,220000,-1.0,4.0,1,left,J. Brown driving Layup (2 PTS) (D. Schroder 2 AST),"[1627759, 203471]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,0.41,Made,,,,,,,2.0,D. Schroder,203471.0,2.0,,,,,,,
24,PT09M38.00S,2022-01-02T23:13:19.8Z,1,REGULAR,foul,personal,[],203471,,,1610612753,7,0,2022-01-02T23:13:28Z,240000,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 204025]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,204059.0,,,,,,,,,,,,,,1.0,0.0,Frazier,204025.0,,,
26,PT09M27.00S,2022-01-02T23:13:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,85.75886990801577,37.5,1610612753,7,2,2022-01-02T23:13:51Z,260000,-62.0,81.0,1,right,F. Wagner 10' driving finger roll Layup (2 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,,,10.26,Made,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,
28,PT09M14.00S,2022-01-02T23:13:59.6Z,1,REGULAR,3pt,Jump Shot,[],203471,4.812746386333772,97.30392156862744,1610612738,7,2,2022-01-02T23:14:06Z,280000,-237.0,-7.0,1,left,MISS D. Schroder 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,23.66,Missed,,,,,,,,,,,,,,,,,
29,PT09M12.00S,2022-01-02T23:14:01.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,2,2022-01-02T23:14:06Z,290000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT08M56.00S,2022-01-02T23:14:16.6Z,1,REGULAR,2pt,Jump Shot,[],1628976,85.89027595269383,69.6078431372549,1610612753,7,2,2022-01-02T23:14:23Z,300000,98.0,80.0,1,right,MISS W. Carter Jr. 12' turnaround Shot,[1628976],1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,,,12.66,Missed,,,,,,,,,,,,,,,,,
31,PT08M54.00S,2022-01-02T23:14:18.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,7,2,2022-01-02T23:14:23Z,310000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,
32,PT08M54.00S,2022-01-02T23:14:22.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,7,2,2022-01-02T23:14:22Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M43.00S,2022-01-02T23:14:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,5.601182654402102,45.09803921568628,1610612738,7,2,2022-01-02T23:14:50Z,330000,25.0,0.0,1,left,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,,,2.45,Missed,,,,,,,,,,,,,,,,,
35,PT08M41.00S,2022-01-02T23:14:40.6Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,7,2,2022-01-02T23:15:23Z,350000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT08M38.00S,2022-01-02T23:14:45.3Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612753,7,2,2022-01-02T23:14:57Z,360000,,,0,,G. Williams shooting personal FOUL (1 PF) (Harris 2 FT),"[1629684, 203914]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,1628159.0,,,,,,,,,,,,,,1.0,0.0,Harris,203914.0,,,
38,PT08M38.00S,2022-01-02T23:15:12.9Z,1,REGULAR,freethrow,1 of 2,[],203914,,,1610612753,7,2,2022-01-02T23:15:12Z,380000,,,0,,MISS G. Harris Free Throw 1 of 2,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,Missed,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2022-01-02T23:15:12.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,7,2,2022-01-02T23:15:12Z,390000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,
40,PT08M38.00S,2022-01-02T23:15:27.4Z,1,REGULAR,freethrow,2 of 2,[],203914,,,1610612753,7,3,2022-01-02T23:15:27Z,400000,,,0,,G. Harris Free Throw 2 of 2 (1 PTS),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
41,PT08M28.00S,2022-01-02T23:15:41.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,23.99802890932983,87.00980392156863,1610612738,10,3,2022-01-02T23:15:51Z,410000,-185.0,173.0,1,left,J. Brown 25' 3PT  (5 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,25.34,Made,,,,,,,5.0,A. Horford,201143.0,1.0,,,,,,,
43,PT08M17.00S,2022-01-02T23:15:52.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,91.14651773981603,49.01960784313725,1610612753,10,5,2022-01-02T23:15:57Z,430000,-5.0,31.0,1,right,F. Wagner cutting DUNK (4 PTS) (T. Frazier 1 AST),"[1630532, 204025]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,,,3.11,Made,,,,,,,4.0,T. Frazier,204025.0,1.0,,,,,,,
45,PT07M55.00S,2022-01-02T23:16:13.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,13.354139290407357,3.431372549019608,1610612738,10,5,2022-01-02T23:16:54Z,450000,233.0,73.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,24.4,Missed,,,,,,,,,,,,,,,,,
46,PT07M53.00S,2022-01-02T23:16:15.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,10,5,2022-01-02T23:16:18Z,460000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M38.00S,2022-01-02T23:16:34.0Z,1,REGULAR,foul,offensive,[],1628976,,,1610612753,10,5,2022-01-02T23:16:46Z,470000,,,0,,W. Carter Jr. offensive FOUL (1 PF),"[1628976, 1627759]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,1628159.0,,,,,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,
49,PT07M38.00S,2022-01-02T23:16:34.0Z,1,REGULAR,turnover,offensive foul,[],1628976,,,1610612753,10,5,2022-01-02T23:16:34Z,490000,,,0,,W. Carter Jr. offensive foul TURNOVER (1 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,,,,
50,PT07M38.00S,2022-01-02T23:16:44.5Z,1,REGULAR,substitution,out,[],1628964,,,1610612738,10,5,2022-01-02T23:16:49Z,500000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2022-01-02T23:16:44.5Z,1,REGULAR,substitution,in,[],1629678,,,1610612738,10,5,2022-01-02T23:16:49Z,510000,,,0,,SUB in: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2022-01-02T23:17:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203471,10.85742444152431,39.950980392156865,1610612738,10,5,2022-01-02T23:17:10Z,520000,50.0,50.0,1,left,MISS D. Schroder 7' driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,7.06,Missed,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2022-01-02T23:17:03.4Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,10,5,2022-01-02T23:17:10Z,530000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,,,,
54,PT07M23.00S,2022-01-02T23:17:07.5Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612738,10,5,2022-01-02T23:17:27Z,540000,,,0,,W. Carter Jr. shooting personal FOUL (2 PF) (Smart 2 FT),"[1628976, 203935]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,1628159.0,,,,,,,,,,,,,,2.0,0.0,Smart,203935.0,,,
56,PT07M23.00S,2022-01-02T23:17:35.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203935,,,1610612738,11,5,2022-01-02T23:17:35Z,560000,,,0,,M. Smart Free Throw 1 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
57,PT07M23.00S,2022-01-02T23:17:49.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203935,,,1610612738,12,5,2022-01-02T23:17:49Z,570000,,,0,,M. Smart Free Throw 2 of 2 (5 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,
58,PT07M10.00S,2022-01-02T23:18:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,94.1688567674113,58.82352941176471,1610612753,12,5,2022-01-02T23:18:16Z,580000,44.0,2.0,1,right,MISS F. Wagner driving reverse Layup - blocked,"[1630532, 201143]",1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,,,4.42,Missed,Horford,201143.0,,,,,,,,,,,,,,,
59,PT07M10.00S,2022-01-02T23:18:06.0Z,1,REGULAR,block,,[],201143,,,1610612753,12,5,2022-01-02T23:18:08Z,590000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M09.00S,2022-01-02T23:18:07.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,12,5,2022-01-02T23:18:16Z,600000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,
61,PT07M09.00S,2022-01-02T23:18:11.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,12,5,2022-01-02T23:18:11Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M07.00S,2022-01-02T23:18:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629678,90.3580814717477,43.872549019607845,1610612753,12,5,2022-01-02T23:20:31Z,620000,-31.0,38.0,1,right,MISS A. Schofield cutting Layup - blocked,"[1629678, 201143]",1610612753.0,ORL,cutting,,,Schofield,A. Schofield,,,,,,,4.89,Missed,Horford,201143.0,,,,,,,,,,,,,,,
63,PT07M07.00S,2022-01-02T23:18:19.0Z,1,REGULAR,block,,[],201143,,,1610612753,12,5,2022-01-02T23:18:21Z,630000,,,0,,A. Horford BLOCK (2 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M05.00S,2022-01-02T23:18:21.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,5,2022-01-02T23:18:30Z,640000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,
65,PT06M52.00S,2022-01-02T23:18:38.0Z,1,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612738,12,5,2022-01-02T23:18:48Z,650000,,,0,,G. Williams step out-of-bounds TURNOVER (1 TO),[1629684],1610612738.0,BOS,step,,,Williams,G. Williams,,,,,1628159.0,1.0,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2022-01-02T23:18:45.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,12,5,2022-01-02T23:18:45Z,660000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M52.00S,2022-01-02T23:21:01.2Z,1,REGULAR,substitution,out,[],204025,,,1610612753,12,5,2022-01-02T23:21:24Z,670000,,,0,,SUB out: T. Frazier,[204025],1610612753.0,ORL,,,,Frazier,T. Frazier,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2022-01-02T23:21:01.2Z,1,REGULAR,substitution,in,[],1629755,,,1610612753,12,5,2022-01-02T23:21:24Z,680000,,,0,,SUB in: H. Gravett,[1629755],1610612753.0,ORL,,,,Gravett,H. Gravett,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2022-01-02T23:21:59.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630532,88.25558475689881,31.862745098039213,1610612753,12,5,2022-01-02T23:22:10Z,690000,-91.0,58.0,1,right,MISS F. Wagner 10' turnaround bank Shot - blocked,"[1630532, 1627759]",1610612753.0,ORL,turnaround bank,,,Wagner,F. Wagner,,,,,,,10.76,Missed,Brown,1627759.0,,,,,,,,,,,,,,,
82,PT06M31.00S,2022-01-02T23:21:59.6Z,1,REGULAR,block,,[],1627759,,,1610612753,12,5,2022-01-02T23:23:58Z,695000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M29.00S,2022-01-02T23:22:01.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,5,2022-01-02T23:22:10Z,700000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,69.0,3.0,3.0,0.0,,,,,,,,,,,
71,PT06M23.00S,2022-01-02T23:22:07.4Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,12,5,2022-01-02T23:22:13Z,710000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1628976]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,1.0,,,,,,,,,,,,,,,,,Carter Jr.,1628976.0,
72,PT06M23.00S,2022-01-02T23:22:07.4Z,1,REGULAR,steal,,[],1628976,,,1610612753,12,5,2022-01-02T23:22:08Z,720000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M20.00S,2022-01-02T23:22:11.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,87.86136662286465,44.85294117647059,1610612753,12,5,2022-01-02T23:22:20Z,730000,-26.0,62.0,1,right,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,,,6.67,Missed,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2022-01-02T23:22:14.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,12,5,2022-01-02T23:22:27Z,740000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,,,,,,
75,PT06M10.00S,2022-01-02T23:22:21.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203471,6.389618922470433,59.55882352941176,1610612738,14,5,2022-01-02T23:22:29Z,750000,-48.0,8.0,1,left,D. Schroder driving floating Jump Shot (4 PTS),[203471],1610612738.0,BOS,driving floating,,,Schroder,D. Schroder,,,,,,,4.84,Made,,,,,,,4.0,,,,,,,,,,
76,PT05M54.00S,2022-01-02T23:22:35.8Z,1,REGULAR,3pt,Jump Shot,[],203914,90.75229960578186,94.85294117647058,1610612753,14,5,2022-01-02T23:22:47Z,760000,224.0,34.0,1,right,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,22.69,Missed,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2022-01-02T23:22:37.8Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,14,5,2022-01-02T23:22:47Z,770000,,,0,,D. Schroder REBOUND (Off:0 Def:2),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,
78,PT05M40.00S,2022-01-02T23:22:51.2Z,1,REGULAR,foul,personal,['2freethrow'],1629755,,,1610612738,14,5,2022-01-02T23:23:01Z,780000,,,0,,H. Gravett shooting personal FOUL (1 PF) (Brown 2 FT),"[1629755, 1627759]",1610612753.0,ORL,shooting,,,Gravett,H. Gravett,,,,,204059.0,,,,,,,,,,,,,,1.0,0.0,Brown,1627759.0,,,
80,PT05M40.00S,2022-01-02T23:23:15.0Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,15,5,2022-01-02T23:23:15Z,800000,,,0,,J. Brown Free Throw 1 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
81,PT05M40.00S,2022-01-02T23:23:40.0Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,16,5,2022-01-02T23:23:40Z,810000,,,0,,J. Brown Free Throw 2 of 2 (7 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
83,PT05M24.00S,2022-01-02T23:23:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629678,89.96386333771353,62.00980392156863,1610612753,16,5,2022-01-02T23:25:13Z,820000,60.0,42.0,1,right,MISS A. Schofield 7' cutting Layup,[1629678],1610612753.0,ORL,cutting,,,Schofield,A. Schofield,,,,,,,7.31,Missed,,,,,,,,,,,,,,,,,
84,PT05M22.00S,2022-01-02T23:23:59.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,16,5,2022-01-02T23:24:10Z,830000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,83.0,2.0,1.0,1.0,,,,,,,,,,,
85,PT05M22.00S,2022-01-02T23:24:01.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628976,94.40999984741211,50.0,1610612753,16,7,2022-01-02T23:24:14Z,840000,0.0,0.0,1,right,W. Carter Jr. tip Layup (2 PTS),[1628976],1610612753.0,ORL,tip,,,Carter Jr.,W. Carter Jr.,,,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,
86,PT05M05.00S,2022-01-02T23:24:16.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,10.988830486202366,52.20588235294118,1610612738,16,7,2022-01-02T23:24:23Z,850000,-11.0,51.0,1,left,MISS A. Horford Hook,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,5.2,Missed,,,,,,,,,,,,,,,,,
87,PT05M02.00S,2022-01-02T23:24:19.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,16,7,2022-01-02T23:24:23Z,860000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,86.0,3.0,2.0,1.0,,,,,,,,,,,
88,PT04M53.00S,2022-01-02T23:24:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,82.7365308804205,37.254901960784316,1610612753,16,9,2022-01-02T23:24:33Z,870000,-64.0,110.0,1,right,W. Carter Jr. 12' driving floating bank Jump Shot (4 PTS),[1628976],1610612753.0,ORL,driving floating bank,,,Carter Jr.,W. Carter Jr.,,,,,,,12.69,Made,,,,,,,4.0,,,,,,,,,,
