actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
49,PT08M06.00S,2022-03-06T18:18:11.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,9,10,2022-03-06T18:18:35Z,490000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,
50,PT08M06.00S,2022-03-06T18:18:14.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,9,10,2022-03-06T18:18:47Z,500000,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,,,,,,,202007.0,,,,,,,,,,,,,,
51,PT07M55.00S,2022-03-06T18:18:31.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,82.21090670170827,37.00980392156863,1610612738,11,10,2022-03-06T18:18:57Z,510000,-65.0,115.0,1,right,M. Smart 13' driving floating Jump Shot (3 PTS),[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,13.18,Made,3.0,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2022-03-06T18:18:47.5Z,1,REGULAR,3pt,Jump Shot,[],202681,34.247700394218136,36.76470588235294,1610612751,11,13,2022-03-06T18:18:59Z,520000,66.0,269.0,1,left,K. Irving 27' 3PT  (3 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,27.74,Made,3.0,,,,,,,,,,,,,,,,,,
53,PT07M24.00S,2022-03-06T18:19:01.4Z,1,REGULAR,3pt,Jump Shot,[],201143,94.82588699080158,4.901960784313726,1610612738,14,13,2022-03-06T18:19:32Z,530000,-225.0,-4.0,1,right,A. Horford 3PT  (3 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.55,Made,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
55,PT07M12.00S,2022-03-06T18:19:13.7Z,1,REGULAR,2pt,Jump Shot,[],202681,26.757555847568987,41.42156862745098,1610612751,14,15,2022-03-06T18:19:21Z,550000,43.0,199.0,1,left,K. Irving 20' step back Jump Shot (5 PTS),[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,20.36,Made,5.0,,,,,,,,,,,,,,,,,,
56,PT07M12.00S,2022-03-06T18:19:17.6Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612751,14,15,2022-03-06T18:19:25Z,560000,,,0,,A. Horford shooting personal FOUL (2 PF) (Irving 1 FT),"[201143, 202681]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,202007.0,,2.0,0.0,Irving,202681.0,,,,,,,,,
58,PT07M12.00S,2022-03-06T18:19:33.1Z,1,REGULAR,substitution,out,[],201143,,,1610612751,14,15,2022-03-06T18:19:35Z,580000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M12.00S,2022-03-06T18:19:33.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612751,14,15,2022-03-06T18:19:35Z,590000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M12.00S,2022-03-06T18:19:59.9Z,1,REGULAR,freethrow,1 of 1,[],202681,,,1610612751,14,16,2022-03-06T18:19:59Z,600000,,,0,,K. Irving Free Throw 1 of 1 (6 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
61,PT07M04.00S,2022-03-06T18:20:16.3Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612738,14,16,2022-03-06T18:20:24Z,610000,,,0,,K. Durant shooting personal FOUL (2 PF) (Tatum 2 FT),"[201142, 1628369]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,202007.0,,2.0,0.0,Tatum,1628369.0,,,,,,,,,
63,PT07M04.00S,2022-03-06T18:20:42.5Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,15,16,2022-03-06T18:20:42Z,630000,,,0,,J. Tatum Free Throw 1 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
64,PT07M04.00S,2022-03-06T18:20:58.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,16,16,2022-03-06T18:20:58Z,640000,,,0,,J. Tatum Free Throw 2 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2022-03-06T18:21:14.7Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,16,16,2022-03-06T18:21:25Z,650000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 203935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,1.0,,,,,Smart,203935.0,,,,,,,
66,PT06M49.00S,2022-03-06T18:21:14.7Z,1,REGULAR,steal,,[],203935,,,1610612738,16,16,2022-03-06T18:21:17Z,660000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2022-03-06T18:21:19.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203935,92.59198423127464,55.14705882352941,1610612738,16,16,2022-03-06T18:22:10Z,670000,26.0,17.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M45.00S,2022-03-06T18:21:20.6Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,16,16,2022-03-06T18:22:10Z,680000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,67.0,1.0,0.0,1.0,,,
69,PT06M45.00S,2022-03-06T18:21:22.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629684,94.40999984741211,50.0,1610612738,16,16,2022-03-06T18:22:20Z,690000,0.0,0.0,1,right,MISS G. Williams tip Layup,[1629684],1610612738.0,BOS,tip,,,Williams,G. Williams,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M44.00S,2022-03-06T18:21:23.5Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,16,16,2022-03-06T18:22:15Z,700000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,69.0,1.0,0.0,1.0,,,
71,PT06M43.00S,2022-03-06T18:21:23.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', '2ndchance']",1628369,93.38042049934296,47.794117647058826,1610612738,18,16,2022-03-06T18:22:28Z,710000,-11.0,10.0,1,right,J. Tatum putback Layup (8 PTS),[1628369],1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,1.47,Made,8.0,,,,,,,,,,,,,,,,,,
72,PT06M43.00S,2022-03-06T18:21:31.0Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628971,,,1610612738,18,16,2022-03-06T18:21:35Z,720000,,,0,,B. Brown shooting personal FOUL (1 PF) (Tatum 1 FT),"[1628971, 1628369]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,201246.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,
74,PT06M43.00S,2022-03-06T18:21:38.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,16,2022-03-06T18:21:57Z,740000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M43.00S,2022-03-06T18:25:14.6Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance', 'fastbreak']",1628369,,,1610612738,19,16,2022-03-06T18:25:14Z,750000,,,0,,J. Tatum Free Throw 1 of 1 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
76,PT06M30.00S,2022-03-06T18:25:30.9Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612751,19,16,2022-03-06T18:25:35Z,760000,,,0,,K. Durant lost ball out-of-bounds TURNOVER (2 TO),[201142],1610612751.0,BKN,lost ball,,,Durant,K. Durant,,,,,,,,,,,202007.0,2.0,,,,,,,,,,,,,
77,PT06M10.00S,2022-03-06T18:25:58.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,85.10183968462549,95.09803921568627,1610612738,19,16,2022-03-06T18:26:05Z,770000,225.0,88.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M07.00S,2022-03-06T18:26:01.5Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,19,16,2022-03-06T18:26:05Z,780000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,
79,PT06M02.00S,2022-03-06T18:26:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202681,8.09789750328515,62.00980392156863,1610612751,19,16,2022-03-06T18:26:17Z,790000,-60.0,24.0,1,left,MISS K. Irving 6' running Layup,[202681],1610612751.0,BKN,running,,,Irving,K. Irving,,,,,6.45,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M59.00S,2022-03-06T18:26:09.0Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,19,16,2022-03-06T18:26:09Z,800000,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,79.0,2.0,0.0,2.0,,,
81,PT05M59.00S,2022-03-06T18:26:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612751,19,16,2022-03-06T18:26:09Z,810000,0.0,0.0,1,left,MISS A. Drummond tip Layup,[203083],1610612751.0,BKN,tip,,,Drummond,A. Drummond,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M57.00S,2022-03-06T18:26:11.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,19,16,2022-03-06T18:26:11Z,820000,,,0,,G. Williams REBOUND (Off:1 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,81.0,2.0,1.0,1.0,,,
83,PT05M51.00S,2022-03-06T18:26:17.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,19,16,2022-03-06T18:26:22Z,830000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 201142]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,,,,,Durant,201142.0,,,,,,,
84,PT05M51.00S,2022-03-06T18:26:17.1Z,1,REGULAR,steal,,[],201142,,,1610612751,19,16,2022-03-06T18:28:53Z,840000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M48.00S,2022-03-06T18:26:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,7.30946123521682,46.568627450980394,1610612751,19,18,2022-03-06T18:26:52Z,850000,17.0,16.0,1,left,B. Brown running Layup (2 PTS) (K. Irving 1 AST),"[1628971, 202681]",1610612751.0,BKN,running,,,Brown,B. Brown,,,,,2.36,Made,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,,
87,PT05M48.00S,2022-03-06T18:26:28.8Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612751,19,18,2022-03-06T18:27:09Z,870000,,,0,,M. Smart shooting personal FOUL (1 PF) (Brown 1 FT),"[203935, 1628971]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,201246.0,,1.0,0.0,Brown,1628971.0,,,,,,,,,
89,PT05M48.00S,2022-03-06T18:26:41.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,19,18,2022-03-06T18:27:08Z,890000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M48.00S,2022-03-06T18:26:41.8Z,1,REGULAR,substitution,out,[],203083,,,1610612751,19,18,2022-03-06T18:27:08Z,900000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M48.00S,2022-03-06T18:26:41.8Z,1,REGULAR,substitution,out,[],202681,,,1610612751,19,18,2022-03-06T18:27:08Z,910000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M48.00S,2022-03-06T18:26:41.8Z,1,REGULAR,substitution,in,[],1628401,,,1610612751,19,18,2022-03-06T18:27:08Z,920000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M48.00S,2022-03-06T18:26:41.8Z,1,REGULAR,substitution,in,[],201609,,,1610612751,19,18,2022-03-06T18:27:08Z,930000,,,0,,SUB in: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
