actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
55,PT06M49.00S,2021-12-31T18:19:37.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,12,2021-12-31T18:19:37Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2021-12-31T18:19:40.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,12,2021-12-31T18:19:40Z,560000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M40.00S,2021-12-31T18:22:16.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203935,21.107095926412615,37.254901960784316,1610612738,11,12,2021-12-31T18:22:28Z,570000,64.0,146.0,1,left,MISS M. Smart 15' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,15.92,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M34.00S,2021-12-31T18:22:22.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,11,12,2021-12-31T18:22:28Z,580000,,,0,,R. Williams III REBOUND (Off:2 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,57.0,,,,,,,,,3.0,1.0,2.0,,,
59,PT06M34.00S,2021-12-31T18:22:22.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,13,12,2021-12-31T18:22:32Z,590000,0.0,0.0,1,left,R. Williams III tip DUNK (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
60,PT06M21.00S,2021-12-31T18:22:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,82.47371879106439,39.46078431372549,1610612756,13,12,2021-12-31T18:22:46Z,600000,-53.0,112.0,1,right,MISS D. Booker 12' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,12.4,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M16.00S,2021-12-31T18:22:39.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,12,2021-12-31T18:22:46Z,610000,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,60.0,,,,,,,,,4.0,2.0,2.0,,,
62,PT06M12.00S,2021-12-31T18:22:46.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,13,12,2021-12-31T18:22:46Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2021-12-31T18:22:52.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,13,12,2021-12-31T18:23:00Z,630000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2021-12-31T18:22:52.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,13,12,2021-12-31T18:23:00Z,640000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M12.00S,2021-12-31T18:22:52.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,13,12,2021-12-31T18:23:00Z,650000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2021-12-31T18:22:52.7Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,13,12,2021-12-31T18:23:00Z,660000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M58.00S,2021-12-31T18:23:22.1Z,1,REGULAR,2pt,Jump Shot,[],203935,13.009198423127463,31.878063725490197,1610612738,13,12,2021-12-31T18:23:47Z,670000,91.0,70.0,1,left,MISS M. Smart 11' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,11.44,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M55.00S,2021-12-31T18:23:25.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,13,12,2021-12-31T18:23:32Z,680000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,67.0,,,,,,,,,1.0,1.0,0.0,,,
69,PT05M49.00S,2021-12-31T18:23:31.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,92.32917214191852,51.225490196078425,1610612756,13,14,2021-12-31T18:24:02Z,690000,6.0,20.0,1,right,J. Smith DUNK (4 PTS) (C. Johnson 1 AST),"[1630188, 1629661]",1610612756.0,PHX,,,,Smith,J. Smith,,,,,2.05,Made,4.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,,
71,PT05M24.00S,2021-12-31T18:23:55.9Z,1,REGULAR,3pt,Jump Shot,[],1629641,19.267411300919843,6.862745098039216,1610612738,13,14,2021-12-31T18:24:01Z,710000,216.0,129.0,1,left,MISS R. Langford 25' 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M22.00S,2021-12-31T18:23:57.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,13,14,2021-12-31T18:23:57Z,720000,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,71.0,,,,,,,,,2.0,1.0,1.0,,,
73,PT05M16.00S,2021-12-31T18:24:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,88.51839684625493,52.450980392156865,1610612756,13,14,2021-12-31T18:24:41Z,730000,12.0,55.0,1,right,MISS D. Booker pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,5.67,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M14.00S,2021-12-31T18:24:06.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,13,14,2021-12-31T18:24:17Z,740000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,73.0,,,,,,,,,5.0,3.0,2.0,,,
75,PT05M09.00S,2021-12-31T18:24:11.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,29.90514126149803,76.2484681372549,1610612738,13,14,2021-12-31T18:24:28Z,750000,-131.0,229.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
