actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
167,PT10M25.00S,2021-12-31T18:40:09.1Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,37,22,2021-12-31T18:40:11Z,1670000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,166.0,,,,,,,,,1.0,1.0,0.0,,,
168,PT10M18.00S,2021-12-31T18:40:16.1Z,2,REGULAR,3pt,Jump Shot,[],1626196,5.338370565045992,96.56862745098039,1610612738,40,22,2021-12-31T18:40:20Z,1680000,-233.0,-2.0,1,left,J. Richardson 3PT  (7 PTS) (R. Langford 1 AST),"[1626196, 1629641]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,23.28,Made,7.0,R. Langford,1629641.0,1.0,,,,,,,,,,,,,,,
170,PT10M07.00S,2021-12-31T18:40:28.5Z,2,REGULAR,2pt,Jump Shot,[],1629013,73.50320302233902,72.81709558823529,1610612756,40,24,2021-12-31T18:43:27Z,1700000,114.0,197.0,1,right,L. Shamet 22' pullup Jump Shot (2 PTS) (C. Paul 2 AST),"[1629013, 101108]",1610612756.0,PHX,pullup,,,Shamet,L. Shamet,,,,,22.73,Made,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
172,PT10M00.00S,2021-12-31T18:40:39.0Z,2,REGULAR,foul,personal,[],1630188,,,1610612738,40,24,2021-12-31T18:40:46Z,1720000,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 201143]",1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,1628482.0,1.0,0.0,Horford,201143.0,,,,,,,,,
174,PT09M51.00S,2021-12-31T18:41:03.8Z,2,REGULAR,foul,personal,[],1630188,,,1610612738,40,24,2021-12-31T18:41:17Z,1740000,,,0,,J. Smith personal FOUL (2 PF),"[1630188, 1627759]",1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,202053.0,2.0,0.0,Brown,1627759.0,,,,,,,,,
176,PT09M42.00S,2021-12-31T18:41:50.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,6.521024967148489,43.872549019607845,1610612738,42,24,2021-12-31T18:41:56Z,1760000,31.0,9.0,1,left,J. Richardson driving finger roll Layup (9 PTS),[1626196],1610612738.0,BOS,driving finger roll,,,Richardson,J. Richardson,,,,,3.18,Made,9.0,,,,,,,,,,,,,,,,,,
177,PT09M32.00S,2021-12-31T18:42:00.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,93.29829172141918,45.01761642156863,1610612756,42,26,2021-12-31T18:42:07Z,1770000,-25.0,10.0,1,right,C. Payne driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),"[1626166, 1629013]",1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,2.7,Made,2.0,L. Shamet,1629013.0,2.0,,,,,,,,,,,,,,,
178,PT09M26.00S,2021-12-31T18:42:07.5Z,2,REGULAR,turnover,bad pass,[],1626196,,,1610612738,42,26,2021-12-31T18:42:12Z,1780000,,,0,,J. Richardson bad pass TURNOVER (1 TO),"[1626196, 1628969]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,
179,PT09M26.00S,2021-12-31T18:42:07.5Z,2,REGULAR,steal,,[],1628969,,,1610612756,42,26,2021-12-31T18:42:09Z,1790000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M21.00S,2021-12-31T18:42:11.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,91.93495400788436,47.549019607843135,1610612756,42,26,2021-12-31T18:42:19Z,1800000,-12.0,23.0,1,right,MISS M. Bridges running finger roll Layup,[1628969],1610612756.0,PHX,running finger roll,,,Bridges,M. Bridges,,,,,2.63,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M20.00S,2021-12-31T18:42:12.6Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,42,26,2021-12-31T18:42:19Z,1810000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,180.0,,,,,,,,,2.0,2.0,0.0,,,
182,PT09M07.00S,2021-12-31T18:42:25.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,5.995400788436268,53.431372549019606,1610612738,44,26,2021-12-31T18:42:34Z,1820000,-17.0,4.0,1,left,M. Smart cutting Layup (8 PTS) (A. Horford 3 AST),"[203935, 201143]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,1.76,Made,8.0,A. Horford,201143.0,3.0,,,,,,,,,,,,,,,
184,PT09M00.00S,2021-12-31T18:42:35.4Z,2,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612756,44,26,2021-12-31T18:42:57Z,1840000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Smith 2 FT),"[1626196, 1630188]",1610612738.0,BOS,shooting,,,Richardson,J. Richardson,,,,,,,,,,,,202053.0,1.0,0.0,Smith,1630188.0,,,,,,,,,
186,PT09M00.00S,2021-12-31T18:43:07.7Z,2,REGULAR,freethrow,1 of 2,[],1630188,,,1610612756,44,27,2021-12-31T18:43:07Z,1860000,,,0,,J. Smith Free Throw 1 of 2 (9 PTS),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
187,PT09M00.00S,2021-12-31T18:43:10.2Z,2,REGULAR,substitution,out,[],1626196,,,1610612756,44,27,2021-12-31T18:43:22Z,1870000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M00.00S,2021-12-31T18:43:10.2Z,2,REGULAR,substitution,out,[],1626166,,,1610612756,44,27,2021-12-31T18:43:22Z,1880000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M00.00S,2021-12-31T18:43:10.2Z,2,REGULAR,substitution,in,[],1630202,,,1610612756,44,27,2021-12-31T18:43:22Z,1890000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M00.00S,2021-12-31T18:43:10.2Z,2,REGULAR,substitution,in,[],1629661,,,1610612756,44,27,2021-12-31T18:43:22Z,1900000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M00.00S,2021-12-31T18:43:28.7Z,2,REGULAR,freethrow,2 of 2,[],1630188,,,1610612756,44,28,2021-12-31T18:43:28Z,1910000,,,0,,J. Smith Free Throw 2 of 2 (10 PTS),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
192,PT08M40.00S,2021-12-31T18:43:52.3Z,2,REGULAR,3pt,Jump Shot,[],201143,28.465834428383708,17.15686274509804,1610612738,44,28,2021-12-31T18:43:59Z,1920000,164.0,215.0,1,left,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
193,PT08M37.00S,2021-12-31T18:43:55.3Z,2,REGULAR,rebound,defensive,[],1628969,,,1610612756,44,28,2021-12-31T18:43:59Z,1930000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,192.0,,,,,,,,,1.0,1.0,0.0,,,
194,PT08M27.00S,2021-12-31T18:44:04.2Z,2,REGULAR,3pt,Jump Shot,[],1629661,82.7365308804205,4.166666666666666,1610612756,44,31,2021-12-31T18:44:09Z,1940000,-229.0,110.0,1,right,C. Johnson 25' 3PT  (6 PTS) (C. Paul 3 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,25.41,Made,6.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,,
196,PT08M27.00S,2021-12-31T18:44:10.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,44,31,2021-12-31T18:44:10Z,1960000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M27.00S,2021-12-31T18:46:28.3Z,2,REGULAR,substitution,out,[],1627759,,,1610612738,44,31,2021-12-31T18:46:58Z,1970000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M27.00S,2021-12-31T18:46:28.3Z,2,REGULAR,substitution,out,[],201143,,,1610612738,44,31,2021-12-31T18:46:58Z,1980000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M27.00S,2021-12-31T18:46:28.3Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,44,31,2021-12-31T18:46:58Z,1990000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M27.00S,2021-12-31T18:46:28.3Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,44,31,2021-12-31T18:46:58Z,2000000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M15.00S,2021-12-31T18:47:15.0Z,2,REGULAR,3pt,Jump Shot,[],1630202,7.178055190538765,95.09803921568627,1610612738,47,31,2021-12-31T18:47:23Z,2010000,-225.0,15.0,1,left,P. Pritchard 3PT  (6 PTS) (G. Williams 1 AST),"[1630202, 1629684]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,22.6,Made,6.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
204,PT07M50.00S,2021-12-31T18:47:39.6Z,2,REGULAR,3pt,Jump Shot,[],1628969,91.80354796320631,96.32352941176471,1610612756,47,31,2021-12-31T18:47:47Z,2030000,232.0,25.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,,
205,PT07M47.00S,2021-12-31T18:47:42.6Z,2,REGULAR,rebound,offensive,[],1629661,,,1610612756,47,31,2021-12-31T18:47:47Z,2040000,,,0,,C. Johnson REBOUND (Off:2 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,204.0,,,,,,,,,3.0,1.0,2.0,,,
206,PT07M47.00S,2021-12-31T18:47:44.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,93.5611038107753,53.94837622549019,1610612756,47,33,2021-12-31T18:47:54Z,2050000,20.0,8.0,1,right,C. Johnson reverse Layup (8 PTS),[1629661],1610612756.0,PHX,reverse,,,Johnson,C. Johnson,,,,,2.13,Made,8.0,,,,,,,,,,,,,,,,,,
207,PT07M29.00S,2021-12-31T18:48:01.5Z,2,REGULAR,3pt,Jump Shot,[],1629641,6.783837056504599,96.81372549019608,1610612738,47,33,2021-12-31T18:48:07Z,2060000,-234.0,11.0,1,left,MISS R. Langford 3PT,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,23.44,Missed,,,,,,,,,,,,,,,,,,,
208,PT07M25.00S,2021-12-31T18:48:05.5Z,2,REGULAR,rebound,defensive,[],101108,,,1610612756,47,33,2021-12-31T18:48:07Z,2070000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,207.0,,,,,,,,,1.0,1.0,0.0,,,
209,PT07M11.00S,2021-12-31T18:48:18.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,87.46714848883047,38.970588235294116,1610612756,47,33,2021-12-31T18:48:25Z,2080000,-55.0,65.0,1,right,MISS M. Bridges 8' driving floating Shot,[1628969],1610612756.0,PHX,driving floating,,,Bridges,M. Bridges,,,,,8.54,Missed,,,,,,,,,,,,,,,,,,,
210,PT07M09.00S,2021-12-31T18:48:20.9Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,47,33,2021-12-31T18:48:25Z,2090000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,209.0,,,,,,,,,2.0,2.0,0.0,,,
211,PT07M05.00S,2021-12-31T18:48:25.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,23.078186596583443,87.5,1610612738,50,33,2021-12-31T18:48:47Z,2100000,-188.0,164.0,1,left,P. Pritchard 24' 3PT  (9 PTS) (M. Smart 2 AST),"[1630202, 203935]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,24.94,Made,9.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
213,PT06M50.00S,2021-12-31T18:48:42.8Z,2,REGULAR,3pt,Jump Shot,[],1629661,77.21747700394218,7.8431372549019605,1610612756,50,33,2021-12-31T18:48:52Z,2120000,-211.0,162.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
214,PT06M48.00S,2021-12-31T18:48:44.8Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,50,33,2021-12-31T18:48:52Z,2130000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,213.0,,,,,,,,,1.0,1.0,0.0,,,
215,PT06M38.00S,2021-12-31T18:49:03.2Z,2,REGULAR,foul,personal,[],1629661,,,1610612738,50,33,2021-12-31T18:49:45Z,2140000,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 203935]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,1662.0,1.0,0.0,Smart,203935.0,,,,,,,,,
217,PT06M38.00S,2021-12-31T18:49:09.3Z,2,REGULAR,substitution,out,[],1629641,,,1610612738,50,33,2021-12-31T18:49:12Z,2160000,,,0,,SUB out: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M38.00S,2021-12-31T18:49:09.3Z,2,REGULAR,substitution,out,[],1629013,,,1610612738,50,33,2021-12-31T18:49:12Z,2170000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M38.00S,2021-12-31T18:49:09.3Z,2,REGULAR,substitution,in,[],1626196,,,1610612738,50,33,2021-12-31T18:49:12Z,2180000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M38.00S,2021-12-31T18:49:09.3Z,2,REGULAR,substitution,in,[],1626164,,,1610612738,50,33,2021-12-31T18:49:12Z,2190000,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M34.00S,2021-12-31T18:49:29.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629661,,,1610612738,50,33,2021-12-31T18:58:55Z,2200000,,,0,,C. Johnson personal FOUL (2 PF) (Richardson 2 FT),"[1629661, 1626196]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,1662.0,2.0,0.0,Richardson,1626196.0,,,,,,,,,
223,PT06M34.00S,2021-12-31T18:49:53.5Z,2,REGULAR,freethrow,1 of 2,[],1626196,,,1610612738,51,33,2021-12-31T18:58:55Z,2220000,,,0,,J. Richardson Free Throw 1 of 2 (10 PTS),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
226,PT06M34.00S,2021-12-31T18:49:53.5Z,2,REGULAR,freethrow,2 of 2,[],1626196,,,1610612738,52,33,2021-12-31T18:58:55Z,2225000,,,0,,J. Richardson Free Throw 2 of 2 (11 PTS),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
224,PT06M34.00S,2021-12-31T18:49:56.0Z,2,REGULAR,substitution,out,[],101108,,,1610612756,52,33,2021-12-31T18:57:19Z,2230000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M34.00S,2021-12-31T18:49:56.0Z,2,REGULAR,substitution,in,[],203901,,,1610612756,52,33,2021-12-31T18:57:19Z,2240000,,,0,,SUB in: E. Payton,[203901],1610612756.0,PHX,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M11.00S,2021-12-31T18:50:19.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630188,91.93495400788436,52.69607843137255,1610612756,52,33,2021-12-31T19:16:59Z,2242500,13.0,23.0,1,right,MISS J. Smith driving floating Shot,[1630188],1610612756.0,PHX,driving floating,,,Smith,J. Smith,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,,
269,PT06M10.00S,2021-12-31T18:50:20.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,52,33,2021-12-31T18:59:25Z,2243750,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,268.0,,,,,,,,,,,,,,
228,PT05M53.00S,2021-12-31T18:51:25.1Z,2,REGULAR,turnover,traveling,[],1630202,,,1610612738,52,33,2021-12-31T18:51:48Z,2270000,,,0,,P. Pritchard traveling TURNOVER (1 TO),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,1.0,,,,,,,,
229,PT05M30.00S,2021-12-31T18:51:59.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,90.75229960578186,94.85294117647058,1610612756,52,33,2021-12-31T18:52:05Z,2280000,224.0,34.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,,
230,PT05M27.00S,2021-12-31T18:52:02.3Z,2,REGULAR,rebound,offensive,[],1630188,,,1610612756,52,33,2021-12-31T18:52:05Z,2290000,,,0,,J. Smith REBOUND (Off:2 Def:2),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,229.0,,,,,,,,,4.0,2.0,2.0,,,
231,PT05M26.00S,2021-12-31T18:52:03.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,64.60249671484888,54.90196078431373,1610612756,52,33,2021-12-31T18:52:09Z,2300000,25.0,280.0,1,right,MISS D. Booker 28' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,28.13,Missed,,,,,,,,,,,,,,,,,,,
232,PT05M24.00S,2021-12-31T18:52:05.4Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,52,33,2021-12-31T18:52:09Z,2310000,,,0,,R. Williams III REBOUND (Off:2 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,231.0,,,,,,,,,6.0,4.0,2.0,,,
233,PT05M13.00S,2021-12-31T18:52:16.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626196,10.85742444152431,38.72549019607843,1610612738,52,33,2021-12-31T18:52:24Z,2320000,56.0,50.0,1,left,MISS J. Richardson 7' driving floating Shot,[1626196],1610612738.0,BOS,driving floating,,,Richardson,J. Richardson,,,,,7.51,Missed,,,,,,,,,,,,,,,,,,,
234,PT05M09.00S,2021-12-31T18:52:20.3Z,2,REGULAR,rebound,defensive,[],1626164,,,1610612756,52,33,2021-12-31T18:52:24Z,2330000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,233.0,,,,,,,,,2.0,2.0,0.0,,,
235,PT05M05.00S,2021-12-31T18:52:24.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629661,91.14651773981603,46.81372549019608,1610612756,52,35,2021-12-31T18:53:46Z,2340000,-16.0,31.0,1,right,C. Johnson cutting finger roll Layup (10 PTS) (E. Payton 1 AST),"[1629661, 203901]",1610612756.0,PHX,cutting finger roll,,,Johnson,C. Johnson,,,,,3.46,Made,10.0,E. Payton,203901.0,1.0,,,,,,,,,,,,,,,
237,PT04M48.00S,2021-12-31T18:52:41.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.668199737187912,52.94117647058824,1610612738,52,35,2021-12-31T19:02:05Z,2360000,-15.0,85.0,1,left,MISS M. Smart 8' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,8.67,Missed,,,,,,,,,,,,,,,,,,,
238,PT04M47.00S,2021-12-31T18:52:42.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,52,35,2021-12-31T18:53:05Z,2370000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,
239,PT04M47.00S,2021-12-31T18:52:50.9Z,2,REGULAR,foul,personal,[],1629057,,,1610612756,52,35,2021-12-31T18:52:56Z,2380000,,,0,,R. Williams III loose ball personal FOUL (1 PF),"[1629057, 1626164]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,,,,,,,,202053.0,1.0,0.0,Booker,1626164.0,,,,,,,,,
241,PT04M47.00S,2021-12-31T18:53:02.4Z,2,REGULAR,substitution,out,[],1630202,,,1610612756,52,35,2021-12-31T18:53:05Z,2400000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT04M47.00S,2021-12-31T18:53:02.4Z,2,REGULAR,substitution,in,[],1627759,,,1610612756,52,35,2021-12-31T18:53:05Z,2410000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT04M47.00S,2021-12-31T18:53:21.1Z,2,REGULAR,substitution,out,[],1628969,,,1610612756,52,35,2021-12-31T18:53:24Z,2420000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT04M47.00S,2021-12-31T18:53:21.1Z,2,REGULAR,substitution,in,[],1626166,,,1610612756,52,35,2021-12-31T18:53:24Z,2430000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT04M25.00S,2021-12-31T18:53:33.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,90.09526938239159,42.8921568627451,1610612756,52,35,2021-12-31T18:53:41Z,2440000,-36.0,41.0,1,right,MISS C. Johnson driving finger roll Layup - blocked,"[1629661, 1629057]",1610612756.0,PHX,driving finger roll,,,Johnson,C. Johnson,,,,,5.39,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
246,PT04M25.00S,2021-12-31T18:53:33.2Z,2,REGULAR,block,,[],1629057,,,1610612756,52,35,2021-12-31T18:53:35Z,2450000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M22.00S,2021-12-31T18:53:36.2Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,52,35,2021-12-31T18:53:41Z,2460000,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,245.0,,,,,,,,,3.0,3.0,0.0,,,
248,PT04M13.00S,2021-12-31T18:53:45.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,6.915243101182654,49.01960784313725,1610612738,54,35,2021-12-31T19:03:06Z,2470000,5.0,13.0,1,left,J. Richardson cutting finger roll Layup (13 PTS) (R. Williams III 4 AST),"[1626196, 1629057]",1610612738.0,BOS,cutting finger roll,,,Richardson,J. Richardson,,,,,1.34,Made,13.0,R. Williams III,1629057.0,4.0,,,,,,,,,,,,,,,
250,PT04M13.00S,2021-12-31T18:53:52.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,54,35,2021-12-31T18:53:52Z,2490000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT04M00.00S,2021-12-31T18:56:59.8Z,2,REGULAR,3pt,Jump Shot,[],1629661,71.82982917214193,19.362745098039216,1610612756,54,35,2021-12-31T18:57:08Z,2500000,-153.0,212.0,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
252,PT03M56.00S,2021-12-31T18:57:03.8Z,2,REGULAR,rebound,defensive,[],1629057,,,1610612738,54,35,2021-12-31T18:58:56Z,2510000,,,0,,R. Williams III REBOUND (Off:2 Def:5),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,251.0,,,,,,,,,7.0,5.0,2.0,,,
254,PT03M36.00S,2021-12-31T18:57:30.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",203935,7.752956636005257,53.41988357843137,1610612738,56,35,2021-12-31T19:15:11Z,2530000,-17.0,20.0,1,left,M. Smart driving Layup (10 PTS) (J. Brown 2 AST),"[203935, 1627759]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,2.66,Made,10.0,J. Brown,1627759.0,2.0,,,,,,,,,,,,,,,
256,PT03M36.00S,2021-12-31T18:57:33.2Z,2,REGULAR,violation,defensive goaltending,[],1630188,,,1610612738,56,35,2021-12-31T18:57:51Z,2550000,,,0,,J. Smith defensive goaltending VIOLATION,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,202053.0,,,,,,,,,,,,,
257,PT03M20.00S,2021-12-31T18:57:54.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,92.46057818659659,59.55882352941176,1610612756,56,35,2021-12-31T19:06:48Z,2560000,48.0,18.0,1,right,MISS D. Booker pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,5.12,Missed,,,,,,,,,,,,,,,,,,,
