actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
26,PT09M23.00S,2022-01-09T00:43:10.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202692,20.18725361366623,91.91176470588235,1610612752,4,8,2022-01-09T00:43:14Z,260000,-210.0,137.0,1,left,A. Burks 25' 3PT  (3 PTS) (R. Barrett 1 AST),"[202692, 1629628]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,25.06,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
28,PT09M02.00S,2022-01-09T00:43:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,94.7437582128778,64.97395833333334,1610612738,4,8,2022-01-09T00:43:41Z,280000,75.0,-3.0,1,right,MISS J. Tatum 7' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,7.5,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M59.00S,2022-01-09T00:43:33.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,8,2022-01-09T00:43:41Z,290000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT08M50.00S,2022-01-09T00:43:42.3Z,1,REGULAR,3pt,Jump Shot,[],203944,24.655059132720105,13.480392156862745,1610612752,4,8,2022-01-09T00:43:48Z,300000,183.0,179.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
31,PT08M47.00S,2022-01-09T00:43:45.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,8,2022-01-09T00:43:48Z,310000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT08M36.00S,2022-01-09T00:43:55.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,91.27792378449409,52.450980392156865,1610612738,6,8,2022-01-09T00:44:02Z,320000,12.0,29.0,1,right,J. Brown turnaround Hook (2 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,3.2,Made,2.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,,
34,PT08M12.00S,2022-01-09T00:44:24.5Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,6,8,2022-01-09T00:44:43Z,340000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1.0,,,,,,,,
36,PT07M53.00S,2022-01-09T00:44:55.9Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612738,6,8,2022-01-09T00:45:04Z,360000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Smart 2 FT),"[1629011, 203935]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Smart,203935.0,,,
38,PT07M53.00S,2022-01-09T00:45:17.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203935,,,1610612738,7,8,2022-01-09T00:45:17Z,380000,,,0,,M. Smart Free Throw 1 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
39,PT07M53.00S,2022-01-09T00:45:32.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203935,,,1610612738,8,8,2022-01-09T00:45:32Z,390000,,,0,,M. Smart Free Throw 2 of 2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
40,PT07M29.00S,2022-01-09T00:46:14.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,8,8,2022-01-09T00:46:29Z,400000,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M17.00S,2022-01-09T00:46:31.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,71.69842312746385,81.86274509803921,1610612738,8,8,2022-01-09T00:46:38Z,410000,159.0,214.0,1,right,MISS J. Tatum 26' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M14.00S,2022-01-09T00:46:34.7Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,8,8,2022-01-09T00:46:38Z,420000,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,
43,PT07M07.00S,2022-01-09T00:46:48.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,8,8,2022-01-09T00:46:48Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M01.00S,2022-01-09T00:47:05.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201143,66.44218134034165,52.69607843137255,1610612738,8,8,2022-01-09T00:47:11Z,440000,13.0,263.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,,
45,PT06M58.00S,2022-01-09T00:47:08.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,8,8,2022-01-09T00:47:11Z,450000,,,0,,R. Barrett REBOUND (Off:1 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,
46,PT06M44.00S,2022-01-09T00:47:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630193,30.699737187910642,31.127450980392158,1610612752,8,11,2022-01-09T00:47:29Z,460000,94.0,236.0,1,left,I. Quickley 25' 3PT  (6 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,25.43,Made,6.0,,,,,,,,,,,,,,,,,,
48,PT06M31.00S,2022-01-09T00:47:42.7Z,1,REGULAR,foul,personal,[],1630193,,,1610612738,8,11,2022-01-09T00:47:50Z,480000,,,0,,I. Quickley personal FOUL (1 PF),"[1630193, 1627759]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,1628168.0,1.0,0.0,Brown,1627759.0,,,
50,PT06M31.00S,2022-01-09T00:47:48.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,8,11,2022-01-09T00:47:48Z,500000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M18.00S,2022-01-09T00:50:50.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,76.42904073587385,11.519607843137255,1610612738,11,11,2022-01-09T00:51:38Z,510000,-192.0,169.0,1,right,J. Tatum 25' 3PT step back (7 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.61,Made,7.0,,,,,,,,,,,,,,,,,,
52,PT05M55.00S,2022-01-09T00:51:12.7Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,11,11,2022-01-09T00:51:18Z,520000,,,0,,J. Randle lost ball TURNOVER (2 TO),"[203944, 203935]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,2.0,,,,,,Smart,203935.0,
53,PT05M55.00S,2022-01-09T00:51:12.7Z,1,REGULAR,steal,,[],203935,,,1610612738,11,11,2022-01-09T00:51:14Z,530000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT05M51.00S,2022-01-09T00:51:16.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,93.51182654402102,49.50980392156863,1610612738,13,11,2022-01-09T00:51:43Z,540000,-2.0,8.0,1,right,J. Brown running finger roll Layup (4 PTS) (A. Horford 3 AST),"[1627759, 201143]",1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,0.89,Made,4.0,A. Horford,201143.0,3.0,,,,,,,,,,,,,,,
56,PT05M36.00S,2022-01-09T00:51:31.8Z,1,REGULAR,2pt,Jump Shot,[],203944,19.267411300919843,72.30392156862744,1610612752,13,13,2022-01-09T00:53:05Z,560000,-112.0,129.0,1,left,J. Randle 17' pullup Jump Shot (2 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,17.02,Made,2.0,,,,,,,,,,,,,,,,,,
57,PT05M21.00S,2022-01-09T00:51:46.8Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,13,13,2022-01-09T00:52:17Z,570000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203944]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1.0,,,,,,Randle,203944.0,
58,PT05M21.00S,2022-01-09T00:51:46.8Z,1,REGULAR,steal,,[],203944,,,1610612752,13,13,2022-01-09T00:51:48Z,580000,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT05M15.00S,2022-01-09T00:51:53.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,6.258212877792378,4.901960784313726,1610612752,13,16,2022-01-09T00:51:58Z,590000,225.0,6.0,1,left,R. Barrett 3PT  (3 PTS) (I. Quickley 2 AST),"[1629628, 1630193]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.56,Made,3.0,I. Quickley,1630193.0,2.0,,,,,,,,,,,,,,,
61,PT04M52.00S,2022-01-09T00:52:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,89.04402102496715,51.71568627450981,1610612738,13,16,2022-01-09T00:52:55Z,610000,9.0,50.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 202692]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,5.12,Missed,,,,,,,,,Burks,202692.0,,,,,,,,,
62,PT04M52.00S,2022-01-09T00:52:15.8Z,1,REGULAR,block,,[],202692,,,1610612738,13,16,2022-01-09T00:52:18Z,620000,,,0,,A. Burks BLOCK (1 BLK),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT04M50.00S,2022-01-09T00:52:17.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,13,16,2022-01-09T00:52:55Z,630000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,
64,PT04M46.00S,2022-01-09T00:52:22.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,91.14651773981603,83.33333333333334,1610612738,13,16,2022-01-09T00:54:29Z,640000,167.0,31.0,1,right,MISS J. Tatum 16' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,16.95,Missed,,,,,,,,,,,,,,,,,,,
65,PT04M46.00S,2022-01-09T00:52:22.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,13,16,2022-01-09T00:52:59Z,650000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,
66,PT04M46.00S,2022-01-09T00:52:26.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,13,16,2022-01-09T00:53:07Z,660000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,1628168.0,,,,,,,
67,PT04M46.00S,2022-01-09T00:52:31.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612752,13,16,2022-01-09T00:52:37Z,670000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT04M46.00S,2022-01-09T00:52:31.3Z,1,REGULAR,substitution,in,[],1626196,,,1610612752,13,16,2022-01-09T00:52:37Z,680000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT04M32.00S,2022-01-09T00:52:52.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,31.61957950065703,34.80392156862745,1610612752,13,19,2022-01-09T00:53:10Z,690000,76.0,245.0,1,left,R. Barrett 25' 3PT  (6 PTS) (J. Randle 2 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.62,Made,6.0,J. Randle,203944.0,2.0,,,,,,,,,,,,,,,
71,PT04M13.00S,2022-01-09T00:53:13.9Z,1,REGULAR,foul,personal,[],202692,,,1610612738,13,19,2022-01-09T00:53:31Z,710000,,,0,,A. Burks personal FOUL (1 PF),"[202692, 203935]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Smart,203935.0,,,
73,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,out,[],203935,,,1610612738,13,19,2022-01-09T00:53:35Z,730000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,out,[],201143,,,1610612738,13,19,2022-01-09T00:53:35Z,740000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,out,[],1629011,,,1610612738,13,19,2022-01-09T00:53:35Z,750000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,13,19,2022-01-09T00:53:35Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,in,[],203471,,,1610612738,13,19,2022-01-09T00:53:35Z,770000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M13.00S,2022-01-09T00:53:25.1Z,1,REGULAR,substitution,in,[],201959,,,1610612738,13,19,2022-01-09T00:53:35Z,780000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M04.00S,2022-01-09T00:53:54.9Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612738,13,19,2022-01-09T00:54:01Z,790000,,,0,,J. Randle shooting personal FOUL (1 PF) (Brown 2 FT),"[203944, 1627759]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Brown,1627759.0,,,
81,PT04M04.00S,2022-01-09T00:54:19.5Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,14,19,2022-01-09T00:54:42Z,810000,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
82,PT04M04.00S,2022-01-09T00:54:20.3Z,1,REGULAR,substitution,out,[],202692,,,1610612738,14,19,2022-01-09T00:54:22Z,820000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M04.00S,2022-01-09T00:54:20.3Z,1,REGULAR,substitution,in,[],1629656,,,1610612738,14,19,2022-01-09T00:54:22Z,830000,,,0,,SUB in: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M04.00S,2022-01-09T00:54:19.5Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,14,19,2022-01-09T00:54:42Z,840000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M04.00S,2022-01-09T00:54:19.5Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,14,19,2022-01-09T00:54:42Z,850000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,84.0,1.0,0.0,1.0,,,,,,,,,,,
86,PT03M59.00S,2022-01-09T00:54:40.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,84.70762155059133,96.07843137254902,1610612738,14,19,2022-01-09T00:54:47Z,860000,230.0,91.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.78,Missed,,,,,,,,,,,,,,,,,,,
87,PT03M56.00S,2022-01-09T00:54:43.4Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,14,19,2022-01-09T00:54:47Z,870000,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,
88,PT03M42.00S,2022-01-09T00:54:57.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,16.63929040735874,56.127450980392155,1610612752,14,19,2022-01-09T00:55:03Z,880000,-31.0,104.0,1,left,MISS J. Randle 10' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,10.83,Missed,,,,,,,,,,,,,,,,,,,
89,PT03M38.00S,2022-01-09T00:55:01.0Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,14,19,2022-01-09T00:55:03Z,890000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,
90,PT03M25.00S,2022-01-09T00:55:14.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629057,85.23324572930355,60.29411764705882,1610612738,14,19,2022-01-09T00:55:23Z,900000,51.0,86.0,1,right,MISS R. Williams III 10' Hook,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,10.05,Missed,,,,,,,,,,,,,,,,,,,
91,PT03M22.00S,2022-01-09T00:55:17.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,14,19,2022-01-09T00:55:23Z,910000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,,,,
92,PT03M14.00S,2022-01-09T00:55:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630193,30.56833114323259,69.85294117647058,1610612752,14,22,2022-01-09T00:55:34Z,920000,-99.0,235.0,1,left,I. Quickley 25' 3PT  (9 PTS) (J. Randle 3 AST),"[1630193, 203944]",1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,25.49,Made,9.0,J. Randle,203944.0,3.0,,,,,,,,,,,,,,,
