actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
19,PT10M17.00S,2022-03-23T23:42:29.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626220,77.21747700394218,7.8431372549019605,1610612762,6,5,2022-03-23T23:42:38Z,190000,-211.0,162.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2022-03-23T23:42:31.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,6,5,2022-03-23T23:42:38Z,200000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M07.00S,2022-03-23T23:42:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.835085413929041,44.36274509803921,1610612738,8,5,2022-03-23T23:42:47Z,210000,28.0,21.0,1,left,J. Brown cutting Layup (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,3.52,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
23,PT09M53.00S,2022-03-23T23:42:53.1Z,1,REGULAR,3pt,Jump Shot,[],201144,71.56701708278581,14.705882352941178,1610612762,8,5,2022-03-23T23:49:07Z,230000,-176.0,215.0,1,right,MISS M. Conley 27' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,27.8,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2022-03-23T23:42:55.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,8,5,2022-03-23T23:43:02Z,240000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,
25,PT09M43.00S,2022-03-23T23:43:02.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,13.61695137976347,28.676470588235293,1610612738,10,5,2022-03-23T23:45:22Z,250000,107.0,75.0,1,left,J. Brown 13' turnaround fadeaway Jump Shot (4 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,13.06,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
27,PT09M14.00S,2022-03-23T23:43:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628378,66.44218134034165,59.068627450980394,1610612762,10,8,2022-03-23T23:43:47Z,270000,45.0,263.0,1,right,D. Mitchell 26' 3PT  (3 PTS) (R. O'Neale 2 AST),"[1628378, 1626220]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,26.68,Made,3.0,R. O'Neale,1626220.0,2.0,,,,,,,,,,,,,,,
29,PT08M46.00S,2022-03-23T23:44:02.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.86005256241787,78.18627450980392,1610612738,13,8,2022-03-23T23:44:22Z,290000,-141.0,219.0,1,left,J. Tatum 26' 3PT pullup (6 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,26.02,Made,6.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
32,PT08M23.00S,2022-03-23T23:44:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629672,92.72339027595268,57.35294117647059,1610612762,13,8,2022-03-23T23:44:37Z,320000,37.0,16.0,1,right,MISS E. Paschall driving Layup,[1629672],1610612762.0,UTA,driving,,,Paschall,E. Paschall,,,,,4.01,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M21.00S,2022-03-23T23:44:27.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,13,8,2022-03-23T23:44:37Z,330000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
34,PT08M14.00S,2022-03-23T23:44:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.09395532194481,67.64705882352942,1610612738,16,8,2022-03-23T23:44:42Z,340000,-88.0,240.0,1,left,J. Tatum 25' 3PT  (9 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.55,Made,9.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,,
36,PT08M11.00S,2022-03-23T23:44:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,16,8,2022-03-23T23:44:46Z,360000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M00.00S,2022-03-23T23:47:53.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.03547963206307,49.291513480392155,1610612762,16,10,2022-03-23T23:48:10Z,370000,-4.0,13.0,1,right,R. Gobert cutting DUNK (2 PTS) (M. Conley 2 AST),"[203497, 201144]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,1.35,Made,2.0,M. Conley,201144.0,2.0,,,,,,,,,,,,,,,
39,PT07M38.00S,2022-03-23T23:48:17.7Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612738,16,10,2022-03-23T23:48:36Z,390000,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Brown 2 FT),"[1628378, 1627759]",1610612762.0,UTA,shooting,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Brown,1627759.0,,,
41,PT07M38.00S,2022-03-23T23:48:37.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,17,10,2022-03-23T23:48:37Z,410000,,,0,,J. Brown Free Throw 1 of 2 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
42,PT07M38.00S,2022-03-23T23:48:50.9Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,18,10,2022-03-23T23:48:50Z,420000,,,0,,J. Brown Free Throw 2 of 2 (6 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
43,PT07M15.00S,2022-03-23T23:49:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629672,88.51839684625493,45.34313725490196,1610612762,18,10,2022-03-23T23:49:26Z,430000,-23.0,55.0,1,right,MISS E. Paschall 6' driving floating Shot,[1629672],1610612762.0,UTA,driving floating,,,Paschall,E. Paschall,,,,,6.01,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M13.00S,2022-03-23T23:49:17.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,18,10,2022-03-23T23:49:26Z,450000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,
46,PT07M06.00S,2022-03-23T23:49:23.9Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,18,10,2022-03-23T23:49:29Z,460000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1626220]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,,,
47,PT07M06.00S,2022-03-23T23:49:23.9Z,1,REGULAR,steal,,[],1626220,,,1610612762,18,10,2022-03-23T23:49:26Z,470000,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M58.00S,2022-03-23T23:49:33.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,62.89421813403416,33.33333333333333,1610612762,18,10,2022-03-23T23:49:41Z,480000,-83.0,296.0,1,right,MISS R. O'Neale 30' 3PT,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,30.78,Missed,,,,,,,,,,,,,,,,,,,
49,PT06M57.00S,2022-03-23T23:49:34.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,18,10,2022-03-23T23:49:41Z,490000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,
50,PT06M55.00S,2022-03-23T23:49:39.3Z,1,REGULAR,foul,personal,[],1627759,,,1610612762,18,10,2022-03-23T23:49:48Z,500000,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 203497]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,1363.0,1.0,0.0,Gobert,203497.0,,,
52,PT06M55.00S,2022-03-23T23:49:47.5Z,1,REGULAR,substitution,out,[],201144,,,1610612762,18,10,2022-03-23T23:49:58Z,520000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M55.00S,2022-03-23T23:49:47.5Z,1,REGULAR,substitution,out,[],203497,,,1610612762,18,10,2022-03-23T23:49:58Z,530000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M55.00S,2022-03-23T23:49:47.5Z,1,REGULAR,substitution,in,[],203903,,,1610612762,18,10,2022-03-23T23:49:58Z,540000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2022-03-23T23:49:47.5Z,1,REGULAR,substitution,in,[],202355,,,1610612762,18,10,2022-03-23T23:49:58Z,550000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2022-03-23T23:50:16.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203903,89.04402102496715,53.67647058823529,1610612762,18,10,2022-03-23T23:50:33Z,560000,18.0,50.0,1,right,MISS J. Clarkson pullup Shot,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,5.37,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2022-03-23T23:50:18.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,18,10,2022-03-23T23:50:33Z,570000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,
58,PT06M29.00S,2022-03-23T23:50:33.5Z,1,REGULAR,3pt,Jump Shot,[],201143,8.360709592641262,2.941176470588235,1610612738,21,10,2022-03-23T23:50:38Z,580000,235.0,26.0,1,left,A. Horford 3PT  (3 PTS) (M. Smart 4 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.67,Made,3.0,M. Smart,203935.0,4.0,,,,,,,,,,,,,,,
60,PT06M15.00S,2022-03-23T23:50:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,89.43823915900131,50.0,1610612762,21,12,2022-03-23T23:50:57Z,600000,0.0,47.0,1,right,D. Mitchell driving floating Jump Shot (5 PTS),[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,4.68,Made,5.0,,,,,,,,,,,,,,,,,,
61,PT06M08.00S,2022-03-23T23:50:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.732588699080158,48.529411764705884,1610612738,23,12,2022-03-23T23:51:06Z,610000,7.0,1.0,1,left,J. Brown cutting Layup (8 PTS) (M. Smart 5 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,0.75,Made,8.0,M. Smart,203935.0,5.0,,,,,,,,,,,,,,,
63,PT05M53.00S,2022-03-23T23:51:14.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,23,12,2022-03-23T23:51:14Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M53.00S,2022-03-23T23:51:17.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612762,23,12,2022-03-23T23:51:27Z,640000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M53.00S,2022-03-23T23:51:17.3Z,1,REGULAR,substitution,out,[],201143,,,1610612762,23,12,2022-03-23T23:51:27Z,650000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2022-03-23T23:51:17.3Z,1,REGULAR,substitution,in,[],1628401,,,1610612762,23,12,2022-03-23T23:51:27Z,660000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M53.00S,2022-03-23T23:51:17.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612762,23,12,2022-03-23T23:51:27Z,670000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M42.00S,2022-03-23T23:51:48.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,60.66031537450722,26.96078431372549,1610612762,23,12,2022-03-23T23:52:08Z,680000,-115.0,317.0,1,right,MISS D. Mitchell 33' 3PT,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,33.76,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M39.00S,2022-03-23T23:51:51.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,23,12,2022-03-23T23:52:08Z,690000,,,0,,R. Williams III REBOUND (Off:0 Def:4),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,68.0,4.0,4.0,0.0,,,,,,,,
70,PT05M29.00S,2022-03-23T23:52:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,5.732588699080158,53.431372549019606,1610612738,25,12,2022-03-23T23:52:19Z,700000,-17.0,1.0,1,left,J. Brown driving Layup (10 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.73,Made,10.0,,,,,,,,,,,,,,,,,,
71,PT05M16.00S,2022-03-23T23:52:14.0Z,1,REGULAR,3pt,Jump Shot,[],1629672,90.88370565045992,94.6078431372549,1610612762,25,12,2022-03-23T23:52:23Z,710000,223.0,33.0,1,right,MISS E. Paschall 3PT,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M14.00S,2022-03-23T23:52:16.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,25,12,2022-03-23T23:52:23Z,720000,,,0,,R. Williams III REBOUND (Off:0 Def:5),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,71.0,5.0,5.0,0.0,,,,,,,,
73,PT05M04.00S,2022-03-23T23:52:24.9Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,25,12,2022-03-23T23:52:28Z,730000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 203903]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,2.0,Clarkson,203903.0,,,,,,,,,,,,
74,PT05M04.00S,2022-03-23T23:52:24.9Z,1,REGULAR,steal,,[],203903,,,1610612762,25,12,2022-03-23T23:52:26Z,740000,,,0,,J. Clarkson STEAL (1 STL),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M01.00S,2022-03-23T23:52:29.4Z,1,REGULAR,turnover,out-of-bounds,[],1626220,,,1610612762,25,12,2022-03-23T23:52:36Z,750000,,,0,,R. O'Neale lost ball out-of-bounds TURNOVER (1 TO),[1626220],1610612762.0,UTA,lost ball,,,O'Neale,R. O'Neale,,,,,,,,,,,1.0,,,,,,,2534.0,,,,,,,
77,PT05M01.00S,2022-03-23T23:52:33.0Z,1,REGULAR,substitution,in,[],1630235,,,1610612738,25,12,2022-03-23T23:52:38Z,770000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT05M01.00S,2022-03-23T23:52:33.0Z,1,REGULAR,substitution,out,[],1629672,,,1610612738,25,12,2022-03-23T23:59:15Z,775000,,,0,,SUB out: E. Paschall,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M51.00S,2022-03-23T23:53:00.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,29.25427069645204,25.735294117647058,1610612738,28,12,2022-03-23T23:53:07Z,780000,121.0,222.0,1,left,J. Brown 25' 3PT pullup (13 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.34,Made,13.0,,,,,,,,,,,,,,,,,,
79,PT04M37.00S,2022-03-23T23:53:21.4Z,1,REGULAR,foul,personal,[],1629684,,,1610612762,28,12,2022-03-23T23:53:28Z,790000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 202355]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Whiteside,202355.0,,,
81,PT04M22.00S,2022-03-23T23:53:53.7Z,1,REGULAR,foul,personal,['3freethrow'],1629684,,,1610612762,28,12,2022-03-23T23:54:03Z,810000,,,0,,G. Williams shooting personal FOUL (2 PF) (Mitchell 3 FT),"[1629684, 1628378]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,2534.0,2.0,0.0,Mitchell,1628378.0,,,
83,PT04M22.00S,2022-03-23T23:54:30.3Z,1,REGULAR,freethrow,1 of 3,[],1628378,,,1610612762,28,13,2022-03-23T23:54:30Z,830000,,,0,,D. Mitchell Free Throw 1 of 3 (6 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
84,PT04M22.00S,2022-03-23T23:54:48.3Z,1,REGULAR,freethrow,2 of 3,[],1628378,,,1610612762,28,14,2022-03-23T23:54:48Z,840000,,,0,,D. Mitchell Free Throw 2 of 3 (7 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
85,PT04M22.00S,2022-03-23T23:55:11.1Z,1,REGULAR,freethrow,3 of 3,[],1628378,,,1610612762,28,15,2022-03-23T23:55:11Z,850000,,,0,,D. Mitchell Free Throw 3 of 3 (8 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
86,PT04M05.00S,2022-03-23T23:55:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.492115637319317,54.41176470588235,1610612738,28,15,2022-03-23T23:56:55Z,860000,-22.0,27.0,1,left,MISS J. Brown driving finger roll Layup,[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,3.51,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M03.00S,2022-03-23T23:55:29.8Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,28,15,2022-03-23T23:55:37Z,870000,,,0,,R. Williams III REBOUND (Off:1 Def:5),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,86.0,6.0,5.0,1.0,,,,,,,,
88,PT04M03.00S,2022-03-23T23:55:32.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,5.590000152587891,50.0,1610612738,28,15,2022-03-23T23:55:48Z,880000,0.0,0.0,1,left,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
89,PT04M01.00S,2022-03-23T23:55:34.2Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,28,15,2022-03-23T23:55:48Z,890000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,
90,PT03M55.00S,2022-03-23T23:55:37.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,68.54467805519053,17.401960784313726,1610612762,28,15,2022-03-23T23:57:29Z,900000,-163.0,243.0,1,right,MISS D. Mitchell 29' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,29.28,Missed,,,,,,,,,,,,,,,,,,,
91,PT03M53.00S,2022-03-23T23:55:39.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,28,15,2022-03-23T23:55:54Z,910000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,
92,PT03M42.00S,2022-03-23T23:55:50.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,7.046649145860711,49.26470588235294,1610612738,30,15,2022-03-23T23:56:06Z,920000,4.0,14.0,1,left,R. Williams III cutting DUNK (2 PTS) (M. Smart 6 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,1.42,Made,2.0,M. Smart,203935.0,6.0,,,,,,,,,,,,,,,
94,PT03M16.00S,2022-03-23T23:56:16.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,67.88764783180025,73.52941176470588,1610612762,30,15,2022-03-23T23:56:20Z,940000,118.0,249.0,1,right,MISS D. Mitchell 27' step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,27.57,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M14.00S,2022-03-23T23:56:18.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,30,15,2022-03-23T23:56:20Z,950000,,,0,,R. Williams III REBOUND (Off:1 Def:6),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,94.0,7.0,6.0,1.0,,,,,,,,
